round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,25892.642,0.0,26014.768399999997,0.0,3839.8239999999973,,0.0,1995.4,1844.4239999999972,0.0,1844.4239999999972,0.0,0.00375,0.0,0.0,0.0,1.0,3940.0011999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,7.342117647058823,3.554721568627451,10.896839215686274,1.9742794117647056,2.1080735294117647,4.08235294117647,1203.9959999999974,0.0,1203.9959999999974,0.0,0,0,0.0,0.0,48.932,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,122.12639999999999,122.12639999999999,0.0,0,1996.576,529.2139999999999,1996.576,100.17719999999991,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3280.0,6.664,0.005,5.0,5.200000000000013,NaN,0.75,3.729700272479588,3.9200000000000013,320.0,78.0,160.0,2048.0,734.0,204.0,328,0,0,0,49,29.0,2048.0,18165.992000000002,1525.5788,4131.9788,720,48,0,128,0.09128922236688886,0.21459899450079134,0.06868512736038324,0,5671.696000000013,390.0,49,0,0.0,0,0,0,0.0,0,0.0,27733.69600000006,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,208.0,2069.0924,4,0.0,0.0,NaN,5120.0,100.0,-0.2563727604166667,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,0,12,0.0,0,0.0,1440.0,0.0,1338.630000000001,0.0,1338.630000000001,0.0,0.0,1001.6639999999998,7726.6500000000015,0.23894457798607505,384,15432.819999999987,128,12300.875999999997,4,0.0,4,376.72,2,120.95039999999919,-1995.4,11.25,0,0,160,160,10 + responsive prices,debt,4,0.0
2,512,4,4,25696.77139999999,0.0,25885.687600000005,0.0,5737.238400000003,,0.0,1895.63,3841.608400000003,0.0,1997.1844000000046,6.914479999999991,0.00375,0.0,0.0,0.0,1.0,2360.0011999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,8.231813725490195,3.36017431372549,11.591988039215686,2.1648460784313723,2.1126031372549017,4.277449215686274,3502.159700000025,1203.9959999999924,3502.159700000025,0.0,0,0,0.0,0.0,317.5325,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,188.91619999999995,252.19720000000004,0.0,0,441.1166,636.9871999999999,377.8356,479.4804000000075,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1700.0,0.0,0.006354617582964232,4.9100665434380595,5.5214853982300784,NaN,1.125410396039604,3.5538120058564955,3.802399999999999,904.0,1082.0,452.0,2048.0,1366.0,204.0,170,0,0,1,45,43.0,2048.0,17081.057499999963,673.1124,6935.3319,720,48,0,128,0.10916801231468276,0.22321971718807143,0.09416926724579011,0,6219.437999999964,5312.69199999998,45,0,0.0,0,0,0,0.0,0,0.0,28645.94590000012,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,256.0,1007.2696,4,0.0,0.0,NaN,5120.0,100.0,-0.2414262125651042,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,170,0.0,0,12,0.0,0,0.0,1440.0,0.0,12431.843048228986,0.0,12431.843048228986,0.0,0.0,1054.2928000000002,8615.7139,0.24764659992243954,384,15847.651899999924,128,12798.293999999998,4,0.0,4,376.72,2,187.79900000000148,-1895.63,11.25,0,0,452,452,10 + responsive prices,debt,4,0.0
3,512,4,4,27031.459799999964,0.0,27260.1487,0.0,6786.513500000008,,0.0,1795.86,4990.6535000000085,0.0,1149.0450999999996,14.40075212499993,0.00375,0.0,0.0,0.0,1.0,2142.552525693157,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,12.749336852724838,3.2154038889600827,15.96474074168492,2.1928381779139623,2.075070715229743,4.267908893143705,4008.3996999999686,3502.159700000045,4008.3996999999686,0.0,0,0,0.0,0.0,329.3079,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,228.6889,381.9713999999999,0.0,0,1990.2708,655.5823999999999,1900.2693000000002,1117.1606000000402,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1494.4230999999993,0.0,0.010204224831586648,5.5777675803402635,5.482807102803738,1.7831999999999988,1.3427102669404525,3.5064767570970123,3.688327999999999,1070.0,1058.0,535.0,2046.6666666666665,1441.9999999999998,204.0,150,0,0,2,48,31.0,2048.0,16308.076999999997,2316.3076,8102.302099999999,720,48,0,128,0.10163151315679242,0.30844146693459007,0.11471613795711577,0,6348.159799999996,5901.278099999999,48,0,47.0,0,0,0,0.0,0,0.0,33076.44277722771,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,83.81039999999994,166.0,304.7731,4,0.0,0.0,NaN,5120.0,100.0,-0.22671796899172336,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,150,0.0,0,12,0.0,0,0.0,1440.0,0.0,13122.419867518729,0.0,13122.419867518729,0.0,0.0,1074.2502000000002,10723.382800000001,0.32839040110452866,384,15630.691499999997,128,17445.75127722772,4,0.0,4,376.72,2,227.6304999999992,-1795.86,16.88115594059406,0,0,535,535,10 + responsive prices,debt,4,0.0
4,512,4,4,26771.653700000035,0.0,27008.509300000005,0.0,8236.210700000012,,0.0,1716.8744,6519.336300000012,0.0,1528.6828000000003,18.708991624999907,0.00375,0.0,0.0,0.0,1.0,2271.4010418328435,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,13.661336890568668,2.7102947370791743,16.37163162764784,1.8795920231478762,1.6484857885875508,3.528077811735427,4135.3986999999715,3655.6812999999734,4488.117100000015,0.0,0,0,0.0,0.0,354.52979999999997,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,236.85560000000004,500.7173999999998,0.0,4,354.91870000000006,614.7248,597.0581,849.3976000000207,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,1535.1339999999998,0.0,0.01036505433519094,5.744845361781078,5.692145420560731,1.7563000000000002,1.4460373716632446,3.538908756852433,3.5776781599999983,1070.0,1078.0,535.0,2045.3333333333335,1426.0,204.0,153,0,0,0,50,35.0,2048.0,15021.734400000003,2641.0376,9108.881700000002,720,48,0,128,0.086088959083513,0.35288041190444575,0.11636142764514368,0,6423.250099999979,6192.943300000002,50,0,3.0,0,0,0,0.0,0,0.0,35665.6215829569,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,5.2689,150.0,0.0,4,0.0,0.0,NaN,5120.0,100.0,-0.2046543718717916,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,153,0.0,0,12,0.0,0,0.0,1440.0,0.0,12038.741009414493,0.0,12038.741009414493,0.0,0.0,1041.4231,11749.919300000001,0.37058696674346003,384,15428.15609999999,128,20237.46548295688,4,0.0,4,376.72,2,235.85599999999897,-1716.8744,20.140654004106786,0,0,535,535,10 + responsive prices,debt,4,0.0
5,512,4,4,27285.465800000024,0.0,27514.3863,0.0,10026.757200000015,,0.0,2617.7018,7409.055400000014,0.0,889.7191000000001,24.43877062499994,0.00375,0.0,0.0,0.0,1.0,2810.273064081628,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,14.557739648446614,2.5530109197977366,17.11075056824435,1.2246053956916019,1.5433462061664316,2.7679516018580332,4109.851800000037,3967.0879999999947,4630.880899999861,0.0,0,0,0.0,0.0,361.2867,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,228.9205,607.6375999999998,0.0,16,1116.4919,602.6797999999999,1642.0210000000002,1052.7596999999878,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,2051.9552000000044,119.35510000000006,0.011598714252382583,5.77156767123288,5.718178130841098,NaN,1.565431416837781,3.5733714409681485,3.4703478152,1070.0,1095.0,535.0,2048.0,1317.0,204.0,182,0,0,0,59,47.0,2048.0,14415.969199999989,2754.6879,10114.8087,720,48,0,128,0.06426031671074672,0.37886661011353095,0.10657109937830622,0,6580.785500000042,6319.866600000004,62,3,0.0,0,0,0,0.0,0,0.0,37065.50821396307,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,41.0,0.0,4,0.0,0.0,NaN,5120.0,100.0,-0.17879394844405053,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,182,0.0,0,12,0.0,0,0.0,1440.0,0.0,10382.469668108639,0.0,10382.469668108639,0.0,0.0,1305.1670000000001,12869.496599999999,0.39530031571929536,384,15155.710400000005,128,21909.797813963043,4,0.0,4,376.72,2,227.97970000000015,-2617.7018,21.69056057494867,0,0,535,535,10 + responsive prices,debt,4,0.0
6,512,4,4,28309.67500000002,0.0,28533.1725,0.0,11929.095100000013,,0.0,4031.4384,7897.656700000012,0.0,488.6013,27.77362262499993,0.00375,0.0,0.0,0.0,1.0,2918.07879815292,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,16.078978378692796,2.4570455913811613,18.53602397007396,1.5673235142988236,1.586454484004828,3.1537779983036516,4095.2693999999815,3984.4079000000497,4741.742399999999,0.0,0,0,0.0,0.0,326.7319,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,223.49749999999995,716.6171999999999,0.0,34,1679.0302000000001,654.8209999999999,2403.3042000000005,1056.6094999999857,0.0,0.0,0.0,0.0,0.0,10,0.0,0.0,0.0,0.0,0.0,2156.2266000000063,131.07010000000008,0.010544470494535028,5.776957830188682,5.668798151571135,NaN,1.7371265720081146,3.6361472388566205,3.3662373807439985,1082.0,1060.0,541.0,2048.0,1292.0,204.0,188,0,0,1,47,37.0,2048.0,14695.837900000011,2770.269,10843.5681,720,48,0,128,0.07958213603447817,0.4003816373619191,0.1138652464948211,1,6865.673900000008,6123.575300000002,48,1,0.0,0,0,0,0.0,0,0.0,39123.43390184803,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,4.0,0.0,4,0.0,0.0,NaN,5120.0,100.0,-0.15885261034955725,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,188,0.0,0,12,0.0,0,0.0,1440.0,0.0,9849.50535055705,0.0,9849.50535055705,0.0,0.0,1540.4497,13613.8371,0.41571078315846877,384,15183.136699999994,128,23940.297201848032,4,0.0,4,376.72,2,222.61549999999949,-4031.4384,23.481471252566713,0,0,541,541,10 + responsive prices,debt,4,0.0
7,512,4,4,46838.01709999999,0.0,39670.206699999995,0.0,31874.049300000006,,0.0,22973.496,8900.553300000009,0.0,1002.8966000000001,29.603888374999936,0.00375,0.0,0.0,0.0,1.0,2919.0746772369257,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,18.075147752828645,2.439958820891358,20.515106573720004,1.4616896740558942,1.565631178204782,3.0273208522606763,4110.837000000004,3948.1035000000234,4793.952100000011,0.0,4,0,110.52379999999978,17988.5113,322.181,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,242.2626,830.2197999999994,7513.2073,50,19266.0175,737.6754000000002,20903.4856,1012.4026000000017,0.0,0.0,0.0,0.0,0.0,0,17971.714200000002,0.0,0.0,0.0,0.0,2156.5149000000074,57.99790000000001,0.009825272131624044,5.719682106244177,5.732940485074645,NaN,1.9265651639344257,3.625552799372033,3.2652502593216792,1072.0,1073.0,536.0,2046.6666666666665,1298.0,204.0,187,0,0,1,56,31.0,2048.0,14481.654199999994,2779.5173999999997,11605.131300000001,720,48,0,128,0.08018939711536954,0.4258007424783192,0.11304029991398057,0,6897.728199999999,6137.218900000002,56,0,0.0,0,0,0,0.0,0,0.0,41766.45447768764,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,100.0,-0.025891300492044852,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,187,0.0,0,8,0.0,0,0.0,960.0,0.0,9217.927775678325,0.0,9217.927775678325,0.0,0.0,1026.395,14384.6487,0.5459265143153915,384,15124.222000000005,128,26642.232477687638,4,0.0,4,376.72,2,10803.080600000001,-22973.496,26.056898580121718,0,4,536,536,10 + responsive prices,debt,4,0.0
8,512,4,4,47441.45079999995,0.0,40479.5071,0.0,34008.05570000001,,0.0,24177.7468,9830.308900000013,0.0,929.7556,33.36283874999996,0.00375,0.0,0.0,0.0,1.0,2950.5656271095754,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,20.68720110186083,2.440043395730603,23.127244497591434,1.6108395580271964,1.5673493787865633,3.17818893681376,4177.4223000000065,3906.2764999999918,5065.0979000000025,0.0,4,0,110.52379999999978,17988.5113,305.31609999999995,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,448.1292999999999,1036.0864999999992,7513.2073,54,2391.9322,1788.4984999999995,3279.6078,964.8050000000005,0.0,0.0,0.0,0.0,0.0,0,17850.760000000002,0.0,0.0,0.0,0.0,2195.5678000000044,0.0,0.004331771172116676,5.677341298212607,5.853460853432283,NaN,2.038876171079428,3.625722848928522,3.167292751542029,1078.0,1063.0,539.0,2046.6666666666665,1284.0,204.0,191,0,0,1,42,29.0,2048.0,14552.458900000001,2787.2081000000003,12251.023799999999,720,48,0,128,0.08541947721599996,0.44730860567013075,0.12386955022360824,0,7003.609600000006,6035.013800000001,43,1,0.0,0,0,0,0.0,0,0.0,44812.95157049175,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,100.0,0.0030362040535348023,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,191,0.0,0,8,0.0,0,0.0,960.0,0.0,9072.22648761682,0.0,9072.22648761682,0.0,0.0,1033.7543,15038.231900000002,0.556910683929204,384,15228.351400000012,128,29584.600170491798,4,0.0,4,376.72,2,10888.051900000006,-24177.7468,28.898477459016384,0,4,539,539,10 + responsive prices,debt,4,0.0
9,512,4,4,47892.68060000002,0.0,41140.18,0.0,36130.1739,,0.0,25233.3701,10896.803800000003,0.0,1066.4948999999995,36.84725675,0.00375,0.0,0.0,0.0,1.0,2959.4255239381173,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,22.89968446691992,2.419857317135078,25.319541784054998,1.8028654286053938,1.4679005737497803,3.2707660023551743,4228.527899999988,4004.638899999999,5288.986899999995,16.966,4,0,110.52379999999978,17988.5113,321.0702,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,657.5723999999999,1245.5296,7513.2073,58,2362.9013,1911.6715000000002,3423.3603000000003,995.0592999999993,0.0,0.0,0.0,0.0,0.0,0,17630.521099999998,0.0,0.0,0.0,0.0,2210.015700000006,0.0,0.013286252940421354,5.656495775941232,6.003018011257034,NaN,2.0666997938144323,3.6841420739235313,3.072273968995767,1066.0,1089.0,533.0,2046.6666666666667,1272.0,204.0,193,0,0,2,59,37.0,2048.0,14406.800299999997,2871.021,12984.3382,720,48,0,128,0.09584252265783721,0.46595737328639397,0.1382129989746026,1,7045.309099999991,6159.923900000002,59,0,0.0,0,0,0,0.0,0,0.0,46946.74674765778,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,100.0,0.03460072615178682,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,193,0.0,0,8,0.0,0,0.0,960.0,0.0,8359.549373067639,0.0,8359.549373067639,0.0,0.0,907.0478,15855.3592,0.5675329204262236,384,15171.341099999989,128,31775.405647657815,4,0.0,4,376.72,2,10877.314899999994,-25233.3701,30.58314256619142,0,4,533,533,10 + responsive prices,debt,4,0.0
10,512,4,4,48161.892599999985,0.0,41621.6669,0.0,38131.9374,,0.0,26109.8074,12022.130000000001,0.0,1125.3261999999993,40.84473550000001,0.00375,0.0,0.0,0.0,1.0,2898.7899859261042,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,24.70110128252449,2.3618398712016933,27.062941153726186,1.9276377003904979,1.4570563931804412,3.384694093570939,4383.000599999976,4102.934600000011,5569.052900000031,108.61290000000001,4,0,110.52379999999978,17988.5113,306.94870000000003,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,869.8472999999997,1457.8045000000004,7513.2073,62,2301.8604,2032.6483999999991,3487.9128,1064.0580999999993,0.0,0.0,0.0,0.0,0.0,0,17305.5861,0.0,0.0,0.0,0.0,2152.136300000006,0.0,0.015,5.671747191011233,6.220630185185152,NaN,2.0817784552845513,3.753287902351679,2.9801057499258943,1080.0,1068.0,540.0,2045.3333333333333,1286.0,204.0,189,0,0,2,48,35.0,2048.0,14388.9523,2917.2686999999996,13550.085500000001,720,48,0,128,0.10378997822506064,0.47897677325504584,0.15087731462300558,0,7125.453700000014,6057.425999999998,49,1,0.0,0,0,0,0.0,0,0.0,48354.720073195924,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,100.0,0.05967200565298807,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,189,0.0,0,8,0.0,0,0.0,960.0,0.0,8542.20896372802,0.0,8542.20896372802,0.0,0.0,884.0407999999999,16467.3542,0.5746811058954853,384,15145.605400000011,128,33209.11467319587,4,0.0,4,376.72,2,10764.713599999995,-26109.8074,31.000496907216483,0,4,540,540,10 + responsive prices,debt,4,0.0
11,512,4,4,48111.74090000001,0.0,41785.7267,0.0,40118.1614,,0.0,26668.8176,13449.3438,0.0,1427.2137999999998,45.062393749999984,0.00375,0.0,0.0,0.0,1.0,2926.131666071055,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,26.23786300786715,2.3412445251206595,28.57910753298781,1.6543147263035691,1.4738192854231373,3.1281340117267065,4411.606600000001,4297.7456000000075,5682.913900000027,154.2836,4,0,110.52379999999978,17988.5113,312.6894,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,1084.0587999999998,1672.0160000000005,7513.2073,66,2099.5263,2149.678,3370.8336,1115.5409999999997,0.0,0.0,0.0,0.0,0.0,0,16874.634,0.0,0.0,0.0,0.0,2177.4631999999997,0.0,0.015,5.699135233644861,6.329960747663542,NaN,2.1062942505133484,3.8425323635424298,2.8907025774281183,1070.0,1070.0,535.0,2045.3333333333333,1276.0,204.0,191,0,0,2,50,33.0,2048.0,14124.3091,3078.4542,14034.3436,720,48,0,128,0.09721695338811753,0.49024341080783285,0.16330540003992322,0,7216.974999999973,6098.074700000001,51,1,0.0,0,0,0,0.0,0,0.0,49680.140217073196,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,100.0,0.08533586884289251,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,191,0.0,0,8,0.0,0,0.0,960.0,0.0,8260.622234502762,0.0,8260.622234502762,0.0,0.0,863.6701000000002,17112.7978,0.5801258000472289,384,15116.436099999997,128,34563.704117073146,4,0.0,4,376.72,2,10548.031799999995,-26668.8176,31.22667682926827,0,4,535,535,10 + responsive prices,debt,4,0.0
12,512,4,4,48364.39650000001,0.0,41867.185999999994,0.0,41959.24469999999,,0.0,27145.2273,14814.017399999992,0.0,1364.6735999999999,50.41241287499996,0.00375,0.0,0.0,0.0,1.0,2926.6016769131425,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,27.980002392739657,2.3558047755630147,30.335807168302672,1.7837312282366438,1.4698282557935864,3.25355948403023,4456.597499999985,4462.305800000002,5677.205600000016,88.5928,4,0,110.52379999999978,17988.5113,317.00010000000003,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,912.8624999999993,1886.5778000000014,7513.2073,70,2507.6601999999993,2255.004599999999,3342.5101999999997,1269.3007000000007,0.0,385.75809999999996,0.0,0.0,0.0,0,16336.6985,0.0,0.0,0.0,0.0,2174.319200000003,0.0,0.015,5.724328969359328,6.383284328358197,NaN,2.1312305327868857,3.941977191581473,2.803981500105274,1072.0,1077.0,536.0,2045.3333333333335,1278.0,204.0,191,0,0,1,53,34.0,2048.0,14369.839099999981,3107.4963000000002,14550.3626,720,48,0,128,0.10565738602557206,0.5006455723285883,0.17446695996828665,0,7726.283599999981,6165.102299999996,54,1,0.0,0,0,0,0.0,0,0.0,51555.11440554415,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,100.0,0.10871487452074245,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,191,0.0,0,8,0.0,0,0.0,960.0,0.0,8265.223218220892,0.0,8265.223218220892,0.0,0.0,862.7914000000001,17657.858900000003,0.5811125213466477,384,15302.904500000008,128,36252.209905544165,4,0.0,4,376.72,2,9838.958799999999,-27145.2273,31.594413757700227,0,4,536,536,10 + responsive prices,debt,4,0.0
13,512,4,4,48130.390900000086,0.0,41847.678199999995,0.0,43812.828199999996,,0.0,27520.6699,16292.158299999996,0.0,1478.1408999999994,55.52782524999996,0.00375,0.0,0.0,0.0,1.0,2932.7362809814454,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,29.71498377480503,2.3253452496739317,32.04032902447896,1.833613668837065,1.4221644665214097,3.255778135358475,4543.434400000012,4510.141200000002,5710.49880000004,38.7587,4,0,110.52379999999978,17988.5113,312.436,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,1127.360299999999,2101.0756000000024,7513.2073,74,2127.0301,2361.0357000000013,3294.0945,1270.4366000000005,0.0,0.0,0.0,0.0,0.0,0,15880.6824,0.0,0.0,0.0,0.0,2177.130499999999,0.0,0.015,5.7429395696913,6.519003159851325,NaN,2.13667551020408,3.892172483584594,2.719862055102116,1076.0,1069.0,538.0,2046.6666666666665,1282.0,204.0,191,0,0,0,52,27.0,2048.0,14114.991300000003,3144.0621,14990.6551,720,48,0,128,0.10906734988398892,0.5132826862330966,0.1654005135616632,0,7308.355599999993,6139.2024,54,2,0.0,0,0,0,0.0,0,0.0,53047.71935409844,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,100.0,0.13043616415055073,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,191,0.0,0,8,0.0,0,0.0,960.0,0.0,8332.412160313157,0.0,8332.412160313157,0.0,0.0,877.8019999999998,18134.7172,0.5880351182543546,384,15200.679799999996,128,37847.039554098366,4,0.0,4,376.72,2,9597.4993,-27520.6699,31.968457991803284,0,4,538,538,10 + responsive prices,debt,4,0.0
