round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,26749.072700000062,0.0,1911.0,561.0,561.0,,561.0,0.0,0.0,0.0,0.0,0.0,0.0025,116.4661,0.0,0.0,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,24.26304039215686,2.8041372549019608,27.06717764705882,2.1936380392156867,2.762186274509804,4.955824313725491,850.000000000002,0.0,850.000000000002,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0,2560.0,236.20730000000023,561.0,117.55780000000011,0.0,0.0,0.0,0.0,0.0,0,0.0,2560.0,236.20730000000023,117.55780000000011,274.0,0.0,0.0,0.0,5.0,5.200000000000013,2.0,0.75,3.594822888283399,3.9200000000000013,320.0,86.0,160.0,2048.0,734.0,204.0,328,0,0,0,50,36.0,2048.0,18814.71700000002,1475.758,3819.084,732,36,0,122,0.10986398637350558,0.48246735035363386,0.658764694913238,0,5217.677999999996,430.0,50,0,520.0,0,0,0,0.0,0,0.0,47614.71700000019,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1040.0,208.0,2523.0476,4,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5259751303946125,390,15597.715199999995,122,32017.00180000002,4,1475.7579999999998,4,4062.2839999999997,2,248.16,-444.5339,37.5,0,0,160,160,7 + two more theatres,sumsy,4,-5.820766091346741e-11
2,512,4,4,29024.85969999996,0.0,18071.7175,590.7175,1005.5338999999999,,1005.5338999999999,0.0,0.0,0.0,0.0,0.0,0.0025,139.9092,0.0,0.0,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,24.098278823529416,2.793556274509804,26.891835098039216,2.0867933333333335,2.6306809803921567,4.71747431372549,2500.809599999991,850.0000000000022,2500.809599999991,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0,2560.0,284.2129999999995,590.7175,141.37219999999985,0.0,0.0,0.0,0.0,0.0,5,0.0,2560.0,284.2129999999995,141.37219999999985,274.0,0.0,0.0,0.008472370766488413,4.8056116774791295,5.480815894039715,2.0604730458221034,NaN,3.4439234859674737,3.802399999999999,906.0,1079.0,453.0,2048.0,1354.0,204.0,172,0,0,0,46,45.0,2048.0,19594.392199999987,741.5652,6353.885399999999,315,453,0,53,0.08054456310129265,0.46515113147785736,0.35888820972815005,0,7131.880299999978,5185.254999999981,46,0,371.0,0,0,0,0.0,0,0.0,48495.3135,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,764.4355000000004,242.0,2195.1077,4,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,172,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5266442419374446,459,34507.00890000001,53,13988.304599999998,4,662.8816000000015,4,6597.085399999999,2,515.2332,-865.6246999999998,37.5,0,0,453,453,7 + two more theatres,sumsy,4,-5.820766091346741e-11
3,512,4,4,31256.79150000002,0.0,21842.843600000004,1515.3102999999999,1404.8120000000001,,1404.8120000000001,0.0,0.0,0.0,0.0,0.0,0.0025,161.4312,0.0,0.0,1.0,539.1872999999998,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,25.251033156215428,2.9846952348912708,28.2357283911067,2.792403090921418,2.9340836532308225,5.726486744152241,2875.5798000000027,2500.809599999997,2875.5798000000027,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-1.4616999999999996,0.0,0,2560.0,328.06819999999965,1515.3102999999999,163.16639999999995,0.0,0.0,0.0,0.0,0.0,20,18.372799999999998,2560.0,328.06819999999965,163.16639999999995,274.0,0.0,0.0,0.00780476285195546,4.716155409219222,5.33130559701493,2.0291459374999947,NaN,3.33382844212072,3.688327999999999,1072.0,1063.0,536.0,2048.0,1534.0,204.0,128,0,0,0,48,36.0,2048.0,20957.640100000008,1578.7595000000001,6818.7425,232,536,0,39,0.10533475418179639,0.461777417064706,0.28009506013489904,0,7556.7828000000145,5013.273200000032,48,0,640.0,0,0,0,0.0,0,0.0,49425.51559999996,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1298.6533999999965,256.0,1721.8454,4,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,128,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5314639381099486,473,39025.31060000003,39,10400.204999999998,4,1240.7279000000008,4,7061.942499999999,2,783.4591999999999,-1243.3808000000001,37.5,0,0,536,536,7 + two more theatres,sumsy,4,-5.820766091346741e-11
4,512,4,4,33444.36179999999,0.0,21325.0052,550.2725,1772.5313999999998,,1772.5313999999998,0.0,0.0,0.0,0.0,0.0,0.0025,183.5568,0.0,0.0,1.0,529.1505999999996,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,25.835154974785798,3.2557536518120065,29.090908626597805,3.8059407050177865,3.101342817772796,6.907283522790582,2876.8318000000036,2875.5798000000077,2876.8318000000036,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-14.010700000000005,0.0,0,2560.0,372.42969999999985,550.2725,185.3288,0.0,0.0,0.0,0.0,0.0,40,14.7872,2560.0,372.42969999999985,185.3288,274.0,0.0,0.0,0.0029512751942621916,4.568694315004703,5.333641417910455,1.9948262499999978,NaN,3.1919658650028393,3.5776781599999983,1072.0,1073.0,536.0,2048.0,1534.0,204.0,128,0,0,1,50,36.0,2048.0,22593.017399999993,1747.9575,6831.5524,232,536,0,39,0.12439971316024301,0.4556376237140711,0.28540929387554614,0,7305.770299999984,4902.209000000046,50,0,640.0,0,0,0,0.0,0,0.0,50220.78050000003,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1276.6887999999985,256.0,2073.4905,4,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,128,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5371324193897369,473,39724.73230000001,39,10496.048199999997,4,2295.4836999999998,4,7074.7524,2,1053.5029,-1588.9745999999998,37.5,0,0,536,536,7 + two more theatres,sumsy,4,-5.820766091346741e-11
5,512,4,4,35588.751799999976,0.0,20576.816000000003,329.04949999999997,2101.5807999999997,,2101.5807999999997,0.0,0.0,0.0,0.0,0.0,0.0025,205.0824,0.0,0.0,1.0,512.6062000000004,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,26.185547019640868,3.6883455901326636,29.873892609773534,4.709951453898136,3.4136187096029884,8.123570163501125,2789.6566999999936,2876.8318000000086,2789.6566999999936,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-27.754025,0.0,0,2560.0,415.61000000000024,329.0495,206.89800000000037,0.0,0.0,0.0,0.0,0.0,47,18.4204,2560.0,415.61000000000024,206.89800000000037,274.0,0.0,0.0,0.0078832483342344,4.4571304900181365,5.180666728971951,2.012380937500003,NaN,3.033398173722899,3.4703478152,1070.0,1102.0,535.0,2046.6666666666665,1532.0,204.0,128,0,0,1,62,53.0,2048.0,24034.361800000006,1829.5022,6957.7411,232,536,0,39,0.13767675788865152,0.44454566006821494,0.2810050415407721,0,7027.376499999988,4911.757799999987,62,0,640.0,0,0,0,0.0,0,0.0,50702.33739999999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1287.9238000000018,256.0,2543.6439,4,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,128,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5407767347867767,473,40232.371900000006,39,10469.9655,4,3454.266999999998,4,7200.941,2,1323.0899,-1896.4983999999997,37.5,0,0,535,535,7 + two more theatres,sumsy,4,-5.820766091346741e-11
6,512,4,4,37690.77059999999,0.0,20019.5857,295.0083,2396.5890999999997,,2396.5890999999997,0.0,0.0,0.0,0.0,0.0,0.0025,226.1952,0.0,0.0,1.0,500.0907,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,26.80450961137047,3.9292681296935648,30.73377774106404,5.867702052713241,3.773848517961879,9.64155057067512,2777.776899999996,2789.6567000000096,2777.776899999996,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-40.774725000000004,0.0,0,2560.0,457.98119999999994,295.0083,228.05950000000016,0.0,0.0,0.0,0.0,0.0,50,296.438,2560.0,457.98119999999994,228.05950000000016,274.0,0.0,0.0,0.012787731711885289,4.346395561850781,5.091839298892982,2.039660000000003,NaN,2.9486039074903894,3.3662373807439985,1084.0,1059.0,542.0,2046.6666666666667,1546.0,204.0,125,0,0,1,46,43.0,2048.0,25674.76820000001,1833.212,6912.0811,226,542,0,38,0.15001501199044864,0.43632267554713744,0.2706950769742906,0,6905.514299999998,4602.832899999978,46,0,640.0,0,0,0,0.0,0,0.0,51336.89119999999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1305.382400000002,256.0,2748.0761,4,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,125,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5443313545017776,474,41051.98249999998,38,10284.908700000002,4,4535.215400000002,4,7155.281,2,1584.0769,-2170.3938999999996,37.5,0,0,542,542,7 + two more theatres,sumsy,4,-5.820766091346741e-11
7,512,4,4,39750.54149999996,0.0,19192.569000000003,261.4719,2658.0609999999997,,2658.0609999999997,0.0,0.0,0.0,0.0,0.0,0.0025,247.2771,0.0,0.0,1.0,487.6670999999995,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,27.98647848576306,3.8741650827561576,31.860643568519222,7.783496559515911,3.731221982879301,11.514718542395213,2690.0532999999764,2777.7768999999944,2690.0532999999764,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-53.07342500000002,0.0,0,2560.0,500.2291000000004,261.4719,249.16980000000004,0.0,0.0,0.0,0.0,0.0,52,431.54380000000003,2560.0,500.2291000000004,249.16980000000004,274.0,0.0,0.0,0.015,4.251058976744196,4.985174067164135,2.0849957812499964,NaN,2.9774839517859113,3.26525025932168,1072.0,1075.0,536.0,2046.6666666666665,1534.0,204.0,128,0,0,0,55,39.0,2048.0,27289.081800000007,1871.8908999999999,6876.2816,226,542,0,38,0.18464089015549523,0.4366059772597861,0.30008076210806744,0,6880.964200000021,4569.888400000011,55,0,640.0,0,0,0,0.0,0,0.0,51934.102199999965,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1334.3972999999978,256.0,3034.4663,4,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,128,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5535489000611762,474,41602.04309999998,38,10332.059100000002,4,5662.3829,4,7119.4815,2,1702.1520999999998,-2410.7839,37.5,0,0,536,536,7 + two more theatres,sumsy,4,-5.820766091346741e-11
8,512,4,4,41768.687800000014,0.0,18333.7707,229.6903,2887.7511999999997,,2887.7511999999997,0.0,0.0,0.0,0.0,0.0,0.0025,268.0649,0.0,0.0,1.0,476.9673000000005,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,28.598896360443256,4.029533442710517,32.62842980315377,9.30140877160578,3.8535837433270324,13.154992514932813,2672.2673999999993,2690.05329999999,2672.2673999999993,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-64.64945,0.0,0,2560.0,541.8537000000003,229.6903,269.9729999999999,0.0,0.0,0.0,0.0,0.0,53,496.8499,2560.0,541.8537000000003,269.9729999999999,274.0,0.0,0.0,0.015,4.180676150234711,4.924429313543598,2.132408593750005,NaN,2.902202998175761,3.167292751542029,1078.0,1065.0,539.0,2048.0,1540.0,204.0,127,0,0,0,44,36.0,2048.0,28843.740800000007,1915.9506999999999,6841.5491,226,542,0,38,0.20721836404938965,0.4328017841646081,0.30944576854488903,0,6750.412100000005,4452.4200999999675,44,0,640.0,0,0,0,0.0,0,0.0,52471.65860000002,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1364.7415000000033,256.0,3402.5324,4,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,127,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5594265062114665,474,42096.57650000001,38,10375.082100000001,4,6794.931199999999,4,7084.7489000000005,2,1750.4276999999997,-2619.6863,37.5,0,0,539,539,7 + two more theatres,sumsy,4,-5.820766091346741e-11
9,512,4,4,43747.056399999965,0.0,17446.2898,201.0076,3088.7587999999996,,3088.7587999999996,0.0,0.0,0.0,0.0,0.0,0.0025,287.8647,0.0,0.0,1.0,469.0724999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,28.925482894387574,4.252809351533435,33.17829224592101,10.521296731213209,4.150118157089476,14.671414888302683,2611.013099999992,2672.2674000000025,2611.013099999992,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-75.50324999999998,0.0,0,2560.0,581.6313999999995,201.0076,289.83269999999993,0.0,0.0,0.0,0.0,0.0,54,528.5109,2560.0,581.6313999999995,289.83269999999993,274.0,0.0,0.0,0.015,4.137389344262289,4.84675345794391,2.186092656250002,NaN,2.812916751994958,3.0722739689957668,1070.0,1098.0,535.0,2048.0,1532.0,204.0,129,0,0,0,60,50.0,2048.0,30076.48980000001,1980.5925,7035.8423,226,542,0,38,0.22277989343617222,0.42981912325553395,0.3112144574785114,0,6565.657800000008,4542.853499999993,60,0,640.0,0,0,0,0.0,0,0.0,52687.304999999884,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1399.0993000000012,256.0,3837.7562,4,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,129,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5677208000567227,474,42240.59169999994,38,10446.7133,4,7948.0615,4,7279.042100000001,2,1765.0582,-2800.8940999999995,37.5,0,0,535,535,7 + two more theatres,sumsy,4,-5.820766091346741e-11
10,512,4,4,45685.72630000003,0.0,16534.1538,176.3527,3265.1113999999993,,3265.1113999999993,0.0,0.0,0.0,0.0,0.0,0.0025,307.6818,0.0,0.0,1.0,464.2173000000005,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,29.902349871196254,4.088511691398116,33.99086156259437,12.286041516831315,4.020722898970366,16.30676441580168,2609.12699999999,2611.0131000000015,2609.12699999999,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-85.63487499999994,0.0,0,2560.0,621.3300999999999,176.3527,309.6702999999999,0.0,0.0,0.0,0.0,0.0,55,543.6387,2560.0,621.3300999999999,309.6702999999999,274.0,0.0,0.0,0.015,4.095706704438147,4.798383333333315,2.2292776562499985,NaN,2.7695446072802534,2.9801057499258943,1080.0,1059.0,540.0,2048.0,1542.0,204.0,126,0,0,2,48,39.0,2048.0,31407.043099999984,1999.3914,7101.2543000000005,226,542,0,38,0.2474423368708405,0.4329260045129353,0.30904121577430366,0,6499.360299999996,4337.353399999997,48,0,640.0,0,0,0,0.0,0,0.0,53000.755699999965,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1426.737699999999,256.0,4326.717,4,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5785793636184227,474,42491.35310000004,38,10509.402599999998,4,9055.348999999998,4,7344.454,2,1763.1554,-2957.4295999999995,37.5,0,0,540,540,7 + two more theatres,sumsy,4,-5.820766091346741e-11
11,512,4,4,47585.622599999966,0.0,15597.5238,151.8587,3416.9699999999993,,3416.9699999999993,0.0,0.0,0.0,0.0,0.0,0.0025,326.9885,0.0,0.0,1.0,459.5404000000003,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,29.954125047912473,4.311864502847454,34.265989550759926,13.41377620563567,4.199167104448319,17.61294331008399,2563.9297000000065,2609.1269999999968,2563.9297000000065,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-95.04389999999988,0.0,0,2560.0,660.1037000000003,151.8587,329.0301000000004,0.0,0.0,0.0,0.0,0.0,56,550.7203,2560.0,660.1037000000003,329.0301000000004,274.0,0.0,0.0,0.015,4.077860222016654,4.741023649906902,2.287037031249999,NaN,2.9053798777590703,4.402458543025112,1074.0,1081.0,537.0,2045.3333333333333,1536.0,204.0,127,0,0,0,54,42.0,2048.0,32779.49089999998,2081.8137,7268.9938,226,542,0,38,0.2607454970645131,0.4280071933431948,0.33518441283795064,0,6663.142499999995,4408.166900000003,54,0,640.0,0,0,0,0.0,0,0.0,53356.1009,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1463.7036999999991,256.0,4577.615400000001,4,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,127,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5831358626114806,474,42831.18059999999,38,10524.920299999998,4,10226.259900000001,4,7512.1934,2,1753.2064,-3089.9814999999994,37.5,0,0,537,537,7 + two more theatres,sumsy,4,-5.820766091346741e-11
12,512,4,4,49447.622199999954,0.0,14639.583,130.5478,3547.517799999999,,3547.517799999999,0.0,0.0,0.0,0.0,0.0,0.0025,345.8361,0.0,0.0,1.0,457.53629999999947,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,30.026112360254952,4.3810551170196295,34.40716747727458,14.675452531340502,4.263481921098159,18.938934452438662,2602.518699999995,2563.9297,2602.518699999995,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-103.7306999999999,0.0,0,2560.0,698.0004000000002,130.5478,347.94550000000027,0.0,0.0,0.0,0.0,0.0,57,553.9766999999999,2560.0,698.0004000000002,347.94550000000027,274.0,0.0,0.0,0.015,4.061428505106778,4.795025417439694,2.3651545312500004,NaN,3.049867868123544,5.983394647300013,1078.0,1077.0,539.0,2048.0,1540.0,204.0,127,0,0,2,58,39.0,2048.0,34322.63019999999,2168.5298000000003,7507.9196,226,542,0,38,0.27657810375390435,0.42400875222254397,0.3696582664250796,0,6865.630599999999,4374.1585,58,0,640.0,0,0,0,0.0,0,0.0,53882.13759999996,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1513.6989000000003,256.0,4548.7298,4,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,127,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.586517249080232,474,43376.48289999999,38,10505.6547,4,11401.4646,4,7751.1192,2,1739.4322,-3201.681699999999,37.5,0,0,539,539,7 + two more theatres,sumsy,4,-5.820766091346741e-11
13,512,4,4,51272.134200000015,0.0,13660.948399999997,109.854,3657.371799999999,,3657.371799999999,0.0,0.0,0.0,0.0,0.0,0.0025,364.4614,0.0,0.0,1.0,455.6900999999996,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,30.20065593860208,4.296654460374897,34.49731039897697,16.04887124205114,4.17873811076361,20.227609352814746,2611.7261999999905,2602.518699999998,2611.7261999999905,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-111.69499999999991,0.0,0,2560.0,735.4880000000004,109.854,366.65059999999954,0.0,0.0,0.0,0.0,0.0,58,555.7252000000001,2560.0,735.4880000000004,366.65059999999954,274.0,0.0,0.0,0.015,4.02218033240997,4.812107977736532,2.4532484375000023,NaN,3.0310023235538956,5.922478926709484,1078.0,1083.0,539.0,2045.3333333333333,1539.9999999999998,204.0,126,0,0,1,57,42.0,2048.0,35753.955500000004,2312.4184999999998,7749.2633,226,542,0,38,0.2946534013722186,0.42361917078903066,0.3863137884356398,0,6806.890500000011,4356.021299999998,57,0,640.0,0,0,0,0.0,0,0.0,54296.3603,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1570.0790000000015,256.0,4536.310299999999,4,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5925359584470473,474,43824.88050000003,38,10471.4798,4,12633.841900000003,4,7992.4629,2,1724.1500999999998,-3292.910399999999,37.5,0,0,539,539,7 + two more theatres,sumsy,4,-5.820766091346741e-11
14,512,4,4,53059.69169999999,0.0,12659.2872,86.8274,3744.199199999999,,3744.199199999999,0.0,0.0,0.0,0.0,0.0,0.0025,382.8421,0.0,0.0,1.0,451.28879999999975,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,30.764697879907345,4.15392130820362,34.918619188110966,17.780942412369054,4.019679659887584,21.800622072256637,2607.8371999999936,2611.726199999996,2607.8371999999936,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-118.93719999999989,0.0,0,2560.0,772.4424999999992,86.8274,385.09439999999995,0.0,0.0,0.0,0.0,0.0,59,556.7692,2560.0,772.4424999999992,385.09439999999995,274.0,0.0,0.0,0.015,3.983228195488723,4.795994814814803,2.518198749999999,NaN,3.03503873754628,5.781045891594076,1080.0,1064.0,540.0,2046.6666666666667,1542.0,204.0,126,0,0,1,54,29.0,2048.0,37227.68280000002,2486.6537,7880.222899999999,226,542,0,38,0.31105903658590806,0.4230506951898376,0.3834563122011916,0,6788.379100000009,4238.154800000001,54,0,640.0,0,0,0,0.0,0,0.0,54752.984999999986,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1611.6471999999992,256.0,4525.521000000001,4,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5975930101330484,474,44272.27180000001,38,10480.713200000002,4,13896.5657,4,8123.422499999999,2,1708.1634999999999,-3361.3570999999993,37.5,0,0,540,540,7 + two more theatres,sumsy,4,-5.820766091346741e-11
