round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,26726.628600000087,0.0,2396.8001,1046.8001,561.0,,561.0,0.0,0.0,0.0,0.0,0.0,0.0025,122.5768,0.0,0.0,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,24.322673333333334,2.7394313725490194,27.062104705882355,1.7222149019607844,2.82156862745098,4.5437835294117646,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0,2560.0,235.13139999999933,1046.8001,123.99589999999968,7.1396,0.0,0.0,0.0,0.0,0,255.2652,2560.0,235.13139999999933,116.85629999999968,271.0,0.0,0.0,0.0,5.0,5.200000000000013,2.0,0.75,3.5939344262295285,3.920000000000001,320.0,99.0,160.0,2048.0,732.0,204.0,329,0,0,0,60,39.0,2048.0,17857.406100000026,2274.9256,3659.8353,732,36,0,122,0.08707157700532808,0.4829236052538004,0.6603254210172702,0,5230.3907999999965,495.0,60,0,514.0,0,0,0,0.0,0,0.0,47584.7062,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1028.0,206.0,2556.6196,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,329,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5313613750330572,390,15611.067,122,31973.63920000003,4,2274.9256,4,3293.5352000000003,2,255.2652,-438.4232,37.5,0,0,160,160,6 + charge on balances,sumsy,9,4.3655745685100555e-11
2,512,4,4,29003.11729999998,0.0,9810.520200000003,2668.010100000001,999.4232000000001,,999.4232000000001,0.0,0.0,0.0,0.0,0.0,0.0025,144.8392,0.0,0.0,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,24.74928,2.561205882352941,27.310485882352943,1.6394296078431378,2.699401764705882,4.33883137254902,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-4.857999999999995,0.0,1,2560.0,283.51129999999984,3161.4150000000004,146.8741999999998,6.1350999999999996,0.0,0.0,0.0,0.0,112,145.7952,2560.0,283.51129999999984,140.7390999999998,271.0,0.0,0.0,0.015,4.804811436672957,5.502396936542671,2.0159992409867042,1.120795547945206,3.5290943651389655,3.8023999999999996,914.0,1058.0,457.0,2048.0,1331.0,204.0,179,0,0,1,48,26.0,2048.0,17085.364399999988,2675.7823,6453.0259,603,165,0,101,0.07428891671111315,0.4744561114776329,0.39396045354094333,0,7545.7610999999715,5083.490499999989,48,0,527.0,0,0,0,0.0,0,0.0,48703.08430000003,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1062.431599999993,211.0,2498.3103,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,179,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5338024947244304,411,21648.106100000005,101,27054.978199999987,4,2743.2823,4,4030.3048,2,401.06039999999996,-854.5840000000001,37.5,0,0,457,457,6 + charge on balances,sumsy,9,4.3655745685100555e-11
3,512,4,4,31228.49090000003,0.0,12280.336870547944,1850.2011000000005,1393.6846000000003,,1393.6846000000003,0.0,0.0,0.0,0.0,0.0,0.0025,170.1553,0.0,0.0,1.0,539.1006000000004,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,38.10377231829168,2.6521468853100956,40.75591920360178,2.6108096445720173,2.4129624158139147,5.023772060385932,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-31.767225000000085,0.0,3,2560.0,334.6264000000001,3007.1681000000003,172.51149999999987,6.3759,0.0,0.0,0.0,0.0,158,211.5429,2560.0,334.6264000000001,166.13559999999987,271.0,0.0,0.0,0.015,4.731719199272103,5.411120856610781,2.045406888888891,1.3448130311614725,3.3730897556128485,3.6883279999999994,1074.0,1099.0,537.0,2046.6666666666665,1460.0,204.0,146,0,0,1,57,45.0,2048.0,18097.8448,2864.665,7732.6965,584,184,0,98,0.11250809688520835,0.5335016437200062,0.3311032017283435,0,7894.38720000002,5200.159400000041,57,0,450.0,0,0,0,0.0,0,0.0,61338.22007054798,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,920.433100000001,180.0,2151.5864,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,146,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5898533189306279,414,23709.205093150707,98,37629.01497739726,4,6300.603270547952,4,4240.143900000001,2,599.8401,-1223.5293000000001,56.0397773972603,0,0,537,537,6 + charge on balances,sumsy,9,4.3655745685100555e-11
4,512,4,4,33413.41479999998,0.0,12291.773299999999,582.6144999999998,1754.4291000000003,,1754.4291000000003,0.0,0.0,0.0,0.0,0.0,0.0025,186.8727,0.0,0.0,1.0,530.8998000000004,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,46.207629200921886,2.9526968453855917,49.16032604630748,3.152136025171155,2.7923733243977784,5.944509349568934,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-71.8787500000005,0.0,4,2560.0,375.07610000000017,1769.5496999999998,189.13880000000017,2.734,0.0,0.0,0.0,0.0,160,191.24,2560.0,375.07610000000017,186.40480000000022,271.0,0.0,0.0,0.015,4.583445411542146,5.400419074074068,2.1437389062499994,1.4473202247191015,3.2393507095708767,3.5776781599999987,1080.0,1057.0,540.0,2046.6666666666667,1542.0,204.0,126,0,0,1,45,34.0,2048.0,19858.532400000026,3083.6328,7450.3714,584,184,0,98,0.12550245924139825,0.5560572675237341,0.31473455233014747,0,7973.1446999999935,4844.701800000049,45,0,640.0,0,0,0,0.0,0,0.0,69289.21530991506,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1371.9928999999997,256.0,2642.7655000000004,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6136364423052063,414,24503.1176,98,44786.097709915004,4,8943.144486685545,4,4139.4635,2,771.0272,-1567.5564000000004,67.24065155807362,0,0,540,540,6 + charge on balances,sumsy,9,4.3655745685100555e-11
5,512,4,4,35556.12160000003,0.0,12085.9083,376.4065,2081.82,,2081.82,0.0,0.0,0.0,0.0,0.0,0.0025,218.7502,0.0,0.0,1.0,514.2635999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,51.872490979813755,3.2683515214536936,55.14084250126745,4.334892285796354,2.975057730925256,7.30995001672161,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-112.12135000000083,0.0,5,2560.0,417.2931999999996,1512.6862999999998,221.26920000000024,13.883,0.0,0.0,0.0,0.0,171,252.571,2560.0,417.2931999999996,207.3862000000003,271.0,0.0,0.0,0.015,4.471373370577286,5.2396745318351705,2.1992267187500008,1.5848897142857137,3.07246599684642,3.4703478151999994,1068.0,1074.0,534.0,2046.6666666666667,1530.0,204.0,129,0,0,0,50,34.0,2048.0,21393.903300000016,3235.6545,7382.195999999999,584,184,0,98,0.14617982295356513,0.5637326780824121,0.32428161399786637,0,7688.305399999979,4802.255000000006,50,0,640.0,0,0,0,0.0,0,0.0,73401.77626179771,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1407.5051000000005,256.0,3073.0466,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,129,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6240907994108684,414,24858.07779999999,98,48543.698461797736,4,10400.845367415732,4,4252.9323,2,949.3371999999999,-1863.0698000000002,72.36601123595507,0,0,534,534,6 + charge on balances,sumsy,9,4.3655745685100555e-11
6,512,4,4,37655.84780000003,0.0,12957.13500000001,1455.9458999999995,2364.7569000000003,,2364.7569000000003,0.0,0.0,0.0,0.0,0.0,0.0025,240.1649,0.0,0.0,1.0,501.6870999999996,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,58.380621461893845,3.408279500065744,61.788900961959584,5.080372465949968,3.0718234576930032,8.15219592364297,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-150.66025000000127,0.0,10,2560.0,460.2738,5303.9671,242.91110000000018,14.1466,0.0,0.0,0.0,0.0,175,179.04989999999998,2560.0,460.2738,228.76450000000008,271.0,0.0,0.0,0.015,4.345482218148462,5.220405400372426,2.272071874999999,1.6442393767705388,3.0098724558455925,3.366237380743999,1074.0,1091.0,537.0,2048.0,1536.0,204.0,127,0,0,0,56,45.0,2048.0,22507.465599999967,3384.0265,8383.890599999999,584,184,0,98,0.1515589014752563,0.5738314805357903,0.3190772799188797,0,7613.437900000013,4740.921099999971,56,0,640.0,0,0,0,0.0,0,0.0,78469.19225714277,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1454.1259999999995,256.0,2961.2502999999997,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,127,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6361041811192565,414,25305.996099999997,98,53163.19615714282,4,12177.469671428564,4,4323.5936999999985,2,1101.4969999999998,-2124.5920000000006,79.24448571428569,0,0,537,537,6 + charge on balances,sumsy,9,4.3655745685100555e-11
7,512,4,4,39713.957199999975,0.0,12581.286300000002,267.52410000000003,2612.157,,2612.157,0.0,0.0,0.0,0.0,0.0,0.0025,270.2619,0.0,0.0,1.0,487.5649999999995,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,62.876840832385604,3.6102676605251824,66.48710849291079,6.363345767903042,3.2132713987815356,9.576617166684578,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-198.71265000000227,0.0,16,2560.0,501.89060000000023,3495.2427,273.2155999999999,23.7468,0.0,0.0,0.0,0.0,176,398.9678,2560.0,501.89060000000023,249.4687999999998,271.0,0.0,0.0,0.015,4.251189943609033,5.145817777777742,2.357111562500003,1.5792030898876417,2.910732817688833,3.2652502593216797,1080.0,1064.0,540.0,2048.0,1542.0,204.0,126,0,0,0,47,38.0,2048.0,24050.771100000027,3568.4312,8054.605699999999,584,184,0,98,0.17283521486844688,0.5768715256507984,0.3237946641521259,0,7428.99100000002,4523.266100000011,47,0,640.0,0,0,0,0.0,0,0.0,81211.07540169984,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1508.551400000002,256.0,3370.9195,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.641842895232734,414,25779.504799999973,98,55431.57060169974,4,13270.504266288957,4,4231.586999999999,2,1281.8962000000001,-2341.8951,82.21196883852694,0,0,540,540,6 + charge on balances,sumsy,9,4.3655745685100555e-11
8,512,4,4,41730.6556,0.0,12158.266800000001,221.3593,2818.8777,,2818.8777,0.0,0.0,0.0,0.0,0.0,0.0025,302.672,0.0,0.0,1.0,476.9825999999998,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,62.65017222083722,3.6387184620127977,66.28889068285002,7.573802388534424,3.2497736128516164,10.823576001386039,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-244.15315000000172,0.0,16,2560.0,543.3016000000003,221.3593,305.91990000000015,35.893699999999995,0.0,0.0,0.0,0.0,177,510.8315,2560.0,543.3016000000003,270.0262000000002,271.0,0.0,0.0,0.015,4.19377155797099,5.102106741573005,2.422451718749997,1.5551114285714285,2.8665408573025504,3.167292751542029,1068.0,1104.0,534.0,2048.0,1530.0,204.0,129,0,0,0,64,54.0,2048.0,25282.939200000026,3797.757,7962.0488000000005,584,184,0,98,0.19946154310996933,0.5736365975009883,0.3290513310799188,0,7282.929600000013,4629.923799999973,64,0,640.0,0,0,0,0.0,0,0.0,80016.24332471915,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1550.369099999998,256.0,3874.4071,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,129,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6434117457419422,414,25894.359600000007,98,54121.88372471913,4,13264.109226966302,4,4376.308100000002,2,1354.2412,-2516.2057,78.96015449438208,0,0,534,534,6 + charge on balances,sumsy,9,4.3655745685100555e-11
9,512,4,4,43708.03530000006,0.0,11694.608500000008,181.4494,2986.747,,2986.747,0.0,0.0,0.0,0.0,0.0,0.0025,334.6829,0.0,0.0,1.0,470.54129999999964,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,63.12473639306108,3.845818283229651,66.97055467629073,8.920714378013077,3.509159133080201,12.429873511093279,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-286.9231500000037,0.0,20,2560.0,582.6202999999996,3141.7252,338.1662000000001,48.5978,0.0,0.0,0.0,0.0,178,564.2039,2560.0,582.6202999999996,289.5684000000001,271.0,0.0,0.0,0.015,4.141799129593805,5.064731250000018,2.486729843750001,1.5580208333333327,2.7992348830995257,3.072273968995767,1088.0,1034.0,544.0,2048.0,1550.0,204.0,124,0,0,2,38,28.0,2048.0,26747.935400000017,4038.5548000000003,7577.3449,584,184,0,98,0.21589287330623752,0.5692203272546261,0.33717512911455616,0,7223.356799999998,4282.620299999994,38,0,640.0,0,0,0,0.0,0,0.0,80251.61571428564,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1591.5071000000007,256.0,4445.3134,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,124,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6430094582016919,414,26310.434899999993,98,53941.18081428569,4,13645.876742857141,4,4228.879400000001,2,1368.0949,-2652.0640999999996,77.75557142857143,0,0,544,544,6 + charge on balances,sumsy,9,4.3655745685100555e-11
10,512,4,4,45645.038300000015,0.0,11200.137699999997,151.31629999999998,3116.7760000000003,,3116.7760000000003,0.0,0.0,0.0,0.0,0.0,0.0025,363.0653,0.0,0.0,1.0,464.7119000000004,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,65.44885774926716,3.7481977921183436,69.1970555413855,10.948961927286797,3.3804062648647326,14.329368192151529,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-327.0079750000007,0.0,23,2560.0,622.9970000000002,2475.9546,366.7577999999996,57.105000000000004,0.0,0.0,0.0,0.0,179,589.2908,2560.0,622.9970000000002,309.6528000000001,271.0,0.0,0.0,0.015,4.17463252108715,5.0470576271186705,2.5555056249999986,1.52451786743516,2.9660193978611114,3.8761541909727946,1062.0,1067.0,531.0,2045.3333333333333,1524.0,204.0,129,0,0,1,42,30.0,2048.0,28112.935999999976,4300.0317,7480.1972000000005,584,184,0,98,0.24486271152506478,0.5734069962473147,0.37456543745642845,0,7343.919800000021,4454.332899999989,42,0,640.0,0,0,0,0.0,0,0.0,81168.39513333359,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1635.523599999999,256.0,4799.5172999999995,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,129,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6490829448002156,414,26470.353199999998,98,54698.04193333333,4,14296.733166666661,4,4369.007099999999,2,1353.6631,-2753.7107000000005,77.90104166666664,0,0,531,531,6 + charge on balances,sumsy,9,4.3655745685100555e-11
11,512,4,4,47542.492799999956,0.0,10665.148299999993,111.8619,3222.1049000000003,,3222.1049000000003,0.0,0.0,0.0,0.0,0.0,0.0025,381.5379,0.0,0.0,1.0,468.3941999999995,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,64.51529597008836,3.612944753934618,68.12824072402297,12.300582272793955,3.279414868645516,15.57999714143947,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-364.4751749999996,0.0,27,2560.0,662.5455,3128.4233000000004,385.2634999999998,55.853,0.0,0.0,0.0,0.0,180,600.6143999999999,2560.0,662.5455,329.4104999999998,271.0,0.0,0.0,0.015,4.217261632270173,5.134997744360868,2.606667343750005,1.553547701149425,3.153247969986477,4.942490999327684,1064.0,1066.0,532.0,2046.6666666666667,1526.0,204.0,130,0,0,2,43,31.0,2048.0,29645.497799999972,4645.5133,7405.0691,584,184,0,98,0.2631882376129515,0.5698478546178705,0.3703451902740642,0,7614.814999999979,4495.600900000004,43,0,640.0,0,0,0,0.0,0,0.0,81205.3133291066,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1668.2671000000032,256.0,4864.2603,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,130,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6485018579437944,414,26997.568499999983,98,54207.74482910669,4,14696.600480403475,4,4531.1542,2,1325.468,-2840.5670000000005,76.225893371758,0,0,532,532,6 + charge on balances,sumsy,9,4.3655745685100555e-11
12,512,4,4,49402.83459999999,0.0,10113.2793,95.3087,3313.745,,3313.745,0.0,0.0,0.0,0.0,0.0,0.0025,398.9144,0.0,0.0,1.0,473.1780000000004,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,65.23199494693228,3.6557885213224006,68.88778346825467,13.480902560615128,3.370849186210925,16.851751746826054,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-399.15999999999656,0.0,31,2560.0,699.6582000000005,2508.792,402.7059000000004,54.7721,0.0,0.0,0.0,0.0,181,605.6451,2560.0,699.6582000000005,347.9338000000005,271.0,0.0,0.0,0.015,4.212199077490774,5.178410694183887,2.715872031249998,1.5559727793696265,3.133356515144409,4.877940447721938,1066.0,1084.0,533.0,2045.3333333333335,1528.0000000000002,204.0,129,0,0,1,56,36.0,2048.0,30975.673300000024,5029.2081,7441.0308,584,184,0,98,0.2800688344357063,0.572910167089046,0.374104880321946,0,7566.654200000016,4566.023799999999,56,0,640.0,0,0,0,0.0,0,0.0,82868.99407356321,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1738.1580999999987,256.0,4952.3629,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,129,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6531961911359299,414,27330.56220000002,98,55538.431873563204,4,15709.982750574709,4,4804.3910000000005,2,1290.98,-2914.8306,77.67738505747126,0,0,533,533,6 + charge on balances,sumsy,9,4.3655745685100555e-11
13,512,4,4,51224.78820000007,0.0,9579.350900000003,113.43270000000001,3387.4374,,3387.4374,0.0,0.0,0.0,0.0,0.0,0.0025,419.026,0.0,0.0,1.0,472.6067999999996,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,66.2365892746408,3.4746200042352213,69.71120927887603,15.154458258906693,3.1922736578900928,18.346731916796784,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-431.03239999999573,0.0,37,2560.0,738.046400000001,4386.2731,422.9142000000009,55.8346,0.0,0.0,0.0,0.0,182,607.6596,2560.0,738.046400000001,367.0796000000006,271.0,0.0,0.0,0.015,4.227676338028166,5.150914842300558,2.7682195312499998,1.5631369014084526,3.131530478243168,4.731602234290281,1078.0,1065.0,539.0,2046.6666666666667,1540.0,204.0,126,0,0,1,45,33.0,2048.0,32375.928299999974,5413.9751,7420.154,584,184,0,98,0.2938651414246187,0.5728771148291596,0.3721622340545845,0,7583.307000000012,4502.475299999997,45,0,640.0,0,0,0,0.0,0,0.0,83790.00745759302,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1771.6604999999997,256.0,4988.0452000000005,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.655310089354727,414,27832.77730000002,98,55957.23015759308,4,16479.673470200563,4,5020.789200000001,2,1253.4758,-2968.4114,77.79863896848133,0,0,539,539,6 + charge on balances,sumsy,9,4.3655745685100555e-11
14,512,4,4,53009.43780000001,0.0,9056.786700000004,126.78450000000001,3442.7573,,3442.7573,0.0,0.0,0.0,0.0,0.0,0.0025,437.7436,0.0,0.0,1.0,474.3459000000005,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,67.06338993588454,3.234445620324867,70.29783555620942,16.500140352208707,3.092507222050269,19.592647574258976,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-460.45862499999237,0.0,41,2560.0,775.3504000000008,3448.2052000000003,441.71459999999996,56.025,0.0,0.0,0.0,0.0,183,607.9748999999999,2560.0,775.3504000000008,385.68960000000015,271.0,0.0,0.0,0.015,4.230785255198485,5.151618504672891,2.854888125000003,1.578534472934473,3.1582127840253,4.769720686233133,1070.0,1058.0,535.0,2046.6666666666667,1532.0,204.0,128,0,0,2,47,22.0,2048.0,33750.85049999996,5796.912899999999,7420.219,584,184,0,98,0.3096521599310784,0.575319518641821,0.38357466374514626,0,7569.12749999999,4476.170799999996,47,0,640.0,0,0,0,0.0,0,0.0,84794.33052112679,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1827.128400000002,256.0,4995.7369,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,128,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6591592070390224,414,28187.614100000017,98,56606.71642112682,4,17291.134192957765,4,5258.129499999999,2,1214.2723999999998,-3005.0137000000004,78.15684507042263,0,0,535,535,6 + charge on balances,sumsy,9,4.3655745685100555e-11
