round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,26735.4994,0.0,1136.4364999999996,1136.4365,561.0,,561.0,0.0,0.0,0.0,0.0,0.0,0.0025,123.4512,1683.0,0.0,1.0,561.0,956.4454000000003,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,60.32167564754392,2.889746522233044,63.21142216977696,10.315571568627453,1.4926150980392157,11.808186666666668,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,54,2560.0,249.78059999999982,7866.6371,124.40419999999965,0.0,0.0,0.0,0.0,0.0,0,258.1752,2560.0,249.78059999999982,124.40419999999965,274.0,0.0,3739.6,0.0,5.0,5.200000000000013,2.0,NaN,3.594822888283399,3.9200000000000013,320.0,320.0,160.0,2048.0,734.0,204.0,328,0,0,0,165,0.0,2048.0,19426.391400000037,0.0,4363.9349,586,182,0,102,0.27613985757009263,0.5724866011258998,0.6648312848196016,10,5097.930199999997,1600.0,0,0,520.0,512,0,0,19426.391400000037,586,69901.65701342751,69901.65701342751,0.0,320,520,0,1.5,0,0.0,512,512,69901.65701342751,586,30720.0,0,552,1040.0,208.0,2563.5467,4,35.344,35.38660000000017,0.715675325957931,5120.0,75.76822916666667,0.22261595052083336,784,0,0.0,0,6458.817190347843,3879.3333333333335,269,0.5752604166666666,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,6,6,3463.7196,3072,720.0,720.0,298.6165,2255.2651000000005,1127.6416000000004,1127.6235000000004,17.672,17.672,8708.185599999995,3463.7619999999997,0.572701914047544,410,42791.530482997514,102,27110.126530430138,4,0.0,4,480.0,2,258.1752,-437.5488,37.5,0,0,160,160,SB2 best SuMSy + everyone greedy,sumsy,2,-4.3655745685100555e-11
2,512,4,4,28975.906500000037,0.0,14241.576500000008,5276.551300000003,998.5488,,998.5488,0.0,0.0,0.0,0.0,0.0,0.0025,157.0055,1683.0,0.0,1.0,561.0,928.0293333333334,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,79.36848831951764,2.358405711992642,81.72689403151028,11.40175901960784,1.3892621568627452,12.791021176470586,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-5.532274999999998,0.0,60,2560.0,319.59289999999794,11164.080800000002,158.8668000000001,0.0,0.0,0.0,0.0,0.0,31,392.2306,2560.0,319.59289999999794,158.8668000000001,274.0,0.0,2825.140499999975,0.015,5.0,5.515179045996589,2.0,1.1320010152284266,3.5532585024492693,17.38165689102564,1174.0,1174.0,587.0,2048.0,1429.0,204.0,154,0,0,0,50,0.0,2048.0,19228.19919999999,0.0,8634.9537,378,390,0,64,0.35063350848089914,0.6308277547606691,0.6119019067081211,12,5423.674799999995,5870.0,0,0,122.0,512,0,0,19228.19919999999,378,79665.59392958561,79665.59392958561,0.0,150,122,0,1.5,0,0.0,512,512,79665.59392958561,378,30720.0,0,1619,244.0,49.0,563.5174999999999,4,5.8332999999999995,5.8266999999999225,0.9823513757877859,5120.0,72.060546875,0.19499655411157857,1667,0,0.0,0,3299.7116644535713,3689.5,271,0.6393366754165136,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,154,0.0,6,6,3951.8488,3072,720.0,720.0,921.7335000000005,14513.487151957232,7921.555707624235,6591.931444332997,2.0545999999999998,3.7787,10726.116600000001,5246.622399999999,0.6334800453288862,448,62037.43755519207,64,17628.15637439335,4,0.0,4,467.7988,2,392.2306,-841.5433,37.77043269230769,0,0,587,587,SB2 best SuMSy + everyone greedy,sumsy,2,-4.3655745685100555e-11
3,512,4,4,31177.644500000028,0.0,15653.9656060914,1229.5123000000003,1402.5433,,1402.5433,0.0,0.0,0.0,0.0,0.0,0.0025,175.9901,1683.0,0.0,1.0,561.0,909.5514333333334,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,2,110.54329830461407,3.132726660918123,113.67602496553218,11.241510784313727,1.2661317647058825,12.507642549019609,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-59.24887499999998,0.0,67,2560.0,358.262,4676.862700000001,178.08459999999994,0.0,0.0,0.0,0.0,0.0,239,492.429,2560.0,358.262,178.08459999999994,274.0,0.0,1902.962499999993,0.015,5.683555246422888,5.482592527821939,2.0,1.3586632034632027,3.5559383683875163,16.860207184294868,1258.0,1258.0,629.0,2048.0,1569.0,204.0,119,0,0,2,105,0.0,2048.0,20133.97729999999,0.0,9665.9107,370,398,0,63,0.3376269767495068,0.6437552948207985,0.459832132113285,9,8746.830599999976,7149.912499999993,0,0,262.0,512,0,0,20133.97729999999,370,108519.91521068808,108519.91521068808,0.0,236,262,0,1.5,0,0.0,512,512,108519.91521068808,370,30720.0,0,776,524.0,105.0,709.3374,4,0.0,0.0,1.507435607865629,5120.0,70.75846354166667,0.3365771695219965,831,0,0.0,0,1425.9733683327363,3622.8333333333335,259,1.1333387094249714,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,119,0.0,6,6,4565.0019,3072,720.0,720.0,1446.8075000000003,16697.254692046667,8997.209929376193,7700.0447626704745,0.0,0.0,9827.12629999999,5810.2462,0.6436420369283053,449,82467.68973487515,63,26052.22547581302,4,0.0,4,456.4031,2,492.429,-1226.5532,56.60005076142133,0,0,629,629,SB2 best SuMSy + everyone greedy,sumsy,2,-4.3655745685100555e-11
4,512,4,4,33347.6079,0.0,18030.923699999967,3677.930500000001,1864.247,,1864.247,0.0,0.0,0.0,0.0,0.0,0.0025,191.0754,1740.52035,0.0,1.0,637.6937999999999,932.8903250000002,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,3,93.74623037831701,3.4717837343111335,97.21801411262815,5.320275098937697,1.3237399292182497,6.6440150281559465,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-118.61067499999999,0.0,76,2560.0,390.03659999999985,8874.287500000002,193.70349999999993,0.0,0.0,0.0,0.0,0.0,48,61.180099999999996,2560.0,390.03659999999985,193.70349999999993,274.0,0.0,770.1580999999969,0.015,5.879165874363329,5.664126552795023,2.0,1.4588300813008144,3.5606976849261707,16.354400968766026,1288.0,1178.0,644.0,2045.3333333333335,1642.0000000000002,204.0,101,0,0,0,71,0.0,2048.0,19650.912300000007,76.9544,12608.2362,386,382,0,78,0.20816437706932622,0.6160868247543461,0.3408978886819092,10,9777.583399999992,6925.657400000001,0,0,286.0,512,0,0,19650.912300000007,386,112838.59364299334,112838.59364299334,0.0,154,286,0,1.5,0,0.0,512,512,112838.59364299334,386,30720.0,0,414,572.0,148.0,759.2494999999999,4,0.0,0.0,1.349216655693584,5120.0,70.75846354166667,0.40843930445639404,446,0,0.0,0,720.2963253782927,3622.8333333333335,256,0.9489228034893227,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,101,0.0,6,6,6550.565100000001,3072,720.0,720.0,1964.8882999999996,15091.848463856317,7717.579181928157,7374.269281928156,0.0,0.0,8314.499200000004,6893.875000000001,0.6159737581634943,434,77281.37094200116,78,35557.22270099245,4,0.0,4,444.2019,2,552.2689,-1673.1716000000001,67.93316017316013,0,0,644,644,SB2 best SuMSy + everyone greedy,sumsy,2,-4.3655745685100555e-11
5,512,4,4,35482.86109999998,0.0,19120.21289999999,1930.0002000000009,2332.8158000000003,,2332.8158000000003,0.0,0.0,0.0,0.0,0.0,0.0025,208.0098,1788.2028,0.0,1.0,659.6442,949.60334,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,114.33975083962787,3.8354371222260943,118.17518796185398,4.07015721670824,1.7352936844751834,5.8054509011834226,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-206.91377500000027,0.0,82,2560.0,424.74679999999995,4239.5473999999995,210.91720000000018,0.0,0.0,0.0,0.0,0.0,43,352.1013,2560.0,424.74679999999995,210.91720000000018,274.0,0.0,0.0,0.015,5.86140168067227,5.733319074074066,1.9851973684210522,1.6122791139240504,3.3556085306132832,15.863768939703045,1080.0,1190.0,540.0,2048.0,1408.0,204.0,160,0,0,1,83,0.0,2048.0,20242.7001,35.03,13713.8595,386,382,0,79,0.16667048074414548,0.634179122006064,0.3124181518014233,3,8197.698499999999,6975.068000000002,0,0,304.0,512,0,0,20242.7001,386,134684.53822469607,134684.53822469607,0.0,167,304,0,1.5,0,0.0,512,512,134684.53822469607,386,30720.0,0,565,603.4999999999999,122.0,931.1604,4,82.8329,82.81470000000016,1.9411565356478693,5120.0,70.76822916666667,0.47491474193872835,587,0,0.0,0,1112.625105287674,3623.3333333333335,260,1.4890283064102967,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,160,0.0,6,6,6686.1431999999995,3072,720.0,720.0,2829.1205000000004,10198.00116652486,5754.845376317209,4443.155790207652,40.4165,42.4164,9051.838199999997,7993.9067000000005,0.6324716612610102,433,94148.18337473496,79,40536.35484996107,4,0.0,4,1020.9423999999999,2,818.6353999999999,-2124.8060000000005,72.94150406504072,0,0,540,540,SB2 best SuMSy + everyone greedy,sumsy,2,-4.3655745685100555e-11
6,512,4,4,37575.1493,0.0,20849.664299999993,2660.333400000001,2782.456100000001,,2782.456100000001,0.0,0.0,0.0,0.0,0.0,0.0025,228.6745,1818.9940499999998,0.0,1.0,657.6501,953.4204833333333,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,116.9272515527462,4.210806455414469,121.13805800816067,3.3836813729510107,1.7651819069481947,5.148863279899206,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-305.23707499999983,0.0,86,2560.0,467.7117999999998,3892.209100000001,232.12799999999956,0.0,0.0,0.0,0.0,0.0,39,156.8764,2560.0,467.7117999999998,232.12799999999956,274.0,0.0,0.0,0.015,5.81260417376491,5.728418568994884,1.9849999999999994,1.7841029268292683,3.3682989763177833,15.387855871511952,1174.0,1174.0,587.0,2046.6666666666667,1496.0,204.0,137,1,1,0,86,0.0,2047.0,19513.667499999996,763.1534,15829.2898,386,382,0,80,0.14683286415830366,0.6267234937358794,0.3291868832945135,2,7868.145400000012,6823.9973000000045,0,0,288.0,512,1,0,19513.667499999996,386,140690.10233727924,140690.10233727924,0.0,152,288,0,1.5,0,0.0,512,512,140690.10233727924,386,30720.0,0,506,571.6799999999998,116.0,1083.4877,4,65.3455,65.35709999999962,1.9483262840128266,5120.0,68.46354166666667,0.5612338242929191,580,0,0.0,0,1273.8916687249525,3505.3333333333335,257,1.6214211397827702,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,137,0.0,6,6,8867.9302,3072,720.0,720.0,3323.2229,8549.56014871378,4273.41087614905,4276.149272564732,34.035399999999996,31.310100000000002,8766.1113,8808.0007,0.6251872414514186,432,94886.46889078626,80,45803.63344649293,4,0.0,4,979.2940000000003,2,950.957,-2553.7816000000007,80.61395569620252,0,0,587,587,SB2 best SuMSy + everyone greedy,sumsy,2,-4.3655745685100555e-11
7,512,4,4,39624.56550000002,0.0,21389.272599999975,1576.9910000000002,3205.954300000001,,3205.954300000001,0.0,0.0,0.0,0.0,0.0,0.0025,249.7306,1838.640342857142,0.0,1.0,652.1726999999992,949.439252380952,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,117.75542522740079,4.067123766233406,121.8225489936342,6.021532897918185,1.7394677071831335,7.7610006051013185,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-419.487075000001,0.0,92,2560.0,510.5838000000002,3795.9916,253.4378,0.0,0.0,0.0,0.0,0.0,60,293.972,2560.0,510.5838000000002,253.4378,274.0,0.0,0.0,0.015,5.7455272097053625,5.712373483535533,1.9849999999999997,1.9781169230769227,3.2431637038064642,14.926220195366595,1154.0,1154.0,577.0,2047.0,1444.0,204.0,151,0,0,0,55,0.0,2048.0,20450.500099999983,1445.9807999999998,16240.1476,386,382,0,80,0.205969158470527,0.6193476830175775,0.3413624365755408,5,7512.17579999999,6630.338399999988,0,0,208.0,512,0,0,20450.500099999983,386,144263.62645317396,144263.62645317396,0.0,130,208,0,1.5,0,0.0,512,512,144263.62645317396,386,30720.0,0,1380,412.87999999999994,84.0,944.2344,4,126.0296,126.04210000000107,1.8686762326760533,5120.0,53.307291666666664,0.6435313478150407,1567,0,0.0,0,2479.975352916867,2729.3333333333335,300,1.8236115085965041,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,151,0.0,6,6,9333.135400000001,3072,720.0,720.0,4058.8180999999995,7493.250262066577,3779.044682239504,3714.205579827073,66.7007,59.3289,10563.178200000004,9297.227400000002,0.618205836973649,432,94532.39634240037,80,49731.23011077372,4,0.0,4,1107.5124999999998,2,1179.7031,-2956.223700000001,89.20514634146342,0,0,577,577,SB2 best SuMSy + everyone greedy,sumsy,2,-4.3655745685100555e-11
8,512,4,4,41630.83670000002,0.0,21614.276899999983,1322.3746999999996,3600.8739000000005,,3600.8739000000005,0.0,0.0,0.0,0.0,0.0,0.0025,270.8689,1850.5541249999997,0.0,1.0,644.6502000000003,940.1120791666665,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,140.71538579109006,4.71796509593695,145.433350887027,5.849791506989202,1.744176532409825,7.593968039399027,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-539.1591608466738,0.0,94,2560.0,553.7287999999996,1901.842099999999,274.8661999999998,0.0,0.0,0.0,0.0,0.0,62,494.38660000000004,2560.0,553.7287999999996,274.8661999999998,274.0,0.0,0.0,0.015,5.671206050420179,5.663051428571426,1.985245901639344,2.0416267605633798,3.24663845577574,14.478433589505594,1190.0,1190.0,595.0,2048.0,1494.0,204.0,138,1,1,2,66,0.0,2047.0,20893.889800000008,2103.0523,16789.465600000003,386,382,0,80,0.217787992620605,0.6261202669478876,0.33986922994063296,1,7717.595900000006,6748.735200000013,0,0,244.0,512,1,0,20893.889800000008,386,166380.22281786505,166380.22281786505,0.0,170,244,0,1.5,0,0.0,512,512,166380.22281786505,386,30720.0,0,1986,484.3999999999999,98.0,1079.1735,4,164.6837,164.68329999999838,2.363527921254619,5120.0,51.5625,0.7386986643629806,2030,0,0.0,0,1345.3050614097572,2640.0,291,2.0934738565195787,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,138,0.0,6,6,10000.6839,3072,720.0,720.0,4621.9494,7219.468605660912,3658.253480433748,3561.2151252271633,86.2736,78.4101,10383.944999999994,9971.007500000002,0.6248445446351074,432,110826.16984258732,80,55554.052975277424,4,0.0,4,1061.4645,2,1336.6952,-3330.0050000000006,98.90584615384613,0,0,595,595,SB2 best SuMSy + everyone greedy,sumsy,2,-4.3655745685100555e-11
9,512,4,4,43595.15709999998,0.0,21948.468499999984,1476.7339,3966.3167000000003,,3966.3167000000003,0.0,0.0,0.0,0.0,0.0,0.0025,291.5551,1857.0408999999997,0.0,1.0,636.3117000000003,927.2696333333332,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,133.3358031347774,5.1028575941735586,138.43866072895094,7.010080817316195,1.6823460984709122,8.692426915787106,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-660.8408858457287,0.0,99,2560.0,595.6796000000006,1668.0146000000002,295.7451000000008,0.0,0.0,0.0,0.0,0.0,67,208.4564,2560.0,595.6796000000006,295.7451000000008,274.0,0.0,0.0,0.015,5.6161724390243934,5.642487642276438,1.9849999999999994,2.016918454935624,3.279768599952279,14.044080581820424,1230.0,1230.0,615.0,2044.3333333333335,1596.0,204.0,111,0,0,0,69,0.0,2048.0,21688.68269999999,2774.3316999999997,17338.632400000002,386,382,0,80,0.25063408639533535,0.6078489158134719,0.31444429699024745,1,8118.633800000023,6907.892100000004,0,0,400.0,512,0,0,21688.68269999999,386,162976.96781749264,162976.96781749264,0.0,206,400,0,1.5,0,0.0,512,512,162976.96781749264,386,30720.0,0,1415,793.9999999999998,160.0,1293.4988,4,159.61180000000002,159.61720000000025,2.1507820194404608,5120.0,51.5625,0.7942320809033889,1446,0,0.0,0,1803.4974914028774,2640.0,282,2.3285485587403554,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,111,0.0,6,6,10739.4392,3072,720.0,720.0,5372.182199999998,7247.405282918032,3628.5892892835254,3618.8159936345073,82.1198,77.492,9395.083700000001,10667.0237,0.6071964723838015,432,105402.09346975131,80,57574.874347741235,4,0.0,4,1015.4414999999999,2,1410.5712999999998,-3674.7616000000003,102.08133802816899,0,0,615,615,SB2 best SuMSy + everyone greedy,sumsy,2,-4.3655745685100555e-11
10,512,4,4,45520.7562,0.0,22090.614100000017,1343.4068999999993,4304.8972,,4304.8972,0.0,0.0,0.0,0.0,0.0,0.0025,310.6274,1860.3774899999994,0.0,1.0,630.1355999999995,912.9928933333329,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,162.8869674724402,5.464096899343712,168.35106437178393,7.312359093977022,1.67100146137454,8.983360555351561,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-786.5612858457307,0.0,105,2560.0,634.4009000000005,2393.6424999999995,315.0096,0.0,0.0,0.0,0.0,0.0,65,393.37739999999997,2560.0,634.4009000000005,315.0096,274.0,0.0,0.0,0.015,5.543289522998296,5.682321596244157,1.9838506876227893,2.0052023346303502,3.2182976246533372,13.622758164365813,1278.0,1174.0,639.0,2048.0,1706.0,204.0,85,0,0,1,78,0.0,2048.0,22478.249300000003,3499.0177999999996,17361.3185,386,382,0,80,0.2614956029213682,0.625928845505991,0.2612664180160862,0,8404.433599999975,6507.8219,0,0,509.0,512,0,0,22478.249300000003,386,186128.25956733778,186128.25956733778,0.0,151,509,0,1.5,0,0.0,512,512,186128.25956733778,386,30720.0,0,917,1009.7799999999997,222.0,1478.1658,4,98.84349999999999,98.81689999999921,2.8731773606672633,5120.0,51.565755208333336,0.8039732233687641,925,0,0.0,0,1315.7000562588953,2640.1666666666665,270,2.3489015475446844,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,85,0.0,6,6,11449.596300000001,3072,720.0,720.0,5738.345299999997,7581.828568058113,3665.3947222763527,3916.43384578176,70.9896,27.8539,8850.651899999999,10888.9058,0.624939426977005,432,126761.80024941292,80,59366.459317925015,4,0.0,4,969.3935000000001,2,1613.4568,-3994.2698000000005,100.84592274678118,0,0,639,639,SB2 best SuMSy + everyone greedy,sumsy,2,-4.3655745685100555e-11
11,512,4,4,47408.29180000006,0.0,22159.538699999994,1320.4277,4616.225,,4616.225,0.0,0.0,0.0,0.0,0.0,0.0025,329.5378,1860.8764090909087,0.0,1.0,621.9552,896.9961121212118,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,166.16608948883976,5.476272049937394,171.64236153877715,8.730347021509067,1.6686358044574867,10.398982825966554,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-914.1713858457307,0.0,113,2560.0,672.4644,3517.8070000000007,334.00149999999996,0.0,0.0,0.0,0.0,0.0,68,345.1589,2560.0,672.4644,334.00149999999996,274.0,0.0,0.0,0.015,5.441452464494569,5.688810231023104,1.9576158940397408,2.0028437500000007,3.2806739652411845,13.214075419434836,1212.0,1197.0,606.0,2046.6666666666667,1674.0,204.0,93,0,0,0,97,0.0,2048.0,24008.268399999975,4174.4455,17129.565,386,382,0,80,0.2890343361514831,0.6265675074227228,0.2623764459547948,1,8308.162700000006,6513.418599999999,0,0,453.0,512,0,0,24008.268399999975,386,186836.5475560613,186836.5475560613,0.0,173,453,0,1.5,0,0.0,512,512,186836.5475560613,386,30720.0,0,667,886.8000000000026,256.0,1421.3162,4,164.2269,164.24980000000107,2.8912237983477858,5120.0,51.559244791666664,0.8439678541337345,671,0,0.0,0,1146.0677738712602,2639.8333333333335,263,2.6598113625049864,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,93,0.0,6,6,10907.8363,3072,720.0,720.0,6224.210100000001,6475.715966440766,3456.0223154628625,3019.693650977903,44.315799999999996,119.9111,8727.096199999998,11817.4904,0.6248413115858091,432,127321.80086509333,80,59514.74669096779,4,0.0,4,1323.3808,2,1726.0709000000002,-4286.6872,100.26011673151751,0,0,606,606,SB2 best SuMSy + everyone greedy,sumsy,2,-4.3655745685100555e-11
12,512,4,4,49261.2124999999,0.0,22621.73079999999,1763.2980000000002,4897.218400000001,,4897.218400000001,0.0,0.0,0.0,0.0,0.0,0.0025,346.5484,1858.4361749999998,0.0,1.0,610.5311999999999,879.9101583333331,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,177.66132251596875,5.8112264257024,183.47254894167116,9.265744426165899,1.8836648148449222,11.14940924101082,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-1043.0700971800206,0.0,118,2560.0,707.0793,3327.634400000001,351.20939999999985,0.0,0.0,0.0,0.0,0.0,74,294.79740000000004,2560.0,707.0793,351.20939999999985,274.0,0.0,0.0,0.015,5.334138494077836,5.684296993670915,1.9034517766497625,1.9879728000000008,3.1947929122342456,12.81765315685179,1264.0,1182.0,632.0,2048.0,1726.0,204.0,80,0,0,0,99,0.0,2048.0,25038.595499999992,4867.9926,17442.8872,386,382,0,80,0.29704894181670727,0.6246565009391285,0.25765198624452346,2,8361.077800000003,6304.951700000002,0,0,394.0,512,0,0,25038.595499999992,386,195743.2415871441,195743.2415871441,0.0,159,394,0,1.5,0,0.0,512,512,195743.2415871441,386,30720.0,0,637,749.9600000000064,256.0,1270.3914,4,113.5417,113.52440000000094,3.132806670317191,5120.0,51.591796875,0.8560952221679689,642,0,0.0,0,1370.9687632053672,2641.5,256,2.689108820476545,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0.0,6,6,11780.1751,3072,720.0,720.0,6436.972199999995,6570.5760024317915,3308.3562057305317,3262.219796701259,50.9091,62.6326,8901.171099999998,11801.0961,0.6231339853895672,432,135021.48322740942,80,60721.758359734835,4,0.0,4,1474.2995999999998,2,1862.6239000000005,-4550.670000000001,100.14218750000003,0,0,632,632,SB2 best SuMSy + everyone greedy,sumsy,2,-4.3655745685100555e-11
13,512,4,4,51074.61970000008,0.0,22450.85079999998,1202.6732000000004,5149.160100000001,,5149.160100000001,0.0,0.0,0.0,0.0,0.0,0.0025,366.0422,1867.8087,0.0,1.0,598.4900999999996,859.121025,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,186.61054474564315,6.277573003549522,192.88811774919267,10.17735196831367,1.8332401518261754,12.010592120139847,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-1177.353097180022,0.0,127,2560.0,746.5928000000014,3957.1577,370.87880000000024,0.0,0.0,0.0,0.0,0.0,77,424.7951,2560.0,746.5928000000014,370.87880000000024,274.0,0.0,0.0,0.015,5.226090726429677,5.796516313213723,1.848580516898619,1.9752391304347843,3.1134129970589757,12.433123562146235,1226.0,1294.0,613.0,2048.0,1688.0,204.0,90,1,1,0,131,0.0,2047.0,25912.2966,5548.8027,17483.7575,385,383,0,80,0.31848138292224415,0.6201043871563123,0.24500670728321117,0,8039.253199999998,6762.561400000002,0,0,503.0,512,1,0,25912.2966,385,202566.11579457793,202566.11579457793,0.0,273,503,0,1.5,0,0.0,512,512,202566.11579457793,385,30720.0,0,637,929.8360000000054,256.0,1338.9255999999998,4,196.0695,196.06520000000148,3.3219406482609988,5120.0,51.624348958333336,0.8591533476562504,652,0,0.0,0,1693.9939913493681,2643.1666666666665,250,3.0837828841565966,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,90,0.0,6,6,12715.1466,3072,720.0,720.0,6585.896599999997,5285.964568205148,2580.152499265691,2705.812068939457,156.1118,39.9577,8640.778699999992,11656.3392,0.618875472094971,432,141274.29159190328,80,61291.82420267464,4,0.0,4,1803.4033,2,2020.7906999999996,-4783.117900000001,99.39864000000004,0,0,613,613,SB2 best SuMSy + everyone greedy,sumsy,2,-4.3655745685100555e-11
