round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,27624.186000000023,0.0,27746.3124,0.0,3516.76,,0.0,3468.76,48.0,0.0,48.0,0.0,0.00375,39.7592,11820.0036,0.0,0.9588,3940.0011999999997,7403.748933333329,0.02,0.0,1.02,0.0,0.0,1.02,0.0,0,0,17.746082578464996,3.9179278001694215,21.66401037863442,7.000864901960784,2.2961927450980393,9.297057647058825,0.0,0.0,0.0,0.0,0,0,0.0,0.0,39.7592,1.02,1.02,0.0,0.0,0.0,0.0612,0.5,0.25,122.12639999999999,122.12639999999999,0.0,4,3728.120000000001,529.2139999999999,4707.320400000001,463.0004000000044,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3280.0,0.0,0.005,NaN,5.200000000000013,NaN,0.75,3.729700272479588,3.9200000000000013,320.0,0.0,160.0,2048.0,734.0,204.0,328,0,0,0,0,0.0,2048.0,20030.359999999997,2163.1396,3192.6188,720,48,0,128,0.21346655218784139,0.33759203480281186,0.06931502752335228,0,5678.360000000012,0.0,0,0,0.0,512,0,0,20030.359999999997,720,33843.40955590451,33843.40955590451,0.0,0,0,0,1.5,0,0.0,512,512,33843.40955590451,720,61440.0,0,0,0.0,208.0,2198.3084,4,0.0,0.0,0.3719433304625297,5120.0,87.75390625,-0.2632754817708334,267,0,0.0,0,2934.9354396693825,4493.0,251,0.12494947540560601,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,0,12,0.0,0,0.0,1440.0,0.0,1511.2132000000006,0.0,1511.2132000000006,0.0,0.0,10645.41500000001,7554.0668000000005,0.3503860288694387,384,15632.725227520337,128,18210.684328384115,4,48.0,4,0.0,2,114.28640000000101,-3429.0008000000003,11.25,0,0,160,160,S4 rung 12 + everyone greedy,debt,8,5.093170329928398e-11
2,512,4,4,27139.517699999935,0.0,27343.3891,0.0,5193.2792,,0.0,3295.322,1897.9571999999998,0.0,1849.9571999999998,0.18,0.00375,381.954,9981.417300000005,0.0,0.91929744,2714.2770000000028,5596.72179999999,0.02,352.8774000000004,1.0404,0.0,0.0,1.0404,0.0,0,0,41.80148504648132,3.298945047804821,45.10043009428613,5.140995257752217,2.7113023572001866,7.852297614952404,0.0,0.0,0.0,0.0,0,0,0.0,0.0,366.022,1.0404,1.0404,0.0,0.0,0.0,0.062424,0.5,0.25,203.87139999999997,260.83820000000003,0.0,8,247.53710000000007,732.2053999999999,2163.0074,1397.476400000021,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2086.824000000003,0.0,0.005307142257220664,4.8939999999999895,5.430262500000015,1.8499999999999963,1.1234549479166667,3.524302143492212,3.802399999999999,864.0,1134.0,432.0,2048.0,1185.0,204.0,215,0,0,0,81,0.0,2048.0,18320.906799999997,2264.877,4407.076899999999,720,48,0,128,0.17357469177132967,0.5034914268623609,0.10450197942939776,0,6031.882700000026,5549.795999999988,0,0,117.0,512,0,0,18320.906799999997,720,44880.801609978414,44880.801609978414,0.0,110,117,0,1.5,0,0.0,512,512,44880.801609978414,720,61440.0,0,0,216.44999999999956,115.0,1764.703,4,53.1063,37.1744,0.5468915335279435,5120.0,80.89029947916667,-0.24207994628906251,263,0,0.0,0,3011.074152702583,4141.583333333333,286,0.4332425834330915,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,215,0.0,0,12,0.0,0,0.0,1440.0,130.8119,10706.62920626711,0.0,10706.62920626711,0.0,53.1063,9963.658400000011,8436.6569,0.5126264185536888,384,15203.444463618565,128,29677.357146359846,4,48.0,4,0.0,2,196.42339999999817,-2913.368,11.25,0,0,432,432,S4 rung 12 + everyone greedy,debt,8,5.093170329928398e-11
3,512,4,4,28537.752400000056,0.0,28780.567500000016,0.0,6001.7844000000005,,0.0,3121.884,2879.9004,0.0,981.9432,7.117351499999999,0.00375,303.3548,8917.685200000004,0.0,0.8814223854719999,2263.4070000000006,4757.2140666666655,0.02,341.86349999999834,1.061208,0.0,0.0,1.061208,0.0,0,0,59.59826684855198,2.8345438998087995,62.43281074836079,4.031582690289038,2.78753976457768,6.819122454866719,0.0,0.0,0.0,0.0,0,0,0.0,0.0,285.6916,1.061208,1.061208,0.0,0.0,0.0,0.06367247999999999,0.5,0.25,242.81510000000003,397.5071999999998,0.0,9,2137.9260000000013,739.6913000000001,3277.951300000001,1399.8965999999841,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1626.4680000000012,0.0,0.009322018121188387,4.829499999999991,5.46467458866546,1.7459000000000036,1.328853907815631,3.4754416765296954,4.843587922840702,1094.0,1097.0,547.0,2048.0,1384.0,204.0,165,0,0,0,54,0.0,2048.0,18041.082800000007,4319.2485,4456.0362000000005,720,48,0,128,0.14321732948364785,0.5856658901636844,0.11749885449480235,0,6344.901100000019,5297.961499999989,0,0,102.0,512,0,0,18041.082800000007,720,57053.95421430993,57053.95421430993,0.0,73,102,0,1.5,0,0.0,512,512,57053.95421430993,720,61440.0,0,0,178.08180000000036,84.0,1418.0301000000002,4,58.878600000000006,41.215599999999995,0.6798583531476037,5120.0,79.2236328125,-0.23325129130045572,147,0,0.0,0,1241.261651060558,4056.25,296,0.5805271922486451,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,165,0.0,0,12,0.0,0,0.0,1440.0,207.23380000000003,13546.125266972713,0.0,13546.125266972713,0.0,58.878600000000006,10705.143199999988,10193.3148,0.5930294986684466,384,15286.876162044844,128,41767.078052265264,4,48.0,4,0.0,2,235.75909999999982,-2818.5292,16.85182421875,0,0,547,547,S4 rung 12 + everyone greedy,debt,8,5.093170329928398e-11
4,512,4,4,27900.841399999947,0.0,28177.677599999988,0.0,6865.8759,,0.0,2948.446,3917.4299,0.0,1037.5295,10.799509874999998,0.00375,364.3131,8365.210425000005,0.0,0.8451077831905535,2235.9287000000018,4275.474774999995,0.02,385.80180000000036,1.08243216,0.0,0.0,1.08243216,0.0,0,0,68.34610098621518,2.591115671861461,70.93721665807664,2.9659462169793955,2.7366061115408016,5.7025523285201976,0.0,0.0,0.0,0.0,0,0,0.0,0.0,353.40110000000004,1.08243216,1.08243216,0.0,0.0,0.0,0.0649459296,0.5,0.25,276.8362000000001,549.1166999999996,0.0,20,219.73060000000004,856.6416000000003,3209.943199999999,1459.2045000000194,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1611.5000000000014,0.0,0.009785307513310276,5.395772146118717,5.402127207207207,1.713099999999998,1.4284932938856023,3.3350211826724623,4.698280285155481,1110.0,1095.0,555.0,2048.0,1391.0,204.0,164,0,0,1,52,0.0,2048.0,16944.03560000004,4405.3171,5077.8529,720,48,0,128,0.11458345130749126,0.6199358119303269,0.12365061665855626,0,6265.672099999988,5908.370499999995,0,0,88.0,512,0,0,16944.03560000004,720,61939.398568637764,61939.398568637764,0.0,72,88,0,1.5,0,0.0,512,512,61939.398568637764,720,61440.0,0,0,150.75279999999984,75.0,1109.3227,4,36.3719,25.459999999999997,0.7583292149617458,5120.0,77.69694010416667,-0.21596829242143142,115,0,0.0,0,896.0907736748223,3978.0833333333335,299,0.8473089106632581,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,164,0.0,0,12,0.0,0,0.0,1440.0,253.1486000000001,13401.275729484902,0.0,13401.275729484902,0.0,36.3719,9927.062800000005,10592.4927,0.6265228103392018,384,14874.124723770985,128,47065.27384486676,4,48.0,4,0.0,2,270.17220000000157,-2584.1329,19.932808617234464,0,0,555,555,S4 rung 12 + everyone greedy,debt,8,5.093170329928398e-11
5,512,4,4,30199.448200000035,0.0,30489.948799999984,0.0,7880.820699999998,,0.0,2775.008,5105.812699999999,0.0,1188.3828,14.690345499999998,0.00375,352.8456,8150.290929863018,0.0,0.8102893425231027,2430.2043164383585,4085.3525465753405,0.02,389.7700999999986,1.1040808032,0.0,0.0,1.1040808032,0.0,0,0,100.84144666366352,2.1951798325284257,103.03662649619194,1.9355482715282564,2.4238690485562735,4.35941732008453,0.0,0.0,0.0,0.0,0,0,0.0,0.0,352.84560000000005,1.1040808032,1.1040808032,0.0,0.0,0.0,0.066244848192,0.5,0.25,290.5006,697.7464,0.0,55,3168.6241000000005,870.0173000000002,4373.5612,1433.2197999999971,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1736.9055000000042,0.0,0.011026586724330446,5.507818567389258,5.5769765996343805,1.6950999999999974,1.561112224448898,3.390459874491803,4.557331876600817,1094.0,1061.0,547.0,2046.6666666666667,1377.0,204.0,167,0,0,0,26,0.0,2048.0,16644.86480000002,4471.5641000000005,8097.7582999999995,720,48,0,128,0.08366658209597655,0.710190960821049,0.12227842282569723,0,6493.962000000023,5843.795500000002,0,0,93.0,512,0,0,16644.86480000002,720,84793.43794605597,84793.43794605597,0.0,37,93,0,1.5,0,0.0,512,512,84793.43794605597,720,61440.0,0,0,157.64429999999976,77.0,632.4154,4,0.0,0.0,1.1924341155295812,5120.0,77.20865885416667,-0.2034194340560281,71,0,0.0,0,717.9985017460016,3953.0833333333335,308,1.0444713373344763,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,167,0.0,0,12,0.0,0,0.0,1440.0,662.0118999999997,9723.23985702166,0.0,9723.23985702166,0.0,0.0,10395.976500000017,13201.7378,0.7131464890355386,384,14833.397771803378,128,69960.04017425276,4,48.0,4,0.0,2,284.2285000000012,-2422.1623999999997,21.427399408284035,0,0,547,547,S4 rung 12 + everyone greedy,debt,8,5.093170329928398e-11
6,512,4,4,31021.950199999905,0.0,31348.254599999997,0.0,9381.824699999968,,0.0,2601.57,6780.254699999968,0.0,1674.4420000000007,19.146199625,0.00375,346.329,8206.391266307097,0.0,0.7769054216111508,2828.964316175827,4104.275210871394,0.02,384.79349999999965,1.126162419264,0.0,0.0,1.126162419264,0.0,0,0,103.55937074168307,2.085694423306585,105.64506516498965,1.5819794671419407,2.398755983598162,3.9807354507401027,0.0,0.0,0.0,0.0,0,0,0.0,0.0,346.4794,1.126162419264,1.126162419264,0.0,0.0,0.0,0.06756974515584001,0.5,0.25,326.3044000000002,875.6727999999998,0.0,87,1876.6939999999995,1054.1919999999998,2988.6965000000014,1354.458100000001,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,2125.4781999999973,0.1504,0.010093465431678248,5.474494656488548,5.580559464627152,1.7004000000000006,1.7275928421052626,3.394710384258044,12.489137465381026,1046.0,1048.0,523.0,2048.0,1269.0,204.0,194,0,0,1,17,0.0,2048.0,16391.863800000014,4470.6644,9798.8597,720,48,0,128,0.07003302291023705,0.7207834295719824,0.12169561796319206,0,6630.634699999959,5737.2703999999985,0,0,42.0,512,0,0,16391.863800000014,720,88297.79470131527,88297.79470131527,0.0,25,42,0,1.5,0,0.0,512,512,88297.79470131527,720,61440.0,0,0,71.41680000000002,17.0,14.2333,4,0.0,0.0,1.2321321039371824,5120.0,76.6162109375,-0.1926566438541145,47,0,0.0,0,788.644238275901,3922.75,309,1.1978057978920755,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,194,0.0,0,12,0.0,0,0.0,1440.0,977.6920999999996,7728.080504741025,0.0,7728.080504741025,0.0,0.0,10530.357199999997,14283.7574,0.7213802350770713,384,14521.493599770803,128,73776.30110154429,4,48.0,4,0.0,2,320.4241999999991,-2255.241,23.41668336673347,0,0,523,523,S4 rung 12 + everyone greedy,debt,8,5.093170329928398e-11
7,512,4,4,31198.363500000076,1.0715000000000001,28006.214399999993,0.0,10895.698899999956,,0.0,2847.3826,8048.316299999956,0.0,1268.0615999999989,23.718110875000004,0.00375,334.7572,8241.97949231333,0.0,0.7448969182407714,2818.502949450241,4120.633404399359,0.02,385.2643000000003,1.14868566764928,0.0,0.0,1.14868566764928,0.0,0,0,111.58296861753763,2.0775231193633856,113.66049173690102,1.5272198417137297,2.4651859040227673,3.9924057457364968,0.0,0.0,0.0,0.0,0,0,0.0,0.0,334.75719999999995,1.14868566764928,1.14868566764928,0.0,0.0,0.0,0.0689211400589568,0.5,0.25,337.8884000000004,1047.1520000000003,3546.6155999999996,123,1175.4223999999995,997.9375999999999,3057.711500000006,1329.7811999999992,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,2123.237500000001,13.5048,0.011848106365500835,5.413851245210726,5.549072519083959,1.712000000000001,1.9194086134453807,3.4110550030636353,8.517030128580426,1048.0,1044.0,524.0,2046.6666666666667,1270.0,204.0,194,0,0,1,11,0.0,2048.0,16293.157499999981,4398.7366,10170.750399999999,720,48,0,128,0.06598996667820933,0.7297398402108559,0.13265542997743274,0,6745.803299999977,5652.060699999997,0,0,29.0,512,0,0,16293.157499999981,720,94027.21603580013,94027.21603580013,0.0,21,29,0,1.5,0,0.0,512,512,94027.21603580013,720,51200.0,0,0,49.64800000000003,8.0,0.9618,2,0.0,0.0,1.31185175881502,5120.0,71.48828125,-0.14335086432976973,51,0,0.0,0,705.0325650969826,3660.2,310,1.5273142975808272,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,194,0.0,0,10,0.0,0,0.0,1200.0,1263.5366999999999,7672.409123512836,0.0,7672.409123512836,0.0,0.0,10377.99269999999,14570.448799999998,0.7937366402570676,384,14809.17376852603,128,79218.04226727405,4,48.0,4,0.0,2,-3198.7087999999985,-2512.6254,25.91389263157894,0,2,524,524,S4 rung 12 + everyone greedy,debt,8,5.093170329928398e-11
8,512,4,4,32242.793799999963,3.1322,25579.016399999975,0.0,12449.381899999957,,0.0,3302.548,9146.833899999958,0.0,1098.517600000001,26.05012237499991,0.00375,316.543,8265.024211543214,0.0,0.7142071652092515,2808.7790820508,4140.2262951954735,0.02,380.9457999999996,1.1716593810022657,0.0,0.0,1.1716593810022657,0.0,0,0,118.14316609790541,2.070265926612031,120.21343202451745,1.7066133814750815,2.5336483173920876,4.240261698867169,0.0,0.0,0.0,0.0,0,0,0.0,0.0,316.54300000000006,1.1716593810022657,1.1716593810022657,0.0,0.0,0.0,0.07029956286013594,0.5,0.25,327.17010000000016,1203.636199999997,7088.960999999999,149,2061.542699999999,1015.0517000000001,3910.726500000004,1277.1670999999965,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,2124.931500000002,27.18669999999999,0.01350525289681627,5.344232847424689,5.542834291187737,1.7547,1.9831386075949384,3.3725667115021016,3.167292751542029,1044.0,1029.0,522.0,2046.6666666666665,1266.0,204.0,195,0,0,0,3,0.0,2048.0,16482.41990000002,4317.0669,11126.764000000001,720,48,0,128,0.0699380328500232,0.735523049698225,0.1370381510638068,0,6728.151999999981,5499.215600000005,0,0,16.0,512,0,0,16482.41990000002,720,98615.26952639458,98615.26952639458,0.0,5,16,0,1.5,0,0.0,512,512,98615.26952639458,720,40960.0,0,0,28.0752,0.0,0.0,0,0.0,0.0,1.3531739746382914,5120.0,63.251953125,-0.07280782710740542,53,0,0.0,0,1118.963199818968,3238.5,310,1.966617598424902,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,195,0.0,0,8,0.0,0,0.0,960.0,1525.4220999999998,6935.23482313625,0.0,6935.23482313625,0.0,0.0,10452.319300000005,15443.8309,0.866938300862744,384,14859.494609659807,128,83755.77491673475,4,48.0,4,0.0,2,-6734.885799999998,-2986.0049999999997,28.79112920168071,0,5,522,522,S4 rung 12 + everyone greedy,debt,8,5.093170329928398e-11
9,512,4,4,32742.59819999997,5.1489,26085.62479999994,0.0,14137.093999999961,,0.0,3815.3266,10321.76739999996,0.0,1174.9335000000005,31.61370049999988,0.00375,348.6929,8309.432678081637,0.0,0.6847818300026304,2888.2334701296804,4157.278807609979,0.02,396.17100000000045,1.195092568622311,0.0,0.0,1.195092568622311,0.0,0,0,121.23827893269915,2.08255041115746,123.32082934385662,1.637361328725627,2.5786714354851084,4.216032764210736,0.0,0.0,0.0,0.0,0,0,0.0,0.0,348.6929,1.195092568622311,1.195092568622311,0.0,0.0,0.0,0.07170555411733866,0.5,0.25,331.9574000000001,1372.034100000002,7088.960999999999,161,1633.4577999999972,1131.6367,1490.6151999999975,1280.8040000000008,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2216.6657000000014,0.0,0.013938437018915862,5.286557504690436,5.759518750000022,NaN,1.9401749999999984,3.3341467596359964,3.072273968995767,1024.0,1066.0,512.0,2048.0,1230.0,204.0,204,0,0,0,17,0.0,2048.0,16348.063600000007,4350.3969,11695.444800000001,720,48,0,128,0.06557668737350508,0.736357308596135,0.13379816423250546,0,6682.418100000002,5635.470300000005,0,0,0.0,512,0,0,16348.063600000007,720,100339.43170934994,100339.43170934994,0.0,42,0,0,1.5,0,0.0,512,512,100339.43170934994,720,40960.0,0,0,0.0,0.0,0.0,0,0.0,0.0,1.3624988366046042,5120.0,61.73583984375,-0.04740939215165148,66,0,0.0,0,1537.6061100603033,3160.875,315,2.0454968295373854,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,204,0.0,0,8,0.0,0,0.0,960.0,1822.4129000000003,5874.577610264644,0.0,5874.577610264644,0.0,0.0,10400.7612,16045.8417,0.8653853337111717,384,14846.659352061439,128,85492.77235728847,4,48.0,4,0.0,2,-6729.706499999998,-3466.6337,29.747079113924077,0,5,512,512,S4 rung 12 + everyone greedy,debt,8,5.093170329928398e-11
10,512,4,4,34230.29340000003,7.6172,27584.21319999997,0.0,15672.624999999955,,0.0,4210.0532,11462.571799999954,0.0,1140.8043999999977,38.6940215,0.00375,339.707,8302.501693513574,0.0,0.656568818606522,2746.707610800327,4156.26748234238,0.02,394.4311,1.2189944199947573,0.0,0.0,1.2189944199947573,0.0,0,0,127.77156498213431,2.087861707850368,129.8594266899847,1.712388299503869,2.621448684402002,4.333836983905871,0.0,0.0,0.0,0.0,0,0,0.0,0.0,339.707,1.2189944199947573,1.2189944199947573,0.0,0.0,0.0,0.07313966519968544,0.5,0.25,340.3822999999999,1546.4470000000088,7088.960999999999,172,2696.256299999997,1206.0927999999994,4496.929699999997,1259.9717000000016,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2085.6534000000033,0.0,0.015,5.268889846743297,5.839751031894955,NaN,1.9723107216494826,3.2725413918928608,2.9801057499258943,1066.0,1044.0,533.0,2048.0,1272.0,204.0,194,0,0,0,12,0.0,2048.0,16271.990699999997,4441.404500000001,13177.191200000001,720,48,0,128,0.06653860169719827,0.7432323913388723,0.14011567455589535,0,6679.061599999971,5500.721000000002,0,0,0.0,512,0,0,16271.990699999997,720,103506.65402597994,103506.65402597994,0.0,20,0,0,1.5,0,0.0,512,512,103506.65402597994,720,40960.0,0,0,0.0,0.0,0.0,0,0.0,0.0,1.4318955255366204,5120.0,60.70068359375,-0.029988566894531263,62,0,0.0,0,1050.8164482872703,3107.875,316,2.1303670748068506,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,194,0.0,0,8,0.0,0,0.0,960.0,1975.6522999999997,5355.815943565951,0.0,5355.815943565951,0.0,0.0,10238.546799999996,17618.5957,0.8683685348898298,384,14844.971681826974,128,88661.682344153,4,48.0,4,0.0,2,-6720.8896,-3870.3462000000004,29.102624999999975,0,5,533,533,S4 rung 12 + everyone greedy,debt,8,5.093170329928398e-11
11,512,4,4,34313.91540000002,10.0855,27698.094799999977,0.0,17267.12919999994,,0.0,4771.9131,12495.216099999941,0.0,1032.6442999999988,42.968270500000024,0.00375,335.6952,8301.354064038496,0.0,0.6295181832799333,2763.292589762577,4160.174469965055,0.02,399.3728000000002,1.2433743083946525,0.0,0.0,1.2433743083946525,0.0,0,0,133.07466136229942,2.06597730819394,135.14063867049336,1.8362968974216922,2.580239377603728,4.416536275025421,0.0,0.0,0.0,0.0,0,0,0.0,0.0,335.6952,1.2433743083946525,1.2433743083946525,0.0,0.0,0.0,0.07460245850367915,0.5,0.25,368.17359999999934,1744.4301999999973,7088.960999999999,184,1439.5030999999974,1353.4127999999964,3195.0473000000015,1228.8151000000025,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2107.543200000002,0.0,0.013534027441414145,5.215281184336197,5.734417333333327,NaN,1.9779373165618428,3.2403970711459285,2.8907025774281183,1050.0,1047.0,525.0,2048.0,1256.0,204.0,198,0,0,0,9,0.0,2048.0,16233.156599999997,4488.4079,13256.6557,720,48,0,128,0.0703919989645212,0.7482374983937883,0.14063962875252134,0,6627.212499999997,5460.399399999998,0,0,0.0,512,0,0,16233.156599999997,720,107036.13499495412,107036.13499495412,0.0,23,0,0,1.5,0,0.0,512,512,107036.13499495412,720,40960.0,0,0,0.0,0.0,0.0,0,0.0,0.0,1.4907506616489172,5120.0,59.50927734375,-0.009986288584286436,44,0,0.0,0,1145.04557757364,3046.875,315,2.1698281261848953,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,198,0.0,0,8,0.0,0,0.0,960.0,2103.9115999999995,4867.439046295001,0.0,4867.439046295001,0.0,0.0,10144.538399999998,17745.0636,0.8688530512211508,384,14982.789337635253,128,92053.34565731892,4,48.0,4,0.0,2,-6692.706299999999,-4436.2179,29.58466082474224,0,5,525,525,S4 rung 12 + everyone greedy,debt,8,5.093170329928398e-11
12,512,4,4,34549.563999999984,12.5538,27568.03919999998,0.0,18867.875699999924,,0.0,5204.9107,13662.964999999924,0.0,1167.7489000000003,46.836727500000066,0.00375,355.5305,8294.305487470476,0.0,0.6035820341288001,2738.923715074082,4151.649474980315,0.02,406.31020000000007,1.2682417945625455,0.0,0.0,1.2682417945625455,0.0,0,0,137.80959936844704,2.1249657930107593,139.9345651614578,1.7542080497541892,2.6884900117487427,4.442698061502932,0.0,0.0,0.0,0.0,0,0,0.0,0.0,355.53049999999996,1.2682417945625455,1.2682417945625455,0.0,0.0,0.0,0.07609450767375273,0.5,0.25,0.0010999999998534404,1942.4720999999915,7088.960999999999,191,1657.3486999999993,1419.2318,2741.7727000000004,1228.7333000000008,0.0,382.8315,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2092.7577999999985,0.0,0.01372812160504612,5.157531723484849,5.847776673040147,NaN,1.9506751578947352,3.2091682179043537,2.803981500105274,1046.0,1056.0,523.0,2048.0,1252.0,204.0,199,0,0,1,19,0.0,2048.0,16278.094099999988,4621.1013,13294.8381,720,48,0,128,0.0628435562410401,0.748519111028743,0.14200287211490137,0,6953.144999999984,5446.3535,0,0,0.0,512,0,0,16278.094099999988,720,109771.8072453366,109771.8072453366,0.0,33,0,0,1.5,0,0.0,512,512,109771.8072453366,720,40960.0,0,0,0.0,0.0,0.0,0,0.0,0.0,1.5290623102165224,5120.0,58.1494140625,0.010634186228626143,43,0,0.0,0,1836.776250703661,2977.25,316,2.2130303237134483,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,199,0.0,0,8,0.0,0,0.0,960.0,2158.398300000002,4353.111054941446,0.0,4353.111054941446,0.0,0.0,10316.004799999995,17915.939400000003,0.8727418053365901,384,15236.461068373806,128,94535.34617696282,4,48.0,4,0.0,2,-7060.4868,-4849.3802000000005,29.669059748427642,0,5,523,523,S4 rung 12 + everyone greedy,debt,8,5.093170329928398e-11
