round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,27468.69000000005,0.0,27590.816399999996,0.0,3516.76,,0.0,3348.76,168.0,0.0,168.0,0.0,0.00375,49.932,11820.0036,0.0,1.0,3940.0011999999997,7390.185199999995,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,14.405773304081114,1.9454463776130773,16.351219681694193,5.705505686274509,2.2005058823529406,7.90601156862745,0.0,0.0,0.0,0.0,0,0,0.0,0.0,49.932,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,122.12639999999999,122.12639999999999,0.0,0,3572.6240000000007,529.214,3572.6240000000007,473.1732000000044,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3280.0,0.0,0.005,5.0,5.200000000000013,NaN,0.75,3.729700272479588,3.9200000000000013,320.0,83.0,160.0,2048.0,734.0,204.0,328,0,0,0,47,36.0,2048.0,19663.704000000005,2163.1396,3477.446,720,48,0,128,0.18699747323800242,0.40781207410901743,0.06859606684137254,1,5678.360000000013,415.0,47,0,0.0,0,0,0,0.0,0,0.0,23627.017816252675,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,208.0,2114.4683999999997,4,0.0,0.0,0.36275912268092037,5120.0,83.671875,-0.2632754817708334,188,0,0.0,0,1900.244258263885,4284.0,182,0.12494947540560601,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,6,6,3936.1005999999998,3072,720.0,720.0,5.0,1310.2260000000006,596.5394000000003,713.6866000000002,0.0,0.0,6910.746699999999,3818.9534000000003,0.41781350211970225,384,9536.906297921701,128,14090.111518330923,4,48.0,4,120.0,2,114.28640000000101,-3298.8280000000004,11.25,0,0,160,160,B best SuMSy village: co-ops + prices + reserve,debt,10,-2.9103830456733704e-11
2,512,4,4,27170.125800000016,0.0,27373.21979999999,0.0,5192.678,,0.0,3181.322,2011.356,0.0,1843.356,0.63,0.00375,379.505,9630.0036,0.0,1.0,2480.0011999999997,5481.399133333318,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,26.521502754429314,1.6274072293850312,28.14890998381435,5.2056845098039215,2.4384872549019607,7.644171764705883,0.0,0.0,0.0,0.0,0,0,0.0,0.0,379.50500000000005,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,203.094,260.0608000000001,0.0,7,425.08900000000006,723.6531999999999,4984.691000000001,1151.0300000000275,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1820.0,0.0,0.00565603162451249,4.911779398359144,5.497895787139668,1.8500000000000156,1.1327466501240688,3.5533349507202137,3.802399999999999,902.0,1097.0,451.0,2048.0,1319.0,204.0,182,0,0,1,60,50.0,2048.0,17968.824200000014,2300.4332,4367.0131,720,48,0,128,0.16056341062302204,0.5371164427327197,0.09305275163513405,0,6191.821899999964,5388.221999999981,60,0,524.0,0,0,0,0.0,0,0.0,29812.076438128486,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,969.4000000000082,211.0,2154.3503,4,0.0,0.0,0.46926136904924354,5120.0,67.41536458333333,-0.23151291015624997,301,0,0.0,0,3006.390527569638,3451.6666666666665,347,0.4987163307926658,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,182,0.0,6,6,4239.024799999999,3072,720.0,720.0,163.02379999999997,11682.02260980936,6038.593456130839,5643.429153678523,0.0,0.0,11999.623599999995,4582.7718,0.5439695615531701,384,9240.865628170592,128,20571.210809957898,4,48.0,4,120.0,2,195.64600000000095,-2801.817,11.25,0,0,451,451,B best SuMSy village: co-ops + prices + reserve,debt,10,-2.9103830456733704e-11
3,512,4,4,28626.149700000024,0.0,28868.6898,0.0,6323.2116000000005,,0.0,3013.884,3309.3276,0.0,1297.9715999999999,7.542546249999999,0.00375,308.6452,8732.709081494984,0.0,1.0,2312.706681494986,4799.26865432996,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,33.098528463531,1.8809024789517514,34.97943094248274,2.8556846714127,2.6668529009325668,5.522537572345267,0.0,0.0,0.0,0.0,0,0,0.0,0.0,275.144,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,242.5401,396.9462999999997,0.0,9,2197.0341000000008,741.0102000000004,4527.2731,1134.7638000000584,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1664.3552000000002,0.0,0.007824385043227699,4.8483915887850655,5.475414391143915,1.8223502304147419,1.3421848178137654,3.5182703562697792,7.318764153803495,1084.0,1070.0,542.0,2046.6666666666667,1377.0,204.0,167,0,0,1,59,38.0,2048.0,17684.224500000015,4340.577,4358.5471,720,48,0,128,0.10349560720285345,0.5592554235007949,0.11212370989672027,0,6345.932100000007,5187.7790000000205,59,0,217.0,0,0,0,0.0,0,0.0,37173.17677519748,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,395.44999999999897,87.0,1934.1559000000002,4,111.8561,78.32319999999913,0.5593011308502377,5120.0,67.34375,-0.22976451516781693,9,0,0.0,0,21.407319383678825,3448.0,349,0.4868176892268088,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,167,0.0,6,6,5711.851699999999,3072,720.0,720.0,298.55109999999996,13637.745762732971,6424.729168382597,7213.016594350373,50.873599999999996,60.9825,12395.796700000006,4921.4283,0.5654480656660017,384,10525.008767118361,128,26648.168008079112,4,48.0,4,120.0,2,235.484100000002,-2705.2388,16.991199751861032,0,0,542,542,B best SuMSy village: co-ops + prices + reserve,debt,10,-2.9103830456733704e-11
4,512,4,4,28084.37450000002,0.0,28359.287099999954,0.0,7197.7915,,0.0,2846.446,4351.3455,0.0,1042.0178999999998,12.410009499999997,0.00375,373.4114,8069.1660463051285,0.0,1.0,2026.178980245188,4254.2704642034,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,41.81222439807023,1.7942538983009089,43.60647829637114,1.8301052017314727,2.585678190919041,4.415783392650514,0.0,0.0,0.0,0.0,0,0,0.0,0.0,373.4114,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,274.91259999999994,546.7810999999994,0.0,21,317.1637999999998,858.9390000000001,2683.062099999999,1243.8453999999892,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1386.1908000000003,0.0,0.009053990186772467,5.485659792843694,5.452860000000008,1.8225404761904853,1.4456329268292676,3.4219118882524673,7.09920122918939,1080.0,1062.0,540.0,2046.6666666666667,1488.0,204.0,139,0,0,3,48,31.0,2048.0,16363.656699999967,4410.7579000000005,4980.893,720,48,0,128,0.07513695338904247,0.5900289003310395,0.11707927663122741,0,6318.814200000011,5825.770700000003,48,0,504.0,0,0,0,0.0,0,0.0,44763.60823647074,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,918.5604000000046,202.0,1955.6555,4,0.0,0.0,0.8031862631674345,5120.0,67.34375,-0.2104249012235366,6,0,0.0,0,21.002575465806522,3448.0,350,0.6832303101798574,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,139,0.0,6,6,6150.8238,3072,720.0,720.0,433.7752999999999,13228.472108725013,6147.6202654313165,7080.851843293697,0.0,0.0,11597.959099999991,5196.482599999999,0.5954902445001367,384,12394.094913141422,128,32369.513323329276,4,48.0,4,120.0,2,268.2486000000033,-2473.0346,20.13277226720648,0,0,540,540,B best SuMSy village: co-ops + prices + reserve,debt,10,-2.9103830456733704e-11
5,512,4,4,29194.51430000005,0.0,29483.100400000007,0.0,8327.535499999987,,0.0,2679.008,5648.5274999999865,0.0,1297.1819999999993,16.316943375000005,0.00375,361.3723,7858.508913098708,0.0,1.0,2338.6267934243406,4072.507548732458,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,38.59614016359792,1.5827845393943705,40.1789247029923,1.3323933927291867,2.186975921839632,3.5193693145688187,0.0,0.0,0.0,0.0,0,0,0.0,0.0,361.3723,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,288.5860999999999,694.5098999999991,0.0,49,1976.9580999999998,866.8183000000005,3776.2039000000022,1227.3923999999904,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1614.5173999999984,0.0,0.01119833979131164,5.652153974121996,5.614785794392533,1.8120059880239494,1.572485420944559,3.504274732438953,6.886225192313709,1070.0,1082.0,535.0,2044.0,1429.0000000000002,204.0,153,0,0,1,58,32.0,2048.0,15954.992300000016,4461.5473,7089.8038,720,48,0,128,0.06082469943484847,0.6012552058752691,0.11930249524280323,0,6521.907400000009,6115.6305999999995,58,0,167.0,0,0,0,0.0,0,0.0,46478.073101630245,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,302.60499999999956,153.0,1326.7986,4,0.0,0.0,0.8170734930769323,5120.0,67.34375,-0.18715512195121953,6,0,0.0,0,17.68437057853814,3448.0,351,1.08322543859366,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,153,0.0,6,6,7247.7217,3072,720.0,720.0,900.7060999999999,10748.926165559289,4591.562575667024,6157.363589892265,0.0,0.0,11472.964700000008,5630.428,0.6041109271611673,384,12312.034124397484,128,34166.03897723273,4,48.0,4,120.0,2,282.31409999999863,-2317.6357,21.684493902439012,0,0,535,535,B best SuMSy village: co-ops + prices + reserve,debt,10,-2.9103830456733704e-11
6,512,4,4,32600.092500000035,0.0,32911.79750000001,0.0,9975.787399999963,,0.0,2511.57,7464.217399999962,0.0,1815.6899000000005,21.179437499999988,0.00375,329.6967,7950.012078660342,0.0,1.0,2802.5093021561725,4125.548852440216,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,39.171012760311584,1.426204940855115,40.5972177011667,1.5830270700450877,2.103700860045598,3.686727930090686,0.0,0.0,0.0,0.0,0,0,0.0,0.0,329.6967,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,311.70499999999987,858.8102999999996,0.0,83,4381.113399999999,975.5351999999998,5674.0475000000015,1157.1570000000002,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2056.4234000000006,0.0,0.01064053077015411,5.673158302238803,5.632143622920509,1.7164636363636356,1.7360186612576076,3.5468928142446097,16.96126620134356,1082.0,1072.0,541.0,2046.6666666666667,1314.0,204.0,183,0,0,2,49,33.0,2048.0,16391.67880000001,4453.7702,11318.8553,720,48,0,128,0.07476465031719326,0.6112400133826301,0.11698539561722265,0,6745.437199999954,6081.625699999997,49,0,44.0,0,0,0,0.0,0,0.0,48405.26633595681,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,75.52439999999997,26.0,106.0915,4,0.0,0.0,0.8170734930769323,5120.0,67.34375,-0.18179223139518097,0,0,0.0,0,0.0,3448.0,351,1.336481329048772,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,183,0.0,6,6,7931.8196,3072,720.0,720.0,1409.5544000000002,7434.43339311918,3756.5621517772297,3677.871241341951,0.0,0.0,11835.675499999994,7946.8974,0.6139230099392059,384,12202.406847808612,128,36202.85948814827,4,48.0,4,120.0,2,305.82489999999814,-2181.8733,23.587281314168383,0,0,541,541,B best SuMSy village: co-ops + prices + reserve,debt,10,-2.9103830456733704e-11
7,512,4,4,34535.11090000002,0.0,34897.78680000003,0.0,11629.668399999988,,0.0,2694.1351,8935.533299999988,0.0,1471.3158999999996,27.985821874999974,0.00375,336.2871,8010.9842279705235,0.0,1.0,2792.2723746105357,4146.71905198034,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,41.109998598870554,1.47449442249171,42.58449302136226,1.5729938531299723,2.04093927082172,3.6139331239516923,0.0,0.0,0.0,0.0,0,0,0.0,0.0,328.2368,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,362.6758999999997,1062.3690999999976,0.0,130,3139.921000000003,1204.9026000000006,4556.957199999999,1185.5279999999902,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,2043.4112999999973,1.2681,0.009585927213434538,5.659079759704256,5.678196261682228,1.6952194444444448,1.9325498973305952,3.576118658506715,16.452428215303254,1070.0,1082.0,535.0,2045.3333333333333,1320.0000000000002,204.0,181,0,0,2,58,35.0,2048.0,16001.558500000003,4367.6307,13771.1489,720,48,0,128,0.07338180538838235,0.6111557442016333,0.12667763114820008,1,6855.8004,6123.124300000005,58,0,108.0,0,0,0,0.0,0,0.0,51620.54049785056,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,183.08370000000005,44.0,58.485699999999994,4,31.0078,21.708800000000203,0.8170734930769323,5120.0,67.34375,-0.17318036399567907,0,0,0.0,0,0.0,3448.0,351,1.3018651374344532,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,181,0.0,6,6,9637.626100000001,3072,720.0,720.0,1789.6451000000009,5761.402003570985,2502.925999784304,3258.4760037866795,31.0078,0.0,11538.975499999995,8559.639200000001,0.6135077342012993,384,12735.15347269313,128,38885.38702515737,4,48.0,4,120.0,2,357.187700000002,-2357.848,26.040279918864115,0,0,535,535,B best SuMSy village: co-ops + prices + reserve,debt,10,-2.9103830456733704e-11
8,512,4,4,34890.667399999984,2.2364,31828.920700000017,0.0,13226.74149999998,,0.0,2767.9108,10458.83069999998,0.0,1523.2974000000017,33.499000749999986,0.00375,298.9549,8043.822926676943,0.0,1.0,2757.8979392072924,4169.976584451291,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,43.484804947809465,1.779726143885815,45.26453109169528,1.6761917739205345,2.0427304439349423,3.718922217855477,0.0,0.0,0.0,0.0,0,0,0.0,0.0,297.80929999999995,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,401.7985,1279.4787999999994,3577.2418,163,1675.4471000000003,1317.6541999999997,2346.299599999999,1170.4733999999748,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,2010.9027999999978,0.3392,0.010876716591470492,5.620505000000004,5.7397630996309985,1.673333018867926,2.020578137651822,3.6035199011860155,10.65123949518521,1084.0,1060.0,542.0,2045.3333333333335,1333.0,204.0,178,0,0,2,42,31.0,2048.0,16059.5343,4267.266,14243.9019,720,48,0,128,0.0773080942459794,0.597877701840072,0.13249742024074163,0,6942.3083999999835,5957.735300000004,42,0,106.0,0,0,0,0.0,0,0.0,56621.400892425045,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,177.37330000000017,22.0,21.0103,2,5.0356,3.5327999999999675,0.8170734930769323,5120.0,60.8125,-0.12467768113128852,0,0,0.0,0,0.0,3113.6,351,1.5817721934928997,0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,178,0.0,5,5,9494.3786,2560,600.0,600.0,2180.7683000000006,5753.795376043041,2715.566444731056,3038.2289313119854,5.0356,0.0,11520.3461,9037.7996,0.6963538658108923,384,14363.475031432845,128,42257.925860992196,4,48.0,4,313.2632,2,-3172.9089999999997,-2468.9559,28.98824845995893,0,4,542,542,B best SuMSy village: co-ops + prices + reserve,debt,10,-2.9103830456733704e-11
9,512,4,4,35317.64070000005,5.8268,30579.801099999997,0.0,14888.267799999956,,0.0,3104.7191,11783.548699999956,0.0,1324.7180000000014,39.207087750000085,0.00375,324.2828,8074.438966670303,0.0,1.0,2773.1224288723943,4171.15998889131,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,45.03751656784393,2.1189052339001355,47.15642180174407,1.7403995743805791,2.0127948519593444,3.7531944263399235,0.0,0.0,0.0,0.0,0,0,0.0,0.0,323.5044,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,415.71139999999986,1491.426799999998,5271.581399999999,185,1791.9647999999984,1361.4010999999973,3168.1112,1189.9823000000001,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,2031.213399999999,0.0,0.013565320281707021,5.596923406193076,5.9599404896421815,1.666238059701496,2.0477550724637714,3.6157385728693816,7.20862856329356,1062.0,1098.0,531.0,2045.3333333333335,1322.0,204.0,180,0,0,2,69,38.0,2048.0,16194.96419999997,4255.843000000001,14462.8903,720,48,0,128,0.08230702303165716,0.5850868304492287,0.13451691379174613,0,6934.925699999992,6145.421899999998,69,0,134.0,0,0,0,0.0,0,0.0,60039.73653997441,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,223.27590000000046,27.0,79.6604,1,2.598,1.8192999999999988,0.8075411339736367,5120.0,60.8125,-0.10048638556427125,3,0,0.0,0,4.726889561725468,3113.6,351,1.6967205862699521,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,180,0.0,4,5,9470.8063,2048,480.0,600.0,2786.1843000000017,5359.911339842709,2473.1637696445723,2886.7475701981366,0.0,2.598,11565.306799999986,9327.5874,0.7287791427912673,384,15707.506693917194,128,44332.22984605722,4,48.0,4,406.39239999999995,2,-4852.200400000001,-2780.4363,30.30867206477733,0,5,531,531,B best SuMSy village: co-ops + prices + reserve,debt,10,-2.9103830456733704e-11
10,512,4,4,36336.29559999994,9.417200000000001,31608.288199999995,0.0,16453.787599999916,,0.0,3299.2615,13154.526099999915,0.0,1370.977399999998,44.17053950000013,0.00375,307.6862,8080.10271105506,0.0,1.0,2710.358803505963,4172.043304036704,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,56.74796858581058,2.300200842812595,59.04816942862317,1.6214184549889,2.1615993295470135,3.7830177845359136,0.0,0.0,0.0,0.0,0,0,0.0,0.0,306.3925,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,421.9532000000002,1702.0272000000023,5271.581399999999,193,2455.045999999997,1432.8006999999996,3700.567299999998,1187.9521999999974,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1971.560399999999,0.0,0.012848675496536035,5.61081031894934,6.127343749999977,1.6478039370078752,2.046378427419357,3.608517563532208,6.9923697063947525,1088.0,1066.0,544.0,2045.3333333333335,1345.0,204.0,175,0,0,1,47,34.0,2048.0,16301.077800000003,4332.736,15170.4204,720,48,0,128,0.07785995145498203,0.5884777102532757,0.13634302396975984,0,6959.756599999996,5981.123799999996,47,0,127.0,0,0,0,0.0,0,0.0,71547.74225025471,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,209.27110000000016,51.0,224.3752,1,4.3164,3.0216999999999987,1.2922589033964302,5120.0,60.83203125,-0.08861198335597821,7,0,0.0,0,60.775388822038614,3114.6,351,1.6932152020843971,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,175,0.0,4,5,9863.498800000001,2048,480.0,600.0,3295.233100000001,5734.855203346873,2571.6661296012885,3163.1890737455856,0.0,4.3164,11654.032199999998,9864.0328,0.708500806234506,384,19561.179746989346,128,51986.56250326526,4,48.0,4,406.39239999999995,2,-4845.5666,-2991.5753,30.71632608695657,0,5,544,544,B best SuMSy village: co-ops + prices + reserve,debt,10,-2.9103830456733704e-11
11,512,4,4,36265.67459999996,13.007600000000002,31555.63160000001,0.0,18071.1826999999,,0.0,3249.685,14821.4976999999,0.0,1666.9715999999985,49.30810275000009,0.00375,313.7084,8091.115684512368,0.0,1.0,2733.7484730284764,4170.462465432485,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,57.7056448556038,2.2627390417407143,59.96838389734451,1.7462821386148744,2.061004426206694,3.8072865648215686,0.0,0.0,0.0,0.0,0,0,0.0,0.0,313.70840000000004,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,436.3272000000004,1924.8665000000024,5271.581399999999,202,1490.5438999999997,1557.5745000000009,3422.551600000004,1188.1994000000002,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1993.119400000001,0.0,0.012719596108025769,5.598886405959029,6.1569239252336745,1.6573384057971015,2.071853593429161,3.608496703169649,6.782598615202911,1070.0,1074.0,535.0,2046.6666666666667,1336.0000000000002,204.0,177,0,0,1,50,35.0,2048.0,16007.514199999998,4409.7843,15157.1015,720,48,0,128,0.08142185816591385,0.588055685643418,0.13889653488053533,0,6948.573199999981,6013.203999999998,50,0,138.0,0,0,0,0.0,0,0.0,73184.6243513496,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,228.7127,60.0,377.5662,1,0.0,0.0,1.3143721631518333,5120.0,60.8125,-0.07564176039566527,3,0,0.0,0,15.083336188380915,3113.6,351,1.7218775000593207,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,177,0.0,4,5,9964.6379,2048,480.0,600.0,3703.8030999999996,5407.246635132216,2409.530972804936,2997.7156623272813,0.0,0.0,11479.665699999998,9979.8141,0.7037510785071879,384,20174.981595715068,128,53009.64275563451,4,48.0,4,467.50969999999995,2,-4830.8006000000005,-2935.9766,30.695676411290357,0,5,535,535,B best SuMSy village: co-ops + prices + reserve,debt,10,-2.9103830456733704e-11
12,512,4,4,36664.60700000002,16.598,31567.415400000016,0.0,19691.821499999893,,0.0,3572.0978,16119.723699999891,0.0,1298.225999999999,55.555098000000065,0.00375,314.9676,8100.94379938571,0.0,1.0,2736.3510209974907,4170.781782923803,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,64.50761526237838,2.4371445931015914,66.94475985547997,1.922837900217784,1.9962637408883372,3.919101641106121,0.0,0.0,0.0,0.0,0,0,0.0,0.0,310.7881,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,45.58820000000002,2149.488099999995,5271.581399999999,218,2025.9840000000015,1623.4612000000052,3275.8044999999993,1188.8015000000046,0.0,397.2152999999998,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1997.3008999999975,0.0,0.013512588195257958,5.576597113594045,6.210356238361245,1.6168805970149278,2.0790607361963165,3.604876690844521,6.579120656746823,1074.0,1074.0,537.0,2046.6666666666667,1334.0,204.0,178,0,0,1,49,37.0,2048.0,16382.469800000004,4519.6365,15133.109699999999,720,48,0,128,0.08793389021118414,0.5818135801524935,0.1400680278733708,1,7346.246700000001,5989.265300000005,49,0,134.0,0,0,0,0.0,0,0.0,80932.08869914761,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,216.66200000000032,54.0,314.4234,1,13.9101,9.735599999999975,1.6005698435780373,5120.0,60.8125,-0.05949042212365243,3,0,0.0,0,15.048114276655845,3113.6,351,1.7509186950347302,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,178,0.0,4,5,10025.2331,2048,480.0,600.0,4071.1889000000015,5625.730033473784,2439.5040364767215,3186.2259969970623,0.0,13.9101,11642.149299999992,9941.9365,0.6946711782423081,384,22923.07023463997,128,58009.01846450764,4,48.0,4,467.50969999999995,2,-5221.147600000002,-3257.1302,31.077803901437413,0,5,537,537,B best SuMSy village: co-ops + prices + reserve,debt,10,-2.9103830456733704e-11
