round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,27363.178000000033,0.0,27485.304399999997,0.0,3516.76,,0.0,3348.76,168.0,0.0,168.0,0.0,0.00375,49.932,0.0,0.0,1.0,3940.0011999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,25.955194103375128,3.449602952885441,29.40479705626057,6.583254901960785,2.1973500000000006,8.780604901960785,0.0,0.0,0.0,0.0,0,0,0.0,0.0,49.932,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,122.12639999999999,122.12639999999999,0.0,1,3467.1120000000005,529.214,3666.9121000000005,473.1732000000044,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3280.0,0.0,0.005,5.0,5.200000000000013,NaN,0.75,3.729700272479588,3.9200000000000013,320.0,89.0,160.0,2048.0,734.0,204.0,328,0,0,0,56,33.0,2048.0,19612.03200000001,2163.1396,3507.446,720,48,0,128,0.2066682908728874,0.4106318238752795,0.06883036782132113,1,5678.360000000014,445.0,56,0,0.0,0,0,0,0.0,0,0.0,37642.683090925806,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,208.0,2030.6284,4,0.0,0.0,0.38895793323928485,5120.0,81.58854166666667,-0.2581513411458334,263,0,0.0,0,4508.168346990185,4177.333333333333,240,0.16135859723469656,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,0,12,0.0,0,0.0,1440.0,15.0,1364.0660000000007,0.0,1364.0660000000007,0.0,0.0,8966.479599999997,7701.214000000002,0.4206739040926324,384,15344.230004939254,128,22298.453085986446,4,48.0,4,120.0,2,114.28640000000101,-3298.8280000000004,11.25,0,0,160,160,8 + shareholders & share market,debt,5,-1.8189894035458565e-11
2,512,4,4,26849.40839999997,0.0,27051.974799999993,0.0,5276.5646,,0.0,3181.322,2095.2426,0.0,1927.2426,0.63,0.00375,353.565,0.0,0.0,1.0,2550.0011999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,38.02294901166685,3.1961038852082,41.219052896875056,5.399671960784315,2.609146862745098,8.008818823529413,0.0,0.0,0.0,0.0,0,0,0.0,0.0,351.2438,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,202.5664,259.5332000000001,0.0,7,204.08040000000003,717.8499999999998,4820.108699999999,1111.2034000000267,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1890.0,0.0,0.005619080713788438,4.821362197392915,5.508829385964883,1.850000000000014,1.1280279411764704,3.5530452012383615,3.802399999999999,912.0,1074.0,456.0,2048.0,1292.0,204.0,189,0,0,2,52,33.0,2048.0,18037.942000000014,2309.3522000000003,4156.8571,720,48,0,128,0.15995252526244408,0.4900444231440093,0.09259791395525796,1,6183.132599999968,5178.142999999991,52,0,434.0,0,0,0,0.0,0,0.0,44939.25344990633,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,802.9000000000061,174.0,1991.6921,4,7.7376,5.4164,0.47562837192818946,5120.0,75.59895833333333,-0.2391414615885417,389,0,0.0,0,2052.8307898386424,3870.6666666666665,374,0.4041457904980599,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,189,0.0,0,12,0.0,0,0.0,1440.0,141.71410000000003,11902.700552588647,0.0,11902.700552588647,0.0,7.7376,12959.327500000001,8457.901400000002,0.49822893060693474,384,16003.182998454113,128,28936.070451452182,4,48.0,4,120.0,2,195.1183999999997,-2827.757,11.25,0,0,456,456,8 + shareholders & share market,debt,5,-1.8189894035458565e-11
3,512,4,4,28257.109199999937,0.0,28497.87839999999,0.0,6495.3949,,0.0,3013.884,3481.5109,0.0,1386.2683,7.8571708749999996,0.00375,298.0974,0.0,0.0,1.0,2356.0578074487876,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,53.741102258577286,3.2673143293214837,57.00841658789878,5.007028319066607,2.849430453895065,7.856458772961672,0.0,0.0,0.0,0.0,0,0,0.0,0.0,265.01619999999997,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,240.76920000000004,394.8064,0.0,8,2130.773,723.0722000000002,3242.0272999999997,1105.5230000000165,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1719.6383000000012,0.0,0.007927972665639958,4.734761816496794,5.44754776951676,1.8499272727272713,1.3419140816326534,3.492601042169914,9.343207019871995,1076.0,1079.0,538.0,2045.3333333333335,1353.0,204.0,173,0,0,0,52,36.0,2048.0,17749.36050000001,4324.3022,4136.1133,720,48,0,128,0.15460172889706025,0.5544107062990404,0.11422303621796259,0,6295.238800000006,5108.808000000041,52,0,165.0,0,0,0,0.0,0,0.0,55268.10670668629,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,305.2379999999998,71.0,1749.2358,4,110.27080000000001,77.18960000000001,0.5451161362788193,5120.0,71.3134765625,-0.23030083955652572,371,0,0.0,0,2142.4784108495414,3651.25,398,0.5338979124861565,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,173,0.0,0,12,0.0,0,0.0,1440.0,275.67920000000004,13720.702135603577,0.0,13720.702135603577,0.0,110.27080000000001,13995.919400000006,10209.651300000001,0.5612608734527862,384,16254.61725468491,128,39013.48945200142,4,48.0,4,120.0,2,233.71320000000065,-2715.7866,16.920419117647057,0,0,538,538,8 + shareholders & share market,debt,5,-1.8189894035458565e-11
4,512,4,4,27646.283399999975,0.0,27919.014899999987,0.0,7689.2604,,0.0,2846.446,4842.8144,0.0,1361.3035,13.055744,0.00375,283.1069,0.0,0.0,1.0,2265.2026801423126,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,60.409558441305876,3.107355911347734,63.51691435265361,4.181651638910339,2.742274308506032,6.923925947416372,0.0,0.0,0.0,0.0,0,0,0.0,0.0,266.2557,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,272.7315000000001,543.2418999999995,0.0,18,227.0937,837.9195000000001,3720.1286999999998,1084.471299999989,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1640.2124000000001,0.0,0.00966270175622843,4.6099219216418055,5.41581545623838,1.8218278625954205,1.4427298568507152,3.3480998987563866,9.062910809275834,1074.0,1072.0,537.0,2048.0,1385.0,204.0,165,0,0,1,48,37.0,2048.0,17294.988000000005,4415.956,4046.5196000000005,720,48,0,128,0.1378370916304259,0.5751895958430333,0.12074430131513014,0,6181.462400000012,4941.836300000015,48,0,262.0,0,0,0,0.0,0,0.0,60184.86386198427,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,477.31890000000016,105.0,1605.7129,4,56.171400000000006,39.3204,0.588932152840615,5120.0,69.462890625,-0.221863064147534,206,0,0.0,0,1312.0223648364758,3556.5,399,0.5776068484171512,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,165,0.0,0,12,0.0,0,0.0,1440.0,319.8988000000001,13728.508000073169,0.0,13728.508000073169,0.0,56.171400000000006,13552.741,10068.188499999998,0.5816574391222593,384,16533.241180497913,128,43651.62268148634,4,48.0,4,120.0,2,266.0674999999999,-2563.3391,20.128711224489802,0,0,537,537,8 + shareholders & share market,debt,5,-1.8189894035458565e-11
5,512,4,4,27038.242000000017,0.0,27324.163099999998,0.0,8701.4659,,0.0,2679.008,6022.457899999999,0.0,1179.6435000000001,18.160609875,0.00375,276.9533,0.0,0.0,1.0,2070.0127900523867,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,60.26567686611691,2.928345128745191,63.194021994862105,4.063473611231996,2.6328892184723824,6.696362829704378,0.0,0.0,0.0,0.0,0,0,0.0,0.0,276.3773,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,285.9211,688.9323999999992,0.0,27,232.66399999999996,840.7054000000003,1269.8605000000002,1084.0415999999766,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1461.4962000000014,0.0,0.010670387589075271,4.486015251141552,5.302278171641821,1.8596978260869563,1.5743483606557345,3.234540879142161,8.79102348499756,1072.0,1095.0,536.0,2046.6666666666667,1426.0000000000002,204.0,155,0,0,2,63,47.0,2048.0,16717.717899999996,4434.0607,4128.1497,720,48,0,128,0.13737896527815274,0.5794834148457291,0.13036095663916236,0,6035.147099999975,4912.186699999999,63,0,368.0,0,0,0,0.0,0,0.0,59346.97942457542,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,684.3688,148.0,1481.3604,4,1.9205999999999999,1.3444000000000003,0.5307951408834877,5120.0,67.7734375,-0.21284855636503067,223,0,0.0,0,861.189992473207,3470.0,399,0.6353913125104896,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,155,0.0,0,12,0.0,0,0.0,1440.0,391.8929000000001,13256.300715371723,0.0,13256.300715371723,0.0,1.9205999999999999,12959.905400000007,10043.570800000001,0.5847234295134032,384,15935.89160761201,128,43411.087816963365,4,48.0,4,120.0,2,279.6490999999996,-2402.0546999999997,21.64094785276073,0,0,536,536,8 + shareholders & share market,debt,5,-1.8189894035458565e-11
6,512,4,4,26410.757999999987,0.0,26700.310299999997,0.0,9586.483699999999,,0.0,2511.57,7074.913699999999,0.0,1052.4558,22.5842095,0.00375,251.1072,0.0,0.0,1.0,1938.9011018190968,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,60.86809675426574,3.0351551174598645,63.9032518717256,2.8872914174862294,2.74672232381702,5.634013741303249,0.0,0.0,0.0,0.0,0,0,0.0,0.0,251.1072,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,289.55230000000006,831.874399999999,0.0,36,215.4809,842.9648999999998,2451.7111999999997,1064.0147999999933,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1346.7433999999998,0.0,0.013160385605052413,4.364533428030333,5.244956250000012,1.8598924870466316,1.6651612903225816,3.1700658705894127,8.527292780447633,1088.0,1056.0,544.0,2045.3333333333335,1449.0,204.0,149,0,0,2,48,33.0,2048.0,16359.370500000006,4437.7748,3922.2275,720,48,0,128,0.10659939411473296,0.5759352077536435,0.14278187753559757,0,5953.183200000002,4608.947300000032,48,0,386.0,0,0,0,0.0,0,0.0,60590.69703670963,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,717.9184999999998,155.0,1440.2779999999998,4,0.0,0.0,0.5107264951569273,5120.0,67.32747395833333,-0.2070322067110656,24,0,0.0,0,99.19100581847762,3447.1666666666665,399,0.6242529756800747,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,149,0.0,0,12,0.0,0,0.0,1440.0,442.7843999999998,13483.977139030725,0.0,13483.977139030725,0.0,0.0,12861.531400000016,9800.2803,0.581335894306874,384,16274.160582936562,128,44316.536453773086,4,48.0,4,120.0,2,283.6722999999994,-2260.4628000000002,23.615225409836018,0,0,544,544,8 + shareholders & share market,debt,5,-1.8189894035458565e-11
7,512,4,4,25977.273799999974,0.0,26265.628900000003,0.0,10420.457600000002,,0.0,2344.132,8076.325600000002,0.0,1001.4118999999998,26.530619999999992,0.00375,275.76,0.0,0.0,1.0,1850.153913941012,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,63.773457146289424,2.986063886561749,66.75952103285117,2.997824422177813,2.570940080216667,5.5687645023944805,0.0,0.0,0.0,0.0,0,0,0.0,0.0,275.76000000000005,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,288.3551000000001,971.9582999999991,0.0,50,410.4309,843.9150999999997,4741.9064,1079.921200000008,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1274.0371000000005,0.0,0.012565035150135106,4.265687923147305,5.153771482176368,1.8684150793650778,1.6552204123711327,3.092580515038431,8.271473997034205,1066.0,1093.0,533.0,2045.3333333333333,1474.0000000000002,204.0,142,0,0,3,55,50.0,2048.0,15634.267300000005,4452.4768,3961.7048999999997,720,48,0,128,0.10887423904242888,0.5839958850043145,0.14445090059862742,0,5831.119399999988,4662.396900000004,55,0,504.0,0,0,0,0.0,0,0.0,62464.920201869936,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,941.6811999999992,202.0,1653.0647999999999,4,0.0,0.0,0.38289535984350337,5120.0,55.081380208333336,-0.19682098260038638,76,0,0.0,0,316.08826987467774,2820.1666666666665,399,0.6672890603968407,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,142,0.0,0,12,0.0,0,0.0,1440.0,467.11809999999986,13040.962018697954,0.0,13040.962018697954,0.0,0.0,12409.9169,10067.246500000003,0.5893429940890123,384,16079.899894943672,128,46385.02030692633,4,48.0,4,120.0,2,282.86700000000064,-2068.3720000000003,24.977419354838723,0,0,533,533,8 + shareholders & share market,debt,5,-1.8189894035458565e-11
8,512,4,4,25337.086199999998,0.0,25624.177599999995,0.0,11212.352399999998,,0.0,2176.694,9035.658399999998,0.0,959.3328000000004,30.285239749999985,0.00375,257.308,0.0,0.0,1.0,1815.2102118711762,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,66.50398178514209,2.9373764014066115,69.44135818654868,2.6898787581411874,2.5824503923982873,5.272329150539475,0.0,0.0,0.0,0.0,0,0,0.0,0.0,257.308,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,287.09140000000025,1111.4469999999994,0.0,61,216.59,856.7775999999999,3344.7428999999984,1046.8712000000091,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1252.1405000000002,0.0,0.011015011521182175,4.207315080113077,5.178800558659194,1.8771127049180318,1.6518106339468286,3.019163463768302,8.023329777123175,1074.0,1061.0,537.0,2044.0,1476.0000000000002,204.0,142,0,0,0,52,35.0,2048.0,15059.37880000001,4523.307,3835.3918999999996,720,48,0,128,0.10115973866253514,0.5907483540726701,0.14591871006944102,0,5726.597800000026,4463.961299999975,52,0,488.0,0,0,0,0.0,0,0.0,63211.62930746456,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,916.0309999999995,196.0,1661.7005,4,0.0,0.0,0.3588500301734434,5120.0,50.999348958333336,-0.1897723226414841,70,0,0.0,0,242.930734001442,2611.1666666666665,399,0.7053239460361344,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,142,0.0,0,12,0.0,0,0.0,1440.0,473.8212,12731.618304412448,0.0,12731.618304412448,0.0,0.0,12024.761400000007,10020.3994,0.5959732856179991,384,15933.274875211806,128,47278.3544322528,4,48.0,4,120.0,2,281.9953000000012,-1919.386,24.82830618556699,0,0,537,537,8 + shareholders & share market,debt,5,-1.8189894035458565e-11
9,512,4,4,24886.462300000003,0.0,25169.54899999999,0.0,12058.013499999995,,0.0,2170.6374,9887.376099999996,0.0,851.7176999999997,33.88182325,0.00375,275.077,0.0,0.0,1.0,1824.317126525377,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,67.67735405089233,2.796340227236385,70.47369427812872,2.0051558745614253,2.5669805737822475,4.572136448343673,0.0,0.0,0.0,0.0,0,0,0.0,0.0,275.077,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,283.0867000000002,1247.6824999999997,0.0,70,406.6923,857.3162000000002,3016.2920999999997,1041.1920000000193,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1268.9523999999994,0.0,0.012092597984768395,4.276276286764703,5.1810070240295945,1.853807500000001,1.5867904665314416,2.9544900891905153,7.782629883809481,1082.0,1088.0,541.0,2048.0,1464.0,204.0,146,0,0,1,58,42.0,2048.0,14514.96570000001,4660.4511,3882.4985,720,48,0,128,0.08232204564874102,0.596631087538031,0.14320643791643262,0,5610.4975000000195,4652.588599999996,58,0,440.0,0,0,0,0.0,0,0.0,63344.81420048209,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,815.6753000000004,176.0,1553.4699999999998,4,0.0,0.0,0.3588500301734434,5120.0,50.999348958333336,-0.18014574126885227,0,0,0.0,0,0.0,2611.1666666666665,399,0.7657916602096769,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,146,0.0,0,12,0.0,0,0.0,1440.0,531.0016,12383.985277861148,0.0,12383.985277861148,0.0,0.0,11570.401500000005,10096.4196,0.6002397149072765,384,15684.286675211799,128,47660.52752527029,4,48.0,4,120.0,2,278.3826000000016,-1895.5604,24.777159509202427,0,0,541,541,8 + shareholders & share market,debt,5,-1.8189894035458565e-11
10,512,4,4,24778.292099999988,0.0,25057.1309,0.0,12921.457499999997,,0.0,2476.193,10445.264499999996,0.0,557.8883999999996,37.07462775,0.00375,248.6769,0.0,0.0,1.0,1854.0260647267314,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,66.57304354032736,2.7287434666626704,69.30178700699004,1.926408250810457,2.577507067785879,4.503915318596336,0.0,0.0,0.0,0.0,0,0,0.0,0.0,248.6769,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,278.83880000000016,1381.8589000000002,0.0,81,760.4095000000001,868.5797000000003,1571.4685000000004,1012.1176999999849,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1289.562899999999,0.0,0.012322595766764678,4.249452952202435,5.129466604823754,1.8708358600583097,1.664017515274949,2.954599979151478,7.549150987295196,1078.0,1067.0,539.0,2046.6666666666665,1446.0,204.0,150,0,0,1,50,36.0,2048.0,14616.676299999986,4751.7038,3872.0375,720,48,0,128,0.07899101351757531,0.5971222909696767,0.14911654543767883,0,5615.505800000027,4534.166299999998,50,0,343.0,0,0,0,0.0,0,0.0,63112.033892395935,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,641.6967000000002,162.0,1289.1976,4,0.0,0.0,0.3588500301734434,5120.0,50.999348958333336,-0.17546480410314713,0,0,0.0,0,0.0,2611.1666666666665,399,0.785328916864342,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,150,0.0,0,12,0.0,0,0.0,1440.0,625.6211,12021.292774025911,0.0,12021.292774025911,0.0,0.0,11678.516899999993,9912.9389,0.5993170928219056,384,15771.50307521182,128,47340.53081718413,4,48.0,4,120.0,2,274.52669999999955,-2227.5161000000003,23.801856997971626,0,0,539,539,8 + shareholders & share market,debt,5,-1.8189894035458565e-11
11,512,4,4,24778.690700000025,0.0,25055.18390000001,0.0,13882.795999999995,,0.0,2926.7199,10956.076099999995,0.0,510.8116000000001,39.1652985,0.00375,258.6203,0.0,0.0,1.0,1900.1902068641457,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,68.3816766332613,2.7184399038487266,71.10011653711003,2.1582496606777255,2.459881796165453,4.618131456843178,0.0,0.0,0.0,0.0,0,0,0.0,0.0,258.6203,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,276.49320000000006,1515.926099999999,0.0,98,899.9685000000001,899.5698999999994,4359.164499999999,1000.3460000000083,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1339.2617000000014,0.0,0.013486903334439007,4.196249355432775,5.188181156716408,1.8573752747252725,1.6758032786885255,2.898126256805354,7.322676457676341,1072.0,1086.0,536.0,2046.6666666666667,1424.0,204.0,155,0,0,2,57,43.0,2048.0,14573.853100000004,4892.589,3904.818,720,48,0,128,0.08733814295340236,0.6019612040565563,0.1484649264778357,0,5542.260599999973,4557.126799999994,57,0,364.0,0,0,0,0.0,0,0.0,64285.370218825796,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,676.0845999999992,146.0,1148.8103,4,0.0,0.0,0.3588500301734434,5120.0,50.999348958333336,-0.16558892722985086,0,0,0.0,0,0.0,2611.1666666666665,399,0.8232787373429095,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,155,0.0,0,12,0.0,0,0.0,1440.0,677.5355000000003,11773.813488938215,0.0,11773.813488938215,0.0,0.0,11685.509399999995,9946.217299999998,0.6039160161249248,384,15679.837175211816,128,48605.53304361401,4,48.0,4,120.0,2,272.57310000000075,-2668.0996,24.960262729124235,0,0,536,536,8 + shareholders & share market,debt,5,-1.8189894035458565e-11
12,512,4,4,25097.992700000013,0.0,25097.9931,0.0,14791.32469999999,,0.0,3335.1994,11456.12529999999,0.0,500.04919999999987,41.079557250000015,0.00375,259.4056,0.0,0.0,1.0,1845.8196109859036,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,69.46573219944796,2.7495396242958443,72.2152718237438,2.251641925940243,2.4758283546244186,4.727470280564662,0.0,0.0,0.0,0.0,0,0,0.0,0.0,259.4056,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.00039999999997020197,1650.3044,0.0,119,1257.3610000000006,938.0590000000004,4328.331999999999,993.7966999999924,0.0,275.6635999999999,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1291.9152,0.0,0.011169313596962055,4.141516126042633,5.156447866419275,1.8611419437340144,1.5777961303462311,2.860144840331057,7.10299616394605,1078.0,1079.0,539.0,2045.3333333333335,1441.0,204.0,151,0,0,0,59,39.0,2048.0,14707.493399999998,5094.6288,3882.6382000000003,720,48,0,128,0.09082907263641005,0.6028729816537797,0.1472074489254327,0,5729.355300000009,4468.6959000000015,59,0,391.0,0,0,0,0.0,0,0.0,64976.51476369242,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,727.7064999999997,157.0,1153.8267,4,0.0,0.0,0.3588500301734434,5120.0,50.999348958333336,-0.15535989647370219,0,0,0.0,0,0.0,2611.1666666666665,399,0.8575281174174095,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,151,0.0,0,12,0.0,0,0.0,1440.0,728.1721999999999,11705.526913513611,0.0,11705.526913513611,0.0,0.0,11746.207499999993,10131.0937,0.60722933830918,384,15773.447375211807,128,49203.067388480624,4,48.0,4,120.0,2,-3.52770000000101,-3075.7938,25.13704918032788,0,0,539,539,8 + shareholders & share market,debt,5,-1.8189894035458565e-11
13,512,4,4,25255.143300000025,0.0,25389.90229999998,0.0,15601.193099999982,,0.0,3574.3248,12026.868299999982,0.0,570.7430000000002,42.95301512500002,0.00375,261.722,0.0,0.0,1.0,1739.5860438670945,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,77.26362425378147,2.8136439632913772,80.07726821707286,1.889004866708691,2.5367580832874363,4.425762949996128,0.0,0.0,0.0,0.0,0,0,0.0,0.0,261.72200000000004,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,134.75900000000001,1785.4641999999997,0.0,123,1138.3156999999999,981.1650999999999,2190.9287000000004,991.6697000000207,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1192.9060000000004,0.0,0.010919689973558345,4.073766635773862,5.0955354243542565,1.8647827004219388,1.6213016194331988,2.746871640971354,6.889906279027669,1084.0,1079.0,542.0,2048.0,1480.0,204.0,142,0,0,1,53,42.0,2048.0,14239.396399999987,5829.953600000001,3833.1689,720,48,0,128,0.0798819566054425,0.5970973108555295,0.13158082137065175,0,5329.250399999967,4395.594199999997,53,0,474.0,0,0,0,0.0,0,0.0,69968.39896661694,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,883.906999999999,190.0,1090.9024,4,0.0,0.0,0.45599567315881706,5120.0,50.999348958333336,-0.14680847796469262,3,0,0.0,0,15.298048466087304,2611.1666666666665,399,1.1326849849081568,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,142,0.0,0,12,0.0,0,0.0,1440.0,741.3552999999997,11127.329418486017,0.0,11127.329418486017,0.0,0.0,11316.525699999998,10754.024900000002,0.5993817688109757,384,18114.368185571406,128,51854.03078104561,4,48.0,4,120.0,2,126.32690000000002,-3312.6027999999997,23.666941955193465,0,0,542,542,8 + shareholders & share market,debt,5,-1.8189894035458565e-11
