round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,26747.387199999997,0.0,848.3212000000002,848.3212000000002,472.2,,472.2,0.0,0.0,0.0,0.0,0.0,0.0025,117.68,1683.0,0.0,0.9588,561.0,875.4490333333333,0.02,88.80000000000034,1.02,0.0,0.0,1.02,0.0,0,0,68.09590089229422,2.367862352941176,70.46376324523541,9.475824117647058,2.554624117647059,12.030448235294116,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.02,1.02,0.0,0.0,0.0,0.0612,0.5,0.25,0.0,0.0,0.0,55,2560.0,237.8928000000003,9088.821899999999,207.32430000000002,0.0,0.0,0.0,0.0,0.0,0,258.1752,2560.0,237.8928000000003,118.52430000000012,274.0,0.0,3739.6,0.0,5.0,5.200000000000013,2.0,NaN,3.594822888283399,3.9200000000000013,320.0,88.0,160.0,2048.0,734.0,204.0,328,0,0,0,54,34.0,2048.0,19971.29140000003,0.0,3836.6702,586,182,0,102,0.24247633921785305,0.6496301318472419,0.6648312848196016,4,5098.838499999998,440.0,58,4,520.0,0,0,0,0.0,0,0.0,65858.00444157662,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1040.0,208.0,2563.5704,4,25.234,25.23399999999999,0.9294223805303252,5120.0,85.859375,0.21124577636718747,288,0,0.0,0,11810.192365615274,4396.0,259,0.4107096354166666,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,0,12,0.0,0,0.0,1440.0,2.9201,2782.5298000000007,0.0,2782.5298000000007,0.0,25.234,11210.810600000004,6400.2406,0.6518962471041974,410,19601.680895283156,102,46256.32354629324,4,0.0,4,120.0,2,258.1752,-354.52,37.5,0,0,160,160,12 + fiscal policy and VAT,sumsy,7,5.820766091346741e-11
2,512,4,4,29003.67989999999,0.0,9840.227192307691,2851.8418999999976,575.8103,,575.8103,0.0,0.0,0.0,0.0,0.0,0.0025,152.6145,1683.0,0.0,0.91929744,561.0,720.5506500000004,0.02,339.7096999999998,1.0404,0.0,0.0,1.0404,0.0,0,0,81.12536580159156,2.0708678816519184,83.19623368324348,11.605856862745096,2.041617843137255,13.64747470588235,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0404,1.0404,0.0,0.0,0.0,0.062424,0.5,0.25,0.0,-3.7612249999999947,0.0,59,2560.0,303.7072999999997,5832.937099999997,493.83139999999935,0.0,0.0,0.0,0.0,0.0,5,391.2913,2560.0,303.7072999999997,154.12170000000003,274.0,0.0,2981.09519999998,0.015,4.909000937207106,5.518469956140355,2.174668055555556,1.1388572727272728,3.562239795918336,14.672302698412699,912.0,1067.0,456.0,2048.0,1176.0,204.0,218,0,0,3,46,34.0,2048.0,19680.708000000002,0.0,6773.9191,422,346,0,71,0.3147278435848193,0.6775343473224864,0.6702515120627079,1,5009.469300000001,5237.903999999982,46,0,144.0,0,0,0,0.0,0,0.0,73407.65355652689,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,313.1522000000001,58.0,2005.147,4,160.2321,160.23199999999983,0.7283180577389738,5120.0,78.9208984375,0.21664869547526058,218,0,0.0,0,4846.027761133618,4040.75,350,0.4430501350258303,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,218,0.0,0,12,0.0,0,0.0,1440.0,540.6001,11202.596130035707,0.0,11202.596130035707,0.0,160.2321,13949.973700000008,8779.066099999998,0.6784097670034801,441,55046.52437058889,71,18361.129185938007,4,0.0,4,119.74799999999993,2,391.2913,-423.19579999999996,37.55408653846155,0,0,456,456,12 + fiscal policy and VAT,sumsy,7,5.820766091346741e-11
3,512,4,4,31207.996199999998,0.0,13318.121863636376,2950.7949,640.2148,,640.2148,0.0,0.0,0.0,0.0,0.0,0.0025,181.8848,1672.7898,0.0,0.8814223854719999,550.7898000000001,648.2722,0.02,333.77080000000063,1.061208,0.0,0.0,1.061208,0.0,0,0,85.47499237784918,1.8545230675699145,87.3295154454191,11.879226160041965,1.7236453157823581,13.602871475824323,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.061208,1.061208,0.0,0.0,0.0,0.06367247999999999,0.5,0.25,0.0,-34.81612499999999,0.0,66,2560.0,355.6837,8767.578300000003,517.7225000000005,0.0,0.0,0.0,0.0,0.0,170,472.0582,2560.0,355.6837,183.95170000000013,274.0,0.0,2091.5071999999855,0.015,4.820316744621119,5.474365225563905,2.312088095238096,1.3516201149425289,3.470788884321055,19.77489310688514,1064.0,1069.0,532.0,2044.0,1304.0,204.0,185,0,0,0,46,33.0,2048.0,19551.026500000007,0.0,9158.9346,410,358,0,69,0.3299800403762525,0.6760942827874203,0.5869721450457979,0,6873.5823,5152.918599999975,46,0,84.0,0,0,0,0.0,0,0.0,82432.93308823198,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,194.21540000000007,34.0,1844.0921,4,170.9523,170.9532999999998,0.6942741634200796,5120.0,71.52994791666667,0.32489413441051135,182,0,0.0,0,2917.014800160447,3662.3333333333335,382,0.426619550582312,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,185,0.0,0,12,0.0,0,0.0,1440.0,1022.9626999999999,12836.82908584406,0.0,12836.82908584406,0.0,170.9523,14952.990600000017,11003.0267,0.6773669295379807,443,56365.12874795348,69,26067.804340278424,4,0.0,4,119.4960000000001,2,472.0582,-458.3299999999999,56.94286363636364,0,0,532,532,12 + fiscal policy and VAT,sumsy,7,5.820766091346741e-11
4,512,4,4,33370.07449999996,0.0,12718.208800000028,502.72940000000006,608.2041,,608.2041,0.0,0.0,0.0,0.0,0.0,0.0025,222.6447,1660.2221249999998,0.0,0.8451077831905535,540.8396999999995,575.4335999999996,0.02,400.0157000000006,1.08243216,0.0,0.0,1.08243216,0.0,0,0,111.32918223957756,2.125169502984687,113.45435174256225,14.55281634593896,1.7622076451898208,16.31502399112878,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.08243216,1.08243216,0.0,0.0,0.0,0.0649459296,0.5,0.25,0.0,-99.57572500000019,0.0,74,2560.0,397.92170000000016,5704.4677999999985,609.7868000000005,0.0,0.0,0.0,0.0,0.0,12,539.056,2560.0,397.92170000000016,209.77110000000002,274.0,0.0,1111.5179999999948,0.015,5.359480314232902,5.4280760299625195,2.3933039603960404,1.4479005681818184,3.342816190956859,19.181646313678584,1068.0,1082.0,534.0,2048.0,1355.0,204.0,173,0,0,1,58,34.0,2048.0,20933.481800000005,39.6264,9787.293699999998,422,346,0,81,0.3643697977881899,0.696344678993335,0.4492045878023525,1,8171.985599999986,5798.9577,58,0,202.0,0,0,0,0.0,0,0.0,100739.99353362803,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,483.4474000000002,81.0,1847.9719,4,118.1032,118.10420000000008,1.0053070241294098,5120.0,69.3505859375,0.4009861261150023,243,0,0.0,0,3331.833527970812,3550.75,395,0.7000954521640308,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,173,0.0,0,12,0.0,0,0.0,1440.0,1460.3024999999998,12228.716000855968,0.0,12228.716000855968,0.0,118.1032,16439.2173,11674.892,0.6976217236332767,431,58191.2475641352,81,42548.74596949283,4,0.0,4,113.4960000000001,2,539.056,-385.55940000000004,67.58100574712644,0,0,534,534,12 + fiscal policy and VAT,sumsy,7,5.820766091346741e-11
5,512,4,4,35502.43739999992,0.0,15427.158299999997,3078.0308000000023,576.1934,,576.1934,0.0,0.0,0.0,0.0,0.0,0.0025,243.3522,1688.97924,0.0,0.8102893425231027,601.3359000000002,548.8908999999999,0.02,421.5422000000003,1.1040808032,0.0,0.0,1.1040808032,0.0,0,0,106.21705949361031,2.173666224605296,108.3907257182156,8.733324070072989,1.9011570391314274,10.634481109204415,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.1040808032,1.1040808032,0.0,0.0,0.0,0.066244848192,0.5,0.25,0.0,-166.03692500000034,0.0,81,2560.0,427.63709999999963,5464.913299999999,651.2242999999997,0.0,0.0,0.0,0.0,0.0,158,563.114,2560.0,427.63709999999963,229.68210000000036,274.0,0.0,76.3672,0.015,5.473736103416435,5.527402952029505,2.5926331797235034,1.587073469387755,3.354287672178839,18.60619692426823,1084.0,1083.0,542.0,2046.6666666666665,1376.9999999999998,204.0,166,0,0,1,58,36.0,2048.0,20329.8246,0.0,12481.3014,422,346,0,81,0.2516225174186333,0.6959342209090453,0.4387848764104183,0,8408.770099999998,5928.056199999999,58,0,217.0,0,0,0,0.0,0,0.0,106944.7188646873,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,562.6014000000002,87.0,1884.8452,4,119.1465,119.14749999999982,1.077217367579371,5120.0,68.94368489583333,0.44238133837150806,103,0,0.0,0,664.0697040534618,3529.9166666666665,405,0.9385105135478754,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,166,0.0,0,12,0.0,0,0.0,1440.0,2373.0585000000005,9569.874801574402,0.0,9569.874801574402,0.0,119.1465,15877.659,14366.146600000002,0.6974657897607333,431,60750.53638132959,81,46194.18248335775,4,0.0,4,107.4960000000001,2,563.114,-332.84119999999996,72.39502840909093,0,0,542,542,12 + fiscal policy and VAT,sumsy,7,5.820766091346741e-11
6,512,4,4,37592.379699999976,0.0,15456.7825,860.4221000000002,544.1827,,544.1827,0.0,0.0,0.0,0.0,0.0,0.0025,281.7355,1714.5587999999996,0.0,0.7769054216111508,614.1521999999995,522.0524166666664,0.02,425.1538000000004,1.126162419264,0.0,0.0,1.126162419264,0.0,0,0,124.64454982451336,2.0983592633916346,126.742909087905,10.175786796492169,1.8690999366111039,12.044886733103274,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.126162419264,1.126162419264,0.0,0.0,0.0,0.06756974515584001,0.5,0.25,0.0,-259.6334249999998,0.0,84,2560.0,470.05769999999956,2396.5445999999997,682.5603999999995,0.0,0.0,0.0,0.0,0.0,1,509.7398,2560.0,470.05769999999956,257.40659999999957,274.0,0.0,0.0,0.015,5.463936111111111,5.593974306839184,2.66427731958763,1.7339923076923072,3.343595600880968,18.04801101654018,1082.0,1080.0,541.0,2046.6666666666667,1366.0,204.0,170,0,0,1,51,42.0,2048.0,21453.200399999994,611.1289999999999,12981.8949,422,346,0,81,0.2782520218623765,0.7105970623363684,0.3932045927446235,1,7402.8735,5901.0509999999995,51,0,194.0,0,0,0,0.0,0,0.0,124828.14883231191,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,516.8698000000002,78.0,1754.6801,4,119.66199999999999,119.66219999999996,1.4361381549860868,5120.0,68.49283854166667,0.5082586884832058,136,0,0.0,0,950.7121012021836,3506.8333333333335,407,1.101502876856774,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,170,0.0,0,12,0.0,0,0.0,1440.0,3064.4895999999962,8841.789115852724,0.0,8841.789115852724,0.0,119.66199999999999,16604.0989,15347.704000000002,0.7118027015429378,431,74089.30265352826,81,50738.84617878356,4,0.0,4,101.4960000000001,2,589.9743000000001,-262.44719999999995,79.35367346938776,0,0,541,541,12 + fiscal policy and VAT,sumsy,7,5.820766091346741e-11
7,512,4,4,39635.796999999984,0.0,15629.34660000001,1045.7667000000004,512.1719999999999,,512.1719999999999,0.0,0.0,0.0,0.0,0.0,0.0025,347.865,1732.3599857142854,0.0,0.7448969182407714,613.0556999999999,485.6578285714282,0.02,422.4626999999999,1.14868566764928,0.0,0.0,1.14868566764928,0.0,0,0,134.78760264026909,1.6119340186501243,136.3995366589192,11.934276892071479,1.6221915483908764,13.556468440462355,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.14868566764928,1.14868566764928,0.0,0.0,0.0,0.0689211400589568,0.5,0.25,0.0,-356.60242500000004,0.0,85,2560.0,516.5827000000002,1540.5707999999997,710.6071000000005,0.0,0.0,0.0,0.0,0.0,2,549.4857,2560.0,516.5827000000002,288.1443999999997,274.0,0.0,0.0,0.015,5.411222504708104,5.5401647388059905,2.7474032608695653,1.9303305263157906,3.2898662709565216,17.506570686043975,1072.0,1062.0,536.0,2046.6666666666667,1352.0,204.0,173,0,0,1,46,35.0,2048.0,22206.57920000002,1238.4830000000002,13530.7027,422,346,0,81,0.31959939591489395,0.7202874609184837,0.42793690381678284,2,7215.585900000006,5746.718300000007,46,0,184.0,0,0,0,0.0,0,0.0,133833.6544018872,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,505.5222,74.0,1762.6814,4,148.7544,148.75369999999953,1.5742721804096576,5120.0,67.81412760416667,0.5771457279146631,167,0,0.0,0,1846.1386874252044,3472.0833333333335,407,1.2104050645148814,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,173,0.0,0,12,0.0,0,0.0,1440.0,3663.776600000001,7795.8782627928285,0.0,7795.8782627928285,0.0,148.7544,16799.7794,16531.8671,0.7213895582037637,431,79861.14137622999,81,53972.513025657245,4,0.0,4,95.4960000000001,2,636.0104,-164.3069999999999,86.69961538461536,0,0,536,536,12 + fiscal policy and VAT,sumsy,7,5.820766091346741e-11
8,512,4,4,41632.50319999997,0.0,16004.194300000006,1299.0061999999996,480.1613,,480.1613,0.0,0.0,0.0,0.0,0.0,0.0025,468.6337,1743.4923749999998,0.0,0.7142071652092515,607.1397000000001,426.7504791666665,0.02,442.4170000000004,1.1716593810022657,0.0,0.0,1.1716593810022657,0.0,1,0,162.38103180587802,1.2541217660078385,163.63515357188587,14.478421598104278,1.3553408631803756,15.833762461284653,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.1716593810022657,1.1716593810022657,0.0,0.0,0.0,0.07029956286013594,0.5,0.25,0.0,-458.28422500000084,0.0,88,2560.0,563.2938000000005,2760.9209000000005,761.8755000000002,0.0,0.0,0.0,0.0,0.0,5,522.3208999999999,2560.0,563.2938000000005,319.45849999999996,274.0,0.0,0.0,0.015,5.3429669741697445,5.560801872659198,2.891227649769584,1.9500936170212766,3.2772116568906275,16.981373565462658,1068.0,1084.0,534.0,2046.6666666666667,1361.0,204.0,171,0,0,1,55,41.0,2048.0,22653.890700000033,1876.5638000000001,14265.919999999998,422,346,0,81,0.36664530002959106,0.7288008709760654,0.43148331609773005,11,7212.9224,5791.776200000003,55,0,217.0,0,0,0,0.0,0,0.0,158149.02845050846,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,627.3963999999997,87.0,1845.1740999999997,4,188.45569999999998,188.45749999999992,1.5015664248090417,5120.0,56.316731770833336,0.6613945427288929,222,0,0.0,0,3248.248205275677,2883.4166666666665,415,1.4674696643143852,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,171,0.0,0,12,0.0,0,0.0,1440.0,4345.608900000001,6772.419708050018,0.0,6772.419708050018,0.0,188.45569999999998,15980.62589999999,17987.6579,0.7303001609154847,431,97372.79149637683,81,60776.23695413165,4,0.0,4,89.4960000000001,2,671.8577,-11.527600000000007,96.51652631578953,0,0,534,534,12 + fiscal policy and VAT,sumsy,7,5.820766091346741e-11
9,512,4,4,43587.50589999998,0.0,16144.083200000001,1127.8416,448.1506,,448.1506,0.0,0.0,0.0,0.0,0.0,0.0025,613.2684,1749.5974999999999,0.0,0.6847818300026304,599.4795000000003,378.77636666666666,0.02,432.32109999999966,1.195092568622311,0.0,0.0,1.195092568622311,0.0,5,0,173.3481153001612,0.9193757078594982,174.26749100802067,15.734125101414664,1.2934593864652564,17.02758448787992,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.195092568622311,1.195092568622311,0.0,0.0,0.0,0.07170555411733866,0.5,0.25,0.0,-566.707466875828,0.0,93,2560.0,604.9973,2610.3846,781.0486000000001,0.0,0.0,0.0,0.0,0.0,8,576.5223,2560.0,604.9973,348.7275000000001,274.0,0.0,0.0,0.015,5.269995313964385,5.613228200371071,3.172280120481928,1.9408160621761645,3.2116715231941244,16.471932358498773,1078.0,1067.0,539.0,2046.6666666666667,1351.0,204.0,173,0,0,2,55,31.0,2048.0,23571.719999999983,2550.3614000000002,14393.0387,422,346,0,81,0.38995316474572084,0.7357967393657456,0.4359715585748949,13,7079.033299999985,5623.084999999999,55,0,166.0,0,0,0,0.0,0,0.0,163980.47352261486,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,526.5985000000001,67.0,1882.5951,4,242.1409,242.14320000000018,1.4601811524001649,5120.0,53.7060546875,0.6917197570714205,152,0,0.0,0,2636.212428297367,2749.75,413,1.675722270473747,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,173,0.0,0,12,0.0,0,0.0,1440.0,5050.0385,6325.860807383229,0.0,6325.860807383229,0.0,242.1409,17196.758299999998,18825.995199999998,0.7373581751845604,431,101809.15652881625,81,62171.31699379874,4,0.0,4,83.4960000000001,2,718.4390999999999,165.11780000000005,97.50468085106382,0,0,539,539,12 + fiscal policy and VAT,sumsy,7,5.820766091346741e-11
10,512,4,4,45508.70519999997,0.0,15979.507000000023,881.3166999999999,416.1399,,416.1399,0.0,0.0,0.0,0.0,0.0,0.0025,817.8723,1752.02595,0.0,0.656568818606522,591.294,311.38455,0.02,463.61999999999983,1.2189944199947573,0.0,0.0,1.2189944199947573,0.0,3,0,189.73757583318002,0.9369520698965578,190.67452790307658,16.315892210066046,1.7151883019276961,18.031080511993746,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.2189944199947573,1.2189944199947573,0.0,0.0,0.0,0.07313966519968544,0.5,0.25,0.0,-679.9675668758267,0.0,95,2560.0,638.800700000001,1369.0681999999997,837.140199999999,0.0,0.0,0.0,0.0,0.0,3,608.0077,2560.0,638.800700000001,373.5201999999998,274.0,0.0,0.0,0.015,5.20485146788991,5.564405576208144,3.2208414634146347,1.9323421874999995,3.2212987986194905,15.977774387743812,1076.0,1090.0,538.0,2045.3333333333333,1380.9999999999998,204.0,165,0,0,4,56,45.0,2048.0,24216.833700000007,3201.2436,14625.7919,422,346,0,81,0.3851057605582666,0.7411680469872828,0.3999516590505514,2,7177.531300000006,5673.288100000002,56,0,246.0,0,0,0,0.0,0,0.0,173411.49200778134,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,792.3270000000001,99.0,2038.956,4,224.16880000000003,224.1662000000003,1.6169311360003953,5120.0,52.970377604166664,0.7171500484317651,85,0,0.0,0,967.1241711084203,2712.0833333333335,412,1.8831986953204358,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,165,0.0,0,12,0.0,0,0.0,1440.0,5536.006200000002,5188.828538875456,0.0,5188.828538875456,0.0,224.16880000000003,17873.238499999996,19865.991500000004,0.7427410848019114,431,110144.6810812678,81,63266.810926513615,4,0.0,4,77.4960000000001,2,742.6677,401.7324,97.04080310880823,0,0,538,538,12 + fiscal policy and VAT,sumsy,7,5.820766091346741e-11
11,512,4,4,47391.869599999955,0.0,15786.687499999995,897.0517000000006,384.1292,,384.1292,0.0,0.0,0.0,0.0,0.0,0.0025,1044.7951,1752.0196909090905,0.0,0.6295181832799333,583.9856999999997,235.74153030303015,0.02,455.2242000000006,1.2433743083946525,0.0,0.0,1.2433743083946525,0.0,6,0,212.19822238731393,0.6920445208509811,212.8902669081649,17.04982673064659,1.7231041146363515,18.77293084528294,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.2433743083946525,1.2433743083946525,0.0,0.0,0.0,0.07460245850367915,0.5,0.25,0.0,-794.8246668758284,0.0,101,2560.0,676.8355999999997,2326.6429000000007,856.7731000000002,0.0,0.0,0.0,0.0,0.0,4,546.6753,2560.0,676.8355999999997,401.5489000000006,274.0,0.0,0.0,0.015,5.13691819047619,5.663238589981463,3.307862549800796,1.9165466321243525,3.181908978120732,15.498441156111497,1078.0,1050.0,539.0,2042.6666666666667,1385.0,204.0,165,0,0,2,46,27.0,2048.0,25131.38739999997,3916.5188,14551.4581,422,346,0,81,0.3939669316322989,0.7513384712572506,0.41760632600201486,3,7116.445200000008,5393.764099999999,46,0,251.0,0,0,0,0.0,0,0.0,185072.68681552133,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,830.2734999999998,101.0,2201.0349,4,236.3501,236.34710000000035,1.806613677722516,5120.0,52.659505208333336,0.738949605204264,45,0,0.0,0,526.3152369504976,2696.1666666666665,412,2.035182925621117,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,165,0.0,0,12,0.0,0,0.0,1440.0,6042.049899999999,4489.427933235926,0.0,4489.427933235926,0.0,236.3501,18729.211899999988,20669.011800000004,0.7528808269345313,431,120034.8019464083,81,65037.884869113,4,0.0,4,71.4960000000001,2,753.6762,660.6659,96.61710937499997,0,0,539,539,12 + fiscal policy and VAT,sumsy,7,5.820766091346741e-11
12,512,4,4,49238.372500000114,0.0,15431.896000000004,777.0244999999998,352.1185,,352.1185,0.0,0.0,0.0,0.0,0.0,0.0025,1333.8316,1750.1083499999995,0.0,0.6035820341288001,576.3611999999998,138.75891666666652,0.02,488.3445999999999,1.2682417945625455,0.0,0.0,1.2682417945625455,0.0,5,0,234.7308095293552,0.7310750030389713,235.46188453239415,17.805894152296876,1.839054888457973,19.64494904075485,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.2682417945625455,1.2682417945625455,0.0,0.0,0.0,0.07609450767375273,0.5,0.25,0.0,-910.4579668758278,0.0,104,2560.0,713.4970999999991,1692.3777999999995,917.2148999999988,0.0,0.0,0.0,0.0,0.0,12,547.0137,2560.0,713.4970999999991,428.87029999999993,274.0,0.0,0.0,0.015,5.073453165735568,5.651965355805237,3.4283024999999996,1.9155324468085133,3.1553999436315667,15.033487921428149,1068.0,1074.0,534.0,2045.3333333333335,1402.0,204.0,161,0,0,2,47,32.0,2048.0,25675.620399999956,4623.975200000001,14578.025899999999,422,346,0,81,0.4001525202221843,0.7567456655469433,0.3941917366265344,0,7113.621699999975,5448.8887,47,0,320.0,0,0,0,0.0,0,0.0,197899.62519723564,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1097.0567999999998,128.0,2479.9057000000003,4,266.7538,266.75530000000043,2.023200980784698,5120.0,52.503255208333336,0.7621034836548063,42,0,0.0,0,504.21601026671914,2688.1666666666665,412,2.2033711654245103,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,161,0.0,0,12,0.0,0,0.0,1440.0,6327.716800000008,3816.627909989707,0.0,3816.627909989707,0.0,266.7538,19263.215700000008,21681.9068,0.7583660429024284,431,131206.38914103416,81,66693.23605620171,4,0.0,4,65.4960000000001,2,788.2221999999999,981.7130999999999,95.82733160621763,0,0,534,534,12 + fiscal policy and VAT,sumsy,7,5.820766091346741e-11
13,512,4,4,51048.50970000001,0.0,14955.35419999999,699.0399999999997,320.1078,,320.1078,0.0,0.0,0.0,0.0,0.0,0.0025,1656.1715,1752.1687499999996,0.0,0.5787144543226935,569.2416000000005,31.99908333333322,0.02,493.51279999999934,1.2936066304537963,0.0,0.0,1.2936066304537963,0.0,8,0,268.37868384804426,0.6840713020323609,269.0627551500766,19.112407031893003,1.855995621747281,20.968402653640286,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.2936066304537963,1.2936066304537963,0.0,0.0,0.0,0.07761639782722778,0.5,0.25,0.0,-1026.5401668758282,0.0,105,2560.0,749.8627999999987,1150.2202999999995,950.0234000000004,0.0,0.0,0.0,0.0,0.0,0,563.9799,2560.0,749.8627999999987,456.51060000000035,274.0,0.0,0.0,0.015,5.01477276119403,5.587737383177561,3.6028516233766235,1.9081656084656082,3.135454151330143,14.582483283785306,1070.0,1072.0,535.0,2045.3333333333335,1400.0,204.0,161,0,0,2,46,36.0,2048.0,26467.53320000003,5311.1918000000005,14566.505399999998,422,346,0,81,0.41156562098881233,0.7637230868315825,0.3954400301354912,0,7064.355999999999,5375.8364,46,0,308.0,0,0,0,0.0,0,0.0,218497.75489166,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1109.6783,124.0,2483.1279,4,257.33939999999996,257.34099999999995,2.3614003493489646,5120.0,52.390950520833336,0.7839836153936731,36,0,0.0,0,361.5993857699171,2682.4166666666665,412,2.8873523841575803,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,161,0.0,0,12,0.0,0,0.0,1440.0,6456.4847000000045,2870.453841131614,0.0,2870.453841131614,0.0,257.33939999999996,19744.07380000003,22360.8251,0.764958693352827,431,149210.17348759656,81,69287.5814040633,4,0.0,4,59.496000000000095,2,821.5164,1336.0637,95.77662234042566,0,0,535,535,12 + fiscal policy and VAT,sumsy,7,5.820766091346741e-11
