round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,26746.865199999924,0.0,929.3000999999999,929.3000999999999,561.0,,561.0,0.0,0.0,0.0,0.0,0.0,0.0025,117.9607,1683.0,0.0,1.0,561.0,963.878666666666,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,41.84349332782673,3.6451497560508583,45.48864308387759,8.744395294117648,2.5036378431372546,11.248033137254904,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,54,2560.0,238.41480000000024,7659.5007,118.80110000000053,0.0,0.0,0.0,0.0,0.0,0,258.1752,2560.0,238.41480000000024,118.80110000000053,274.0,0.0,3750.1,0.0,5.0,5.200000000000013,2.0,NaN,3.594822888283399,3.9200000000000013,320.0,86.0,160.0,2048.0,734.0,204.0,328,0,0,0,50,36.0,2048.0,19989.363699999976,0.0,3817.8192,586,182,0,102,0.23552375970694084,0.5055114536359235,0.6648312848196016,4,5097.923299999998,430.0,50,0,520.0,0,0,0,0.0,0,0.0,59179.76851017586,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1040.0,208.0,2563.5464,4,24.184,24.192800000000016,1.010034122087458,5120.0,83.671875,0.20490593098958332,234,0,0.0,0,5286.1235563260025,4284.0,211,0.3558593749999999,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,6,6,3215.3552999999997,3072,720.0,720.0,0.0,2801.3808000000004,1376.0059000000006,1425.3749000000003,13.251999999999999,10.932,8705.3799,3166.0103000000004,0.5104073871723918,410,32136.509487170904,102,27043.259023004608,4,0.0,4,120.0,2,258.1752,-443.0393,37.5,0,0,160,160,B best SuMSy village: co-ops + prices + reserve,sumsy,4,2.9103830456733704e-11
2,512,4,4,29004.99849999994,0.0,10996.69976153845,3929.9012,1004.0393,,1004.0393,0.0,0.0,0.0,0.0,0.0,0.0025,148.3872,1683.0,0.0,1.0,561.0,938.0949999999998,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,51.1166421132396,3.3487490645915323,54.46539117783114,9.254792156862745,1.9533754901960783,11.208167647058824,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-3.6829999999999954,0.0,60,2560.0,301.86669999999987,9626.220299999995,150.0840999999999,0.0,0.0,0.0,0.0,0.0,11,391.334,2560.0,301.86669999999987,150.0840999999999,274.0,0.0,2985.984899999981,0.015,4.910322820037089,5.512349006622519,2.1967114754098382,1.1358635514018693,3.587132892561954,8.644780388888888,906.0,1078.0,453.0,2048.0,1210.0,204.0,209,0,0,1,46,45.0,2048.0,19189.146499999966,0.0,7838.4383,422,346,0,71,0.27777248608225213,0.5481595089558866,0.6409157222136359,2,5183.648700000002,5293.327999999981,46,0,244.0,0,0,0,0.0,0,0.0,64448.120039835616,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,535.9976000000005,98.0,1437.6925,4,47.2582,47.3026999999997,0.929152013310606,5120.0,76.8359375,0.20771827123397438,108,0,0.0,0,2081.0879611987043,3934.0,246,0.5251332925533069,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,209,0.0,6,6,3984.4997000000003,3072,720.0,720.0,311.19950000000006,10019.320358431218,5833.567679611229,4185.75267881999,39.6876,7.5706,7880.566899999999,5291.6311,0.5559358166296002,441,45064.53806524791,71,19383.581974587683,4,0.0,4,119.27499999999998,2,391.334,-855.6521,37.53605769230769,0,0,453,453,B best SuMSy village: co-ops + prices + reserve,sumsy,4,2.9103830456733704e-11
3,512,4,4,31220.768000000022,0.0,13174.850020560758,1916.5562000000002,1406.5898,,1406.5898,0.0,0.0,0.0,0.0,0.0,0.0025,169.2006,1672.9377,0.0,1.0,550.9377000000001,912.2151666666665,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,64.33913763256878,4.194492348505383,68.53362998107417,8.997156353261733,1.938345862461388,10.93550221572312,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-42.051425000000016,0.0,69,2560.0,344.2305000000002,8987.338599999994,171.14409999999978,0.0,0.0,0.0,0.0,0.0,176,474.5232,2560.0,344.2305000000002,171.14409999999978,274.0,0.0,2146.711399999988,0.015,4.819426553672299,5.440464672897184,2.342494656488543,1.3516000000000004,3.5201401306359146,8.385436977222222,1070.0,1062.0,535.0,2046.6666666666667,1381.0,204.0,166,0,0,1,48,36.0,2048.0,20060.872300000006,0.0,8951.518100000001,414,354,0,69,0.2679822410809216,0.5517662784675277,0.5390143879973945,0,7151.383900000006,5118.230999999982,48,0,262.0,0,0,0,0.0,0,0.0,80128.74507178145,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,613.7335999999982,105.0,1564.6538,4,53.6765,53.66650000000023,1.0232820924483004,5120.0,75.79752604166667,0.3095949460304712,43,0,0.0,0,509.7405392734329,3880.8333333333335,249,0.4458559973093721,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,166,0.0,6,6,5522.1648000000005,3072,720.0,720.0,572.1236999999999,13233.559640753017,6500.686987891231,6732.872652861784,40.8163,12.8602,10018.918500000002,4994.0071,0.5571145826304833,443,52409.19572901538,69,27719.54934276619,4,0.0,4,118.54999999999995,2,474.5232,-1237.3892,56.79317757009347,0,0,535,535,B best SuMSy village: co-ops + prices + reserve,sumsy,4,2.9103830456733704e-11
4,512,4,4,33390.38690000003,0.0,12702.346900000019,554.3793999999998,1778.1269,,1778.1269,0.0,0.0,0.0,0.0,0.0,0.0025,192.0496,1660.2565500000005,0.0,1.0,540.7377000000007,884.2780166666669,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,87.43605954698099,4.647336306830284,92.08339585381127,11.943424638202535,1.8292252342655175,13.772649872468053,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-93.63135000000017,0.0,77,2560.0,390.3810999999999,4647.3863,194.14329999999998,0.0,0.0,0.0,0.0,0.0,25,535.5473,2560.0,390.3810999999999,194.14329999999998,274.0,0.0,1174.7305999999903,0.015,5.452268190298506,5.451625981308385,2.4421824786324753,1.445178453038675,3.450966433963193,8.133873867905555,1070.0,1072.0,535.0,2046.6666666666665,1464.0,204.0,146,0,0,1,50,35.0,2048.0,21149.6245,50.9596,9567.852200000001,426,342,0,81,0.3210054613923965,0.5842308430409278,0.4475256717510998,2,8695.57239999999,5844.831499999998,50,0,468.0,0,0,0,0.0,0,0.0,96618.98595776243,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1142.9413999999983,188.0,1894.3537000000001,4,17.0362,17.04960000000012,1.1678800467657444,5120.0,71.97916666666667,0.39138352213541666,158,0,0.0,0,5010.070268783219,3685.3333333333335,272,0.7506288530428392,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,146,0.0,6,6,5993.880499999999,3072,720.0,720.0,751.0891999999997,12806.929594600258,6253.82678549155,6553.102809108707,17.0362,0.0,11204.602799999993,5519.285,0.5877597133024279,431,60516.74288200152,81,36102.24307576094,4,0.0,4,117.82500000000005,2,535.5473,-1586.0773,67.58000000000001,0,0,535,535,B best SuMSy village: co-ops + prices + reserve,sumsy,4,2.9103830456733704e-11
5,512,4,4,35527.06450000006,0.0,15205.112000000005,2780.1408000000006,2197.8223,,2197.8223,0.0,0.0,0.0,0.0,0.0,0.0025,207.7052,1695.2522400000007,0.0,1.0,611.7450000000002,892.0302133333339,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,100.21349926612986,4.982913809690145,105.19641307581999,6.259206509640018,2.0288480212867412,8.28805453092676,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-144.31647500000054,0.0,83,2560.0,423.32239999999956,4499.535399999999,210.3417999999998,0.0,0.0,0.0,0.0,0.0,175,532.2478000000001,2560.0,423.32239999999956,210.3417999999998,274.0,0.0,102.35620000000006,0.015,5.635462284678148,5.59613507462687,2.490654907161802,1.5614912371134022,3.408024976173185,7.889857651868387,1072.0,1103.0,536.0,2046.6666666666667,1429.0,204.0,154,0,0,1,62,53.0,2048.0,20429.218100000013,0.0,12255.4692,426,342,0,81,0.20092229362499192,0.6052176239547935,0.42266454287208854,0,8691.699099999976,6215.914899999997,62,0,377.0,0,0,0,0.0,0,0.0,116910.6270669953,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,938.9768999999993,151.0,2102.4242,4,67.125,67.08960000000005,1.9441000596259301,5120.0,71.32161458333333,0.44934906089937304,72,0,0.0,0,668.0290621150009,3651.6666666666665,278,1.2580999434510411,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,154,0.0,6,6,7169.418200000001,3072,720.0,720.0,1237.8114999999998,9932.9003820557,5054.862091027851,4878.038291027851,42.021100000000004,25.1039,10538.856599999996,7188.4752,0.6080212368408022,431,74988.8686981433,81,41921.75836885204,4,0.0,4,117.09999999999991,2,554.9737,-1990.1171,72.25892265193376,0,0,536,536,B best SuMSy village: co-ops + prices + reserve,sumsy,4,2.9103830456733704e-11
6,512,4,4,37617.40660000001,0.0,16363.674300000004,1862.1760000000004,2622.4151,,2622.4151,0.0,0.0,0.0,0.0,0.0,0.0025,230.4194,1728.8592000000008,0.0,1.0,632.2980000000007,896.1209166666672,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,107.41809206239887,4.735854271194968,112.15394633359384,6.792696911303738,1.7494105641885263,8.542107475492264,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-215.87090000000012,0.0,86,2560.0,469.65790000000004,3476.0202,233.35810000000018,0.0,0.0,0.0,0.0,0.0,15,77.94579999999999,2560.0,469.65790000000004,233.35810000000018,274.0,0.0,0.0,0.015,5.642502738432486,5.647444177449183,2.566630277777774,1.7178110552763814,3.4058257460481776,7.653161922312336,1082.0,1059.0,541.0,2046.6666666666667,1432.0,204.0,153,0,0,1,46,43.0,2048.0,21182.647500000003,604.2591,13570.7072,426,342,0,81,0.22112622149472405,0.6134681967997964,0.3677083149864184,0,7748.733100000024,5975.4104000000025,46,0,360.0,0,0,0,0.0,0,0.0,126961.18770385275,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,923.9868999999987,144.0,1951.4275999999998,4,65.7784,65.78030000000001,2.210442197957122,5120.0,70.82356770833333,0.515008704930466,107,0,0.0,0,558.3513687861737,3626.1666666666665,279,1.434794071890437,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,153,0.0,6,6,7694.996000000001,3072,720.0,720.0,1668.2735000000005,8504.310276612621,4596.845002702441,3907.4652739101807,24.8794,40.899,10672.311400000002,8431.3979,0.6159180713210313,431,81782.49925002787,81,45178.68845382478,4,0.0,4,116.375,2,599.96,-2391.9957000000004,78.07456185567011,0,0,541,541,B best SuMSy village: co-ops + prices + reserve,sumsy,4,2.9103830456733704e-11
7,512,4,4,39664.52280000003,0.0,17054.2781,1465.5288999999998,3025.0842,,3025.0842,0.0,0.0,0.0,0.0,0.0,0.0025,251.4762,1753.2029571428575,0.0,1.0,633.0885000000001,894.5966428571431,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,104.39982256662734,4.687349747538181,109.08717231416551,7.057243310606648,1.696775045925272,8.754018356531919,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-297.7452249999999,0.0,90,2560.0,512.8837999999997,2978.5183000000006,254.78699999999984,0.0,0.0,0.0,0.0,0.0,17,358.3287,2560.0,512.8837999999997,254.78699999999984,274.0,0.0,0.0,0.015,5.609984651162796,5.639184328358201,2.6856363874345566,1.9013335051546383,3.2424615704067357,7.423567064642964,1072.0,1075.0,536.0,2046.6666666666667,1431.0,204.0,154,0,0,0,55,39.0,2048.0,21431.613799999996,1272.6282,14426.4666,426,342,0,81,0.23540582121185727,0.6021082872043628,0.36769969518456147,5,7429.999100000024,6030.733500000006,55,0,382.0,0,0,0,0.0,0,0.0,127989.56186244974,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1025.9131000000007,153.0,1924.0093000000002,4,99.14750000000001,99.13719999999958,1.9661311479338868,5120.0,70.17903645833333,0.5776271507112383,116,0,0.0,0,703.8408019384004,3593.1666666666665,279,1.4476090110309838,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,154,0.0,6,6,8931.9596,3072,720.0,720.0,2153.1652999999997,7358.499404267708,3676.3572975108846,3682.1421067568235,63.7016,35.445899999999995,10746.455699999991,8691.1445,0.6050667240607965,431,79129.15760840982,81,48860.40425404001,4,0.0,4,115.65000000000009,2,854.1853,-2773.6079999999997,85.89055276381907,0,0,536,536,B best SuMSy village: co-ops + prices + reserve,sumsy,4,2.9103830456733704e-11
8,512,4,4,41666.98699999998,0.0,17401.10109999998,1174.4744999999998,3403.0499999999997,,3403.0499999999997,0.0,0.0,0.0,0.0,0.0,0.0025,273.5596,1770.0933375000004,0.0,1.0,629.4419999999997,887.664154166667,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,113.00975271247987,4.758915188712343,117.7686679011922,9.217459597153635,1.4911085499489762,10.70856814710261,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-385.48892500000113,0.0,93,2560.0,557.5358,2188.018199999998,277.0328000000003,0.0,0.0,0.0,0.0,0.0,22,233.63729999999998,2560.0,557.5358,277.0328000000003,274.0,0.0,0.0,0.015,5.5441736594543745,5.656731539888675,2.785121563342318,2.0026142131979694,3.3110459022054157,7.200860052703676,1078.0,1063.0,539.0,2048.0,1433.0,204.0,153,0,0,2,44,36.0,2048.0,22477.94430000001,1938.7889,14672.441899999998,426,342,0,81,0.2851509952396287,0.6067006792415175,0.3930329266064565,9,7535.192799999997,5893.4566,44,0,371.0,0,0,0,0.0,0,0.0,139315.050775803,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1033.2801,149.0,2070.6150000000002,4,175.39770000000001,175.39940000000004,1.4605220173072722,5120.0,56.402994791666664,0.6565156931580217,138,0,0.0,0,2140.515794896628,2887.8333333333335,281,1.6873365394489335,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,153,0.0,6,6,9462.3597,3072,720.0,720.0,2652.2605999999987,6611.473526182542,3228.1407112047127,3383.332814977828,95.997,79.4007,10520.723800000003,9219.4861,0.6094177774001057,431,85739.1202069552,81,53575.9305688478,4,0.0,4,233.18499999999995,2,975.4092,-3129.4903999999997,95.06667525773192,0,0,539,539,B best SuMSy village: co-ops + prices + reserve,sumsy,4,2.9103830456733704e-11
9,512,4,4,43626.79839999999,0.0,17862.995799999997,1327.7030000000004,3751.5476,,3751.5476,0.0,0.0,0.0,0.0,0.0,0.0025,294.4959,1780.7687000000005,0.0,1.0,622.0571999999999,877.0226222222227,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,139.032513356974,4.638953574948217,143.6714669319222,10.13120392175747,1.3996907218336043,11.530894643591074,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-475.69682500000226,0.0,96,2560.0,600.1885999999997,2317.0772,298.2285999999998,0.0,0.0,0.0,0.0,0.0,29,398.976,2560.0,600.1885999999997,298.2285999999998,274.0,0.0,9.2661,0.015,5.492542622950822,5.638924906367039,2.8465828804347844,1.9866000000000021,3.2329050524549094,6.984834251122565,1068.0,1098.0,534.0,2045.3333333333333,1421.9999999999998,204.0,155,0,0,1,60,51.0,2048.0,23034.668299999965,2600.4873,15104.1677,426,342,0,81,0.3064486242226865,0.6285961577066497,0.3973659746443923,10,7360.671299999985,6030.811800000002,60,0,368.0,0,0,0,0.0,0,0.0,159246.95336077007,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1047.5425000000007,148.0,2194.0032,4,221.8479,221.79700000000162,1.9859392052783431,5120.0,53.349609375,0.7243909313861568,104,0,0.0,0,1576.9179313487132,2731.5,281,2.049699183883294,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,155,0.0,6,6,9790.1044,3072,720.0,720.0,3243.979099999998,5971.678236598047,3069.282664506146,2902.3955720919016,94.0067,127.84119999999999,10829.510700000013,10108.553800000002,0.6301262444801861,431,101710.87858459083,81,57536.07477617924,4,0.0,4,316.4937,2,1153.9943,-3457.0517,100.13071065989847,0,0,534,534,B best SuMSy village: co-ops + prices + reserve,sumsy,4,2.9103830456733704e-11
10,512,4,4,45547.35410000005,0.0,18117.708599999987,1168.8191000000004,4073.3152999999998,,4073.3152999999998,0.0,0.0,0.0,0.0,0.0,0.0025,313.893,1787.5709100000004,0.0,1.0,616.2636000000001,864.5129400000003,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,152.67580747301304,4.433666321122298,157.10947379413534,10.896588443483822,1.4554782765242116,12.352066720008033,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-570.073849999999,0.0,101,2560.0,639.4443000000001,2158.020200000001,317.7791000000003,0.0,0.0,0.0,0.0,0.0,31,400.4607,2560.0,639.4443000000001,317.7791000000003,274.0,0.0,0.0,0.015,5.423117613636365,5.66166196660485,2.904778606965178,1.9553994923857867,3.2631515217727864,6.775289223588888,1078.0,1056.0,539.0,2046.6666666666665,1445.0,204.0,150,0,0,4,48,39.0,2048.0,24006.818999999978,3288.3655,15158.9021,426,342,0,81,0.32164746582002346,0.6375824462794777,0.39829920149300446,7,7462.572599999988,5726.812200000002,48,0,402.0,0,0,0,0.0,0,0.0,168554.7674651986,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1167.7210000000016,161.0,2378.9138000000003,4,241.4407,241.4270000000021,2.2659861577213003,5120.0,52.835286458333336,0.7458273860677088,81,0,0.0,0,878.3670141793453,2705.1666666666665,281,2.252828446586833,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,150,0.0,6,6,10258.1525,3072,720.0,720.0,3678.4743999999996,5152.422503142481,2607.920325811368,2544.502177331114,103.6413,137.7994,11091.889699999996,10568.028900000001,0.6380971125432131,431,110084.96439011932,81,58469.80307507916,4,0.0,4,444.69730000000027,2,1251.8977,-3759.4222999999997,99.33000000000011,0,0,539,539,B best SuMSy village: co-ops + prices + reserve,sumsy,4,2.9103830456733704e-11
11,512,4,4,47427.165499999996,0.0,18240.458000000002,1079.6856999999998,4367.8982,,4367.8982,0.0,0.0,0.0,0.0,0.0,0.0025,334.0469,1791.0124363636367,0.0,1.0,608.4758999999998,849.5886333333334,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,155.841222118095,4.41293140399771,160.2541535220927,12.558688553385666,1.4343907254165502,13.993079278802217,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-666.9255499999991,0.0,108,2560.0,680.188600000001,2580.435000000001,338.0776000000005,0.0,0.0,0.0,0.0,0.0,32,429.404,2560.0,680.188600000001,338.0776000000005,274.0,0.0,12.075199999999999,0.015,5.359558633425667,5.705925559701501,2.955068778280539,1.9684822916666656,3.260754957331051,6.572030546881222,1072.0,1083.0,536.0,2042.6666666666667,1455.0,204.0,146,0,0,2,55,45.0,2048.0,24916.959700000025,3849.7605,15269.8145,424,344,0,81,0.3524292321588769,0.6366042495094104,0.3942293681278848,5,7463.431599999986,5804.401999999997,55,0,442.0,0,0,0,0.0,0,0.0,169889.90848027132,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1306.1403999999982,177.0,2627.1799,4,262.961,262.934199999999,2.2966097430720964,5120.0,52.112630208333336,0.7574972341965417,89,0,0.0,0,1708.0999944731573,2668.1666666666665,281,2.358820180093906,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,146,0.0,6,6,11085.7375,3072,720.0,720.0,4044.6516000000006,4541.669530766983,2227.106915383492,2314.562615383492,150.25119999999998,112.7098,11379.969700000001,10661.017399999999,0.636036090391624,431,111526.29243668907,81,58363.61604358224,4,0.0,4,578.2877000000003,2,1347.8759,-4033.8513,97.76997461928933,0,0,536,536,B best SuMSy village: co-ops + prices + reserve,sumsy,4,2.9103830456733704e-11
12,512,4,4,49267.11240000001,0.0,18284.95390000002,1034.0457,4635.1924,,4635.1924,0.0,0.0,0.0,0.0,0.0,0.0025,353.7078,1792.0966750000007,0.0,1.0,601.3411000000003,833.3536250000003,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,159.06888040714608,4.30330530578099,163.3721857129271,13.702823186913095,1.380647600076024,15.08347078698912,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-764.0250897075737,0.0,113,2560.0,720.0530999999997,2025.3890999999994,357.9211000000002,0.0,0.0,0.0,0.0,0.0,45,550.3344999999999,2560.0,720.0530999999997,357.9211000000002,274.0,0.0,7.2284,0.015,5.296218918918924,5.839016512059359,3.050533568075119,1.9603451282051274,3.319215105615356,6.374869630474784,1078.0,1073.0,539.0,2045.3333333333333,1455.0,204.0,147,0,0,5,58,41.0,2048.0,25672.743599999973,4595.957,15288.0445,424,344,0,81,0.3723088707400801,0.6363529195394837,0.39103125521990156,10,7535.0730000000085,5682.842900000005,58,0,426.0,0,0,0,0.0,0,0.0,171854.7453022168,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1299.5273000000007,171.0,2806.325,4,275.7956,275.8570000000009,2.308844492530924,5120.0,51.637369791666664,0.7875714000108504,87,0,0.0,0,950.4474853267894,2643.8333333333335,281,2.489138153514467,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,147,0.0,6,6,11553.116399999999,3072,720.0,720.0,4343.7169,3895.8433410274915,1902.8292716881506,1993.014069339341,155.689,120.1066,11386.921700000004,11137.2101,0.6358746193353078,431,112561.74570971703,81,59292.99959249965,4,0.0,4,571.6105000000002,2,1424.5371,-4281.4846,98.42411458333328,0,0,539,539,B best SuMSy village: co-ops + prices + reserve,sumsy,4,2.9103830456733704e-11
13,512,4,4,51079.909199999944,0.0,18049.8165,799.5229999999999,4875.721300000001,,4875.721300000001,0.0,0.0,0.0,0.0,0.0,0.0025,367.0328,1800.4058500000006,0.0,1.0,594.2367000000003,813.4004750000004,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,181.22501069733667,4.787071051060328,186.012081748397,14.162967139038727,1.8070899757294514,15.97005711476818,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-863.1632147075758,0.0,117,2560.0,747.203200000001,1290.2878999999996,371.41230000000036,0.0,0.0,0.0,0.0,0.0,32,567.4418000000001,2560.0,747.203200000001,371.41230000000036,274.0,0.0,0.0,0.015,5.249144227188081,5.757567970204829,3.0858769401330393,1.9562202072538866,3.341029931122091,6.183623541560542,1074.0,1074.0,537.0,2041.3333333333337,1461.0000000000002,204.0,144,0,0,5,56,40.0,2048.0,26395.718500000014,5293.4139000000005,15379.6296,424,344,0,81,0.36091792700887027,0.645646649213709,0.36628608427037324,4,7577.3571999999995,5637.580899999999,56,0,451.0,0,0,0,0.0,0,0.0,188366.4411100518,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1391.7305000000008,181.0,3076.6726,4,274.5394,274.5226000000005,2.814306194320936,5120.0,51.126302083333336,0.8143088444845081,73,0,0.0,0,922.5457114973412,2617.6666666666665,281,3.241214436333505,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,144,0.0,6,6,12056.325700000001,3072,720.0,720.0,4442.679800000001,3271.2375469900326,1588.3748086931291,1682.862738296904,153.05239999999998,121.487,11971.036600000005,11693.3904,0.6450093591954515,431,126593.80731423703,81,61772.633795814814,4,0.0,4,544.9907000000003,2,1449.2017999999998,-4508.688500000001,98.01725641025637,0,0,537,537,B best SuMSy village: co-ops + prices + reserve,sumsy,4,2.9103830456733704e-11
