round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,26745.214100000056,0.0,804.3001000000002,804.3001000000002,561.0000000000001,,561.0000000000001,0.0,0.0,0.0,0.0,0.0,0.0025,118.7802,0.0,0.0,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,47.19652180530693,2.3786666666666667,49.5751884719736,9.994725098039215,2.3407954901960784,12.335520588235292,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,53,2560.0,240.06589999999917,6054.2006,119.61539999999968,0.0,0.0,0.0,0.0,0.0,0,258.1752,2560.0,240.06589999999917,119.61539999999968,274.0,0.0,3745.6,0.0,5.0,5.200000000000013,2.0,NaN,3.594822888283399,3.9200000000000013,320.0,89.0,160.0,2048.0,734.0,204.0,328,0,0,0,56,33.0,2048.0,20012.05610000003,0.0,3792.6322,586,182,0,102,0.2541121441574574,0.589898894935619,0.6648312848196016,5,5095.748299999996,445.0,56,0,520.0,0,0,0,0.0,0,0.0,55099.53677816597,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1040.0,208.0,2563.5704,4,24.634000000000004,24.633999999999993,0.8431107147243404,5120.0,87.93294270833333,0.2112614339192708,323,0,0.0,0,7776.649722546996,4502.166666666667,292,0.4009440104166666,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,0,12,0.0,0,0.0,1440.0,0.0,2826.5678000000007,0.0,2826.5678000000007,0.0,24.634000000000004,10954.328800000001,6356.2026000000005,0.5932177383765249,410,19228.451527648405,102,35871.085250517506,4,0.0,4,120.0,2,258.1752,-442.21980000000013,37.5,0,0,160,160,8 + shareholders & share market,sumsy,5,4.3655745685100555e-11
2,512,4,4,29001.540499999992,0.0,8976.8138,2034.6787000000002,1003.2198000000001,,1003.2198000000001,0.0,0.0,0.0,0.0,0.0,0.0025,149.9586,0.0,0.0,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,65.78384257650592,2.0489709134001313,67.83281348990604,12.876780588235295,1.9145096078431376,14.791290196078432,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-2.4329999999999994,0.0,58,2560.0,303.6735999999999,6345.818799999999,151.20899999999992,0.0,0.0,0.0,0.0,0.0,45,390.7278,2560.0,303.6735999999999,151.20899999999992,274.0,0.0,2970.3936999999805,0.015,4.802594506517679,5.466368201754394,2.0622209677419363,0.75,3.5570770547944885,17.039457905982903,912.0,1074.0,456.0,2048.0,1168.0,204.0,220,0,0,2,52,33.0,2048.0,20460.66470000001,0.0,5673.5931,422,346,0,71,0.3385328890423187,0.6432074818571221,0.6728762017840586,3,4958.608,5157.986499999987,52,0,124.0,0,0,0,0.0,0,0.0,66584.0458679032,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,255.7154000000001,50.0,2326.5963,4,206.592,206.5910999999998,0.7326987782520549,5120.0,81.32975260416667,0.2213651448567708,178,0,0.0,0,3845.9826517469846,4164.083333333333,338,0.36555696524236997,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,220,0.0,0,12,0.0,0,0.0,1440.0,501.5351999999999,12301.442322343399,0.0,12301.442322343399,0.0,206.592,12534.06189999999,8000.189399999999,0.6453321046248526,441,47965.49763856068,71,18618.548229342552,4,0.0,4,118.79999999999995,2,390.7278,-853.2612000000001,37.5,0,0,456,456,8 + shareholders & share market,sumsy,5,4.3655745685100555e-11
3,512,4,4,31208.84450000002,0.0,15744.44550000001,3109.42,1392.1119,,1392.1119,0.0,0.0,0.0,0.0,0.0,0.0025,173.7014,0.0,0.0,1.0,538.8506999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,75.62398887361867,2.052907036465422,77.67689591008408,13.027793360155313,1.912431770215219,14.940225130370532,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-20.669800000000006,0.0,64,2560.0,352.69599999999986,7497.7472000000025,175.46580000000017,0.0,0.0,0.0,0.0,0.0,210,463.429,2560.0,352.69599999999986,175.46580000000017,274.0,0.0,1961.0689999999884,0.015,4.729992956441185,5.377194609665428,2.144148765432097,1.155119565217391,3.4482646154154897,16.528274168803417,1076.0,1079.0,538.0,2045.3333333333335,1347.0,204.0,174,0,0,0,52,36.0,2048.0,20297.483600000014,0.0,8093.943299999999,322,446,0,55,0.33740059819995416,0.6529783516458272,0.5561684910061766,0,6941.1285,5103.662400000038,52,0,162.0,0,0,0,0.0,0,0.0,71168.45127962343,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,347.3520999999997,65.0,2180.2871999999998,4,172.6764,172.67489999999992,0.6844356076903859,5120.0,76.06282552083333,0.2205375472005208,196,0,0.0,0,3583.26515794363,3894.4166666666665,370,0.39716338733772494,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,174,0.0,0,12,0.0,0,0.0,1440.0,785.6133999999997,13421.519710508202,0.0,13421.519710508202,0.0,172.6764,14817.7845,10274.2305,0.6548707342848987,457,56403.14602743488,55,14765.305252188618,4,0.0,4,117.59999999999991,2,463.429,-1218.4105000000002,37.5,0,0,538,538,8 + shareholders & share market,sumsy,5,4.3655745685100555e-11
4,512,4,4,33378.53810000002,0.0,16372.042100000013,1779.5076000000001,1749.1165,,1749.1165,0.0,0.0,0.0,0.0,0.0,0.0025,192.1765,0.0,0.0,1.0,530.7060000000001,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,88.5235037696285,2.617824369881967,91.14132813951048,13.127957823839056,2.0563992401559457,15.184357063995003,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-65.19312500000004,0.0,71,2560.0,390.30640000000045,5635.397299999999,194.16100000000006,0.0,0.0,0.0,0.0,0.0,139,527.9063,2560.0,390.30640000000045,194.16100000000006,274.0,0.0,825.6528999999955,0.015,4.589847667910492,5.383386940298513,2.2295891666666687,1.3454944444444443,3.301068056559444,16.032425943739316,1072.0,1072.0,536.0,2048.0,1374.0,204.0,168,0,0,1,48,37.0,2048.0,21431.355900000017,0.0,9096.7488,338,430,0,71,0.3295664034654737,0.6515149686969115,0.4640823342424967,0,8194.72039999999,4920.316700000048,48,0,240.0,0,0,0,0.0,0,0.0,83843.37395087238,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,535.1014000000005,96.0,2130.3505999999998,4,133.6818,133.68099999999978,0.6883090893236942,5120.0,70.6787109375,0.3670304289090805,213,0,0.0,0,2477.9679760719055,3618.75,382,0.38963714212416517,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,168,0.0,0,12,0.0,0,0.0,1440.0,1002.5363999999998,12496.831396387784,0.0,12496.831396387784,0.0,133.6818,15118.871999999987,11227.0994,0.6539058730398866,441,48419.61756572307,71,35423.756385149325,4,0.0,4,116.39999999999998,2,527.9063,-1556.94,57.75597826086955,0,0,536,536,8 + shareholders & share market,sumsy,5,4.3655745685100555e-11
5,512,4,4,35508.741299999994,0.0,16013.69769999999,595.5466999999998,2071.9226,,2071.9226,0.0,0.0,0.0,0.0,0.0,0.0025,211.9215,0.0,0.0,1.0,514.9825999999995,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,95.40145645219818,3.271716809918203,98.67317326211638,15.505885831276029,2.4127984744256126,17.918684305701643,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-121.64822499999997,0.0,76,2560.0,429.7968000000001,4721.6182,213.90629999999985,0.0,0.0,0.0,0.0,0.0,87,553.6243999999999,2560.0,429.7968000000001,213.90629999999985,274.0,0.0,0.0,0.015,4.4762762557077656,5.291816014897582,2.3907097035040388,1.4442794392523368,3.270826038026288,15.551453165427136,1074.0,1095.0,537.0,2046.6666666666667,1429.0,204.0,154,0,0,2,63,47.0,2048.0,23436.253600000007,81.8388,8990.9423,345,423,0,77,0.3513513219529414,0.644782953438751,0.42391504437206895,1,8030.938799999991,4901.522500000004,63,0,371.0,0,0,0,0.0,0,0.0,89882.6325956558,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,886.9532999999984,149.0,2234.1607,4,91.9644,91.96350000000002,0.7104189997311816,5120.0,67.34375,0.44184235677083333,141,0,0.0,0,1524.4317580855509,3448.0,382,0.49256637853375523,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,154,0.0,0,12,0.0,0,0.0,1440.0,1221.7550000000003,12403.488089055434,0.0,12403.488089055434,0.0,91.9644,16749.67880000001,11306.9418,0.6475217721710262,435,48663.233490079314,77,41219.399105576624,4,0.0,4,115.20000000000005,2,553.6243999999999,-1860.0011,67.27472222222221,0,0,537,537,8 + shareholders & share market,sumsy,5,4.3655745685100555e-11
6,512,4,4,37603.21290000002,0.0,15814.277100000012,565.0313000000001,2362.2389000000003,,2362.2389000000003,0.0,0.0,0.0,0.0,0.0,0.0025,229.7045,0.0,0.0,1.0,502.2378000000003,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,99.48883278638931,3.3617498434602378,102.85058262984955,15.871893366985933,2.612868795599012,18.484762162584943,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-177.8572499999998,0.0,80,2560.0,465.52839999999986,3005.2616000000003,231.74439999999998,0.0,0.0,0.0,0.0,0.0,49,565.7818,2560.0,465.52839999999986,231.74439999999998,274.0,0.0,0.0,0.015,4.3695512310606155,5.217650000000013,2.4699126000000002,1.5678140495867774,3.2398646112608938,15.08490957046432,1088.0,1056.0,544.0,2045.3333333333335,1494.0,204.0,137,0,0,2,48,33.0,2048.0,24995.893200000024,701.9257,8625.7749,345,423,0,77,0.3324668202238663,0.6426211077420334,0.36534458749481025,0,7381.782800000016,4614.24610000001,48,0,500.0,0,0,0,0.0,0,0.0,92757.45635609189,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1234.9563,200.0,2484.1328,4,66.4963,66.49749999999987,0.7104189997311816,5120.0,67.34375,0.49531741601866747,0,0,0.0,0,0.0,3448.0,382,0.5387153196566002,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,137,0.0,0,12,0.0,0,0.0,1440.0,1423.1815,12341.583369290473,0.0,12341.583369290473,0.0,66.4963,17851.038500000017,11811.833400000001,0.6454578012657866,435,49419.90569007928,77,43337.55066601274,4,0.0,4,114.0,2,565.7818,-2132.5344000000005,72.21397196261684,0,0,544,544,8 + shareholders & share market,sumsy,5,4.3655745685100555e-11
7,512,4,4,39645.73709999999,0.0,15441.950699999994,405.8611,2622.7974000000004,,2622.7974000000004,0.0,0.0,0.0,0.0,0.0,0.0025,255.5145,0.0,0.0,1.0,490.263,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,104.58609011514623,3.625052800031838,108.21114291517807,20.115720342956187,2.6842793362979713,22.79999967925416,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-233.68784999999997,0.0,82,2560.0,517.4758000000004,1892.3280000000002,257.6633000000003,0.0,0.0,0.0,0.0,0.0,50,571.4872,2560.0,517.4758000000004,257.6633000000003,274.0,0.0,0.0,0.015,4.270866697163763,5.1755309568480365,2.554628125000006,1.60246,3.2029029765216013,14.632362283350389,1066.0,1093.0,533.0,2045.3333333333333,1528.0,204.0,129,0,0,3,55,50.0,2048.0,26108.919799999963,1302.7727,8547.312399999999,345,423,0,77,0.3969578872948767,0.6419273747845513,0.3523597995669794,0,7388.81980000001,4668.057299999993,55,0,640.0,0,0,0,0.0,0,0.0,100523.0198076495,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1634.9620000000039,256.0,2859.7304999999997,4,51.106700000000004,51.10719999999986,0.5540192375045168,5120.0,51.5185546875,0.5637101993613337,167,0,0.0,0,2476.6437189693456,2637.75,384,0.7354819311146996,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,129,0.0,0,12,0.0,0,0.0,1440.0,1489.1348000000007,11360.958942101615,0.0,11360.958942101615,0.0,51.106700000000004,18170.91850000001,12709.815599999998,0.645105850461341,435,54912.11906973944,77,45610.90073790992,4,0.0,4,112.79999999999995,2,571.4872,-2367.2829,78.39070247933887,0,0,533,533,8 + shareholders & share market,sumsy,5,4.3655745685100555e-11
8,512,4,4,41646.870300000024,0.0,15119.203199999996,462.7047000000001,2846.4739000000004,,2846.4739000000004,0.0,0.0,0.0,0.0,0.0,0.0025,276.0459,0.0,0.0,1.0,479.19099999999975,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,124.14121198495293,3.508589905196891,127.64980189014983,21.99651292609794,2.2674630325906073,24.263975958688548,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-287.7080499999997,0.0,86,2560.0,558.8667999999997,2772.6021,278.30419999999987,0.0,0.0,0.0,0.0,0.0,51,573.3642,2560.0,558.8667999999997,278.30419999999987,274.0,0.0,0.0,0.015,4.389484542884068,5.221514897579123,2.667452346570392,1.629365789473685,3.1478634998369546,14.193391414849877,1074.0,1061.0,537.0,2044.0,1502.0000000000002,204.0,135,0,0,0,52,35.0,2048.0,27304.375099999972,1939.4661999999998,8440.038,345,423,0,77,0.4077134198120351,0.6480477328478862,0.37171198216830836,0,7207.259800000005,4657.243099999996,52,0,554.0,0,0,0,0.0,0,0.0,112962.97587697474,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1477.7685999999972,222.0,3113.5809,4,119.6379,119.63559999999994,0.7347216304846146,5120.0,51.015625,0.5996370345052083,53,0,0.0,0,385.7043422870753,2612.0,384,1.0019231390932446,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,135,0.0,0,12,0.0,0,0.0,1440.0,1633.4680999999996,10859.592621834787,0.0,10859.592621834787,0.0,119.6379,19458.88669999998,13493.0851,0.6510287508287242,435,65048.500295845864,77,47914.475581128805,4,0.0,4,111.59999999999991,2,573.3642,-2570.4280000000003,80.123,0,0,537,537,8 + shareholders & share market,sumsy,5,4.3655745685100555e-11
9,512,4,4,43614.12389999995,0.0,14785.244100000016,463.44440000000014,3062.9299000000005,,3062.9299000000005,0.0,0.0,0.0,0.0,0.0,0.0025,292.7813,0.0,0.0,1.0,492.5019000000003,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,121.0081096145712,3.273290471090787,124.28140008566197,21.31115317460887,2.391728860229039,23.70288203483791,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-340.78307499999966,0.0,90,2560.0,592.7464000000001,2750.7131999999992,295.17589999999984,0.0,0.0,0.0,0.0,0.0,52,573.6869,2560.0,592.7464000000001,295.17589999999984,274.0,0.0,0.0,0.015,4.378435294117645,5.285546025877988,2.7291370312499925,1.6221008474576275,3.152346480383143,13.767589672404382,1082.0,1088.0,541.0,2048.0,1544.0,204.0,126,0,0,1,58,42.0,2048.0,28265.18600000001,2631.1186,8409.230800000001,345,423,0,77,0.39540698893297854,0.6477836779430266,0.346315787012903,0,7338.717199999995,4763.737599999999,58,0,640.0,0,0,0,0.0,0,0.0,113925.19434539574,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1746.6476999999952,256.0,3442.1203,4,125.669,125.67040000000006,0.7347216304846146,5120.0,51.015625,0.6362541479063873,0,0,0.0,0,0.0,2612.0,384,1.2547786432826848,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,0,12,0.0,0,0.0,1440.0,1759.7110000000016,10296.594875557463,0.0,10296.594875557463,0.0,125.669,20241.555600000007,14482.469699999998,0.65078301110042,435,65393.66459584585,77,48531.52974954988,4,0.0,4,110.40000000000009,2,573.6869,-2770.1486000000004,81.46828947368425,0,0,541,541,8 + shareholders & share market,sumsy,5,4.3655745685100555e-11
10,512,4,4,45546.21929999998,0.0,14333.413400000003,357.9226,3261.4112000000005,,3261.4112000000005,0.0,0.0,0.0,0.0,0.0,0.0025,310.1731,0.0,0.0,1.0,491.26260000000053,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,120.98565443482342,3.564742028700121,124.55039646352353,21.365051621091254,2.6851218673337516,24.05017348842501,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-392.8726999999992,0.0,92,2560.0,627.9045999999995,2459.0026000000003,312.69259999999986,0.0,0.0,0.0,0.0,0.0,53,573.2636,2560.0,627.9045999999995,312.69259999999986,274.0,0.0,0.0,0.015,4.336473664479852,5.221746382189234,2.812160156249986,1.6109241379310353,3.1309003939393527,13.354561982232248,1078.0,1067.0,539.0,2046.6666666666665,1540.0,204.0,126,0,0,1,50,36.0,2048.0,29287.596099999995,3305.5121,8340.8078,345,423,0,77,0.3831990864729189,0.644486136819687,0.36934614672264776,0,7271.9049000000105,4627.017400000002,50,0,640.0,0,0,0,0.0,0,0.0,114341.59219561878,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1799.782499999991,256.0,3728.8666,4,158.13240000000002,158.1340999999999,0.7347216304846146,5120.0,51.015625,0.6595350182898572,0,0,0.0,0,0.0,2612.0,384,1.4569808638904556,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,0,12,0.0,0,0.0,1440.0,1798.1361000000009,9718.033611742776,0.0,9718.033611742776,0.0,158.13240000000002,20982.85089999999,15375.186500000002,0.6475691181711782,435,65880.22089584591,77,48461.3712997729,4,0.0,4,109.20000000000005,2,573.2636,-2951.2381000000005,81.10504237288137,0,0,539,539,8 + shareholders & share market,sumsy,5,4.3655745685100555e-11
11,512,4,4,47438.58349999995,0.0,13826.92230000001,311.23459999999994,3437.7883,,3437.7883,0.0,0.0,0.0,0.0,0.0,0.0025,329.8258,0.0,0.0,1.0,486.55020000000064,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,121.75216099921113,3.5498586555738756,125.302019654785,22.639397260533304,2.5931203344606253,25.23251759499393,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-442.97812499999907,0.0,98,2560.0,667.6358000000008,4523.234399999999,332.4876000000002,0.0,0.0,0.0,0.0,0.0,54,572.1256,2560.0,667.6358000000008,332.4876000000002,274.0,0.0,0.0,0.015,4.270244843462249,5.188644029850773,2.855488125000007,1.6089079646017705,3.1149014635949808,12.953925122765282,1072.0,1086.0,536.0,2046.6666666666667,1534.0,204.0,128,0,0,2,57,43.0,2048.0,30404.65720000002,3968.3977,8369.0871,345,423,0,77,0.39081698697122236,0.6424961321280944,0.37647546437153134,0,7199.503599999998,4637.485900000002,57,0,640.0,0,0,0,0.0,0,0.0,114580.45565628515,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1827.5124000000046,256.0,3794.4901,4,167.4792,167.4784000000004,0.7347216304846146,5120.0,51.015625,0.6792569322467675,0,0,0.0,0,0.0,2612.0,384,1.6382330455429337,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,128,0.0,0,12,0.0,0,0.0,1440.0,1814.599500000001,8718.425063262352,0.0,8718.425063262352,0.0,167.4792,21935.427999999996,16131.9749,0.6452774532820933,435,66206.47639584591,77,48373.97926043919,4,0.0,4,108.0,2,572.1256,-3107.9625,80.54620689655177,0,0,536,536,8 + shareholders & share market,sumsy,5,4.3655745685100555e-11
12,512,4,4,49291.788399999896,0.0,13309.233900000001,306.7800999999999,3587.0820000000003,,3587.0820000000003,0.0,0.0,0.0,0.0,0.0,0.0025,349.2029,0.0,0.0,1.0,479.11949999999973,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,124.0185931375296,3.2077290610432327,127.22632219857284,23.942491067259965,2.659855748437263,26.602346815697228,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-490.7732249999989,0.0,103,2560.0,706.7950999999996,2495.2423,351.99939999999987,0.0,0.0,0.0,0.0,0.0,55,570.4449999999999,2560.0,706.7950999999996,351.99939999999987,274.0,0.0,0.0,0.015,4.247983595922153,5.253136178107629,2.9196984374999984,1.6446318965517237,3.102505955478178,12.565307369082324,1078.0,1079.0,539.0,2045.3333333333335,1540.0,204.0,126,0,0,0,59,39.0,2048.0,31475.49750000003,4675.4692000000005,8317.057999999999,345,423,0,77,0.40238648258880727,0.6434321814501263,0.38001885679839487,0,7184.781999999995,4583.574300000003,59,0,640.0,0,0,0,0.0,0,0.0,114981.17276635519,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1868.606999999999,256.0,3904.1158,4,181.40210000000002,181.40370000000007,0.7347216304846146,5120.0,51.015625,0.7022605037650952,0,0,0.0,0,0.0,2612.0,384,1.7889471491775089,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,0,12,0.0,0,0.0,1440.0,1835.1152,8072.7057082959345,0.0,8072.7057082959345,0.0,181.40210000000002,22916.65910000003,16896.643,0.6459645662882894,435,66503.65059584593,77,48477.522170509365,4,0.0,4,106.79999999999995,2,570.4449999999999,-3237.8791,80.44539823008853,0,0,539,539,8 + shareholders & share market,sumsy,5,4.3655745685100555e-11
13,512,4,4,51110.65789999998,0.0,12736.52170000001,259.6306,3714.5047000000004,,3714.5047000000004,0.0,0.0,0.0,0.0,0.0,0.0025,366.1605,0.0,0.0,1.0,476.6255999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,124.65079782412295,3.4940702854378602,128.1448681095608,25.076051146672256,2.792885632687032,27.868936779359288,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-536.4179249999972,0.0,104,2560.0,741.1304999999992,1293.9934,369.0969999999997,0.0,0.0,0.0,0.0,0.0,56,568.5661,2560.0,741.1304999999992,369.0969999999997,274.0,0.0,0.0,0.015,4.257364782205751,5.192266789667895,3.006750312499999,1.5842613445378153,3.1054913062499123,12.188348148009851,1084.0,1079.0,542.0,2048.0,1546.0,204.0,125,0,0,1,53,42.0,2048.0,32606.648700000005,5364.6877,8308.7095,345,423,0,77,0.4050233668594261,0.6413648620627295,0.37580116012846143,0,7185.400900000013,4593.696600000005,53,0,640.0,0,0,0,0.0,0,0.0,115962.48969249199,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1924.3201999999994,256.0,3895.8854,4,181.5169,181.5162000000002,0.7347216304846146,5120.0,51.015625,0.736757804558414,0,0,0.0,0,0.0,2612.0,384,2.4323536379230704,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,125,0.0,0,12,0.0,0,0.0,1440.0,1819.3135000000018,7631.723056611139,0.0,7631.723056611139,0.0,181.5169,23805.87990000001,17569.282600000002,0.6436581685653773,435,66867.23029584586,77,49095.25939664607,4,0.0,4,105.59999999999991,2,568.5661,-3348.3442000000005,82.23159482758618,0,0,542,542,8 + shareholders & share market,sumsy,5,4.3655745685100555e-11
