round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,64,3,3,3105.9497,0.0,3121.7552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.5,0.25,15.8055,15.8055,0.0,3,13.34,68.4903,241.94030000000004,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,5.0,5.199999999999999,,0.75,3.919999999999995,3.92,60.0,9.0,30.0,256.0,62.0,0.0,48,0,0,0,6,3.0,256.0,2146.04,406.2936,553.6161,96,0,0,16,0.097703502730611,0.2919181449384267,0.7397084714167352,0,265.5400000000001,45.0,6,0,0.0,0,0,0,0.0,0,0.0,3220.5399999999995,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,,640.0,,,0,0,0.0,0,0.0,,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,48,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.933416139403291,48,1606.0,16,1614.5400000000002,3,-951.0015,3,-1197.504,2,7.965499999999938,0.0,11.25,0,0,30,30,0 bare bones,debt,1,0.0
2,64,3,3,3195.1173000000003,0.0,3219.2135000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.5,0.25,24.0962,31.8186,0.0,6,158.5325,69.36489999999999,322.55010000000004,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026402274176545,4.781857894736836,5.499665853658533,,1.1425292682926829,3.567200000000008,3.8024,82.0,133.0,41.0,256.0,84.0,0.0,42,0,0,0,6,2.0,256.0,2006.8015,408.88950000000006,779.4262999999999,96,0,0,16,0.1192333134031942,0.3639292566954499,0.655312256936377,0,346.4885000000001,635.9870999999993,6,0,0.0,0,0,0,0.0,0,0.0,2930.7663999999995,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,,640.0,,,0,0,0.0,0,0.0,,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,42,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.75282153292181,48,1303.6802999999998,16,1627.0860999999998,3,-925.4007,3,-942.0139,2,16.64820000000018,0.0,11.25,0,0,41,41,0 bare bones,debt,1,0.0
3,64,3,3,3190.4565000000007,0.0,3224.0047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.5,0.25,33.54819999999999,47.92800000000001,0.0,9,72.3409,77.00169999999999,552.9256,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023992047072276,4.720295522388056,5.449823880597019,,1.351073134328357,3.121917647058825,3.688328,134.0,134.0,67.0,256.0,136.0,0.0,30,1,1,2,8,4.0,255.0,1946.6081000000004,450.1763,793.6721,96,0,0,16,0.1132893825354472,0.4359361615459223,0.4190928242319445,0,515.1027,632.5195999999994,8,0,0.0,0,0,1,0.0,0,0.0,3377.9471463414634,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,,640.0,,,0,0,0.0,0,0.0,,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9920914893884576,48,1186.3765,16,2191.5706463414635,3,-861.109,3,-898.0882000000001,2,26.49220000000017,0.0,17.137939024390242,0,0,67,67,0 bare bones,debt,1,0.0
4,64,3,3,3374.820200000001,0.0,3417.8108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.5,0.25,42.99059999999999,63.87660000000005,0.0,15,264.489,80.12529999999998,828.2918999999999,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002078574448249,4.733882575757577,5.384427272727271,,1.4433907692307688,2.966043283582086,3.577678159999999,132.0,132.0,66.0,252.3333333333333,134.0,0.0,30,0,0,2,5,5.0,256.0,1882.6415,662.7096,829.4691,95,1,0,16,0.1436308016223479,0.4945608529725902,0.4207258933067783,0,491.27020000000016,624.8725000000002,5,0,0.0,0,0,0,0.0,0,0.0,3539.837916417909,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,,640.0,,,0,0,0.0,0,0.0,,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7586153967103582,48,1050.3674,16,2489.470516417909,3,-798.0079029850747,3,-832.6112999999999,2,36.32660000000008,0.0,20.26609701492536,0,0,66,66,0 bare bones,debt,1,0.0
5,64,3,3,3327.387100000001,0.0,3368.330000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.5,0.25,40.9429,80.00590000000004,0.0,39,45.7722,93.2053,337.70219999999995,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0074920227884233,4.661188888888887,5.303267692307697,,1.5589578125000003,3.007851515151524,3.4703478152,130.0,126.0,65.0,253.3333333333333,132.0,0.0,31,0,0,2,5,0.0,256.0,1776.9353000000003,706.0845,844.3673000000001,95,1,0,16,0.2108072841411277,0.5435698117707526,0.5238023010873172,1,496.8096999999999,587.3097999999998,5,0,0.0,0,0,0,0.0,0,0.0,3580.0483461538456,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,,640.0,,,0,0,0.0,0,0.0,,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.691532704629481,48,861.2521000000002,16,2718.796246153846,3,-748.2033384615385,3,-788.0332000000001,2,34.67089999999978,0.0,21.65086153846153,0,0,65,65,0 bare bones,debt,1,0.0
6,64,3,3,3250.6112000000003,0.0,3289.874200000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0.0,0.0,0.5,0.25,39.263000000000005,95.9994,0.0,64,17.6734,94.44930000000004,359.0846,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0091353758566429,4.682723484848483,5.218903030303031,,1.7493230769230763,2.9336820895522475,3.366237380744,132.0,132.0,66.0,253.3333333333333,134.0,0.0,30,0,0,1,4,1.0,256.0,1650.4750999999997,707.9333,892.2028,95,1,0,16,0.3186228894410465,0.6094088498914567,0.4977995428450446,5,506.8193999999999,618.1194999999998,4,0,0.0,0,0,0,0.0,0,0.0,3632.6351828125016,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,,640.0,,,0,0,0.0,0,0.0,,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6310468849857926,48,660.8741000000002,16,2971.7610828125007,3,-710.6011328125,3,-710.5177999999999,2,33.38299999999992,0.0,23.384367187500004,0,0,66,66,0 bare bones,debt,1,0.0
7,64,3,3,3173.741400000001,0.0,3211.4184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4,0.0,0.0,0.5,0.25,37.67700000000001,111.6439,0.0,89,17.2305,94.10030000000002,345.35390000000007,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0089348595212072,4.595011363636361,5.276390624999998,,1.7304587301587298,2.8885684615384584,3.2652502593216792,128.0,132.0,64.0,254.66666666666663,130.0,0.0,31,1,1,4,7,4.0,255.0,1513.3535,716.4373,943.9506,95,1,0,16,0.3767283624992443,0.659532242725104,0.4640734203133405,9,484.5328000000003,606.5414999999997,7,0,0.0,0,0,1,0.0,0,0.0,3781.148084615384,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,,640.0,,,0,0,0.0,0,0.0,,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5162439775578362,48,500.9208999999999,16,3280.2271846153844,3,-665.2217538461538,3,-629.0901,2,32.189000000000135,0.0,26.23984615384615,0,0,64,64,0 bare bones,debt,1,0.0
8,64,3,3,3097.2623000000003,0.0,3133.4790000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8,0.0,0.0,0.5,0.25,36.2167,126.92990000000007,0.0,117,16.746300000000005,93.22539999999998,642.1782000000002,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,22.982900000000004,0.0088991590901662,4.674798437499999,5.159634374999998,,1.7123158730158727,2.8084823076923047,3.167292751542029,128.0,128.0,64.0,249.66666666666663,130.0,0.0,30,1,1,7,9,4.0,255.0,1396.4009,724.1547,976.7067,95,1,0,16,0.489879232792316,0.7065758574132206,0.4628151384650383,19,472.9785999999999,598.3741999999999,9,0,0.0,0,0,1,0.0,0,0.0,3651.161390476191,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,,640.0,,,0,0,0.0,0,0.0,,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.522215373575388,48,353.6698,16,3297.4915904761897,3,-623.767419047619,3,-566.6541000000002,2,31.120699999999943,0.0,25.956880952380946,0,0,64,64,0 bare bones,debt,1,0.0
9,64,3,3,3463.4229000000005,0.0,3498.162899999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8,0.0,0.0,0.5,0.25,34.74000000000001,141.8120000000002,0.0,141,459.90190000000007,93.7413,649.3294999999998,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,33.4724,0.00761124375648,4.787018691588784,5.192071874999999,,1.744851612903226,2.785029230769227,3.072273968995768,128.0,107.0,64.0,245.66666666666663,130.0,0.0,29,10,10,8,8,3.0,246.0,1370.1045,714.1437,1379.1747,94,2,0,16,0.5221123222261512,0.7140774795191804,0.398772150114006,19,470.23460000000017,512.2109999999999,10,2,0.0,0,0,10,0.0,0,0.0,3588.0940809523822,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,,640.0,,,0,0,0.0,0,0.0,,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,29,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5185259000607276,48,322.88409999999993,16,3265.209980952381,3,-574.3459238095238,3,-578.0493,2,30.03600000000024,0.0,25.68473809523809,0,0,64,64,0 bare bones,debt,1,0.0
10,64,3,3,3355.523099999999,0.0,3392.3980000000006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,14,0.0,0.0,0.5,0.25,36.87490000000001,159.6478000000002,0.0,169,15.7009,123.60069999999996,242.3747,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,4.8809000000000005,0.0068281301851302,4.685866666666667,5.168844444444445,,1.7835826923076932,2.7153051515151545,2.9801057499258943,108.0,99.0,54.0,235.3333333333333,110.0,0.0,33,13,12,9,5,2.0,241.0,1248.9506,715.7021,1390.8703999999998,94,2,0,16,0.5943190652416523,0.7450525620939312,0.5184693949989514,33,391.42990000000015,463.9008,8,3,0.0,0,0,13,0.0,0,0.0,3532.311474193549,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,,640.0,,,0,0,0.0,0,0.0,,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,33,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.480594170894614,48,201.7212,16,3330.5902741935483,3,-537.7915516129033,3,-514.4965,2,32.562900000000255,0.0,26.17277419354839,0,0,54,54,0 bare bones,debt,1,0.0
11,63,3,3,3249.048399999999,0.0,3283.4904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,17,0.0,0.0,0.5,0.25,37.1199,176.99160000000023,2.6779,187,17.0988,123.57349999999998,110.42579999999998,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,10.6128,0.0091933017450858,4.561203614457832,5.159622000000002,,1.751464583333333,2.656458823529415,2.8907025774281183,100.0,83.0,50.0,227.3333333333333,102.0,0.0,34,23,22,9,5,7.0,221.0,1210.6032,723.2773,1315.1679,94,2,0,16,0.6244906382862401,0.7520870025319668,0.599860508639817,35,355.0290999999999,378.57990000000007,6,1,0.0,0,0,23,0.0,0,0.0,3571.213496153848,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,,640.0,,,0,0,0.0,0,0.0,,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,34,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4600496992521823,47,164.17639999999997,16,3407.037096153848,3,-495.0345192307692,3,-538.3418999999999,2,30.52200000000024,0.0,26.7537403846154,1,0,50,50,0 bare bones,debt,1,0.0
12,59,3,3,3145.317,0.0,3177.4476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,12,0.0,0.0,0.5,0.25,36.9936,193.7571000000002,4.863,199,16.891800000000003,120.62319999999995,83.0968,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,10.6128,0.0104777299986649,4.2771125,5.16290789473684,,1.7224666666666664,2.526566666666666,2.8039815001052744,76.0,56.0,38.0,201.3333333333333,73.99999999999999,0.0,35,28,26,4,0,1.0,195.0,1212.1237,725.1861,1208.0072,94,2,0,16,0.5983685423570413,0.7246567936472721,0.59343810008837,30,251.1927000000001,239.5183,3,3,0.0,0,0,28,0.0,0,0.0,3547.2212625,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,,640.0,,,0,0,0.0,0,0.0,,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,35,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.455397344906259,43,173.94419999999994,16,3373.2770625000003,3,-460.0693625,3,-593.6455,2,28.602600000000187,0.0,26.27196875,4,0,38,38,0 bare bones,debt,1,0.0
13,56,3,3,3040.605699999999,0.0,3071.602999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,15,0.0,0.0,0.5,0.25,35.860299999999995,210.0474000000002,4.863,215,17.423600000000004,122.1349,88.28659999999998,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,4.3897,0.0110608698785437,4.122247222222222,5.09266153846154,,1.551445833333333,2.6041635802469134,13.33683736142905,52.0,72.0,26.0,185.00000000000003,52.0,0.0,39,22,17,8,2,1.0,189.0,1066.9399999999998,714.0535,1259.6122,94,2,0,16,0.6450397498587415,0.7268785326281579,0.7256247311969168,30,174.05200000000005,296.8018,2,0,0.0,0,0,22,0.0,0,0.0,3380.7261000000003,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,,640.0,,,0,0,0.0,0,0.0,,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,39,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.388027471756025,40,87.31670000000001,16,3293.4094000000005,3,-438.0520000000001,3,-490.1834,2,27.8613,0.0,25.837,3,0,26,26,0 bare bones,debt,1,0.0
14,52,3,3,2940.4399,0.0,2965.8598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,17,0.0,0.0,0.5,0.25,34.46099999999999,225.7568000000004,9.0411,227,17.1087,117.2745,63.691,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,4.3897,0.0112069897937843,3.588424137931035,4.989133333333333,,1.5491741935483871,2.6417147058823534,12.93673224058618,66.0,58.0,33.0,175.99999999999997,68.0,0.0,33,25,21,5,1,1.0,171.0,1070.8503000000003,705.3593000000001,1164.2303,94,2,0,16,0.6560356989207548,0.710789350902902,0.6541932792786036,29,227.661,208.12860000000003,3,2,0.0,0,0,25,0.0,0,0.0,3162.971225,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,,640.0,,,0,0,0.0,0,0.0,,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,33,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4515908558862225,36,78.20589999999997,16,3084.7653249999994,3,-417.8569250000001,3,-533.7082,2,22.67589999999987,0.0,23.271687499999995,4,0,33,33,0 bare bones,debt,1,0.0
15,45,3,3,2890.7537,0.0,2896.644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8,0.0,0.0,0.5,0.25,33.27629999999999,240.96680000000032,27.4712,233,72.26339999999999,121.94960000000005,81.7923,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,0.0,4.3897,0.0114130091358528,3.751954838709676,4.7202600000000015,,1.2905956521739137,2.512724999999999,23.871366055725844,50.0,62.0,25.0,155.66666666666669,48.0,0.0,29,17,12,5,1,1.0,148.0,1033.6816,691.1718,1165.9003,94,2,0,16,0.5937141185448209,0.6664146388636727,0.7188867011850775,22,151.24939999999998,232.6211999999999,2,1,0.0,0,0,17,0.0,0,0.0,3105.546312903225,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,,640.0,,,0,0,0.0,0,0.0,,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,29,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.362609354297572,29,58.2214,16,3047.324912903225,3,-398.0926741935484,3,-480.1810999999999,2,3.538300000000026,0.0,23.23761290322581,7,0,25,25,0 bare bones,debt,1,0.0
16,41,3,3,2800.5330000000004,0.0,2802.8567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8,0.0,0.0,0.5,0.25,32.40419999999999,256.1372000000004,30.1769,242,29.5449,119.76559999999998,64.8673,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,8.186,0.0111970128167956,3.530023333333333,4.681279166666667,,1.409277272727273,2.843016,25.054013615850096,48.0,60.0,24.0,137.66666666666666,50.0,0.0,27,15,8,7,1,1.0,140.0,997.2389000000004,663.6308,1139.6633,94,2,0,16,0.5798223719414113,0.6303067774473834,0.6833807017483813,16,173.15489999999997,211.8014,1,0,0.0,0,0,15,0.0,0,0.0,2712.026169565218,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,,640.0,,,0,0,0.0,0,0.0,,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,27,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4246173848001675,25,34.232600000000005,16,2677.793569565218,3,-399.3711304347826,3,-454.561,2,0.3637000000001436,0.0,19.358934782608703,4,0,24,24,0 bare bones,debt,1,0.0
17,34,3,3,2754.6924,0.0,2749.4823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,14,0.0,0.0,0.5,0.25,31.658799999999992,270.9020000000003,36.97149999999999,248,68.2032,114.0438,96.8215,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,7.7433,0.0113347617491506,3.591869696969697,4.711042307692306,,1.3142416666666663,2.734179629629633,25.47261407153475,52.0,66.0,26.0,125.33333333333331,52.0,0.0,21,3,0,4,2,1.0,131.0,978.2715000000002,643.9141,1132.5068,94,2,0,16,0.5511447637040254,0.5818170765666477,0.6841427725912637,13,174.5143,237.06340000000003,3,1,0.0,0,0,3,0.0,0,0.0,2827.5052545454555,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,,640.0,,,0,0,0.0,0,0.0,,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,21,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2709943375981898,18,-49.48939999999999,16,2876.994654545455,3,-381.5074818181819,3,-409.8604000000001,2,-6.7781000000002365,0.0,21.1391590909091,7,0,26,26,0 bare bones,debt,1,0.0
18,32,3,3,2718.0891999999994,0.0,2710.4080000000013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,11,0.0,0.0,0.5,0.25,31.2314,285.60680000000025,39.01519999999999,251,74.2461,110.84929999999996,71.57079999999999,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.1678,0.0109710072446171,3.645024561403509,4.624969230769232,,1.2822208333333334,2.785524074074075,24.708435649388708,52.0,57.0,26.0,124.66666666666669,54.0,0.0,18,3,2,2,0,0.0,125.0,992.1812000000002,620.3534,1105.5546,94,2,0,16,0.5267154200261,0.5782631867004764,0.6101828809944831,11,181.19160000000005,207.7664,1,1,0.0,0,0,3,0.0,0,0.0,2660.22005,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,,640.0,,,0,0,0.0,0,0.0,,0,,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,18,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2925352257427711,16,-76.76,16,2736.98005,3,-373.89935,3,-384.9555,2,-8.857199999999764,0.0,19.713625,2,0,26,26,0 bare bones,debt,1,0.0
