round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,25752.7774,0.0,25872.345999999998,0.0,3849.823999999998,,0.0,1876.106,1973.7179999999978,0.0,1973.7179999999978,0.0,0.00375,2.4402,0.0,0.0,1.0,3950.0011999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,7.567549019607844,3.531905882352941,11.099454901960787,1.1317470588235292,2.9584490196078432,4.090196078431372,1203.4799999999973,0.0,1203.4799999999973,0.0,0,0,0.0,0.0,44.192,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,119.5686,122.00880000000001,0.0,0,1879.7222,528.7048000000001,1877.282,102.61739999999992,2.4402,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3290.0,6.664,0.005,5.0,5.200000000000013,NaN,0.75,3.7291803278688764,3.920000000000001,320.0,77.0,160.0,2048.0,732.0,204.0,329,0,0,0,47,30.0,2048.0,18958.634,1424.792,3749.7920000000004,768,0,0,128,0.060175455134979794,0.2364617824830657,0.07148267122840224,0,5705.632000000013,385.0,47,0,0.0,0,0,0,0.0,0,0.0,29320.632000000096,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,206.0,1617.1192,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,329,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.924302526904263,384,15460.447999999988,128,13860.183999999996,4,-6821.048000000001,4,-6344.727999999999,2,118.39260000000233,-1873.6658,11.25,0,0,160,160,6 + charge on balances,debt,8,2.9103830456733704e-11
2,512,4,4,25709.97780000004,0.0,25893.1646,0.0,5755.394399999996,,0.0,1782.3007,3973.093699999996,0.0,1999.3756999999987,7.399133749999995,0.00375,3.7385,0.0,0.0,1.0,2370.0011999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,8.160248235294116,3.4275780392156867,11.587826274509805,1.6915003921568634,2.688859607843137,4.3803600000000005,3478.606700000025,1203.4799999999925,3478.606700000025,0.0,0,0,0.0,0.0,301.6035,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,183.1868,251.36769999999996,0.0,0,587.1193999999999,629.919,521.3787,482.51110000000784,3.7385,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1710.0,0.0,0.006408949827630043,4.797816804407721,5.501783148558761,1.85,1.124211973392462,3.552854838709657,3.8023999999999996,902.0,1089.0,451.0,2048.0,1364.0,204.0,171,0,0,1,48,48.0,2048.0,18005.830500000022,651.0108,6446.365400000001,768,0,0,128,0.09606468631308362,0.24205227551815156,0.09628476449423684,0,6266.787199999966,5224.822500000008,48,0,1.0,0,0,0,0.0,0,0.0,30367.204199999975,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1.85,256.0,603.0326,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,171,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6510518835771049,384,15945.92650000003,128,14421.277700000006,4,-7976.447899999999,4,-3472.7945999999993,2,182.0695999999995,-1778.5622,11.25,0,0,451,451,6 + charge on balances,debt,8,2.9103830456733704e-11
3,512,4,4,27225.211199999994,0.0,27433.826500000006,0.0,6702.112499999998,,0.0,1688.4954,5013.617099999999,0.0,1040.5233999999996,14.895881625000046,0.00375,4.2575,0.0,0.0,1.0,2031.990641046833,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,12.52477522333683,3.7283646945169173,16.253139917853744,1.666238251324774,2.8096782595457115,4.475916510870485,3956.761299999988,3478.606700000046,3956.761299999988,0.0,0,0,0.0,0.0,258.6067,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,208.6153,368.0725,0.0,0,2112.7792000000004,597.5458,2021.5029000000002,1109.6013000000403,4.2575,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,1398.6768000000006,0.0,0.00993277579606304,4.711561429915333,5.466752425373129,1.7154843749999993,1.3342111940298482,3.4651833118200197,3.6883279999999994,1072.0,1063.0,536.0,2046.6666666666667,1479.0000000000002,204.0,141,0,0,1,55,33.0,2048.0,17894.5131,2271.8177,6741.7309000000005,768,0,0,128,0.08274395603831342,0.3141317932245544,0.1173380041527794,0,6362.804599999986,5008.389799999999,55,0,256.0,0,0,0,0.0,0,0.0,35607.33213348122,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,439.1639999999998,201.0,312.892,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,141,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4076702382933843,384,16205.949499999997,128,19401.382633481167,4,-8159.0611,4,-3002.0691,2,207.55689999999947,-1684.2379,16.86317960088693,0,0,536,536,6 + charge on balances,debt,8,2.9103830456733704e-11
4,512,4,4,26617.745799999968,0.0,26854.523200000003,0.0,7895.3825,,0.0,1594.6901,6300.6924,0.0,1287.0753000000004,18.79685812500004,0.00375,4.8322,0.0,0.0,1.0,1860.2091225169697,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,15.787803011342644,3.406856301009003,19.194659312351646,1.831481219733321,2.594732624993586,4.426213844726907,3952.3071999999006,3511.818699999969,4397.24979999987,0.0,0,0,0.0,0.0,254.04810000000003,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,236.7774,501.10159999999996,0.0,6,104.86699999999999,712.3323999999998,799.5916,694.7567999999915,4.8322,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,1238.2837999999997,354.6489999999999,0.009655744097313203,4.587904021447727,5.416211131725412,1.6757582417582457,1.4321771799628948,3.3394913693174457,3.5776781599999987,1078.0,1119.0,539.0,2046.6666666666667,1540.0,204.0,125,0,0,1,70,59.0,2048.0,17097.629400000016,2604.3313,6775.758,768,0,0,128,0.0821235948103134,0.36025460101760953,0.15128126747295956,0,5911.1870999999755,5133.864600000006,70,0,182.0,0,0,0,0.0,0,0.0,38516.714755223846,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,304.98800000000074,256.0,135.1949,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,125,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2772516441753916,384,16018.574600000002,128,22498.140155223842,4,-7562.256300000001,4,-2792.682,2,235.77780000000087,-1589.8579,20.013167910447724,0,0,539,539,6 + charge on balances,debt,8,2.9103830456733704e-11
5,512,4,4,26167.242099999996,0.0,26401.853800000004,0.0,8682.4619,,0.0,1500.8848,7181.5771,0.0,880.8847,23.622044250000044,0.00375,4.788,0.0,0.0,1.0,1755.8654508983743,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,17.889720825510793,3.551979531456783,21.441700356967576,1.7543112774547787,2.691915938748683,4.446227216203462,3881.044199999971,3806.9267999999342,4471.367199999989,0.0,0,0,0.0,0.0,210.7977,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,234.61169999999998,617.9422999999999,0.0,13,199.85229999999999,650.3560000000001,1358.8842,1000.3418000000245,4.788,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,1150.259799999999,687.7152999999992,0.011798580781221549,4.474843546889555,5.29306751824818,1.6422008771929844,1.5658186131386855,3.2043949491855392,3.4703478151999994,1096.0,1077.0,548.0,2046.6666666666665,1557.9999999999998,204.0,122,0,0,1,58,55.0,2048.0,17022.911200000017,2595.2826,6544.2603,768,0,0,128,0.07725478601505986,0.37900310885950383,0.1614017654275044,0,5790.1003999999875,4819.406500000051,58,0,114.0,0,0,0,0.0,0,0.0,40451.4494131725,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,187.2109000000002,256.0,0.0,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,122,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2390001398367867,384,16143.889799999999,128,24307.559613172554,4,-7307.013800000001,4,-2848.819699999999,2,233.67090000000127,-1496.0968,21.482657699443422,0,0,548,548,6 + charge on balances,debt,8,2.9103830456733704e-11
6,512,4,4,27378.380499999992,0.0,24907.159100000004,0.0,12162.069999999996,,0.0,3153.858,9008.211999999996,0.0,1826.6348999999982,26.924680375000044,0.00375,4.8313,0.0,0.0,1.0,1728.916868727094,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,20.336691360818847,3.63294966677642,23.969641027595266,1.4800125279033318,2.8299328747588173,4.309945402662149,3738.6594999999925,3702.0734999999763,4276.958099999945,0.0,1,0,230.9950999999987,2628.6079,197.53799999999998,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,236.73649999999998,731.6441000000005,2748.7886000000003,22,1858.3555,647.2171,3314.1351999999997,912.3959000000041,4.8313,0.0,0.0,0.0,0.0,3,2618.6938,0.0,0.0,0.0,0.0,1138.2405999999999,441.40920000000176,0.011667106033304012,4.339725525812609,5.1981602968460034,1.6024372093023218,1.6494942486085349,3.082497563759433,3.3662373807439994,1078.0,1046.0,539.0,2046.6666666666667,1540.0000000000002,204.0,126,0,0,1,54,24.0,2048.0,15963.743299999984,2578.3388000000004,6212.7733,768,0,0,128,0.05741919298004272,0.3999892141777035,0.17474298989084813,0,5487.547400000029,4539.352899999989,54,0,129.0,0,0,0,0.0,0,0.0,42758.46572335772,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,206.7143999999995,128.0,0.0,1,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9981488401198684,384,16210.959600000007,128,26547.506123357667,4,-7059.666400000001,4,-3004.9467000000004,2,146.59039999999803,-3149.0267000000003,23.487279197080284,0,1,539,539,6 + charge on balances,debt,8,2.9103830456733704e-11
7,512,4,4,26730.635700000003,0.0,24326.4311,0.0,13249.1495,,0.0,3012.84,10236.3095,0.0,1228.0974999999978,33.77124375000009,0.00375,6.1991,0.0,0.0,1.0,1977.8229119491032,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,22.74321841647536,3.7014751691011507,26.444693585576513,1.76500567847414,2.64336180655903,4.40836748503317,3644.5898999999818,3633.691499999999,4287.856500000021,0.0,1,0,230.9950999999987,2628.6079,208.08380000000002,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,303.75329999999997,850.9410000000006,2748.7886000000003,29,92.4063,740.1510999999999,1162.1621,941.6645000000073,6.1991000000000005,0.0,0.0,0.0,0.0,3,2546.9972,0.0,0.0,0.0,0.0,1404.9838999999977,478.7691000000016,0.01090475012703749,4.232957195571989,5.143362523191077,1.5839636363636376,1.591770686456402,3.017506635557557,3.2652502593216792,1078.0,1084.0,539.0,2046.6666666666667,1412.0,204.0,158,0,0,1,48,37.0,2048.0,15624.287399999977,2481.339,6071.813,768,0,0,128,0.05925157662610414,0.4149127083994679,0.1543106270066672,0,5601.142800000024,4588.525600000035,48,0,99.0,0,0,0,0.0,0,0.0,44611.05064397027,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,156.8124000000001,128.0,0.0,1,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,158,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9723621143465113,384,16269.03530000001,128,28342.015343970324,4,-6892.375,4,-2970.5470000000005,2,141.96940000000075,-3006.6409000000003,24.742413729128025,0,1,539,539,6 + charge on balances,debt,8,2.9103830456733704e-11
8,512,4,4,28823.10329999999,0.0,23845.309500000003,0.0,16951.470100000006,,0.0,5616.4023,11335.067800000004,0.0,1098.7583000000009,38.37341250000001,0.00375,7.6559,0.0,0.0,1.0,1962.8548079590291,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,23.816345043907187,3.7486693414580823,27.56501438536527,1.7247486609453941,2.702069170276443,4.426817831221837,3575.0235000000475,3605.147899999995,4033.9231000000455,0.0,2,0,454.8040999999951,5260.2038,202.9545,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,375.13799999999986,966.8628000000008,5433.987900000001,36,2831.2498999999993,738.7823000000001,3983.3139999999994,947.0374999999973,7.6559,0.0,0.0,0.0,0.0,0,5064.1294,0.0,0.0,0.0,0.0,1404.1040999999973,156.1287999999998,0.013320635890621255,4.13746178107605,5.129829213483142,1.559434782608694,1.5595511235955053,2.921131419269291,3.167292751542029,1068.0,1078.0,534.0,2046.6666666666665,1402.0,204.0,161,0,0,2,52,41.0,2048.0,15396.275599999994,2453.596,5901.4464,768,0,0,128,0.05640002432532287,0.4161216080959671,0.16328226811189595,0,5436.956100000024,4460.183799999982,52,0,92.0,0,0,0,0.0,0,0.0,44816.821707977746,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,143.46799999999985,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,161,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.810244284216076,384,16382.7953,128,28434.026407977737,4,-6655.826800000001,4,-2965.5535999999993,2,85.57119999999895,-5608.7464,23.87656029684603,0,2,534,534,6 + charge on balances,debt,8,2.9103830456733704e-11
9,512,4,4,28487.434800000017,0.0,23625.883,0.0,18247.679600000018,,0.0,5836.6858,12410.993800000017,0.0,1075.9259999999995,42.49103112499998,0.00375,10.0281,0.0,0.0,1.0,2169.791709063034,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,25.003881833285025,3.936143461612693,28.940025294897715,1.8651908562998023,2.767034623102315,4.632225479402117,3490.0470000000128,3565.8737000000306,3958.09640000002,0.0,2,0,454.8040999999951,5260.2038,199.098,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,491.3799999999998,1093.1329000000003,5433.987900000001,40,552.7977,888.4662000000002,1010.819,946.5421000000081,10.0281,0.0,0.0,0.0,0.0,0,4877.0833,0.0,0.0,0.0,0.0,1623.6471999999953,0.0,0.012073536449137286,4.040525655430712,5.071798884758363,NaN,1.5083368029739774,2.8629239899391665,3.072273968995767,1076.0,1068.0,538.0,2045.3333333333335,1282.0,204.0,190,0,0,1,51,35.0,2048.0,15479.740099999985,2422.4451,5698.1382,768,0,0,128,0.05988820962938424,0.41796490248438656,0.14733049966861422,0,5433.109400000008,4315.281400000001,51,0,0.0,0,0,0,0.0,0,0.0,45605.042843820236,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,190,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7971261268541632,384,16602.3933,128,29002.649543820222,4,-6422.6865,4,-2993.5018000000005,2,14.82589999999891,-5826.6577,23.39326685393258,0,2,538,538,6 + charge on balances,debt,8,2.9103830456733704e-11
10,512,4,4,28064.069599999984,0.0,23314.8977,0.0,19495.289300000008,,0.0,5965.4105,13529.878800000008,0.0,1118.8849999999995,46.522869625000006,0.00375,12.3217,0.0,0.0,1.0,2130.843449766938,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,25.960947828826594,4.010360553979713,29.97130838280631,1.8426846754147603,2.881847176327147,4.724531851741907,3470.9246000000185,3561.2226000000264,3867.7984000000206,0.0,2,0,454.8040999999951,5260.2038,213.5707,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,603.7598999999998,1217.8345000000004,5433.987900000001,44,490.67100000000005,914.0362,875.2231,961.253900000008,12.3217,0.0,0.0,0.0,0.0,0,4634.7981,0.0,0.0,0.0,0.0,1597.4975000000004,0.0,0.015,4.124465559772293,5.042792737430173,NaN,1.4731361266294223,2.849108218632961,2.9801057499258943,1074.0,1054.0,537.0,2046.6666666666667,1280.0,204.0,191,0,0,1,41,25.0,2048.0,15428.982599999994,2413.5370000000003,5574.4302,768,0,0,128,0.05764377361331219,0.41833978206144407,0.15546146648200132,0,5369.716900000006,4347.1866999999975,41,0,0.0,0,0,0,0.0,0,0.0,46083.181370260165,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,191,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.784075919566148,384,16887.38979999999,128,29195.791570260215,4,-6167.3034,4,-2941.8498,2,-115.02060000000165,-5953.0887999999995,22.62505204460966,0,2,537,537,6 + charge on balances,debt,8,2.9103830456733704e-11
11,512,4,4,27645.330499999993,0.0,23004.305,0.0,20763.978900000016,,0.0,6094.5278,14669.451100000017,0.0,1139.5722999999996,50.716259374999986,0.00375,14.5287,0.0,0.0,1.0,2160.7700061834944,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,25.636868357344817,3.8880153226453347,29.52488367999015,2.0015672281416705,2.6554413685522205,4.657008596693891,3460.1056999999705,3541.8465000000156,3786.057599999995,0.0,2,0,454.8040999999951,5260.2038,218.05079999999998,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,711.9062999999998,1340.5096,5433.987900000001,48,517.1881,935.9272,828.6113,974.8489000000017,14.5287,0.0,0.0,0.0,0.0,0,4336.1574,0.0,0.0,0.0,0.0,1616.3372000000031,0.0,0.015,4.117124018691587,5.067155263157871,NaN,1.5289503759398506,2.8909821684172443,2.8907025774281183,1064.0,1070.0,532.0,2046.6666666666667,1270.0,204.0,194,0,0,2,40,33.0,2048.0,15362.385900000003,2394.682,5537.5765,768,0,0,128,0.06292917170614643,0.42079673978281495,0.16264921428512813,0,5428.505100000007,4405.322699999999,40,0,0.0,0,0,0,0.0,0,0.0,46750.645178771,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,194,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7716007110044181,384,17188.36639999999,128,29562.278778770953,4,-5921.867200000001,4,-2803.3434999999995,2,-305.45610000000147,-6079.9991,22.097041899441333,0,2,532,532,6 + charge on balances,debt,8,2.9103830456733704e-11
12,512,4,4,27574.28930000002,0.0,22611.2431,0.0,22010.473300000012,,0.0,6141.1759,15869.297400000014,0.0,1199.8463,54.986968,0.00375,7.9569,0.0,0.0,1.0,2150.2134745089147,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,27.245326348264026,3.9107553313390917,31.156081679603115,2.025244635691881,2.731720327463741,4.756964963155622,3456.3386000000396,3535.974799999958,3706.4214000000316,0.0,2,0,454.8040999999951,5260.2038,215.6362,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,389.8856000000004,1461.1605000000002,5433.987900000001,52,887.9948000000006,959.036,695.4060999999999,982.6250000000161,7.9569,434.7147,0.0,0.0,0.0,0,3983.4204,0.0,0.0,0.0,0.0,1606.7469000000037,0.0,0.015,4.085967202268432,5.078718609022564,NaN,1.5268652255639095,2.894695094856175,2.803981500105274,1064.0,1058.0,532.0,2045.3333333333335,1270.0,204.0,193,0,0,1,37,31.0,2048.0,15750.426199999993,2384.2218000000003,5448.264,768,0,0,128,0.062666842062582,0.42678913976945254,0.17129691638015276,0,5856.773399999996,4322.953300000001,37,0,0.0,0,0,0,0.0,0,0.0,48981.51193082705,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,193,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7742155205519259,384,17904.12040000002,128,31077.39153082709,4,-5668.0362,4,-2717.2960000000007,2,-980.1550000000007,-6133.219,22.93425563909776,0,2,532,532,6 + charge on balances,debt,8,2.9103830456733704e-11
13,512,4,4,27053.556200000035,0.0,22198.562899999997,0.0,23258.65520000001,,0.0,6168.2057,17090.44950000001,0.0,1221.1520999999982,59.48366125000003,0.00375,10.162,0.0,0.0,1.0,2139.0960427031614,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,28.18485256701429,3.9483501979184115,32.133202764932705,2.046301444513162,2.6874314744006855,4.733732918913848,3412.142400000098,3564.5419000000256,3554.0219000000984,0.0,2,0,454.8040999999951,5260.2038,215.7309,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,497.9385000000003,1579.3754000000004,5433.987900000001,56,458.13309999999996,978.8661999999998,589.8506,983.3287999999841,10.161999999999999,0.0,0.0,0.0,0.0,0,3786.0137999999997,0.0,0.0,0.0,0.0,1599.7444000000053,0.0,0.015,4.039382539682535,5.047219281663534,NaN,1.5103018903591667,2.727035340743265,2.719862055102116,1058.0,1071.0,529.0,2046.6666666666667,1264.0,204.0,195,0,0,2,45,35.0,2048.0,15470.390100000002,2392.1659,5394.8244,768,0,0,128,0.06655697678409256,0.43113133542619675,0.15053794823880517,0,5208.728800000008,4326.178699999995,45,0,0.0,0,0,0,0.0,0,0.0,49898.60699849625,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,195,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.758736728319203,384,18094.37899999999,128,31804.227998496248,4,-5395.8009,4,-2595.3756000000003,2,-1069.4499000000003,-6158.0437,22.902978383458642,0,2,529,529,6 + charge on balances,debt,8,2.9103830456733704e-11
