round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,110376.98660000041,0.0,747.05,747.05,561.0,,561.0,0.0,0.0,0.0,0.0,0.0,0.0025,967.8957,1683.0,0.0,1.0,561.0,238.3681,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.6779562700216666,0.0,672.0,2.0,0.0,1.0,0,0,0,1.0,48,725.7228516666668,18.82146411764706,744.5443157843139,15.823794313725486,6.3300890196078425,22.15388333333333,850.000000000002,0.0,850.000000000002,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,16,2560.0,1941.6437999999982,747.05,969.8626999999964,0.0,0.0,0.0,0.0,0.0,0,240.7152,2560.0,1941.6437999999982,969.8626999999964,274.0,0.0,0.0,0.0,5.0,5.200000000000013,2.0,0.75,3.594822888283399,3.9200000000000013,320.0,72.0,160.0,2048.0,734.0,204.0,328,0,0,0,43,29.0,2048.0,95164.71050000028,2609.2224,6690.2064,767,1,0,128,0.08928850152118462,0.6779562700216666,0.6599937522096022,0,3671.871599999997,360.0,43,0,520.0,0,0,0,0.0,0,0.0,1.0213995399500084e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1040.0,208.0,4704.2364,4,659.0988000000001,659.0991999999999,NaN,5120.0,100.0,0.24453529541015626,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,0,12,0.0,0,0.0,7754.3472,0.0,560.4000000000001,0.0,560.4000000000001,0.0,659.0988000000001,2840.716999999999,14003.665200000003,0.6861420489760897,384,75951.64200000011,128,945447.8979500004,4,0.0,4,0.0,2,240.7152,406.89570000000003,11.925,1206.63335,0,0,160,160,"E10 + government reserve, full money stock",sumsy,2,-1.7462298274040222e-10
2,512,4,4,110983.0745000003,0.0,1240.0429000000001,530.3454,532.95,,532.95,0.0,0.0,0.0,0.0,0.0,0.0025,1346.3758,1683.0,0.0,1.0,561.0,112.20806666666665,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.6789309461978863,0.0,961.0,0.0,0.0,1.0,0,0,0,0.26236625514403294,48,725.8241842156864,18.29065411764706,744.1148383333334,14.585185294117647,7.1424537254901965,21.727639019607842,2486.283599999993,850.0000000000022,2486.283599999993,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-7.4705,0.0,16,2560.0,1953.9120999999977,530.3454,971.9429999999986,0.0,0.0,0.0,0.0,0.0,0,390.5228,2560.0,1953.9120999999977,971.9429999999986,274.0,0.0,0.0,0.015,4.79075925925925,5.485074666666651,2.1853714062499865,1.1305273942093523,3.5246202643171625,3.802399999999999,900.0,1080.0,450.0,2048.0,1362.0,204.0,171,0,0,0,46,39.0,2048.0,93986.43600000019,1789.9206000000001,9138.3566,767,1,0,128,0.08286438178413613,0.6789309461978863,0.3642917406416979,0,6246.936499999971,5174.01999999999,46,0,640.0,0,0,0,0.0,0,0.0,1.0201854129499984e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1398.6376999999914,256.0,4331.4627,4,189.40019999999998,189.40000000000003,NaN,5120.0,100.0,0.25649870361328125,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,171,0.0,0,12,0.0,0,0.0,7754.3472,0.0,6810.244598365195,0.0,6810.244598365195,0.0,189.40019999999998,3272.3542000000007,15259.7399,0.6864881461256411,384,74630.69780000005,128,945554.7151500002,4,0.0,4,0.0,2,390.5228,813.4258,12.640500000000001,1206.63335,0,0,450,450,"E10 + government reserve, full money stock",sumsy,2,-1.7462298274040222e-10
3,512,4,4,111576.82240000002,0.0,1962.2655,786.0924,504.9,,504.9,0.0,0.0,0.0,0.0,0.0,0.0025,1741.787,1659.5246999999995,0.0,0.9155391589697291,537.5246999999997,0.0,0.0,0.0,0.9155391589697291,0.0,0.0,0.9155391589697291,0.0,0,0,0.9986979166666666,0.6804204472201083,0.0,1046.0,0.0,0.0,0.9155391589697291,0,0,0,0.2558261452547759,48,758.3618145249233,18.419983778684358,776.7817983036076,14.583731980389834,8.52046775780445,23.104199738194282,2935.6788999999917,2486.283599999989,2935.6788999999917,0.0,0,0,0.0,0.0,0.0,0.9155391589697291,0.9155391589697291,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-19.871,0.0,16,2560.0,1966.2520999999997,786.0924,973.9696999999999,0.0,0.0,0.0,0.0,0.0,0,465.74659999999994,2560.0,1966.2520999999997,973.9696999999999,274.0,0.0,0.0,0.015,4.809943629697577,5.4536054205607325,2.3549585937499935,1.3423220973782761,3.4811567812590734,3.688327999999999,1070.0,1091.0,535.0,2048.0,1532.0,204.0,128,0,0,0,59,47.0,2048.0,93343.47439999998,2366.3487999999998,9732.7516,767,1,0,128,0.08494386224871509,0.6804204472201083,0.3085862782949289,0,7002.026800000004,5247.648500000057,59,0,640.0,0,0,0,0.0,0,0.0,1.0195110238500006e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1507.1734999999958,256.0,3926.7140000000004,4,149.0278,149.0276,NaN,5120.0,100.0,0.2567558959960938,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,128,0.0,0,12,0.0,0,0.0,7754.3472,0.0,9832.971956164078,0.0,9832.971956164078,0.0,149.0278,3803.504,16025.814399999997,0.6870800833756232,384,73450.44119999999,128,946060.5826500002,4,0.0,4,0.0,2,465.74659999999994,1236.8870000000002,13.398930000000002,1206.63335,0,0,535,535,"E10 + government reserve, full money stock",sumsy,2,-1.7462298274040222e-10
4,512,4,4,112158.69280000006,0.0,2065.8455,206.7544,476.85,,476.85,0.0,0.0,0.0,0.0,0.0,0.0025,2046.4792,1649.4012000000002,0.0,0.5086873300409128,539.6769000000004,0.0,0.0,0.0,0.5086873300409128,0.0,0.0,0.5086873300409128,0.0,0,0,0.9986979166666666,0.6823219233579627,0.0,1053.0,0.0,0.0,0.5086873300409128,0,0,0,0.2548368016440131,48,756.2774830260166,17.723120549267975,774.0006035752846,14.068679612905903,9.377865599808883,23.44654521271479,2958.7337999999963,2935.6789000000063,2958.7337999999963,0.0,0,0,0.0,0.0,0.0,0.5086873300409128,0.5086873300409128,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-39.4935,0.0,16,2560.0,1978.1295999999995,206.7544,893.5450999999996,0.0,0.0,0.0,0.0,0.0,0,506.1295,2560.0,1978.1295999999995,893.5450999999996,274.0,0.0,0.0,0.015,5.447599254426849,5.425708118081174,2.4879504687499976,1.4464573012939022,3.379412015040179,3.5776781599999983,1084.0,1073.0,542.0,2048.0,1546.0,204.0,125,0,0,2,52,46.0,2048.0,92121.85000000005,2773.8271000000004,10467.4962,767,1,0,128,0.08700920028490078,0.6823219233579627,0.31985911817498214,0,6985.763699999977,5845.2740000000085,52,0,640.0,0,0,0,0.0,0,0.0,1.018257671950001e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1592.2882999999986,256.0,4242.9108,4,188.5333,188.53320000000002,NaN,5120.0,100.0,0.2783507804361979,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,125,0.0,0,12,0.0,0,0.0,7754.3472,0.0,9129.576696823337,0.0,9129.576696823337,0.0,188.5333,4240.3169,17484.2341,0.6888224866649537,384,71708.86770000005,128,946548.8042499999,4,0.0,4,0.0,2,506.1295,1569.6291999999999,14.202865800000003,1206.63335,0,0,542,542,"E10 + government reserve, full money stock",sumsy,2,-1.7462298274040222e-10
5,512,4,4,112729.9577,0.0,1952.3334999999997,0.0,448.8,,448.8,0.0,0.0,0.0,0.0,0.0,0.0025,1880.4193,1686.2527799999998,0.0,0.31045027090412847,611.2196999999994,0.0,0.0,0.0,0.31045027090412847,0.0,0.0,0.31045027090412847,0.0,0,0,0.9986979166666666,0.6837970668688163,0.0,1047.0,0.0,0.0,0.31045027090412847,0,0,0,0.2571907248776562,48,668.2188386197314,15.372622390763695,683.5914610104951,11.79100473942792,9.346591394796443,21.137596134224363,3016.8041999999996,2958.733799999995,3016.8041999999996,0.0,0,0,0.0,0.0,0.0,0.31045027090412847,0.31045027090412847,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-60.15170000000002,0.0,16,2560.0,1988.7350999999987,0.0,498.2420999999999,0.0,0.0,0.0,0.0,0.0,0,528.045,2560.0,1988.7350999999987,498.2420999999999,274.0,0.0,0.0,0.015,5.605910556079168,5.59478395522388,2.5813173437500003,1.5834519626168237,3.3352267512038334,3.4703478152,1072.0,1061.0,536.0,2045.3333333333335,1534.0,204.0,127,0,0,1,56,28.0,2048.0,91122.87970000002,3031.8289,11400.704,767,1,0,128,0.0842053429158387,0.6837970668688163,0.32498776865635604,0,6969.134799999993,5947.871099999998,56,0,640.0,0,0,0,0.0,0,0.0,1.0172206741500001e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1652.0431000000003,256.0,4766.080800000001,4,254.815,254.8152,NaN,5120.0,100.0,0.3076450773111979,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,127,0.0,0,12,0.0,0,0.0,7754.3472,0.0,7486.09813472434,0.0,7486.09813472434,0.0,254.815,4846.658699999999,19198.613699999998,0.6902996874074829,384,70122.5955,128,947098.0786499998,4,0.0,4,0.0,2,528.045,1431.6193,15.055037748000004,1206.63335,0,0,536,536,"E10 + government reserve, full money stock",sumsy,2,-1.7462298274040222e-10
6,512,4,4,113290.33120000006,0.0,1838.8215,0.0,420.75,,420.75,0.0,0.0,0.0,0.0,0.0,0.0025,1508.7099,1719.70215,0.0,0.5242173040209452,628.9830000000004,70.33075000000001,0.0,0.0,0.5242173040209452,0.0,0.0,0.5242173040209452,0.0,0,0,0.9986979166666666,0.68548744486959,0.0,1051.0,0.0,0.0,0.5242173040209452,0,0,0,0.26136956399618005,48,650.2636117062156,14.409197357070122,664.6728090632857,10.709091977859599,10.19347197662562,20.90256395448522,3014.2965000000004,3016.8042000000028,3014.2965000000004,0.0,0,0,0.0,0.0,0.0,0.5242173040209452,0.5242173040209452,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-79.6749,0.0,16,2560.0,1999.6265000000005,0.0,306.42050000000023,0.0,0.0,0.0,0.0,0.0,0,538.9921999999999,2560.0,1999.6265000000005,306.42050000000023,274.0,0.0,0.0,0.015,5.6059548630783755,5.548697222222223,2.6588673437500043,1.7551922077922073,3.25901781088986,3.3662373807439985,1080.0,1059.0,540.0,2046.6666666666665,1542.0,204.0,126,0,0,2,43,22.0,2048.0,90332.10279999996,3259.5853,12366.5572,767,1,0,128,0.0799486484885017,0.68548744486959,0.3288777559512668,0,6996.54860000003,5936.7062,43,0,640.0,0,0,0,0.0,0,0.0,1.0163918697499996e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1701.6751000000027,256.0,5284.3838,4,316.4344,316.434,NaN,5120.0,100.0,0.3368992211914062,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,0,12,0.0,0,0.0,7754.3472,0.0,6808.73436080236,0.0,6808.73436080236,0.0,316.4344,5811.537100000001,20910.526299999998,0.6919932287377544,384,68305.19199999994,128,948086.6777500001,4,0.0,4,0.0,2,538.9921999999999,1087.9599,15.958340012880004,1206.63335,0,0,540,540,"E10 + government reserve, full money stock",sumsy,2,-1.7462298274040222e-10
7,512,4,4,113838.743,0.0,2386.1795999999995,660.8701,392.7,,392.7,0.0,0.0,0.0,0.0,0.0,0.0025,1359.2826,1743.596742857143,0.0,0.909940595758357,628.9880999999995,128.10471428571432,0.0,0.0,0.909940595758357,0.0,0.0,0.909940595758357,0.0,0,0,0.9973958333333334,0.683059053185602,0.0,1044.0,1.0,0.0,0.909940595758357,0,0,0,0.2624767228530812,48,605.9229766930158,13.734260967014693,619.6572376600304,12.714120437098703,10.528213593869118,23.24233403096782,2973.1794000000045,3014.296500000008,2973.1794000000045,0.0,0,0,0.0,0.0,0.0,0.909940595758357,0.909940595758357,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-98.06289999999996,0.0,16,2560.0,2011.5882000000008,660.8701,522.3022,0.0,0.0,0.0,0.0,0.0,0,542.5086,2560.0,2011.5882000000008,522.3022,274.0,0.0,0.0,0.015,5.577681354359932,5.54442664165104,2.7807315625000024,1.9259297551789072,3.539957920356036,6.834057078328564,1066.0,1078.0,533.0,2045.3333333333335,1528.0,204.0,129,0,0,2,47,31.0,2048.0,90544.41250000002,3258.6463,12760.379700000001,766,2,0,128,0.095655839852953,0.683059053185602,0.3613545679599577,0,7449.096500000026,6012.740500000006,47,0,640.0,0,0,0,0.0,0,0.0,949612.6725000002,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1779.6682000000017,256.0,5373.5133000000005,4,336.2689,336.2684,NaN,5120.0,100.0,0.3522242789713541,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,129,0.0,0,12,0.0,0,0.0,7754.3472,0.0,6082.232157818847,0.0,6082.232157818847,0.0,336.2689,6595.924599999999,21392.539300000004,0.6891608572402037,384,66666.8356,128,882945.8368999999,4,0.0,4,659.3701000000001,2,542.5086,966.5826,16.915840413652806,1120.8,0,0,533,533,"E10 + government reserve, full money stock",sumsy,2,-1.7462298274040222e-10
8,512,4,4,114374.65850000002,0.0,2239.6241,0.0,364.65,,364.65,0.0,0.0,0.0,0.0,0.0,0.0025,1604.7857,1760.3281124999999,0.0,1.0,625.8158999999996,51.84747083333332,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.6876140197335723,0.0,1044.0,3.0,0.0,1.0,0,0,0,0.25000696146134993,48,636.4746671228085,13.326473286345937,649.8011404091544,14.705975104357272,10.381747843534537,25.08772294789181,3014.19740000001,2973.179399999985,3014.19740000001,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-121.92459999999997,0.0,16,2560.0,2024.0844999999986,0.0,912.9381999999996,0.0,0.0,0.0,0.0,0.0,0,544.5785,2560.0,2024.0844999999986,912.9381999999996,274.0,0.0,0.0,0.015,5.568704850746264,5.6108565543071345,2.901706406249995,1.9762458646616547,3.535872384287015,6.935612069809779,1068.0,1072.0,534.0,2045.3333333333335,1530.0,204.0,129,0,0,1,47,33.0,2048.0,89641.92340000003,3363.0526999999997,13747.4836,766,2,0,128,0.11242761816450297,0.6876140197335723,0.3605918371225243,0,7491.082000000046,5969.651599999995,47,0,640.0,0,0,0,0.0,0,0.0,985595.0427000005,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1857.0920999999967,256.0,5472.8346,4,355.2817,355.2820000000001,NaN,5120.0,100.0,0.375104189453125,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,129,0.0,0,12,0.0,0,0.0,7754.3472,0.0,6258.483790374647,0.0,6258.483790374647,0.0,355.2817,8279.157299999999,22583.3709,0.6937370387820014,384,64968.381999999976,128,920626.6606999998,4,0.0,4,626.4016000000001,2,544.5785,1240.1356999999998,17.930790838471975,1169.0023,0,0,534,534,"E10 + government reserve, full money stock",sumsy,2,-1.7462298274040222e-10
9,512,4,4,114899.28450000008,0.0,2093.0686,0.0,336.6,,336.6,0.0,0.0,0.0,0.0,0.0,0.0025,1938.816,1773.0064666666663,0.0,0.8352131994655034,624.8111000000001,0.0,0.0,0.0,0.8352131994655034,0.0,0.0,0.8352131994655034,0.0,0,0,0.9973958333333334,0.6933204362138874,0.0,1045.0,2.0,0.0,0.8352131994655034,0,0,0,0.25000262031618486,48,685.1879217337298,12.998347149576299,698.1862688833062,15.425923619342601,10.66844960383599,26.09437322317859,3181.5937999999956,3014.1973999999977,3181.5937999999956,0.0,0,0,0.0,0.0,0.0,0.8352131994655034,0.8352131994655034,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-144.3205,0.0,16,2560.0,2035.373999999999,0.0,1006.206399999999,0.0,0.0,0.0,0.0,0.0,0,544.9256,2560.0,2035.373999999999,1006.206399999999,274.0,0.0,0.0,0.015,5.545826355140187,5.913259439252328,3.0306185937500034,1.9872242026266411,3.5325462690952207,6.756086133742862,1070.0,1070.0,535.0,2046.6666666666667,1532.0,204.0,128,0,0,1,50,30.0,2048.0,88709.4421000001,3515.6228,14612.211199999998,766,2,0,128,0.12039846699604095,0.6933204362138874,0.35573824816263033,0,7518.6624999999885,5934.034200000001,50,0,640.0,0,0,0,0.0,0,0.0,1.0503728049999997e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1939.595900000002,256.0,5578.266799999999,4,404.0399,404.03999999999996,NaN,5120.0,100.0,0.3981006429036458,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,128,0.0,0,12,0.0,0,0.0,7754.3472,0.0,5762.08106937653,0.0,5762.08106937653,0.0,404.0399,9076.288600000002,23706.100799999997,0.6994823458403907,384,63086.37490000005,128,987286.4301000002,4,0.0,4,593.4330999999997,2,544.9256,1602.216,19.006638288780294,1254.83565,0,0,535,535,"E10 + government reserve, full money stock",sumsy,2,-1.7462298274040222e-10
10,512,4,4,115413.75500000008,0.0,1946.5130999999997,0.0,308.55,,308.55,0.0,0.0,0.0,0.0,0.0,0.0025,2104.6921,1782.3780599999998,0.0,0.5155061168963874,622.2407999999998,0.0,0.0,0.0,0.5155061168963874,0.0,0.0,0.5155061168963874,0.0,0,0,0.9973958333333334,0.6966442470071885,0.0,1046.0,1.0,0.0,0.5155061168963874,0,0,0,0.25000065385631376,48,709.9689467249651,12.410219707946844,722.3791664329119,16.586185010197486,10.663237353309304,27.249422363506792,3214.7281999999896,3181.5938000000024,3214.7281999999896,0.0,0,0,0.0,0.0,0.0,0.5155061168963874,0.5155061168963874,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-165.25080000000008,0.0,16,2560.0,2045.5294999999962,0.0,842.0237,0.0,0.0,0.0,0.0,0.0,0,545.3042,2560.0,2045.5294999999962,842.0237,274.0,0.0,0.0,0.015,5.524725303454718,5.964045149253712,3.1444845312500034,2.0286134831460676,3.5346151567014563,6.892857139592586,1072.0,1071.0,536.0,2046.6666666666665,1534.0,204.0,128,0,0,0,41,36.0,2048.0,87928.15540000002,3831.6795,15312.453300000001,766,2,0,128,0.12997752409473873,0.6966442470071885,0.3597354425940429,0,7571.501699999959,5916.980800000003,41,0,640.0,0,0,0,0.0,0,0.0,1.0783788000999992e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,2012.470100000002,256.0,5691.470499999999,4,425.3021,425.30240000000003,NaN,5120.0,100.0,0.41963824218750007,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,128,0.0,0,12,0.0,0,0.0,7754.3472,0.0,5341.350408040182,0.0,5341.350408040182,0.0,425.3021,9722.7506,24835.6033,0.7028268143353202,384,61367.05040000002,128,1.0170117497e6,4,0.0,4,560.4646000000002,2,545.3042,1796.1421000000003,20.147036586107113,1292.4667,0,0,536,536,"E10 + government reserve, full money stock",sumsy,2,-1.7462298274040222e-10
11,512,4,4,115919.00840000012,0.0,1799.9576,0.0,280.5,,280.5,0.0,0.0,0.0,0.0,0.0,0.0025,1949.9957,1789.4003454545452,0.0,0.35676479072664735,619.8744000000004,0.0,0.0,0.0,0.35676479072664735,0.0,0.0,0.35676479072664735,0.0,0,0,0.9973958333333334,0.697995165352177,0.0,1043.0,0.0,0.0,0.35676479072664735,0,0,0,0.2500070665385268,48,713.5839290960683,12.04693397855879,725.6308630746272,17.080809134956116,10.853967558928021,27.934776693884135,3201.992900000014,3214.728199999989,3201.992900000014,0.0,0,0,0.0,0.0,0.0,0.35676479072664735,0.35676479072664735,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-184.71610000000013,0.0,16,2560.0,2054.7466000000004,0.0,521.5269999999996,0.0,0.0,0.0,0.0,0.0,0,546.5730000000001,2560.0,2054.7466000000004,521.5269999999996,274.0,0.0,0.0,0.015,5.475161466165412,5.973720262664191,3.2636682812499993,2.0228384180790955,3.542763140737964,6.982873085763598,1066.0,1064.0,533.0,2048.0,1528.0,204.0,130,0,0,0,39,37.0,2048.0,87463.9398,4226.1625,15910.3765,766,2,0,128,0.1362792594545561,0.697995165352177,0.34506217394957606,0,7567.887600000023,5825.571799999999,39,0,640.0,0,0,0,0.0,0,0.0,1.0778764820000003e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,2088.7476999999994,256.0,5821.960899999999,4,487.79769999999996,487.79720000000003,NaN,5120.0,100.0,0.4398433544921874,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,130,0.0,0,12,0.0,0,0.0,7754.3472,0.0,4669.4400951161915,0.0,4669.4400951161915,0.0,487.79769999999996,10239.231199999998,25958.49989999999,0.7041963723308842,384,60062.20560000004,128,1.0178142763999997e6,4,0.0,4,527.4961000000003,2,546.5730000000001,1669.4957,21.35585878127354,1292.4667,0,0,533,533,"E10 + government reserve, full money stock",sumsy,2,-1.7462298274040222e-10
12,512,4,4,116414.6384999999,0.0,1653.4021,0.0,252.45,,252.45,0.0,0.0,0.0,0.0,0.0,0.0025,1645.9386,1793.8624999999997,0.0,0.5020317254076899,614.3153999999993,49.307966666666594,0.0,0.0,0.5020317254076899,0.0,0.0,0.5020317254076899,0.0,0,0,0.9973958333333334,0.699425182211924,0.0,1041.0,0.0,0.0,0.5020317254076899,0,0,0,0.2618893579493704,48,721.8049599748153,11.933540442246343,733.7385004170617,18.477560538837267,10.989822728225413,29.46738326706268,3300.130099999994,3201.992900000013,3300.130099999994,0.0,0,0,0.0,0.0,0.0,0.5020317254076899,0.5020317254076899,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-202.71580000000014,0.0,16,2560.0,2064.3698999999997,0.0,363.2901000000002,0.0,0.0,0.0,0.0,0.0,0,547.3812,2560.0,2064.3698999999997,363.2901000000002,274.0,0.0,0.0,0.015,5.452222718631174,6.181035969868162,3.431218750000005,2.0152981096408324,3.5521075567610136,7.093589150810878,1062.0,1052.0,531.0,2048.0,1524.0,204.0,131,0,0,2,42,25.0,2048.0,87190.63089999986,4643.378299999999,16404.5893,766,2,0,128,0.14669018566490277,0.699425182211924,0.38299518995443393,1,7567.797900000003,5735.738299999995,42,0,640.0,0,0,0,0.0,0,0.0,1.077565070600001e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,2195.980000000003,256.0,5982.720200000001,4,576.7811,576.7812,NaN,5120.0,100.0,0.45922312988281244,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,131,0.0,0,12,0.0,0,0.0,7754.3472,0.0,4452.689561153036,0.0,4452.689561153036,0.0,576.7811,11132.019499999999,27030.687800000003,0.705651762754067,384,58537.95279999998,128,1.0190271177999998e6,4,0.0,4,494.5275999999999,2,547.3812,1393.4886,22.637210308149953,1292.4667,0,0,531,531,"E10 + government reserve, full money stock",sumsy,2,-1.7462298274040222e-10
