round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,25863.984000000037,0.0,25973.88,0.0,4359.824,,0.0,4359.824,0.0,0.0,0.0,0.0,0.00375,0.0,0.0,0.0,1.0,4460.0012,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7383460199856242,0.0,512.0,1.0,0.0,1.0,0,0,0,0.8182047721247316,0,180.92116764705884,3.419537254901961,184.3407049019608,1.7314352941176474,3.225407843137255,4.956843137254902,1082.8544999999972,0.0,1082.8544999999972,0.0,0,0,0.0,0.0,44.807,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,109.89599999999999,109.896,0.0,0,4360.999999999999,476.21600000000007,4360.999999999999,100.17719999999991,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3800.0,6.664,0.005,5.0,5.200000000000013,NaN,0.75,3.6544486692015257,3.920000000000001,320.0,89.0,160.0,2048.0,526.0,204.0,380,0,0,0,56,33.0,2048.0,20743.602500000008,1092.1495,4028.232,767,1,0,128,0.046681769820282826,0.69068418327963,0.05870585574208187,0,5528.602500000007,445.0,56,0,0.0,0,0,0,0.0,0,0.0,250843.60250000047,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,380,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8120170547750309,384,15260.707999999991,128,235582.8945,4,-8364.090499999998,4,-7828.407999999999,2,108.72000000000064,-4359.824,11.925,300.0,0,0,160,160,3 + interest on deposits,debt,5,-2.3283064365386963e-10
2,512,4,4,28430.31410000008,0.0,28612.9108,0.0,7004.2026,,0.0,7004.2026,0.0,0.0,0.0,0.0,0.00375,0.0,0.0,0.0,1.0,2980.0011999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.7331561374731861,0.0,919.0,1.0,0.0,1.0,0,0,0,0.2639066612569312,0,181.71822901960786,3.0405880392156863,184.75881705882355,2.9601088235294126,3.0056231372549016,5.965731960784314,3379.61990000002,1082.8544999999995,3379.61990000002,0.0,0,0,0.0,0.0,308.13300000000004,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,182.5967,239.7625,0.0,2,3280.5666,714.2364999999999,4034.8922000000002,357.4217000000033,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2320.0,811.4914000000026,0.005343972403601889,4.909692737430153,5.497130043859644,NaN,1.1275264317180609,3.545372450804983,3.8023999999999996,912.0,1074.0,456.0,2048.0,1118.0,204.0,232,0,0,1,52,32.0,2048.0,21090.026900000015,617.8588,6722.4284,766,2,0,128,0.09124978095504055,0.6932172535426806,0.1478912848122771,0,5319.434399999979,5273.009999999985,52,0,0.0,0,0,0,0.0,0,0.0,250890.0268999984,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,232,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7955400070574719,384,15010.214799999983,128,235879.8120999998,4,-8734.0522,4,-4933.2516000000005,2,181.47949999999824,-7004.2026,12.640500000000001,300.0,0,0,456,456,3 + interest on deposits,debt,5,-2.3283064365386963e-10
3,512,4,4,31536.625899999777,0.0,31775.1829,0.0,8818.141,,0.0,8818.141,0.0,0.0,0.0,0.0,0.00375,0.0001,0.0,0.0,1.0,2544.826338547486,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.72974255392723,0.0,1047.0,1.0,0.0,1.0,0,0,0,0.2583304667785701,0,185.73418903947874,3.4228289088596338,189.15701794833836,3.76566934032656,3.400132308625611,7.165801648952171,3856.530899999957,3162.34990000002,4073.800899999966,0.0,0,0,0.0,0.0,254.6031,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,238.55699999999996,382.715,0.0,4,3994.8044,888.4926000000004,4125.0822,765.9093000000113,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1896.7492000000007,0.0,0.007677032928496124,4.82883203342614,5.46863698884756,NaN,1.3407895522388056,3.4440032563761376,3.6883279999999994,1076.0,1077.0,538.0,2046.6666666666667,1282.0,204.0,190,0,0,3,52,36.0,2048.0,22961.43699999987,1462.138,7113.0508,766,2,0,128,0.10112830588997435,0.6899562936539707,0.16128857271071184,0,7072.062200000004,5200.652099999953,52,0,0.0,0,0,0,0.0,0,0.0,252761.43699999974,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,190,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7921879235743248,384,15922.202199999969,128,236839.23479999992,4,-9439.1255,4,-4341.669199999999,2,237.49859999999887,-8818.1409,13.398930000000002,300.0,0,0,538,538,3 + interest on deposits,debt,5,-2.3283064365386963e-10
4,512,4,4,33018.35889999998,0.0,33303.837499999994,0.0,10817.8642,,0.0,10817.8642,0.0,0.0,0.0,0.0,0.00375,0.0001,0.0,0.0,1.0,2546.1405837942107,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.7272214928411576,0.0,511.0,0.0,0.0,1.0,0,0,0,0.2583177570093458,0,189.88828986295493,3.04910759567793,192.93739745863286,4.8727341400582285,3.045927961045302,7.91866210110353,3879.557999999926,3419.7647999999813,4533.594100000017,0.0,0,0,0.0,0.0,321.7138,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,285.4786,544.7738,0.0,10,2584.7225,1102.9895000000004,3856.7006,590.5092000000059,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1908.7334999999998,733.0791000000027,0.009076638929022086,5.461247570093461,5.4494063432835995,NaN,1.4424189138576775,3.308950517797759,3.5776781599999987,1072.0,1070.0,536.0,2044.0,1278.0,204.0,192,0,0,3,48,37.0,2048.0,22542.815899999994,2611.3849999999998,7864.157900000001,766,2,0,128,0.14066294757145537,0.6943408924196575,0.18478062081719093,0,5424.913800000019,5843.534900000003,48,0,0.0,0,0,0,0.0,0,0.0,252342.81589999984,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7793491906271692,384,15085.702399999996,128,237257.1135000001,4,-8019.8287,4,-3389.6021,2,284.4790000000004,-10817.8641,14.202865800000003,300.0,0,0,536,536,3 + interest on deposits,debt,5,-2.3283064365386963e-10
5,512,4,4,34407.713299999974,0.0,34723.6103,0.0,12708.7056,,0.0,12708.7056,0.0,0.0,0.0,0.0,0.00375,0.0,0.0,0.0,1.0,2802.0937310970644,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.7242418242189479,0.0,483.0,0.0,0.0,1.0,0,0,0,0.25548171901656047,0,168.72648727251928,2.649040802743034,171.3755280752623,5.204364241656425,2.624861166369234,7.82922540802566,4007.98100000009,3757.234699999963,4784.340399999854,0.0,0,0,0.0,0.0,340.3767,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,315.897,714.3172,0.0,15,2623.3077,1233.9532999999997,3629.756,965.3426999999947,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2081.2097999999933,0.0,0.010227090004147732,5.605922060164085,5.616629532710294,NaN,1.581294746716698,3.47589849471183,3.4703478152,1070.0,1097.0,535.0,2044.0,1276.0,204.0,192,0,0,1,63,48.0,2048.0,23693.787899999992,1858.5701000000004,8855.3553,766,2,0,128,0.16120452708375055,0.6936713890747541,0.15577803586261463,0,7300.668499999998,6149.696500000001,63,0,0.0,0,0,0,0.0,0,0.0,253493.7879000001,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7731389928063459,384,15445.899500000007,128,238047.8884,4,-8502.5938,4,-2197.444699999999,2,314.956199999999,-12708.7056,15.055037748000004,300.0,0,0,535,535,3 + interest on deposits,debt,5,-2.3283064365386963e-10
6,512,4,4,36034.52389999997,0.0,36372.214799999994,0.0,14828.3787,,0.0,14828.3787,0.0,0.0,0.0,0.0,0.00375,0.0001,0.0,0.0,1.0,2811.592888924777,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.721637315834913,0.0,484.0,0.0,0.0,1.0,0,0,0,0.2563412453266909,0,165.23438716008815,2.5501405589052792,167.78452771899342,5.891136306562477,2.5234572921527065,8.414593598715182,4065.8079000000025,3626.1655000000383,5223.982799999837,144.90869999999998,0,0,0.0,0.0,309.6041,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,337.6909,890.8006000000003,0.0,21,2991.9132,1365.1026000000002,4616.4915,755.4593999999989,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2071.6094999999996,621.0928000000009,0.011002061822801026,5.647110785241256,5.6439374999999705,NaN,1.7480883763837651,3.4928262843444298,3.3662373807439994,1088.0,1057.0,544.0,2046.6666666666665,1294.0,204.0,188,0,0,0,48,33.0,2048.0,23822.394799999984,2677.1735,9534.9555,766,2,0,128,0.1983527213763263,0.696795309295402,0.18689062472325224,0,6097.603000000012,5968.996100000008,48,0,0.0,0,0,0,0.0,0,0.0,253622.3948000001,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,188,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7621517040609733,384,14859.150700000007,128,238763.24410000013,4,-7413.9406,4,-1316.8845000000006,2,336.8088999999996,-14828.3786,15.958340012880004,300.0,0,0,544,544,3 + interest on deposits,debt,5,-2.3283064365386963e-10
7,512,1,4,50405.77709999997,0.0,43110.626,0.0,32437.9196,,0.0,32437.9196,0.0,0.0,0.0,0.0,0.00375,0.0,0.0,0.0,1.0,2878.244405748762,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.99609375,0.7017418921625658,0.0,449.0,2.0,0.0,1.0,1,0,0,0.2568880793694934,4,173.30526799597834,2.3660671173965775,175.67133511337494,6.935131324909477,2.3301745657193544,9.265305890628833,3947.432400000007,3740.750899999997,487.2863,0.0,4,0,1905.1585999999984,15464.201000000001,214.5996,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,325.66110000000003,1019.2039000000001,7570.0648,30,18630.3889,4259.1357,20985.041,807.0437000000128,0.0,0.0,0.0,0.0,0.0,0,15439.3576,0.0,0.0,0.0,0.0,2132.8207000000007,594.9955000000001,0.010627684922281003,5.634677543538035,5.689549438202244,NaN,1.936312429378532,3.542556847450426,3.2652502593216797,1068.0,1091.0,534.0,2048.0,1274.0,204.0,193,0,0,1,54,47.0,2048.0,24305.448799999995,314.9394,10346.0313,765,0,3,128,0.22734487959174698,0.7009365438850546,0.15391788912058613,0,6561.9890000000005,6147.433199999996,54,0,0.0,0,0,0,0.0,0,0.0,265630.5471000002,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,100.0,0.0615116015625,0,0,0.0,0,0.0,5120.0,0,0.0615116015625,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,193,0.0,0,1,0.0,0,0.0,628.9096,21.0032,313.9703592873834,0.0,313.9703592873834,0.0,0.0,1093.888,314.9394,0.7091007743513167,384,14697.16420000001,128,250933.3829,1,0.0,4,-304.8486999999991,2,9089.838600000001,-32437.9196,16.915840413652806,315.4851,0,4,40,534,3 + interest on deposits,debt,5,-2.3283064365386963e-10
8,512,1,4,54530.03640000007,0.0,47501.29512124096,0.0,34849.4662,,0.0,34849.4662,0.0,0.0,0.0,0.0,0.00375,0.0,0.0,0.0,1.0,2872.6083906549784,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.99609375,0.6901201440076707,3.0,947.0,3.0,0.0,1.0,1,0,0,0.2501587098925029,4,166.62412801770006,2.3078386243240145,168.93196664202407,8.054774998787861,2.2547259933514012,10.309500992139263,4051.4606000000317,487.2862999999999,4051.4606000000317,0.0,4,0,1905.1585999999984,15464.201000000001,300.943,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,541.3234000000001,1234.8661999999997,7570.0648,30,6324.149799999999,2199.8905,4194.4059,623.2528000000007,0.0,0.0,0.0,0.0,0.0,0,15276.637299999999,0.0,0.0,0.0,0.0,2128.830999999998,0.0,0.005723827516123088,5.600005555555554,5.662527509293718,NaN,2.00968355140187,3.5297327891942474,3.167292751542029,1076.0,1062.0,538.0,2046.6666666666667,1282.0,204.0,191,0,0,2,53,34.0,2048.0,25246.76269999997,0.0,14006.6364,765,3,0,128,0.25663108521873723,0.6997562258291101,0.13945141575208142,0,6889.086200000008,5947.205899999998,53,0,0.0,0,0,0,0.0,0,0.0,254726.1096000001,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,100.0,-0.25009598071112465,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,191,0.0,0,1,0.0,0,0.0,628.9096,20.6531,8842.895012801939,0.0,8842.895012801939,0.0,0.0,1130.8099,0.0,0.7018158865035726,384,14613.275700000006,128,240112.8339,1,0.0,4,3556.7164,2,8247.131621240955,-34849.4662,17.930790838471975,300.0,0,4,538,538,3 + interest on deposits,debt,5,-2.3283064365386963e-10
9,512,1,4,58841.43069999997,0.0,52048.687099999996,0.0,37262.9493,,0.0,37262.9493,0.0,0.0,0.0,0.0,0.00375,0.0001,0.0,0.0,1.0,2856.6778206087024,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.99609375,0.6902661348712698,0.0,954.0,2.0,0.0,1.0,1,0,0,0.25001592728662747,4,172.85517909441856,2.2043728131222102,175.05955190754077,9.374497352564488,2.1727881105626823,11.547285463127169,4251.0846,3512.9673000000066,4789.577899999991,0.0,4,0,1905.1585999999984,15464.201000000001,311.5598,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,779.8586000000001,1473.6056999999996,7570.0648,31,6850.3652,2538.9709000000007,4944.5560000000005,617.4402999999991,0.0,0.0,0.0,0.0,0.0,0,15012.4271,0.0,0.0,0.0,0.0,2117.477000000002,0.0,0.013576648706705932,5.581850506912442,5.993699999999996,NaN,1.9871035381750426,3.5965904613789617,3.0722739689957677,1080.0,1085.0,540.0,2045.3333333333333,1286.0,204.0,190,0,0,0,57,38.0,2048.0,26145.817900000016,2925.3871,14757.798499999999,765,3,0,128,0.28693744379293507,0.7021656400986038,0.14881941810262012,0,6955.9256999999825,6056.3078,57,0,0.0,0,0,0,0.0,0,0.0,261548.5656500002,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,100.0,-0.130303603515625,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,190,0.0,0,1,0.0,0,0.0,628.9096,20.303,6048.46737176571,0.0,6048.46737176571,0.0,0.0,545.2949,2925.3871,0.7031779275153929,384,14629.644999999991,128,246918.92065000001,1,0.0,4,4508.838500000001,2,8218.977900000002,-37262.9492,19.006638288780294,307.74255,0,4,540,540,3 + interest on deposits,debt,5,-2.3283064365386963e-10
10,512,1,4,60563.42100000003,0.0,54046.8492,0.0,39693.72,,0.0,39693.72,0.0,0.0,0.0,0.0,0.00375,0.0001,0.0,0.0,1.0,2870.704024832746,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9934895833333334,0.7100112276145112,0.0,430.0,2.0,0.0,1.0,1,0,0,0.25009468501451837,4,254.76330362648721,1.98745091933768,256.75075454582486,13.427851166977334,1.9370171563514487,15.364868323328784,4257.299400000005,3694.398899999989,5352.478400000042,0.0,4,0,1905.1585999999984,15464.201000000001,294.5821,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,1058.5678000000003,1752.5089999999996,7570.0648,33,4643.6534,2921.6630999999998,6862.881,626.2475000000005,0.0,0.0,0.0,0.0,0.0,0,14628.9341,0.0,0.0,0.0,0.0,2133.901400000004,1124.0485999999994,0.015,5.556992790262172,6.042803525046383,NaN,2.040105617977522,3.6899235723617254,2.9801057499258947,1078.0,1068.0,539.0,2048.0,1284.0,204.0,191,0,0,1,49,34.0,2048.0,27763.109400000016,2964.2253,15207.1521,763,5,0,128,0.3653390012772446,0.7197651941572916,0.3015329600262806,1,5963.0361,5934.8683,49,0,0.0,0,0,0,0.0,0,0.0,375545.2615000005,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,100.0,0.1872794531249999,0,0,0.0,0,0.0,5120.0,0,0.1872794531249999,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,191,0.0,0,1,0.0,0,0.0,628.9096,19.9529,6064.6078972788255,0.0,6064.6078972788255,0.0,0.0,550.1331,2964.2253,0.7181569698450776,384,14078.707099999985,128,361466.5544000001,1,0.0,4,5159.152099999999,2,8111.7155,-39693.719900000004,20.147036586107113,455.835,0,4,539,539,3 + interest on deposits,debt,5,-2.3283064365386963e-10
11,512,1,4,59593.27340000004,0.0,52001.68290000001,0.0,42134.4521,,0.0,42134.4521,0.0,0.0,0.0,0.0,0.00375,0.0002,0.0,0.0,1.0,2874.7995246722303,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9921875,0.7172223570210858,0.0,464.0,1.0,0.0,1.0,2,0,0,0.25009191051320107,4,331.76113323753617,2.000440305127104,333.76157354266326,14.945154478481212,1.9601469643990148,16.905301442880226,4118.921199999982,3700.7748999999885,456.38460000000003,0.0,5,0,3988.2701000000156,15464.201000000001,185.58939999999998,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,1307.4833,2001.4244999999992,8765.8636,36,5182.2733,6152.420900000001,7512.4393,632.5374,0.0,0.0,0.0,0.0,0.0,0,14103.4995,0.0,0.0,0.0,0.0,2141.2781000000036,436.44499999999994,0.015,5.571879428044273,6.0282249999999715,NaN,2.0534305660377403,3.7965204603400604,2.890702577428118,1072.0,1084.0,536.0,2046.6666666666667,1278.0,204.0,192,0,0,1,56,39.0,2048.0,29729.191199999983,0.0,15760.5825,762,0,6,128,0.3828110598119798,0.72598538003476,0.21629871506953502,0,7878.115999999989,6039.917299999992,56,0,0.0,0,0,0,0.0,0,0.0,484002.4821999996,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,100.0,0.0,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,1,0.0,0,0.0,687.6036,0.0,687.6035028407098,0.0,687.6035028407098,0.0,0.0,2677.2841,0.0,0.724346189841947,384,14379.03899999999,128,469623.4432,1,0.0,4,5913.5425,2,10088.430400000001,-42134.4519,21.35585878127354,596.1849,0,5,40,536,3 + interest on deposits,debt,5,-2.3283064365386963e-10
12,512,1,4,64526.29080000001,0.0,56793.230852687644,0.0,44545.7577,,0.0,44545.7577,0.0,0.0,0.0,0.0,0.00375,0.0001,0.0,0.0,1.0,2864.7821750837566,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9921875,0.6784307455212206,6.0,978.0,6.0,0.0,1.0,2,0,0,0.25003191963374494,4,173.7603332903447,2.0358878391252433,175.79622112946993,16.290279554967164,1.9726685960405734,18.262948151007738,4454.9142,456.3846000000002,4454.9142,0.0,5,0,3988.2701000000156,15464.201000000001,308.3145,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,1037.878699999999,2261.5351999999984,8765.8636,37,8083.852299999997,3150.8349,5537.1059,664.1537,0.0,529.7160999999999,0.0,0.0,0.0,0,13453.7991,0.0,0.0,0.0,0.0,2129.300800000005,436.44499999999994,0.015,5.614555358807084,6.383015584415591,NaN,2.0194208255159523,3.906933087618249,2.8039815001052744,1078.0,1073.0,539.0,2046.6666666666667,1284.0,204.0,191,0,0,2,57,33.0,2048.0,31542.166499999985,0.0,19530.3251,762,6,0,128,0.40038308122918753,0.7042100037731998,0.18599480130976342,0,7837.945099999984,6024.417900000001,57,0,0.0,0,0,0,0.0,0,0.0,260122.91379999972,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,100.0,-0.1526584477905549,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,191,0.0,0,1,0.0,0,0.0,687.6036,0.0,9459.370809652904,0.0,9459.370809652904,0.0,0.0,2683.5609999999997,0.0,0.7024955526700574,384,15152.334399999992,128,244970.57940000005,1,0.0,4,9884.2451,2,5720.209952687638,-44545.757600000004,22.637210308149953,300.0,0,5,539,539,3 + interest on deposits,debt,5,-2.3283064365386963e-10
13,512,1,4,68848.73029999997,0.0,61417.224700000006,0.0,46998.7182,,0.0,46998.7182,0.0,0.0,0.0,0.0,0.00375,0.0001,0.0,0.0,1.0,2855.632283705691,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9921875,0.6763686648363039,0.0,985.0,1.0,0.0,1.0,2,0,0,0.25000258156897437,4,173.2678019035453,2.135214567499428,175.40301647104474,17.501279036436035,2.0458697591412465,19.54714879557728,4433.7301000000225,3876.0477000000246,5012.596600000032,0.0,5,0,3988.2701000000156,15464.201000000001,301.6289,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,1345.839599999999,2570.6175000000003,8765.8636,38,7898.831399999999,3576.3918999999987,5976.2153,625.4014000000004,0.0,0.0,0.0,0.0,0.0,0,12937.0716,0.0,0.0,0.0,0.0,2114.511300000004,0.0,0.015,5.602455194805195,6.328500000000019,NaN,2.0815108614232227,3.824658066896748,2.719862055102116,1080.0,1078.0,540.0,2045.3333333333335,1286.0,204.0,189,0,0,3,54,36.0,2048.0,33178.65520000001,2836.9963,19896.007100000003,762,6,0,128,0.41400475318334395,0.7033730170484764,0.20492219855715899,0,7676.483699999967,6039.4467,54,0,0.0,0,0,0,0.0,0,0.0,261759.75259999992,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,100.0,-0.061917421874999976,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,189,0.0,0,1,0.0,0,0.0,687.6036,0.0,6763.6970392774065,0.0,6763.6970392774065,0.0,0.0,1989.7666,2836.9963,0.7024541434426004,384,15783.229499999996,128,245976.52309999985,1,0.0,4,10450.887099999998,2,5505.0956000000015,-46998.718100000006,23.99544292663895,300.0,0,5,540,540,3 + interest on deposits,debt,5,-2.3283064365386963e-10
