round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,26742.817199999983,0.0,3002.0499999999943,3002.0499999999943,2815.999999999994,,2815.999999999994,0.0,0.0,0.0,0.0,0.0,0.0025,119.531,8448.0,0.0,1.0,2816.0,5471.491733333332,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7225522797609063,0.0,672.0,1.0,0.0,1.0,0,0,0,0.8347107438016528,48,397.7192643137254,2.983705882352942,400.70297019607835,2.4187996078431366,2.140313725490196,4.5591133333333325,850.000000000002,0.0,850.000000000002,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,48,2560.0,242.46279999999976,3002.05,120.6645999999999,0.0,0.0,0.0,0.0,0.0,0,0.0,2560.0,242.46279999999976,120.6645999999999,274.0,0.0,0.0,0.0,5.0,5.200000000000013,2.0,0.75,3.1490347490347586,3.9200000000000013,320.0,88.0,160.0,2048.0,1554.0,1024.0,123,0,0,0,56,32.0,2048.0,18752.628599999993,1378.176,4119.784,767,1,0,128,0.11572843019574819,0.7225522797609063,0.30583432999067384,2,7493.802399999999,440.0,56,0,520.0,0,0,0,0.0,0,0.0,527065.4785999998,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1040.0,208.0,2372.6976,4,0.0,0.0,NaN,5120.0,100.0,0.13582369140625003,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,123,0.0,0,12,0.0,0,0.0,1200.0,0.0,1194.622400000001,0.0,1194.622400000001,0.0,0.0,1055.4899999999998,7870.657599999999,0.7286253562176979,384,15628.293800000021,128,511437.1848000002,4,0.0,4,343.20000000000005,2,248.16,-2696.468999999994,11.925,660.4,0,0,160,160,"G10-50 step 10, public employment 50 %",sumsy,6,-2.9103830456733704e-11
2,512,4,4,29019.080099999996,0.0,6090.040299999995,3097.2928,5116.4689999999955,,5116.4689999999955,0.0,0.0,0.0,0.0,0.0,0.0025,139.5635,7854.0,0.0,1.0,2420.0,5058.595433333334,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7193177722363726,0.0,966.0,0.0,0.0,1.0,0,0,0,0.2630066150600597,48,398.02586705882345,3.714242549019608,401.74010960784307,2.187260392156863,2.672099019607843,4.859359411764706,2505.7111999999925,850.0000000000022,2505.7111999999925,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-1.8605,0.0,48,2560.0,283.7371,3097.2928,141.1022,0.0,0.0,0.0,0.0,0.0,69,0.9024,2560.0,283.7371,141.1022,274.0,0.0,0.0,0.0015832514448460217,4.910042711234898,5.467497142857126,2.2024509202454,1.1236112334801776,3.273050048828117,3.802399999999999,910.0,1077.0,455.0,2048.0,2048.0,880.0,0,0,0,1,51,35.0,2048.0,19732.249399999993,799.8212,6661.779,767,1,0,128,0.10252465943438649,0.7193177722363726,0.11317618610073166,0,9679.73099999999,5288.115999999985,51,0,489.0,0,0,0,0.0,0,0.0,530074.5038999995,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1076.9985000000006,256.0,1684.7646,4,0.0,0.0,NaN,5120.0,100.0,0.14376942545572918,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,12,0.0,0,0.0,1200.0,0.0,9990.708752123603,0.0,9990.708752123603,0.0,0.0,1386.1626999999999,9146.3648,0.72495788218531,384,17425.628300000008,128,512648.8755999999,4,0.0,4,343.20000000000005,2,516.8244,-4976.905499999995,12.640500000000001,660.4,0,0,455,455,"G10-50 step 10, public employment 50 %",sumsy,6,-2.9103830456733704e-11
3,512,4,4,31251.898700000038,0.0,9671.551499999996,3630.6549999999997,6901.479599999996,,6901.479599999996,0.0,0.0,0.0,0.0,0.0,0.0025,160.5935,7160.574100000009,0.0,1.0,1924.5741000000087,4578.732466666672,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7167601292435379,0.0,1049.0,0.0,0.0,1.0,0,0,0,0.25476694740794664,48,406.2333132181235,4.143366177937819,410.3766793960613,1.9142062231392765,2.974910825574583,4.889117048713859,2943.8016000000043,2505.711200000011,2943.8016000000043,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-11.596225000000002,0.0,48,2560.0,327.18140000000005,3630.6549999999997,162.59049999999996,0.0,0.0,0.0,0.0,0.0,169,22.3858,2560.0,327.18140000000005,162.59049999999996,274.0,0.0,0.0,0.0014885289501851422,4.80684936479127,5.438292936802982,2.245437037037033,1.3343757914338918,3.277270834550663,3.688327999999999,1076.0,1102.0,538.0,2046.6666666666667,2046.6666666666667,712.6666666666666,0,0,0,1,60,54.0,2048.0,19860.31909999997,2374.854,7287.994,767,1,0,128,0.09224303614624096,0.7167601292435379,0.12439682893656401,0,9890.424199999972,5297.147999999979,60,0,540.0,0,0,0,0.0,0,0.0,533149.7858000002,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1212.5359999999978,256.0,1545.7523,4,0.0,0.0,NaN,5120.0,100.0,0.14809453776041667,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,12,0.0,0,0.0,1200.0,0.0,12508.556614525563,0.0,12508.556614525563,0.0,0.0,1717.6745,11208.6003,0.7221348090339166,384,19092.956799999993,128,514056.8289999996,4,0.0,4,343.20000000000005,2,788.5812000000001,-6740.886099999996,13.398930000000002,660.4,0,0,538,538,"G10-50 step 10, public employment 50 %",sumsy,6,-2.9103830456733704e-11
4,512,4,4,33439.95960000006,0.0,12142.176399999993,2612.0510000000004,8609.153699999993,,8609.153699999993,0.0,0.0,0.0,0.0,0.0,0.0025,182.7766,6771.631275000009,0.0,1.0,1868.2676000000029,4301.179816666672,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.7130654846830671,0.0,1052.0,2.0,0.0,1.0,0,0,0,0.2539609066172924,48,399.19204265515606,4.4406615553257485,403.63270421048185,2.159785942600537,3.0417645347210787,5.201550477321615,2953.6185999999934,2943.8016000000152,2953.6185999999934,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-39.29705000000001,0.0,48,2560.0,371.93909999999977,2612.051,184.90469999999996,0.0,0.0,0.0,0.0,0.0,260,33.4119,2560.0,371.93909999999977,184.90469999999996,274.0,0.0,0.0,0.0012317605776368174,5.0357789868667755,5.426282070240283,2.2270990740740726,1.432106122448981,3.2194903516850757,3.5776781599999983,1082.0,1066.0,541.0,2046.6666666666665,2046.6666666666665,706.6666666666666,0,0,0,1,58,39.0,2048.0,21160.367800000025,2727.7142,7560.2389,766,2,0,128,0.08681126466304279,0.7130654846830671,0.13238545049042827,0,9800.741999999993,5368.140399999983,58,0,540.0,0,0,0,0.0,0,0.0,515411.3518000003,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1202.6334999999992,256.0,1775.4502,4,0.0,0.0,NaN,5120.0,100.0,0.15946379231770832,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,12,0.0,0,0.0,1200.0,0.0,12083.60317581481,0.0,12083.60317581481,0.0,0.0,1951.5406,12063.403300000002,0.7182946743973211,384,20511.474799999993,128,494899.8770000001,4,0.0,4,343.20000000000005,2,1064.6442,-8426.377099999994,14.202865800000003,633.5374,0,0,541,541,"G10-50 step 10, public employment 50 %",sumsy,6,-2.9103830456733704e-11
5,512,4,4,35584.28839999992,0.0,14424.172199999986,2468.640800000001,10383.614099999986,,10383.614099999986,0.0,0.0,0.0,0.0,0.0,0.0025,204.4526,6591.64722000001,0.0,1.0,1957.237000000004,4163.08663333334,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.99609375,0.7119650812667675,0.0,1051.0,1.0,0.0,1.0,0,0,0,0.25732623381762676,48,390.02341636359915,4.3543530923633185,394.3777694559625,2.377413008357065,2.9235119019950453,5.30092491035211,2981.3904999999936,2953.618599999995,2981.3904999999936,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-74.626775,0.0,48,2560.0,415.6712000000001,2468.6408,206.70790000000008,0.0,0.0,0.0,0.0,0.0,331,33.2022,2560.0,415.6712000000001,206.70790000000008,274.0,0.0,0.0,0.004980713945214573,5.3936196428571455,5.477616451016624,2.198632812499999,1.5638977695167275,3.238780016072737,3.4703478152,1082.0,1064.0,541.0,2046.6666666666667,2046.6666666666667,706.6666666666666,0,0,0,3,57,25.0,2048.0,22166.16539999999,2713.0137,8192.2083,765,3,0,128,0.08195609604486398,0.7119650812667675,0.12719666653889883,0,9889.108800000016,5738.811300000003,57,0,640.0,0,0,0,0.0,0,0.0,528134.3625999999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1407.1249999999995,256.0,2275.2462,4,2.9891,2.9892,NaN,5120.0,100.0,0.18035182617187498,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,12,0.0,0,0.0,1200.0,0.0,10873.73010839857,0.0,10873.73010839857,0.0,2.9891,2023.7701000000006,13180.468200000003,0.7171473027651674,384,21696.460800000004,128,506437.9018,4,0.0,4,343.1999999999998,2,1334.7256000000002,-10179.161499999986,15.055037748000004,646.9687,0,0,541,541,"G10-50 step 10, public employment 50 %",sumsy,6,-2.9103830456733704e-11
6,512,4,4,37686.17909999999,0.0,16829.014199999983,2626.196,12279.443399999984,,12279.443399999984,0.0,0.0,0.0,0.0,0.0,0.0025,225.42,6543.180300000007,0.0,1.0,2100.2818999999977,4113.011283333339,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.7111753234446834,0.0,1048.0,1.0,0.0,1.0,0,0,0,0.25862116092264276,48,372.499685302903,4.2090007310159745,376.708686033919,2.3520450299661233,2.8878400435487044,5.239885073514827,2994.4697999999944,2981.3904999999936,2994.4697999999944,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-115.03237499999993,0.0,48,2560.0,458.10929999999996,2626.196,227.84360000000007,0.0,0.0,0.0,0.0,0.0,386,36.1053,2560.0,458.10929999999996,227.84360000000007,274.0,0.0,0.0,0.0051119557272456635,5.480116358595202,5.522207421150268,2.197529256198346,1.7335229906542062,3.2532584909956777,3.3662373807439985,1078.0,1082.0,539.0,2044.0,2044.0,708.0,0,0,0,0,50,33.0,2048.0,23288.279599999998,2698.9688,9019.3747,764,4,0,128,0.08106126177333617,0.7111753234446834,0.12170890967316006,0,9973.63199999998,5929.485900000009,50,0,605.0,0,0,0,0.0,0,0.0,540781.7644000014,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1329.5051999999994,256.0,2418.0307,4,3.1067,3.1064,NaN,5120.0,100.0,0.19903000325520837,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,12,0.0,0,0.0,1200.0,0.0,10211.351918925524,0.0,10211.351918925524,0.0,3.1067,2019.5072000000002,14136.374199999998,0.7161970720953856,384,22689.793400000013,128,518091.97099999996,4,0.0,4,343.20000000000005,2,1607.8724000000002,-12054.023399999984,15.958340012880004,660.4,0,0,539,539,"G10-50 step 10, public employment 50 %",sumsy,6,-2.9103830456733704e-11
7,512,4,4,39745.775900000015,0.0,19289.146799999984,2718.0048,14206.072899999985,,14206.072899999985,0.0,0.0,0.0,0.0,0.0,0.0025,246.3596,6530.747185714292,0.0,1.0,2152.0494999999974,4087.0352190476233,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9934895833333334,0.7107088339512517,0.0,1046.0,1.0,0.0,1.0,0,0,0,0.2593187177919469,48,375.6942758760323,4.272880325948327,379.96715620198063,2.4333750524215043,3.0350470128662295,5.468422065287734,2999.368600000003,2994.46980000001,2999.368600000003,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-160.5278749999998,0.0,48,2560.0,500.40319999999997,2718.0048,248.9211,0.0,0.0,0.0,0.0,0.0,433,39.120400000000004,2560.0,500.40319999999997,248.9211,274.0,0.0,0.0,0.004661112499520276,5.465946261682246,5.54157732342008,2.1853185937500004,1.9079992495309575,3.246267819345871,3.26525025932168,1076.0,1070.0,538.0,2048.0,2048.0,714.0,0,0,0,3,50,32.0,2048.0,24609.605199999976,2681.1702,9702.9142,763,5,0,128,0.08052762900161725,0.7107088339512517,0.1271572309538369,0,10034.492600000036,5848.562500000004,50,0,640.0,0,0,0,0.0,0,0.0,554576.9719499995,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1398.6039000000003,256.0,2466.6063,4,4.9324,4.9323999999999995,NaN,5120.0,100.0,0.2139332609049479,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,12,0.0,0,0.0,1200.0,0.0,9860.079114671149,0.0,9860.079114671149,0.0,4.9324,2210.6010000000006,14850.690700000001,0.7153572244724025,384,23576.76409999998,128,531000.2078499999,4,0.0,4,403.52779999999984,2,1882.0007999999996,-13959.713299999985,16.915840413652806,675.28855,0,0,538,538,"G10-50 step 10, public employment 50 %",sumsy,6,-2.9103830456733704e-11
8,512,4,4,41764.14349999996,0.0,20991.605999999985,1999.9003999999998,16112.206199999984,,16112.206199999984,0.0,0.0,0.0,0.0,0.0,0.0025,266.7409,6521.588625000005,0.0,1.0,2152.4929000000025,4063.53801666667,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9934895833333334,0.7096694198330313,0.0,1042.0,0.0,0.0,1.0,0,0,0,0.2503308938512542,48,377.78689199269036,4.398059855080023,382.1849518477703,2.743017325147141,3.0868059945180915,5.829823319665232,2978.984300000007,2999.3685999999907,2978.984300000007,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-211.35809999999952,0.0,48,2560.0,541.6324000000002,1999.9004,269.4581999999999,0.0,0.0,0.0,0.0,0.0,472,42.2582,2560.0,541.6324000000002,269.4581999999999,274.0,0.0,0.0,0.004736442097515489,5.441822557077629,5.534550093457957,2.2347310937499993,1.9587388679245277,3.217321724323418,3.167292751542029,1070.0,1095.0,535.0,2044.0,2044.0,716.0,0,0,0,2,54,51.0,2048.0,25856.255100000024,2672.0922,10464.5399,763,5,0,128,0.0831641546819668,0.7096694198330313,0.1328291232385248,0,9957.923499999977,5958.795700000003,54,0,640.0,0,0,0,0.0,0,0.0,556732.5934500006,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1430.2278999999996,256.0,2462.2572,4,5.0307,5.030800000000001,NaN,5120.0,100.0,0.2294259806315104,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,12,0.0,0,0.0,1200.0,0.0,9271.334484944291,0.0,9271.334484944291,0.0,5.0307,2396.2439999999992,15598.889299999999,0.7138639186826101,384,24356.438899999986,128,532376.1545500002,4,0.0,4,489.7783999999997,2,2158.6213,-15845.465299999983,17.930790838471975,675.28855,0,0,535,535,"G10-50 step 10, public employment 50 %",sumsy,6,-2.9103830456733704e-11
9,512,4,4,43742.06599999999,0.0,23340.066499999994,2650.5901,17974.485899999992,,17974.485899999992,0.0,0.0,0.0,0.0,0.0,0.0025,286.845,6506.641200000004,0.0,1.0,2129.0205999999985,4036.3865111111136,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9921875,0.7091301695085985,0.0,1045.0,1.0,0.0,1.0,0,0,0,0.2584448760811473,48,388.63547766233427,4.552715805921496,393.1881934682558,3.1599190247550872,3.3018982021524113,6.461817226907499,2998.7070999999933,2978.984300000009,2998.7070999999933,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-260.1515999999996,0.0,48,2560.0,582.077500000001,2650.5901,289.6408000000002,0.0,0.0,0.0,0.0,0.0,504,41.7756,2560.0,582.077500000001,289.6408000000002,274.0,0.0,0.0,0.006370485478396832,5.399252253116012,5.540347769516716,2.2928234375,1.9464073308270684,3.2121948558086557,3.0722739689957668,1076.0,1043.0,538.0,2045.3333333333333,2045.3333333333333,711.3333333333333,0,0,0,1,45,26.0,2048.0,27454.205000000005,2626.4185,10891.2693,762,6,0,128,0.09069790771805253,0.7091301695085985,0.12951620855865342,0,9916.132199999982,5631.420100000001,45,0,640.0,0,0,0,0.0,0,0.0,570485.3230999999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1467.4070000000002,256.0,2441.5526,4,5.1289,5.1288,NaN,5120.0,100.0,0.23982295572916665,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,12,0.0,0,0.0,1200.0,0.0,8991.345594067705,0.0,8991.345594067705,0.0,5.1289,2473.3986,15959.2404,0.7130633026919078,384,25314.72420000001,128,545170.5988999999,4,0.0,4,591.9913999999999,2,2434.0651,-17687.64089999999,19.006638288780294,690.1771,0,0,538,538,"G10-50 step 10, public employment 50 %",sumsy,6,-2.9103830456733704e-11
10,512,4,4,45680.3328,0.0,25615.195899999995,2616.6744,19827.732599999996,,19827.732599999996,0.0,0.0,0.0,0.0,0.0,0.0025,306.6829,6498.004590000007,0.0,1.0,2140.091700000007,4013.644946666671,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9908854166666666,0.7074839173571414,0.0,1040.0,1.0,0.0,1.0,0,0,0,0.2585893443312852,48,385.77401698357033,4.722025507889765,390.4960424914602,3.8773675154806337,3.71143713141996,7.588804646900593,2982.653499999996,2998.707099999993,2982.653499999996,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-313.80712499999925,0.0,48,2560.0,621.733199999999,2616.6744,309.47119999999967,0.0,0.0,0.0,0.0,0.0,530,44.4871,2560.0,621.733199999999,309.47119999999967,274.0,0.0,0.0,0.0047720181020442995,5.333257981651378,5.551785580524337,2.3430717187499996,1.9337650853889934,3.189936458335548,2.9801057499258943,1068.0,1090.0,534.0,2046.6666666666667,2046.6666666666667,720.6666666666666,0,0,0,2,51,43.0,2048.0,29411.569199999994,2612.0326999999997,10866.9691,761,7,0,128,0.10158073610090623,0.7074839173571414,0.12942671455538246,0,9818.009099999967,5813.2512000000015,51,0,640.0,0,0,0,0.0,0,0.0,563025.5905000005,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1499.5658999999998,256.0,2438.5918,4,5.2273,5.227200000000001,NaN,5120.0,100.0,0.24209166992187503,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,12,0.0,0,0.0,1200.0,0.0,8835.026038022721,0.0,8835.026038022721,0.0,5.2273,2960.4326,15917.593599999998,0.7106551598736872,384,26040.83810000002,128,536984.7523999996,4,0.0,4,1336.4544999999998,2,2711.8994000000002,-19521.049699999996,20.147036586107113,677.7117000000001,0,0,534,534,"G10-50 step 10, public employment 50 %",sumsy,6,-2.9103830456733704e-11
11,512,4,4,47579.91010000003,0.0,27814.07439999999,2578.5948,21619.33689999999,,21619.33689999999,0.0,0.0,0.0,0.0,0.0,0.0025,326.1096,6479.537045454549,0.0,1.0,2098.2871999999925,3984.611018181821,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.706537865769429,0.0,1041.0,2.0,0.0,1.0,0,0,0,0.2592002920383409,48,395.55382091151176,4.991076766130456,400.5448976776422,4.152749113044671,4.205720082030084,8.358469195074756,2999.1122999999875,2982.6535000000026,2999.1122999999875,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-371.6817249999993,0.0,48,2560.0,660.4226999999995,2578.5948,328.8437999999995,0.0,0.0,0.0,0.0,0.0,542,46.8868,2560.0,660.4226999999995,328.8437999999995,274.0,0.0,0.0,0.007556901370869208,5.263596387832698,5.5617766791044545,2.4155440624999986,1.934628598484847,3.1655589953949286,2.8907025774281183,1072.0,1052.0,536.0,2045.3333333333335,2045.3333333333335,715.3333333333333,0,0,0,2,43,30.0,2048.0,31569.879700000027,2563.5271,10650.6379,760,8,0,128,0.10351830673683837,0.706537865769429,0.13124738010570303,0,9721.803999999967,5537.303399999999,43,0,640.0,0,0,0,0.0,0,0.0,570938.4738999999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1545.9481999999991,256.0,2422.8689999999997,4,5.3257,5.3256,NaN,5120.0,100.0,0.2429110498046875,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,12,0.0,0,0.0,1200.0,0.0,9108.438320797462,0.0,9108.438320797462,0.0,5.3257,3533.6563000000006,15637.034,0.7091314098100772,384,26995.279700000003,128,543943.1942000003,4,0.0,4,2022.6850999999997,2,2989.2791000000007,-21293.22729999999,21.35585878127354,685.2698,0,0,536,536,"G10-50 step 10, public employment 50 %",sumsy,6,-2.9103830456733704e-11
12,512,4,4,49441.57150000008,0.0,29944.05769999999,2549.0494000000003,23381.46919999999,,23381.46919999999,0.0,0.0,0.0,0.0,0.0,0.0025,345.0604,6461.6361000000015,0.0,1.0,2088.241899999995,3956.2414750000007,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.98828125,0.705414266261039,0.0,1037.0,1.0,0.0,1.0,0,0,0,0.25714629834491143,48,398.96960683135444,5.1316501691801415,404.10125700053453,4.698200536369668,4.435285352568021,9.13348588893769,2981.8339999999953,2999.112300000009,2981.8339999999953,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-433.6278249999991,0.0,48,2560.0,698.3385999999998,2549.0494,347.8009000000004,0.0,0.0,0.0,0.0,0.0,551,49.219,2560.0,698.3385999999998,347.8009000000004,274.0,0.0,0.0,0.008271717934962534,5.20634368755677,5.560664165103181,2.4928143749999983,1.9193580152671763,3.1344613462839828,2.8039815001052735,1066.0,1101.0,533.0,2045.3333333333333,2045.3333333333333,721.3333333333334,0,0,0,0,61,46.0,2048.0,33399.40359999999,2545.2722999999996,10697.0494,759,9,0,128,0.11409948594533126,0.705414266261039,0.1349173978679583,0,9604.813199999982,5732.184400000004,61,0,640.0,0,0,0,0.0,0,0.0,568992.3320000006,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1595.4011999999989,256.0,2405.5668,4,5.424,5.424000000000003,NaN,5120.0,100.0,0.2475351969401042,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0,12,0.0,0,0.0,1200.0,0.0,8893.470514601582,0.0,8893.470514601582,0.0,5.424,3846.668299999999,15647.8885,0.707440816294262,384,27664.53910000001,128,541327.7928999999,4,0.0,4,2644.5781999999995,2,3267.7467,-23036.40879999999,22.637210308149953,680.3625,0,0,533,533,"G10-50 step 10, public employment 50 %",sumsy,6,-2.9103830456733704e-11
