round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,21556.726,0.0,21654.219999999998,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.751942270349131,0.0,512.0,1.0,0.0,1.0,0,0,0,0.8182047721247316,0,337.2468235294117,2.513254901960784,339.76007843137245,3.2477254901960793,2.328470588235294,5.576196078431373,832.000000000002,0.0,832.000000000002,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,97.494,97.494,0.0,1,0.0,422.47400000000005,186.05,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,193.88999999999984,0.005,5.0,5.200000000000013,NaN,0.75,3.9199999999999995,3.920000000000001,320.0,89.0,160.0,2048.0,322.0,0.0,431,0,0,0,55,34.0,2048.0,16663.00000000002,959.5740000000001,3934.152,767,1,0,128,0.10841684936310991,0.7246593728176982,0.8428215913396762,0,1187.5999999999995,445.0,55,0,0.0,0,0,0,0.0,0,0.0,446489.80000000086,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,431,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7942267415920523,384,12091.600000000013,128,434398.20000000077,4,-8277.606,4,-7922.487999999999,2,97.4940000000006,0.0,11.925,560.4,0,0,160,160,1 + planning margin,debt,6,-1.3642420526593924e-12
2,512,4,4,21166.005899999956,0.0,21329.239999999998,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7543142121391762,0.0,512.0,0.0,0.0,1.0,0,0,0,0.26347929133096554,0,338.64533450980394,1.4586564705882352,340.10399098039215,3.7113882352941174,1.3344196078431374,5.045807843137255,2515.3966,832.000000000002,2515.3966,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,163.2341,215.3131,0.0,5,52.079,442.79909999999995,1178.2103,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1178.2102999999936,0.004644305364841474,4.909860594795525,5.516220614035088,NaN,1.1233870329670343,3.607795842450731,3.8023999999999996,912.0,1076.0,456.0,2048.0,914.0,0.0,283,0,0,1,51,36.0,2048.0,14204.336199999952,463.3941,6498.275600000001,767,1,0,128,0.2061561606811031,0.730858774135781,0.6275376782886071,6,2824.346199999999,5283.009999999985,51,0,0.0,0,0,0,0.0,0,0.0,444031.13620000257,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,283,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7910226521295025,384,9908.3039,128,434122.8323000004,4,-8649.765899999999,4,-5157.4044,2,163.23409999999967,0.0,12.640500000000001,560.4,0,0,456,456,1 + planning margin,debt,6,-1.3642420526593924e-12
3,512,4,4,22108.60180000001,0.0,22305.059,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7554540962649923,0.0,913.0,1.0,0.0,1.0,0,0,0,0.2584908593758921,0,332.05701854680314,1.322605140689445,333.37962368749254,4.094636242537177,1.3027459450014254,5.397382187538604,2937.391300000001,2515.396599999996,2937.391300000001,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,196.4572,324.8133,0.0,6,1419.8426,477.2467,1943.9159999999997,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,600.3505000000001,0.007786540945441348,5.611414620431114,5.4802076492537335,NaN,1.3367990654205602,3.307835661080091,3.6883279999999994,1072.0,1067.0,536.0,2046.6666666666665,1074.0,0.0,243,0,0,1,55,25.0,2048.0,13063.625999999997,1119.178,7925.7978,767,1,0,128,0.22213086646081326,0.7329032418200934,0.41578365765244163,7,4845.662799999988,5987.379399999999,61,6,0.0,0,0,0,0.0,0,0.0,426137.60270000034,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,243,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7908531308786348,384,8468.225099999998,128,417669.3776,4,-9191.5953,4,-3528.9221999999995,2,196.45720000000074,0.0,13.398930000000002,538.5593,0,0,536,536,1 + planning margin,debt,6,-1.3642420526593924e-12
4,512,4,4,22234.259300000016,0.0,22451.951499999996,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7583041637979446,0.0,664.0,2.0,0.0,1.0,0,0,0,0.26185864325068875,0,277.3379877418721,0.4927374126840409,277.83072515455615,4.680524520476863,0.4864243004668304,5.166948820943693,3038.71279999999,2937.391300000003,3038.71279999999,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,217.6922,439.867,0.0,9,675.635,549.9775000000001,1364.0234999999998,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,782.2071999999993,0.008718655161068095,5.772132291666664,5.658683054003705,NaN,1.4351839552238823,3.273155855018552,3.5776781599999987,1074.0,1056.0,537.0,2046.6666666666667,1076.0,0.0,243,0,0,2,45,14.0,2048.0,11077.513899999989,2045.3549000000003,9111.3905,767,1,0,128,0.34263424925958064,0.738040994284614,0.5287819643856435,92,4109.317599999982,6095.371699999997,50,5,0.0,0,0,0,0.0,0,0.0,403514.75394999987,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,243,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7903557604648912,384,6231.340399999996,128,397283.41355,4,-8640.22705,4,-2142.3695000000002,2,217.69220000000132,0.0,14.202865800000003,511.65345,0,0,537,537,1 + planning margin,debt,6,-1.3642420526593924e-12
5,512,4,4,22018.553899999988,0.0,22248.520300000004,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.7584876271823928,0.0,653.0,1.0,0.0,1.0,0,0,0,0.303172255095332,0,272.3247702186892,0.04609096323710277,272.3708611819263,7.258235598466218,0.04396699876399665,7.302202597230214,3003.708499999996,3038.7127999999902,3003.708499999996,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,229.9664,557.2577,0.0,13,365.69989999999996,581.4053,2684.4153,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,2423.8318,0.010175061197773533,5.737685149572648,5.710472433460069,NaN,1.5714233716475108,3.2943860531309483,3.4703478152,1052.0,936.0,526.0,2045.3333333333333,1054.0,0.0,248,13,13,95,36,11.0,2035.0,10327.174799999997,2192.9701,9498.409,764,4,0,128,0.5253938594125469,0.7425925722943134,0.6696109904403353,207,2650.9412999999995,5370.473299999999,56,20,0.0,0,0,13,0.0,0,0.0,405099.27940000047,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,248,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7844749164063167,384,4525.887299999999,128,400573.3921000001,4,-6934.969999999999,4,-1554.3909999999992,2,229.96639999999934,0.0,15.055037748000004,516.7186,0,0,526,526,1 + planning margin,debt,6,-1.3642420526593924e-12
6,512,4,4,21535.065600000027,0.0,21771.6865,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0.9921875,0.7620383189279942,0.0,128.0,0.0,0.0,1.0,0,0,0,0.4086261901356335,0,275.4016979252748,0.03711700463215062,275.43881492990687,10.482879111692185,0.03537790060109512,10.518257012293281,2627.5885000000158,3003.708499999981,2627.5885000000158,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,236.6209,674.6219000000002,0.0,18,110.9197,594.408,2051.3256,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1430.2955000000002,0.00980827800498898,5.4637872817955175,5.662906250000034,NaN,1.736402620087337,3.293595913978509,3.3662373807439994,928.0,802.0,464.0,1908.3333333333367,929.9999999999993,0.0,265,82,75,101,27,13.0,1965.0,12156.892999999978,241.7499,9136.4227,762,6,0,128,0.6360334200870141,0.7445930256477298,0.6138327564007167,218,4851.852900000015,4381.957400000005,60,33,0.0,0,0,82,0.0,0,0.0,405895.40069999994,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,265,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7900893666167228,384,3834.0876,128,402061.31309999997,4,-7576.719499999999,4,-1715.4172999999998,2,236.6208999999999,0.0,15.958340012880004,516.7186,0,0,464,464,1 + planning margin,debt,6,-1.3642420526593924e-12
7,512,4,4,21062.91550000003,0.0,21300.2083,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9921875,0.7615938109853615,0.0,130.0,1.0,0.0,1.0,0,0,0,0.48998116631263916,0,290.66121431369936,0.048821087911758376,290.7100354016111,10.885847100846641,0.048821087911758376,10.9346681887584,2219.8924999999986,2627.5885000000217,2219.8924999999986,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,237.2928,789.2746999999999,0.0,24,113.98089999999999,586.1310000000001,2420.3274,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1712.244900000001,0.010764226210041502,5.472342228739002,5.549731249999996,NaN,1.9278593908629458,3.1969066084788245,3.2652502593216792,800.0,682.0,400.0,1832.666666666669,801.9999999999998,0.0,288,162,151,55,16,12.0,1842.0,11466.232599999994,866.4504999999999,8730.2324,762,6,0,128,0.6558234674452375,0.7455269768543564,0.606555209667837,241,3041.546299999997,3732.1373999999996,38,22,0.0,0,0,162,0.0,0,0.0,407064.4621,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,288,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7886107889478062,384,3350.413200000002,128,403714.04889999994,4,-6666.9185,4,-1920.6475999999989,2,237.29279999999926,0.0,16.915840413652806,519.1591000000001,0,0,400,400,1 + planning margin,debt,6,-1.3642420526593924e-12
8,480,4,4,20587.82450000001,0.0,20822.894799999995,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9921875,0.7461499299204588,0.0,130.0,0.0,0.0,1.0,0,0,0,0.5000047337278106,0,291.4728931787855,0.08676586371123424,291.5596590424968,11.942202826812684,0.08570751128651732,12.0279103380992,1898.4355999999975,2219.8925,1898.4355999999975,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,235.0703,901.2626999999998,0.0,28,114.2105,589.3015,1611.2206,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,789.0373999999995,0.01067720329551589,5.263442769230767,5.583634117647051,NaN,1.9548727544910156,3.0512649560117415,3.167292751542029,680.0,650.0,340.0,1709.3333333333346,618.6666666666666,0.0,296,155,135,66,25,13.0,1708.0,11702.080100000003,230.94709999999998,8654.7973,762,6,0,128,0.6750924596837269,0.7299900139301199,0.6597513297907289,261,3309.6561000000033,3421.237799999998,56,31,0.0,0,0,155,0.0,0,0.0,407300.3201000004,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,296,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7741553769713401,352,3001.0695999999975,128,404299.2505000002,4,-7026.078899999999,4,-1795.1227000000006,2,235.0702999999994,0.0,17.930790838471975,519.1591000000001,32,0,340,340,1 + planning margin,debt,6,-1.3642420526593924e-12
9,468,4,4,20046.30550000001,86.83229999999999,20361.9604,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,0.9921875,0.7403288191677639,0.0,132.0,2.0,0.0,1.0,0,0,0,0.508526918436641,0,299.8685501729752,0.05222615192267053,299.9207763248978,13.0316004155485,0.05070037280509812,13.0823007883536,1583.6939999999963,1898.4355999999955,1583.6939999999963,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,228.82260000000002,1008.3076999999997,0.0,33,113.2927,567.9794,1476.4613,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,1085.5982000000026,0.011510261383017835,5.15048962432916,5.479910034602064,NaN,1.9409416961130723,2.964271091954003,3.072273968995767,578.0,559.0,289.0,1606.3333333333342,557.3333333333334,0.0,285,187,148,87,12,8.0,1598.0,10708.11460000001,794.6406999999999,8543.5502,762,6,0,128,0.7489067761927048,0.7256310522667977,0.82137840012408,324,1828.9231999999993,2879.1237000000006,43,31,0.0,0,0,187,0.0,0,0.0,400587.05979999964,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,285,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.767070179603689,340,1868.3866999999996,128,398718.6731000001,4,-6247.4553,4,-1705.4097999999994,2,228.82260000000133,0.0,19.006638288780294,511.65345,12,0,289,289,1 + planning margin,debt,6,-1.3642420526593924e-12
10,405,4,4,19527.801600000003,139.49270000000004,19894.420400000003,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.6968680859130147,0.0,134.0,1.0,0.0,1.0,0,0,0,0.5692456621899812,0,303.820874399648,0.04028743190158866,303.86116183154957,15.220681569708166,0.03979864342056577,15.260480213128732,1440.6850999999988,1583.6940000000018,1440.6850999999988,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,227.1261,1117.2451000000003,0.0,39,110.63390000000001,576.4774,1685.8043999999998,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,1164.620399999998,0.011601173672330649,5.013656435643564,5.3958243445692835,NaN,1.89227142857143,2.7987981965174105,2.9801057499258943,534.0,404.0,267.0,1391.0000000000002,420.66666666666663,0.0,258,205,176,71,15,10.0,1307.0,11335.797400000001,173.8354,8018.1688,760,8,0,128,0.7288686512671183,0.6834196970319588,0.8042260256923544,234,1120.8834999999997,2025.5172,49,34,0.0,0,0,205,0.0,0,0.0,396341.9322,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,258,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7248913703639939,277,2308.5398999999993,128,394033.39230000007,4,-5618.905400000001,4,-2029.8311999999999,2,227.12609999999768,0.0,20.147036586107113,506.5883,63,0,267,267,1 + planning margin,debt,6,-1.3642420526593924e-12
11,337,4,4,19110.03580000001,139.49270000000004,19468.990700000002,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.6324143808192364,0.0,133.0,1.0,0.0,1.0,0,0,0,0.4612809917355372,0,311.0306105086468,0.05826996563991599,311.0888804742867,15.397293804907763,0.05718000146855738,15.454473806376319,1085.1230999999987,1440.6851000000001,1085.1230999999987,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,219.4622,1219.1486000000002,0.0,46,109.56739999999999,527.3332,1562.2830999999999,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,688.6150999999988,0.01151990225995323,5.012873181818179,5.345433990147777,NaN,1.8642225641025625,2.7458308823529327,6.65186160163827,406.0,440.0,203.0,1093.9999999999993,285.0,0.0,235,140,113,36,23,15.0,1113.0,11089.8924,0.0,8020.143399999999,760,8,0,128,0.6643417722892742,0.6205050522031732,0.7415334497940367,144,1151.1611999999996,2205.664199999999,50,27,0.0,0,0,140,0.0,0,0.0,393920.66399999964,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,235,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6642247963625829,209,2265.5249999999983,128,391655.139,4,-5591.2311,4,-1826.896600000001,2,219.46219999999994,0.0,21.35585878127354,503.7259,68,0,203,203,1 + planning margin,debt,6,-1.3642420526593924e-12
12,275,4,4,16739.725000000002,139.49270000000004,17069.083300000002,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.5465159493235623,0.0,134.0,0.0,0.0,1.0,0,0,0,0.3369199423090131,4,311.344631148166,0.06664021140272787,311.41127135956873,15.291182907301,0.06650698298887542,15.357689890289874,1145.9654000000012,1085.123100000001,1145.9654000000012,0.0,1,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,189.86560000000003,1296.3904000000005,0.0,53,586.0139999999997,2956.3248000000003,1561.2392000000002,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,897.0796000000008,0.01158208385445212,4.969148803827751,5.305395370370376,NaN,1.8272995192307693,2.753844700460841,13.205499734840098,432.0,418.0,216.0,965.6666666666665,319.3333333333333,0.0,164,64,57,19,10,6.0,993.0,10260.63020000001,103.98570000000001,6375.1091,760,8,0,128,0.6118380047544172,0.5362940152711053,0.7600642016618893,95,836.8744000000003,2077.1041999999998,27,17,0.0,0,0,64,0.0,0,0.0,393091.46259999956,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,164,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.580536408847657,147,2009.5383999999988,128,391081.92419999995,4,-2971.2202999999995,4,-3588.1094,2,189.8656000000001,0.0,22.637210308149953,503.7259,62,0,216,216,1 + planning margin,debt,6,-1.3642420526593924e-12
13,243,4,4,16415.779899999998,288.8624,16903.4117,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.4853128316869224,0.0,134.0,0.0,0.0,1.0,0,0,0,0.25015752993068685,4,315.0736082896083,0.13402781702847005,315.20763610663676,16.011381135412787,0.11119107553679781,16.122572210949585,1093.860200000001,1145.9654000000007,1093.860200000001,0.0,1,1,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,198.76940000000002,1399.3489000000004,0.0,59,303.0258,477.60119999999995,1208.962,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,535.2014999999988,0.012700584756672278,4.919935265700484,5.388473891625621,NaN,1.8178400000000001,2.8051196895424764,12.809334742794894,406.0,414.0,203.0,910.6666666666663,346.66666666666663,0.0,145,37,35,23,18,9.0,915.0,9935.197300000013,50.3923,6430.190299999999,760,8,0,128,0.5993957383199275,0.47661471320152105,0.6457860715699879,82,1469.7976000000015,2036.8532,31,13,0.0,0,0,37,0.0,0,0.0,392766.0799999999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,145,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5230480911650963,115,1690.1787999999997,128,391075.90119999985,4,-3074.5424,4,-3317.6782000000003,2,198.76940000000013,0.0,23.99544292663895,503.7259,32,0,203,203,1 + planning margin,debt,6,-1.3642420526593924e-12
