round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,26707.44859999998,0.0,144.4,144.4,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,1683.0208,1683.0,244.22400000000124,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.6982425655388973,0.0,672.0,2.0,2406.5,1.0,0,0,0,1.0,48,179.3437823529411,2.883180392156863,182.22696274509798,5.193803921568629,0.5889156862745097,5.7827196078431395,850.000000000002,0.0,850.000000000002,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,48,2560.0,277.83139999999986,144.4,2526.3586000000078,0.0,0.0,0.0,0.0,0.0,0,240.7152,2560.0,277.83139999999986,119.85859999999994,274.0,0.0,0.0,0.0,5.0,5.200000000000013,2.0,0.75,3.594822888283399,3.9200000000000013,320.0,72.0,160.0,2048.0,734.0,204.0,328,0,0,0,44,28.0,2048.0,16267.911800000003,1378.176,4219.6164,766,2,0,128,0.23759052943376346,0.6982425655388973,0.6601089998322518,65,5257.929199999997,360.0,44,0,520.0,0,0,0,0.0,0,0.0,246067.9118000015,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1040.0,208.0,2918.0084,4,78.344,78.34399999999997,NaN,5120.0,100.0,0.14601889322916664,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,0,12,0.0,0,0.0,1200.0,0.0,1127.2080000000005,0.0,1127.2080000000005,0.0,78.344,772.0799999999995,8515.800799999999,0.7053175386581039,384,13968.467200000016,128,232099.4446000005,4,0.0,4,144.4000000000001,2,240.7152,1683.0208,11.925,300.0,0,0,160,160,"NLD10 levy and land dividend, market entry",sumsy,2,-1.4551915228366852e-11
2,512,4,4,28945.37240000011,0.0,867.9288,730.7488,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,1683.0275,1683.0,306.38080000000156,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.6943871673697657,0.0,957.0,0.0,765.4620000000004,1.0,0,0,0,0.2543048134126555,48,179.57176058823532,2.7364643137254907,182.3082249019608,4.701944901960784,0.7525743137254901,5.454519215686274,2474.694099999999,850.0000000000022,2474.694099999999,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-1.444,0.0,48,2560.0,322.0762000000002,730.7488,906.790899999993,0.0,0.0,0.0,0.0,0.0,0,387.6,2560.0,322.0762000000002,141.32889999999983,274.0,0.0,0.0,0.015,4.884504186046469,5.495959955257268,2.21563191489362,1.1424413483146068,3.5213552569169653,3.802399999999999,894.0,1075.0,447.0,2048.0,1265.0,204.0,195,0,0,2,42,39.0,2048.0,17234.471099999984,801.4372999999999,6831.6848,766,2,0,128,0.21537045323940562,0.6943871673697657,0.4086043925755831,32,7446.988499999973,5250.841999999954,46,4,235.0,0,0,0,0.0,0,0.0,247038.97109999906,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,520.6735000000007,165.0,2007.1517,4,48.616299999999995,48.61640000000001,NaN,5120.0,100.0,0.152544677734375,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,195,0.0,0,12,0.0,0,0.0,1200.0,0.0,10143.73040163495,0.0,10143.73040163495,0.0,48.616299999999995,966.2082000000004,9640.2738,0.7003844073580416,384,14870.001199999979,128,232168.96989999968,4,0.0,4,137.18000000000006,2,387.6,1683.0275,12.640500000000001,300.0,0,0,447,447,"NLD10 levy and land dividend, market entry",sumsy,2,-1.4551915228366852e-11
3,512,4,4,31152.263000000003,0.0,3375.0838000000003,2550.9125000000004,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,1670.0878,1670.0409000000004,1200.17920000001,1.0,548.0409000000002,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9921875,0.6899413921911814,0.0,1043.0,0.0,1645.1759999999997,1.0,0,0,0,0.25609702873876505,48,184.06028796681446,3.151720938560089,187.21200890537455,3.568737997209831,1.387092840183978,4.955830837393809,2922.0869999999877,2474.6940999999924,2922.0869999999877,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-10.123400000000002,0.0,48,2560.0,353.10940000000005,2550.9125,1792.9144000000088,0.0,0.0,0.0,0.0,0.0,0,21.6693,2560.0,353.10940000000005,147.7383999999999,274.0,0.0,0.0,0.015,4.8163841813136,5.448568480300165,2.1029382687927147,1.3454447817836825,3.4731073195769624,3.688327999999999,1066.0,1081.0,533.0,2045.3333333333333,1525.9999999999998,204.0,129,0,0,1,56,41.0,2048.0,18220.630699999994,2348.9676,7478.4358,762,6,0,128,0.15667066827088028,0.6899413921911814,0.31740707838537174,10,8505.732199999991,5206.511300000001,59,3,439.0,0,0,0,0.0,0,0.0,248283.73509999976,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,923.1899000000018,254.0,1412.4717999999998,4,0.0,0.0,NaN,5120.0,100.0,0.1573045475260417,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,129,0.0,0,12,0.0,0,0.0,1200.0,0.0,13319.495301802608,0.0,13319.495301802608,0.0,0.0,1171.4168,11239.875200000002,0.6949106771433908,384,16682.46050000002,128,231601.2745999999,4,0.0,4,129.96000000000004,2,476.1589,1670.0878,13.398930000000002,300.0,0,0,533,533,"NLD10 levy and land dividend, market entry",sumsy,2,-1.4551915228366852e-11
4,512,4,4,33315.85589999996,0.0,5120.6792,1916.8984000000003,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,1657.874,1657.8276750000005,1633.945599999986,1.0,540.3960000000002,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.98828125,0.6848449971462096,0.0,1047.0,0.0,2063.1260000000007,1.0,0,0,0,0.2552410829037741,48,186.51922302616356,3.56739851263687,190.08662153880044,3.6772759112794224,1.6248972501255583,5.302173161404981,2959.930800000005,2922.0870000000073,2959.930800000005,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-43.87370000000001,0.0,48,2560.0,396.40710000000024,1916.8984,2228.262000000007,0.0,0.0,0.0,0.0,0.0,0,49.259,2560.0,396.40710000000024,165.13600000000005,274.0,0.0,0.0,0.015,5.452923977695167,5.437949722735684,1.9402392857142876,1.4454595864661657,3.228131350481495,3.5776781599999983,1082.0,1076.0,541.0,2046.6666666666667,1544.0,204.0,125,0,0,2,52,43.0,2048.0,19254.45400000001,2683.5383,8314.7613,759,9,0,128,0.15324546725656307,0.6848449971462096,0.291069497712648,9,8238.686999999973,5867.346199999999,52,0,420.0,0,0,0,0.0,0,0.0,249925.84490000017,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,814.9005000000008,256.0,1355.9693000000002,4,0.0,0.0,NaN,5120.0,100.0,0.16167951985677084,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,125,0.0,0,12,0.0,0,0.0,1200.0,0.0,12613.46740514401,0.0,12613.46740514401,0.0,0.0,1218.0479999999998,12354.2689,0.689652110180655,384,18160.877300000022,128,231764.96759999992,4,0.0,4,122.73999999999978,2,745.4166,1657.874,14.202865800000003,300.0,0,0,541,541,"NLD10 levy and land dividend, market entry",sumsy,2,-1.4551915228366852e-11
5,512,4,4,35439.66679999998,0.0,4911.5254,57.994,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,1693.3682,1693.3519800000004,1058.6623999999879,1.0,611.8163999999998,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.98828125,0.6810239452254654,0.0,1040.0,0.0,1570.1655999999996,1.0,0,0,0,0.25704533891118775,48,164.26990646279296,3.521701506712043,167.791607969505,3.5291706061418435,1.3815176619238132,4.910688268065657,3012.191599999996,2959.9308000000087,3012.191599999996,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-95.08050000000003,0.0,48,2560.0,436.1891000000003,57.994,1760.8305999999993,0.0,0.0,0.0,0.0,0.0,0,335.14329999999995,2560.0,436.1891000000003,190.6650000000002,274.0,0.0,0.0,0.015,5.5981007518796915,5.575775791433885,1.841023218997365,1.5841166666666666,3.174796920766512,3.4703478152,1074.0,1064.0,537.0,2045.3333333333333,1536.0,204.0,127,0,0,1,56,28.0,2048.0,20198.375899999988,2719.1994999999997,9231.431099999998,759,9,0,128,0.15667414930739176,0.6810239452254654,0.3030415023592439,12,8170.9074000000055,5956.379199999992,58,2,379.0,0,0,0,0.0,0,0.0,250717.52779999992,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,697.7478000000013,256.0,1262.1488,4,0.0,0.0,NaN,5120.0,100.0,0.17905686848958333,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,127,0.0,0,12,0.0,0,0.0,1200.0,0.0,10756.637085545346,0.0,10756.637085545346,0.0,0.0,1279.1511,13212.7794,0.6854432336625482,384,19017.2685,128,231700.25929999977,4,0.0,4,172.01400000000012,2,996.8569,1693.3682,15.055037748000004,300.0,0,0,537,537,"NLD10 levy and land dividend, market entry",sumsy,2,-1.4551915228366852e-11
6,512,4,4,37517.288900000014,0.0,4682.8857,41.4079,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,1725.1876,1725.1795500000003,1048.9344000000133,1.0,628.1058000000002,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.98828125,0.6765694883591993,0.0,1042.0,0.0,1550.2647,1.0,0,0,0,0.2608702267802433,48,159.63037872035426,3.8015526074013897,163.43193132775565,3.9396134365340276,1.2332563208936103,5.172869757427637,3024.221899999988,3012.1916000000024,3024.221899999988,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-144.19479999999993,0.0,48,2560.0,482.37789999999984,41.4079,1763.9223000000018,0.0,0.0,0.0,0.0,0.0,0,473.2869,2560.0,482.37789999999984,213.65760000000003,274.0,0.0,0.0,0.015,5.583786849574268,5.5774061224489575,1.76215219399537,1.7472360377358482,3.202612556944345,3.3662373807439985,1078.0,1057.0,539.0,2046.6666666666665,1540.0,204.0,126,0,0,2,43,20.0,2048.0,21201.997200000005,2760.1983,10114.431,759,9,0,128,0.168230215768157,0.6765694883591993,0.27274184716827077,17,8291.568800000037,5902.062700000001,45,2,433.0,0,0,0,0.0,0,0.0,251568.90999999992,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,763.0118999999952,256.0,1242.1879,4,0.0,0.0,NaN,5120.0,100.0,0.1974923746744792,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,0,12,0.0,0,0.0,1200.0,0.0,10166.266181656174,0.0,10166.266181656174,0.0,0.0,1258.2121,14116.817200000001,0.6807641112315805,384,20128.635599999987,128,231440.27439999988,4,0.0,4,201.87720000000036,2,1100.4814999999999,1725.1876,15.958340012880004,300.0,0,0,539,539,"NLD10 levy and land dividend, market entry",sumsy,2,-1.4551915228366852e-11
7,512,4,4,39548.04059999999,0.0,6414.261,2003.4932000000001,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,1747.2555,1747.2250285714285,1935.25760000001,1.0,626.4992999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.984375,0.6712509827518034,0.0,1035.0,1.0,2428.9258999999997,1.0,0,0,0,0.26145875295578835,48,159.69619678397993,4.031550844379322,163.72774762835925,5.857400253789702,1.2013605384994317,7.058760792289134,2965.272800000017,3024.221899999996,2965.272800000017,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-191.02379999999982,0.0,48,2560.0,529.2482999999999,2003.4932,2656.974800000005,0.0,0.0,0.0,0.0,0.0,0,547.3647,2560.0,529.2482999999999,228.04889999999997,274.0,0.0,0.0,0.015,5.505950602409642,5.539986466165446,1.7147268921095058,1.9215998076923064,3.1975247604994355,3.26525025932168,1064.0,1079.0,532.0,2045.3333333333335,1525.9999999999998,204.0,130,0,0,0,46,29.0,2048.0,23672.264000000014,2697.5051,9354.2184,756,12,0,128,0.20881810491053399,0.6712509827518034,0.23325478415471457,27,8273.864400000057,5940.920700000003,46,0,621.0,0,0,0,0.0,0,0.0,253203.72170000005,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1064.845400000003,256.0,1529.4328999999998,4,0.0,0.0,NaN,5120.0,100.0,0.17524243815104168,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,130,0.0,0,12,0.0,0,0.0,1200.0,0.0,10791.318213154558,0.0,10791.318213154558,0.0,0.0,1230.7731000000003,13581.156400000002,0.673845493843976,384,21856.109,128,231347.61270000023,4,0.0,4,1976.5463999999997,2,1138.4653,1747.2555,16.915840413652806,300.0,0,0,532,532,"NLD10 levy and land dividend, market entry",sumsy,2,-1.4551915228366852e-11
8,512,4,4,41538.61430000002,0.0,8668.636400000001,2626.6679999999997,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,1760.4856,1760.4849375000001,2964.53120000002,1.0,617.7680999999998,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9791666666666666,0.7093631705173298,0.0,1035.0,2.0,3451.8936,1.0,0,0,0,0.2594231592419103,48,349.72871382215067,4.491040662150853,354.2197544843015,5.744237734687398,1.4823482562553099,7.226585990942708,2971.267899999987,2965.272800000004,2971.267899999987,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-255.16609999999974,0.0,48,2560.0,569.4263000000005,2626.6679999999997,3689.5802000000044,0.0,0.0,0.0,0.0,0.0,0,74.9811,2560.0,569.4263000000005,237.6866000000002,274.0,0.0,0.0,0.015,5.454683940242765,5.520126915887826,1.6781993750000095,1.9636179190751462,3.171606173361792,3.167292751542029,1070.0,1071.0,535.0,2048.0,1532.0,204.0,129,0,0,2,45,33.0,2048.0,26194.365899999997,2559.9487000000004,9117.6441,752,16,0,128,0.19437172540597492,0.7093631705173298,0.22089849336225353,11,8242.720900000006,5841.966500000001,47,2,640.0,0,0,0,0.0,0,0.0,514894.9476000003,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1074.047600000006,256.0,1831.1889,4,0.0,0.0,NaN,5120.0,100.0,0.24685416178385414,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,129,0.0,0,12,0.0,0,0.0,1200.0,0.0,11186.81776680845,0.0,11186.81776680845,0.0,0.0,1248.9242,13508.781700000001,0.7130627116603099,384,24345.801799999972,128,490549.1458000003,4,0.0,4,3185.3377,2,1163.2834,1760.4856,17.930790838471975,645.4109,0,0,535,535,"NLD10 levy and land dividend, market entry",sumsy,2,-1.4551915228366852e-11
9,512,4,4,43490.74760000001,0.0,9910.3255,1745.3152,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,1768.8916,1768.8806000000002,2778.111999999981,1.0,612.0153,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9765625,0.7063242544776038,0.0,1030.0,2.0,3229.6023000000005,1.0,0,0,0,0.2597521803021373,48,352.639855748916,4.940594301593478,357.58045005050946,6.337436974347593,1.4810011406261914,7.818438114973784,2972.4300000000057,2971.2678999999976,2972.4300000000057,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-341.8520999999989,0.0,48,2560.0,607.8667000000004,1745.3152,3488.5357000000004,0.0,0.0,0.0,0.0,0.0,0,267.7169,2560.0,607.8667000000004,258.9333999999999,274.0,0.0,0.0,0.015,5.384460074976567,5.532640449438213,1.7612168749999988,1.9793728682170557,2.9729489137878082,3.0722739689957668,1068.0,1067.0,534.0,2045.3333333333333,1530.0,204.0,129,0,0,2,50,28.0,2048.0,28241.233900000007,2460.2378,9110.8806,750,18,0,128,0.20157013913898703,0.7063242544776038,0.20226265936076593,24,7890.054699999968,5745.218899999997,51,1,640.0,0,0,0,0.0,0,0.0,515451.75529999996,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1127.1787999999992,256.0,1641.7868,4,0.0,0.0,NaN,5120.0,100.0,0.24283814941406245,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,129,0.0,0,12,0.0,0,0.0,1200.0,0.0,11373.673746203718,0.0,11373.673746203718,0.0,0.0,1375.2632,13212.905200000001,0.7093245931175436,384,26383.14329999999,128,489068.6120000002,4,0.0,4,4072.0175,2,1415.7799,1768.8916,19.006638288780294,645.4109,0,0,534,534,"NLD10 levy and land dividend, market entry",sumsy,2,-1.4551915228366852e-11
10,512,4,4,45403.20319999997,0.0,10565.8857,1246.452,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,1773.2374,1773.23328,2500.659200000016,1.0,604.1358000000004,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9752604166666666,0.7037731925566479,0.0,1030.0,1.0,2911.2871999999993,1.0,0,1,0,0.259978245669917,52,356.8157443195688,5.371870740361586,362.18761505993035,6.288200167450473,1.5289589880535623,7.817159155504036,2952.889000000008,2972.430000000017,2952.889000000008,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-440.95439999999894,0.0,48,2560.0,647.5443999999999,1246.452,3193.0868999999984,0.0,0.0,0.0,0.0,0.0,0,371.946,2560.0,647.5443999999999,281.79970000000014,274.0,0.0,0.0,0.015,5.287402245088865,5.4755391791044925,1.9004095312500002,1.9705326885880077,2.9838782401644655,2.9801057499258947,1072.0,1069.0,536.0,2045.3333333333335,1534.0000000000002,204.0,127,0,0,3,42,34.0,2048.0,29384.17930000002,2388.7611,9001.491999999998,749,19,0,128,0.20381851491472602,0.7037731925566479,0.20307146410799537,18,7886.163099999969,5652.2329999999965,42,0,640.0,0,0,0,0.0,0,0.0,515727.61464999977,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1216.2621000000001,256.0,2483.5874,5,0.0,0.0,NaN,5120.0,100.0,0.23392837515024034,0,0,0.0,0,0.0,5120.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,127,0.0,0,13,0.0,0,0.0,1565.6728,0.0,10415.3781037162,0.0,10415.3781037162,0.0,0.0,1448.4735000000005,13873.840500000002,0.7069614789471808,384,27815.158400000026,128,487912.45624999976,4,0.0,4,4976.009,2,1574.0223999999998,1773.2374,20.147036586107113,645.3851500000001,0,0,536,536,"NLD10 levy and land dividend, market entry",sumsy,2,-1.4551915228366852e-11
