round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,107981.18370000088,0.0,561.0,561.0,561.0,,561.0,0.0,0.0,0.0,0.0,0.0,0.0025,944.0093,0.0,0.0,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.06451665105743842,0.0,672.0,0.0,0.0,1.0,0,0,0,0.9303237044563797,0,8.046220392156872,19.290639803921565,27.336860196078437,2.523787843137254,18.600342156862745,21.124129999999997,844.000000000002,0.0,844.000000000002,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0,2560.0,1891.3666999999932,561.0,945.1422999999935,0.0,0.0,0.0,0.0,0.0,0,240.7152,2560.0,1891.3666999999932,945.1422999999935,268.0,0.0,0.0,0.0,5.0,5.200000000000013,NaN,0.75,3.4662357414448666,3.920000000000001,320.0,83.0,160.0,2048.0,526.0,204.0,380,0,0,0,47,36.0,2048.0,101542.35720000081,1449.568,3804.5339999999997,768,0,0,128,0.017607731375653968,0.06758431244312213,0.7492299024438558,0,2726.3015000000078,415.0,47,0,0.0,0,0,0,0.0,0,0.0,110500.15720000095,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,380,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09678715357372103,384,76344.32800000017,128,34155.82919999999,4,1449.568,4,4047.7339999999995,2,240.7152,383.00930000000005,11.925,11.25,0,0,160,160,"E2 + government, full money stock",sumsy,10,0.0
2,512,4,4,108636.03649999999,0.0,1214.2080999999998,681.2581,532.9499999999999,,532.9499999999999,0.0,0.0,0.0,0.0,0.0,0.0025,1300.0269,0.0,0.0,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.07065676982414382,0.0,964.0,0.0,0.0,1.0,0,0,0,0.25943382507526536,0,9.240771960784318,18.342346470588232,27.583118431372547,3.4271411764705904,17.425558039215684,20.852699215686275,2488.6262000000033,844.0000000000022,2488.6262000000033,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-5.609999999999999,0.0,0,2560.0,1905.147199999993,681.2581,948.1969999999973,0.0,0.0,0.0,0.0,0.0,0,55.4743,2560.0,1905.147199999993,948.1969999999973,268.0,0.0,0.0,0.015,4.911586144029153,5.4792615044247865,NaN,1.1337426991150432,3.5149535135134844,3.8023999999999996,904.0,1097.0,452.0,2048.0,1110.0,204.0,234,0,0,1,60,50.0,2048.0,99925.33400000003,807.04,6548.1613,768,0,0,128,0.025495304019012233,0.07497468188042866,0.466888889063795,0,5230.439599999985,5388.009999999981,60,0,0.0,0,0,0,0.0,0,0.0,109210.0215,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,234,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1259783516556685,384,75010.37329999989,128,34199.648199999996,4,125.78190000000001,4,6779.2013,2,393.95489999999995,767.0769000000001,12.640500000000001,11.25,0,0,452,452,"E2 + government, full money stock",sumsy,10,0.0
3,512,4,4,109277.29830000027,0.0,2763.1172,1611.022,504.9,,504.9,0.0,0.0,0.0,0.0,0.0,0.0025,1660.7803,0.0,0.0,1.0,551.0805,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.07668944234052799,0.0,1053.0,0.0,0.0,1.0,0,0,0,0.254565464232684,0,9.966842972437272,18.55603965446015,28.522882626897424,5.827750584076475,15.349071172408248,21.176821756484724,2979.0925000000193,2488.6261999999942,2979.0925000000193,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-17.752,0.0,0,2560.0,1918.7382000000002,1611.022,951.0955000000006,0.0,0.0,0.0,0.0,0.0,0,301.82050000000004,2560.0,1918.7382000000002,951.0955000000006,268.0,0.0,0.0,0.015,4.8104457943925,5.4844593345656545,NaN,1.3412269870609985,3.235088094223718,3.6883279999999994,1082.0,1070.0,541.0,2046.6666666666667,1288.0,204.0,190,0,0,1,59,38.0,2048.0,97836.08630000021,2375.8946,7102.7166,768,0,0,128,0.04041003577891056,0.08178359386240186,0.4031646333489831,0,5751.8592000000135,5147.176999999975,59,0,0.0,0,0,0,0.0,0,0.0,108698.76700000027,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,190,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13758809080232592,384,74048.9798,128,34649.7872,4,117.67740000000015,4,7321.5966,2,623.377,1155.8802999999998,13.398930000000002,11.25,0,0,541,541,"E2 + government, full money stock",sumsy,10,0.0
4,512,4,4,109905.44359999997,0.0,3264.7028999999998,644.2497999999999,476.85,,476.85,0.0,0.0,0.0,0.0,0.0,0.0025,2027.5698,0.0,0.0,1.0,539.7330000000005,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.6127176930701455,0.0,1052.0,1.0,0.0,1.0,0,0,0,0.25729266775962467,0,377.0697634629947,18.61503496641631,395.684798429411,6.712446451753314,15.583804550133316,22.29625100188663,2942.3018999999845,2979.092499999997,2942.3018999999845,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-45.383100000000006,0.0,0,2560.0,1931.8547000000028,644.2497999999999,953.792800000001,0.0,0.0,0.0,0.0,0.0,0,435.9187,2560.0,1931.8547000000028,953.792800000001,268.0,0.0,0.0,0.015,5.431365131578947,5.426484999999971,NaN,1.446750092764379,3.1277321810245167,3.5776781599999987,1080.0,1064.0,540.0,2046.6666666666667,1286.0,204.0,190,0,0,1,48,31.0,2048.0,96682.17069999994,2788.8088000000002,7970.975600000001,767,1,0,128,0.04121046363196945,0.6221248224973588,0.42531043382906164,0,5685.316699999996,5778.9725,48,0,0.0,0,0,0,0.0,0,0.0,558196.2457000003,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,190,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6227042198123434,384,72493.82230000004,128,485702.42339999997,4,599.0794000000004,4,8177.6956,2,740.5511,1550.7197999999999,14.202865800000003,598.1235,0,0,540,540,"E2 + government, full money stock",sumsy,10,0.0
5,512,4,4,110520.74820000003,0.0,3715.2138999999997,625.3874,448.79999999999995,,448.79999999999995,0.0,0.0,0.0,0.0,0.0,0.0025,2321.5105,0.0,0.0,1.0,609.399,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.6233230836221291,0.0,1047.0,1.0,0.0,1.0,0,0,0,0.2576901131265781,0,364.03187530478885,15.849315507686722,379.88119081247555,6.816823930443093,13.827198125211197,20.64402205565429,2983.9481000000083,2942.301899999997,2983.9481000000083,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-78.02990000000001,0.0,0,2560.0,1944.6954,625.3874,957.1061000000005,0.0,0.0,0.0,0.0,0.0,0,502.84040000000005,2560.0,1944.6954,957.1061000000005,268.0,0.0,0.0,0.015,5.567999260628473,5.544679291044791,NaN,1.5767486891385771,3.2470697974150733,3.4703478152,1072.0,1082.0,536.0,2046.6666666666667,1278.0,204.0,192,0,0,1,58,32.0,2048.0,95651.73989999999,2926.6525,9118.0049,766,2,0,128,0.051167594908456016,0.6338456474416589,0.43301944947707827,0,5896.239499999998,6024.5752000000075,58,0,0.0,0,0,0,0.0,0,0.0,597042.9040000006,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.63381460865569,384,71036.14749999999,128,526006.7565000001,4,960.9128000000002,4,9312.564900000001,2,790.5488,1872.7105,15.055037748000004,650.3371,0,0,536,536,"E2 + government, full money stock",sumsy,10,0.0
6,512,4,4,111123.51950000002,0.0,4163.840399999999,654.7722,420.75,,420.75,0.0,0.0,0.0,0.0,0.0,0.0025,2597.4145,0.0,0.0,1.0,624.7295999999996,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.99609375,0.6324939140112493,0.0,1051.0,1.0,0.0,1.0,0,0,0,0.2578455669414123,0,384.3731168438749,14.881291593218137,399.25440843709305,7.877391280145157,13.250447936553417,21.127839216698572,3042.856799999988,2983.9481000000105,3042.856799999988,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-115.18159999999996,0.0,0,2560.0,1957.2287000000013,654.7722,960.4741000000009,0.0,0.0,0.0,0.0,0.0,0,537.4539,2560.0,1957.2287000000013,960.4741000000009,268.0,0.0,0.0,0.015,5.585997014925373,5.602323105360422,NaN,1.7500886617100357,3.26082019956718,3.3662373807439994,1082.0,1072.0,541.0,2046.6666666666667,1287.9999999999998,204.0,189,0,0,2,49,33.0,2048.0,94877.6976,2951.3109999999997,10159.6425,765,3,0,128,0.06279155359672584,0.6439054567484499,0.41592555639138196,0,6061.94440000002,5988.1888,49,0,0.0,0,0,0,0.0,0,0.0,636039.6390999998,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,189,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6436976407828796,384,69692.86069999998,128,566346.7784000003,4,1315.8727000000001,4,10342.0425,2,808.2383,2176.6645,15.958340012880004,702.5507,0,0,541,541,"E2 + government, full money stock",sumsy,10,0.0
7,512,4,4,111713.8764999999,0.0,4589.801299999999,664.8453,392.70000000000005,,392.70000000000005,0.0,0.0,0.0,0.0,0.0,0.0025,2868.7086,0.0,0.0,1.0,626.7492000000003,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.6449463232022212,0.0,1044.0,4.0,0.0,1.0,0,0,0,0.25723911015747525,0,432.70446871524626,14.225080262312765,446.929548977559,10.674062344258779,12.323285721594967,22.997348065853746,2984.5379000000066,3042.856799999985,2984.5379000000066,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-156.8197999999999,0.0,0,2560.0,1969.6430000000016,664.8453,963.8418000000012,0.0,0.0,0.0,0.0,0.0,0,556.8860999999999,2560.0,1969.6430000000016,963.8418000000012,268.0,0.0,0.0,0.015,5.53136987060998,5.5561456074766475,NaN,1.9373382297551789,3.2389589851682694,3.2652502593216792,1070.0,1082.0,535.0,2045.3333333333333,1276.0,204.0,191,0,0,2,58,35.0,2048.0,94200.43990000007,2936.156,11151.6859,764,4,0,128,0.08376817615641152,0.6569250170368,0.41710914985044645,0,6095.904899999985,5984.942199999999,58,0,0.0,0,0,0,0.0,0,0.0,702957.1588999997,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,191,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6566162935436453,384,68347.9395,128,634609.2194000001,4,1904.4527000000005,4,11321.9259,2,810.7464,2476.0086,16.915840413652806,791.3495,0,0,535,535,"E2 + government, full money stock",sumsy,10,0.0
8,512,4,4,112292.51580000015,0.0,4983.898799999999,666.2243,364.65,,364.65,0.0,0.0,0.0,0.0,0.0,0.0025,3143.3558,0.0,0.0,1.0,620.6189999999996,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9934895833333334,0.6455129986527872,0.0,1050.0,1.0,0.0,1.0,0,0,0,0.259457716432402,0,432.39764760737023,13.93139242471732,446.32904003208756,12.458935667766022,12.652197370705885,25.111133038471905,3023.085200000006,2984.5379000000034,3023.085200000006,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-202.7173999999999,0.0,0,2560.0,1981.3606999999981,666.2243,966.915599999999,0.0,0.0,0.0,0.0,0.0,0,568.6503,2560.0,1981.3606999999981,966.915599999999,268.0,0.0,0.0,0.015,5.490934590009433,5.555507749077502,NaN,1.9755813780260714,3.1982655034748353,3.167292751542029,1084.0,1061.0,542.0,2045.3333333333335,1290.0,204.0,188,0,0,1,42,31.0,2048.0,94370.72440000002,2832.9487,11376.836599999999,763,5,0,128,0.0977420581962618,0.6580643886286253,0.4209292258715609,0,6117.524699999991,5825.881600000008,42,0,0.0,0,0,0,0.0,0,0.0,694005.1107500008,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,188,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6574514529484909,384,67073.08379999993,128,626932.0269500003,4,2117.436650000001,4,12199.640899999999,2,805.5865,2778.7057999999997,17.930790838471975,780.7473500000001,0,0,542,542,"E2 + government, full money stock",sumsy,10,0.0
9,512,4,4,112859.38749999998,0.0,4678.460800000001,0.0,336.6,,336.6,0.0,0.0,0.0,0.0,0.0,0.0025,3419.4286,0.0,0.0,1.0,616.0851000000004,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9934895833333334,0.645136060382423,0.0,1038.0,1.0,0.0,1.0,0,0,0,0.25714034048274526,0,430.51589271594,13.728256563223772,444.2441492791638,13.840333272983283,12.54492734543351,26.385260618416794,2958.6815000000097,3023.0851999999995,2958.6815000000097,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-252.55599999999995,0.0,0,2560.0,1993.1282999999992,0.0,969.8963000000001,0.0,0.0,0.0,0.0,0.0,0,576.4981,2560.0,1993.1282999999992,969.8963000000001,268.0,0.0,0.0,0.015,5.40400246125798,5.549306026365366,NaN,1.958457794676807,3.155268686382024,3.072273968995767,1062.0,1097.0,531.0,2046.6666666666667,1268.0,204.0,194,0,0,3,69,38.0,2048.0,93543.76530000006,2935.8992,12383.7963,763,5,0,128,0.10851702290917231,0.6591048138093818,0.4242718446406719,0,5978.994900000018,5928.190700000004,69,0,0.0,0,0,0,0.0,0,0.0,684845.593500001,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,194,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6581399592017829,384,65652.26050000002,128,619193.333,4,2444.7644,4,13161.204399999999,2,796.5101999999999,3082.8286000000003,19.006638288780294,770.1452,0,0,531,531,"E2 + government, full money stock",sumsy,10,0.0
10,512,4,4,113414.67989999989,0.0,4373.0228,0.0,308.54999999999995,,308.54999999999995,0.0,0.0,0.0,0.0,0.0,0.0025,3701.9459,0.0,0.0,1.0,606.3287999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9934895833333334,0.6457110899833378,0.0,1051.0,0.0,0.0,1.0,0,0,0,0.2562330818863103,0,437.982566554214,13.651078309675853,451.6336448638898,14.512346258943882,12.720827539617883,27.233173798561765,3003.228199999994,2958.681500000017,3003.228199999994,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-299.3406,0.0,0,2560.0,2004.7076,0.0,972.7449000000006,0.0,0.0,0.0,0.0,0.0,0,579.0089,2560.0,2004.7076,972.7449000000006,268.0,0.0,0.0,0.015,5.340896810506556,5.498581249999989,NaN,1.94319888682746,3.0980203576660017,2.9801057499258943,1088.0,1066.0,544.0,2044.0000000000002,1294.0,204.0,188,0,0,1,47,34.0,2048.0,92997.22989999998,2946.7282,13189.767,763,5,0,128,0.11341700678012967,0.6607412865179709,0.4175179737267576,0,6015.379000000015,5693.395999999989,47,0,0.0,0,0,0,0.0,0,0.0,684055.9404000009,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,188,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.659519624550575,384,64589.899100000024,128,619466.0413000002,4,2732.9814000000006,4,13921.778900000001,2,782.0969,3393.3959000000004,20.147036586107113,770.1452,0,0,544,544,"E2 + government, full money stock",sumsy,10,0.0
11,512,4,4,113958.56230000008,0.0,4067.5848,0.0,280.5,,280.5,0.0,0.0,0.0,0.0,0.0,0.0025,3988.0144,0.0,0.0,1.0,599.25,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9934895833333334,0.6463546452750006,0.0,1043.0,0.0,0.0,1.0,0,0,0,0.2581226608977826,0,443.4239095312212,13.500486611257742,456.924396142479,15.002489998078161,12.801544361703495,27.804034359781657,3003.1143000000006,3003.2281999999927,3003.1143000000006,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-343.07089999999994,0.0,0,2560.0,2016.1175999999998,0.0,975.4663999999998,0.0,0.0,0.0,0.0,0.0,0,578.9504999999999,2560.0,2016.1175999999998,975.4663999999998,268.0,0.0,0.0,0.015,5.256690232558139,5.5804371268656725,NaN,1.92381581920904,3.0437188749129955,2.8907025774281183,1072.0,1075.0,536.0,2046.6666666666667,1277.9999999999998,204.0,192,0,0,1,50,36.0,2048.0,92371.1667000001,3079.5528,13940.8779,763,5,0,128,0.12025368687310678,0.6625176769485916,0.43554746355174845,0,5883.359899999964,5650.941999999999,50,0,0.0,0,0,0,0.0,0,0.0,683186.7595000005,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.66100993721702,384,63507.41279999994,128,619679.3467000001,4,3143.1939999999995,4,14627.4936,2,765.1143999999999,3707.5144,21.35585878127354,770.1452,0,0,536,536,"E2 + government, full money stock",sumsy,10,0.0
12,512,4,4,114491.27909999997,0.0,3762.1467999999995,0.0,252.45,,252.45,0.0,0.0,0.0,0.0,0.0,0.0025,4279.7198,0.0,0.0,1.0,589.7997000000003,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9934895833333334,0.6469913382267067,0.0,1044.0,0.0,0.0,1.0,0,0,0,0.2582858793717977,0,451.01831414420246,13.369325905239844,464.38764004944227,15.875530492847695,12.803293342638323,28.678823835486018,2974.1365999999957,3003.1142999999956,2974.1365999999957,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-383.7465999999999,0.0,0,2560.0,2027.2831999999996,0.0,978.0101,0.0,0.0,0.0,0.0,0.0,0,577.6062999999999,2560.0,2027.2831999999996,978.0101,268.0,0.0,0.0,0.015,5.1956607276119415,5.516083054003716,NaN,1.9206988721804499,2.9846637063227175,2.803981500105274,1074.0,1072.0,537.0,2046.6666666666665,1280.0,204.0,192,0,0,2,49,37.0,2048.0,91778.84490000001,3233.4579999999996,14621.6501,763,5,0,128,0.12804155364536962,0.6642445373885175,0.43866190756040857,0,5826.213100000016,5569.748300000001,49,0,0.0,0,0,0,0.0,0,0.0,682351.3200000013,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6624650022423251,384,62361.69660000005,128,619989.6234000002,4,3574.4872000000005,4,15262.869600000002,2,746.8461,4027.2698,22.637210308149953,770.1452,0,0,537,537,"E2 + government, full money stock",sumsy,10,0.0
13,512,4,4,115013.08219999989,0.0,3456.7088,0.0,224.39999999999998,,224.39999999999998,0.0,0.0,0.0,0.0,0.0,0.0025,4574.2738,0.0,0.0,1.0,582.9555000000001,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9934895833333334,0.648646091660156,0.0,1042.0,1.0,0.0,1.0,0,0,0,0.2596718089740263,0,463.1292592169598,13.257975597054761,476.3872348140145,17.334090816079055,12.51256907133945,29.846659887418504,2986.1851999999744,2974.1365999999953,2986.1851999999744,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-421.36809999999974,0.0,0,2560.0,2038.196899999998,0.0,980.4105999999991,0.0,0.0,0.0,0.0,0.0,0,575.6547,2560.0,2038.196899999998,980.4105999999991,268.0,0.0,0.0,0.015,5.09727903682719,5.559224672897148,NaN,1.8981586792452834,2.9279647599044543,2.719862055102116,1070.0,1059.0,535.0,2045.3333333333333,1276.0,204.0,192,0,0,3,50,25.0,2048.0,91277.17409999992,3405.317,15180.6626,763,5,0,128,0.13838725401051932,0.6667573213190685,0.41800516851499503,1,5736.373499999975,5398.018499999994,50,0,0.0,0,0,0,0.0,0,0.0,689695.9719500012,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6647591943645925,384,61399.19639999998,128,628296.7755500004,4,4076.744950000001,4,15776.4859,2,727.9703999999999,4349.8738,23.99544292663895,780.7473500000001,0,0,535,535,"E2 + government, full money stock",sumsy,10,0.0
