round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,26749.812299999987,0.0,2023.3001,1010.8000999999999,561.0,,561.0,0.0,0.0,0.0,0.0,0.0,0.0025,116.0396,0.0,0.0,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,54.34670116051355,2.7775314337053185,57.12423259421886,6.510337058823529,2.820352156862745,9.330689215686274,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,49,2560.0,235.46769999999955,1780.7002,117.17009999999988,0.0,0.0,0.0,0.0,0.0,0,258.1752,2560.0,235.46769999999955,117.17009999999988,274.0,0.0,769.9,0.0,5.0,5.200000000000013,2.0,0.75,3.594822888283399,3.9200000000000013,320.0,71.0,160.0,2048.0,734.0,204.0,328,0,0,0,42,29.0,2048.0,18587.301000000003,1700.0369999999998,3524.6891,701,67,0,117,0.17941389432612498,0.6078811706026652,0.6583656432306577,0,5199.919499999996,355.0,42,0,520.0,0,0,0,0.0,0,0.0,62200.63739901594,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1040.0,208.0,2563.5704,4,29.799000000000003,29.798400000000004,0.6010170429303106,5120.0,89.541015625,0.14521478515624997,415,0,0.0,0,4704.9759908424885,4584.5,404,0.46170386347862036,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,0,12,0.0,0,0.0,120.0,0.5,1413.3109000000006,0.0,1413.3109000000006,0.0,29.799000000000003,15396.733800000005,7788.2965,0.6161903397817563,395,31509.265790224872,117,30691.371608791134,4,0.0,4,0.0,2,258.1752,-444.9604,37.5,0,0,160,160,10 + responsive prices,sumsy,1,2.764863893389702e-10
2,512,4,4,29016.016499999994,0.0,12158.889599999993,5183.704500000001,1005.9603999999999,,1005.9603999999999,0.0,0.0,0.0,0.0,0.0,0.0025,143.5018,0.0,0.0,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,75.43499156273349,2.3580543455313943,77.79304590826487,6.061838823529412,2.29209862745098,8.353937450980393,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-4.497999999999994,0.0,54,2560.0,293.79579999999936,8413.435800000001,145.7669000000004,0.0,0.0,0.0,0.0,0.0,114,396.0942,2560.0,293.79579999999936,145.7669000000004,274.0,0.0,584.2788000000005,0.015,4.893999999999955,5.478340979955428,2.2168935483870964,1.080158870967741,3.5318112802148316,66.68124583333334,898.0,1095.0,449.0,2048.0,1117.0,204.0,232,0,0,1,59,42.0,2048.0,17502.494799999975,1986.5731999999998,8602.898099999999,567,201,0,95,0.18593970924308612,0.662138839795823,0.5043560435874315,0,6288.721899999987,5358.92999999995,59,0,31.0,0,0,0,0.0,0,0.0,73606.55774219599,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,68.7237,13.0,384.4544,4,28.460700000000003,28.460800000000027,0.6244793735887706,5120.0,85.47688802083333,0.13198433756510417,411,0,0.0,0,5660.080166669333,4376.416666666667,460,0.7062486467415399,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,232,0.0,0,12,0.0,0,0.0,120.0,662.5285999999999,7109.631561035494,0.0,7109.631561035494,0.0,28.460700000000003,16000.40469999998,10973.925699999996,0.6680938228033384,417,48393.53990100672,95,25213.017841189223,4,0.0,4,0.0,2,396.0942,-862.4585999999999,37.5,0,0,449,449,10 + responsive prices,sumsy,1,2.764863893389702e-10
3,512,4,4,31233.94439999994,0.0,13770.5810451613,799.9279999999997,1411.5654,,1411.5654,0.0,0.0,0.0,0.0,0.0,0.0025,167.5775,0.0,0.0,1.0,549.1067999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,109.84807423087165,2.630944875433767,112.47901910630542,10.311992676106092,2.2755108295872706,12.587503505693363,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-56.15900000000001,0.0,61,2560.0,342.0721,7539.237000000001,169.88359999999997,0.0,0.0,0.0,0.0,0.0,156,488.9397,2560.0,342.0721,169.88359999999997,274.0,0.0,354.57339999999994,0.015,4.816844589552218,5.4486788888888755,2.156043243243242,1.3118780952380968,3.435263028439727,64.68080845833333,1080.0,1072.0,540.0,2046.6666666666667,1301.0,204.0,186,0,0,2,56,36.0,2048.0,19464.686099999984,2212.5649000000003,8482.871,543,225,0,91,0.2727886897381213,0.703318382873565,0.4237044492106934,0,7414.482900000005,5163.657399999978,56,0,37.0,0,0,0,0.0,0,0.0,97259.59957279483,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,79.77359999999996,15.0,417.3052,4,30.1425,30.144400000000054,0.6723292450436673,5120.0,82.33561197916667,0.19551948654338866,426,0,0.0,0,6924.677101340954,4215.583333333333,466,0.839831736633645,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,186,0.0,0,12,0.0,0,0.0,120.0,1032.2184999999993,11372.40240639159,0.0,11372.40240639159,0.0,30.1425,17993.592299999993,11112.741100000003,0.7054211073192951,421,63267.84515982738,91,33991.75441296749,4,0.0,4,0.0,2,488.9397,-1243.9879,54.00794354838705,0,0,540,540,10 + responsive prices,sumsy,1,2.764863893389702e-10
4,512,4,4,33403.322299999934,0.0,13857.952099999995,836.9048000000001,1784.44,,1784.44,0.0,0.0,0.0,0.0,0.0,0.0025,191.5478,0.0,0.0,1.0,540.4521000000003,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,136.82723928580768,3.1588094054399107,139.9860486912476,13.099149755486827,2.088028304868403,15.18717806035523,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-109.1677250000002,0.0,68,2560.0,390.62210000000005,4970.004600000001,194.05670000000006,0.0,0.0,0.0,0.0,0.0,121,533.1053999999999,2560.0,390.62210000000005,194.05670000000006,274.0,0.0,109.43969999999996,0.015,5.440409594095945,5.398974306839164,2.3558992957746474,1.422517405063292,3.300721533790169,62.74038420458333,1082.0,1084.0,541.0,2045.3333333333333,1345.0,204.0,175,0,0,1,54,43.0,2048.0,20481.64549999998,2425.9446,9209.0206,546,222,0,94,0.320701606414737,0.7172213510217635,0.3840382254645045,0,7568.485499999986,5897.404000000004,54,0,142.0,0,0,0,0.0,0,0.0,115911.17044039843,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,334.5376999999999,57.0,562.0584,4,6.05,6.0481000000000344,0.87440372230821,5120.0,80.49967447916667,0.263657824823289,452,0,0.0,0,3765.885584376127,4121.583333333333,474,1.2265280828668743,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,175,0.0,0,12,0.0,0,0.0,120.0,1463.944599999999,10557.506869942366,0.0,10557.506869942366,0.0,6.05,19146.984699999975,12197.0236,0.7179275204426405,418,73625.07518757589,94,42286.09525282251,4,0.0,4,0.0,2,533.1053999999999,-1592.8922,65.59390476190484,0,0,541,541,10 + responsive prices,sumsy,1,2.764863893389702e-10
5,512,4,4,35531.46240000005,0.0,15618.073099999994,2423.488700000001,2203.3061000000002,,2203.3061000000002,0.0,0.0,0.0,0.0,0.0,0.0025,211.4574,0.0,0.0,1.0,610.4139,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,159.806633205078,2.8629647513989203,162.6695979564769,9.359522909920837,1.7610146829510258,11.120537592871864,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-164.0193338806665,0.0,72,2560.0,431.8599000000001,4110.2605,214.43849999999983,0.0,0.0,0.0,0.0,0.0,117,554.9694,2560.0,431.8599000000001,214.43849999999983,274.0,0.0,0.0,0.015,5.600081244281799,5.5564694599627575,2.5779802469135786,1.5620930158730182,3.33963414358677,60.85817267844584,1074.0,1093.0,537.0,2046.6666666666665,1345.0,204.0,175,0,0,1,62,51.0,2048.0,20129.324,2695.663,11207.8459,546,222,0,94,0.2713892256259769,0.7205187061383045,0.4114027722618232,0,7537.637999999982,6120.888800000006,62,0,162.0,0,0,0,0.0,0,0.0,148736.98783786932,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,417.63279999999975,65.0,732.2027,4,12.6107,12.60779999999988,1.3920114804623795,5120.0,79.33430989583333,0.3151658772168383,313,0,0.0,0,1813.017126003867,4061.9166666666665,474,1.577697036741003,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,175,0.0,0,12,0.0,0,0.0,120.0,2293.845899999998,7727.814863368711,0.0,7727.814863368711,0.0,12.6107,18712.3166,14635.711600000002,0.7209127548521004,418,100531.21015907262,94,48205.77767879634,4,0.0,4,0.0,2,554.9694,-1991.8487000000002,71.1258702531646,0,0,537,537,10 + responsive prices,sumsy,1,2.764863893389702e-10
6,512,4,4,37616.96020000001,0.0,17808.05460000002,2953.6173,2620.1789000000003,,2620.1789000000003,0.0,0.0,0.0,0.0,0.0,0.0025,232.0378,0.0,0.0,1.0,628.3302,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,199.76500284506514,2.9497274560180533,202.71473030108322,7.68948525538496,1.6286628210903331,9.318148076475293,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-235.90153388066614,0.0,75,2560.0,474.5021999999992,4669.4103,235.51270000000014,0.0,0.0,0.0,0.0,0.0,118,573.4896,2560.0,474.5021999999992,235.51270000000014,274.0,0.0,0.0,0.015,5.614716460513797,5.640731792975994,2.625746078431373,1.7326605015673981,3.3300390636632544,59.03242749809246,1082.0,1051.0,541.0,2046.6666666666667,1329.0000000000002,204.0,179,0,0,1,51,28.0,2048.0,19722.262599999995,3063.9021,13215.8116,546,222,0,94,0.23988522402248247,0.7421318079130876,0.4283499142756091,0,7431.492900000015,5901.067000000001,51,0,102.0,0,0,0,0.0,0,0.0,181279.71693530478,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,267.82610000000005,41.0,809.4565,4,68.7129,68.7126000000002,1.8851407120378432,5120.0,78.12662760416667,0.3662450403025797,405,0,0.0,0,2986.530843710254,4000.0833333333335,474,1.7320686896743673,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,179,0.0,0,12,0.0,0,0.0,120.0,3176.9289999999987,6194.136758115911,0.0,6194.136758115911,0.0,68.7129,18126.698399999997,17089.1702,0.7424030693458243,418,127388.60877747137,94,53891.10815783332,4,0.0,4,0.0,2,573.4896,-2388.1411000000003,78.1046507936509,0,0,541,541,10 + responsive prices,sumsy,1,2.764863893389702e-10
7,512,4,4,39660.13759999998,0.0,18626.596000000023,1709.0135000000005,3018.1135000000004,,3018.1135000000004,0.0,0.0,0.0,0.0,0.0,0.0025,252.7711,0.0,0.0,1.0,629.9723999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,221.52460814443137,2.8401454146932057,224.36475355912455,8.330555110111574,1.6577014342341414,9.988256544345715,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-329.1261338806663,0.0,75,2560.0,516.8226000000005,1709.0135000000005,256.53130000000033,0.0,0.0,0.0,0.0,0.0,119,592.886,2560.0,516.8226000000005,256.53130000000033,274.0,0.0,0.0,0.015,5.574289039855078,5.624812453531572,2.8531641891891906,1.932378164556962,3.330009230156217,57.26145467314968,1076.0,1104.0,538.0,2046.6666666666665,1342.0,204.0,176,0,0,3,63,48.0,2048.0,20216.9804,3372.2365,14272.0504,546,222,0,94,0.25819181963648985,0.7521487162317182,0.4423044713102946,0,7522.120800000013,6154.015100000006,63,0,148.0,0,0,0,0.0,0,0.0,198594.3281347812,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,422.2683000000002,60.0,953.2132,4,83.0939,83.09040000000019,2.0987538484018353,5120.0,76.89127604166667,0.4273107221256203,325,0,0.0,0,2901.144923895404,3936.8333333333335,474,1.9236961934889438,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,176,0.0,0,12,0.0,0,0.0,120.0,3942.744799999999,5175.932263959125,0.0,5175.932263959125,0.0,83.0939,18519.17759999998,18597.500099999997,0.7524685224714494,418,138744.42158041344,94,59849.906554367895,4,0.0,4,0.0,2,592.886,-2765.3424000000005,86.63302507836991,0,0,538,538,10 + responsive prices,sumsy,1,2.764863893389702e-10
8,512,4,4,41660.77639999997,0.0,18924.126500000002,1253.4861000000003,3390.7758000000003,,3390.7758000000003,0.0,0.0,0.0,0.0,0.0,0.0025,273.8299,0.0,0.0,1.0,625.4334000000002,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,234.48393938635874,2.562172554175697,237.04611194053444,10.509442228165122,1.5603525077664562,12.069794735931579,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-430.15515888066767,0.0,78,2560.0,559.3611999999999,2425.9651000000013,277.72929999999957,0.0,0.0,0.0,0.0,0.0,120,606.0641,2560.0,559.3611999999999,277.72929999999957,274.0,0.0,0.0,0.015,5.528754205607478,5.575962246777164,2.891195906432749,2.0015249221183806,3.307342025671126,55.54361103295519,1086.0,1070.0,543.0,2044.0000000000002,1361.0,204.0,170,0,0,0,53,41.0,2048.0,21358.1657,3652.1778,14653.6998,546,222,0,94,0.3024065825204363,0.7582816949410545,0.4456171376403286,1,7561.283099999986,5915.767000000002,53,0,171.0,0,0,0,0.0,0,0.0,207999.04326131468,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,494.3945000000001,69.0,1116.8391000000001,4,136.94799999999998,136.93960000000018,1.9740482481918828,5120.0,72.37630208333333,0.4887077934014042,267,0,0.0,0,2501.8688376065793,3705.6666666666665,474,2.0698744427375755,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,170,0.0,0,12,0.0,0,0.0,120.0,4560.7397,5272.491047881322,0.0,5272.491047881322,0.0,136.94799999999998,19392.759500000004,19422.7167,0.7586995325121924,418,142206.5309765261,94,65792.51228478813,4,0.0,4,0.0,2,606.0641,-3116.9459,96.6189082278481,0,0,543,543,10 + responsive prices,sumsy,1,2.764863893389702e-10
9,512,4,4,43623.96460000004,0.0,19181.257299999972,1257.1979000000001,3737.2742000000007,,3737.2742000000007,0.0,0.0,0.0,0.0,0.0,0.0025,292.3446,0.0,0.0,1.0,620.3283000000001,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,252.45925592480341,2.765285393164319,255.22454131796775,12.019691441598722,1.7447780568403708,13.764469498439093,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-534.0532838806696,0.0,79,2560.0,596.8118000000001,1827.7992000000002,296.3854999999997,0.0,0.0,0.0,0.0,0.0,121,613.8737,2560.0,596.8118000000001,296.3854999999997,274.0,0.0,0.0,0.015,5.471541132776228,5.674754562383602,3.1284355555555545,1.9820895238095242,3.278137590139968,53.87730270196653,1074.0,1077.0,537.0,2048.0,1352.0,204.0,174,0,0,1,58,37.0,2048.0,22424.20800000001,4002.3165,14982.1892,546,222,0,94,0.3244701751457906,0.7612515120752206,0.42499062019136824,0,7454.712099999998,5892.849799999997,58,0,180.0,0,0,0,0.0,0,0.0,220710.4792948252,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,563.1183999999998,72.0,1309.0326,4,196.6319,196.63490000000004,2.1377253502765834,5120.0,71.15885416666667,0.5272576633384444,315,0,0.0,0,2961.2509917331313,3643.3333333333335,474,2.2243493241225516,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,174,0.0,0,12,0.0,0,0.0,120.0,5197.372199999997,4568.592870413107,0.0,4568.592870413107,0.0,196.6319,20346.99550000001,20293.5383,0.7617996150613624,418,151306.2920289518,94,69404.18726587348,4,0.0,4,0.0,2,613.8737,-3444.929600000001,100.07624610591903,0,0,537,537,10 + responsive prices,sumsy,1,2.764863893389702e-10
10,512,4,4,45549.208300000006,0.0,19405.28010000004,1269.6250000000002,4058.8370000000004,,4058.8370000000004,0.0,0.0,0.0,0.0,0.0,0.0025,311.1414,0.0,0.0,1.0,613.9074000000002,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,270.1790976062381,2.6205226333341396,272.7996202395722,14.047461916324032,1.8289534657248327,15.876415382048865,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-640.6694088806695,0.0,80,2560.0,634.7562999999996,1282.4058000000002,315.2991999999998,0.0,0.0,0.0,0.0,0.0,122,618.9534,2560.0,634.7562999999996,315.2991999999998,274.0,0.0,0.0,0.015,5.39855486891386,5.738911460258766,3.3225191489361707,1.9844827586206888,3.2450253776375155,52.26098362090753,1082.0,1068.0,541.0,2046.6666666666667,1364.0,204.0,171,0,0,1,44,38.0,2048.0,23564.827799999995,4403.653499999999,15142.7818,546,222,0,94,0.35369761746479367,0.7636700724435863,0.4310674935726462,1,7435.537500000004,5765.656600000002,44,0,188.0,0,0,0,0.0,0,0.0,231555.14403175112,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,624.6336000000001,76.0,1507.8504000000003,4,209.73699999999997,209.73040000000054,2.3095710665975098,5120.0,70.02766927083333,0.5480123488653273,304,0,0.0,0,2838.634575622944,3585.4166666666665,474,2.345417135813508,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,171,0.0,0,12,0.0,0,0.0,120.0,5820.707099999999,4193.257927712072,0.0,4193.257927712072,0.0,209.73699999999997,21263.041299999997,21054.285700000004,0.7642970530256881,418,160619.36954160777,94,70935.77449014339,4,0.0,4,0.0,2,618.9534,-3747.6956000000005,99.1044761904762,0,0,541,541,10 + responsive prices,sumsy,1,2.764863893389702e-10
11,512,4,4,47435.8692,0.0,19578.243900000023,1265.9690999999998,4353.412400000001,,4353.412400000001,0.0,0.0,0.0,0.0,0.0,0.0025,330.2413,0.0,0.0,1.0,605.7168,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,285.2363358692835,2.6724906040659375,287.90882647334945,16.251760465275588,1.8946139660220236,18.14637443129761,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-749.9218338806726,0.0,82,2560.0,673.3390999999996,2305.7357,334.5262999999991,0.0,0.0,0.0,0.0,0.0,123,622.6599,2560.0,673.3390999999996,334.5262999999991,274.0,0.0,0.0,0.015,5.345523611111109,5.732536567164169,3.360128723404258,1.97564585987261,3.2004311346323533,50.69315411228032,1072.0,1080.0,536.0,2046.6666666666667,1354.0,204.0,173,0,0,2,55,41.0,2048.0,24634.68860000002,4813.1424,15346.3298,546,222,0,94,0.38436380736372033,0.7645737380316922,0.4419137152517907,0,7307.9999,5773.165499999998,55,0,188.0,0,0,0,0.0,0,0.0,240441.12779098575,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,631.7042000000005,76.0,1688.8072000000002,4,263.9961,263.99989999999985,2.441428888031267,5120.0,68.9697265625,0.573251802094558,283,0,0.0,0,3008.9207844253374,3531.25,474,2.4651632769189225,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,173,0.0,0,12,0.0,0,0.0,120.0,6408.973100000008,3595.9066831031932,0.0,3595.9066831031932,0.0,263.9961,22118.54380000001,21848.2794,0.7653360240316984,418,167818.3305270563,94,72622.79726392959,4,0.0,4,0.0,2,622.6599,-4023.171100000001,99.22413793103443,0,0,536,536,10 + responsive prices,sumsy,1,2.764863893389702e-10
12,512,4,4,49282.939700000024,0.0,19482.65810000002,1045.9886000000001,4622.9413,,4622.9413,0.0,0.0,0.0,0.0,0.0,0.0025,349.9247,0.0,0.0,1.0,599.7702000000004,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,295.5956958102884,2.6101396896404947,298.2058354999289,19.005343194657918,1.811454453010429,20.816797647668345,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-861.5667588806697,0.0,85,2560.0,712.9295,2651.4213999999993,354.2856999999993,0.0,0.0,0.0,0.0,0.0,124,625.5959,2560.0,712.9295,354.2856999999993,274.0,0.0,0.0,0.015,5.27513714555766,5.747739738805999,3.4584623711340177,1.9530528662420379,3.2296841316371627,49.1723594889119,1072.0,1058.0,536.0,2045.3333333333335,1356.0,204.0,172,0,0,1,48,28.0,2048.0,25906.832599999998,5206.4169,15318.6439,546,222,0,94,0.4219475753582187,0.7658125589347688,0.4157456641263493,0,7318.910900000006,5581.095100000004,48,0,194.0,0,0,0,0.0,0,0.0,245958.23204590753,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,670.9416999999994,78.0,1875.5257,4,290.31510000000003,290.31529999999987,2.520559926292076,5120.0,67.97688802083333,0.5925286726006831,290,0,0.0,0,3323.359551619543,3480.4166666666665,474,2.547802125315091,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,172,0.0,0,12,0.0,0,0.0,120.0,6755.526999999998,3126.285223286181,0.0,3126.285223286181,0.0,290.31510000000003,23288.035399999997,22400.586499999998,0.7666548448944477,418,172320.49054256149,94,73637.74150334625,4,0.0,4,0.0,2,625.5959,-4273.016600000001,98.7822929936305,0,0,536,536,10 + responsive prices,sumsy,1,2.764863893389702e-10
13,512,4,4,51095.08410000003,0.0,19335.50680000003,1033.2464,4864.8869,,4864.8869,0.0,0.0,0.0,0.0,0.0,0.0025,367.2469,0.0,0.0,1.0,591.8702999999996,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,330.6256460533914,2.7785952381012433,333.4042412914926,21.588777990689216,1.9366360165324783,23.525414007221695,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-973.1710588806734,0.0,89,2560.0,747.8556000000005,3054.864299999998,371.70040000000046,0.0,0.0,0.0,0.0,0.0,125,626.9445000000001,2560.0,747.8556000000005,371.70040000000046,274.0,0.0,0.0,0.015,5.2090363552266465,5.738939365671626,3.6690595744680814,1.9441678343949023,3.194042802362058,47.697188704244546,1072.0,1081.0,536.0,2046.6666666666667,1354.0000000000002,204.0,173,0,0,2,48,39.0,2048.0,27070.07400000002,5604.5681,15368.1013,546,222,0,94,0.4446180624675937,0.7704676689712735,0.427643815614392,0,7239.58930000001,5630.968300000005,48,0,188.0,0,0,0,0.0,0,0.0,267235.44259141776,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,689.7831999999993,76.0,2058.1493,4,310.3481,310.3391999999998,2.8645368887208615,5120.0,67.1142578125,0.6105886232956805,255,0,0.0,0,2534.555959561711,3436.25,474,3.0338364928068966,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,173,0.0,0,12,0.0,0,0.0,120.0,7089.106500000001,2729.272992589755,0.0,2729.272992589755,0.0,310.3481,24525.308800000006,23030.818700000003,0.7714301082374289,418,191584.5636560411,94,75650.87893537649,4,0.0,4,0.0,2,626.9445000000001,-4497.64,97.6526433121019,0,0,536,536,10 + responsive prices,sumsy,1,2.764863893389702e-10
