round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,32969.18599999985,0.0,33091.31239999998,0.0,3511.36,,0.0,0.0,3511.36,0.0,3511.36,0.0,0.00375,127.1352,11820.0036,0.0,1.0,3940.0011999999997,7281.847600000043,0.0,0.0,1.0,0.0,0.0,1.0,0.0,28,0,14.864703713123927,-5.178914235213188,9.68578947791074,4.575250784313726,3.003969019607843,7.579219803921568,0.0,0.0,0.0,0.0,0,0,0.0,0.0,36.1592,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,122.12639999999999,122.12639999999999,0.0,0,7.84,529.214,7.84,555.7763999999563,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3280.0,0.0,0.005,NaN,5.200000000000013,NaN,0.75,3.729700272479588,3.9200000000000013,320.0,0.0,160.0,2048.0,734.0,204.0,328,0,0,0,0,0.0,2048.0,21281.170399999988,3622.8508,4171.8188,768,0,0,128,0.13793956477189262,0.5552292050842336,0.07102808499161894,0,5708.960000000014,0.0,0,0,0.0,512,0,0,21281.170399999988,768,17203.997456234003,17203.997456234003,0.0,0,0,0,1.5,0,0.0,512,512,17203.997456234003,768,30720.0,0,0,0.0,208.0,3766.2108000000003,4,303.2283,212.21040000000093,0.2749664312728519,5120.0,83.671875,-0.19497925781250003,146,0,0.0,0,1519.392696831315,4284.0,132,0.08771287677479628,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,6,6,5541.547,3072,4532.639999999999,4532.639999999999,5239.3200000000015,233.49630000000047,130.6057000000003,102.89060000000018,126.6079,176.62040000000002,5757.279400000001,6019.3333999999995,0.6217343730677269,384,10867.8695045518,128,6336.127951682233,4,592.9599999999999,4,2918.4,2,114.28640000000101,127.1352,11.25,0,0,160,160,SB2 best SuMSy + everyone greedy,debt,6,2.1827872842550278e-11
2,512,4,4,32420.666900000047,0.0,32646.676900000006,0.0,5382.2407,,0.0,0.0,5382.2407,0.0,1870.8807000000002,13.167599999999998,0.00375,421.852,9943.900050000004,0.0,1.0,2689.2655000000022,5647.626566666697,0.0,0.0,1.0,0.0,0.0,1.0,0.0,25,0,25.063130966744314,-3.287908416414077,21.775222550330238,6.1026964879518975,2.832281889363929,8.934978377315828,0.0,0.0,0.0,0.0,0,0,0.0,0.0,382.16600000000005,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,226.01,282.9768000000001,0.0,3,401.18500000000023,949.7041000000002,2702.7612999999997,1126.2691999999863,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,2057.248000000003,0.0,0.006027779723657414,4.893999999999993,5.433841062801944,1.8500000000000085,1.1236062801932376,3.5286078398665333,3.802399999999999,828.0,1148.0,414.0,2048.0,1199.0,204.0,212,0,0,0,74,0.0,2048.0,19393.69240000003,3957.5055999999995,5611.2946999999995,768,0,0,128,0.1976732846461462,0.58287753954124,0.10511596540901391,0,6048.806099999976,5618.311999999992,0,0,258.0,512,0,0,19393.69240000003,768,24806.392899447765,24806.392899447765,0.0,124,258,0,1.5,0,0.0,512,512,24806.392899447765,768,30720.0,0,536,477.30000000000217,165.0,3036.3221999999996,4,132.2375,92.5675999999991,0.4806177782933457,5120.0,73.64908854166667,-0.17555652994791668,784,0,0.0,0,3540.7232205613004,3770.8333333333335,282,0.42752831297134825,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,212,0.0,6,6,6192.6667,3072,4532.639999999999,4532.639999999999,6033.674100000001,7085.675176839313,3677.4880400545335,3408.187136784779,63.7789,68.4586,10369.289700000003,6412.455800000001,0.6267180007574542,384,11148.553742712305,128,13657.839156735401,4,592.9599999999999,4,2918.4,2,218.5620000000002,421.852,11.25,0,0,414,414,SB2 best SuMSy + everyone greedy,debt,6,2.1827872842550278e-11
3,512,4,4,33605.5254,0.0,33714.89860000003,0.0,6123.5766,,0.0,0.0,6123.5766,0.0,741.3359,20.183368124999994,0.00375,316.0782,8664.709500000003,0.0,1.0,2035.4428,4707.592900000038,0.0,0.0,1.0,0.0,0.0,1.0,0.0,19,0,31.286283853205006,-1.4519841663277444,29.834299686877266,5.690951304919197,2.665946697436641,8.356898002355837,0.0,0.0,0.0,0.0,0,0,0.0,0.0,274.65059999999994,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,277.91419999999994,441.0231000000001,0.0,5,2142.0779999999995,957.2194999999997,2060.970099999999,1208.5164999999504,0.0,0.0,0.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,1389.4360000000008,0.0,0.00853005530006408,4.830399999999987,5.471712499999984,1.7695000000000043,1.3282264347826092,3.5017754895341318,7.475359555516477,1152.0,1135.0,576.0,2048.0,1481.0,204.0,141,0,0,0,63,0.0,2048.0,19145.457899999987,5998.8091,5599.5672,757,1,10,126,0.18718494684506526,0.593882396549948,0.11983878893609057,1,6446.856199999993,5482.503999999984,0,0,135.0,512,0,0,19145.457899999987,757,33807.03697123545,33807.03697123545,0.0,111,135,0,1.5,0,0.0,512,512,33807.03697123545,757,30720.0,0,22,238.8825000000006,123.0,2545.6130000000003,4,138.1751,96.7668000000005,0.673998303976479,5120.0,70.60872395833333,-0.173650703125,177,0,0.0,0,510.67202431891457,3615.1666666666665,283,0.5360776770160184,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,141,0.0,6,6,6497.8689,3072,4532.639999999999,4532.639999999999,5769.666,11927.761403274413,6419.914551637208,5507.846851637208,55.3792,82.79589999999999,10244.354300000008,7646.1204,0.6229504929555891,386,16584.383286607874,126,17222.653684627527,4,592.9599999999999,4,2918.4,2,270.85814202898564,316.0782,16.854094202898565,0,0,576,576,SB2 best SuMSy + everyone greedy,debt,6,2.1827872842550278e-11
4,512,4,4,32759.833900000056,0.0,32975.1912,0.0,7032.91,,0.0,0.0,7032.91,0.0,909.3334,22.963468124999995,0.00375,394.2776,8051.580075000002,0.0,1.0,2070.7305999999994,4198.013633333365,0.0,0.0,1.0,0.0,0.0,1.0,0.0,12,0,46.686528219310105,-0.6786461680063798,46.007882051303724,4.477995367574004,2.3191415560924664,6.7971369236664705,0.0,0.0,0.0,0.0,0,0,0.0,0.0,355.81,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,383.8982999999999,615.7121999999993,0.0,21,237.61240000000004,1083.3039000000003,1767.622,1262.5600999999845,0.0,0.0,0.0,0.0,0.0,9,132.7507,0.0,0.0,0.0,0.0,1433.1184000000014,0.0,0.010351021022128246,5.498961938325987,5.424819550173028,1.7294567567567565,1.4267388214904688,3.391794877049201,7.855164083628029,1156.0,1135.0,578.0,2048.0,1464.0,204.0,146,0,0,1,62,0.0,2048.0,17667.14670000004,6021.0124,6318.8534,767,1,0,126,0.15961038662964677,0.6301753357588245,0.1279244621427862,2,6353.651299999993,6241.321799999995,0,0,185.0,512,0,0,17667.14670000004,767,45611.235174097754,45611.235174097754,0.0,112,185,0,1.5,0,0.0,512,512,45611.235174097754,767,30720.0,0,324,319.94949999999994,102.0,2225.7931,4,128.24939999999998,89.77559999999892,1.114110973896582,5120.0,70.37109375,-0.16300351562499998,361,0,0.0,0,397.1220757164722,3603.0,271,0.7878669964308743,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,146,0.0,6,6,6864.933800000001,3072,4532.639999999999,4532.639999999999,5516.033800000002,11595.385710617387,6205.154025050246,5390.231685567141,57.1966,71.05279999999999,8785.81679999999,7700.7251,0.6477647224083991,386,23681.384766512678,126,21929.850407584963,4,592.9599999999999,4,2918.4,2,341.4439999999997,394.2776,19.923396521739136,0,0,578,578,SB2 best SuMSy + everyone greedy,debt,6,2.1827872842550278e-11
5,512,4,4,33598.17160000009,0.0,33801.51740000002,0.0,8086.2474999999995,,0.0,0.0,8086.2474999999995,0.0,1053.3375,26.373446249999997,0.00375,351.7002,7825.914526361237,0.0,1.0,2307.750777268725,4021.777050907511,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10,0,50.044265835572304,-0.4538967384953897,49.590369097076916,3.4699438602579233,1.9233360913212654,5.393279951579189,0.0,0.0,0.0,0.0,0,0,0.0,0.0,335.9258,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,478.89229999999975,782.6273999999996,0.0,66,1915.5033000000003,1077.1655999999996,2918.3646,1238.2073000000241,0.0,0.0,0.0,0.0,0.0,14,17.2922,0.0,0.0,0.0,0.0,1581.886100000002,0.0,0.013550951317011391,5.6713159259259305,5.62794081272085,1.700789743589744,1.5509198934280657,3.509998101643901,7.619509161119189,1132.0,1080.0,566.0,2046.6666666666667,1435.0,204.0,152,1,1,0,41,0.0,2047.0,17564.277899999983,5986.036599999999,8248.2224,760,3,5,125,0.13945196433457885,0.6514425012925977,0.1318819269337126,7,6605.393800000015,6125.021200000005,0,0,117.0,512,1,0,17564.277899999983,760,53190.831878041055,53190.831878041055,0.0,58,117,0,1.5,0,0.0,512,512,53190.831878041055,760,30720.0,0,0,198.99240000000006,97.0,1430.6423000000002,4,52.519999999999996,36.75559999999971,1.4137182649454418,5120.0,70.185546875,-0.15116422200520832,36,0,0.0,0,126.10733449728396,3593.5,269,1.0952171358334446,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,152,0.0,6,6,7872.95,3072,4532.639999999999,4532.639999999999,5102.465800000003,8947.263548691246,4527.926003149138,4419.337545542108,31.6828,20.8372,8562.251999999988,7791.951300000001,0.662164627765133,387,32212.86059696087,125,20977.971281080205,4,592.9599999999999,4,2918.4,2,321.3714116117843,351.7002,21.401082322357034,0,0,566,566,SB2 best SuMSy + everyone greedy,debt,6,2.1827872842550278e-11
6,512,4,4,33896.791000000085,0.0,33995.90330000002,0.0,9617.7265,,0.0,0.0,9617.7265,0.0,1531.4789999999998,30.323307999999997,0.00375,333.5094,7877.280386154349,0.0,1.0,2711.3698950399694,4043.1258407695823,0.0,0.0,1.0,0.0,0.0,1.0,0.0,9,0,57.79484490222861,-0.23937262704356307,57.55547227518504,2.856487688084869,1.7952485281385864,4.651736216223456,0.0,0.0,0.0,0.0,0,0,0.0,0.0,333.50939999999997,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,514.2415999999997,963.4933999999987,0.0,115,1428.8353999999995,1130.2159999999994,2535.0941000000007,1192.0182000000034,0.0,0.0,0.0,0.0,0.0,15,42.8783,0.0,0.0,0.0,0.0,1962.7508999999955,0.0,0.012770370576775157,5.676711058601142,5.663999252336447,1.7019999999999986,1.7220914122137414,3.576324185624844,7.4592469768507685,1070.0,1058.0,535.0,2047.0,1348.0,204.0,174,1,0,2,25,0.0,2047.0,17427.32599999998,5771.3662,9741.892,751,11,6,124,0.11337592788815587,0.6607788399640131,0.1302756635322977,8,6827.502999999991,6005.960300000008,0,0,85.0,512,1,0,17427.32599999998,751,62110.43713184233,62110.43713184233,0.0,36,85,0,1.5,0,0.0,512,512,62110.43713184233,751,30720.0,0,0,144.66999999999987,72.0,579.8191,4,0.0,0.0,1.7434335863457495,5120.0,69.853515625,-0.14226183598953707,36,0,0.0,0,245.70234957953053,3576.5,269,1.2098204123727558,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,174,0.0,6,6,8323.3854,3072,4532.639999999999,4532.639999999999,5186.778399999998,7454.247629601013,3471.575350164661,3982.672279436352,0.0,0.0,8958.742,7769.6919,0.66738878199518,388,39861.480715983875,124,22248.95641585841,4,592.9599999999999,4,2918.4,2,275.693390408523,333.5094,23.263798401420985,0,0,535,535,SB2 best SuMSy + everyone greedy,debt,6,2.1827872842550278e-11
7,512,4,4,35625.70580000004,0.0,35727.60410000005,0.0,11364.2251,,0.0,0.0,11364.2251,0.0,1746.4986000000004,36.06600387499999,0.00375,334.3858,7989.369912915335,0.0,1.0,2887.3023578270836,4106.057603848327,0.0,0.0,1.0,0.0,0.0,1.0,0.0,9,0,54.67575314239703,0.0601643765023643,54.73591751889939,1.9332916757610197,1.8584107373809828,3.7917024131420027,0.0,0.0,0.0,0.0,0,0,0.0,0.0,319.23060000000004,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,517.0275999999999,1148.7621999999972,0.0,143,2905.774299999999,1176.8595000000005,3517.529200000001,1177.7418000000382,0.0,0.0,0.0,0.0,0.0,19,0.0,0.0,0.0,0.0,0.0,2137.9697999999953,0.0,0.015,5.653529506641372,5.7242898076922835,1.7370999999999988,1.8907742514970036,3.642890500442554,7.235469567545246,1040.0,1054.0,520.0,2044.6666666666667,1285.0,204.0,189,0,0,0,19,0.0,2048.0,16767.219599999993,5498.8672,12739.259100000001,744,19,5,125,0.08047330181311096,0.6397840666511494,0.13705481656671337,7,6917.001799999999,5958.820100000006,0,0,84.0,512,0,0,16767.219599999993,744,62630.20844761762,62630.20844761762,0.0,30,84,0,1.5,0,0.0,512,512,62630.20844761762,744,30720.0,0,0,145.9163999999999,39.0,285.9741,4,50.5466,35.37919999999973,1.5926553887661412,5120.0,69.619140625,-0.1417338956022384,47,0,0.0,0,171.85801025847908,3564.5,268,1.187779581498154,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,189,0.0,6,6,9960.5631,3072,4532.639999999999,4532.639999999999,4990.2628999999915,5029.694184761011,2049.1645582564906,2980.52962650452,50.5466,0.0,8993.158500000007,8563.5373,0.6480061517216908,387,37964.908799186494,125,24665.29964843112,4,592.96,4,2918.4,2,225.56715591602952,334.3858,25.83137118320612,0,0,520,520,SB2 best SuMSy + everyone greedy,debt,6,2.1827872842550278e-11
8,512,4,4,36133.96509999994,0.0,36232.41049999999,0.0,13182.486700000005,,0.0,0.0,13182.486700000005,0.0,1818.2616000000007,42.613725875000014,0.00375,289.7701,8097.591956753819,0.0,1.0,2951.7154212077353,4190.236604502557,0.0,0.0,1.0,0.0,0.0,1.0,0.0,9,0,62.301483222279415,0.19498620861464,62.496469430894045,1.955645234756008,1.9888916879142997,3.944536922670308,0.0,0.0,0.0,0.0,0,0,0.0,0.0,288.2341,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,513.5746999999994,1370.6668999999986,0.0,176,1847.1343999999995,1338.8751000000013,2278.7243000000017,1131.4544999999634,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,2205.4482999999964,0.0,0.015,5.642919084712747,5.812319083969427,1.7509999999999994,1.9672923694779139,3.6565457372844414,7.018405480518889,1048.0,1027.0,524.0,2048.0,1268.0,204.0,195,0,0,0,2,0.0,2048.0,16700.68769999999,5250.1285,13873.3206,738,26,4,126,0.08299945768522554,0.6484463553688276,0.13963189838669132,7,6975.013999999989,5795.277899999991,0,0,27.0,512,0,0,16700.68769999999,738,70135.79026652136,70135.79026652136,0.0,3,27,0,1.5,0,0.0,512,512,70135.79026652136,738,30720.0,0,0,47.27699999999999,14.0,20.058199999999996,4,5.0727,3.5327999999999675,1.8118606778364348,5120.0,69.18619791666667,-0.1316775703865706,51,0,0.0,0,329.1594321334785,3542.3333333333335,268,1.2614107350987591,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,195,0.0,6,6,9487.9154,3072,4532.639999999999,4532.639999999999,4968.840100000003,4479.280474358544,2357.2361281321046,2122.04434622644,5.0727,0.0,8947.056500000006,9655.5919,0.6561220305753876,386,41950.92846897937,126,28184.86179754189,4,592.96,4,3295.756,2,206.79585508982075,289.7701,28.361613772455055,0,0,524,524,SB2 best SuMSy + everyone greedy,debt,6,2.1827872842550278e-11
9,512,4,4,35889.70230000005,2.7179,32669.893100000038,0.0,15107.627499999973,,0.0,15.9792,15091.648299999973,0.0,1909.1616000000067,49.15669937499991,0.00375,302.952,8196.477709452736,0.0,1.0,2995.8545770146925,4249.379384079608,0.0,0.0,1.0,0.0,0.0,1.0,0.0,9,0,65.9788616368372,0.2842059153665004,66.2630675522037,2.015008931059303,1.9268606308581293,3.941869561917432,0.0,0.0,0.0,0.0,0,0,0.0,0.0,301.7232,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,483.8089999999994,1592.7801000000052,3304.87,206,1082.2456000000004,1323.7904999999992,1558.8734000000009,1133.0518000000409,0.0,0.0,0.0,0.0,0.0,22,0.0,0.0,0.0,0.0,0.0,2250.9840000000027,9.3899,0.015,5.63227831900669,6.1048631067961425,1.7650000000000003,1.9745975103734443,3.6741976134364176,4.603831096015298,1030.0,1047.0,515.0,2048.0,1249.0,204.0,199,0,0,0,11,0.0,2048.0,16099.485200000001,5125.7723000000005,14358.4591,731,33,4,126,0.08476723764376204,0.6481566836602712,0.13846584465822254,6,6947.326999999972,5896.995400000004,0,0,24.0,512,0,0,16099.485200000001,731,74009.40978965625,74009.40978965625,0.0,23,24,0,1.5,0,0.0,512,512,74009.40978965625,731,20480.0,0,0,42.36000000000001,7.0,3.0337,2,4.1631,2.9184000000000156,1.891744610987777,5120.0,53.4033203125,-0.011646557734845622,32,0,0.0,0,154.73025848893218,2734.25,268,1.998251096394631,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,199,0.0,6,4,9462.747,3072,4532.639999999999,3309.6,5053.6309,3945.2323984427903,2333.2765409422823,1611.9558575005083,4.1631,0.0,8515.033299999997,10024.518100000001,0.7254125761539747,386,43959.77467817411,126,30049.635111482068,4,592.96,4,3358.2651,2,-3109.1935578313246,286.9728,29.509385542168708,0,2,515,515,SB2 best SuMSy + everyone greedy,debt,6,2.1827872842550278e-11
10,512,4,4,35626.985500000046,7.3033,29128.06910000003,0.0,16953.83839999996,,0.0,199.8836,16753.95479999996,0.0,1662.3064999999983,56.311385374999794,0.00375,292.3556,8257.40919821007,0.0,1.0,2935.264199008693,4291.441918806719,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8,0,73.0509378383772,0.9689053184238807,74.01984315680107,1.9173881533955788,1.9793534652259956,3.8967416186215744,0.0,0.0,0.0,0.0,0,0,0.0,0.0,292.3556,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,469.65149999999915,1815.992900000005,6574.7116,219,1095.1512999999995,1353.2827000000004,3174.9173,1134.860999999999,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,2191.804899999997,0.0,0.015,5.634842829643884,6.1151965583174,1.767899999999999,2.0091991735537174,3.660901683550314,2.9801057499258943,1046.0,1039.0,523.0,2048.0,1270.0,204.0,194,0,0,0,9,0.0,2048.0,15840.407799999997,5018.8973000000005,14475.3248,725,39,4,126,0.07604133826734594,0.614673192649547,0.13940612928687424,4,6967.435700000007,5854.601699999996,0,0,44.0,512,0,0,15840.407799999997,725,84479.21933927693,84479.21933927693,0.0,15,44,0,1.5,0,0.0,512,512,84479.21933927693,725,20480.0,0,0,77.78759999999996,0.0,0.0,0,0.0,0.0,2.1660682048604656,5120.0,53.0712890625,0.006301541266856848,31,0,0.0,0,133.04767940761033,2717.25,268,2.0251683560385083,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,194,0.0,4,4,9538.2275,2048,3309.6,3309.6,5226.7966,4712.083719302558,2588.067193417343,2124.0165258852157,0.0,0.0,8339.9162,9955.9946,0.7507162453310938,386,52003.93490425595,126,32475.2844350208,4,592.96,4,3358.2651,2,-6392.055849377593,92.47199999999998,29.618962655601663,0,4,523,523,SB2 best SuMSy + everyone greedy,debt,6,2.1827872842550278e-11
11,512,4,4,35927.869,13.2852,29442.955199999975,0.0,18911.898199999894,,0.0,818.2855,18093.612699999896,0.0,1339.6578999999977,62.81279462499995,0.00375,298.893,8328.561256486379,0.0,1.0,3013.360613083149,4335.823034627288,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8,2,76.16620078019096,1.0522041267529638,77.21840490694393,2.027330933947727,1.881783265611794,3.9091141995595207,0.0,0.0,0.0,0.0,0,0,0.0,0.0,298.893,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,477.6721999999995,2024.8928000000044,6574.7116,235,1688.7245999999989,1381.859199999998,2896.4143,1125.6646999999991,0.0,0.0,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,2269.561000000003,0.0,0.015,5.6131877979027625,6.1485400770712815,NaN,2.013156722689075,3.6635355735635016,2.8907025774281183,1038.0,1049.0,519.0,2048.0,1244.0,204.0,201,0,0,0,16,0.0,2048.0,15928.095100000015,4980.7456,14720.1353,722,43,3,126,0.08475801290507423,0.6154355890623882,0.13704706393422317,9,6954.63599999998,5888.233999999998,0,0,0.0,512,0,0,15928.095100000015,722,87866.4944013616,87866.4944013616,0.0,25,0,0,1.5,0,0.0,512,512,87866.4944013616,722,20480.0,0,0,0.0,0.0,0.0,0,0.0,0.0,2.239185706137313,5120.0,52.724609375,0.029444715666967942,31,0,0.0,0,164.3503762388171,2699.5,268,2.09337732827282,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,201,0.0,4,4,9574.6021,2048,3309.6,3309.6,5425.484499999993,4348.851097099007,2473.433197197961,1875.417899901046,0.0,0.0,8438.205199999997,10126.2788,0.7462176053244745,386,53755.50881144106,126,34110.98558992049,4,592.96,4,3358.2651,2,-6411.705037190081,-519.3924999999999,30.13798760330576,0,4,519,519,SB2 best SuMSy + everyone greedy,debt,6,2.1827872842550278e-11
12,512,4,4,36602.82159999997,19.2671,29754.068699999993,0.0,20825.63909999991,,0.0,1629.8381,19195.80099999991,0.0,1102.1883000000005,67.83156837499997,0.00375,306.3731,8377.095698525925,0.0,1.0,2970.32485365365,4364.095174017288,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8,0,78.26292347394528,1.1433505408979878,79.40627401484326,2.1516372785816205,1.9178805194143007,4.069517797995921,0.0,0.0,0.0,0.0,0,0,0.0,0.0,306.37309999999997,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,107.85120000000015,2245.1026999999976,6574.7116,249,2138.8660000000027,1457.9314999999988,3012.854600000002,1136.009600000001,0.0,383.75550000000004,0.0,0.0,0.0,18,0.0,0.0,0.0,0.0,0.0,2229.3846000000012,0.0,0.015,5.584058614232212,6.208825904761892,NaN,2.016223255813956,3.646248558378321,2.803981500105274,1050.0,1068.0,525.0,2048.0,1256.0,204.0,198,0,0,0,16,0.0,2048.0,16538.142800000005,4875.2692,14883.036500000002,714,52,2,126,0.08911443313351497,0.6125591563781236,0.13710570185792914,9,7314.448999999995,5963.7746000000025,0,0,0.0,512,0,0,16538.142800000005,714,90273.67725263925,90273.67725263925,0.0,44,0,0,1.5,0,0.0,512,512,90273.67725263925,714,20480.0,0,0,0.0,0.0,0.0,0,0.0,0.0,2.2690334657358107,5120.0,52.294921875,0.05627173678358062,35,0,0.0,0,205.47216046226373,2677.5,268,2.1725517901520357,0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,198,0.0,4,4,9584.4236,2048,3309.6,3309.6,5562.370600000004,4636.503816347591,2636.214310094126,2000.289506253465,0.0,0.0,8973.550500000001,10173.8821,0.7474304983240736,386,55233.191939669654,126,35040.48531296948,4,592.96,4,3358.2651,2,-6811.153298319328,-1323.465,30.197350840336128,0,4,525,525,SB2 best SuMSy + everyone greedy,debt,6,2.1827872842550278e-11
