round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,110251.12790000105,0.0,2594.5801,772.0801,757.3501,,757.3501,0.0,0.0,0.0,0.0,0.0,0.0025,966.7313,0.0,0.0,1.0,757.3500000000007,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,23.842392447349305,14.22606274509804,38.068455192447345,2.9248761074800274,13.142629774872912,16.06750588235294,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0,2560.0,1938.14249999999,772.0801,968.3024999999918,0.0,0.0,0.0,0.0,0.0,0,249.6934,2560.0,1938.14249999999,968.3024999999918,268.0,0.0,0.0,0.0,6.75,7.019999999999987,NaN,1.012500000000002,4.679418250950545,5.292000000000001,320.0,71.0,160.0,2048.0,526.0,204.0,380,0,0,0,42,29.0,2048.0,101663.76020000082,3075.9576,4294.9854,732,36,0,122,0.02627702505753704,0.21610094723019557,0.7520994483337158,0,3367.479200000004,479.25,42,0,0.0,0,0,0,0.0,0,0.0,141315.84030000135,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,380,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23727745679592216,390,79786.07430000023,122,61529.766,4,3075.9576000000006,4,4280.2554,2,249.6934,209.38120000000004,50.62500000000001,0,0,160,160,"E2 + government, full money stock",sumsy,1,0.0
2,512,4,4,110859.5674999998,0.0,13002.070700000007,2842.2176999999997,719.4827,,719.4827,0.0,0.0,0.0,0.0,0.0,0.0025,1145.6885,0.0,0.0,1.0,757.3500000000007,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,24.634534495279627,13.377121859114016,38.011656354393644,6.122365577342048,9.463841684822077,15.586207262164125,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-7.720899999999999,0.0,3,2560.0,1951.5604000000078,4767.4968,972.7216000000033,0.0,0.0,0.0,0.0,0.0,0,390.70910000000003,2560.0,1951.5604000000078,972.7216000000033,268.0,0.0,0.0,0.015,6.391151143641348,7.39701648106899,NaN,1.5207865900383146,4.710696920289939,5.13324,898.0,1093.0,449.0,2048.0,1104.0,204.0,236,0,0,3,59,42.0,2048.0,97400.28979999984,3628.6891,8294.190999999999,580,188,0,97,0.05464856845515764,0.22475224101102187,0.4827496521105208,0,6465.98330000002,6985.528199999993,59,0,0.0,0,0,0,0.0,0,0.0,139682.94060000003,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,236,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2539910201072886,415,90688.03149999988,97,48994.909100000055,4,3719.8123000000123,4,5519.8997,2,390.70910000000003,426.20579999999995,50.6250000000001,0,0,449,449,"E2 + government, full money stock",sumsy,1,0.0
3,512,4,4,111455.08709999998,0.0,15914.814618007676,3265.1667000000007,681.6153,,681.6153,0.0,0.0,0.0,0.0,0.0,0.0025,1363.4206,0.0,0.0,1.0,717.0855000000005,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,38.649569677707085,13.92431825643171,52.573887934138796,10.021050909445714,6.9061502392904295,16.927201148736145,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-43.47729999999999,0.0,8,2560.0,1964.4803999999983,8624.4677,976.6561000000003,0.0,0.0,0.0,0.0,0.0,0,93.7875,2560.0,1964.4803999999983,976.6561000000003,268.0,0.0,0.0,0.015,6.301655327102732,7.303146753246762,NaN,1.8049187319884727,4.370803705854071,4.979242800000001,1078.0,1070.0,539.0,2044.0000000000002,1283.9999999999998,204.0,189,0,0,1,56,33.0,2048.0,94536.7976,4105.8472,11355.234199999999,576,192,0,97,0.08045031326130547,0.28672345877364247,0.4243732146951089,0,7165.821399999972,6742.771199999923,56,0,0.0,0,0,0,0.0,0,0.0,153721.20701111096,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,189,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3304104906925265,415,89510.69590000011,97,64210.51111111112,4,9450.729946360147,4,5515.0533,2,484.4966,681.8052999999999,76.03932950191573,0,0,539,539,"E2 + government, full money stock",sumsy,1,0.0
4,512,4,4,112038.6301000001,0.0,15123.823300000004,44.07,643.7479,,643.7479,0.0,0.0,0.0,0.0,0.0,0.0025,1589.7823,0.0,0.0,1.0,707.0436000000005,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,46.10706898034662,13.964724165869619,60.07179314621624,10.319342899821951,7.186240975561363,17.505583875383316,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-110.07889999999999,0.0,12,2560.0,1976.457000000002,3705.7391000000002,980.3038000000008,0.0,0.0,0.0,0.0,0.0,0,347.9566,2560.0,1976.457000000002,980.3038000000008,268.0,0.0,0.0,0.015,6.093754093836287,7.21619611829942,NaN,1.945180515759312,3.9399396177801917,4.829865515999999,1082.0,1087.0,541.0,2046.6666666666667,1288.0,204.0,189,0,0,1,55,42.0,2048.0,94246.33960000002,4534.8436,11319.707999999999,576,192,0,97,0.07996134744579608,0.31513304554573596,0.3874021331668598,0,6686.970699999987,6623.910700000044,55,0,0.0,0,0,0,0.0,0,0.0,160805.35108126834,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,189,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3674305244982463,415,88131.08650000006,97,72674.26458126804,4,13098.483427089339,4,5778.5102,2,719.1303,946.0344000000001,90.24593659942364,0,0,541,541,"E2 + government, full money stock",sumsy,1,0.0
5,512,4,4,112610.41749999998,0.0,15844.526012607434,1.8234,605.8805,,605.8805,0.0,0.0,0.0,0.0,0.0,0.0025,1837.3406,0.0,0.0,1.0,683.7212999999995,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,52.03924297399389,14.007712580442401,66.0469555544363,11.190574603740094,7.8062980638535295,18.996872667593625,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-173.68169999999998,0.0,18,2560.0,1988.212599999998,6385.0752,983.6407999999993,0.0,0.0,0.0,0.0,0.0,0,470.1595,2560.0,1988.212599999998,983.6407999999993,268.0,0.0,0.0,0.015,5.91229175824175,7.093614100185551,NaN,2.133107552870088,3.901437234679426,4.684969550520001,1078.0,1092.0,539.0,2046.6666666666667,1284.0,204.0,191,0,0,2,62,50.0,2048.0,94094.84680000003,4896.4818,11311.5888,560,208,0,95,0.08896554541194823,0.33476553758343286,0.4190859876687594,0,6652.105800000001,6456.222599999991,62,0,0.0,0,0,0,0.0,0,0.0,163884.99385386828,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,191,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39167917502684846,417,88414.01510945565,95,75470.97874441258,4,15297.723551289404,4,6069.373999999999,2,821.7978,1231.4601,97.2590257879656,0,0,539,539,"E2 + government, full money stock",sumsy,1,0.0
6,512,4,4,113170.7516,0.0,14929.362900000004,0.0,568.0131,,568.0131,0.0,0.0,0.0,0.0,0.0,0.0025,2102.5559,0.0,0.0,1.0,663.3569999999995,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,59.357861392074625,14.034604492398152,73.39246588447278,11.910907591146358,8.672435946205024,20.583343537351382,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-233.8403999999999,0.0,22,2560.0,1999.665900000002,4259.2441,986.6817000000008,0.0,0.0,0.0,0.0,0.0,0,535.7744,2560.0,1999.665900000002,986.6817000000008,268.0,0.0,0.0,0.015,5.7813522359657314,6.9381587037037,NaN,2.1748743975903624,3.806000260711282,4.5444204640044,1080.0,1051.0,540.0,2045.3333333333333,1286.0000000000002,204.0,189,0,0,2,51,28.0,2048.0,94300.68300000002,5152.4326,11079.3057,560,208,0,95,0.09469101008526204,0.35565210244988466,0.42678362521832747,0,6548.929199999989,6076.201199999984,51,0,0.0,0,0,0,0.0,0,0.0,168466.57648036268,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,189,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.41662546848053594,417,87327.01880000005,95,81139.55768036244,4,18077.01114984891,4,6136.0739,2,867.8773000000001,1534.5427999999997,106.6553776435044,0,0,540,540,"E2 + government, full money stock",sumsy,1,0.0
7,512,4,4,113719.80429999993,0.0,14014.198599999996,0.0,530.1457,,530.1457,0.0,0.0,0.0,0.0,0.0,0.0025,2379.2249,0.0,0.0,1.0,648.6690000000003,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,62.22741481104488,14.182798517529156,76.41021332857403,12.351555692008233,9.614662406175777,21.96621809818401,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-290.53659999999985,0.0,27,2560.0,2010.9472999999991,5168.6349,989.490799999999,0.0,0.0,0.0,0.0,0.0,0,566.1902,2560.0,2010.9472999999991,989.490799999999,268.0,0.0,0.0,0.015,5.631041681736001,6.865666728624538,NaN,2.1390515151515173,3.7136674109792174,4.408087850084268,1076.0,1106.0,538.0,2045.3333333333333,1282.0,204.0,190,0,0,1,63,48.0,2048.0,94212.55759999997,5433.9367999999995,11127.8948,560,208,0,95,0.09724792665437842,0.36356013669421716,0.4290918562959012,0,6400.983400000005,6227.932100000017,63,0,0.0,0,0,0,0.0,0,0.0,168661.71093253017,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,190,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4280632319145923,417,86140.62729999998,95,82521.08363253014,4,19361.787334939774,4,6483.646000000002,2,878.7577,1849.0792000000001,108.74371987951812,0,0,538,538,"E2 + government, full money stock",sumsy,1,0.0
8,512,4,4,114257.856,0.0,13099.034300000008,0.0,492.2783,,492.2783,0.0,0.0,0.0,0.0,0.0,0.0025,2669.0567,0.0,0.0,1.0,631.8032,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,63.49605775795531,14.251476611124788,77.7475343690801,13.275250729991507,10.468759931330856,23.744010661322363,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-343.7702999999999,0.0,33,2560.0,2021.9482999999998,5249.380099999999,992.0492999999997,0.0,0.0,0.0,0.0,0.0,0,579.4343,2560.0,2021.9482999999998,992.0492999999997,268.0,0.0,0.0,0.015,5.5057374531835475,6.820093750000017,NaN,2.0558958333333344,3.6077394719402736,4.275845214581739,1088.0,1068.0,544.0,2046.6666666666667,1294.0,204.0,188,0,0,2,53,41.0,2048.0,94364.72390000004,5771.0398000000005,10873.6013,560,208,0,95,0.10343186201764332,0.36649027214884256,0.4057417078965373,0,6290.23199999998,5880.127600000029,53,0,0.0,0,0,0,0.0,0,0.0,166924.62472424246,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,188,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4330018880540256,417,85150.37630000005,95,81774.24842424248,4,19895.22915757577,4,6528.3355,2,872.4664,2176.7784,106.95257575757586,0,0,544,544,"E2 + government, full money stock",sumsy,1,0.0
9,512,4,4,114785.11459999991,0.0,12183.869999999997,0.0,454.41089999999997,,454.41089999999997,0.0,0.0,0.0,0.0,0.0,0.0025,2968.8119,0.0,0.0,1.0,617.7425999999999,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,63.30983173982554,14.333273401994092,77.64310514181965,14.036779666041829,11.157970285422685,25.194749951464512,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-393.5415999999999,0.0,39,2560.0,2032.7413999999994,6366.0946,994.3951,0.0,0.0,0.0,0.0,0.0,0,584.344,2560.0,2032.7413999999994,994.3951,268.0,0.0,0.0,0.015,5.39319610027859,6.702429291044787,NaN,2.03811951219512,3.542882714330043,4.147569858144287,1072.0,1077.0,536.0,2045.3333333333335,1278.0,204.0,191,0,0,1,58,37.0,2048.0,94428.49129999997,6082.7063,10720.7611,560,208,0,95,0.10864106634398718,0.3653147335000382,0.44603230142235484,0,6126.028800000003,5808.472200000042,58,0,0.0,0,0,0,0.0,0,0.0,163773.82123333332,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,191,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4339214455034741,417,83964.93480000003,95,79808.8864333334,4,19910.973366666687,4,6674.478300000001,2,857.8407,2514.4010000000003,102.79479166666673,0,0,536,536,"E2 + government, full money stock",sumsy,1,0.0
10,512,4,4,115301.81239999994,0.0,11268.705699999999,0.0,416.5435,,416.5435,0.0,0.0,0.0,0.0,0.0,0.0025,3276.7138,0.0,0.0,1.0,605.1150000000004,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,64.87812901213827,14.348580942628129,79.22670995476639,15.036045719358507,11.684385325668739,26.720431045027244,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-439.84949999999975,0.0,41,2560.0,2043.3022,2567.1009,996.5481000000001,0.0,0.0,0.0,0.0,0.0,0,585.1802,2560.0,2043.3022,996.5481000000001,268.0,0.0,0.0,0.015,5.306657156220753,6.714151571164508,NaN,1.976606606606607,3.4725584646360406,4.023142762399957,1082.0,1069.0,541.0,2046.6666666666665,1288.0,204.0,190,0,0,1,44,39.0,2048.0,94563.11379999993,6464.3186000000005,10412.486,560,208,0,95,0.11599799363063723,0.3692895899529618,0.4347019403486958,0,6057.810299999991,5672.816499999985,44,0,0.0,0,0,0,0.0,0,0.0,162524.49494146308,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,190,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4400655547546526,417,82897.42549999998,95,79627.06944146338,4,20676.608726829254,4,6665.1862,2,839.1415,2860.1702999999998,101.90597560975601,0,0,541,541,"E2 + government, full money stock",sumsy,1,0.0
11,512,4,4,115808.14599999995,0.0,10353.541099999999,0.0,378.67609999999996,,378.67609999999996,0.0,0.0,0.0,0.0,0.0,0.0025,3589.5673,0.0,0.0,1.0,595.4046000000004,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,64.67653070419954,14.395144036787531,79.07167474098706,15.497447039496102,12.399038811483106,27.896485850979207,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-482.69519999999994,0.0,46,2560.0,2053.6664,5355.3432999999995,998.5428000000006,0.0,0.0,0.0,0.0,0.0,0,584.1062,2560.0,2053.6664,998.5428000000006,268.0,0.0,0.0,0.015,5.189089898053754,6.572151028037387,NaN,1.9497177370030576,3.3915772201629912,3.902448479527959,1070.0,1079.0,535.0,2046.6666666666665,1276.0,204.0,193,0,0,2,55,41.0,2048.0,94609.24920000005,6803.8563,10221.367,560,208,0,95,0.12005982720490249,0.3689542564849102,0.4420327898445724,0,5891.203300000017,5599.028,55,0,0.0,0,0,0,0.0,0,0.0,159962.05708498473,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,193,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4421200687459077,417,81860.34179999998,95,78101.71528498498,4,20945.309008708715,4,6773.0503,2,818.5321,3210.8912,98.83033033033036,0,0,535,535,"E2 + government, full money stock",sumsy,1,0.0
12,512,4,4,116304.31399999997,0.0,9438.376499999998,0.0,340.8087,,340.8087,0.0,0.0,0.0,0.0,0.0,0.0025,3910.4853,0.0,0.0,1.0,582.2160000000002,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,66.10122304946167,14.171691910929301,80.27291496039096,16.555073697700777,12.772249146129804,29.32732284383058,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-522.0782999999999,0.0,53,2560.0,2063.832000000001,5530.1937,1000.3486000000004,0.0,0.0,0.0,0.0,0.0,0,582.1104,2560.0,2063.832000000001,1000.3486000000004,268.0,0.0,0.0,0.015,5.248931379962198,6.534888432835819,NaN,1.9167734756097552,3.3119744808776437,3.78537502514212,1072.0,1058.0,536.0,2045.3333333333333,1278.0,204.0,191,0,0,1,48,28.0,2048.0,94602.26369999997,7171.320900000001,10038.1337,560,208,0,95,0.12769255594255569,0.37272451926608174,0.4288087086296577,0,5787.543500000024,5553.369400000006,48,0,0.0,0,0,0,0.0,0,0.0,158315.97133608555,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,191,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4483405903977693,417,80803.4451,95,77512.52623608564,4,21602.026164831794,4,6888.8000999999995,2,797.0009,3569.6766,97.48588685015288,0,0,536,536,"E2 + government, full money stock",sumsy,1,0.0
13,512,4,4,116790.51020000016,0.0,8523.2122,0.0,302.9413,,302.9413,0.0,0.0,0.0,0.0,0.0,0.0025,4219.8117,0.0,0.0,1.0,588.9275999999996,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,64.7436982364437,13.854182624519723,78.59788086096343,17.347088738665946,12.760023217333842,30.107111955999784,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-557.9983000000001,0.0,54,2560.0,2073.8037999999974,37.7906,1002.1723999999991,0.0,0.0,0.0,0.0,0.0,0,579.5617,2560.0,2073.8037999999974,1002.1723999999991,268.0,0.0,0.0,0.015,5.180877818853973,6.512857462686596,NaN,1.9381243902439032,3.301033959962271,3.6718137743878567,1072.0,1082.0,536.0,2046.6666666666667,1278.0,204.0,192,0,0,1,48,39.0,2048.0,94542.6073,7531.2989,9917.230599999999,560,208,0,95,0.13445676688410413,0.3746096759571711,0.41306707018493505,0,5781.79210000001,5605.709799999999,48,0,0.0,0,0,0,0.0,0,0.0,156447.6638170733,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45309216043647127,417,79767.29459999995,95,76680.36921707312,4,22188.280646341456,4,7066.88,2,774.9168,3916.8704000000002,95.83867378048777,0,0,536,536,"E2 + government, full money stock",sumsy,1,0.0
14,512,4,4,117266.95920000016,0.0,7608.047700000002,0.0,265.0739,,265.0739,0.0,0.0,0.0,0.0,0.0,0.0025,4531.736,0.0,0.0,1.0,581.2929,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,67.20392134339939,13.55642079578275,80.76034213918213,18.66731314826572,12.710294215568931,31.377607363834652,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-590.4555999999999,0.0,56,2560.0,2083.5510000000004,2511.8612,1003.8682,0.0,0.0,0.0,0.0,0.0,0,576.8095,2560.0,2083.5510000000004,1003.8682,268.0,0.0,0.0,0.015,5.126792030360536,6.448046455223902,NaN,1.9103875,3.2382423249416608,3.5616593611562206,1072.0,1054.0,536.0,2046.6666666666665,1278.0,204.0,192,0,0,2,48,23.0,2048.0,94598.74700000005,7893.0921,9666.5746,560,208,0,95,0.14345207856832887,0.38163707012467696,0.4280974072332848,0,5691.289200000003,5403.638800000005,48,0,0.0,0,0,0,0.0,0,0.0,156215.41732682916,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4624471811337709,417,78507.75720000004,95,77707.66012682929,4,23341.020158536587,4,7115.207,2,752.6292,4266.6621,96.90621951219515,0,0,536,536,"E2 + government, full money stock",sumsy,1,0.0
