round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,26747.24009999995,0.0,2291.6027999999983,1279.1028000000001,445.2001,,445.2001,0.0,0.0,0.0,0.0,0.0,0.0025,117.0831,1683.0,0.0,0.9588,561.0,848.7979000000003,0.02,115.79999999999984,1.02,0.0,0.0,1.02,0.0,0,0,46.87432743637139,2.6149643137254897,49.489291750096875,5.431519411764706,2.5840058823529413,8.015525294117648,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.02,1.02,0.0,0.0,0.0,0.0612,0.5,0.25,0.0,0.0,0.0,50,2560.0,238.03990000000022,3379.3029999999994,234.1743999999998,0.0,0.0,0.0,0.0,0.0,0,258.1752,2560.0,238.03990000000022,118.37440000000007,274.0,0.0,769.9,0.0,5.0,5.200000000000013,2.0,0.75,3.594822888283399,3.9200000000000013,320.0,178.0,160.0,2048.0,734.0,204.0,328,0,0,0,100,28.0,2048.0,17803.26200000005,1700.0369999999998,4305.1124,701,67,0,117,0.1549519549817968,0.5894449788267726,0.6631039842639432,1,5213.599399999997,890.0,40,0,520.0,128,0,0,5941.079900000005,701,44105.10704367564,57659.74585671929,0.0,110,0,0,1.5,0,0.0,128,128,44105.10704367564,701,59217.0,0,50,1040.0,208.0,2563.5704,4,36.539,36.53840000000001,0.4479954514343385,5120.0,95.0634765625,0.1534199153645833,216,0,0.0,0,3798.253786995694,4867.25,158,0.5714043843119537,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,0,12,0.0,0,0.0,120.0,0.5,632.8876000000005,0.0,632.8876000000005,0.0,36.539,6799.343700000002,8568.7198,0.5982248836334654,395,27127.74188824785,117,30532.003968471192,4,0.0,4,0.0,2,258.1752,-328.117,37.5,0,0,160,160,S2 rung 12 + greedy quarter,sumsy,7,-2.9103830456733704e-11
2,512,4,4,29009.125300000014,0.0,13399.120699999996,5387.3381,525.8533000000003,,525.8533000000003,0.0,0.0,0.0,0.0,0.0,0.0025,148.2701,1683.0,0.0,0.91929744,561.0,698.4748333333339,0.02,363.26369999999935,1.0404,0.0,0.0,1.0404,0.0,0,0,115.3275384726127,2.3607996949821635,117.68833816759486,4.745837058823529,1.9175145098039217,6.6633515686274505,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0404,1.0404,0.0,0.0,0.0,0.062424,0.5,0.25,0.0,-8.339024999999978,0.0,52,2560.0,298.1147999999998,6487.482000000001,514.0291999999993,0.0,0.0,0.0,0.0,0.0,89,147.4968,2560.0,298.1147999999998,150.7655000000003,274.0,0.0,553.716100000001,0.015,4.940662045060658,5.498240909090905,2.2103188679245287,1.0747852112676064,3.5536669310071045,19.828112575757576,1012.0,1154.0,506.0,2048.0,1261.0,204.0,196,0,0,1,88,31.0,2048.0,16511.146299999975,2035.703,9679.508,546,222,0,91,0.1583819704008269,0.7257426977393426,0.44251425218150353,1,6821.694899999983,5701.523999999999,44,0,106.0,128,0,0,5223.049499999999,546,79625.25299009652,95380.61883035253,0.0,84,0,0,1.5,0,0.0,128,128,79625.25299009652,546,58666.0,0,398,234.29380000000006,43.0,487.0011,4,4.2706,4.271599999999981,0.9423569205147002,5120.0,92.880859375,0.1391480126953125,643,0,0.0,0,3616.719726025114,4755.5,307,0.9050679181063179,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,196,0.0,0,12,0.0,0,0.0,120.0,629.2139,8230.771288828417,0.0,8230.771288828417,0.0,4.2706,10095.157599999995,12202.2121,0.7284917116792669,421,71191.7882555026,91,24188.830574850144,4,0.0,4,0.0,2,405.672,-377.5832000000003,37.5,0,0,506,506,S2 rung 12 + greedy quarter,sumsy,7,-2.9103830456733704e-11
3,512,4,4,31225.992400000017,0.0,14670.142811267617,758.2668999999997,543.0486000000002,,543.0486000000002,0.0,0.0,0.0,0.0,0.0,0.0025,174.3975,1676.3445000000002,0.0,0.8814223854719999,554.3445000000003,621.3716000000005,0.02,388.8791000000001,1.061208,0.0,0.0,1.061208,0.0,0,0,165.22864639173756,2.6022555172332993,167.83090190897087,7.244794334383057,1.9890933938942312,9.233887728277288,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.061208,1.061208,0.0,0.0,0.0,0.06367247999999999,0.5,0.25,0.0,-69.33034999999983,0.0,57,2560.0,343.13289999999967,4845.7219000000005,565.9730999999998,0.0,0.0,0.0,0.0,0.0,150,374.5272,2560.0,343.13289999999967,177.094,274.0,0.0,332.87989999999985,0.015,5.191231770833321,5.460912500000038,2.3105574074074076,1.3118592814371255,3.4174118507769076,19.23326919848485,1152.0,1152.0,576.0,2046.6666666666667,1401.9999999999998,204.0,161,0,0,2,82,24.0,2048.0,17890.98610000001,2225.9934,9964.2456,526,242,0,89,0.21674782164510287,0.7614244987200611,0.34874976180662287,1,7871.3089,5980.298999999985,39,0,108.0,128,0,0,6376.9045,526,109155.38564610496,127182.62083332604,0.0,98,0,0,1.5,0,0.0,128,128,109155.38564610496,526,58059.0,0,252,249.54020000000003,44.0,595.8426000000001,4,16.160300000000003,16.160099999999996,1.142348464611334,5120.0,91.25813802083333,0.21573933829867234,628,0,0.0,0,4425.180708587924,4672.416666666667,352,1.2252491875156535,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,161,0.0,0,12,0.0,0,0.0,120.0,1306.4584999999995,11449.423049540059,0.0,11449.423049540059,0.0,16.160300000000003,12243.067999999997,12786.081600000001,0.7615538137390052,423,82681.76415942551,89,44500.85667390052,4,0.0,4,0.0,2,619.7936,-368.65110000000016,53.73926056338032,0,0,576,576,S2 rung 12 + greedy quarter,sumsy,7,-2.9103830456733704e-11
4,512,4,4,33400.62899999999,0.0,15509.214900000003,1909.5538000000001,532.2009000000003,,532.2009000000003,0.0,0.0,0.0,0.0,0.0,0.0025,199.6374,1694.1001500000004,0.0,0.8451077831905535,582.4557000000003,579.4266500000003,0.02,416.7364000000008,1.08243216,0.0,0.0,1.08243216,0.0,0,0,189.64336397131487,2.737642773980927,192.3810067452958,6.089435414123465,1.9321427790503105,8.021578193173776,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.08243216,1.08243216,0.0,0.0,0.0,0.0649459296,0.5,0.25,0.0,-136.82839999999982,0.0,60,2560.0,385.36340000000064,3431.9191000000023,619.533900000001,0.0,0.0,0.0,0.0,0.0,71,493.1823,2560.0,385.36340000000064,202.79750000000055,274.0,0.0,58.90800000000001,0.015,5.546847704770469,5.564309262435656,2.303756626506022,1.417114076246335,3.375697084563947,18.656271122530303,1166.0,1111.0,583.0,2045.3333333333333,1439.0,204.0,151,0,0,1,50,28.0,2048.0,18020.384500000026,2499.9778,11440.1006,535,233,0,93,0.1912187663673146,0.774452540242538,0.3455093502579567,1,8105.832199999986,6162.547799999991,34,0,166.0,128,0,0,5955.940899999999,535,130092.25617031797,150462.89830095816,0.0,50,0,0,1.5,0,0.0,128,128,130092.25617031797,535,57739.0,0,167,382.4235999999997,67.0,747.3463999999999,4,9.339,9.342200000000021,1.4038646292727082,5120.0,90.15787760416667,0.28131086960843926,475,0,0.0,0,2735.692964006429,4616.083333333333,365,1.4931341236413687,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,151,0.0,0,12,0.0,0,0.0,120.0,1935.6928999999989,9859.606099751225,0.0,9859.606099751225,0.0,9.339,12292.116300000005,14687.424799999999,0.7736554851265764,419,96165.02406545007,93,54297.874235508105,4,0.0,4,0.0,2,725.5399,-332.56350000000026,65.59296407185627,0,0,583,583,S2 rung 12 + greedy quarter,sumsy,7,-2.9103830456733704e-11
5,512,4,4,35533.22630000002,0.0,15672.854799999996,981.9284999999999,531.5883000000002,,531.5883000000002,0.0,0.0,0.0,0.0,0.0,0.0025,226.0025,1728.6949800000002,0.0,0.8102893425231027,622.3580999999997,559.8536533333335,0.02,423.2168999999995,1.1040808032,0.0,0.0,1.1040808032,0.0,1,0,202.45555845687298,2.4441122618714344,204.8996707187444,6.081834688790991,1.8722743332764782,7.954109022067469,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.1040808032,1.1040808032,0.0,0.0,0.0,0.066244848192,0.5,0.25,0.0,-217.9266925925908,0.0,61,2560.0,427.4027000000003,1564.4916,652.6668999999999,0.0,0.0,0.0,0.0,0.0,103,556.9181000000001,2560.0,427.4027000000003,229.4499999999997,274.0,0.0,0.0,0.015,5.564129673321234,5.5856750000000135,2.3755419753086415,1.5393842105263158,3.3455177241325034,18.096582988854397,1112.0,1102.0,556.0,2046.6666666666667,1383.0,204.0,166,0,0,2,51,31.0,2048.0,18993.655600000016,2833.0498,12044.0674,535,233,0,93,0.19113305984657325,0.7876106467076958,0.36867934131309354,1,7655.674899999999,6131.6709,34,0,162.0,128,0,0,6479.033000000002,535,145747.76049885724,167134.16938782003,0.0,43,0,0,1.5,0,0.0,128,128,145747.76049885724,535,57476.0,0,117,384.8377999999999,65.0,879.5329,4,48.4605,48.46620000000006,1.6229638761105256,5120.0,89.3017578125,0.3300048077517872,331,0,0.0,0,2963.1518841575707,4572.25,369,1.7489410231322848,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,166,0.0,0,12,0.0,0,0.0,120.0,2634.0465000000004,8095.442756328054,0.0,8095.442756328054,0.0,48.4605,13227.454500000003,15756.6501,0.786629335652981,419,108002.66068417857,93,59131.50870364167,4,0.0,4,0.0,2,776.3669,-305.58580000000023,70.85570381231675,0,0,556,556,S2 rung 12 + greedy quarter,sumsy,7,-2.9103830456733704e-11
6,512,4,4,37617.1072,0.0,16511.247699999996,1732.3175999999996,504.43599999999986,,504.43599999999986,0.0,0.0,0.0,0.0,0.0,0.0025,267.8911,1752.7271999999998,0.0,0.7769054216111508,624.2960999999999,532.7665999999997,0.02,431.59240000000057,1.126162419264,0.0,0.0,1.126162419264,0.0,0,0,228.30513243475343,2.2068436704979613,230.51197610525136,7.007783775065101,1.6033806131145794,8.61116438817968,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.126162419264,1.126162419264,0.0,0.0,0.0,0.06756974515584001,0.5,0.25,0.0,-309.6482925925927,0.0,64,2560.0,476.11909999999955,2900.3898000000004,692.1495000000017,0.0,0.0,0.0,0.0,0.0,0,526.5812000000001,2560.0,476.11909999999955,260.5570999999999,274.0,0.0,0.0,0.015,5.496646690518781,5.6404214156079915,2.499191216216218,1.7018694968553465,3.3425363908479926,17.553685499188763,1102.0,1118.0,551.0,2045.3333333333335,1368.0,204.0,168,0,0,1,61,32.0,2048.0,19252.0429,3211.2308,13370.688699999999,535,233,0,93,0.22653070951214827,0.8011529068052683,0.41944872925276977,0,7575.332400000022,6145.2509999999975,43,0,148.0,128,0,0,6743.424099999998,535,162483.55871321913,184400.9652292756,0.0,51,0,0,1.5,0,0.0,128,128,162483.55871321913,535,57114.0,0,258,369.88030000000026,60.0,988.6725,4,77.04429999999999,77.04870000000041,1.8455676464468844,5120.0,87.99479166666667,0.3820844246847588,553,0,0.0,0,3102.248744706528,4505.333333333333,369,1.9322550584494567,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,168,0.0,0,12,0.0,0,0.0,120.0,3332.7585000000013,6408.009083191218,0.0,6408.009083191218,0.0,77.04429999999999,12759.2918,17570.592,0.80023055474211,419,120720.13504370932,93,63680.830185566134,4,0.0,4,0.0,2,801.5804,-236.54489999999987,76.96921052631579,0,0,551,551,S2 rung 12 + greedy quarter,sumsy,7,-2.9103830456733704e-11
7,512,4,4,39659.31759999995,0.0,17077.554199999995,1546.8467000000003,477.28369999999956,,477.28369999999956,0.0,0.0,0.0,0.0,0.0,0.0025,362.9962,1766.6472857142853,0.0,0.7448969182407714,616.7225999999997,482.72198095238065,0.02,451.5160999999993,1.14868566764928,0.0,0.0,1.14868566764928,0.0,0,0,248.19864315400082,1.906479096857254,250.10512225085807,8.19216618287048,1.6186972464670726,9.810863429337553,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.14868566764928,1.14868566764928,0.0,0.0,0.0,0.0689211400589568,0.5,0.25,0.0,-413.53959259259454,0.0,68,2560.0,517.7896000000001,3897.5111,739.781999999999,0.0,0.0,0.0,0.0,0.0,0,398.7663,2560.0,517.7896000000001,288.2658999999998,274.0,0.0,0.0,0.015,5.442611377777779,5.57195469026547,2.613581775700936,1.885688554216869,3.3118299990689763,17.0270749342131,1130.0,1125.0,565.0,2046.6666666666667,1422.0000000000002,204.0,156,0,0,2,71,33.0,2048.0,19902.3138,3517.1075,14298.8531,535,233,0,93,0.2528922823701092,0.8094126773168344,0.4146287529009043,2,7783.923800000021,6122.9378000000015,35,0,214.0,128,0,0,7286.679900000003,535,174258.5596659437,196270.21538969528,0.0,67,0,0,1.5,0,0.0,128,128,174258.5596659437,535,56727.0,0,249,559.3065000000003,86.0,1179.2807,4,56.810500000000005,56.81419999999983,1.9631022436330532,5120.0,82.685546875,0.4402451422259894,512,0,0.0,0,2931.3281146265936,4233.5,370,2.0623021323674835,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,156,0.0,0,12,0.0,0,0.0,120.0,4096.528300000001,5993.074709469172,0.0,5993.074709469172,0.0,56.810500000000005,12990.377400000003,18995.241300000005,0.8085746148029156,419,127329.09750443039,93,68941.11788526493,4,0.0,4,0.0,2,844.6415,-114.28749999999957,85.09347484276732,0,0,565,565,S2 rung 12 + greedy quarter,sumsy,7,-2.9103830456733704e-11
8,512,4,4,41664.40970000006,0.0,17136.451600000008,1116.7798000000005,450.13140000000016,,450.13140000000016,0.0,0.0,0.0,0.0,0.0,0.0025,499.7119,1774.8133874999999,0.0,0.7142071652092515,610.6587000000003,425.03382916666664,0.02,464.2349999999998,1.1716593810022657,0.0,0.0,1.1716593810022657,0.0,0,0,268.38656834685554,1.8586422699393046,270.24521061679485,9.441743425939785,1.81952575358611,11.261269179525895,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.1716593810022657,1.1716593810022657,0.0,0.0,0.0,0.07029956286013594,0.5,0.25,0.0,-526.8737925925973,0.0,69,2560.0,554.9079,1122.3663000000004,778.1315,0.0,0.0,0.0,0.0,0.0,0,529.1034999999999,2560.0,554.9079,313.8965,274.0,0.0,0.0,0.015,5.348815425531918,5.561498769771548,2.701139230769234,1.9548675595238079,3.238718874254138,16.516262686186707,1138.0,1128.0,569.0,2045.3333333333333,1448.0,204.0,149,0,0,0,63,24.0,2048.0,20804.478400000015,3811.8880000000004,14605.5705,535,233,0,93,0.26884923319412546,0.817050547934399,0.3769124678383522,1,7780.4110000000055,6033.463800000004,37,0,260.0,128,0,0,8064.716000000002,535,186534.1816757406,208253.7426847332,0.0,76,0,0,1.5,0,0.0,128,128,186534.1816757406,535,56456.0,0,366,702.2962000000008,104.0,1413.6574,4,88.19879999999999,88.19709999999996,2.074065663402211,5120.0,81.74479166666667,0.5010245761169682,599,0,0.0,0,3106.4821118783148,4185.333333333333,368,2.2111125272518803,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,149,0.0,0,12,0.0,0,0.0,120.0,4864.552199999999,5782.9443574963625,0.0,5782.9443574963625,0.0,88.19879999999999,13415.19210000001,19831.1159,0.8162997476711882,419,134159.81338203995,93,74093.9293026932,4,0.0,4,0.0,2,949.2863,49.58049999999986,94.28442771084346,0,0,569,569,S2 rung 12 + greedy quarter,sumsy,7,-2.9103830456733704e-11
9,512,4,4,43629.83879999997,0.0,17501.69560000001,1478.9654,422.97909999999985,,422.97909999999985,0.0,0.0,0.0,0.0,0.0,0.0025,702.923,1777.6576999999997,0.0,0.6847818300026304,600.1374,358.2448999999999,0.02,497.6323000000006,1.195092568622311,0.0,0.0,1.195092568622311,0.0,2,0,308.126547309887,1.6635077826995253,309.7900550925865,10.381631623982768,1.8188243766862595,12.200456000669027,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.195092568622311,1.195092568622311,0.0,0.0,0.0,0.07170555411733866,0.5,0.25,0.0,-644.5747925925951,0.0,71,2560.0,594.5709000000004,2084.6884999999997,838.3508,0.0,0.0,0.0,0.0,0.0,0,601.0155,2560.0,594.5709000000004,341.08140000000043,274.0,0.0,1.9525,0.015,5.280094117647054,5.574699478260851,2.8408474999999997,1.9477143274853803,3.244343386065942,16.020774805601103,1150.0,1190.0,575.0,2048.0,1468.0,204.0,145,0,0,0,96,36.0,2048.0,21157.683000000008,4138.3553999999995,15370.9397,535,233,0,93,0.2829684617772772,0.8267437131550901,0.36397728393496154,0,7856.240299999979,6283.311999999994,41,0,280.0,128,0,0,8368.105299999997,535,208107.5441008994,231154.78353950847,0.0,113,0,0,1.5,0,0.0,128,128,208107.5441008994,535,55984.0,0,214,795.4372999999999,112.0,1658.9222,4,152.2482,152.24710000000033,2.4165399173542768,5120.0,80.33854166666667,0.5431940001375709,399,0,0.0,0,3247.4319178046335,4113.333333333333,368,2.3752494986630506,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,145,0.0,0,12,0.0,0,0.0,120.0,5666.9394999999995,4990.673420486053,0.0,4990.673420486053,0.0,152.2482,13397.988799999997,21168.2173,0.8260905380199841,419,151985.1692566965,93,79169.61428281214,4,0.0,4,0.0,2,995.5059,279.94390000000016,97.74337797619039,0,0,575,575,S2 rung 12 + greedy quarter,sumsy,7,-2.9103830456733704e-11
10,512,4,4,45555.486099999966,0.0,17248.908799999983,932.9488999999999,395.8268000000004,,395.8268000000004,0.0,0.0,0.0,0.0,0.0,0.0025,947.5442,1777.6197899999997,0.0,0.656568818606522,592.4262,276.69186333333323,0.02,507.77119999999934,1.2189944199947573,0.0,0.0,1.2189944199947573,0.0,0,0,315.56956956785183,1.6258358651172033,317.19540543296904,12.086526606774695,1.9303577476337341,14.01688435440843,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.2189944199947573,1.2189944199947573,0.0,0.0,0.0,0.07313966519968544,0.5,0.25,0.0,-769.3688925925973,0.0,75,2560.0,634.3526999999998,2809.9571000000014,877.0079999999994,0.0,0.0,0.0,0.0,0.0,5,639.3793000000001,2560.0,634.3526999999998,368.8738999999998,274.0,0.0,0.0,0.015,5.22113448858833,5.575077128547593,2.9760792763157893,1.929618852459017,3.229311769331567,15.540151561433072,1198.0,1183.0,599.0,2048.0,1526.0,204.0,130,0,0,1,89,26.0,2048.0,21935.635400000025,4510.1535,15602.0779,535,233,0,93,0.31323085879030943,0.8277752537162046,0.3643532801841296,0,8045.267699999986,6176.602099999995,48,0,304.0,128,0,0,9109.5626,535,210351.15399666203,233546.33248872744,0.0,122,0,0,1.5,0,0.0,128,128,210351.15399666203,535,55576.0,0,169,904.7280999999999,122.0,1920.6958,4,126.1482,126.14679999999969,2.4563113139403243,5120.0,78.99088541666667,0.5679908140495553,393,0,0.0,0,3138.3173167603295,4044.3333333333335,368,2.4961890571897523,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,130,0.0,0,12,0.0,0,0.0,120.0,6072.8311,5126.12368914584,0.0,5126.12368914584,0.0,126.1482,13785.415400000005,22032.9272,0.8272294271037528,419,152764.81619718898,93,80781.51629153844,4,0.0,4,0.0,2,1008.1772000000001,551.7173999999997,97.38571637426901,0,0,599,599,S2 rung 12 + greedy quarter,sumsy,7,-2.9103830456733704e-11
11,512,4,4,47443.725800000015,0.0,16827.10629999999,812.515,368.67450000000014,,368.67450000000014,0.0,0.0,0.0,0.0,0.0,0.0025,1224.1003,1775.7847636363636,0.0,0.6295181832799333,585.8114999999995,183.89482121212117,0.02,512.1032000000008,1.2433743083946525,0.0,0.0,1.2433743083946525,0.0,1,0,336.75808805685557,1.6417263358705865,338.3998143927261,13.77374714857303,1.9871516999201082,15.760898848493138,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.2433743083946525,1.2433743083946525,0.0,0.0,0.0,0.07460245850367915,0.5,0.25,0.0,-895.7629925926022,0.0,77,2560.0,671.7602999999997,1402.2877999999998,907.9151000000004,0.0,0.0,0.0,0.0,0.0,0,658.9651,2560.0,671.7602999999997,395.81190000000095,274.0,0.0,0.0,0.015,5.149786997433702,5.638421760797363,3.0675356249999988,1.933819512195121,3.2026701492975578,15.073947014590077,1204.0,1169.0,602.0,2046.6666666666667,1538.0000000000002,204.0,127,0,0,2,93,37.0,2048.0,22831.220100000002,4941.4673,15600.6928,535,233,0,93,0.3355715750323478,0.8328337717793075,0.3451516907337304,0,8033.205999999999,6020.100999999997,46,0,320.0,128,0,0,9796.626800000005,535,219954.2785213289,243860.5157201993,0.0,90,0,0,1.5,0,0.0,128,128,219954.2785213289,535,55473.0,0,158,981.6113999999997,128.0,2187.2802,4,157.936,157.9448999999995,2.628398014598313,5120.0,78.39029947916667,0.5884919145694589,344,0,0.0,0,2037.208994378536,4013.5833333333335,369,2.5925724419611647,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,127,0.0,0,12,0.0,0,0.0,120.0,6439.588800000003,4733.234877738676,0.0,4733.234877738676,0.0,157.936,14885.615099999999,22729.4403,0.8323873899505536,419,161480.13475945295,93,82380.38096074635,4,0.0,4,0.0,2,1002.0705,855.4258,96.48094262295085,0,0,602,602,S2 rung 12 + greedy quarter,sumsy,7,-2.9103830456733704e-11
12,512,4,4,49291.3867,0.0,16349.19840000001,796.4832000000002,341.5221999999998,,341.5221999999998,0.0,0.0,0.0,0.0,0.0,0.0025,1539.0886,1772.2538249999998,0.0,0.6035820341288001,577.8045000000002,77.72174166666657,0.02,519.4705000000002,1.2682417945625455,0.0,0.0,1.2682417945625455,0.0,4,0,349.73857649914396,1.4477109321558923,351.18628743129983,16.124965800928802,1.8835463971484223,18.008512198077227,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.2682417945625455,1.2682417945625455,0.0,0.0,0.0,0.07609450767375273,0.5,0.25,0.0,-1021.6160925926018,0.0,79,2560.0,712.3391000000005,1926.5238000000008,944.6636000000001,0.0,0.0,0.0,0.0,0.0,2,668.4009,2560.0,712.3391000000005,425.1930999999996,274.0,0.0,0.0,0.015,5.073277366609286,5.609726610169487,3.122867251461991,1.923139775910365,3.1854586787779007,14.621728604152375,1180.0,1162.0,590.0,2045.3333333333333,1523.0,204.0,130,0,0,2,81,22.0,2048.0,23673.554800000016,5371.9717,15592.0016,535,233,0,93,0.37159981280171905,0.8344211232014174,0.36489845443508484,2,7911.7976,5895.148299999991,30,0,342.0,128,0,0,10516.693000000001,535,224462.12521720893,249017.78607269796,0.0,125,0,0,1.5,0,0.0,128,128,224462.12521720893,535,55422.0,0,175,1068.020600000001,137.0,2446.3691,4,206.9527,206.94469999999976,2.7077099026933293,5120.0,77.92805989583333,0.6129666311372585,345,0,0.0,0,1749.3412613004596,3989.9166666666665,369,2.686603260024901,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,130,0.0,0,12,0.0,0,0.0,120.0,6699.931400000005,4024.662533193901,0.0,4024.662533193901,0.0,206.9527,15272.71539999999,23410.3424,0.834112134522458,419,164889.87340682655,93,84127.91266587136,4,0.0,4,0.0,2,985.8137999999999,1197.5664000000002,96.69097560975605,0,0,590,590,S2 rung 12 + greedy quarter,sumsy,7,-2.9103830456733704e-11
