round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,128,4,4,6683.287799999998,0.0,489.65,189.65,140.25,,140.25,0.0,0.0,0.0,0.0,0.0,0.0025,31.1057,420.75,0.0,1.0,140.25,238.75203333333337,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,24.840653653846154,2.340032307692308,27.18068596153846,3.3671838461538455,1.3706761538461536,4.7378599999999995,225.99999999999986,0.0,225.99999999999986,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,48,640.0,63.032199999999875,189.65,31.37939999999994,0.0,0.0,0.0,0.0,0.0,0,54.4752,640.0,63.032199999999875,31.37939999999994,82.0,0.0,0.0,0.0,5.0,5.199999999999997,2.0,0.75,3.597459459459462,3.9200000000000013,80.0,13.0,40.0,512.0,185.0,51.0,81,0,0,0,9,4.0,512.0,4305.0548000000035,0.0,1273.1832,156,36,0,32,0.14884015820193475,0.4795920649540857,0.6628050769972926,3,1294.1657999999998,65.0,11,2,128.0,32,0,0,1180.6561000000006,156,7787.947474999998,11859.2948,0.0,0,15,0,1.5,0,0.0,32,32,7787.947474999998,156,10482.0,0,260,256.0,52.0,1019.4689,4,73.07100000000001,73.07120000000003,0.274265625,1280.0,98.31380208333333,0.21440443359375003,260,0,0.0,0,69.22637500000017,1258.4166666666667,30,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,81,0.0,0,12,0.0,0,0.0,1440.0,0.0,568.6080000000002,0.0,568.6080000000002,0.0,73.07100000000001,1444.4232000000006,2292.6521,0.5153023414159676,96,4071.3473250000025,32,7787.947474999998,4,0.0,4,145.8,2,54.4752,-109.1443,37.5,0,0,40,40,S1 rung 11 + greedy quarter,sumsy,1,-3.637978807091713e-12
2,128,4,4,7249.992100000004,0.0,3754.7163,507.5363000000001,249.3943,,249.3943,0.0,0.0,0.0,0.0,0.0,0.0025,36.0137,420.75,0.0,1.0,140.25,234.58788333333337,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,24.84527009615385,2.372338461538462,27.217608557692312,2.4436615384615386,2.1539546153846154,4.597616153846154,622.0832000000006,225.99999999999983,622.0832000000006,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-0.494,0.0,48,640.0,73.29570000000002,507.5363000000001,36.435700000000004,0.0,0.0,0.0,0.0,0.0,2,4.7027,640.0,73.29570000000002,36.435700000000004,82.0,0.0,0.0,0.015,4.795784615384604,5.49166545454546,2.161040625,NaN,3.556500321543394,8.88690759259259,220.0,260.0,110.0,512.0,311.0,51.0,49,0,0,0,6,1.0,512.0,4606.8652,185.2932,1856.7035999999998,82,110,0,17,0.11227154530156436,0.4631491415923443,0.4293708105108205,0,1726.9528000000016,1246.903999999997,4,2,64.0,32,0,0,1214.4272,82,7806.718575000001,12146.105199999996,0.0,5,9,0,1.5,0,0.0,32,32,7806.718575000001,82,10482.0,0,0,138.3066,38.0,560.4137000000001,4,18.6263,18.6263,0.274265625,1280.0,98.31380208333333,0.20977138671874998,0,0,0.0,0,0.0,1258.4166666666667,30,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,49,0.0,0,12,0.0,0,0.0,1440.0,0.0,2295.826443243244,0.0,2295.826443243244,0.0,18.6263,1583.6731,2602.4105,0.48356149633388057,111,7872.380450000005,17,4273.72475,4,0.0,4,145.1825,2,113.84700000000001,-213.3806,37.5,0,0,110,110,S1 rung 11 + greedy quarter,sumsy,1,-3.637978807091713e-12
3,128,4,4,7806.785500000003,0.0,4824.873010526316,376.98720000000003,347.902,,347.902,0.0,0.0,0.0,0.0,0.0,0.0025,40.8525,415.0214000000001,0.0,1.0,134.52140000000003,226.67410000000007,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,26.244069384736388,2.846369888940936,29.090439273677326,2.905894118552838,2.4630933897076335,5.368987508260472,733.3407000000008,622.0832000000005,733.3407000000008,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-4.947024999999998,0.0,48,640.0,83.20660000000001,376.98720000000003,41.35289999999999,0.0,0.0,0.0,0.0,0.0,4,28.110999999999997,640.0,83.20660000000001,41.35289999999999,82.0,0.0,0.0,0.015,4.810899999999992,5.378501503759404,1.9622084905660364,NaN,3.4251708666531524,8.620300364814813,266.0,262.0,133.0,512.0,379.0,51.0,33,0,0,1,6,2.0,512.0,4940.1061,419.42470000000003,1979.4415000000001,59,133,0,12,0.116701250954661,0.45822416951831246,0.2909587981749113,0,1913.6974999999995,1260.455799999998,3,0,106.0,32,0,0,1387.7138999999997,59,7986.954890789476,12539.408415789472,0.0,3,9,0,1.5,0,0.0,32,32,7986.954890789476,59,10482.0,0,0,207.99409999999986,60.0,398.8497,4,0.0,0.0,0.274265625,1280.0,98.31380208333333,0.21794400322094298,0,0,0.0,0,0.0,1258.4166666666667,30,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,33,0.0,0,12,0.0,0,0.0,1440.0,0.0,3173.328430833077,0.0,3173.328430833077,0.0,0.0,1821.0981,2797.7159000000006,0.47819156688533404,116,9302.543792763154,12,3236.8646230263157,4,0.0,4,144.56490000000002,2,190.50960000000003,-307.04949999999997,37.796052631578945,0,0,133,133,S1 rung 11 + greedy quarter,sumsy,1,-3.637978807091713e-12
4,128,4,4,8352.262,0.0,4699.697000000001,108.35440000000001,441.9955,,441.9955,0.0,0.0,0.0,0.0,0.0,0.0025,46.4156,412.47555,0.0,1.0,134.94600000000003,220.47493333333335,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,25.803417782212136,2.9727110072159904,28.776128789428128,3.943047598642192,2.4472328062716597,6.3902804049138515,724.1003000000002,733.3406999999999,724.1003000000002,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-11.961450000000005,0.0,48,640.0,94.52350000000004,108.3544,46.97959999999997,0.0,0.0,0.0,0.0,0.0,9,5.2095,640.0,94.52350000000004,46.97959999999997,82.0,0.0,0.0,0.015,5.445091843971633,5.309024812030077,1.8107255319148907,NaN,3.3035727893820606,8.36169135387037,266.0,282.0,133.0,510.6666666666667,383.0,51.0,31,0,0,0,16,10.0,512.0,5224.285100000002,474.1612,2256.2529999999997,59,133,0,12,0.1438010405660579,0.4545597235553889,0.283992210878804,0,1874.8467999999996,1535.5159000000003,8,0,94.0,32,0,0,1601.5215,59,8012.46874774436,12633.42237274437,0.0,10,8,0,1.5,0,0.0,32,32,8012.46874774436,59,10482.0,0,0,170.20819999999972,64.0,345.9376,4,0.0,0.0,0.274265625,1280.0,98.31380208333333,0.25116233235677077,0,0,0.0,0,0.0,1258.4166666666667,30,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,12,0.0,0,0.0,1440.0,0.0,2762.9416454866227,0.0,2762.9416454866227,0.0,0.0,2080.2327,3076.3518,0.4736676131928734,116,9408.748487500005,12,3224.6738852443605,4,0.0,4,152.49250000000006,2,258.6204,-395.5799,37.88874530075187,0,0,133,133,S1 rung 11 + greedy quarter,sumsy,1,-3.637978807091713e-12
5,128,4,4,8888.054600000005,0.0,5029.020229833511,106.3192,548.3147,,548.3147,0.0,0.0,0.0,0.0,0.0,0.0025,51.1766,421.62131999999997,0.0,1.0,152.7348,222.43351333333334,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,22.728086478872466,2.8132837609521624,25.541370239824634,3.688100537014703,2.620559032660268,6.308659569674971,807.1935000000005,724.1003000000013,807.1935000000005,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-18.75475,0.0,48,640.0,104.20739999999998,106.3192,51.79489999999999,0.0,0.0,0.0,0.0,0.0,12,5.3359,640.0,104.20739999999998,51.79489999999999,82.0,0.0,0.0,0.015,5.5843208791208765,5.442713793103452,1.7592956521739105,NaN,3.2234632093941156,8.110840613254258,290.0,273.0,145.0,512.0,407.0,51.0,26,0,0,1,18,8.0,512.0,5586.7915,478.00030000000004,2515.5026,47,145,0,10,0.1380443560774105,0.44639426985366426,0.22208238519756285,0,1915.3724999999993,1524.5195999999994,10,0,69.0,32,0,0,1799.8503999999996,47,8048.72878001477,12831.98860501478,0.0,10,17,0,1.5,0,0.0,32,32,8048.72878001477,47,10482.0,0,0,121.39139999999982,64.0,251.2477,4,0.0,0.0,0.274265625,1280.0,98.31380208333333,0.2792384422084264,0,0,0.0,0,0.0,1258.4166666666667,30,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,26,0.0,0,12,0.0,0,0.0,1440.0,0.0,2904.5729396861275,0.0,2904.5729396861275,0.0,0.0,2320.565899999999,3244.7506,0.466521683693208,118,10026.646515722347,10,2805.3420892924273,4,0.0,4,151.44780000000003,2,336.98159999999996,-497.1381,38.10384415279269,0,0,145,145,S1 rung 11 + greedy quarter,sumsy,1,-3.637978807091713e-12
6,128,4,4,9412.7666,0.0,4877.379900000001,105.46360000000001,653.7782,,653.7782,0.0,0.0,0.0,0.0,0.0,0.0025,56.5927,429.67115,0.0,1.0,156.64010000000005,223.3772166666667,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,22.29363030882713,2.741807124027793,25.035437432854923,4.286794935270102,2.4603742385470158,6.747169173817118,755.1364999999997,805.6934999999993,756.6364999999997,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-25.177774999999997,0.0,50,640.0,115.28800000000003,107.4626,57.29340000000002,0.0,0.0,0.0,0.0,0.0,15,82.6248,640.0,115.28800000000003,57.29340000000002,82.0,0.0,0.499,0.015,5.556763138686128,5.4602703703703686,1.6645599999999987,NaN,3.1299277364151736,7.867515394856631,270.0,274.0,135.0,510.6666666666667,387.0,51.0,30,0,0,0,19,7.0,512.0,5806.9735,575.2683,2740.2639,47,145,0,10,0.14986030198755818,0.4407378724512794,0.25072283357425196,0,1809.3752,1522.553099999999,12,0,60.0,32,0,0,1926.9010000000007,47,8068.679543277557,12943.199468277553,0.0,7,11,0,1.5,0,0.0,32,32,8068.679543277557,47,10482.0,0,0,99.87359999999993,64.0,151.04340000000002,4,0.0,0.0,0.274265625,1280.0,98.31380208333333,0.31246618143318616,0,0,0.0,0,0.0,1258.4166666666667,30,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,0,12,0.0,0,0.0,1440.0,0.0,2278.0315795314664,0.0,2278.0315795314664,0.0,0.0,2465.6281000000013,3466.5755999999997,0.46194307216631625,118,10118.946762500002,10,2824.2527057775574,4,0.0,4,150.40300000000002,2,411.322,-597.1854999999999,38.32073549526718,0,0,135,135,S1 rung 11 + greedy quarter,sumsy,1,-3.637978807091713e-12
7,128,4,4,9926.003199999997,0.0,4719.5501,99.2748,753.053,,753.053,0.0,0.0,0.0,0.0,0.0,0.0025,62.2732,435.08991428571426,0.0,1.0,155.8675,222.40956666666668,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,22.465883979074107,2.6076608781960755,25.073544857270182,5.453257037598434,2.0871710913626704,7.540428128961105,777.9816000000005,753.6364999999993,780.9816000000005,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-31.23077499999999,0.0,54,640.0,126.76339999999998,115.1698,63.01260000000003,0.0,0.0,0.0,0.0,0.0,18,30.4685,640.0,126.76339999999998,63.01260000000003,82.0,0.0,12.395999999999999,0.015,5.469399628252789,5.389940425531918,1.617834343434342,NaN,3.1413551529828485,7.631489933010932,282.0,269.0,141.0,512.0,399.0,51.0,28,0,0,1,15,3.0,512.0,6142.5633,607.6727000000001,2948.1400999999996,47,145,0,10,0.1746843024240794,0.43373600472839646,0.24852028643282664,1,1832.2047999999998,1471.2685000000001,5,0,99.0,32,0,0,2090.0571,47,8010.1530259324545,13055.235350932448,0.0,13,20,0,1.5,0,0.0,32,32,8010.1530259324545,47,10482.0,0,0,160.16559999999987,64.0,134.8854,4,0.0,0.0,0.274265625,1280.0,98.31380208333333,0.3440120714001633,0,0,0.0,0,0.0,1258.4166666666667,30,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,28,0.0,0,12,0.0,0,0.0,1440.0,0.0,2192.248148233458,0.0,2192.248148233458,0.0,0.0,2592.3405000000002,3690.6981999999994,0.4556121073863666,118,10241.165162499996,10,2814.0701884324544,4,0.0,4,149.3582,2,455.492,-690.7798,38.34361597728627,0,0,141,141,S1 rung 11 + greedy quarter,sumsy,1,-3.637978807091713e-12
8,128,4,4,10427.9719,0.0,4553.589199999999,91.1438,844.1967000000001,,844.1967000000001,0.0,0.0,0.0,0.0,0.0,0.0025,67.7921,438.23501250000004,0.0,1.0,153.41690000000003,219.95224583333336,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,22.971319794882582,2.6715799639249025,25.642899758807484,6.375121034358079,1.7948812930422335,8.170002327400312,771.2568999999993,780.9816000000004,771.2568999999993,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-36.91300000000001,0.0,54,640.0,138.03129999999996,91.1438,68.608,0.0,0.0,0.0,0.0,0.0,20,99.18889999999999,640.0,138.03129999999996,68.608,82.0,0.0,0.0,0.015,5.342450175438598,5.3804064285714235,1.5812641379310381,NaN,3.0387930971599184,7.402545235020603,280.0,285.0,140.0,510.6666666666667,397.0,51.0,28,0,0,1,24,6.0,512.0,6239.492700000002,671.1285,3187.0370000000003,47,145,0,10,0.1993351617702428,0.4338318712533138,0.24055207089535213,2,1806.5442999999998,1522.5983000000006,12,0,145.0,32,0,0,2211.828900000001,47,8008.720217034817,13027.088842034816,0.0,15,26,0,1.5,0,0.0,32,32,8008.720217034817,47,10482.0,0,0,229.28330000000054,64.0,163.3327,4,0.0,0.0,0.274265625,1280.0,98.31380208333333,0.3839762044202244,0,0,0.0,0,0.0,1258.4166666666667,30,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,28,0.0,0,12,0.0,0,0.0,1440.0,0.0,1807.7446615611202,0.0,1807.7446615611202,0.0,0.0,2678.6125000000006,4021.4982000000005,0.4575266000431262,118,10179.6476625,10,2847.4411795348165,4,0.0,4,148.3132999999999,2,521.2639,-776.4046000000001,38.52254344754928,0,0,140,140,S1 rung 11 + greedy quarter,sumsy,1,-3.637978807091713e-12
9,128,4,4,10918.887500000004,0.0,4378.548300000001,82.0637,926.2604,,926.2604,0.0,0.0,0.0,0.0,0.0,0.0025,73.2347,439.49416666666673,0.0,1.0,149.8558,216.25534444444452,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,23.575071361728998,2.691309070412474,26.26638043214147,7.675053760202087,1.5063968283689788,9.181450588571066,764.8837000000012,771.2569000000001,764.8837000000012,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-42.22550000000003,0.0,54,640.0,149.0844,82.0637,74.10629999999999,0.0,0.0,0.0,0.0,0.0,22,126.4811,640.0,149.0844,74.10629999999999,82.0,0.0,0.0,0.015,5.296514642857144,5.222962937062945,1.5444293650793663,NaN,3.054730340995147,7.180468877969983,286.0,280.0,143.0,510.66666666666663,402.99999999999994,51.0,26,0,0,2,19,11.0,512.0,6444.293500000002,725.9032,3374.7544,47,145,0,10,0.2245943270148616,0.4336050476338409,0.24081396296099777,3,1813.5932,1483.0241000000003,14,1,126.0,32,0,0,2384.9729,47,8031.017291454158,13079.17141645416,0.0,8,12,0,1.5,0,0.0,32,32,8031.017291454158,47,10482.0,0,0,194.59810000000016,64.0,174.2206,4,10.333200000000001,10.333100000000002,0.274265625,1280.0,98.31380208333333,0.41711729621821386,0,0,0.0,0,0.0,1258.4166666666667,30,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,26,0.0,0,12,0.0,0,0.0,1440.0,0.0,1590.8974774725064,0.0,1590.8974774725064,0.0,10.333200000000001,2832.2578999999996,4274.8782,0.45849216165901163,118,10232.806662500005,10,2846.364753954159,4,0.0,4,147.26850000000002,2,555.2943,-853.0257,38.51263013732252,0,0,143,143,S1 rung 11 + greedy quarter,sumsy,1,-3.637978807091713e-12
10,128,4,4,11401.080899999997,0.0,4204.001,82.5573,1001.5925,,1001.5925,0.0,0.0,0.0,0.0,0.0,0.0025,77.5756,440.1147900000001,0.0,1.0,148.5668,212.6089566666667,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,24.031186536871857,2.739307213810359,26.770493750682217,8.387958714276404,1.911039746420843,10.298998460697248,755.2421999999987,764.8837000000008,755.2421999999987,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-47.167500000000054,0.0,54,640.0,157.80659999999997,82.5573,78.46090000000001,0.0,0.0,0.0,0.0,0.0,24,143.731,640.0,157.80659999999997,78.46090000000001,82.0,0.0,0.0,0.015,5.1752,5.1197374999999905,1.5226259259259267,NaN,3.0355814874044764,6.9650548116308855,288.0,265.0,144.0,509.33333333333337,405.00000000000006,51.0,25,0,0,1,16,4.0,512.0,6830.661900000003,777.832,3372.3331,47,145,0,10,0.23757762646783176,0.43169732018945983,0.2456573793246457,1,1805.1246999999998,1371.428,7,0,135.0,32,0,0,2630.1031000000007,47,8060.541335515582,13240.837160515579,0.0,10,7,0,1.5,0,0.0,32,32,8060.541335515582,47,10482.0,0,0,205.5545000000001,64.0,198.94729999999998,4,23.4706,23.470599999999994,0.274265625,1280.0,98.31380208333333,0.4401253040153474,0,0,0.0,0,0.0,1258.4166666666667,30,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,25,0.0,0,12,0.0,0,0.0,1440.0,7.2252,1592.2828272001288,0.0,1592.2828272001288,0.0,23.4706,3108.0656000000013,4349.112400000001,0.4522735984818349,118,10353.458862499998,10,2887.378298015583,4,0.0,4,223.51379999999983,2,574.8629,-924.0169,38.664797032246454,0,0,144,144,S1 rung 11 + greedy quarter,sumsy,1,-3.637978807091713e-12
11,128,4,4,11873.663799999998,0.0,4014.2212999999992,67.5884,1069.1808,,1069.1808,0.0,0.0,0.0,0.0,0.0,0.0025,82.3376,439.69450909090915,0.0,1.0,145.1639,208.16786060606063,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,24.882000978202484,2.998312960034246,27.88031393823673,9.639053711785202,1.976190440800504,11.615244152585706,735.3963999999992,755.2421999999995,735.3963999999992,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-51.79222500000006,0.0,54,640.0,167.41710000000006,67.5884,83.25170000000004,0.0,0.0,0.0,0.0,0.0,25,157.3268,640.0,167.41710000000006,83.25170000000004,82.0,0.0,0.0,0.015,5.047511510791367,5.161125179856109,1.4926267973856222,NaN,2.9998447088607607,6.756103167281959,278.0,278.0,139.0,510.6666666666667,395.0,51.0,28,0,0,0,19,3.0,512.0,7109.9355000000005,842.5717000000001,3433.6510000000003,47,145,0,10,0.25182657830106225,0.4339026180271961,0.2730883810543867,2,1754.9588000000003,1403.2082,12,0,153.0,32,0,0,2922.231400000001,47,8128.359248181801,13294.192473181802,0.0,11,10,0,1.5,0,0.0,32,32,8128.359248181801,47,10482.0,0,0,228.3719000000002,64.0,247.8412,4,31.3536,31.353600000000007,0.274265625,1280.0,98.31380208333333,0.4679421542710566,0,0,0.0,0,0.0,1258.4166666666667,30,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,28,0.0,0,12,0.0,0,0.0,1440.0,6.9618,1244.2119036155652,0.0,1244.2119036155652,0.0,31.3536,3414.0044000000003,4524.0639,0.450590638802979,118,10377.6484625,10,2916.544010681801,4,0.0,4,290.05729999999994,2,585.2467999999999,-986.8432000000001,38.63176751450641,0,0,139,139,S1 rung 11 + greedy quarter,sumsy,1,-3.637978807091713e-12
12,128,4,4,12336.62860000001,0.0,4091.0846370537947,64.1005,1128.4256,,1128.4256,0.0,0.0,0.0,0.0,0.0,0.0025,87.1169,438.4489000000001,0.0,1.0,141.58239999999998,203.19985000000005,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,25.548770482810482,3.030695264005617,28.579465746816098,10.875062638053835,1.9739506170985124,12.849013255152347,782.5455999999995,735.3963999999997,782.5455999999995,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-56.06352500000006,0.0,54,640.0,177.03519999999995,64.1005,88.05000000000003,0.0,0.0,0.0,0.0,0.0,26,163.8179,640.0,177.03519999999995,88.05000000000003,82.0,0.0,0.0,0.015,4.9382316901408485,5.029905263157891,1.4736380645161287,NaN,2.940354626787882,6.553420072263499,304.0,284.0,152.0,512.0,421.0,51.0,22,0,0,0,20,7.0,512.0,7425.821899999999,860.8312999999999,3500.9881,40,152,0,8,0.26482151981132906,0.4287374214782893,0.22887793251252697,1,1801.244299999999,1402.457800000001,11,0,155.0,32,0,0,3119.6801,40,8101.749823789759,13379.655048789771,0.0,13,14,0,1.5,0,0.0,32,32,8101.749823789759,40,10482.0,0,0,228.41389999999996,64.0,298.0525,4,19.4614,19.461199999999998,0.274265625,1280.0,98.31380208333333,0.49326126741815557,0,0,0.0,0,0.0,1258.4166666666667,30,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,22,0.0,0,12,0.0,0,0.0,1440.0,11.456199999999999,1443.665678931296,0.0,1443.665678931296,0.0,19.4614,3622.4033999999997,4659.871900000001,0.4419080948750884,120,10906.079156760396,8,2473.5758920293633,4,0.0,4,353.0151000000001,2,588.5260000000001,-1041.3087,38.60410529339911,0,0,152,152,S1 rung 11 + greedy quarter,sumsy,1,-3.637978807091713e-12
13,128,4,4,12791.135300000002,0.0,3872.832700000001,52.9682,1179.826,,1179.826,0.0,0.0,0.0,0.0,0.0,0.0025,91.3149,438.01572500000003,0.0,1.0,138.51730000000003,196.43756666666667,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,26.520624652558883,3.119258885255692,29.639883537814576,11.932715035648892,2.3601659227766465,14.292880958425538,733.4657999999993,782.5455999999994,733.4657999999993,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-60.00975000000008,0.0,54,640.0,185.49329999999995,52.9682,92.26940000000003,0.0,0.0,0.0,0.0,0.0,27,166.8475,640.0,185.49329999999995,92.26940000000003,82.0,0.0,0.0,0.015,4.812538327526135,4.968512499999995,1.4300924999999998,NaN,2.893354071378885,6.356817470095595,288.0,287.0,144.0,512.0,405.0,51.0,26,0,0,1,23,5.0,512.0,7720.1586,940.4603999999999,3522.0772,40,152,0,8,0.27675488610590215,0.4301824949260604,0.26394018477147774,0,1729.9431999999997,1381.1985000000006,12,0,160.0,32,0,0,3387.2736999999997,40,8131.961965447452,13433.77539044745,0.0,22,1,0,1.5,0,0.0,32,32,8131.961965447452,40,10482.0,0,0,228.81479999999996,64.0,350.2767,4,40.8716,40.87160000000001,0.274265625,1280.0,98.31380208333333,0.520561570553406,0,0,0.0,0,0.0,1258.4166666666667,30,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,26,0.0,0,12,0.0,0,0.0,1440.0,10.8521,1077.7562283664313,0.0,1077.7562283664313,0.0,40.8716,3924.9383,4812.8143,0.44319128977838074,120,10948.530925000001,8,2485.244465447451,4,0.0,4,404.5978,2,588.3437,-1088.5111,38.57630476118628,0,0,144,144,S1 rung 11 + greedy quarter,sumsy,1,-3.637978807091713e-12
