round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,128,4,4,6687.752299999996,0.0,440.25,140.25,140.25,,140.25,0.0,0.0,0.0,0.0,0.0,0.0025,29.0296,0.0,0.0,1.0,140.25,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,24.17535384615384,2.972153846153847,27.147507692307688,2.0041907692307674,2.96073076923077,4.964921538461537,222.99999999999986,0.0,222.99999999999986,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0,640.0,58.56769999999993,140.25,29.303999999999963,0.1574,0.0,0.0,0.0,0.0,0,0.0,640.0,58.56769999999993,29.146599999999967,79.0,0.0,0.0,0.0,5.0,5.199999999999997,2.0,0.75,3.597459459459462,3.920000000000001,80.0,15.0,40.0,512.0,185.0,51.0,81,0,0,0,12,3.0,512.0,4742.359099999997,368.212,947.4959999999999,184,8,0,31,0.1027670969378407,0.48042476139356327,0.6513885590547184,0,1310.7493999999997,75.0,12,0,130.0,0,0,0,0.0,0,0.0,11942.3591,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,260.0,52.0,600.6556,2,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,81,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4832328586817358,97,3777.1380999999997,31,8165.220999999999,4,368.212,4,983.2959999999998,2,56.16,-111.2204,37.5,0,0,40,40,6 + charge on balances,sumsy,6,7.275957614183426e-12
2,128,4,4,7257.310200000007,0.0,4555.9192,155.6692,251.4704,,251.4704,0.0,0.0,0.0,0.0,0.0,0.0025,34.6749,0.0,0.0,1.0,140.25,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,23.96176307692308,2.981864615384615,26.943627692307693,1.790776923076923,2.9390115384615383,4.729788461538461,641.5176000000004,222.99999999999983,641.5176000000004,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0,640.0,70.44210000000004,155.6692,35.03929999999999,0.0,0.0,0.0,0.0,0.0,5,0.0,640.0,70.44210000000004,35.03929999999999,79.0,0.0,0.0,0.015,4.753142335766425,5.4957684210526345,2.0611095238095247,NaN,3.445449418604637,3.8023999999999996,228.0,274.0,114.0,512.0,344.0,51.0,42,0,0,2,13,10.0,512.0,4962.726700000004,187.21,1580.3203999999998,78,114,0,14,0.07114639704393722,0.46369468572233585,0.34832229364127554,0,1801.752900000002,1302.3610000000003,13,0,84.0,0,0,0,0.0,0,0.0,12192.876499999995,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,173.13320000000007,63.0,492.3782,2,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,42,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48482256181766115,114,8478.84700000001,14,3714.0295,4,157.76119999999992,4,1616.1203999999998,2,128.23059999999998,-216.7955,37.5,0,0,114,114,6 + charge on balances,sumsy,6,7.275957614183426e-12
3,128,4,4,7815.107600000001,0.0,5430.4104,377.96360000000004,350.12100000000004,,350.12100000000004,0.0,0.0,0.0,0.0,0.0,0.0025,40.4548,0.0,0.0,1.0,133.3255,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,25.788852080656106,3.042463388828797,28.831315469484906,2.75927825872219,2.9031684940480575,5.662446752770247,727.7801000000009,641.5175999999997,727.7801000000009,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-0.44460000000000005,0.0,0,640.0,82.20260000000002,377.9636,40.88630000000002,0.0,0.0,0.0,0.0,0.0,10,22.5162,640.0,82.20260000000002,40.88630000000002,79.0,0.0,0.0,0.015,4.663533079847915,5.359248872180458,2.029143750000002,NaN,3.321341625374015,3.6883279999999994,266.0,263.0,133.0,509.33333333333337,383.0,51.0,31,0,0,2,12,7.0,512.0,5256.548899999999,398.6602,1671.7901,59,133,0,11,0.1027330606648118,0.46252337862865334,0.28093815375536035,0,1882.221999999999,1226.5092000000016,12,0,160.0,0,0,0,0.0,0,0.0,12444.999900000003,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,324.6630000000003,64.0,425.13739999999996,2,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48460844184578744,117,9471.7051,11,2973.2948,4,305.87080000000014,4,1707.5901,2,200.8442,-309.66620000000006,37.5,0,0,133,133,6 + charge on balances,sumsy,6,7.275957614183426e-12
4,128,4,4,8362.042000000001,0.0,5290.2965,125.4491,440.47860000000003,,440.47860000000003,0.0,0.0,0.0,0.0,0.0,0.0025,45.8567,0.0,0.0,1.0,130.8124,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,26.13920312655182,3.417933545432462,29.55713667198428,3.7611530224277,3.1498287924034214,6.910981814831121,715.8947000000004,727.7801000000004,715.8947000000004,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-3.6599000000000004,0.0,0,640.0,93.06560000000002,125.4491,46.30720000000001,0.0,0.0,0.0,0.0,0.0,16,3.4785,640.0,93.06560000000002,46.30720000000001,79.0,0.0,0.0,0.011832085682324963,4.523089999999992,5.269884962406018,1.9871175000000008,NaN,3.1084175010175783,3.5776781599999987,266.0,280.0,133.0,509.33333333333337,383.0,51.0,32,0,0,1,20,12.0,512.0,5627.054599999999,436.91949999999997,1744.7285,59,133,0,11,0.12733294702925035,0.4547636602338283,0.2851786515028425,0,1793.3549000000003,1266.4651999999978,20,0,160.0,0,0,0,0.0,0,0.0,12570.265700000004,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,317.9388000000001,64.0,504.00419999999997,2,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4806634783835624,117,9621.367600000005,11,2948.898100000001,4,574.6016,4,1780.5285000000001,2,274.5929,-394.62190000000004,37.5,0,0,133,133,6 + charge on balances,sumsy,6,7.275957614183426e-12
5,128,4,4,8898.225200000006,0.0,5253.9948,81.01599999999999,521.4946,,521.4946,0.0,0.0,0.0,0.0,0.0,0.0025,51.948,0.0,0.0,1.0,126.8727,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,26.837348429434858,3.691179804412137,30.528528233846995,4.326581028592273,3.5577193059135777,7.88430033450585,719.1781999999995,715.8947000000002,719.1781999999995,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-7.0639999999999965,0.0,0,640.0,103.81680000000001,81.016,52.4233,0.7528,0.0,0.0,0.0,0.0,19,46.2928,640.0,103.81680000000001,51.67049999999999,79.0,0.0,0.0,0.015,4.398333333333333,5.139986861313865,2.011881875,NaN,2.9885543252344418,3.4703478151999994,274.0,270.0,137.0,510.66666666666663,391.0,51.0,29,0,0,2,17,11.0,512.0,5999.6333,433.753,1751.9076999999997,55,137,0,10,0.12832080204489316,0.44386203515424194,0.2622136207549899,0,1763.8769999999993,1187.55,17,0,160.0,0,0,0,0.0,0,0.0,12737.321799999994,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,321.9011,64.0,614.6904,2,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,29,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47323376055053723,118,10003.839100000003,10,2733.4827,4,838.7528000000002,4,1787.7077,2,347.4282,-469.5466,37.5,0,0,137,137,6 + charge on balances,sumsy,6,7.275957614183426e-12
6,128,4,4,9423.782600000002,0.0,5050.6019,71.4248,592.9194,,592.9194,0.0,0.0,0.0,0.0,0.0,0.0025,58.6315,0.0,0.0,1.0,123.37279999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,27.18516629259334,4.235945433876468,31.42111172646981,5.510982598303552,4.06794123648235,9.578923834785902,702.3581999999992,719.1781999999989,702.3581999999992,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-10.288499999999999,0.0,0,640.0,114.44259999999993,71.4248,59.14139999999997,2.176,0.0,0.0,0.0,0.0,21,105.6482,640.0,114.44259999999993,56.96539999999997,79.0,0.0,0.0,0.015,4.289802641509431,5.0541044117647,2.039321249999999,NaN,2.960582476435304,3.366237380743999,272.0,265.0,136.0,509.33333333333337,389.0,51.0,30,0,0,2,15,7.0,512.0,6443.235199999999,438.2865,1717.9681,55,137,0,10,0.1417922983977058,0.4340040432478771,0.27542886223163965,0,1737.9792000000007,1136.7976999999994,15,0,160.0,0,0,0,0.0,0,0.0,12920.378700000001,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,326.29139999999984,64.0,660.0131,2,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46738725575232953,118,10169.516500000003,10,2750.8621999999996,4,1118.1039999999998,4,1753.7681000000002,2,403.311,-534.2879,37.5,0,0,136,136,6 + charge on balances,sumsy,6,7.275957614183426e-12
7,128,4,4,9938.782399999993,0.0,4837.4822,61.698,654.6173,,654.6173,0.0,0.0,0.0,0.0,0.0,0.0025,65.2895,0.0,0.0,1.0,120.32940000000002,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,28.183989789239366,4.033604964325534,32.217594753564896,7.187672424714823,3.9054118694726725,11.093084294187495,678.2802000000004,702.3582000000005,678.2802000000004,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-13.334125000000002,0.0,0,640.0,125.00020000000006,61.698,65.8349,3.6071999999999997,0.0,0.0,0.0,0.0,22,135.3859,640.0,125.00020000000006,62.2277,79.0,0.0,0.0,0.015,4.189872262773724,4.949852238805973,2.0806237500000004,NaN,2.9890651015437495,3.2652502593216797,268.0,274.0,134.0,509.3333333333333,385.00000000000006,51.0,30,0,0,1,16,10.0,512.0,6855.371399999995,441.11120000000005,1718.7917,55,137,0,10,0.1703065631407661,0.43093269392444444,0.30011351775692474,0,1728.5648999999996,1148.0250000000003,16,0,160.0,0,0,0,0.0,0,0.0,13071.969900000002,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,332.8998000000001,64.0,722.8326999999999,2,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47343947612161696,118,10322.689899999996,10,2749.28,4,1395.7462999999998,4,1754.5916,2,429.5762000000001,-589.3278,37.5,0,0,134,134,6 + charge on balances,sumsy,6,7.275957614183426e-12
8,128,4,4,10443.536499999998,0.0,4614.9008,52.2363,706.8535,,706.8535,0.0,0.0,0.0,0.0,0.0,0.0025,72.1068,0.0,0.0,1.0,117.52570000000003,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,28.860304295169115,4.230334584646207,33.09063887981532,8.704271235047479,4.104240231970289,12.808511467017768,681.9734999999991,678.2801999999995,681.9734999999991,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-16.19975,0.0,0,640.0,135.2459,52.2363,72.684,5.349600000000001,0.0,0.0,0.0,0.0,23,149.9491,640.0,135.2459,67.3344,79.0,0.0,0.0,0.015,4.094064179104478,4.904216911764699,2.14283875,NaN,2.919310326403089,3.167292751542029,272.0,268.0,136.0,510.6666666666667,389.0,51.0,30,0,0,1,13,10.0,512.0,7280.186,434.9563,1695.3903,55,137,0,10,0.19430696143099913,0.4289082062474201,0.3022791513371874,0,1704.6796,1097.2092000000002,13,0,160.0,0,0,0,0.0,0,0.0,13236.239499999996,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,342.8542,64.0,810.948,2,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4799146465477988,118,10459.498299999996,10,2776.7412,4,1664.409,4,1731.1900999999998,2,440.66689999999994,-634.7467,37.5,0,0,136,136,6 + charge on balances,sumsy,6,7.275957614183426e-12
9,128,4,4,10938.1637,0.0,4382.8144,42.7312,749.5847000000001,,749.5847000000001,0.0,0.0,0.0,0.0,0.0,0.0025,79.6264,0.0,0.0,1.0,114.83800000000001,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,29.549197630048752,4.4832937405752125,34.032491370623966,10.062968399911616,4.335857022876416,14.398825422788033,659.0756000000005,681.9734999999996,659.0756000000005,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-18.886249999999986,0.0,0,640.0,145.3728,42.7312,80.25939999999997,7.8891,0.0,0.0,0.0,0.0,24,157.0774,640.0,145.3728,72.37030000000001,79.0,0.0,0.0,0.015,4.016189781021894,4.806534328358213,2.211611875,NaN,2.832783377204873,3.072273968995767,268.0,274.0,134.0,510.66666666666663,384.99999999999994,51.0,31,0,0,1,13,16.0,512.0,7634.824799999998,448.4964,1699.4793,55,137,0,10,0.21279632601228782,0.42478092796215017,0.31207199345515146,0,1652.3498,1100.435999999999,13,0,160.0,0,0,0,0.0,0,0.0,13330.333300000008,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,353.8579,64.0,918.6594,2,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4868815152608761,118,10554.843200000001,10,2775.4901,4,1952.7667000000001,4,1735.2791000000002,2,444.32270000000005,-669.9583000000001,37.5,0,0,134,134,6 + charge on balances,sumsy,6,7.275957614183426e-12
10,128,4,4,11422.937399999999,0.0,4141.0243,33.0275,782.6122000000001,,782.6122000000001,0.0,0.0,0.0,0.0,0.0,0.0025,87.3778,0.0,0.0,1.0,112.6539,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,30.640762996876514,4.741492721626146,35.38225571850266,11.725631532900115,4.487526405617694,16.21315793851781,660.4692000000001,659.0756000000005,660.4692000000001,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-21.39364999999998,0.0,0,640.0,155.22630000000004,33.0275,88.05679999999998,10.7837,0.0,0.0,0.0,0.0,25,160.3999,640.0,155.22630000000004,77.27309999999999,79.0,0.0,0.0,0.015,3.9443835294117657,4.781253333333334,2.257838749999999,NaN,2.777930465179153,2.9801057499258943,270.0,255.0,135.0,510.6666666666667,387.0,51.0,30,0,0,1,7,9.0,512.0,8048.429199999998,443.7722,1642.8337000000001,55,137,0,10,0.23106762928193536,0.4217068937214703,0.3101862181282551,0,1628.2873000000002,1005.8178000000003,7,0,160.0,0,0,0,0.0,0,0.0,13483.392700000002,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,361.25419999999986,64.0,1040.1246,2,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4925031679239955,118,10634.418300000001,10,2848.9743999999996,4,2222.8601000000003,4,1678.6335000000001,2,444.17269999999996,-695.2344000000002,37.5,0,0,135,135,6 + charge on balances,sumsy,6,7.275957614183426e-12
11,128,4,4,11897.985099999998,0.0,3889.468300000001,23.2616,805.8738000000002,,805.8738000000002,0.0,0.0,0.0,0.0,0.0,0.0025,95.2651,0.0,0.0,1.0,110.6394,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,31.911988816081184,4.391857206987342,36.30384602306852,13.323877919960324,4.262150870205778,17.586028790166104,626.116900000001,660.4691999999991,626.116900000001,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-23.72174999999997,0.0,0,640.0,164.9523,23.2616,96.01850000000002,13.918800000000001,0.0,0.0,0.0,0.0,26,161.8419,640.0,164.9523,82.09970000000001,79.0,0.0,0.0,0.015,3.862766666666661,4.700899230769238,2.307586250000002,NaN,2.7086196940760354,2.8907025774281183,260.0,279.0,130.0,510.6666666666667,377.0,51.0,33,0,0,1,19,14.0,512.0,8319.899600000002,466.0323,1676.0251000000003,55,137,0,10,0.2550534915334197,0.4279579088526706,0.33208595935803653,0,1568.7608,1077.7118999999984,19,0,160.0,0,0,0,0.0,0,0.0,13494.3181,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,369.21380000000033,64.0,1178.9211,2,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,33,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5073310506415509,118,10607.2236,10,2887.0945,4,2519.9377999999992,4,1711.8249,2,442.1422,-710.6087000000002,37.5,0,0,130,130,6 + charge on balances,sumsy,6,7.275957614183426e-12
12,128,4,4,12363.528499999995,0.0,3627.7364000000007,13.0857,818.9595000000002,,818.9595000000002,0.0,0.0,0.0,0.0,0.0,0.0025,100.1018,0.0,0.0,1.0,108.35079999999998,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,33.245941695835164,4.814134149895226,38.06007584573039,14.507931408270565,4.727684554514209,19.235615962784774,654.1077000000004,626.1168999999995,654.1077000000004,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-25.87024999999996,0.0,0,640.0,174.45659999999992,13.0857,100.86079999999995,14.0117,0.0,0.0,0.0,0.0,27,162.4381,640.0,174.45659999999992,86.84909999999996,79.0,0.0,0.0,0.015,3.9995372623574132,4.6650197080292,2.350711249999999,NaN,3.058302314578018,4.816141451512559,274.0,263.0,137.0,510.6666666666667,391.0,51.0,29,0,0,1,14,8.0,512.0,8771.052900000002,451.8751,1707.6302,55,137,0,10,0.2612568103318871,0.423464577762545,0.3610816110710817,0,1734.1064000000006,1051.8782999999996,14,0,160.0,0,0,0,0.0,0,0.0,13684.926399999991,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,376.11379999999986,64.0,1170.4304,2,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,29,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5088862264004366,118,10733.281099999993,10,2951.6452999999997,4,2780.5982,4,1743.43,2,439.26590000000004,-718.8577000000001,37.5,0,0,137,137,6 + charge on balances,sumsy,6,7.275957614183426e-12
13,128,4,4,12819.644700000004,0.0,3365.0042,12.0855,831.0449,,831.0449,0.0,0.0,0.0,0.0,0.0,0.0025,103.4144,0.0,0.0,1.0,112.18720000000002,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,31.632644019165156,4.708812043838446,36.341456063003605,14.896991618926613,4.509666890464128,19.40665850939074,659.4554999999999,654.107699999999,659.4554999999999,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-27.83897499999995,0.0,0,640.0,183.88379999999995,12.0855,104.16339999999997,12.5959,0.0,0.0,0.0,0.0,28,162.49040000000002,640.0,183.88379999999995,91.56750000000002,79.0,0.0,0.0,0.015,4.004546125461253,4.809369402985074,2.472321874999996,NaN,3.0517597061708996,4.750036766451279,268.0,271.0,134.0,510.6666666666667,385.0,51.0,31,0,0,2,17,8.0,512.0,9137.108900000005,478.9334,1769.4344999999998,55,137,0,10,0.2636974729877355,0.41187070709773166,0.36311980555803536,0,1705.5893000000008,1085.2319999999997,17,0,160.0,0,0,0,0.0,0,0.0,13790.437399999999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,395.5714999999994,64.0,1168.2631000000001,2,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5081463991818207,118,10866.002300000004,10,2924.4351,4,3082.4741000000004,4,1805.2341999999999,2,435.8457,-727.6305,37.5,0,0,134,134,6 + charge on balances,sumsy,6,7.275957614183426e-12
14,128,4,4,13266.543100000004,0.0,3099.0997,8.9132,839.958,,839.958,0.0,0.0,0.0,0.0,0.0,0.0025,107.984,0.0,0.0,1.0,112.32750000000001,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,32.27161940771829,4.374205501326341,36.645824909044634,16.283812167494006,4.312732098545963,20.596544266039967,669.4602999999994,659.4555000000003,669.4602999999994,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-29.62849999999994,0.0,0,640.0,193.10160000000002,8.9132,108.75070000000007,12.582699999999999,0.0,0.0,0.0,0.0,29,163.1542,640.0,193.10160000000002,96.16800000000003,79.0,0.0,0.0,0.015,3.995101481481482,4.812208088235289,2.553156249999998,NaN,3.0418303825686146,4.60753566345774,272.0,270.0,136.0,509.3333333333333,389.0,51.0,30,0,0,2,13,11.0,512.0,9494.026700000004,512.2317,1822.7305,55,137,0,10,0.2787453978003607,0.4122995316942908,0.36584169521040044,0,1706.4944999999998,1078.6774,13,0,160.0,0,0,0,0.0,0,0.0,13886.810200000005,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,408.50499999999965,64.0,1166.416,2,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.514778472371811,118,10923.180600000005,10,2963.6295999999998,4,3390.5899999999997,4,1858.5301,2,433.03700000000003,-731.9739999999999,37.5,0,0,136,136,6 + charge on balances,sumsy,6,7.275957614183426e-12
