round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,128,4,4,5974.016799999999,0.0,6004.5484,0.0,140.25,,0.0,0.0,140.25,0.0,140.25,0.0,0.00375,0.0,420.75,0.0,1.0,140.25,280.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,7.631830000000001,0.45629846153846154,8.088128461538464,4.319184615384615,0.24881538461538458,4.568,220.48319999999993,0.0,220.48319999999993,0.0,0,0,0.0,0.0,12.4832,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,30.531599999999997,30.531599999999997,0.0,0,0.0,132.3032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,7.84,0.005,5.0,5.199999999999997,NaN,0.75,3.597459459459462,3.9200000000000013,80.0,17.0,40.0,512.0,185.0,51.0,81,0,0,0,13,4.0,512.0,3311.8592,549.7248,1289.254,160,32,0,32,0.2721054135355456,0.2936165705009055,0.6605198068751983,24,663.6899999999998,85.0,15,2,0.0,0,0,0,0.0,0,0.0,5111.859199999999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,52.0,823.1788,4,45.16820000000001,45.16920000000001,NaN,1280.0,100.0,-0.1941660677083333,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,81,0.0,0,12,0.0,0,0.0,1440.0,0.0,10.675200000000132,0.0,10.675200000000132,0.0,45.16820000000001,607.4092000000004,2662.1575999999995,0.36019852067330627,96,2817.3684,32,2294.490799999999,4,0.0,4,140.25,2,30.531599999999344,0.0,11.25,0,0,40,40,"X2 debt money, SuMSy fiscal package (comparison)",debt,3,-4.547473508864641e-13
2,128,4,4,6005.879399999997,0.0,6051.459400000003,0.0,268.54269999999997,,0.0,0.0,268.54269999999997,0.0,128.2927,0.5259,0.00375,0.0,420.75,0.0,1.0,140.25,274.2584,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,7.007574615384613,0.57176,7.579334615384613,3.1872246153846153,0.7052723076923078,3.892496923076923,701.0252999999996,220.48319999999987,701.0252999999996,0.0,0,0,0.0,0.0,82.13539999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,45.58,60.554400000000015,0.0,0,163.65700000000004,131.7944,148.68260000000006,12.4832,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003306753260578264,4.79153846153845,5.476901769911501,1.8500000000000008,1.1488477611940295,3.4450950166112846,12.497942777777778,226.0,273.0,113.0,512.0,301.0,51.0,52,0,0,2,13,10.0,512.0,3329.1494000000002,168.278,1934.4859000000001,146,46,0,32,0.2141072609643171,0.30142121819740253,0.4264197307860922,10,1121.7864000000018,1308.089999999997,14,1,22.0,0,0,0,0.0,0,0.0,4890.748399999998,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,40.70000000000002,22.0,573.9661,4,37.392700000000005,37.3928,NaN,1280.0,100.0,-0.18075054687499995,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,52,0.0,0,12,0.0,0,0.0,1440.0,80.90100000000001,2353.3636135135143,0.0,2353.3636135135143,0.0,37.392700000000005,796.8071999999997,2676.7299999999996,0.36691910718831333,96,2641.0226000000007,32,2249.7258000000006,4,0.0,4,140.25,2,45.57999999999993,0.0,11.25,0,0,113,113,"X2 debt money, SuMSy fiscal package (comparison)",debt,3,-4.547473508864641e-13
3,128,4,4,6386.973999999994,0.0,6444.3355,0.0,321.8171,,0.0,0.0,321.8171,0.0,53.2744,1.006997625,0.00375,0.0,414.90279999999996,0.0,1.0,134.40279999999996,245.0623333333333,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3,1,10.981509346029545,0.6324418044629972,11.613951150492543,3.1975983303901185,0.892287686627069,4.089886017017188,793.8562000000001,701.0252999999993,793.8562000000001,0.0,0,0,0.0,0.0,68.7445,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,57.36149999999998,90.55590000000002,0.0,0,520.3018,139.2072,502.08180000000004,82.13539999999999,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007784809638800457,4.811007633587794,5.4112813432835845,1.7195,1.3373682352941179,3.3697709863053844,12.123004494444444,268.0,262.0,134.0,509.3333333333333,352.0,51.0,39,0,0,0,11,5.0,512.0,3428.3615,575.71,2007.5915,143,49,0,34,0.19922642187273687,0.38780739972900546,0.3395581733865405,7,1299.8358999999994,1260.484000000002,11,0,6.0,0,0,0,0.0,0,0.0,5794.3385477611855,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,10.317,31.0,375.311,4,11.6835,11.683200000000003,NaN,1280.0,100.0,-0.1655610999689055,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,39,0.0,0,12,0.0,0,0.0,1440.0,98.30139999999999,2900.3411852585664,0.0,2900.3411852585664,0.0,11.6835,991.8579000000003,2958.6124999999997,0.4301844048178334,94,2519.0091,34,3275.3294477611926,4,0.0,4,140.25,2,57.36149999999998,0.0,17.232716417910442,0,0,134,134,"X2 debt money, SuMSy fiscal package (comparison)",debt,3,-4.547473508864641e-13
4,128,4,4,6314.2545,0.0,6379.7831000000015,0.0,408.08700000000005,,0.0,0.0,408.08700000000005,0.0,86.26989999999999,1.2067766249999998,0.00375,0.0,412.3885499999999,0.0,1.0,134.94859999999997,238.79967499999995,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,12.603414721495815,0.4123708341093879,13.015785555605204,3.1625591378452143,0.9705946897565341,4.133153827601748,800.3423999999998,774.997199999999,819.2013999999999,0.0,0,0,0.0,0.0,83.46109999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,65.52859999999998,123.0291,0.0,2,86.1823,158.90179999999998,80.73519999999999,49.88550000000001,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008810805034770632,5.209340590405903,5.390084962406014,NaN,1.43965125,3.2228959779331534,11.75931435961111,266.0,271.0,133.0,512.0,357.0,51.0,38,0,0,1,13,8.0,512.0,3290.278599999999,654.4296999999999,2155.9942,139,53,0,34,0.18877280587653011,0.43259767949150696,0.3287392018701547,6,1265.7458000000001,1411.7312999999997,13,0,0.0,0,0,0,0.0,0,0.0,6036.266770588234,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,38.0,213.55200000000002,4,0.0,0.0,NaN,1280.0,100.0,-0.14188512714460785,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,38,0.0,0,12,0.0,0,0.0,1440.0,113.2439,2741.9664213630135,0.0,2741.9664213630135,0.0,0.0,1081.2222,3023.9758999999995,0.4650707249376027,94,2362.4088,34,3673.8579705882344,4,0.0,4,140.25,2,65.52859999999964,0.0,20.060523529411768,0,0,133,133,"X2 debt money, SuMSy fiscal package (comparison)",debt,3,-4.547473508864641e-13
5,128,4,4,6188.866800000002,0.0,6256.549699999998,0.0,453.4187000000001,,0.0,0.0,453.4187000000001,0.0,45.331700000000005,1.5302993749999998,0.00375,0.0,417.5836799999999,0.0,1.0,146.1214,229.02427999999992,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3,0,12.508769487065283,0.2925418243542522,12.801311311419534,2.7702443146881475,0.7590920889396316,3.529336403627779,823.7356000000004,819.2014000000012,823.7356000000004,0.0,0,0,0.0,0.0,86.51419999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,67.68290000000002,153.81289999999998,0.0,3,34.069900000000004,159.45759999999996,21.6807,102.32010000000001,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,16.2402,0.011576245581624388,5.469873643410857,5.501652238805974,1.7077,1.56547125,3.1389986537622603,11.406534928822778,268.0,258.0,134.0,510.66666666666663,344.0,51.0,40,1,1,4,11,5.0,511.0,3047.096399999999,692.5464,2332.3983,138,54,0,34,0.19832291048044937,0.46344004886378887,0.36085312167420214,10,1188.8123999999996,1411.2274000000011,13,2,1.0,0,0,1,0.0,0,0.0,6020.8490875000025,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1.7077,23.0,116.8257,4,0.0,0.0,NaN,1280.0,100.0,-0.11983656168619794,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0.0,0,12,0.0,0,0.0,1440.0,107.9722,2417.3717461228603,0.0,2417.3717461228603,0.0,0.0,1052.7566,3141.7704,0.48978388891324176,94,2110.0534000000007,34,3910.7956875000013,4,0.0,4,140.25,2,67.68289999999979,0.0,21.59476875,0,0,134,134,"X2 debt money, SuMSy fiscal package (comparison)",debt,3,-4.547473508864641e-13
6,128,4,4,6060.539600000004,0.0,6128.204799999998,0.0,522.0345000000001,,0.0,0.0,522.0345000000001,0.0,68.6158,1.700150375,0.00375,0.0,424.70124999999996,0.0,1.0,153.42969999999997,227.57776666666666,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5,0,13.076125825278591,0.14645535891991274,13.222581184198502,3.2297096784739927,0.3764831728967059,3.606192851370699,812.2280999999998,823.7355999999999,812.2280999999998,0.0,0,0,0.0,0.0,89.52,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,67.66520000000003,183.92580000000004,0.0,6,30.1306,158.4578,37.8845,86.51419999999999,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,21.644000000000002,0.01243933576757035,5.4680270588235285,5.559293076923074,1.6468,1.7420958904109585,3.13434116676296,11.064338880958092,260.0,255.0,130.0,505.66666666666663,322.0,51.0,47,2,2,7,10,5.0,510.0,2813.7558000000013,737.5913,2490.8287,135,57,0,34,0.2665789101838547,0.5179040818564196,0.38168531351334867,18,1131.0267999999994,1394.3468999999998,14,4,2.0,0,0,2,0.0,0,0.0,6000.525381250004,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,3.2936,9.0,18.3638,4,0.0,0.0,NaN,1280.0,100.0,-0.09373605997721353,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,47,0.0,0,12,0.0,0,0.0,1440.0,103.15719999999997,2042.5662742204738,0.0,2042.5662742204738,0.0,0.0,1076.3639,3246.7837999999997,0.5346562742185752,94,1831.9037999999991,34,4168.6215812499995,4,0.0,4,140.25,2,67.66519999999991,0.0,23.48206875,0,0,130,130,"X2 debt money, SuMSy fiscal package (comparison)",debt,3,-4.547473508864641e-13
7,128,4,4,6194.378600000002,0.4811,5810.054799999998,0.0,1017.3497000000002,,0.0,235.6801,781.6696000000002,0.0,259.6351000000001,1.957403,0.00375,0.0,429.7633285714285,0.0,1.0,153.3786,226.1005428571428,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6,0,15.14634776290306,-0.061863826437584944,15.084483936465476,2.619843121260129,0.23398328305862442,2.8538264043187533,795.6601000000002,812.2280999999992,795.6601000000002,0.0,1,0,0.0,429.499,88.5943,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,64.43120000000002,210.98140000000004,454.5206,9,265.9697,131.6496,291.35900000000004,89.52,0.0,0.0,0.0,0.0,0.0,10,429.499,0.0,0.0,0.0,0.0,0.0,8.1214,0.01256898174112842,5.359781451612902,5.567447244094489,1.62965,1.9153507462686565,3.128745901587285,9.64250552751996,254.0,248.0,127.0,500.6666666666667,315.00000000000006,51.0,47,4,4,11,10,6.0,508.0,2387.162499999999,770.3244,2606.8916,132,60,0,34,0.28121992277704133,0.5739199333828846,0.44604641381512744,25,1105.7625,1329.2257999999997,15,5,2.0,0,0,4,0.0,0,0.0,6116.036263013701,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,3.2593,6.0,0.5011,3,0.0,0.0,NaN,1280.0,100.0,-0.03755771297089044,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,47,0.0,0,11,0.0,0,0.0,1320.0,70.2675,1848.8982066293754,0.0,1848.8982066293754,0.0,0.0,931.0328,3377.7171000000003,0.5893972999760744,94,1568.6927,34,4547.343563013697,4,0.0,4,140.25,2,44.694099999999935,-235.6801,26.131438356164377,0,1,127,127,"X2 debt money, SuMSy fiscal package (comparison)",debt,3,-4.547473508864641e-13
8,128,4,4,6067.7380000000085,0.4811,5693.256699999999,0.0,1080.2589,,0.0,223.8961,856.3628000000001,0.0,74.6932,2.9308387500000004,0.00375,0.0,431.31555000000003,0.0,1.0,147.39370000000002,223.61211250000002,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3,0,17.02980207365027,0.07713790411508138,17.10693997776535,2.9039982869380414,0.3209566859839072,3.2249549729219487,764.9795999999999,795.6601000000006,764.9795999999999,0.0,1,0,0.0,429.499,88.9459,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,74.27369999999999,234.6054000000001,454.5206,14,13.7815,140.4221,19.9763,88.5943,0.0,0.0,0.0,0.0,0.0,6,413.6073,0.0,0.0,0.0,0.0,0.0,14.145299999999999,0.011642258691034413,5.351216666666671,5.49620894308943,NaN,2.0231573770491815,3.082150021880475,9.353230361694362,246.0,222.0,123.0,493.3333333333334,301.0,50.0,49,12,12,12,6,2.0,499.0,2209.8002,828.2216000000001,2615.6078,130,62,0,33,0.3069354832113329,0.6033612390604621,0.44827858302768697,33,1043.3062000000011,1187.970100000001,10,4,0.0,0,0,12,0.0,0,0.0,6303.935155223882,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,3.0,0.5011,3,0.0,0.0,NaN,1280.0,100.0,-0.010566697867198131,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,49,0.0,0,11,0.0,0,0.0,1320.0,67.04109999999999,1653.9951469297025,0.0,1653.9951469297025,0.0,0.0,920.8272999999999,3444.3305,0.6175270834295121,95,1414.991999999999,33,4888.94315522388,4,0.0,4,140.25,2,38.64490000000012,-223.8961,28.730261194029847,0,1,123,123,"X2 debt money, SuMSy fiscal package (comparison)",debt,3,-4.547473508864641e-13
9,128,4,4,6239.2369,1.1620000000000001,5449.163499999999,0.0,1563.3607000000002,,0.0,508.8157,1054.545,0.0,198.1822,3.210657,0.00375,0.0,431.4635,0.0,1.0,144.2157,220.93137777777778,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8,0,18.322211541392473,-0.1538895180559224,18.168322023336554,2.818485563671236,0.17530808354390517,2.9937936472151407,710.9021000000006,764.979599999999,710.9021000000006,0.0,2,0,0.0,853.0002,89.6386,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,83.73709999999997,257.4515000000001,884.5144,20,310.0863,137.90650000000002,357.2915,88.9459,0.0,0.0,0.0,0.0,0.0,9,814.0815,0.0,0.0,0.0,0.0,0.0,16.868100000000002,0.013731004379968735,5.249658636363638,5.497907079646023,NaN,2.122455319148935,3.053527363582441,7.287783603298706,226.0,220.0,113.0,483.00000000000006,281.00000000000006,49.0,55,12,10,18,4,0.0,499.0,1990.7556000000002,867.9292,2566.1693,126,66,0,32,0.3380635182879803,0.6385387689307325,0.4474547317196036,39,946.4304999999986,1154.9249000000004,10,6,0.0,0,0,12,0.0,0,0.0,6282.831642622951,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,3.0,0.3013,2,0.0,0.0,NaN,1280.0,100.0,0.045992687756147656,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,55,0.0,0,10,0.0,0,0.0,1200.0,42.3476,1232.1024475588754,0.0,1232.1024475588754,0.0,0.0,833.9093000000001,3434.3998,0.6487244428376655,96,1225.3624999999997,32,5057.469142622955,4,0.0,4,232.57080000000002,2,22.84609999999998,-508.8157,30.347360655737724,0,2,113,113,"X2 debt money, SuMSy fiscal package (comparison)",debt,3,-4.547473508864641e-13
10,127,4,4,7193.226299999997,1.9444000000000001,5577.873699999999,0.0,2933.272,,0.0,1593.2981,1339.9739,0.0,285.4289,3.953869375000001,0.00375,0.0,430.76049000000006,0.0,1.0,141.4778,218.16994000000005,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4,0,19.351117784804945,-0.006644388072998705,19.344473396731946,2.8020583849218235,0.19995732389845625,3.0020157088202795,694.7047000000002,710.9020999999992,694.7047000000002,0.0,4,0,0.0,2164.5735999999997,87.31280000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,107.49459999999999,281.2090000000002,1742.8317,24,1111.1016,156.32979999999998,1204.8355999999999,89.6386,0.0,0.0,0.0,0.0,0.0,4,2084.3873000000003,0.0,0.0,0.0,0.0,0.0,5.5118,0.013098512319184418,5.151117560975608,5.521744545454547,NaN,2.2333175,3.0225161181318576,2.9801057499258943,220.0,205.0,110.0,474.6666666666668,271.66666666666663,49.0,56,20,19,15,4,0.0,487.0,1861.7214000000004,874.1198999999999,2372.9977,122,70,0,32,0.351576150179981,0.6544331424319314,0.4744672280106548,40,897.4875000000001,1055.9790999999998,9,5,0.0,0,0,20,0.0,0,0.0,6300.01483404255,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,100.0,0.1539966587017951,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,56,0.0,0,8,0.0,0,0.0,960.0,0.0,1282.930051566747,0.0,1282.930051566747,0.0,0.0,740.5758000000001,3247.1175999999996,0.6629184268339883,95,1148.198,32,5151.816834042552,4,0.0,4,438.031,2,467.0903000000005,-1593.2981,31.836829787234024,1,4,110,110,"X2 debt money, SuMSy fiscal package (comparison)",debt,3,-4.547473508864641e-13
11,126,4,4,6972.685899999999,2.7658,5386.6828,0.0,2994.9405,,0.0,1511.1238,1483.8167,0.0,143.8428,5.024090375000001,0.00375,0.0,428.6885727272728,0.0,1.0,135.9898,215.12420000000003,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6,0,20.41036646336453,-0.15377021630009974,20.25659624706443,3.41126422934813,0.1655294270356444,3.5767936563837748,659.2586000000005,694.7047000000008,659.2586000000005,0.0,4,0,0.0,2164.5735999999997,91.50999999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,136.02270000000004,309.7371000000001,1742.8317,24,0.0,219.719,0.0,87.31280000000001,0.0,0.0,0.0,0.0,0.0,7,2034.1731,0.0,0.0,0.0,0.0,0.0,0.0,0.011414076654144609,5.023115609756097,5.621273267326737,NaN,2.2366703703703705,3.000128585752995,2.8907025774281183,202.0,205.0,101.0,465.3333333333334,250.0,48.0,60,23,22,14,7,4.0,481.0,1749.2308000000007,923.5368,2265.7452000000003,118,74,0,32,0.3934884316735019,0.6707293561856291,0.5158171391367754,43,811.2527999999993,1029.7386999999999,10,3,0.0,0,0,23,0.0,0,0.0,6265.389375000002,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.2728,0.2728,NaN,1280.0,100.0,0.18257077392578122,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,60,0.0,0,8,0.0,0,0.0,960.0,0.0,994.6017356008941,0.0,994.6017356008941,0.0,0.2728,750.6045000000001,3189.282,0.6795475634806227,94,1034.6651,32,5230.724275000001,4,0.0,4,581.8738,2,445.40420000000006,-1511.1238,33.4997625,1,4,101,101,"X2 debt money, SuMSy fiscal package (comparison)",debt,3,-4.547473508864641e-13
12,126,4,4,6798.215100000003,3.748,5202.0608999999995,0.0,3049.1607000000004,,0.0,1428.9495,1620.2112000000002,0.0,136.39450000000002,5.563286000000001,0.00375,0.0,426.11710000000005,0.0,1.0,132.6103,211.6730666666667,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6,0,20.86371390795756,-0.18273748999101952,20.68097641796654,3.3407078080921075,0.12239645395925723,3.4631042620513646,640.6127000000005,659.2586000000003,640.6127000000005,0.0,4,0,0.0,2164.5735999999997,74.2283,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,124.88940000000007,337.2376,1742.8317,24,38.63380000000001,212.12240000000003,0.0,91.50999999999999,0.0,38.63380000000001,0.0,0.0,0.0,8,1970.1785,0.0,0.0,0.0,0.0,0.0,0.0,0.015,5.079359016393443,5.7210545454545505,NaN,2.201065217391305,2.9828881132966205,2.803981500105274,198.0,183.0,99.0,462.66666666666674,248.0,48.0,59,29,28,13,3,1.0,473.0,1673.8575,1010.4994999999999,2143.6796,116,76,0,32,0.39179202995343254,0.6734409751609203,0.5252777632378709,45,829.0145999999995,929.5227000000001,11,8,0.0,0,0,29,0.0,0,0.0,6159.627544444447,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,100.0,0.1958275217013889,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,59,0.0,0,8,0.0,0,0.0,960.0,0.0,961.7065403333204,0.0,961.7065403333204,0.0,0.0,686.5953999999998,3154.1791000000003,0.6939549871927124,94,1030.0336000000002,32,5129.593944444445,4,0.0,4,689.9087000000001,2,370.2763,-1428.9495,33.55005555555556,0,4,99,99,"X2 debt money, SuMSy fiscal package (comparison)",debt,3,-4.547473508864641e-13
13,126,4,4,6585.245299999996,4.7302,5016.649799999998,0.0,3119.4542,,0.0,1346.7752,1772.6790000000003,0.0,152.4678,6.074652125,0.00375,0.0,423.87992500000007,0.0,1.0,131.3013,203.99592500000006,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6,0,20.29423269353805,-0.07860092314872175,20.215631770389326,3.7359021877158436,0.09432292508832757,3.830225112804171,590.8339000000002,640.6127000000002,590.8339000000002,0.0,4,0,0.0,2164.5735999999997,64.8765,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,151.4659000000001,363.81409999999966,1742.8317,24,0.0,211.98759999999996,0.0,74.2283,0.0,0.0,0.0,0.0,0.0,6,1908.0933,0.0,0.0,0.0,0.0,0.0,0.0,0.015,5.064359893048128,5.655455913978497,NaN,2.2181199999999994,2.9147235343564653,2.719862055102116,186.0,187.0,93.0,456.00000000000006,235.0,47.0,62,29,28,13,3,2.0,470.0,1496.1808999999998,1141.098,2039.8731000000002,114,78,0,32,0.472448389328594,0.689959469805697,0.5803155530318089,60,718.2317000000007,947.0353,7,4,0.0,0,0,29,0.0,0,0.0,5857.951921739126,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,100.0,0.2106970805027175,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,62,0.0,0,8,0.0,0,0.0,960.0,0.0,693.7518810535076,0.0,693.7518810535076,0.0,0.0,617.8016999999999,3180.9711,0.7204700506784987,94,924.3573000000002,32,4933.594621739131,4,0.0,4,841.5972,2,334.76759999999956,-1346.7752,33.01597826086957,0,4,93,93,"X2 debt money, SuMSy fiscal package (comparison)",debt,3,-4.547473508864641e-13
