round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,128,4,4,5389.1815000000015,0.0,5413.554999999999,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.7585082921372535,0.0,128.0,1.0,0.0,1.0,0,0,0,0.6449704142011835,0,85.37984615384616,2.4615384615384617,87.84138461538461,3.4000769230769228,2.153846153846154,5.553923076923077,207.99999999999986,0.0,207.99999999999986,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,24.3735,24.3735,0.0,1,0.0,105.61850000000001,45.95,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,53.79000000000001,0.005,5.0,5.199999999999997,NaN,0.75,3.9199999999999986,3.920000000000001,80.0,26.0,40.0,512.0,82.0,0.0,107,0,0,0,16,10.0,512.0,4147.0,239.89350000000002,1002.288,191,1,0,32,0.1163613756932722,0.6595713710238431,0.8402018777366111,0,296.9,130.0,16,0,0.0,0,0,0,0.0,0,0.0,30906.09999999998,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,107,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9268536629611528,96,2990.32,32,27915.779999999988,4,-2069.4015,4,-1961.8719999999998,2,24.37350000000015,0.0,11.925,140.1,0,0,40,40,1 + planning margin,debt,3,1.1368683772161603e-13
2,128,4,4,5292.893700000005,0.0,5332.3099999999995,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.767304440966375,0.0,128.0,0.0,0.0,1.0,0,0,0,0.26035665294924554,0,86.47310384615386,1.3985600000000002,87.87166384615385,3.628583846153847,1.354473846153846,4.983057692307693,634.4180999999994,207.99999999999986,634.4180999999994,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,39.4163,54.390699999999995,0.0,6,14.974400000000001,111.2622,345.3724,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,299.42230000000063,0.001726657197117442,4.911274074074078,5.5166791304347775,NaN,1.1323491228070175,3.56719999999999,3.8023999999999996,230.0,270.0,115.0,512.0,232.0,0.0,70,0,0,1,14,11.0,512.0,3532.001899999998,115.8486,1645.0432,191,1,0,32,0.2119464431329301,0.6803856586150219,0.6009689795078628,0,711.0459000000003,1326.044000000001,14,0,0.0,0,0,0,0.0,0,0.0,30291.101900000005,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,70,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9123144371299658,96,2469.0632999999993,32,27822.038599999993,4,-2162.4413999999997,4,-1268.8768,2,39.41630000000032,0.0,12.640500000000001,140.1,0,0,115,115,1 + planning margin,debt,3,1.1368683772161603e-13
3,128,4,4,5574.146199999998,0.0,5634.0618,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.7705068361588845,0.0,228.0,0.0,0.0,1.0,0,0,0,0.26236686390532543,0,88.39449279789525,1.4116875806186253,89.80618037851387,3.995085845857764,1.3356928868586087,5.3307787327163725,735.2983000000003,634.4181,735.2983000000003,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,59.91559999999999,81.20339999999999,0.0,7,400.0004,118.74789999999999,545.1785,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,151.49150000000003,0.0015309388515009083,5.614142307692307,5.446654074074076,NaN,1.3343201492537318,3.2540014705882503,3.6883279999999994,270.0,260.0,135.0,510.6666666666667,272.0,0.0,59,0,0,0,11,4.0,512.0,3284.142999999999,337.1312,1952.8719999999998,191,1,0,32,0.2267993345219741,0.6883362128320341,0.4025167799781586,1,1211.8181000000002,1459.677,11,0,0.0,0,0,0,0.0,0,0.0,30043.242999999995,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,59,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9068975251028422,96,2156.9225,32,27886.320499999998,4,-2293.1506,4,-910.8079999999998,2,59.91560000000027,0.0,13.398930000000002,140.1,0,0,135,135,1 + planning margin,debt,3,1.1368683772161603e-13
4,128,4,4,5604.766599999998,0.0,5665.8543,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.7794718153714935,0.0,131.0,0.0,0.0,1.0,0,0,0,0.2633196159122085,0,78.47159131780523,0.43802635788602556,78.90961767569127,5.422170795319787,0.4278994599490162,5.850070255268803,754.5414999999997,735.2982999999997,754.5414999999997,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,61.087699999999984,108.00599999999997,0.0,10,169.04379999999998,138.42340000000002,420.1463,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,276.7329999999999,0.008515773648267982,5.740324074074075,5.673244360902253,NaN,1.422140458015267,3.264398880597028,3.5776781599999987,266.0,270.0,133.0,512.0,268.0,0.0,61,0,0,1,15,4.0,512.0,2816.5612000000015,509.94180000000006,2278.2636,190,2,0,32,0.38034629171647305,0.7106897664864293,0.5422983327168267,27,935.9177999999998,1549.8875000000003,16,1,0.0,0,0,0,0.0,0,0.0,29435.561199999982,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,61,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.893037679478426,96,1515.0147,32,27920.546499999997,4,-2062.2725,4,-535.1764000000001,2,61.08770000000004,0.0,14.202865800000003,140.1,0,0,133,133,1 + planning margin,debt,3,1.1368683772161603e-13
5,128,4,4,5485.418,0.0,5547.062800000001,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9791666666666666,0.783283562538327,0.0,163.0,0.0,0.0,1.0,0,0,0,0.3187525471093947,0,77.1705907686848,0.044084217030640555,77.21467498571545,7.337418758061224,0.044084217030640555,7.381502975091865,753.8465000000003,754.5414999999995,753.8465000000003,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,61.64479999999998,135.46909999999997,0.0,14,26.906,146.25459999999998,595.9424,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,444.8986999999987,0.009286803440881154,5.69978017621145,5.668018796992484,NaN,1.5304782945736437,3.276418656716397,3.4703478152,266.0,227.0,133.0,510.6666666666667,268.0,0.0,61,3,3,26,6,1.0,509.0,2759.5213999999987,399.4153,2326.4813,188,4,0,32,0.5133720555446684,0.7224270966666477,0.5442087234040331,47,907.3461999999993,1293.8500999999992,13,7,0.0,0,0,3,0.0,0,0.0,29098.32139999999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,61,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8842671518489209,96,1203.4325000000003,32,27894.8889,4,-1824.0475000000001,4,-436.71869999999984,2,61.64479999999958,0.0,15.055037748000004,140.1,0,0,133,133,1 + planning margin,debt,3,1.1368683772161603e-13
6,128,4,4,5366.5696,0.0,5428.271299999999,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9739583333333334,0.7922013218103772,0.0,60.0,0.0,0.0,1.0,0,0,0,0.4172059911242603,0,78.95043343298249,0.04625414549122097,78.99668757847371,8.81565172158542,0.04625414549122097,8.861905867076642,641.3697,753.8464999999994,641.3697,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,61.70169999999999,162.38479999999998,0.0,19,26.8588,145.70720000000003,467.5077,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,313.9631,0.009033114763551477,5.459106249999997,5.626049999999999,NaN,1.708852293577981,3.2540739130434937,3.3662373807439994,228.0,208.0,114.0,474.3333333333336,229.99999999999991,0.0,65,23,22,17,10,4.0,489.0,2858.8600999999994,227.2966,2280.4129000000003,187,5,0,32,0.6076241871825949,0.7316753903003623,0.6219728207000501,56,1065.6375000000005,1135.4940999999994,14,4,0.0,0,0,23,0.0,0,0.0,29057.560100000017,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,65,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.891149933449882,96,928.9594000000002,32,28128.6007,4,-1787.5147,4,-432.5471,2,61.70170000000007,0.0,15.958340012880004,140.1,0,0,114,114,1 + planning margin,debt,3,1.1368683772161603e-13
7,128,4,4,5247.9517000000005,0.0,5309.4798,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.96875,0.7912160482694008,0.0,32.0,0.0,0.0,1.0,0,0,0,0.5369040061478834,0,82.70170245710659,0.05551063629480773,82.7572130934014,9.611140031462963,0.054115648861583716,9.665255680324547,565.0127999999999,641.3696999999999,565.0127999999999,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,61.528099999999995,188.7535,0.0,26,26.542299999999997,145.1602,710.888,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,427.50849999999986,0.009554371420003552,5.400603468208092,5.539341176470587,NaN,1.9057406250000002,3.1453684466019354,3.2652502593216792,204.0,173.0,102.0,466.66666666666686,206.0,0.0,71,41,37,14,5,4.0,459.0,2811.1931000000004,246.0512,2190.7074,186,6,0,32,0.6375997484062017,0.7355229956763616,0.6090261909222756,62,717.3516000000003,934.3043999999999,15,10,0.0,0,0,41,0.0,0,0.0,28869.79309999998,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,71,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8859003899043822,96,761.6899000000001,32,28108.103199999994,4,-1560.1086,4,-472.01259999999985,2,61.528099999999995,0.0,16.915840413652806,140.1,0,0,102,102,1 + planning margin,debt,3,1.1368683772161603e-13
8,120,4,4,5129.744199999999,0.0,5190.6883,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.96875,0.7806178298145916,0.0,32.0,0.0,0.0,1.0,0,0,0,0.5392,0,84.96504730774394,0.13758416154306888,85.10263146928702,10.09328099243316,0.13758416154306888,10.230865153976229,472.03799999999995,565.0128000000004,472.03799999999995,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,60.94409999999999,214.57489999999993,0.0,30,26.4054,144.61290000000002,403.12280000000004,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,171.5694,0.00900959064960788,5.273381333333333,5.488813953488371,NaN,1.9475450000000003,3.0058206896551747,3.167292751542029,172.0,150.0,86.0,425.6666666666668,158.0,0.0,71,40,34,19,1,0.0,425.0,2954.9414000000024,80.9218,2093.8810000000003,186,6,0,32,0.6398511958082596,0.7220911362673794,0.6365291061452534,64,841.5823,791.0071999999999,7,6,0.0,0,0,40,0.0,0,0.0,29013.541399999976,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,71,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8813691377724697,88,703.9893000000003,32,28309.552099999994,4,-1656.6865,4,-518.5989999999999,2,60.94410000000016,0.0,17.930790838471975,140.1,8,0,86,86,1 + planning margin,debt,3,1.1368683772161603e-13
9,112,4,4,4995.751399999998,16.2348,5071.8968,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.96875,0.7690866108676162,0.0,32.0,1.0,0.0,1.0,0,0,0,0.49256099980162665,0,80.73313365542059,0.06738560660383369,80.80051926202442,10.768098743429434,0.06382570336792245,10.831924446797357,368.74000000000007,472.03799999999967,368.74000000000007,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,59.910599999999995,239.8491999999999,0.0,35,26.3078,144.06580000000002,296.60130000000004,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,218.71589999999992,0.010085144830883214,5.108083802816902,5.4226470588235305,NaN,1.9168080645161287,2.922924154589374,3.072273968995767,136.0,142.0,68.0,387.6666666666667,123.33333333333333,0.0,72,43,32,23,3,2.0,391.0,2688.4177999999997,219.7052,2087.6284,186,6,0,32,0.6864850542522496,0.7105565338343549,0.7916439563783029,70,420.37009999999987,725.3479000000002,11,8,0.0,0,0,43,0.0,0,0.0,26312.74279999998,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,72,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8758542076336664,80,429.69350000000003,32,25883.049299999995,4,-1527.8766,4,-474.6115999999997,2,59.910599999999704,0.0,19.006638288780294,127.01249999999999,8,0,68,68,1 + planning margin,debt,3,1.1368683772161603e-13
10,104,4,4,4838.586600000004,55.901300000000006,4953.1053,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9635416666666666,0.7438901711196924,0.0,32.0,0.0,0.0,1.0,0,0,0,0.5362426035502958,0,83.26455211354438,0.07992135911608761,83.34447347266048,10.766215301650421,0.07992135911608761,10.846136660766508,340.76439999999974,368.7400000000002,340.76439999999974,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,58.6174,264.5761,0.0,40,26.0201,143.5184,295.8004,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,180.44739999999996,0.0105717893268878,4.936865384615384,5.324443749999996,NaN,1.8745052631578945,2.7571438461538467,2.9801057499258943,128.0,104.0,64.0,352.0,116.0,0.0,63,50,43,18,1,1.0,337.0,2741.441599999999,98.4776,1998.6674000000003,185,7,0,32,0.6510601975308845,0.6881277161575992,0.661536692941374,54,372.74220000000025,513.434,7,6,0.0,0,0,50,0.0,0,0.0,26238.754099999984,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,63,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8529553151675475,72,517.0541000000002,32,25721.699999999997,4,-1453.5402000000001,4,-513.3326,2,58.61740000000009,0.0,20.147036586107113,127.01249999999999,8,0,64,64,1 + planning margin,debt,3,1.1368683772161603e-13
11,94,4,4,4760.723399999997,55.901300000000006,4870.8078,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9635416666666666,0.7078114364256096,0.0,32.0,0.0,0.0,1.0,0,0,0,0.472396694214876,0,86.33621181647062,0.08464547861393416,86.42085729508456,10.759498245582144,0.08464547861393416,10.844143724196078,343.8852000000003,340.7644,343.8852000000003,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,54.183099999999996,285.616,0.0,44,49.4082,127.2714,191.78669999999997,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,167.85269999999983,0.010583076353623941,4.962439090909091,5.290541538461543,NaN,1.8378068965517242,2.6632287878787837,2.8907025774281183,130.0,110.0,65.0,296.66666666666663,112.0,0.0,50,43,31,16,1,0.0,302.0,2666.307,80.1456,2014.2707999999998,185,7,0,32,0.6251251094938242,0.656753696328501,0.6547651641345806,44,365.3092,545.8683,5,4,0.0,0,0,43,0.0,0,0.0,26163.619500000004,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,50,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8262151682852528,62,534.9231000000002,32,25628.696400000004,4,-1403.3207,4,-483.9832000000001,2,54.18309999999974,0.0,21.35585878127354,127.01249999999999,10,0,65,65,1 + planning margin,debt,3,1.1368683772161603e-13
12,80,4,4,4663.617599999998,63.351800000000004,4776.6742,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9635416666666666,0.6410372805297191,0.0,32.0,0.0,0.0,1.0,0,0,0,0.3803305785123966,0,85.6616483774566,0.21239177563525857,85.87404015309185,9.678887059387769,0.17422002248527713,9.853107081873045,327.3770000000002,259.9624,411.29980000000023,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,49.70479999999999,306.0156,0.0,52,24.8779,114.5332,415.65150000000006,0.0,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,206.9288999999999,0.010911361097720822,4.976680909090909,5.28027419354839,NaN,1.8038872727272726,2.634602380952384,2.803981500105274,124.0,110.0,62.0,261.66666666666674,99.33333333333331,0.0,41,28,18,14,0,0.0,272.0,2503.5191,30.4551,2129.6434,185,7,0,32,0.5581028466089994,0.5984469374625696,0.6510525691891902,33,275.43319999999994,547.4349,10,10,0.0,0,0,28,0.0,0,0.0,26000.831599999994,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,41,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7691653935966063,48,545.0711,32,25455.760499999997,4,-1396.5576,4,-330.9305999999999,2,49.70479999999998,0.0,22.637210308149953,127.01249999999999,14,0,62,62,1 + planning margin,debt,3,1.1368683772161603e-13
13,71,4,4,4521.9135,101.8734,4669.5924,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9635416666666666,0.5951582009107532,0.0,33.0,0.0,0.0,1.0,0,0,0,0.2586767485822306,0,87.67297653630986,0.10972459269325253,87.78270112900312,9.077055163480233,0.10972459269325253,9.186779756173486,287.63589999999994,315.75660000000016,383.1790999999999,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,45.805499999999995,326.27299999999997,0.0,59,24.1567,127.3392,378.58480000000003,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,220.61919999999995,0.009911319506094859,4.923018260869567,5.229743636363636,NaN,1.8174166666666658,2.681644940476189,9.884210814969608,110.0,115.0,55.0,243.66666666666669,95.99999999999999,0.0,38,17,9,12,3,0.0,255.0,2272.7404000000006,61.8789,2187.2942000000003,185,7,0,32,0.5519444936587452,0.5597921625629851,0.7169179314467673,31,290.9219,566.1471000000001,6,3,0.0,0,0,17,0.0,0,0.0,25770.0529,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,38,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7293213542470496,39,343.6437,32,25426.409200000002,4,-1295.732,4,-235.59980000000007,2,45.80549999999994,0.0,23.99544292663895,127.01249999999999,9,0,55,55,1 + planning margin,debt,3,1.1368683772161603e-13
