round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,128,4,4,6674.777600000004,0.0,140.25,140.25,140.25,,140.25,0.0,0.0,0.0,0.0,0.0,0.0025,35.1177,420.75,0.0,1.0,140.25,233.24310000000003,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.23633029072635248,0.0,168.0,0.0,0.0,1.0,0,0,6,1.0,128,8.235524615384616,2.2688270372596153,10.50435165264423,3.7466099999999996,0.9399784615384617,4.686588461538461,225.99999999999986,0.0,225.99999999999986,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,48,640.0,71.54240000000019,140.25,35.55099999999997,0.0,0.0,0.0,0.0,0.0,0,54.4752,640.0,71.54240000000019,35.55099999999997,82.0,0.0,0.0,0.0,5.0,5.199999999999997,2.0,0.75,3.597459459459462,3.9200000000000013,80.0,10.0,40.0,512.0,185.0,51.0,81,0,0,0,7,3.0,512.0,3684.6920000000005,729.7216,1317.5268999999998,192,0,0,32,0.2253426494840005,0.23633029072635248,0.655811148512645,13,1325.3479999999995,50.0,7,0,121.0,0,0,0,0.0,0,0.0,7261.655099999995,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,242.0,52.0,853.2442,4,80.43099999999998,80.43120000000019,NaN,1280.0,100.0,0.19316791666666666,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,81,0.0,6,6,1416.9631,768,600.0,600.0,0.0,4.586399999999998,4.586399999999998,0.0,36.403,44.028000000000006,435.5358,1483.5295999999998,0.29602923970699013,96,4167.313324999999,32,3094.341774999999,4,0.0,4,0.0,2,54.4752,-105.1323,11.925,11.25,0,0,40,40,"NB co-op village, market entry",sumsy,8,1.0913936421275139e-11
2,128,4,4,7235.77430000001,0.0,245.65789999999998,105.4079,245.3823,,245.3823,0.0,0.0,0.0,0.0,0.0,0.0025,38.7341,420.75,0.0,1.0,140.25,230.19083333333336,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.23469243140842422,0.0,238.0,0.0,0.0,1.0,0,0,6,0.2561138046779264,128,8.42421230769231,2.7568058713942314,11.18101817908654,3.0941146153846155,1.2903607692307693,4.384475384615385,622.2692,225.99999999999983,622.2692,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,48,640.0,79.00330000000002,105.4079,39.24459999999998,0.0,0.0,0.0,0.0,0.0,2,110.3332,640.0,79.00330000000002,39.24459999999998,82.0,0.0,0.0,0.015,4.792773722627729,5.493356363636363,2.1143666666666667,1.1364700000000005,3.5211326732673145,8.9519,220.0,274.0,110.0,512.0,303.0,51.0,51,0,0,1,15,7.0,512.0,4052.0373999999993,401.8883,1963.6242,192,0,0,32,0.17426728958622162,0.23469243140842422,0.42679634350887863,3,1818.267600000002,1313.2199999999978,16,1,51.0,0,0,0,0.0,0,0.0,7708.909499999998,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,107.8327,30.0,669.1571,4,40.6758,40.67679999999991,NaN,1280.0,100.0,0.2001981640625,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,51,0.0,6,6,1497.1477,768,600.0,600.0,0.0,1972.310743243244,1061.3883783783788,910.9223648648651,20.927,19.7488,671.3086999999998,1537.5219,0.28520455837936565,96,4373.143075000001,32,3335.766425,4,0.0,4,0.0,2,110.3332,-206.64819999999997,12.640500000000001,11.25,0,0,110,110,"NB co-op village, market entry",sumsy,8,1.0913936421275139e-11
3,128,4,4,7789.620199999996,0.0,594.5865999999997,348.9425,341.0854999999999,,341.0854999999999,0.0,0.0,0.0,0.0,0.0,0.0025,42.2382,414.9373,0.0,1.0,134.4373,223.3477666666667,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.2351692584411742,0.0,264.0,0.0,0.0,1.0,0,0,6,0.25849559845773273,128,9.612340524113966,3.42959087704306,13.041931401157028,3.30431992178943,1.631415188503189,4.93573511029262,755.2224000000002,622.269200000001,755.2224000000002,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-0.0028,0.0,48,640.0,86.15410000000004,348.9425,42.797499999999985,0.0,0.0,0.0,0.0,0.0,3,20.976,640.0,86.15410000000004,42.797499999999985,82.0,0.0,0.0,0.015,4.813530483271372,5.420752941176472,1.8755527472527453,1.3371161764705883,3.494569055343153,8.683342999999999,272.0,269.0,136.0,510.6666666666667,378.00000000000006,51.0,32,0,0,1,13,8.0,512.0,4536.7333,586.1412,2105.6832,192,0,0,32,0.1497900205460061,0.2351692584411742,0.3176126191396773,2,2123.3991,1294.839699999999,13,0,91.0,0,0,0,0.0,0,0.0,8304.0371,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,170.67529999999982,53.0,497.8483,4,1.3841999999999999,1.3799999999999948,NaN,1280.0,100.0,0.186272265625,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,0.0,6,6,1636.8327000000002,768,600.0,600.0,0.0,2952.248964284418,1440.6680811521098,1511.5808831323081,0.836,0.5482,862.2901000000002,1552.84,0.27780229350241337,96,4687.366474999999,32,3616.670625,4,0.0,4,0.0,2,141.0891,-298.8472999999999,13.398930000000002,11.25,0,0,136,136,"NB co-op village, market entry",sumsy,8,1.0913936421275139e-11
4,128,4,4,8334.045799999996,0.0,716.7848999999999,134.874,433.8671999999999,,433.8671999999999,0.0,0.0,0.0,0.0,0.0,0.0025,46.8582,412.4679,0.0,1.0,135.01989999999998,218.091425,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.24454328854493768,0.0,261.0,0.0,0.0,1.0,0,0,6,0.2570015138408305,128,10.35971338026215,3.6500345963386382,14.009747976600787,3.281940207020935,2.106811213774185,5.388751420795121,740.2008000000001,755.2223999999993,740.2008000000001,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-2.537700000000001,0.0,48,640.0,95.57439999999997,134.874,47.47800000000001,0.0,0.0,0.0,0.0,0.0,8,5.3073,640.0,95.57439999999997,47.47800000000001,82.0,0.0,0.0,0.015,5.418701838235295,5.43008120300752,1.8114160377358468,1.447009022556391,3.2837334988401063,8.42284271,266.0,272.0,133.0,510.6666666666667,383.00000000000006,51.0,31,0,0,0,13,11.0,512.0,4838.6214,705.313,2295.4547000000002,192,0,0,32,0.13858818049651456,0.24454328854493768,0.3155263580102716,0,2066.2721999999985,1473.8869000000002,14,1,106.0,0,0,0,0.0,0,0.0,8710.848200000008,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,192.01009999999977,64.0,442.49119999999994,4,0.0,0.0,NaN,1280.0,100.0,0.2047192578125,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,6,6,1731.7868,768,600.0,600.0,0.0,2712.754242730898,1366.840282207949,1345.9139605229486,0.0,0.0,1037.7280999999998,1711.4721,0.2863098436957192,96,4811.909875000002,32,3898.938325,4,0.0,4,10.411200000000008,2,209.49599999999998,-387.0089999999999,14.202865800000003,11.25,0,0,133,133,"NB co-op village, market entry",sumsy,8,1.0913936421275139e-11
5,128,4,4,8868.835899999998,0.0,807.1404,105.1359,539.0030999999999,,539.0030999999999,0.0,0.0,0.0,0.0,0.0,0.0025,51.5853,421.1707799999999,0.0,1.0,151.99409999999997,220.11821999999995,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.2537484345675931,0.0,263.0,0.0,0.0,1.0,0,0,6,0.2564022839052518,128,9.918944693893298,3.4317207293204426,13.35066542321374,3.215978188744959,2.1662476272772357,5.382225816022195,770.4432000000006,740.2007999999998,770.4432000000006,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-5.366699999999998,0.0,48,640.0,105.20990000000008,105.1359,52.264900000000054,0.0,0.0,0.0,0.0,0.0,11,6.2174,640.0,105.20990000000008,52.264900000000054,82.0,0.0,0.0,0.015,5.599056766917291,5.573653333333338,1.7590065789473697,1.5819199999999989,3.1891082340116266,8.1701574287,270.0,266.0,135.0,512.0,387.0,51.0,31,0,0,1,16,6.0,512.0,5171.634699999999,750.4274999999999,2539.2162,192,0,0,32,0.13947549145461702,0.2537484345675931,0.2894799405433397,0,2058.380699999999,1489.3490999999992,16,0,76.0,0,0,0,0.0,0,0.0,9104.613000000001,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,133.6845000000001,64.0,349.7548,4,0.0,0.0,NaN,1280.0,100.0,0.22733515624999998,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,6,6,1761.5034999999998,768,600.0,600.0,0.0,2436.12400719117,1296.4245894304513,1139.6994177607191,0.0,0.0,1250.4730999999997,1877.8949999999998,0.297277694038133,96,4921.845575,32,4182.767424999999,4,0.0,4,9.89059999999995,2,284.71349999999995,-487.4177999999999,15.055037748000004,11.25,0,0,135,135,"NB co-op village, market entry",sumsy,8,1.0913936421275139e-11
6,128,4,4,9391.539700000001,0.0,897.8279,105.46799999999999,644.4709999999999,,644.4709999999999,0.0,0.0,0.0,0.0,0.0,0.0025,57.4957,429.50225,0.0,1.0,157.0532,221.23628333333335,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.2637739790579654,0.0,264.0,0.0,0.0,1.0,0,0,6,0.25393591871636234,128,10.868865719207863,3.0820968002820712,13.950962519489934,4.306745321987151,1.6377683017056561,5.9445136236928064,785.4775000000002,770.4431999999998,785.4775000000002,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-8.047925,0.0,48,640.0,117.2962,105.468,58.2639,0.0,0.0,0.0,0.0,0.0,14,86.0095,640.0,117.2962,58.2639,82.0,0.0,0.0,0.015,5.552864893617018,5.643216911764707,1.658546835443036,1.7406948529411768,3.1226003658406865,7.925052705839,272.0,282.0,136.0,510.6666666666667,389.0,51.0,30,0,0,1,18,15.0,512.0,5345.4006,802.4105999999999,2837.5139999999997,192,0,0,32,0.16877903465738342,0.2637739790579654,0.2966430755592593,1,2057.1376999999998,1565.9078999999992,18,0,79.0,0,0,0,0.0,0,0.0,9553.094999999996,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,131.02519999999984,64.0,262.7093,4,0.0,0.0,NaN,1280.0,100.0,0.2414585546875,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,6,6,1923.5384,768,600.0,600.0,0.0,2231.461119883721,1143.5091099418605,1087.9520099418608,0.0,0.0,1365.8609000000001,1979.0955,0.3094411021044656,96,5111.5905250000005,32,4441.504475,4,0.0,4,9.370000000000005,2,357.4987,-586.9752999999998,15.958340012880004,11.25,0,0,136,136,"NB co-op village, market entry",sumsy,8,1.0913936421275139e-11
7,128,4,4,9902.168000000005,0.0,981.3095999999999,98.2622,742.7330999999999,,742.7330999999999,0.0,0.0,0.0,0.0,0.0,0.0025,63.4857,434.89812857142863,0.0,1.0,155.75780000000003,220.21504285714286,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.2740797959707826,0.0,264.0,0.0,0.0,1.0,0,0,6,0.254559757589884,128,12.253985686072404,2.993156117583118,15.247141803655524,5.614170588783085,1.4502098259271345,7.064380414710219,777.5781999999999,785.4775000000008,777.5781999999999,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-10.581450000000007,0.0,48,640.0,129.37170000000003,98.2622,64.28610000000002,0.0,0.0,0.0,0.0,0.0,17,30.0219,640.0,129.37170000000003,64.28610000000002,82.0,0.0,0.0,0.015,5.526204198473283,5.585133823529411,1.6094507936507931,1.9426264705882361,3.1583857590384734,7.687301124663828,272.0,262.0,136.0,510.66666666666663,389.0,51.0,30,0,0,0,10,11.0,512.0,5698.907599999997,847.3295,3004.6598,192,0,0,32,0.20655480699055362,0.2740797959707826,0.33682619989212315,2,2089.5941,1447.8655,10,0,126.0,0,0,0,0.0,0,0.0,10106.652999999997,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,202.79079999999993,64.0,257.7635,4,0.0,0.0,NaN,1280.0,100.0,0.24426432291666667,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,6,6,2116.3762,768,600.0,600.0,0.0,2050.4643687674134,963.7323843837066,1086.7319843837065,0.0,0.0,1631.2443999999998,1993.3766000000003,0.31910950988314823,96,5351.2365500000005,32,4755.41645,4,0.0,4,8.849399999999946,2,392.7664,-679.2474,16.915840413652806,11.25,0,0,136,136,"NB co-op village, market entry",sumsy,8,1.0913936421275139e-11
8,128,4,4,10400.420699999999,0.0,1225.5543,259.0113,834.2567999999999,,834.2567999999999,0.0,0.0,0.0,0.0,0.0,0.0025,69.626,438.6643875,0.0,1.0,155.0094,217.94130833333332,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.31336135664290365,0.0,261.0,0.0,0.0,1.0,0,0,6,0.254648622728968,128,14.717961663619251,2.072178912109359,16.79014057572861,7.476563975356506,0.8130779200352304,8.289641895391737,757.4412000000002,777.5781999999999,757.4412000000002,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-12.965050000000012,0.0,48,640.0,141.7473,259.0113,70.45759999999997,0.0,0.0,0.0,0.0,0.0,19,97.7145,640.0,141.7473,70.45759999999997,82.0,0.0,0.0,0.015,5.470503284671532,5.559708270676693,1.587007500000001,1.966225,3.044213388426031,7.4566820909239135,266.0,274.0,133.0,512.0,383.0,51.0,32,0,0,2,14,17.0,512.0,5992.387399999998,857.0902000000001,3078.2365,191,1,0,32,0.25801760423983944,0.31336135664290365,0.3495969049224861,9,2014.010600000002,1498.9178999999997,14,0,160.0,0,0,0,0.0,0,0.0,10270.569700000007,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,253.92120000000017,64.0,305.36609999999996,4,0.0,0.0,NaN,1280.0,100.0,0.2703718489583333,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,0.0,6,6,2054.0775999999996,768,600.0,600.0,0.0,1889.6854588010299,1031.8783271188067,857.8071316822227,0.0,0.0,1853.0457999999996,2186.6151999999997,0.3527338670951976,96,5191.412575,32,5079.157124999999,4,0.0,4,174.31640000000004,2,453.4521000000001,-764.6307999999999,17.930790838471975,11.25,0,0,133,133,"NB co-op village, market entry",sumsy,8,1.0913936421275139e-11
9,128,4,4,10887.568899999997,0.0,1290.2583000000002,87.8333,918.0782999999999,,918.0782999999999,0.0,0.0,0.0,0.0,0.0,0.0025,75.1047,441.0730666666667,0.0,1.0,153.4475,214.97721111111116,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0.9947916666666666,0.3218656550973522,0.0,260.0,0.0,0.0,1.0,0,0,6,0.25368568265252606,128,16.058726375463674,2.0546210289708773,18.113347404434553,8.576169859192836,0.5934139708898821,9.169583830082718,754.0057999999999,757.4411999999994,754.0057999999999,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-16.874050000000015,0.0,48,640.0,152.85180000000003,87.8333,75.98579999999998,0.0,0.0,0.0,0.0,0.0,20,136.0248,640.0,152.85180000000003,75.98579999999998,82.0,0.0,0.0,0.015,5.3784816793893135,5.533878195488721,1.6080610062893066,1.957659848484848,3.0908877731985074,7.232981628196197,266.0,262.0,133.0,509.33333333333337,383.0,51.0,31,0,0,1,14,10.0,512.0,6189.365900000001,894.1578,3243.0809,191,1,0,32,0.2771335063934013,0.3218656550973522,0.3241142437601452,10,2025.572100000001,1409.1622000000002,14,0,159.0,0,0,0,0.0,0,0.0,10639.256100000006,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,255.68169999999975,64.0,349.8348,4,8.1257,8.126000000000001,NaN,1280.0,100.0,0.29344955729166666,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,6,6,2130.4887,768,600.0,600.0,0.0,1549.3757410394317,898.2421548421785,651.133586197253,0.0,8.1257,2037.4768,2356.5847999999996,0.3604618368647079,96,5330.775574999999,32,5308.480525000001,4,0.0,4,169.5082000000001,2,484.76720000000006,-842.9735999999999,19.006638288780294,11.25,0,0,133,133,"NB co-op village, market entry",sumsy,8,1.0913936421275139e-11
10,128,4,4,11363.501500000008,0.0,1368.0605,100.94539999999999,993.8404999999999,,993.8404999999999,0.0,0.0,0.0,0.0,0.0,0.0025,80.651,442.22583000000003,0.0,1.0,150.86690000000002,211.14334333333335,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.34102219712433235,0.0,262.0,0.0,0.0,1.0,0,0,6,0.2564022839052518,128,17.955642142980686,1.7875030216143397,19.743145164595028,9.745725804584183,0.4434651585612631,10.189190963145444,747.4770000000008,754.0057999999997,747.4770000000008,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-20.55377500000001,0.0,48,640.0,164.0674,100.94539999999999,81.5727,0.0,0.0,0.0,0.0,0.0,22,155.8955,640.0,164.0674,81.5727,82.0,0.0,0.0,0.015,5.332840225563912,5.403533333333339,1.5812174999999993,1.9342529850746257,3.089335515349365,7.01599217935031,270.0,266.0,135.0,510.6666666666667,387.0,51.0,30,0,0,1,13,8.0,512.0,6420.794199999998,927.4762999999999,3386.8136,191,1,0,32,0.3062219414578029,0.34102219712433235,0.3497246976776014,11,2031.8662000000022,1418.5355000000004,13,0,160.0,0,0,0,0.0,0,0.0,11046.097800000007,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,252.99479999999988,64.0,391.8709,4,16.8735,16.867600000000035,NaN,1280.0,100.0,0.3086866927083333,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,6,6,2239.822,768,600.0,600.0,0.0,1493.8941680419694,852.7766698565583,641.1174981854111,3.769,13.1045,2240.0278000000003,2466.3388,0.3742120432766345,96,5404.4555249999985,32,5641.642274999999,4,0.0,4,185.8712999999999,2,497.64270000000005,-913.1895,20.147036586107113,11.25,0,0,135,135,"NB co-op village, market entry",sumsy,8,1.0913936421275139e-11
11,128,4,4,11833.3612,0.0,1601.55,258.028,1062.7750999999998,,1062.7750999999998,0.0,0.0,0.0,0.0,0.0,0.0025,83.7102,442.8195545454546,0.0,1.0,149.58560000000003,207.98975454545456,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.3516387157341794,0.0,260.0,0.0,0.0,1.0,0,0,6,0.2654253812554971,128,19.05788608690495,2.253332511634493,21.311218598539444,10.220921685672408,1.1772598082806036,11.398181493953011,751.6154000000006,747.4770000000001,751.6154000000006,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-24.281900000000004,0.0,48,640.0,170.14030000000005,258.028,84.6166,0.0,0.0,0.0,0.0,0.0,22,165.8009,640.0,170.14030000000005,84.6166,82.0,0.0,0.0,0.015,5.241280694980694,5.474741791044781,1.6300150000000007,1.909748484848485,3.083675761888494,6.805512413969801,268.0,259.0,134.0,510.6666666666667,385.00000000000006,51.0,31,1,1,1,9,5.0,511.0,6916.377700000002,886.1932999999999,3344.2061,190,2,0,32,0.30397368275322023,0.3516387157341794,0.33679448693824665,1,2009.7226000000003,1357.4916999999998,12,3,160.0,0,0,1,0.0,0,0.0,11568.046900000005,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,260.8024000000001,64.0,437.073,4,8.1979,8.192000000000005,NaN,1280.0,100.0,0.2891898046875,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,6,6,2358.1369,768,600.0,600.0,0.0,1404.880850722333,741.3815861256688,663.4992645966645,8.1979,0.0,2393.6646000000005,2309.3355,0.37904561068926945,96,5489.971000000001,32,6078.0759,4,0.0,4,353.43410000000006,2,500.54120000000006,-979.0648999999999,21.35585878127354,11.25,0,0,134,134,"NB co-op village, market entry",sumsy,8,1.0913936421275139e-11
12,128,4,4,12291.732700000004,0.0,1636.4580999999998,67.7462,1126.0825999999997,,1126.0825999999997,0.0,0.0,0.0,0.0,0.0,0.0025,89.4001,442.67235000000005,0.0,1.0,147.0177,203.40972500000004,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.3527336048532119,0.0,256.0,0.0,0.0,1.0,0,1,6,0.26102941176470584,128,19.770509249919147,1.9547929592039062,21.725302209123054,10.783209336069552,0.6893184602613325,11.472527796330885,745.8397999999999,751.6154000000004,745.8397999999999,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-29.427282405066293,0.0,48,640.0,181.62850000000006,67.7462,90.34299999999998,0.0,0.0,0.0,0.0,0.0,27,171.41379999999998,640.0,181.62850000000006,90.34299999999998,82.0,0.0,0.0,0.015,5.151956985294119,5.556029007633587,1.7545781249999994,1.9056527131782932,3.0529501939161032,6.309241999901058,262.0,272.0,131.0,509.6666666666667,379.0,51.0,33,0,0,1,15,7.0,512.0,7035.4019000000035,952.1061,3449.4143,190,2,0,32,0.31656313308394646,0.3527336048532119,0.3509145773904234,9,1968.7463000000016,1401.3323000000005,15,0,160.0,0,0,0,0.0,0,0.0,11837.079899999995,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,280.7324999999999,64.0,593.9965,5,31.618299999999998,31.6160000000001,NaN,1280.0,100.0,0.27084313616071426,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,33,0.0,6,7,2487.6717999999996,768,600.0,701.7612,0.0,1220.2881765622906,623.3173374245696,596.9708391377208,21.4166,10.2017,2595.8863,2507.8451,0.3788899496542606,96,5669.925825000001,32,6167.154075,4,0.0,4,402.9465,2,499.1472,-1036.6824999999997,22.637210308149953,11.25,0,0,131,131,"NB co-op village, market entry",sumsy,8,1.0913936421275139e-11
