round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,128,4,4,27594.2892,0.0,140.25,140.25,140.25,,140.25,0.0,0.0,0.0,0.0,0.0,0.0025,241.8235,420.75,0.0,1.0,140.25,59.64216666666667,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.060858853252455214,0.0,168.0,0.0,0.0,1.0,0,0,6,1.0,128,9.50714307692308,15.864025300480767,25.371168377403848,8.023690769230772,13.112146923076924,21.135837692307696,225.99999999999986,0.0,225.99999999999986,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0,640.0,485.36840000000046,140.25,242.39359999999996,0.0,0.0,0.0,0.0,0.0,0,54.4752,640.0,485.36840000000046,242.39359999999996,82.0,0.0,0.0,0.0,5.0,5.199999999999997,2.0,0.75,3.597459459459462,3.9200000000000013,80.0,19.0,40.0,512.0,185.0,51.0,81,0,0,0,11,8.0,512.0,23415.094900000004,869.7330000000001,1840.5893999999998,192,0,0,32,0.07139478874827199,0.060858853252455214,0.641995245532184,0,931.9145999999995,95.0,11,0,128.0,0,0,0,0.0,0,0.0,27496.7903,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,256.0,52.0,1172.5732,4,192.96299999999997,192.96479999999934,NaN,1280.0,100.0,0.255364609375,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,81,0.0,6,6,1921.6954,768,1133.1599999999999,1133.1599999999999,0.0,0.0,0.0,0.0,94.219,98.744,3779.3520000000003,1961.2002000000002,0.1466354052749248,96,19759.701549999998,32,7737.088750000001,4,0.0,4,140.25,2,54.4752,101.5735,11.925,11.25,0,0,40,40,"EB best SuMSy village, full money stock",sumsy,9,2.1827872842550278e-11
2,128,4,4,27745.76749999999,0.0,133.2375,0.0,133.2375,,133.2375,0.0,0.0,0.0,0.0,0.0,0.0025,336.3906,420.75,0.0,1.0,140.25,28.119799999999998,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.06711966446234463,0.0,241.0,0.0,0.0,1.0,0,0,6,0.26189300411522637,128,10.417837692307689,15.491687662259613,25.9095253545673,7.050590769230766,13.320387692307694,20.37097846153846,635.8486,225.99999999999983,635.8486,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-1.4025,0.0,0,640.0,488.52170000000007,0.0,242.98190000000002,0.0,0.0,0.0,0.0,0.0,0,111.0134,640.0,488.52170000000007,242.98190000000002,82.0,0.0,0.0,0.015,4.7908888888888805,5.467686725663717,2.128355,1.1267761061946902,3.491159183673455,3.802399999999999,226.0,270.0,113.0,512.0,343.0,51.0,42,0,0,0,12,10.0,512.0,23143.597899999997,525.0742,2446.2864,192,0,0,32,0.06373056435917235,0.06711966446234463,0.38130315723120733,0,1566.7806000000028,1293.5399999999977,12,0,160.0,0,0,0,0.0,0,0.0,27282.558600000015,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,340.5368,64.0,1183.405,4,58.8097,58.80399999999982,NaN,1280.0,100.0,0.28330792968749996,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,42,0.0,6,6,1978.9607,768,1133.1599999999999,1133.1599999999999,0.0,1484.7669135135143,860.2100351351354,624.5568783783788,29.368699999999997,29.441000000000003,3934.8851999999997,2175.8049,0.1504127058230582,96,19385.144325000005,32,7897.414275000001,4,0.0,4,133.23750000000007,2,111.0134,203.1531,12.640500000000001,11.25,0,0,113,113,"EB best SuMSy village, full money stock",sumsy,9,2.1827872842550278e-11
3,128,4,4,27894.160799999998,0.0,252.6631,126.43809999999999,126.225,,126.225,0.0,0.0,0.0,0.0,0.0,0.0025,435.202,414.885,0.0,0.9165608464739288,134.38499999999993,0.0,0.0,0.0,0.9165608464739288,0.0,0.0,0.9165608464739288,0.0,0,0,1.0,0.07674303009618666,0.0,262.0,0.0,0.0,0.9165608464739288,0,0,6,0.2544288999370512,128,11.998173348985095,15.883750447675814,27.881923796660907,7.160412838471902,13.895088879532754,21.055501718004656,745.2693999999992,635.8485999999999,745.2693999999992,0.0,0,0,0.0,0.0,0.0,0.9165608464739288,0.9165608464739288,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-2.7349,0.0,0,640.0,491.6067000000003,126.43809999999999,243.49480000000008,0.0,0.0,0.0,0.0,0.0,0,138.5819,640.0,491.6067000000003,243.49480000000008,82.0,0.0,0.0,0.015,4.806750537634414,5.427383582089546,2.291780000000002,1.3348768656716425,3.486479307359317,3.688327999999999,268.0,279.0,134.0,512.0,385.0,51.0,31,0,0,1,22,12.0,512.0,22988.1211,599.3130000000001,2617.2232,192,0,0,32,0.05962986945271731,0.07674303009618666,0.3318804792989416,0,1766.362299999999,1341.0834000000016,22,0,160.0,0,0,0,0.0,0,0.0,27222.787799999995,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,366.6848000000003,64.0,1115.7196000000001,4,53.325599999999994,53.33240000000024,NaN,1280.0,100.0,0.27827485677083336,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,6,6,2138.295,768,1133.1599999999999,1133.1599999999999,0.0,2241.3298420805377,1193.7434646378847,1047.586377442653,27.1804,26.1452,4116.933399999999,2193.9608000000003,0.15375215802948206,96,19124.7574,32,8098.0304,4,0.0,4,126.22500000000002,2,138.5819,308.977,13.398930000000002,11.25,0,0,134,134,"EB best SuMSy village, full money stock",sumsy,9,2.1827872842550278e-11
4,128,4,4,28039.60689999999,0.0,300.4227,61.094,119.2125,,119.2125,0.0,0.0,0.0,0.0,0.0,0.0025,511.695,412.28617499999996,0.0,0.5091395287055391,134.82989999999998,0.0,0.0,0.0,0.5091395287055391,0.0,0.0,0.5091395287055391,0.0,0,0,1.0,0.08589541210168394,0.0,266.0,0.0,0.0,0.5091395287055391,0,0,6,0.2572781065088757,128,13.107481200532442,15.639836565245798,28.74731776577824,7.109980761134548,13.812801764488421,20.92278252562297,771.4677,745.2693999999993,771.4677,0.0,0,0,0.0,0.0,0.0,0.5091395287055391,0.5091395287055391,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-5.261499999999999,0.0,0,640.0,494.5539,61.094,223.63639999999998,0.0,0.0,0.0,0.0,0.0,0,152.55020000000002,640.0,494.5539,223.63639999999998,82.0,0.0,0.0,0.015,5.2601084615384615,5.459910869565218,2.3689099999999983,1.442960869565217,3.387978505294255,3.5776781599999983,276.0,260.0,138.0,510.6666666666667,393.0,51.0,28,0,0,1,13,4.0,512.0,22828.6841,701.1481,2698.8603000000003,192,0,0,32,0.0593079179126339,0.08589541210168394,0.320796594823765,0,1779.4218999999994,1367.6281999999999,13,0,160.0,0,0,0,0.0,0,0.0,27219.72679999999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,379.0255999999997,64.0,1146.6692,4,56.8569,56.856000000000094,NaN,1280.0,100.0,0.2794432942708333,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,28,0.0,6,6,2318.6531,768,1133.1599999999999,1133.1599999999999,0.0,2286.3722918666463,1139.2048031207628,1147.1674887458835,28.4429,28.414,4289.654599999999,2228.0245,0.15979124538210265,96,18915.523775000005,32,8304.203025,4,0.0,4,119.21249999999998,2,152.55020000000002,392.48249999999996,14.202865800000003,11.25,0,0,138,138,"EB best SuMSy village, full money stock",sumsy,9,2.1827872842550278e-11
5,128,4,4,28182.41590000001,0.0,284.03360000000004,0.0,112.2,,112.2,0.0,0.0,0.0,0.0,0.0,0.0025,475.408,418.3562999999999,0.0,0.27609818104784567,147.54559999999998,0.0,0.0,0.0,0.27609818104784567,0.0,0.0,0.27609818104784567,0.0,0,0,1.0,0.09128855141712866,0.0,263.0,0.0,0.0,0.27609818104784567,0,0,6,0.26802112029384756,128,12.623626801494732,14.048216564130879,26.671843365625612,7.069835939329126,12.34479736524883,19.414633304577954,763.4061999999993,771.4676999999997,763.4061999999993,0.0,0,0,0.0,0.0,0.0,0.27609818104784567,0.27609818104784567,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-8.265600000000001,0.0,0,640.0,497.1910000000001,0.0,124.64430000000006,0.0,0.0,0.0,0.0,0.0,0,160.0026,640.0,497.1910000000001,124.64430000000006,82.0,0.0,0.0,0.015,5.510199621212122,5.521527407407403,2.5063274999999976,1.5796577777777767,3.3448944246670615,3.4703478152,270.0,264.0,135.0,510.6666666666667,387.0,51.0,30,0,0,3,11,4.0,512.0,22643.026700000006,784.9989,2872.0445999999997,192,0,0,32,0.06286955144699169,0.09128855141712866,0.31076502810106654,0,1761.9881,1454.6927,11,0,160.0,0,0,0,0.0,0,0.0,27089.89180000002,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,401.0123999999996,64.0,1246.9351000000001,4,69.8369,69.83320000000018,NaN,1280.0,100.0,0.3198411067708333,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,6,6,2369.9359000000004,768,1133.1599999999999,1133.1599999999999,0.0,1882.8821436361727,1044.2702649426647,838.611878693508,34.947599999999994,34.8893,4370.3138,2534.0427,0.16480757795906165,96,18730.165374999997,32,8359.726425,4,0.0,4,112.20000000000005,2,160.0026,363.208,15.055037748000004,11.25,0,0,135,135,"EB best SuMSy village, full money stock",sumsy,9,2.1827872842550278e-11
6,128,4,4,28322.5311,0.0,267.6445,0.0,105.1875,,105.1875,0.0,0.0,0.0,0.0,0.0,0.0025,376.5273,425.91054999999994,0.0,0.47629501362570587,154.5606,16.461083333333306,0.0,0.0,0.47629501362570587,0.0,0.0,0.47629501362570587,0.0,0,0,1.0,0.10000786055395561,0.0,260.0,0.0,0.0,0.47629501362570587,0,0,6,0.26442538227929036,128,13.074895569670169,13.507137284079365,26.582032853749535,7.68905062587075,11.65703754159529,19.34608816746604,758.1509000000004,763.4062000000002,758.1509000000004,0.0,0,0,0.0,0.0,0.0,0.47629501362570587,0.47629501362570587,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-11.105800000000002,0.0,0,640.0,499.88479999999987,0.0,68.1061,0.0,0.0,0.0,0.0,0.0,0,163.6311,640.0,499.88479999999987,68.1061,82.0,0.0,0.0,0.015,5.554655839416059,5.607203787878791,2.638999375,1.7554469696969697,3.266639193460193,3.3662373807439985,264.0,274.0,132.0,508.0,381.0,51.0,30,0,0,0,13,9.0,512.0,22402.2392,857.2252000000001,3165.1298,192,0,0,32,0.06902479202000911,0.10000786055395561,0.32675278950494824,0,1736.416799999999,1521.9757000000002,13,0,160.0,0,0,0,0.0,0,0.0,27117.840700000004,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,422.2399,64.0,1357.7785,4,83.02040000000001,83.02119999999981,NaN,1280.0,100.0,0.34799151041666665,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,6,6,2634.1327,768,1133.1599999999999,1133.1599999999999,0.0,1438.8707176696435,772.9985588348218,665.8721588348219,41.240700000000004,41.7797,4528.3114000000005,2746.0008000000007,0.17301099031885103,96,18575.804775,32,8542.035925,4,0.0,4,105.1875,2,163.6311,271.3398,15.958340012880004,11.25,0,0,132,132,"EB best SuMSy village, full money stock",sumsy,9,2.1827872842550278e-11
7,128,4,4,28459.643099999998,0.0,251.2554,0.0,98.175,,98.175,0.0,0.0,0.0,0.0,0.0,0.0025,328.6615,431.8408714285714,0.0,0.8905399193780965,155.80760000000004,34.39312380952381,0.0,0.0,0.8905399193780965,0.0,0.0,0.8905399193780965,0.0,0,0,1.0,0.5122345028650594,0.0,262.0,1.0,0.0,0.8905399193780965,0,0,6,0.26069940664057567,128,143.92533732002724,13.374295504797265,157.29963282482453,10.348964234195973,10.645510336435626,20.9944745706316,757.9877999999997,758.1509000000001,757.9877999999997,0.0,0,0,0.0,0.0,0.0,0.8905399193780965,0.8905399193780965,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-13.782000000000005,0.0,0,640.0,502.888,0.0,118.63470000000011,0.0,0.0,0.0,0.0,0.0,0,164.87959999999998,640.0,502.888,118.63470000000011,82.0,0.0,0.0,0.015,5.5979513108614265,5.52229701492537,2.7055074999999986,1.9314179104477616,3.513822328040601,7.018666910603078,268.0,267.0,134.0,512.0,385.0,51.0,31,0,0,1,14,7.0,512.0,22289.3454,894.934,3414.8647,192,0,0,33,0.08739150047279987,0.5122345028650594,0.3354477632357986,0,1873.2748999999983,1494.653000000001,14,0,160.0,0,0,0,0.0,0,0.0,73531.51029999998,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,432.88119999999975,64.0,1366.9578999999999,4,95.0216,95.02760000000008,NaN,1280.0,100.0,0.35332582031250004,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,6,6,2894.0253000000002,768,1133.1599999999999,1133.1599999999999,0.0,1310.9134768383149,634.8454613806375,676.0680154576775,46.790800000000004,48.2308,4934.908800000001,2782.7313,0.5526277280482692,95,18128.093553906252,33,55403.41674609376,4,0.0,4,98.17499999999995,2,164.87959999999998,230.48649999999998,16.915840413652806,252.1986,0,0,134,134,"EB best SuMSy village, full money stock",sumsy,9,2.1827872842550278e-11
8,128,4,4,28593.586699999993,0.0,234.8663,0.0,91.1625,,91.1625,0.0,0.0,0.0,0.0,0.0,0.0025,384.9043,436.7442375,0.0,1.0,157.0226,17.279979166666674,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.5145232362054688,0.0,262.0,0.0,0.0,1.0,0,0,6,0.2503443526170799,128,143.5109707660985,13.230684887163667,156.74165565326217,10.693294561449267,10.525482482710544,21.21877704415981,779.8195999999998,757.9878000000006,779.8195999999998,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-16.294500000000003,0.0,0,640.0,506.05640000000045,0.0,223.47210000000007,0.0,0.0,0.0,0.0,0.0,0,164.53289999999998,640.0,506.05640000000045,223.47210000000007,82.0,0.0,0.0,0.015,5.579431060606059,5.685220895522387,2.828954374999999,1.995028358208956,3.5168222535142877,7.053341434554558,268.0,264.0,134.0,510.6666666666667,385.0,51.0,31,0,0,1,10,6.0,512.0,22119.235399999987,926.4095,3618.7911,192,0,0,33,0.09354240516322276,0.5145232362054688,0.3362084835436199,0,1884.844,1472.9697999999996,10,0,160.0,0,0,0,0.0,0,0.0,73504.26319999996,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,452.63269999999983,64.0,1379.7135,4,101.8236,101.82599999999937,NaN,1280.0,100.0,0.3681788411458333,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,6,6,3032.3486,768,1133.1599999999999,1133.1599999999999,0.0,1375.1239638084824,655.3001816341553,719.8237821743271,51.094899999999996,50.7287,5103.253,2892.5654999999997,0.5549821180296266,95,17952.903825,33,55551.35937499999,4,0.0,4,91.16250000000002,2,164.53289999999998,293.7418,17.930790838471975,252.1986,0,0,134,134,"EB best SuMSy village, full money stock",sumsy,9,2.1827872842550278e-11
9,128,4,4,28724.675800000015,0.0,218.4772,0.0,84.15,,84.15,0.0,0.0,0.0,0.0,0.0,0.0025,468.5287,440.38460000000003,0.0,0.8881896795913122,156.50249999999997,0.0,0.0,0.0,0.8881896795913122,0.0,0.0,0.8881896795913122,0.0,0,0,1.0,0.5192802802250573,0.0,261.0,0.0,0.0,0.8881896795913122,0,0,6,0.25345982688640034,128,144.78072069094696,13.32104105077767,158.10176174172463,11.357024386013578,10.462553532744113,21.81957791875769,807.0218,779.8195999999991,807.0218,0.0,0,0,0.0,0.0,0.0,0.8881896795913122,0.8881896795913122,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-18.642899999999997,0.0,0,640.0,508.9109000000001,0.0,251.7129,0.0,0.0,0.0,0.0,0.0,0,164.5798,640.0,508.9109000000001,251.7129,82.0,0.0,0.0,0.015,5.521155244755241,5.932494736842105,2.9334325000000008,1.9979142857142853,3.5141383148389953,6.891642239803443,266.0,286.0,133.0,510.6666666666667,383.0,51.0,31,0,0,0,19,17.0,512.0,21824.486500000006,987.588,3887.3197,192,0,0,33,0.10380834550935503,0.5192802802250573,0.3352742613589932,0,1880.8229000000017,1579.050399999999,19,0,160.0,0,0,0,0.0,0,0.0,73334.44400000002,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,469.3492000000001,64.0,1392.1731,4,121.77059999999999,121.77479999999956,NaN,1280.0,100.0,0.3976076953125,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,6,6,3152.7387000000003,768,1133.1599999999999,1133.1599999999999,0.0,1211.6403940775745,608.5009729563722,603.1394211212023,60.911,60.8596,5223.7965,3114.3421000000003,0.5595302363763135,95,17591.907499218745,33,55742.536500781265,4,0.0,4,84.15000000000009,2,164.5798,384.3787,19.006638288780294,252.1986,0,0,133,133,"EB best SuMSy village, full money stock",sumsy,9,2.1827872842550278e-11
10,128,4,4,28853.225400000014,0.0,202.0881,0.0,77.1375,,77.1375,0.0,0.0,0.0,0.0,0.0,0.0025,524.3591,442.80651,0.0,0.5647879157313699,154.86790000000002,0.0,0.0,0.0,0.5647879157313699,0.0,0.0,0.5647879157313699,0.0,0,0,1.0,0.5230577757440009,0.0,265.0,0.0,0.0,0.5647879157313699,0,0,6,0.25126262626262624,128,147.04586034745955,13.19075379348643,160.236614140946,12.301682707531066,10.290931562412453,22.592614269943518,836.9338999999999,807.0218000000007,836.9338999999999,0.0,0,0,0.0,0.0,0.0,0.5647879157313699,0.5647879157313699,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-20.827499999999997,0.0,0,640.0,511.45040000000023,0.0,223.97579999999994,0.0,0.0,0.0,0.0,0.0,0,164.7276,640.0,511.45040000000023,223.97579999999994,82.0,0.0,0.0,0.015,5.503029545454544,5.977619708029196,3.0683350000000007,2.033682481751825,3.500311265000988,6.893090560107738,274.0,264.0,137.0,512.0,391.0,51.0,30,0,0,1,14,12.0,512.0,21687.398900000007,1056.9687,4008.5247,192,0,0,33,0.11250661621960334,0.5230577757440009,0.3597009300376681,0,1919.6716000000006,1452.7997999999998,14,0,160.0,0,0,0,0.0,0,0.0,73345.05820000004,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,490.9336000000001,64.0,1411.2464,4,113.7415,113.73760000000013,NaN,1280.0,100.0,0.4068178255208333,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,6,6,3295.9009,768,1133.1599999999999,1133.1599999999999,0.0,1230.1058900988705,601.4407883145291,628.6651017843415,60.611999999999995,53.1295,5423.7141,3180.8389,0.5632197625533444,95,17290.53014140625,33,56054.528058593765,4,0.0,4,77.13749999999993,2,164.7276,447.2216,20.147036586107113,252.1986,0,0,137,137,"EB best SuMSy village, full money stock",sumsy,9,2.1827872842550278e-11
11,128,4,4,28979.522400000016,0.0,185.699,0.0,70.125,,70.125,0.0,0.0,0.0,0.0,0.0,0.0025,498.675,444.6496636363637,0.0,0.3511601678577902,154.36040000000003,0.0,0.0,0.0,0.3511601678577902,0.0,0.0,0.3511601678577902,0.0,0,0,1.0,0.5267960582580233,0.0,263.0,0.0,0.0,0.3511601678577902,0,0,6,0.25047211623694454,128,148.521228341833,12.939355702639192,161.4605840444722,13.287234186865097,9.989998643150443,23.27723283001554,829.4750999999993,836.933899999999,829.4750999999993,0.0,0,0,0.0,0.0,0.0,0.3511601678577902,0.3511601678577902,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-22.84849999999999,0.0,0,640.0,513.703,0.0,142.83189999999996,0.0,0.0,0.0,0.0,0.0,0,165.2908,640.0,513.703,142.83189999999996,82.0,0.0,0.0,0.015,5.486951971326161,6.010926666666662,3.240633124999998,2.0399555555555566,3.5077349149440202,6.934617841726081,270.0,279.0,135.0,510.6666666666667,387.00000000000006,51.0,30,0,0,0,21,14.0,512.0,21521.754500000006,1172.9550000000002,4176.7715,192,0,0,33,0.12268049155071226,0.5267960582580233,0.34114383565843664,0,1909.9448000000007,1530.8595999999989,21,0,160.0,0,0,0,0.0,0,0.0,73316.19509999997,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,518.5012999999997,64.0,1444.0756000000001,4,139.7969,139.78639999999933,NaN,1280.0,100.0,0.43143470052083327,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,6,6,3428.1426000000006,768,1133.1599999999999,1133.1599999999999,0.0,1068.3124674348892,534.7249243375738,533.5875430973153,70.9991,68.7978,5516.363700000002,3365.6594999999998,0.5668649747718715,95,17076.231525,33,56239.96357500001,4,0.0,4,70.125,2,165.2908,428.55,21.35585878127354,252.1986,0,0,135,135,"EB best SuMSy village, full money stock",sumsy,9,2.1827872842550278e-11
12,128,4,4,29103.520099999987,0.0,169.30989999999997,0.0,63.1125,,63.1125,0.0,0.0,0.0,0.0,0.0,0.0025,420.6117,446.07280000000003,0.0,0.45123935152266037,153.90910000000002,8.487033333333349,0.0,0.0,0.45123935152266037,0.0,0.0,0.45123935152266037,0.0,0,0,1.0,0.5707291289109893,0.0,267.0,1.0,0.0,0.45123935152266037,0,0,6,0.2516872427983539,128,198.8672609706942,12.940866981525675,211.80812795221985,15.6897372284776,9.291435719664152,24.981172948141754,872.0320999999986,829.4750999999986,872.0320999999986,0.0,0,0,0.0,0.0,0.0,0.45123935152266037,0.45123935152266037,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-24.70569999999998,0.0,0,640.0,516.0022999999999,0.0,89.33849999999997,0.0,0.0,0.0,0.0,0.0,0,165.83010000000002,640.0,516.0022999999999,89.33849999999997,82.0,0.0,0.0,0.015,5.447060370370369,6.14411582733812,3.3804443749999997,2.0350251798561163,3.497263045052401,7.057007240069524,278.0,270.0,139.0,512.0,395.0,51.0,29,0,0,2,15,15.0,512.0,21468.16859999999,1270.3051,4296.5803,192,0,0,33,0.1396753710805585,0.5707291289109893,0.32783447449358927,0,1943.2356000000018,1470.7062999999996,15,0,160.0,0,0,0,0.0,0,0.0,90523.63830000005,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,540.8711,64.0,1482.0243,4,141.6635,141.6615999999995,NaN,1280.0,100.0,0.45248604166666667,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,29,0.0,6,6,3525.8129000000004,768,1133.1599999999999,1133.1599999999999,0.0,1043.0818261983236,518.8708988049111,524.2109273934125,68.149,73.5145,5647.2653,3523.0968,0.6078099982409015,95,16941.73834765625,33,73581.89995234375,4,0.0,4,63.112499999999955,2,165.83010000000002,357.4992,22.637210308149953,341.56745,0,0,139,139,"EB best SuMSy village, full money stock",sumsy,9,2.1827872842550278e-11
