round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,128,4,4,6687.762899999996,0.0,186.2,186.2,140.25,,140.25,0.0,0.0,0.0,0.0,0.0,0.0025,28.8875,0.0,0.0,1.0,140.25,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.61043884054732,0.0,168.0,1.0,0.0,1.0,0,0,0,1.0,0,85.72975769230769,2.972153846153847,88.70191153846153,2.0023253846153835,2.9570000000000007,4.959325384615385,222.99999999999986,0.0,222.99999999999986,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0,640.0,58.557099999999956,186.2,29.14819999999998,0.0,0.0,0.0,0.0,0.0,0,44.9692,640.0,58.557099999999956,29.14819999999998,79.0,0.0,0.0,0.0,5.0,5.199999999999997,2.0,0.75,3.597459459459462,3.920000000000001,80.0,15.0,40.0,512.0,185.0,51.0,81,0,0,0,12,3.0,512.0,4746.966599999997,271.794,947.4959999999999,191,1,0,32,0.10282869873942246,0.6482666875292644,0.6471158136388497,0,1315.9043999999997,75.0,12,0,130.0,0,0,0,0.0,0,0.0,31646.666600000022,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,260.0,52.0,647.6496,2,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,81,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6496335087491154,96,3517.7730999999994,32,28128.8935,4,365.944,4,983.2959999999998,2,54.7692,-111.3625,11.925,140.1,0,0,40,40,5 + government bonds,sumsy,6,3.637978807091713e-12
2,128,4,4,7257.140000000006,0.0,563.27,379.3675,251.61249999999998,,251.61249999999998,0.0,0.0,0.0,0.0,0.0,0.0025,34.747,0.0,0.0,1.0,140.25,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.6031295424586305,0.0,241.0,0.0,0.0,1.0,0,0,0,0.2544647050141556,0,86.29707923076923,2.866279230769231,89.16335846153845,2.115944615384616,2.819835384615385,4.935780000000001,643.0167999999994,222.99999999999983,643.0167999999994,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-0.4595,0.0,0,640.0,70.6229,379.3675,35.12540000000001,0.0,0.0,0.0,0.0,0.0,3,22.2414,640.0,70.6229,35.12540000000001,79.0,0.0,0.0,0.015,4.894000000000005,5.508919298245609,2.214157831325303,1.125116814159292,3.468998260869551,3.8023999999999996,228.0,273.0,114.0,512.0,345.0,51.0,41,0,0,3,13,10.0,512.0,4953.470699999998,199.97719999999998,1613.0103,191,1,0,32,0.08267830349864558,0.6422521924099862,0.3440480125894432,0,1940.4799000000028,1336.0620000000013,13,0,83.0,0,0,0,0.0,0,0.0,31990.885799999996,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,183.77510000000015,64.0,433.6934,2,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,41,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6475740261657341,96,3688.752599999999,32,28302.1332,4,28.41969999999999,4,1648.8102999999999,2,118.379,-216.8655,12.640500000000001,140.1,0,0,114,114,5 + government bonds,sumsy,6,3.637978807091713e-12
3,128,4,4,7815.052099999999,0.0,1088.4338,540.8615,354.1422,,354.1422,0.0,0.0,0.0,0.0,0.0,0.0025,40.3164,0.0,0.0,1.0,137.2767,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.5996974530561872,0.0,259.0,0.0,0.0,1.0,0,0,0,0.26147842056932963,0,89.29116657759886,2.9145767187450855,92.20574329634395,1.8796721259941522,2.884294740812923,4.763966866807075,736.4226999999992,643.0167999999998,736.4226999999992,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-3.5761000000000007,0.0,0,640.0,82.08790000000002,540.8615,40.801200000000016,0.0,0.0,0.0,0.0,0.0,9,18.9926,640.0,82.08790000000002,40.801200000000016,79.0,0.0,0.0,0.013576443026880266,4.822940909090906,5.465323484848478,2.2269726618705032,1.3340580152671762,3.3823194225721966,3.6883279999999994,264.0,264.0,132.0,508.0,381.0,51.0,30,0,0,1,12,7.0,512.0,4990.0378,596.9726,1735.2363,191,1,0,32,0.08953054956066664,0.6398778157116436,0.30649179541740224,0,2079.2388,1273.256399999999,12,0,139.0,0,0,0,0.0,0,0.0,32410.14140000001,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,309.5491999999999,64.0,433.4964,2,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6451989414102077,96,3877.763500000001,32,28532.377899999996,4,2.7809999999999775,4,1771.0363,2,188.0614,-313.8258,13.398930000000002,140.1,0,0,132,132,5 + government bonds,sumsy,6,3.637978807091713e-12
4,128,4,4,8361.757000000003,0.0,1187.6647,136.8453,449.1097,,449.1097,0.0,0.0,0.0,0.0,0.0,0.0025,45.8135,0.0,0.0,1.0,135.28390000000002,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.5958230985197739,0.0,261.0,0.0,0.0,1.0,0,0,0,0.2542628640410442,0,91.26084395159475,3.1196390125834372,94.38048296417819,2.5336551828234137,2.9677128780853708,5.501368060908784,740.3675,736.4226999999984,740.3675,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-10.919125000000003,0.0,0,640.0,93.29510000000005,136.8453,46.36929999999999,0.0,0.0,0.0,0.0,0.0,15,9.177900000000001,640.0,93.29510000000005,46.36929999999999,79.0,0.0,0.0,0.011634235566776337,5.4375971631205635,5.4131902985074625,2.1713801652892553,1.436596240601503,3.2710243961038863,3.5776781599999987,268.0,282.0,134.0,510.6666666666667,385.0,51.0,30,0,0,1,20,14.0,512.0,5179.0153,670.4168999999999,2015.9246,191,1,0,32,0.09896300216447518,0.6420603537950318,0.3019556320191692,0,2062.3516999999997,1533.4023999999988,20,0,121.0,0,0,0,0.0,0,0.0,32593.0368,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,262.7369999999999,64.0,441.4088,2,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6424159776642357,96,3872.8434999999986,32,28720.19329999999,4,71.96189999999996,4,2051.7246,2,259.1926,-403.2962,14.202865800000003,140.1,0,0,134,134,5 + government bonds,sumsy,6,3.637978807091713e-12
5,128,4,4,8897.381899999993,0.0,1255.3846,107.428,555.8206,,555.8206,0.0,0.0,0.0,0.0,0.0,0.0025,51.2693,0.0,0.0,1.0,152.5244,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.5883532803734728,0.0,264.0,0.0,0.0,1.0,0,0,0,0.2515857989801136,0,81.64899193604221,2.8388408728800156,84.48783280892222,2.885625536439051,2.6348749331250874,5.520500469564139,782.2481999999994,740.3675000000002,782.2481999999994,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-18.304525000000005,0.0,0,640.0,104.37509999999995,107.428,51.881800000000034,0.0,0.0,0.0,0.0,0.0,18,26.6528,640.0,104.37509999999995,51.881800000000034,79.0,0.0,0.0,0.015,5.5615011152416365,5.600351824817514,2.0559178947368406,1.578452205882352,3.194449873211078,3.4703478151999994,274.0,269.0,137.0,510.66666666666663,391.0,51.0,29,0,0,1,17,11.0,512.0,5446.2721999999985,692.0778,2251.8406999999997,191,1,0,32,0.11230264040741544,0.6386929448294609,0.2617041679396972,0,2070.0361999999996,1496.0438000000001,17,0,95.0,0,0,0,0.0,0,0.0,32885.86700000001,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,195.31219999999985,64.0,429.2691,2,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,29,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6357607261771576,96,4007.9753000000014,32,28877.8917,4,132.61379999999994,4,2287.6407,2,332.11850000000004,-504.5513,15.055037748000004,140.1,0,0,137,137,5 + government bonds,sumsy,6,3.637978807091713e-12
6,128,4,4,9422.539700000001,0.0,1320.3714,104.7308,660.5514000000001,,660.5514000000001,0.0,0.0,0.0,0.0,0.0,0.0025,56.4175,0.0,0.0,1.0,156.00009999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.580997074966551,0.0,263.0,0.0,0.0,1.0,0,0,0,0.255667363898468,0,80.18838010522254,3.0400916455068407,83.22847175072937,3.2515985983010145,2.8220030440902244,6.07360164239124,775.9232999999995,782.2481999999986,775.9232999999995,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-25.299924999999995,0.0,0,640.0,114.84220000000005,104.7308,57.086600000000004,0.0,0.0,0.0,0.0,0.0,21,49.8042,640.0,114.84220000000005,57.086600000000004,79.0,0.0,0.0,0.015,5.545832330827066,5.595024264705878,2.018377999999999,1.7506051851851856,3.1124856202635662,3.366237380743999,272.0,266.0,136.0,510.66666666666663,389.0,51.0,30,0,0,1,15,7.0,512.0,5694.115000000002,740.4951,2455.0125,191,1,0,32,0.1212200120760647,0.635340220357806,0.3121237747640333,0,2048.6271,1475.1913999999995,15,0,100.0,0,0,0,0.0,0,0.0,33169.474,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,201.83779999999987,64.0,426.6954,2,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6299585740490499,96,4112.3258,32,29057.148199999996,4,220.77509999999995,4,2490.8125,2,397.79689999999994,-604.1339,15.958340012880004,140.1,0,0,136,136,5 + government bonds,sumsy,6,3.637978807091713e-12
7,128,4,4,9936.729500000003,0.0,1379.7701000000002,99.14269999999999,759.6941,,759.6941,0.0,0.0,0.0,0.0,0.0,0.0025,61.8167,0.0,0.0,1.0,155.56019999999995,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.5796530017249446,0.0,262.0,0.0,0.0,1.0,0,0,0,0.2556454534476512,0,81.632397349096,2.7080279992037757,84.34042534829977,4.4491670760094655,2.4917831470755387,6.940950223085005,764.4824999999998,775.9232999999986,764.4824999999998,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-31.897724999999987,0.0,0,640.0,125.81019999999992,99.1427,62.542100000000005,0.0,0.0,0.0,0.0,0.0,24,48.453300000000006,640.0,125.81019999999992,62.542100000000005,79.0,0.0,0.0,0.015,5.519722710622712,5.551722222222221,1.9018889908256873,1.9262723880597028,3.0920377180354226,3.2652502593216797,270.0,273.0,135.0,510.6666666666667,387.0,51.0,30,0,0,2,16,10.0,512.0,5923.609800000004,769.8968,2699.897,191,1,0,32,0.15413898358902656,0.639027925705635,0.29509162506727127,0,2051.1241,1506.8843000000002,16,0,109.0,0,0,0,0.0,0,0.0,33416.110399999976,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,207.30589999999992,64.0,433.0559,2,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6317330237671299,96,4106.725599999999,32,29309.384799999993,4,289.9208,4,2735.697,2,452.0075,-697.8774000000001,16.915840413652806,140.1,0,0,135,135,5 + government bonds,sumsy,6,3.637978807091713e-12
8,128,4,4,10438.933599999995,0.0,1433.0376999999999,93.0116,852.7057,,852.7057,0.0,0.0,0.0,0.0,0.0,0.0025,67.7298,0.0,0.0,1.0,154.82829999999998,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.5781080133535443,0.0,261.0,0.0,0.0,1.0,0,0,0,0.2567717319642582,0,83.49222853406857,2.232725730834145,85.72495426490272,5.949278786699151,1.930374979684903,7.879653766384054,767.4295999999996,764.4825000000003,767.4295999999996,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-38.097925,0.0,0,640.0,137.79590000000007,93.0116,68.50830000000002,0.0,0.0,0.0,0.0,0.0,26,82.8982,640.0,137.79590000000007,68.50830000000002,79.0,0.0,0.0,0.015,5.444888014981275,5.5735525925925895,1.857147297297298,1.963829104477612,3.04352848070533,3.167292751542029,270.0,267.0,135.0,509.3333333333333,387.0,51.0,30,0,0,1,13,9.0,512.0,6087.366700000002,789.1610000000001,2903.4429999999998,191,1,0,32,0.1897776898907293,0.6427608598574996,0.33055767535997793,1,2032.3079,1453.7851000000003,13,0,148.0,0,0,0,0.0,0,0.0,33627.2092,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,274.8578000000001,64.0,508.33489999999995,2,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6335280279837316,96,4094.3912999999993,32,29532.817900000002,4,348.9290000000001,4,2939.243,2,505.6825,-784.9759,17.930790838471975,140.1,0,0,135,135,5 + government bonds,sumsy,6,3.637978807091713e-12
9,128,4,4,10930.179800000004,0.0,1644.1171,250.8235,937.7055,,937.7055,0.0,0.0,0.0,0.0,0.0,0.0025,73.1763,0.0,0.0,1.0,152.7296,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.6014555734039015,0.0,261.0,1.0,0.0,1.0,0,0,0,0.25555437157014227,0,102.80414583336228,1.8925069594060144,104.6966527927683,7.553274649951832,1.6775438606646667,9.230818510616498,753.0402999999994,767.4295999999994,753.0402999999994,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-43.901250000000005,0.0,0,640.0,148.7538,250.8235,73.97639999999998,0.0,0.0,0.0,0.0,0.0,28,127.56960000000001,640.0,148.7538,73.97639999999998,79.0,0.0,0.0,0.015,5.366190510948908,5.507763432835817,1.795950625000001,1.9666272727272738,3.0341361268057514,3.072273968995767,268.0,274.0,134.0,510.6666666666667,385.0,51.0,30,0,0,2,14,15.0,512.0,6379.386900000001,789.0661,2963.7683,190,2,0,32,0.23132752858566197,0.661808398478674,0.3166741872693071,2,2012.1060000000007,1470.3362000000006,14,0,160.0,0,0,0,0.0,0,0.0,39719.571299999996,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,287.3521000000002,64.0,597.2126000000001,2,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6531593743255992,96,4066.3757000000014,32,35653.19560000001,4,424.66399999999993,4,3163.8919,2,541.8747000000001,-864.5292000000001,19.006638288780294,171.00475,0,0,134,134,5 + government bonds,sumsy,6,3.637978807091713e-12
10,128,4,4,11410.678500000002,0.0,1673.4270000000001,77.3451,1015.0506,,1015.0506,0.0,0.0,0.0,0.0,0.0,0.0025,78.501,0.0,0.0,1.0,150.5214,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.5986192596542312,0.0,259.0,0.0,0.0,1.0,0,0,0,0.26546359284454524,0,105.29583660473752,1.8213120969831977,107.11714870172072,8.337585664473822,1.4673824624913354,9.804968126965159,744.1612000000005,753.0403000000013,744.1612000000005,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-50.96545000000001,0.0,0,640.0,159.5013,77.3451,79.33409999999999,0.0,0.0,0.0,0.0,0.0,29,151.74720000000002,640.0,159.5013,79.33409999999999,79.0,0.0,0.0,0.015,5.314758333333334,5.401194074074078,1.9184637500000001,1.933295488721805,3.0318014052509556,2.9801057499258943,270.0,252.0,135.0,509.33333333333337,387.00000000000006,51.0,30,0,0,2,7,6.0,512.0,6585.341400000001,810.8207000000001,3077.8297,190,2,0,32,0.2495684724485201,0.6626766795204773,0.3577793984044155,2,2009.6400000000012,1339.3191000000002,8,1,160.0,0,0,0,0.0,0,0.0,39984.8355,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,306.9542,64.0,706.4385,2,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6527793337580077,96,4114.304800000001,32,35870.53069999999,4,494.45380000000006,4,3269.7371,2,557.5731000000001,-936.5496,20.147036586107113,171.00475,0,0,135,135,5 + government bonds,sumsy,6,3.637978807091713e-12
11,128,4,4,11881.744299999998,0.0,1850.201,224.80920000000003,1085.6290000000001,,1085.6290000000001,0.0,0.0,0.0,0.0,0.0,0.0025,83.1854,0.0,0.0,1.0,149.07939999999996,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.984375,0.6184756673969258,0.0,256.0,2.0,0.0,1.0,0,0,0,0.2600255102040816,0,128.44632224515598,1.6239272282805148,130.07024947343652,9.791955467980248,1.512152842900086,11.304108310880334,718.4883999999998,744.1612000000003,718.4883999999998,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-57.549250000000036,0.0,0,640.0,168.93419999999986,224.80920000000003,84.03969999999997,0.0,0.0,0.0,0.0,0.0,30,163.3834,640.0,168.93419999999986,84.03969999999997,79.0,0.0,0.0,0.015,5.208633928571424,5.41144923076923,2.0259406451612905,1.9212047244094494,3.0110017805039844,2.8907025774281183,260.0,280.0,130.0,509.3333333333333,377.0,51.0,32,0,0,2,19,13.0,512.0,6832.211400000004,793.2633000000001,3186.4864000000002,189,3,0,32,0.2803853369221716,0.6794717841845961,0.355553475796458,2,1953.4601000000005,1458.4174999999987,19,0,155.0,0,0,0,0.0,0,0.0,47349.55765000003,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,314.0208,64.0,823.2144000000001,2,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6704722053426497,96,3970.3159999999984,32,43379.24165000001,4,660.06925,4,3522.9084,2,560.7301,-1002.4436000000002,21.35585878127354,209.30255,0,0,130,130,5 + government bonds,sumsy,6,3.637978807091713e-12
12,128,4,4,12342.646000000002,0.0,2014.0637000000002,219.6095,1148.5458,,1148.5458,0.0,0.0,0.0,0.0,0.0,0.0025,88.2356,0.0,0.0,1.0,146.1022,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9791666666666666,0.6192490342363532,0.0,260.0,1.0,0.0,1.0,0,0,0,0.2560748208146378,0,136.0552797282514,1.4632590567410342,137.51853878499244,10.835305232713392,1.3586295261288885,12.19393475884228,744.8336000000006,718.4884000000003,744.8336000000006,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-65.19497500000006,0.0,0,640.0,179.09829999999982,219.6095,89.1114999999999,0.0,0.0,0.0,0.0,0.0,31,169.6859,640.0,179.09829999999982,89.1114999999999,79.0,0.0,0.0,0.015,5.141088167938933,5.366423529411769,2.0079981249999976,1.8879893939393937,2.9602098072744436,2.803981500105274,272.0,262.0,136.0,509.33333333333337,389.0,51.0,30,0,0,1,12,8.0,512.0,7058.788199999999,725.1848,3353.0633,188,4,0,32,0.3010434297171578,0.68287715362976,0.34498606875441573,4,1969.6401000000008,1346.9651000000003,13,1,160.0,0,0,0,0.0,0,0.0,48958.39779999997,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,321.27969999999965,64.0,947.6882,2,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6731793702539115,96,3971.8939000000005,32,44986.503899999996,4,729.7461000000001,4,3673.6326,2,558.5534,-1060.3102000000001,22.637210308149953,216.6956,0,0,136,136,5 + government bonds,sumsy,6,3.637978807091713e-12
13,128,4,4,12795.266500000002,0.0,2008.9342,58.4518,1204.5178,,1204.5178,0.0,0.0,0.0,0.0,0.0,0.0025,92.311,0.0,0.0,1.0,144.20759999999999,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9791666666666666,0.6150788442607131,0.0,257.0,0.0,0.0,1.0,0,0,0,0.25670946746367834,0,138.05351346462555,1.7017738161601497,139.7552872807857,10.874848285001816,1.6059605176338783,12.480808802635696,728.4294000000011,744.8335999999998,728.4294000000011,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-73.85007500000002,0.0,0,640.0,187.37950000000004,58.4518,93.23049999999998,0.0,0.0,0.0,0.0,0.0,32,173.3666,640.0,187.37950000000004,93.23049999999998,79.0,0.0,0.0,0.015,5.059529520295202,5.364130827067678,2.0601768750000002,1.8729038759689922,2.946335743544008,2.719862055102116,266.0,271.0,133.0,510.6666666666667,383.0,51.0,31,0,0,1,16,8.0,512.0,7217.073899999996,771.833,3514.5571999999997,188,4,0,32,0.30357591051807686,0.6824963964919111,0.3282643258732363,1,1936.7022000000015,1371.1324999999997,17,1,160.0,0,0,0,0.0,0,0.0,49088.432200000025,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,329.6283,64.0,1026.1248,2,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6714955241414315,96,3991.915499999999,32,45096.51670000001,4,839.8021000000001,4,3821.7536,2,553.7548999999999,-1112.2068000000002,23.99544292663895,216.6956,0,0,133,133,5 + government bonds,sumsy,6,3.637978807091713e-12
