round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,128,4,4,6687.253499999992,0.0,140.25,140.25,140.25,,140.25,0.0,0.0,0.0,0.0,0.0,0.0025,29.1281,0.0,0.0,1.0,140.25,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.22636456491435775,0.0,168.0,0.0,0.0,1.0,0,0,0,1.0,0,8.840395384615382,2.7646923076923082,11.605087692307691,2.254847692307691,2.7646923076923082,5.019539999999999,222.99999999999986,0.0,222.99999999999986,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0,640.0,59.066499999999984,140.25,29.398199999999992,0.0,0.0,0.0,0.0,0.0,0,0.0,640.0,59.066499999999984,29.398199999999992,79.0,0.0,0.0,0.0,5.0,5.199999999999997,2.0,0.75,3.597459459459462,3.920000000000001,80.0,17.0,40.0,512.0,185.0,51.0,81,0,0,0,9,8.0,512.0,4737.729099999998,362.392,947.4959999999999,192,0,0,32,0.11054566617818029,0.2893867083778707,0.662917464918839,0,1316.3293999999996,85.0,9,0,130.0,0,0,0,0.0,0,0.0,6897.7290999999905,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,260.0,52.0,610.5083,2,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,81,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3688188558959349,96,3491.4626999999973,32,3406.2663999999995,4,362.392,4,993.2959999999998,2,56.16,-111.1219,11.925,11.25,0,0,40,40,4 + theatres,sumsy,10,-1.4551915228366852e-11
2,128,4,4,7256.779199999999,0.0,420.70730000000003,280.4573,251.3719,,251.3719,0.0,0.0,0.0,0.0,0.0,0.0025,34.68,0.0,0.0,1.0,140.25,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.21266272858684032,0.0,240.0,0.0,0.0,1.0,0,0,0,0.2542391619795194,0,8.780068461538463,2.966726153846154,11.746794615384617,1.8044723076923084,2.91744,4.721912307692309,628.8810999999998,222.99999999999983,628.8810999999998,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0,640.0,70.4743,280.4573,35.05320000000002,0.0,0.0,0.0,0.0,0.0,5,7.275,640.0,70.4743,35.05320000000002,79.0,0.0,0.0,0.015,4.894000000000005,5.481081249999998,2.2242188235294114,1.1267946428571425,3.444378299120221,3.8023999999999996,224.0,269.0,112.0,512.0,341.0,51.0,42,0,0,0,12,9.0,512.0,4979.683899999997,201.76,1600.9419,192,0,0,32,0.07184236555532153,0.27339998591876125,0.34547402178308606,0,1916.8682000000022,1316.4860000000012,12,0,85.0,0,0,0,0.0,0,0.0,7233.117299999999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,189.05859999999998,64.0,432.4384,2,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,42,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40303530624594885,96,3662.7996,32,3570.317699999999,4,32.42459999999999,4,1646.7419,2,128.00560000000002,-216.6919,12.640500000000001,11.25,0,0,112,112,4 + theatres,sumsy,10,-1.4551915228366852e-11
3,128,4,4,7814.455800000003,0.0,1012.5419000000002,600.3015,353.9686000000001,,353.9686000000001,0.0,0.0,0.0,0.0,0.0,0.0025,40.4152,0.0,0.0,1.0,137.2767,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.45134885647727385,0.0,262.0,1.0,0.0,1.0,0,0,0,0.25387755102040815,0,33.99152808776835,2.8738085882241964,36.865336675992545,2.039417968627203,2.7938684731696557,4.833286441796859,749.3651000000001,628.8810999999996,749.3651000000001,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-1.6934999999999998,0.0,0,640.0,82.32339999999999,600.3015,40.91309999999999,0.0,0.0,0.0,0.0,0.0,11,22.3628,640.0,82.32339999999999,40.91309999999999,79.0,0.0,0.0,0.015,4.817069285714279,5.48033656716418,2.2058275362318844,1.3436879699248117,3.3760454545454714,3.6883279999999994,268.0,280.0,134.0,512.0,385.0,51.0,31,0,0,1,20,14.0,512.0,4931.4667000000045,588.8944,1803.6891999999998,191,1,0,32,0.09436529916520531,0.5173644337623045,0.29942325580255,0,2095.2724,1348.779399999998,20,0,138.0,0,0,0,0.0,0,0.0,15123.987799999988,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,304.40420000000006,64.0,427.6275,2,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5389582612951944,96,3819.0737000000004,32,11304.9141,4,-19.238899999999973,4,1849.4892,2,200.4811,-313.5534000000001,13.398930000000002,50.44,0,0,134,134,4 + theatres,sumsy,10,-1.4551915228366852e-11
4,128,4,4,8361.141899999999,0.0,1140.6069000000002,161.4174,448.6728000000001,,448.6728000000001,0.0,0.0,0.0,0.0,0.0,0.0025,45.8691,0.0,0.0,1.0,135.11939999999998,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.4498554966042947,0.0,265.0,0.0,0.0,1.0,0,0,0,0.26060397756565484,0,35.57046695473191,3.0571133711424894,38.627580325874405,2.6759919147866387,2.914412496559144,5.590404411345783,764.3793000000002,749.3650999999993,764.3793000000002,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-8.278900000000004,0.0,0,640.0,93.31389999999995,161.4174,46.394099999999966,0.0,0.0,0.0,0.0,0.0,16,6.6293,640.0,93.31389999999995,46.394099999999966,79.0,0.0,0.0,0.007449752665952024,5.232740711462452,5.430284782608697,2.1585965034965025,1.439102919708029,3.2555826805706882,3.5776781599999987,276.0,253.0,138.0,510.6666666666667,393.0,51.0,29,0,0,1,5,7.0,512.0,5286.3308,686.3704,1853.1317,191,1,0,32,0.10546220688648544,0.5189850792527158,0.31198537397982884,0,2086.265099999999,1323.8834000000004,5,0,143.0,0,0,0,0.0,0,0.0,15492.995799999999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,308.67929999999984,64.0,482.8106,2,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,29,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5357842068183241,96,3931.8311000000017,32,11561.1647,4,44.8762999999999,4,1898.9317,2,275.0702,-402.8037000000001,14.202865800000003,50.44,0,0,138,138,4 + theatres,sumsy,10,-1.4551915228366852e-11
5,128,4,4,8896.414599999996,0.0,1204.8277000000003,100.909,549.5817000000002,,549.5817000000002,0.0,0.0,0.0,0.0,0.0,0.0025,51.4515,0.0,0.0,1.0,146.77800000000002,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.442446454915687,0.0,256.0,0.0,0.0,1.0,0,0,0,0.2577654662973223,0,33.51783769105112,2.802738498780876,36.320576189831996,3.3279853857917585,2.623291426629356,5.951276812421114,725.3839999999999,764.3792999999987,725.3839999999999,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-15.198025000000012,0.0,0,640.0,104.72729999999999,100.909,52.059499999999986,0.0,0.0,0.0,0.0,0.0,19,7.8903,640.0,104.72729999999999,52.059499999999986,79.0,0.0,0.0,0.015,5.498221052631577,5.506852713178294,2.035359130434781,1.5640265625000003,3.1596708718840545,3.4703478151999994,258.0,285.0,129.0,510.6666666666667,375.0,51.0,34,0,0,1,19,18.0,512.0,5389.080599999999,773.5058,2167.599,191,1,0,32,0.12386155180857705,0.5230929507097477,0.33765027697846106,0,1992.2074999999988,1566.9929999999995,19,0,115.0,0,0,0,0.0,0,0.0,15598.416800000005,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,234.06629999999979,64.0,506.8874,2,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,34,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5356680265365108,96,3885.418399999998,32,11712.9984,4,168.6998,4,2213.3989,2,349.4547,-498.1302000000002,15.055037748000004,50.44,0,0,129,129,4 + theatres,sumsy,10,-1.4551915228366852e-11
6,128,4,4,9421.723499999995,0.0,1270.9134000000001,102.7739,652.3555000000001,,652.3555000000001,0.0,0.0,0.0,0.0,0.0,0.0025,56.3581,0.0,0.0,1.0,154.22530000000003,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.4331061814498134,0.0,264.0,0.0,0.0,1.0,0,0,0,0.25639909033725267,0,32.4472466471673,2.926033823527464,35.37328047069476,3.2352464242022783,2.862916205653858,6.098162629856136,777.6090000000013,725.3839999999997,777.6090000000013,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-21.75005000000001,0.0,0,640.0,114.69109999999998,102.7739,57.016400000000004,0.0,0.0,0.0,0.0,0.0,22,86.1625,640.0,114.69109999999998,57.016400000000004,79.0,0.0,0.0,0.015,5.566324096385543,5.5664890510949,2.002934999999999,1.7262102941176476,3.0825907941849526,3.366237380743999,274.0,249.0,137.0,510.6666666666667,391.0,51.0,30,0,0,2,9,4.0,512.0,5633.925599999999,766.3974000000001,2340.2603,191,1,0,32,0.11633663540702388,0.5167816557514058,0.2589401478798281,0,2042.9619999999995,1386.0147000000002,9,0,120.0,0,0,0,0.0,0,0.0,15927.447900000003,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,240.35219999999987,64.0,538.6196,2,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.533510272485054,96,4038.7809000000016,32,11888.666999999998,4,198.2794999999999,4,2386.0600999999997,2,421.20040000000006,-595.9974000000001,15.958340012880004,50.44,0,0,137,137,4 + theatres,sumsy,10,-1.4551915228366852e-11
7,128,4,4,9935.540899999998,0.0,1334.0023,99.7772,752.1326000000001,,752.1326000000001,0.0,0.0,0.0,0.0,0.0,0.0025,62.0262,0.0,0.0,1.0,156.13520000000005,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.4324987358515251,0.0,259.0,0.0,0.0,1.0,0,0,0,0.26385702209878037,0,33.15473493895844,2.6510113687272407,35.80574630768568,4.606166464734629,2.414629019002912,7.020795483737541,741.9291999999996,777.6090000000014,741.9291999999996,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-27.93547500000001,0.0,0,640.0,126.18260000000008,99.7772,62.736300000000035,0.0,0.0,0.0,0.0,0.0,25,32.789,640.0,126.18260000000008,62.736300000000035,79.0,0.0,0.0,0.015,5.522711721611721,5.507039393939391,1.8928144144144132,1.9211557251908398,3.13344118347408,3.2652502593216797,264.0,273.0,132.0,509.33333333333337,381.0,51.0,31,0,0,1,14,8.0,512.0,5886.584,814.4401,2596.6156,191,1,0,32,0.15559132772292084,0.5240940041020523,0.3217694348095481,1,2042.2445999999993,1507.7002999999997,14,0,111.0,0,0,0,0.0,0,0.0,16161.518399999999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,210.10239999999988,64.0,543.086,2,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5418941364784058,96,4052.681900000001,32,12108.8365,4,283.0104,4,2642.4153,2,461.0776000000001,-690.1064000000001,16.915840413652806,50.44,0,0,132,132,4 + theatres,sumsy,10,-1.4551915228366852e-11
8,128,4,4,10437.853200000005,0.0,1390.2004000000002,92.8864,845.0189000000001,,845.0189000000001,0.0,0.0,0.0,0.0,0.0,0.0025,67.6715,0.0,0.0,1.0,154.91250000000002,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.4313551297115692,0.0,261.0,0.0,0.0,1.0,0,0,0,0.2551984877126654,0,34.659947802623634,2.145488662435101,36.80543646505873,5.433936605305446,1.9584623681510178,7.392398973456463,757.4755999999993,741.9291999999995,757.4755999999993,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-33.753800000000005,0.0,0,640.0,137.68769999999995,92.8864,68.453,0.0,0.0,0.0,0.0,0.0,27,97.4747,640.0,137.68769999999995,68.453,79.0,0.0,0.0,0.015,5.441487318840582,5.540862686567159,1.8467892857142882,1.9629601503759393,3.03049280638408,3.167292751542029,268.0,276.0,134.0,510.6666666666667,385.0,51.0,30,0,0,2,14,16.0,512.0,5981.609300000002,818.3291999999999,2874.6698,191,1,0,32,0.18178493225999381,0.5316302839888134,0.28484762232056293,1,2021.3937999999991,1501.8505000000007,14,0,140.0,0,0,0,0.0,0,0.0,16330.842200000001,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,258.55050000000034,64.0,598.0987,2,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.552745606210707,96,4062.6099000000004,32,12268.2323,4,323.58770000000004,4,2920.4694,2,519.2368,-777.3474000000001,17.930790838471975,50.44,0,0,134,134,4 + theatres,sumsy,10,-1.4551915228366852e-11
9,128,4,4,10928.8506,0.0,1438.4749000000002,84.9626,929.9815000000002,,929.9815000000002,0.0,0.0,0.0,0.0,0.0,0.0025,73.2695,0.0,0.0,1.0,152.6341,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.4302778072886917,0.0,261.0,0.0,0.0,1.0,0,0,0,0.2568547593453345,0,36.26781329996661,1.8334339690115107,38.10124726897812,6.794231229560311,1.5557101261205628,8.349941355680874,747.1774000000001,757.4756000000001,747.1774000000001,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-39.2053,0.0,0,640.0,149.00259999999992,84.9626,74.09040000000003,0.0,0.0,0.0,0.0,0.0,29,121.2296,640.0,149.00259999999992,74.09040000000003,79.0,0.0,0.0,0.015,5.36057159533074,5.464010447761195,1.7926044025157248,1.9566037593984957,3.0459398769527417,3.072273968995767,268.0,257.0,134.0,509.3333333333333,385.0,51.0,30,0,0,0,11,6.0,512.0,6193.258600000002,845.1564999999999,3015.0184,191,1,0,32,0.20759903407311286,0.5361447201552139,0.32036911970297566,2,2020.8641000000005,1377.6669000000002,11,0,159.0,0,0,0,0.0,0,0.0,16594.809799999995,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,285.02410000000026,64.0,680.918,2,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5579109644750173,96,4118.467799999999,32,12476.342,4,387.10310000000004,4,3060.8179999999998,2,550.5217,-856.7120000000002,19.006638288780294,50.44,0,0,134,134,4 + theatres,sumsy,10,-1.4551915228366852e-11
10,128,4,4,11408.8016,0.0,1481.1222000000002,79.3353,1007.0765000000002,,1007.0765000000002,0.0,0.0,0.0,0.0,0.0,0.0025,78.7044,0.0,0.0,1.0,150.3645,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1,0.9947916666666666,0.43126687010997,0.0,261.0,0.0,0.0,1.0,0,0,0,0.2572589410486,0,38.23355835814214,1.5244004388310968,39.757958796973234,8.066076536855395,1.2586365872509642,9.324713124106358,736.5101,747.1774000000012,736.5101,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-44.29049999999998,0.0,0,640.0,160.04900000000004,79.3353,79.58439999999999,0.0,0.0,0.0,0.0,0.0,31,146.14139999999998,640.0,160.04900000000004,79.58439999999999,79.0,0.0,0.0,0.015,5.2668967625899255,5.3844037313432835,1.7964700000000011,1.9333225563909768,3.021107878568919,2.9801057499258943,268.0,278.0,134.0,512.0,385.0,51.0,31,0,0,1,17,12.0,512.0,6294.697499999998,871.469,3250.4134000000004,191,1,0,32,0.23582019442256685,0.5462856668672491,0.3263102499964974,7,2004.9125999999999,1464.1972999999994,17,0,160.0,0,0,0,0.0,0,0.0,16752.515600000006,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,287.4352000000002,64.0,767.3759,2,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5696292802219745,96,4050.963999999998,32,12701.551599999999,4,450.10360000000014,4,3298.4533,2,568.9069999999999,-928.3721000000003,20.147036586107113,50.44,0,0,134,134,4 + theatres,sumsy,10,-1.4551915228366852e-11
11,128,4,4,11878.503100000002,0.0,1519.4928000000002,75.0586,1076.1089000000002,,1076.1089000000002,0.0,0.0,0.0,0.0,0.0,0.0025,83.7482,0.0,0.0,1.0,147.73679999999996,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,1,0.9947916666666666,0.4290946580116668,0.0,262.0,0.0,0.0,1.0,0,0,0,0.25160262586554644,0,39.578015029910155,1.450229970846353,41.02824500075651,8.973885202913154,1.008910400678505,9.98279560359166,742.7531000000006,736.5101000000001,742.7531000000006,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-49.00879999999998,0.0,0,640.0,170.29849999999993,75.0586,84.68239999999996,0.0,0.0,0.0,0.0,0.0,32,152.364,640.0,170.29849999999993,84.68239999999996,79.0,0.0,0.0,0.015,5.207102150537636,5.390763703703708,1.9270956249999975,1.9053440298507467,2.993478779131743,2.8907025774281183,270.0,279.0,135.0,510.6666666666667,387.0,51.0,30,0,0,2,21,16.0,512.0,6455.451599999999,893.3899999999999,3484.9016,191,1,0,32,0.26262286616206665,0.5511070291717326,0.36956443196640465,5,1994.5170000000016,1452.7815000000003,22,1,160.0,0,0,0,0.0,0,0.0,16888.655700000003,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,308.3352999999996,64.0,808.6477,2,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.577849394607765,96,4019.3570999999993,32,12869.298599999998,4,508.7126,4,3532.9415,2,574.6293000000001,-992.3607000000002,21.35585878127354,50.44,0,0,135,135,4 + theatres,sumsy,10,-1.4551915228366852e-11
12,128,4,4,12340.94809999999,0.0,1878.8530000000005,396.4616,1138.4196000000002,,1138.4196000000002,0.0,0.0,0.0,0.0,0.0,0.0025,87.4819,0.0,0.0,1.0,146.05890000000002,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,0.984375,0.44521107223240497,0.0,264.0,0.0,0.0,1.0,0,0,0,0.25610985134794656,0,41.67745644369888,1.6534680277374547,43.33092447143634,10.435307387401869,1.7386091386128553,12.173916526014724,745.0716000000009,742.7531000000008,745.0716000000009,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-53.44232499999998,0.0,0,640.0,177.55500000000004,396.4616,88.34560000000006,0.0,0.0,0.0,0.0,0.0,33,161.38729999999998,640.0,177.55500000000004,88.34560000000006,79.0,0.0,0.0,0.015,5.1614230158730185,5.328989781021904,1.958523125,1.8861283582089556,2.944909331600787,2.803981500105274,274.0,252.0,137.0,509.3333333333333,391.0,51.0,29,0,0,1,11,2.0,512.0,7200.1572000000015,791.5702,3236.2057999999997,189,3,0,32,0.28246646302389067,0.555331533920822,0.3364069664664675,1,1971.7010000000005,1300.6786000000006,11,0,160.0,0,0,0,0.0,0,0.0,17497.1471,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,313.3637,64.0,864.1457,2,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,29,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5919597631294762,96,4102.2848,32,13394.862299999999,4,227.46969999999996,4,3618.2844,2,576.8248,-1050.9377000000002,22.637210308149953,50.44,0,0,137,137,4 + theatres,sumsy,10,-1.4551915228366852e-11
13,128,4,4,12793.494999999994,0.0,1883.0597,57.2957,1195.7153,,1195.7153,0.0,0.0,0.0,0.0,0.0,0.0025,92.3493,0.0,0.0,1.0,144.77759999999998,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,0.984375,0.44270891975598814,0.0,259.0,0.0,0.0,1.0,0,0,0,0.2589509384514587,0,42.49703545873312,1.463292043210248,43.96032750194337,11.249411818864864,1.5331304159820283,12.782542234846892,741.6925000000001,745.0716000000004,741.6925000000001,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-60.70662499999999,0.0,0,640.0,187.45310000000012,57.2957,93.26710000000006,0.0,0.0,0.0,0.0,0.0,36,167.0019,640.0,187.45310000000012,93.26710000000006,79.0,0.0,0.0,0.015,5.0685279569892465,5.423078358208956,2.0207000000000015,1.8822129770992382,2.9241764041434783,2.719862055102116,268.0,279.0,134.0,510.6666666666667,385.0,51.0,31,0,0,2,14,13.0,512.0,7313.025999999999,839.5668999999999,3444.6391,189,3,0,32,0.30180644975999016,0.5612266741785559,0.3678548717235235,3,1936.9375,1414.1192999999998,14,0,160.0,0,0,0,0.0,0,0.0,17591.9796,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,323.31200000000024,64.0,936.9118,2,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5962203187317827,96,4047.1403,32,13544.839299999998,4,328.00389999999993,4,3810.3166,2,575.913,-1103.366,23.99544292663895,50.44,0,0,134,134,4 + theatres,sumsy,10,-1.4551915228366852e-11
