round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,128,4,4,27123.8739,0.0,146.751,146.751,110.5361,,110.5361,0.0,0.0,0.0,0.0,0.0,0.0025,237.1535,0.0,0.0,1.0,110.53609999999999,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.4768337340510831,0.0,168.0,1.0,0.0,1.0,0,0,0,0.6449704142011835,48,168.79703235732018,21.645160661703883,190.44219301902407,7.411630752688177,19.040223308519437,26.451854061207616,181.9319999999999,0.0,181.9319999999999,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0,640.0,475.6312999999996,146.751,237.59499999999994,0.0,0.0,0.0,0.0,0.0,0,56.0864,640.0,475.6312999999996,237.59499999999994,82.0,0.0,0.0,0.0,3.9407000000000023,4.098299999999997,1.5763000000000027,0.5911000000000005,2.8352919835089256,3.0894915254237283,80.0,26.0,40.0,512.0,185.0,51.0,81,0,0,0,16,10.0,512.0,23821.1714,514.1043,1571.2139,191,1,0,32,0.05165611779853507,0.4768337340510831,0.6586510701821826,0,775.5994000000001,102.45820000000006,16,0,128.0,0,0,0,0.0,0,0.0,66147.4838,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,201.76640000000035,52.0,924.1444,4,158.5322,158.53240000000008,NaN,1280.0,100.0,0.20794811848958336,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,81,0.0,0,12,0.0,0,0.0,1786.1664,0.0,110.41779661016946,0.0,110.41779661016946,0.0,158.5322,8029.735400000003,3009.4625999999994,0.5272737816533928,96,18553.532599999995,32,47593.95120000001,4,0.0,4,0.0,2,56.0864,126.6174,9.398516949152542,220.8354,0,0,40,40,"F8-2 step 8, full money stock, fee 2 %, prices x 0.79 (control)",sumsy,3,0.0
2,128,4,4,27284.881800000003,0.0,247.5734,108.1599,105.0093,,105.0093,0.0,0.0,0.0,0.0,0.0,0.0025,357.2546,0.0,0.0,1.0,110.5362,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.4790797295146687,0.0,242.0,0.0,0.0,1.0,0,0,0,0.26035665294924554,48,169.2554085470952,21.57802010966422,190.83342865675942,7.510267601812244,18.16598085853547,25.676248460347715,515.4512999999997,181.93199999999987,515.4512999999997,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-1.4674999999999998,0.0,0,640.0,478.9920999999998,108.1599,238.0176,0.0,0.0,0.0,0.0,0.0,0,110.9,640.0,478.9920999999998,238.0176,82.0,0.0,0.0,0.015,3.8102777777777748,4.325663478260867,1.6864543750000003,0.8924412280701758,2.7711194092219156,2.9968067796610165,230.0,270.0,115.0,512.0,347.0,51.0,40,0,0,1,14,11.0,512.0,23497.2664,343.0874,2043.5435000000002,191,1,0,32,0.05033552388300366,0.4790797295146687,0.36436734902516776,0,1298.0121999999992,1028.7749999999992,14,0,160.0,0,0,0,0.0,0,0.0,65924.40119999996,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,269.83270000000005,64.0,932.8299,4,46.3672,46.36719999999999,NaN,1280.0,100.0,0.2212065169270833,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0.0,0,12,0.0,0,0.0,1786.1664,0.0,1187.563568621158,0.0,1187.563568621158,0.0,46.3672,7927.857200000002,3319.4608000000003,0.5281754136065582,96,18316.963799999998,32,47607.4374,4,0.0,4,0.0,2,110.9,252.2453,9.962427966101695,220.8354,0,0,115,115,"F8-2 step 8, full money stock, fee 2 %, prices x 0.79 (control)",sumsy,3,0.0
3,128,4,4,27442.62340000001,0.0,409.245,174.4171,99.4825,,99.4825,0.0,0.0,0.0,0.0,0.0,0.0025,478.8109,0.0,0.0,1.0,106.87819999999996,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.4810978497501155,0.0,262.0,0.0,0.0,1.0,0,0,0,0.25889640441438233,48,175.03639762002248,22.651887775416267,197.68828539543875,6.682423158237114,19.4429495123962,26.125372670633315,597.8975,515.4512999999997,597.8975,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-3.9431999999999996,0.0,0,640.0,482.25839999999994,174.4171,238.3904,0.0,0.0,0.0,0.0,0.0,0,138.1166,640.0,482.25839999999994,238.3904,82.0,0.0,0.0,0.015,3.7932301886792454,4.295537037037037,1.8045106249999996,1.0556037313432831,2.7798222006890434,2.906902576271186,270.0,265.0,135.0,510.66666666666663,387.0,51.0,30,0,0,2,12,10.0,512.0,23325.1597,476.9085,2106.666,191,1,0,32,0.04516919211195214,0.4810978497501155,0.3237726582922704,0,1455.4865000000018,1005.206,12,0,160.0,0,0,0,0.0,0,0.0,65863.2863,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,288.72169999999994,64.0,916.9617000000001,4,45.9184,45.91839999999999,NaN,1280.0,100.0,0.2221099674479167,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,0,12,0.0,0,0.0,1786.1664,0.0,1774.3646275338238,0.0,1774.3646275338238,0.0,45.9184,8044.578699999998,3500.536200000001,0.5283802049388213,96,18150.147899999993,32,47713.138399999996,4,0.0,4,0.0,2,138.1166,379.3284,10.560173644067797,220.8354,0,0,135,135,"F8-2 step 8, full money stock, fee 2 %, prices x 0.79 (control)",sumsy,3,0.0
4,128,4,4,27597.15619999999,0.0,412.52759999999995,24.749000000000002,93.9557,,93.9557,0.0,0.0,0.0,0.0,0.0,0.0025,598.6537,0.0,0.0,1.0,106.4,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.4851050361209801,0.0,260.0,0.0,0.0,1.0,0,0,0,0.25442889993705115,48,176.88990377632504,22.31388745957775,199.20379123590277,7.037730230267384,19.174973530109934,26.212703760377316,588.2611999999996,597.8975000000006,588.2611999999996,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-8.0356,0.0,0,640.0,485.4672,24.749000000000002,238.74710000000007,0.0,0.0,0.0,0.0,0.0,0,152.0394,640.0,485.4672,238.74710000000007,82.0,0.0,0.0,0.015,4.268779211469538,4.287678195488718,1.8925474999999998,1.1201590909090915,2.7208173371430364,2.819695498983051,266.0,279.0,133.0,509.3333333333333,383.0,51.0,31,0,0,1,18,16.0,512.0,23058.6844,550.0438,2279.1239000000005,191,1,0,32,0.04574452299412157,0.4851050361209801,0.3522440123254733,0,1433.6726000000003,1190.989400000001,18,0,160.0,0,0,0,0.0,0,0.0,65586.15649999998,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,302.8076,64.0,958.611,4,50.5036,50.50360000000002,NaN,1280.0,100.0,0.24023712239583328,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,12,0.0,0,0.0,1786.1664,0.0,1524.2355827336044,0.0,1524.2355827336044,0.0,50.5036,8067.676499999999,3787.7787000000003,0.5313817234457097,96,17861.448900000003,32,47724.70760000001,4,0.0,4,0.0,2,152.0394,504.698,11.193784062711865,220.8354,0,0,133,133,"F8-2 step 8, full money stock, fee 2 %, prices x 0.79 (control)",sumsy,3,0.0
5,128,4,4,27748.561800000003,0.0,389.8238,0.0,88.4289,,88.4289,0.0,0.0,0.0,0.0,0.0,0.0025,703.4186,0.0,0.0,1.0,119.7391,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.48724193915862757,0.0,263.0,0.0,0.0,1.0,0,0,0,0.2552883827015101,48,156.95600128121,19.894133036978115,176.8501343181881,5.995782824315251,17.21190429183047,23.20768711614572,617.8410000000002,588.2611999999998,617.8410000000002,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-12.160600000000006,0.0,0,640.0,488.5944000000002,0.0,239.22889999999998,0.0,0.0,0.0,0.0,0.0,0,158.6027,640.0,488.5944000000002,239.22889999999998,82.0,0.0,0.0,0.015,4.4301521235521255,4.410595588235296,1.9644381249999985,1.2082051851851858,2.6869469328579085,2.735104634013559,272.0,259.0,136.0,510.6666666666667,389.0,51.0,30,0,0,1,11,9.0,512.0,22865.914500000003,582.7811999999999,2416.719,191,1,0,32,0.04151830347059793,0.48724193915862757,0.32033606946352244,0,1456.0428000000002,1147.4094000000005,11,0,160.0,0,0,0,0.0,0,0.0,65374.04029999999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,314.31009999999975,64.0,1021.1258,4,58.9233,58.92319999999999,NaN,1280.0,100.0,0.25651474609374997,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,0,12,0.0,0,0.0,1786.1664,0.0,1427.0843599590244,0.0,1427.0843599590244,0.0,58.9233,8135.456499999999,4020.6259999999997,0.533222860413018,96,17635.0739,32,47738.96640000001,4,0.0,4,0.0,2,158.6027,614.9897,11.865411106474577,220.8354,0,0,136,136,"F8-2 step 8, full money stock, fee 2 %, prices x 0.79 (control)",sumsy,3,0.0
6,128,4,4,27896.892700000015,0.0,367.12,0.0,82.9021,,82.9021,0.0,0.0,0.0,0.0,0.0,0.0025,802.0637,0.0,0.0,1.0,124.26540000000001,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.4907267375950626,0.0,261.0,0.0,0.0,1.0,0,0,0,0.26010804188015146,48,151.76264322381016,18.920372164527254,170.6830153883374,5.240620526419032,16.778237007377058,22.018857533796087,611.9600000000002,617.8409999999994,611.9600000000002,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-16.058600000000002,0.0,0,640.0,491.6691,0.0,239.74099999999999,0.0,0.0,0.0,0.0,0.0,0,161.4829,640.0,491.6691,239.74099999999999,82.0,0.0,0.0,0.015,4.4091951492537325,4.432537313432837,2.0341056250000005,1.3396037593984973,2.625342252118541,2.6530514949931514,268.0,268.0,134.0,510.6666666666667,385.00000000000006,51.0,31,0,0,2,14,9.0,512.0,22624.28320000001,637.5292999999999,2585.2769000000003,191,1,0,32,0.03598144106063894,0.4907267375950626,0.30437352379614446,0,1441.6188000000016,1181.6643000000004,14,0,160.0,0,0,0,0.0,0,0.0,65113.0627,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,325.4569000000001,64.0,1086.2567000000001,4,67.10629999999999,67.106,NaN,1280.0,100.0,0.27641148437499996,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,12,0.0,0,0.0,1786.1664,0.0,1196.257044932792,0.0,1196.257044932792,0.0,67.10629999999999,8278.8669,4309.0629,0.5363468984782744,96,17322.659800000005,32,47790.402899999994,4,0.0,4,0.0,2,161.4829,719.1616,12.577335772863051,220.8354,0,0,134,134,"F8-2 step 8, full money stock, fee 2 %, prices x 0.79 (control)",sumsy,3,0.0
7,128,4,4,28042.212699999996,0.0,344.4162,0.0,77.3753,,77.3753,0.0,0.0,0.0,0.0,0.0,0.0025,899.7046,0.0,0.0,1.0,123.67759999999998,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.49507966766102607,0.0,261.0,0.0,0.0,1.0,0,0,0,0.2599451303155007,48,153.58282480839162,18.554136281800556,172.1369610901922,5.667141036717316,16.846602424680558,22.513743461397876,606.6402,611.9600000000007,606.6402,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-19.729599999999998,0.0,0,640.0,494.6799999999999,0.0,240.232,0.0,0.0,0.0,0.0,0.0,0,162.7038,640.0,494.6799999999999,240.232,82.0,0.0,0.0,0.015,4.424710000000003,4.392837313432836,2.1170656250000004,1.5007902255639098,2.81714923966206,5.581928990690298,268.0,270.0,134.0,509.3333333333333,385.0,51.0,31,0,0,2,14,11.0,512.0,22463.516799999998,669.2798,2766.5065,191,1,0,32,0.040347382502792684,0.49507966766102607,0.34534855191202785,0,1540.2170000000017,1194.6717000000008,14,0,160.0,0,0,0,0.0,0,0.0,64932.95,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,338.73050000000006,64.0,1080.5012000000002,4,73.7062,73.70559999999999,NaN,1280.0,100.0,0.2910209635416666,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,12,0.0,0,0.0,1786.1664,0.0,995.3895819815035,0.0,995.3895819815035,0.0,73.7062,8319.6303,4516.2875,0.5402910285509253,96,17051.8312,32,47881.1188,4,0.0,4,0.0,2,162.7038,822.3293,13.331975919234836,220.8354,0,0,134,134,"F8-2 step 8, full money stock, fee 2 %, prices x 0.79 (control)",sumsy,3,0.0
8,128,4,4,28184.593899999993,0.0,321.7124,0.0,71.8485,,71.8485,0.0,0.0,0.0,0.0,0.0,0.0025,995.361,0.0,0.0,1.0,124.11359999999998,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.49910405140825076,0.0,261.0,0.0,0.0,1.0,0,0,0,0.25080371691548864,48,153.90602217650763,17.96959487827363,171.87561705478126,6.4150175509112035,16.5472417749064,22.962259325817605,618.8860999999995,606.6401999999989,618.8860999999995,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-23.173599999999997,0.0,0,640.0,497.6187999999999,0.0,240.71420000000003,0.0,0.0,0.0,0.0,0.0,0,163.06889999999999,640.0,497.6187999999999,240.71420000000003,82.0,0.0,0.0,0.015,4.406732183908044,4.484224626865668,2.2216331250000017,1.561454135338345,2.8170424645021535,5.5415530163470095,268.0,261.0,134.0,509.3333333333333,385.0,51.0,30,0,0,1,12,5.0,512.0,22347.965100000005,692.6763000000001,2900.4623,191,1,0,32,0.04513027553708948,0.49910405140825076,0.34447634737555166,0,1550.627800000001,1150.1570999999994,12,0,160.0,0,0,0,0.0,0,0.0,64798.05200000003,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,355.4613000000003,64.0,1085.0602999999999,4,79.2449,79.24480000000001,NaN,1280.0,100.0,0.3026803645833333,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,0,12,0.0,0,0.0,1786.1664,0.0,1106.962733777235,0.0,1106.962733777235,0.0,79.2449,8458.897,4678.1989,0.5439614281341221,96,16829.312700000002,32,47968.73930000001,4,0.0,4,0.0,2,163.06889999999999,923.5125,14.131894474388927,220.8354,0,0,134,134,"F8-2 step 8, full money stock, fee 2 %, prices x 0.79 (control)",sumsy,3,0.0
9,128,4,4,28324.09550000001,0.0,299.0086,0.0,66.3217,,66.3217,0.0,0.0,0.0,0.0,0.0,0.0025,1089.9755,0.0,0.0,1.0,123.60870000000001,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.504054263016394,0.0,260.0,0.0,0.0,1.0,0,0,0,0.25039268360711087,48,155.61775410105687,17.66377875014439,173.2815328512013,7.601755360202533,16.153096276352837,23.754851636555372,638.1724999999997,618.8861000000011,638.1724999999997,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-26.390499999999996,0.0,0,640.0,500.4984,0.0,241.17699999999996,0.0,0.0,0.0,0.0,0.0,0,163.5082,640.0,500.4984,241.17699999999996,82.0,0.0,0.0,0.015,4.396361685823754,4.662951127819547,2.2944925,1.5730356060606059,2.8164872178206135,5.378522783529241,266.0,261.0,133.0,510.6666666666667,383.0,51.0,31,0,0,1,7,4.0,512.0,22232.243200000004,734.3826,3014.0781,191,1,0,32,0.05631389318150326,0.504054263016394,0.4070612589644753,0,1547.1335999999992,1147.4503999999997,7,0,160.0,0,0,0,0.0,0,0.0,64662.98379999999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,367.1188,64.0,1089.9079000000002,4,90.0366,90.03640000000003,NaN,1280.0,100.0,0.3142263736979167,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,12,0.0,0,0.0,1786.1664,0.0,1066.8116853817733,0.0,1066.8116853817733,0.0,90.0366,8604.4828,4838.368600000001,0.5484625995727699,96,16566.115999999998,32,48096.86779999999,4,0.0,4,0.0,2,163.5082,1023.6538,14.979808142852264,220.8354,0,0,133,133,"F8-2 step 8, full money stock, fee 2 %, prices x 0.79 (control)",sumsy,3,0.0
10,128,4,4,28460.769399999994,0.0,276.3048,0.0,60.7949,,60.7949,0.0,0.0,0.0,0.0,0.0,0.0025,1183.3373,0.0,0.0,1.0,123.31799999999998,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.5069950145304911,0.0,258.0,0.0,0.0,1.0,0,0,0,0.25004239923116056,48,156.6477585469892,17.555020434199832,174.202778981189,7.571427692748535,16.614514592861372,24.185942285609908,649.9239000000001,638.1725000000006,649.9239000000001,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-29.380399999999995,0.0,0,640.0,503.3260999999999,0.0,241.6229,0.0,0.0,0.0,0.0,0.0,0,163.62,640.0,503.3260999999999,241.6229,82.0,0.0,0.0,0.015,4.375922180451127,4.823846564885497,2.4096793750000023,1.5985307692307689,2.824136267248948,5.313981865370243,262.0,266.0,131.0,510.66666666666663,379.0,51.0,32,0,0,2,8,8.0,512.0,22085.497499999998,802.6151,3125.1279,191,1,0,32,0.05722719311479163,0.5069950145304911,0.3333192923205348,0,1541.9604000000004,1163.9952999999998,8,0,160.0,0,0,0,0.0,0,0.0,64496.89180000001,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,385.5487000000004,64.0,1100.5715999999998,4,97.35640000000001,97.35720000000003,NaN,1280.0,100.0,0.3277109440104166,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,0.0,0,12,0.0,0,0.0,1786.1664,0.0,930.8743509667745,0.0,930.8743509667745,0.0,97.35640000000001,8697.330500000002,5028.3146,0.5511636200288543,96,16335.7218,32,48161.16999999999,4,0.0,4,0.0,2,163.62,1122.5423999999998,15.8785966314234,220.8354,0,0,131,131,"F8-2 step 8, full money stock, fee 2 %, prices x 0.79 (control)",sumsy,3,0.0
11,128,4,4,28594.6699,0.0,253.60100000000003,0.0,55.2681,,55.2681,0.0,0.0,0.0,0.0,0.0,0.0025,1275.7274,0.0,0.0,1.0,122.74429999999998,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.5120385946031012,0.0,258.0,0.0,0.0,1.0,0,0,0,0.2506487889273356,48,158.2934553548852,17.07854604805469,175.37200140293987,7.838872525450125,16.713741184878828,24.552613710328952,653.8351999999999,649.9238999999994,653.8351999999999,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-32.14359999999999,0.0,0,640.0,506.0995,0.0,242.05099999999996,0.0,0.0,0.0,0.0,0.0,0,163.5672,640.0,506.0995,242.05099999999996,82.0,0.0,0.0,0.015,4.365235661764705,4.853703816793892,2.538893749999998,1.6233469230769226,2.8277573891688514,5.373329331909505,262.0,272.0,131.0,509.3333333333333,379.0,51.0,32,0,0,2,14,12.0,512.0,21912.890399999993,881.8391,3242.9025,191,1,0,32,0.0626664456226873,0.5120385946031012,0.3731353614640254,0,1550.1179999999986,1187.3440999999996,14,0,160.0,0,0,0,0.0,0,0.0,64304.93840000001,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,406.2229999999997,64.0,1117.7433,4,105.29109999999999,105.29160000000002,NaN,1280.0,100.0,0.3427726171875,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,0.0,0,12,0.0,0,0.0,1786.1664,0.0,856.2690453365288,0.0,856.2690453365288,0.0,105.29109999999999,8870.475600000002,5242.4849,0.5557564021098873,96,15999.587999999994,32,48305.350399999996,4,0.0,4,0.0,2,163.5672,1220.4593,16.831312429308806,220.8354,0,0,131,131,"F8-2 step 8, full money stock, fee 2 %, prices x 0.79 (control)",sumsy,3,0.0
12,128,4,4,28725.866199999997,0.0,230.89720000000003,0.0,49.7413,,49.7413,0.0,0.0,0.0,0.0,0.0,0.0025,1366.8951,0.0,0.0,1.0,122.44459999999998,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.5176590338847744,0.0,261.0,0.0,0.0,1.0,0,0,0,0.2506264203717732,48,160.14082372193934,16.293329521680427,176.43415324361976,8.952768037245745,16.10249305410026,25.055261091346008,664.8407,653.8351999999999,664.8407,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-34.6798,0.0,0,640.0,508.80370000000005,0.0,242.46339999999992,0.0,0.0,0.0,0.0,0.0,0,163.4563,640.0,508.80370000000005,242.46339999999992,82.0,0.0,0.0,0.015,4.310090458015268,4.827169402985074,2.6001218750000006,1.624283458646616,2.8236387713744326,5.412100591310252,268.0,262.0,134.0,509.33333333333337,385.00000000000006,51.0,31,0,0,2,11,9.0,512.0,21810.9724,955.9013000000001,3298.1207999999997,191,1,0,32,0.07453851630544417,0.5176590338847744,0.3927019909530536,0,1572.5953,1129.2437000000002,11,0,160.0,0,0,0,0.0,0,0.0,64183.6741,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,416.0195000000001,64.0,1130.5203,4,103.8589,103.85840000000003,NaN,1280.0,100.0,0.35313944661458335,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,12,0.0,0,0.0,1786.1664,0.0,833.442633522801,0.0,833.442633522801,0.0,103.8589,9063.0499,5384.5424,0.5608743209802072,96,15714.110799999999,32,48469.563299999994,4,0.0,4,0.0,2,163.4563,1317.1538,17.841191175067337,220.8354,0,0,134,134,"F8-2 step 8, full money stock, fee 2 %, prices x 0.79 (control)",sumsy,3,0.0
