round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,128,4,4,6675.2811000000065,0.0,186.2,186.2,140.25,,140.25,0.0,0.0,0.0,0.0,0.0,0.0025,34.9276,420.75,0.0,1.0,140.25,233.5351666666666,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.6780935462570883,0.0,168.0,1.0,0.0,1.0,0,0,6,1.0,128,148.32312211538462,2.214371075721154,150.53749319110577,3.8446030769230775,0.9462984615384615,4.790901538461538,225.99999999999986,0.0,225.99999999999986,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,48,640.0,71.03890000000011,186.2,35.32230000000006,0.0,0.0,0.0,0.0,0.0,0,54.4752,640.0,71.03890000000011,35.32230000000006,82.0,0.0,0.0,0.0,5.0,5.199999999999997,2.0,0.75,3.597459459459462,3.9200000000000013,80.0,18.0,40.0,512.0,185.0,51.0,81,0,0,0,10,1.0,512.0,3738.337499999998,547.2887,1312.3391,191,1,0,32,0.22727557934342468,0.6780935462570883,0.648836232332537,16,1323.9711999999997,90.0,9,0,128.0,32,0,0,646.2404,191,47405.67517500002,51657.22659999999,0.0,8,4,0,1.5,0,0.0,32,32,47405.67517500002,191,7680.0,0,7,256.0,52.0,987.913,4,89.931,89.9207,0.291875,1280.0,99.90885416666667,0.19475933593749997,7,0,0.0,0,2.0431250000000003,1278.8333333333333,1,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,81,0.0,6,6,1351.7891,768,600.0,600.0,0.0,140.10000000000002,140.10000000000002,0.0,44.503,45.428000000000004,534.9472,1495.7516999999998,0.7070285854491811,96,4251.5514250000015,32,47405.67517500002,4,0.0,4,45.94999999999999,2,54.4752,-105.3224,11.925,240.1,0,0,40,40,SB1 best SuMSy + greedy quarter,sumsy,6,1.0913936421275139e-11
2,128,4,4,7237.447700000007,0.0,425.9931,242.0906,245.57240000000002,,245.57240000000002,0.0,0.0,0.0,0.0,0.0,0.0025,38.1765,420.75,0.0,1.0,140.25,230.7787,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.6757485943482142,0.0,241.0,0.0,0.0,1.0,0,0,6,0.2614418548484483,128,148.32013903846152,2.698158155048077,151.0182971935096,3.2737607692307678,1.4160869230769233,4.6898476923076915,646.0167999999994,225.99999999999983,646.0167999999994,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-0.4595,0.0,48,640.0,77.83340000000001,242.0906,38.66929999999998,0.0,0.0,0.0,0.0,0.0,1,110.5561,640.0,77.83340000000001,38.66929999999998,82.0,0.0,0.0,0.015,4.791025641025632,5.508919298245609,2.2063973684210527,1.1366132743362831,3.5410971061093113,10.947412499999999,228.0,273.0,114.0,512.0,311.0,51.0,50,0,0,2,13,7.0,512.0,4167.714100000002,338.4412,1941.1994999999997,191,1,0,32,0.17050060018962188,0.6757485943482142,0.4013789658720668,1,1854.884200000002,1307.9499999999975,13,0,38.0,32,0,0,867.4033999999998,191,47582.281425,51908.16380000005,0.0,0,1,0,1.5,0,0.0,32,32,47582.281425,191,7680.0,0,0,83.8431,30.0,641.3602999999999,4,37.4914,37.489199999999755,0.291875,1280.0,99.90885416666667,0.21004955729166666,0,0,0.0,0,0.0,1278.8333333333333,1,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,50,0.0,6,6,1307.8204,768,600.0,600.0,0.0,2215.921570270271,1228.5982918918921,987.3232783783787,9.3589,28.1325,718.2094999999998,1613.1805999999997,0.7006170572879802,96,4325.882375000003,32,47582.281425,4,0.0,4,43.652499999999975,2,110.5561,-207.3959,12.640500000000001,240.1,0,0,114,114,SB1 best SuMSy + greedy quarter,sumsy,6,1.0913936421275139e-11
3,128,4,4,7792.1417999999985,0.0,826.7702999999999,409.9132,341.78469999999993,,341.78469999999993,0.0,0.0,0.0,0.0,0.0,0.0025,41.8338,414.88880000000006,0.0,1.0,134.38880000000003,223.85730000000004,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.6722201028683741,0.0,262.0,0.0,0.0,1.0,0,0,6,0.2653073207968174,128,156.2883281375438,3.121831812784325,159.41015995032814,3.2999181161359443,1.7474634733743677,5.047381589510312,750.7742000000004,646.0167999999998,750.7742000000004,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-2.2637250000000004,0.0,48,640.0,85.30590000000007,409.9132,42.380300000000005,0.0,0.0,0.0,0.0,0.0,2,18.335099999999997,640.0,85.30590000000007,42.380300000000005,82.0,0.0,0.0,0.015,4.818848275862064,5.42795703703704,1.845821874999997,1.3392902985074626,3.5311578968903587,10.618990125,270.0,261.0,135.0,509.33333333333337,375.99999999999994,51.0,33,0,0,1,9,4.0,512.0,4682.2233,602.0728,2029.8878000000002,191,1,0,32,0.144528907112621,0.6722201028683741,0.3449587312699973,3,2125.6806999999985,1257.7193999999986,9,0,96.0,32,0,0,1193.3081999999995,191,47995.953349999996,52602.4451,0.0,0,1,0,1.5,0,0.0,32,32,47995.953349999996,191,7680.0,0,0,177.19889999999972,53.0,417.789,4,0.4534,0.44800000000000034,0.291875,1280.0,99.90885416666667,0.17705787760416666,0,0,0.0,0,0.0,1278.8333333333333,1,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,33,0.0,6,6,1561.4593,768,600.0,600.0,0.0,3073.0141877155893,1525.8258296941594,1547.18835802143,0.4534,0.0,1014.8952999999998,1488.2903,0.6940003267647405,96,4606.491750000002,32,47995.953349999996,4,0.0,4,41.35500000000002,2,142.1831,-299.95089999999993,13.398930000000002,240.1,0,0,135,135,SB1 best SuMSy + greedy quarter,sumsy,6,1.0913936421275139e-11
4,128,4,4,8336.534400000002,0.0,913.8612999999999,111.912,435.11999999999995,,435.11999999999995,0.0,0.0,0.0,0.0,0.0,0.0025,46.8904,412.543425,0.0,1.0,135.16910000000001,218.43101666666666,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.6690347581869764,0.0,260.0,0.0,0.0,1.0,0,0,6,0.2630401193457297,128,155.94210049722983,3.472893186194833,159.41499368342465,3.5434065328574422,2.060148346529198,5.60355487938664,737.2730999999989,750.7742000000006,737.2730999999989,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-7.113549999999999,0.0,48,640.0,95.60739999999994,111.912,47.499300000000005,0.0,0.0,0.0,0.0,0.0,5,6.5567,640.0,95.60739999999994,47.499300000000005,82.0,0.0,0.0,0.015,5.443494525547447,5.408068421052623,1.8035956896551686,1.4264780303030309,3.2740333178252046,10.300420421249997,266.0,274.0,133.0,510.6666666666667,378.0,51.0,32,0,0,3,17,6.0,512.0,4928.641199999999,691.4379,2255.0753999999997,191,1,0,32,0.14058162058692747,0.6690347581869764,0.3156303829692624,0,2040.1805999999995,1491.5175000000004,9,0,116.0,32,0,0,1361.4134999999997,191,48209.37942499999,52981.9644,0.0,10,13,0,1.5,0,0.0,32,32,48209.37942499999,191,7680.0,0,0,209.21709999999956,59.0,407.9328,4,0.0,0.0,0.291875,1280.0,99.90885416666667,0.20230631510416666,0,0,0.0,0,0.0,1278.8333333333333,1,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,0.0,6,6,1668.7813999999998,768,600.0,600.0,0.0,2788.5645363503563,1428.7649997145013,1359.7995366358548,0.0,0.0,1172.5269999999996,1685.6646999999998,0.6907780901646894,96,4772.584974999999,32,48209.37942499999,4,0.0,4,39.057500000000005,2,212.97039999999998,-388.22959999999995,14.202865800000003,240.1,0,0,133,133,SB1 best SuMSy + greedy quarter,sumsy,6,1.0913936421275139e-11
5,128,4,4,8871.446400000004,0.0,993.9113,105.79969999999999,540.9196999999999,,540.9196999999999,0.0,0.0,0.0,0.0,0.0,0.0025,51.5468,421.6488,0.0,1.0,152.6901,220.70037333333332,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.6674131417925266,0.0,267.0,0.0,0.0,1.0,0,0,6,0.2665404321675206,128,138.74801367760324,3.3245882290474413,142.07260190665068,3.560231375092816,2.220398471303941,5.780629846396757,795.3814000000002,737.2730999999991,795.3814000000002,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-11.900750000000004,0.0,48,640.0,105.08800000000002,105.7997,52.21159999999997,0.0,0.0,0.0,0.0,0.0,8,26.1102,640.0,105.08800000000002,52.21159999999997,82.0,0.0,0.0,0.015,5.572744402985075,5.552724285714287,1.778863076923075,1.5601043165467623,3.221709122019158,9.991407808612498,280.0,268.0,140.0,508.00000000000006,397.0,51.0,27,0,0,2,14,6.0,512.0,5300.604300000001,706.6954,2491.414,191,1,0,32,0.14551332898849845,0.6674131417925266,0.2803405838912736,0,2104.0126,1493.4955,11,0,65.0,32,0,0,1601.8330999999996,191,48485.74985,53369.1446,0.0,4,10,0,1.5,0,0.0,32,32,48485.74985,191,7680.0,0,0,115.62609999999988,64.0,295.0757,4,0.0,0.0,0.291875,1280.0,99.90885416666667,0.22732476562500004,0,0,0.0,0,0.0,1278.8333333333333,1,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,27,0.0,6,6,1622.2975,768,600.0,600.0,0.0,2756.1267935649857,1502.3584467824928,1253.768346782493,0.0,0.0,1378.5865999999999,1870.8875999999998,0.6891289765434987,96,4883.3947499999995,32,48485.74985,4,0.0,4,36.75999999999999,2,288.37159999999994,-489.3728999999999,15.055037748000004,240.1,0,0,140,140,SB1 best SuMSy + greedy quarter,sumsy,6,1.0913936421275139e-11
6,128,4,4,9394.798500000008,0.0,1072.9298000000001,104.7683,645.6879,,645.6879,0.0,0.0,0.0,0.0,0.0,0.0025,57.2162,429.53150000000005,0.0,1.0,156.315,221.6093666666667,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.665178541219793,0.0,261.0,0.0,0.0,1.0,0,0,6,0.2667266118716835,128,136.50586707750116,3.1525890128805454,139.65845609038172,4.545263603714599,1.8465587609738359,6.3918223646884345,778.9253000000009,795.3813999999996,778.9253000000009,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-16.430574999999997,0.0,48,640.0,116.64790000000002,104.7683,57.954600000000056,0.0,0.0,0.0,0.0,0.0,11,47.3054,640.0,116.64790000000002,57.954600000000056,82.0,0.0,0.0,0.015,5.525820284697508,5.5950389705882415,1.665169444444443,1.7295600000000002,3.15980629092647,9.691665574354124,272.0,281.0,136.0,509.3333333333333,389.0,51.0,29,0,0,2,19,10.0,512.0,5555.8463,778.8156,2755.2737,191,1,0,32,0.16839377504580155,0.665178541219793,0.3086829395507704,0,2064.7191,1552.7554999999998,14,0,72.0,32,0,0,1787.8269000000003,191,48762.33594999999,53825.560799999934,0.0,9,12,0,1.5,0,0.0,32,32,48762.33594999999,191,7680.0,0,0,119.89219999999989,64.0,200.3413,4,0.0,0.0,0.291875,1280.0,99.90885416666667,0.24289256510416665,0,0,0.0,0,0.0,1278.8333333333333,1,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,29,0.0,6,6,1750.9010999999996,768,600.0,600.0,0.0,2415.0862647178196,1323.8573323589096,1091.2289323589098,0.0,0.0,1560.4649000000002,1983.5294999999999,0.6869020853746666,96,5063.224850000001,32,48762.33594999999,4,0.0,4,34.46249999999998,2,353.5134,-588.4717,15.958340012880004,240.1,0,0,136,136,SB1 best SuMSy + greedy quarter,sumsy,6,1.0913936421275139e-11
7,128,4,4,9906.971199999994,0.0,1144.9631000000002,97.78309999999999,743.4709,,743.4709,0.0,0.0,0.0,0.0,0.0,0.0025,62.729,434.59808571428573,0.0,1.0,154.99920000000003,220.60004761904764,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.6619504124584719,0.0,266.0,0.0,0.0,1.0,0,0,6,0.2639413988657845,128,138.90523137676118,3.239309127317101,142.1445405040783,5.788566271627836,1.715837839445871,7.504404111073708,793.0846000000003,777.4253000000015,794.5846000000003,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-20.702699999999993,0.0,50,640.0,127.8273,103.8699,63.518999999999984,0.0,0.0,0.0,0.0,0.0,14,45.217999999999996,640.0,127.8273,63.518999999999984,82.0,0.0,4.5867,0.015,5.505383695652175,5.536318571428573,1.6195127906976756,1.9152784172661868,3.1129321385032087,9.4009156071235,280.0,276.0,140.0,509.33333333333337,397.00000000000006,51.0,27,0,0,0,20,5.0,512.0,5868.061800000001,795.8196,2990.3129,191,1,0,32,0.19365547208875733,0.6619504124584719,0.3151065237657358,1,2092.4167999999995,1519.4859000000004,9,0,86.0,32,0,0,2006.9856,191,49076.74375000001,54414.41750000004,0.0,17,13,0,1.5,0,0.0,32,32,49076.74375000001,191,7680.0,0,0,139.2781000000001,64.0,144.82990000000004,4,0.0,0.0,0.291875,1280.0,99.90885416666667,0.24034483072916668,0,0,0.0,0,0.0,1278.8333333333333,1,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,27,0.0,6,6,1973.9183,768,600.0,600.0,0.0,2406.289259883178,1194.7075299415892,1211.5817299415892,0.0,0.0,1763.2486,1957.0441,0.6837278005743037,96,5337.67375,32,49076.74375000001,4,0.0,4,32.164999999999964,2,407.33400000000006,-680.7419,16.915840413652806,240.1,0,0,140,140,SB1 best SuMSy + greedy quarter,sumsy,6,1.0913936421275139e-11
8,128,4,4,10406.662799999998,0.0,1211.616,92.4026,835.1674,,835.1674,0.0,0.0,0.0,0.0,0.0,0.0025,68.8904,438.18288750000005,0.0,1.0,154.4255,218.24729583333337,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.6618607785844846,0.0,275.0,0.0,0.0,1.0,0,0,6,0.27859693877551023,128,141.04097839680762,2.7849876172630283,143.82596601407064,7.242203249847147,1.2316685025355767,8.473871752382724,831.8445999999999,793.0846000000009,833.3445999999999,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-24.71749999999999,0.0,52,640.0,140.30839999999995,100.299,69.73289999999997,0.0,0.0,0.0,0.0,0.0,16,105.71889999999999,640.0,140.30839999999995,69.73289999999997,82.0,0.0,6.3964,0.015,5.443217142857145,5.498949999999999,1.5776850877193018,1.962525850340136,3.0608407086272154,9.118888138909794,296.0,280.0,148.0,512.0,413.0,51.0,24,0,0,2,22,8.0,512.0,6120.706100000002,788.719,3191.768,191,1,0,32,0.23088865885199938,0.6618607785844846,0.3060802666382103,3,2138.292400000001,1524.1008000000006,13,0,114.0,32,0,0,2210.8795000000005,191,49402.387749999994,54880.12179999997,0.0,11,13,0,1.5,0,0.0,32,32,49402.387749999994,191,7680.0,0,0,179.8561000000004,64.0,130.8604,4,0.0,0.0,0.291875,1280.0,99.90885416666667,0.25124197916666663,0,0,0.0,0,0.0,1278.8333333333333,1,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,24,0.0,6,6,2077.5319999999997,768,600.0,600.0,0.0,2559.128372563939,1257.7058862819697,1301.42248628197,0.0,0.0,1943.5982000000004,2033.8154000000002,0.6835876361818849,96,5477.73405,32,49402.387749999994,4,0.0,4,30.573599999999942,2,461.12800000000004,-766.277,17.930790838471975,240.1,0,0,148,148,SB1 best SuMSy + greedy quarter,sumsy,6,1.0913936421275139e-11
9,128,4,4,10895.570300000007,0.0,1443.4189000000003,257.5879,918.9595,,918.9595,0.0,0.0,0.0,0.0,0.0,0.0025,74.2635,440.3900666666667,0.0,1.0,152.6825,215.23801111111112,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.6587006541754099,0.0,267.0,1.0,0.0,1.0,0,0,6,0.29566275037523937,128,135.10185932886807,2.552560826420504,137.65442015528856,9.115358027197713,1.062430233768507,10.177788260966219,788.0775000000001,833.3445999999992,788.0775000000001,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-28.481899999999982,0.0,53,640.0,151.0925,263.98429999999996,75.11850000000003,0.0,0.0,0.0,0.0,0.0,18,140.7532,640.0,151.0925,75.11850000000003,82.0,0.0,0.0,0.015,5.359592805755394,5.500553571428572,1.5455918367346957,1.9496992753623184,3.080764418615789,8.8453214947425,280.0,278.0,140.0,509.33333333333337,397.00000000000006,51.0,27,0,0,2,16,8.0,512.0,6517.082999999998,830.8711,3175.3727999999996,190,2,0,32,0.2656958074168303,0.6587006541754099,0.31878440658181284,4,2077.0282000000007,1489.9667999999995,7,0,147.0,32,0,0,2548.6239000000005,190,46544.52375000001,51999.89100000001,0.0,17,17,0,1.5,0,0.0,32,32,46544.52375000001,190,7680.0,0,0,227.20200000000025,64.0,157.2267,4,3.6271000000000004,3.624600000000025,0.291875,1280.0,99.90885416666667,0.279808203125,0,0,0.0,0,0.0,1278.8333333333333,1,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,27,0.0,6,6,1970.956,768,600.0,600.0,0.0,2129.1368684461436,1175.3477342230715,953.7891342230716,1.5515,2.0756,2172.521,2192.5146,0.678207317845317,96,5455.367249999999,32,46544.52375000001,4,0.0,4,201.4924000000001,2,489.45539999999994,-844.696,19.006638288780294,224.2391,0,0,140,140,SB1 best SuMSy + greedy quarter,sumsy,6,1.0913936421275139e-11
10,128,4,4,11373.492299999987,0.0,1491.7541000000003,82.61959999999999,995.0325,,995.0325,0.0,0.0,0.0,0.0,0.0,0.0025,79.6937,441.45201,0.0,1.0,150.3365,211.4369433333333,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.6599910949662178,0.0,275.0,0.0,0.0,1.0,0,0,6,0.308291782086796,128,138.8585553782913,2.290180435378532,141.14873581366984,10.221555798837525,0.7467286571031706,10.968284455940696,825.975799999999,788.0775000000003,825.975799999999,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-33.69002499999998,0.0,53,640.0,162.0780000000001,82.61959999999999,80.59049999999999,0.0,0.0,0.0,0.0,0.0,20,158.751,640.0,162.0780000000001,80.59049999999999,82.0,0.0,0.0,0.015,5.274276491228071,5.42265637583892,1.51741931034483,1.9294034013605454,3.064701312935187,8.579961849900224,298.0,285.0,149.0,509.3333333333333,415.0,51.0,23,0,0,1,22,12.0,512.0,6758.493600000002,827.7616,3362.8943,190,2,0,32,0.29324876432153424,0.6599910949662178,0.32361775623970934,9,2127.8035000000013,1503.1688000000004,14,0,145.0,32,0,0,2789.2116,190,46883.97027499999,52403.09639999999,0.0,12,11,0,1.5,0,0.0,32,32,46883.97027499999,190,7680.0,0,0,220.02580000000034,64.0,185.8981,4,3.8638000000000003,3.867899999999984,0.291875,1280.0,99.90885416666667,0.299954609375,0,0,0.0,0,0.0,1278.8333333333333,1,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,23,0.0,6,6,2044.7572000000002,768,600.0,600.0,0.0,2299.4191811322753,1313.647063092171,985.772118040104,0.9302,2.9336,2391.1008,2331.7968,0.6793867794009307,96,5519.126125000001,32,46883.97027499999,4,0.0,4,197.18270000000007,2,500.7598,-915.3388,20.147036586107113,224.2391,0,0,149,149,SB1 best SuMSy + greedy quarter,sumsy,6,1.0913936421275139e-11
11,128,4,4,11844.515200000007,0.0,1711.5940000000003,254.642,1063.2822,,1063.2822,0.0,0.0,0.0,0.0,0.0,0.0025,83.1615,441.66820909090904,0.0,1.0,147.94339999999997,207.90270909090907,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.984375,0.6572837411231676,0.0,271.0,2.0,0.0,1.0,0,0,6,0.3553061224489796,128,148.01866852302024,3.2127884029466927,151.23145692596694,11.90424450206585,1.3879833005499396,13.29222780261579,813.7920999999996,825.9758000000006,813.7920999999996,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-38.65722499999997,0.0,53,640.0,168.97709999999984,254.642,84.04659999999997,0.0,0.0,0.0,0.0,0.0,20,167.55,640.0,168.97709999999984,84.04659999999997,82.0,0.0,0.0,0.015,5.185746071428575,5.413551700680269,1.4812781250000024,1.912046527777778,3.0416118140606967,8.322562994403219,294.0,280.0,147.0,510.66666666666663,411.0,51.0,24,0,0,3,22,4.0,512.0,7236.816899999999,824.6731,3300.6059999999998,189,3,0,32,0.3110997928220698,0.6572837411231676,0.33171056092299667,0,2090.634399999999,1452.008900000001,7,1,160.0,32,0,0,3133.3682999999996,189,49223.948375,55188.05929999999,0.0,29,7,0,1.5,0,0.0,32,32,49223.948375,189,7680.0,0,0,237.0045000000004,64.0,231.7077,4,14.3684,14.374399999999975,0.291875,1280.0,99.90885416666667,0.25642859375,0,0,0.0,0,0.0,1278.8333333333333,1,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,24,0.0,6,6,2450.2183999999997,768,600.0,600.0,0.0,2245.6652649295033,905.7820726154306,1339.8831923140729,14.3684,0.0,2704.8639000000003,1906.7684000000002,0.6751134584808334,96,5964.110925000002,32,49223.948375,4,0.0,4,358.48979999999995,2,502.8519,-980.1207,21.35585878127354,234.97820000000002,0,0,147,147,SB1 best SuMSy + greedy quarter,sumsy,6,1.0913936421275139e-11
12,128,4,4,12305.840600000007,0.0,1729.7705999999998,62.2983,1125.5803999999998,,1125.5803999999998,0.0,0.0,0.0,0.0,0.0,0.0025,87.9604,441.22745,0.0,1.0,145.45970000000003,203.5045583333333,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.984375,0.6572313948666724,0.0,275.0,1.0,0.0,1.0,0,0,6,0.37737786688835645,128,154.32012606809766,3.2571789153898836,157.57730498348755,13.03115587493458,1.4091600423915593,14.440315917326139,841.1403999999997,813.7920999999992,841.1403999999997,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-45.14024999999999,0.0,53,640.0,178.6746000000001,62.2983,88.87840000000003,0.0,0.0,0.0,0.0,0.0,21,172.6608,640.0,178.6746000000001,88.87840000000003,82.0,0.0,0.0,0.015,5.099718531468532,5.451260927152315,1.465621487603307,1.8997141891891907,2.9987652600721755,8.07288610457112,302.0,286.0,151.0,508.0,419.0,51.0,22,0,0,0,21,10.0,512.0,7544.979499999999,854.0419,3425.5912000000003,189,3,0,32,0.32566284153339997,0.6572313948666724,0.3155119405646887,3,2096.2317000000003,1458.5195,10,0,121.0,32,0,0,3332.5570000000007,189,50478.315400000014,56630.56769999999,0.0,15,6,0,1.5,0,0.0,32,32,50478.315400000014,189,7680.0,0,0,177.34020000000012,64.0,220.60680000000002,4,15.051499999999999,15.045600000000011,0.291875,1280.0,99.90885416666667,0.26913984375000005,0,0,0.0,0,0.0,1278.8333333333333,1,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,22,0.0,6,6,2530.0554,768,600.0,600.0,0.0,2225.3221879692005,886.5270360889992,1338.795151880201,14.3418,0.7097,2853.5975000000003,1970.1845,0.6755856243297427,96,6152.2522999999965,32,50478.315400000014,4,0.0,4,338.5356999999999,2,501.25579999999997,-1037.62,22.637210308149953,240.1,0,0,151,151,SB1 best SuMSy + greedy quarter,sumsy,6,1.0913936421275139e-11
