round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,128,4,4,6015.067999999999,0.0,6036.397599999999,0.0,959.3239999999995,,0.0,0.0,959.3239999999995,0.0,959.3239999999995,0.0,0.00375,0.0,0.0,0.0,1.0,1010.0006,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9791666666666666,0.31253377756459555,0.0,128.0,0.0,0.0,1.0,0,0,0,1.0,48,10.196646153846151,1.4307076923076922,11.627353846153843,2.669292307692308,1.4307076923076922,4.1,299.9692000000007,0.0,299.9692000000007,0.0,0,0,0.0,0.0,10.3032,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,21.3296,21.3296,0.0,4,1.176,92.428,157.40599999999998,50.67660000000001,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,680.0,162.89399999999986,0.005,5.0,5.199999999999997,2.0,0.75,3.6240677966101775,3.9200000000000013,80.0,15.0,40.0,512.0,236.0,102.0,68,0,0,0,9,6.0,512.0,4401.576,0.0,1042.9548,188,4,0,32,0.12266549526805859,0.31253377756459555,0.09657535077708435,0,1267.0439999999996,75.0,9,0,7.0,0,0,0,0.0,0,0.0,6893.444000000002,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,14.0,52.0,570.5372,4,0.0,0.0,NaN,1280.0,100.0,-0.2849433333333334,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,68,0.0,0,12,0.0,0,0.0,1200.0,0.0,652.828,0.0,652.828,0.0,0.0,1443.82,1613.4919999999997,0.33744428619587596,96,3369.568,32,3523.8760000000007,4,0.0,4,341.72,2,20.15360000000003,0.0,11.925,11.25,0,0,40,40,"G8-20 step 8, public employment 20 %",debt,2,7.275957614183426e-12
2,128,4,4,5979.785999999998,0.0,6026.6364,0.0,1488.2120999999977,,0.0,92.5824,1395.6296999999977,0.0,436.30569999999955,3.5969299999999986,0.00375,0.0,0.0,0.0,1.0,630.0006,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9791666666666666,0.31933926172378935,0.0,82.0,0.0,0.0,1.0,0,0,0,0.25695036793939474,48,10.254066923076923,1.4396176923076922,11.693684615384615,2.7142892307692312,1.4396176923076922,4.153906923076923,858.9505000000051,262.1391999999996,896.7805000000051,0.0,0,0,0.0,0.0,73.38210000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,46.85039999999999,60.710600000000014,0.0,13,106.44260000000001,141.7246,612.6461999999998,104.70999999999961,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,300.0,443.1762000000012,0.0036624401436853847,4.894000000000005,5.4699124999999995,1.85,1.1283361111111114,3.490205867346933,3.802399999999999,224.0,263.0,112.0,512.0,392.0,102.0,30,0,0,2,9,6.0,512.0,3962.092,2.1796,1705.8299,188,4,0,32,0.12280533080756317,0.31933926172378935,0.2757602321870174,4,1286.2303999999995,1287.1220000000012,9,0,2.0,0,0,0,0.0,0,0.0,6890.265700000004,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,3.7,64.0,309.6845,4,0.0,0.0,NaN,1280.0,100.0,-0.25196893229166667,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,0,12,0.0,0,0.0,1200.0,0.0,3112.7005762711924,0.0,3112.7005762711924,0.0,0.0,1313.7919999999995,2017.694,0.3390661121788747,96,3379.4078000000013,32,3510.8579,4,0.0,4,341.72,2,45.73319999999981,-92.5824,12.640500000000001,11.25,0,0,112,112,"G8-20 step 8, public employment 20 %",debt,2,7.275957614183426e-12
3,128,4,4,6542.830000000003,0.0,6600.240300000001,0.0,1747.569099999998,,0.0,87.9533,1659.615799999998,0.0,263.9861000000001,5.232023375000013,0.00375,0.0,0.0,0.0,1.0,589.1873,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9791666666666666,0.3102899101937695,0.0,233.0,0.0,0.0,1.0,0,0,0,0.2682244624439135,48,11.53798057275784,1.8957459683757178,13.43372654113356,3.0451628367545784,1.9239618371003728,4.969124673854951,966.3857000000058,896.7805000000059,966.3857000000058,0.0,0,0,0.0,0.0,66.49799999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,57.41029999999999,90.84110000000004,0.0,14,700.1540000000001,137.10999999999999,791.4287,335.52679999999987,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,266.1840000000001,0.0,0.007285517515457229,4.821244274809159,5.493174809160301,1.7556454545454547,1.3380614173228345,3.453547236180929,3.688327999999999,262.0,262.0,131.0,509.33333333333337,398.0,102.0,27,0,0,3,10,5.0,512.0,4444.9785,129.21480000000003,1809.1296000000002,188,4,0,32,0.13654303512801036,0.3102899101937695,0.21510223148116636,0,2022.1468000000002,1263.1659999999995,10,0,11.0,0,0,0,0.0,0,0.0,7632.983799999996,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,19.3121,32.0,159.50709999999998,4,0.0,0.0,NaN,1280.0,100.0,-0.2841290755208334,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,27,0.0,0,12,0.0,0,0.0,1200.0,4.1545000000000005,3573.6217791666613,0.0,3573.6217791666613,0.0,0.0,1641.2161999999998,2097.8514999999998,0.32882058067298847,96,3730.340199999999,32,3902.6436,4,0.0,4,341.72,2,56.35190000000001,-87.9533,13.398930000000002,11.25,0,0,131,131,"G8-20 step 8, public employment 20 %",debt,2,7.275957614183426e-12
4,128,4,4,6441.048699999995,0.0,6503.7831000000015,0.0,2087.197099999998,,0.0,83.3242,2003.872899999998,0.0,344.2570999999999,6.221757750000015,0.00375,0.0,0.0,0.0,1.0,505.6327312977097,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9739583333333334,0.4903362244948235,0.0,118.0,1.0,0.0,1.0,0,0,0,0.26609489864112273,48,25.350966862385718,1.602765310461053,26.95373217284677,2.7644419656640546,1.5323749275172924,4.296816893181347,995.5685999999971,840.8526000000045,1121.1016999999993,0.0,0,0,0.0,0.0,82.41230000000002,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,62.73440000000001,120.83020000000003,0.0,22,49.077900000000014,150.85920000000002,593.924,172.66809999999978,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,187.43100000000004,443.9779999999999,0.00840594536003092,5.397815298507461,5.43840378787879,1.7270463414634147,1.4395472440944876,3.3998714468311597,3.5776781599999983,264.0,268.0,132.0,508.0,430.00000000000006,102.0,19,0,0,3,14,6.0,512.0,3761.8019000000004,640.845,1994.8366,187,5,0,32,0.142484257552544,0.4903362244948235,0.28050606928292066,0,1141.511500000001,1446.6144999999995,14,0,41.0,0,0,0,0.0,0,0.0,11385.9142,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,70.80890000000001,62.0,43.565200000000004,4,0.0,0.0,NaN,1280.0,100.0,-0.23244223307291664,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,19,0.0,0,12,0.0,0,0.0,1200.0,3.9467999999999996,3403.491942672271,0.0,3403.491942672271,0.0,0.0,1331.2778,2679.2467999999994,0.5000731114174117,96,3387.3242000000005,32,7998.590000000002,4,0.0,4,341.72,2,61.73479999999982,-83.3242,14.202865800000003,33.1906,0,0,132,132,"G8-20 step 8, public employment 20 %",debt,2,7.275957614183426e-12
5,128,4,4,6406.671799999998,0.0,6468.085,0.0,2433.0481999999975,,0.0,152.4566,2280.5915999999975,0.0,276.71870000000007,7.512607125000016,0.00375,0.0,0.0,0.0,1.0,614.4661634100488,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9739583333333334,0.48425886604391555,0.0,83.0,0.0,0.0,1.0,0,0,0,0.2638888888888889,48,23.60392062347588,1.5693735322660658,25.173294155741946,2.5679570207117814,1.5614593617346948,4.129416382446476,1005.5344000000082,936.7259999999981,1189.9100999999932,0.0,0,0,0.0,0.0,79.7648,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,61.413199999999996,147.9120000000001,0.0,34,102.5383,136.91519999999997,569.565,276.54589999999985,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,258.2103000000001,72.23059999999997,0.009665602233702789,5.574908333333334,5.580113533834594,1.6952,1.571893749999999,3.4581769280134957,3.4703478152,266.0,264.0,133.0,508.00000000000006,407.0,102.0,25,0,0,1,12,3.0,512.0,4012.719299999999,195.5292,2197.5204,187,5,0,32,0.1342108028603568,0.48425886604391555,0.21255213895174085,2,1997.3341,1471.7758000000001,14,2,2.0,0,0,0,0.0,0,0.0,11913.384199999999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,3.3904,37.0,0.9029,4,0.0,0.0,NaN,1280.0,100.0,-0.24418419270833333,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,25,0.0,0,12,0.0,0,0.0,1200.0,4.1129,3440.833106926862,0.0,3440.833106926862,0.0,0.0,1470.8547999999996,2393.9524999999994,0.4947489018728741,96,3593.9574999999986,32,8319.4267,4,0.0,4,341.72,2,60.472399999999965,-152.4566,15.055037748000004,33.1906,0,0,133,133,"G8-20 step 8, public employment 20 %",debt,2,7.275957614183426e-12
6,128,4,4,6535.206699999999,0.0,6592.5916000000025,0.0,2918.896199999996,,0.0,376.6334,2542.262799999996,0.0,261.67120000000006,8.549824500000016,0.00375,0.0,0.0,0.0,1.0,653.2546858132995,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9739583333333334,0.5081559290838997,0.0,80.0,0.0,0.0,1.0,0,0,0,0.2710055096418733,48,23.227642354013636,1.4987759371000349,24.72641829111367,1.910474324230005,1.385503981495844,3.295978305725849,1017.532500000004,859.3948000000051,1348.0478000000085,36.150600000000004,0,0,0.0,0.0,80.2013,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,57.3849,172.53830000000002,0.0,55,266.35159999999996,137.8167,1136.3838000000003,176.72089999999977,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,285.3097000000001,521.1475000000012,0.009896027937430059,5.567643181818184,5.633796268656712,1.676725,1.7329782945736434,3.463841521197012,3.3662373807439985,268.0,264.0,134.0,510.66666666666663,401.0,102.0,26,0,0,2,7,6.0,512.0,3492.8622999999984,664.1917,2377.2498,187,5,0,32,0.11445022579511699,0.5081559290838997,0.29490154481401354,3,1207.0644000000002,1469.8578000000007,8,1,4.0,0,0,0,0.0,0,0.0,11650.221800000008,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,6.7069,29.0,0.9029,4,0.0,0.0,NaN,1280.0,100.0,-0.1951620638020833,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,26,0.0,0,12,0.0,0,0.0,1200.0,9.089500000000001,2913.9981709615313,0.0,2913.9981709615313,0.0,0.0,1276.133,3042.3443999999995,0.517507923470542,96,3297.4924999999994,32,8352.7293,4,0.0,4,341.72,2,56.50290000000001,-376.6334,15.958340012880004,33.1906,0,0,134,134,"G8-20 step 8, public employment 20 %",debt,2,7.275957614183426e-12
7,128,2,4,12008.397599999998,0.6378,9944.180400000001,0.0,9065.484599999994,,0.0,6300.8946,2764.589999999995,0.0,222.32719999999998,9.530434375000015,0.00375,0.0,0.0,0.0,1.0,744.4393090456814,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9739583333333334,0.5075911244614677,0.0,78.0,0.0,0.0,1.0,0,0,0,0.25004036934278706,28,24.261982517052896,1.5056343126944238,25.76761682974732,2.258067036249251,1.4180333739662538,3.676100410215505,964.6727000000004,958.9805000000034,713.5822999999993,35.1845,5,0,271.80799999999977,5654.084,62.632600000000004,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,52.6112,191.44590000000002,2101.9426000000003,74,5967.8844,494.0557,6659.5944,263.3516999999996,0.0,0.0,0.0,0.0,0.0,1,5649.8439,0.0,0.0,0.0,0.0,376.9742000000002,31.748600000000003,0.00811173184296439,5.592044444444445,5.6156500000000005,NaN,1.9246544000000008,3.5174296846846858,3.2652502593216792,260.0,261.0,130.0,509.33333333333337,370.0,102.0,34,0,0,3,8,6.0,512.0,3688.3602999999985,134.5924,2535.3359,187,3,2,32,0.12319819261048082,0.5075911244614677,0.16492092196491037,0,1870.5616999999995,1459.5236000000002,8,0,0.0,0,0,0,0.0,0,0.0,12068.5336,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,2.0,0.2651,1,0.0,0.0,NaN,1280.0,100.0,-0.09643911830357142,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,34,0.0,0,7,0.0,0,0.0,700.0,2.3208,1896.4577917981,0.0,1896.4577917981,0.0,0.0,889.6936999999997,2670.1933999999997,0.6018777268699484,96,3426.3178,32,8642.215800000002,2,0.0,4,341.72,2,3650.5469,-6300.8946,16.915840413652806,33.1906,0,5,64,130,"G8-20 step 8, public employment 20 %",debt,2,7.275957614183426e-12
8,128,1,4,12708.833099999998,0.6378,9545.704080827303,0.0,9668.148899999993,,0.0,6807.4877,2860.6611999999936,0.0,96.0712,10.363717875000013,0.00375,0.008,0.0,0.0,1.0,736.7439529021565,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,0.984375,0.4508234483018927,2.0,84.0,2.0,0.0,1.0,2,0,0,0.2506460662511574,17,16.03474193848745,1.0966894684460546,17.131431406933505,2.4991479042571467,0.9098378771306979,3.4089857813878446,966.4551999999999,478.2096,119.6743,0.0,8,0,616.6682999999991,5654.084,52.8725,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,94.65499999999999,233.48970000000003,3227.3475000000008,83,1461.3125999999997,760.8770999999998,1712.2159,175.95940000000013,0.0,0.0,0.0,0.0,0.0,1,5622.6757,0.0,0.0,0.0,0.0,367.66970000000003,483.90719999999993,0.0033615198797216942,5.573161710037175,5.671486923076923,1.6683,1.9910409448818893,3.5068874999999977,3.167292751542029,260.0,269.0,130.0,508.0,375.99999999999994,102.0,33,0,0,2,13,8.0,512.0,3244.9483000000005,163.2624,3128.9809,189,0,3,34,0.17874193216152312,0.4508234483018927,0.3174975153302504,6,1241.1734999999999,1499.1805,13,0,1.0,0,0,0,0.0,0,0.0,8061.647557353079,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1.6683,0.0,548.9578,1,0.0265,0.0184,NaN,1280.0,100.0,0.2294725130208333,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,33,0.0,0,6,0.0,0,0.0,1111.9816,616.5296000000001,432.920299567568,0.0,432.920299567568,0.0,0.0265,507.4262,3841.2011,0.5561961438744216,94,3053.3993,34,5008.248257353075,1,0.0,4,341.72,2,2508.892002068264,-6807.4797,17.930790838471975,16.915840413652806,0,8,10,130,"G8-20 step 8, public employment 20 %",debt,2,7.275957614183426e-12
9,128,1,4,12858.664299999986,1.2756,9795.118972515418,0.0,10245.052399999993,,0.0,6449.1483,3795.904099999994,0.0,935.2429000000002,10.723782875000008,0.00375,0.462,0.0,0.0,1.0,713.5326256730885,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9791666666666666,0.46822588001593135,3.0,228.0,4.0,0.0,1.0,2,0,0,0.2506969186505866,17,18.429916389607317,1.2846995716352008,19.71461596124252,3.2710447833640806,1.1555849037832027,4.426629687147283,1043.9404000000002,119.67430000000002,1043.9404000000002,0.0,8,0,616.6682999999991,5654.084,72.0707,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,141.50019999999995,280.45610000000005,3227.3475000000008,84,609.2982999999999,458.8292999999999,212.7186,181.8479,0.0,0.0,0.0,0.0,0.0,0,5580.8456,0.0,0.0,0.0,0.0,345.70259999999996,209.54270000000002,0.009978498791976168,5.589529729729727,5.959764661654133,1.6735,2.034398449612407,3.564421148176271,14.458175555458723,266.0,259.0,133.0,509.3333333333333,377.00000000000006,102.0,31,1,1,2,12,3.0,511.0,3560.925199999999,0.0,3643.6166999999996,188,4,0,34,0.20102362503640858,0.46822588001593135,0.1500652932789035,3,1743.1708999999996,1447.6881999999994,12,0,2.0,0,0,1,0.0,0,0.0,8697.967277632732,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,3.347,7.0,72.8148,1,1.5401,1.078,NaN,1280.0,100.0,0.14192872276542606,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,6,0.0,0,0.0,1111.9816,606.254,2226.9186906617183,0.0,2226.9186906617183,0.0,1.5401,592.6179999999999,3716.4314999999997,0.5741140467801398,94,3098.9274,34,5599.03987763273,1,0.0,4,715.7936,2,2515.3190725154145,-6448.686299999999,19.006638288780294,17.930790838471975,0,8,133,133,"G8-20 step 8, public employment 20 %",debt,2,7.275957614183426e-12
10,128,1,4,13399.707700000003,1.9134000000000002,10381.583400000003,0.0,10815.890399999993,,0.0,6511.5702,4304.320199999993,0.0,508.4161,14.23082775000001,0.00375,0.0,0.0,0.0,1.0,704.0236084220586,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9791666666666666,0.4616678920750745,0.0,225.0,0.0,0.0,1.0,2,0,0,0.2500556916907997,17,19.113758140644318,1.471170276859341,20.584928417503658,2.240490536248387,1.3994303761733315,3.6399209124217187,1060.5770999999995,906.4887999999995,1198.0286999999971,0.0,8,0,616.6682999999991,5654.084,76.6583,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,190.66449999999998,329.9950999999999,3227.3475000000008,85,1030.9736,489.29240000000004,561.2454,179.2048000000002,0.0,0.0,0.0,0.0,0.0,0,5518.6926,0.0,0.0,0.0,0.0,335.1159000000001,0.0,0.014564237688891937,5.595414925373135,6.013618045112774,1.7191999999999998,2.0583441860465133,3.6207852214909146,14.02443028879496,266.0,268.0,133.0,508.3333333333333,386.0,102.0,30,1,1,2,11,8.0,511.0,3543.4155999999975,545.5194,3748.8638,188,4,0,34,0.13900157829002668,0.4616678920750745,0.1832451461612572,0,1958.3353,1499.5712000000003,11,0,12.0,0,0,1,0.0,0,0.0,9142.582277632726,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,20.630399999999998,16.0,43.2163,1,0.0,0.0,NaN,1280.0,100.0,0.1533361150200375,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,0,6,0.0,0,0.0,1111.9816,595.9784000000001,1867.5718727524745,0.0,1867.5718727524745,0.0,0.0,561.2054,4337.5995,0.564005129180541,94,3247.782600000001,34,5894.799677632732,1,0.0,4,771.5430000000001,2,2498.008099999999,-6511.5702,20.147036586107113,17.930790838471975,0,8,133,133,"G8-20 step 8, public employment 20 %",debt,2,7.275957614183426e-12
11,128,1,4,13341.572099999992,2.5512,10377.340699999997,0.0,11399.799699999996,,0.0,6570.134,4829.665699999995,0.0,525.3454999999998,16.136830750000012,0.00375,0.0,0.0,0.0,1.0,727.391673300166,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9791666666666666,0.473976486376821,0.0,93.0,0.0,0.0,1.0,2,0,0,0.25001067995728016,17,20.260253213051765,1.4761667355820935,21.73641994863386,2.126134344784182,1.3497397327777634,3.475874077561946,1055.4246000000007,922.8738000000003,1330.5795000000023,0.0,8,0,616.6682999999991,5654.084,75.4306,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,248.3007,387.9870999999999,3227.3475000000008,86,491.8152,549.313,713.0962,192.18060000000003,0.0,0.0,0.0,0.0,0.0,0,5431.8742999999995,0.0,0.0,0.0,0.0,358.09220000000016,0.0,0.015,5.61193962264151,6.114577099236645,1.7088,2.066811811023623,3.7008865737800347,13.603697380131111,262.0,265.0,131.0,508.33333333333337,376.0,102.0,32,0,0,2,12,7.0,512.0,3435.5814999999984,723.5166,3739.7471,188,4,0,34,0.1359366950052705,0.473976486376821,0.16365670744866812,0,1764.0093999999995,1487.1640000000002,12,0,3.0,0,0,0,0.0,0,0.0,9422.487877632724,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,5.1264,10.0,10.8526,1,0.0,0.0,NaN,1280.0,100.0,0.17763593272837086,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,0.0,0,6,0.0,0,0.0,1111.9816,585.7028,1652.7255975821863,0.0,1652.7255975821863,0.0,0.0,546.8664,4474.1163,0.5703709457309136,94,3234.2765999999997,34,6188.211277632729,1,0.0,4,921.7907000000002,2,2464.5037000000007,-6570.134,21.35585878127354,17.930790838471975,0,8,131,131,"G8-20 step 8, public employment 20 %",debt,2,7.275957614183426e-12
12,128,1,4,13262.908199999998,3.189,10262.878800000002,0.0,11876.889299999992,,0.0,6558.4393,5318.449999999992,0.0,488.7842999999999,18.106215250000005,0.00375,0.0,0.0,0.0,1.0,728.7748241763635,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9791666666666666,0.4868266826404839,0.0,103.0,0.0,0.0,1.0,2,0,0,0.2522508928122328,17,21.53565032781097,1.4269480237345922,22.96259835154556,1.8542080895118285,1.3158579530724768,3.1700660425843052,1103.4582999999984,1030.0661999999993,1403.9715999999942,26.586,8,0,616.6682999999991,5654.084,83.08100000000002,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,216.2460000000001,446.1319999999999,3227.3475000000008,87,494.9981000000001,573.0242000000001,705.6482000000001,302.6474,0.0,89.8632,0.0,0.0,0.0,1,5316.3217,0.0,0.0,0.0,0.0,358.3876000000001,0.0,0.015,5.599462056737589,6.310374436090218,NaN,2.084544186046511,3.7905032230619096,13.195586458727178,266.0,282.0,133.0,509.33333333333337,377.0,102.0,32,0,0,2,18,17.0,512.0,3356.846899999999,721.8718,3866.0045,188,4,0,34,0.13764479794453832,0.4868266826404839,0.17965024803376117,0,1891.4878999999994,1579.0483,18,0,0.0,0,0,0,0.0,0,0.0,9744.57327763273,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,7.0,1.8633,1,0.0,0.0,NaN,1280.0,100.0,0.2044184587700375,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,0.0,0,6,0.0,0,0.0,1111.9816,575.4272000000001,1705.6606791196955,0.0,1705.6606791196955,0.0,0.0,518.912,4589.7396,0.5714043028035103,94,3232.6773000000003,34,6511.895977632731,1,0.0,4,1022.3969,2,2312.5741000000016,-6558.4393,22.637210308149953,17.930790838471975,0,8,133,133,"G8-20 step 8, public employment 20 %",debt,2,7.275957614183426e-12
