round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,128,4,4,6673.299199999996,0.0,78.8236,78.8236,78.8236,,78.8236,0.0,0.0,0.0,0.0,0.0,0.0025,35.8764,420.75,0.0,1.0,140.25,170.81560000000007,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.2646363045679425,0.0,168.0,0.0,61.42640000000004,1.0,0,0,0,1.0,48,7.069883846153846,1.6440923076923077,8.713976153846154,3.8762646153846148,0.7827338461538462,4.658998461538461,225.99999999999986,0.0,225.99999999999986,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,48,640.0,73.02079999999988,78.8236,97.72559999999993,0.0,0.0,0.0,0.0,0.0,0,54.4752,640.0,73.02079999999988,36.299199999999935,82.0,0.0,0.0,0.0,5.0,5.199999999999997,2.0,0.75,3.597459459459462,3.9200000000000013,80.0,14.0,40.0,512.0,185.0,51.0,81,0,0,0,12,2.0,512.0,3611.3694000000014,729.7116,1266.1786,192,0,0,32,0.24515787037737002,0.2646363045679425,0.641995245532184,18,1325.3247999999996,70.0,12,0,121.0,0,0,0,0.0,0,0.0,5771.369399999996,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,242.0,52.0,975.688,4,88.5736,88.57359999999998,NaN,1280.0,100.0,0.1934621223958333,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,81,0.0,0,12,0.0,0,0.0,1200.0,0.0,0.0,0.0,0.0,0.0,88.5736,727.9171999999996,2971.5782,0.3222885542433682,96,3189.7082,32,2581.6611999999996,4,0.0,4,78.8236,2,54.4752,-42.9472,11.925,11.25,0,0,40,40,"NLD10 levy and land dividend, market entry",sumsy,9,1.0913936421275139e-11
2,128,4,4,7234.677000000006,0.0,153.10660000000001,74.283,153.10660000000001,,153.10660000000001,0.0,0.0,0.0,0.0,0.0,0.0025,38.5669,420.75,0.0,1.0,140.25,184.2054166666667,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.2602011308596581,0.0,240.0,0.0,30.0906,1.0,0,0,0,0.26038062283737023,48,7.207182307692307,2.3164953846153846,9.523677692307691,2.9877592307692304,1.3266130769230768,4.314372307692308,630.4398,225.99999999999983,630.4398,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,48,640.0,78.6222,74.283,69.1523,0.0,0.0,0.0,0.0,0.0,1,110.3332,640.0,78.6222,39.06169999999999,82.0,0.0,0.0,0.015,4.7913235294117555,5.4682125,2.069806,1.1400464285714285,3.540920388349501,10.085016666666666,224.0,272.0,112.0,512.0,309.0,51.0,50,0,0,2,11,9.0,512.0,4005.994999999997,392.36499999999995,1897.2152999999998,192,0,0,32,0.16576182735188127,0.2602011308596581,0.4408629612713588,4,1849.4780000000019,1303.2399999999975,13,2,50.0,0,0,0,0.0,0,0.0,6165.995000000005,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,103.49029999999999,32.0,790.2016,4,52.1426,52.1424,NaN,1280.0,100.0,0.20050663411458333,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,50,0.0,0,12,0.0,0,0.0,1200.0,0.0,2127.1124567567576,0.0,2127.1124567567576,0.0,52.1426,1062.4081999999996,3079.7818999999995,0.31178116011769386,96,3333.9117999999994,32,2832.0831999999996,4,0.0,4,78.8236,2,110.3332,-114.53970000000001,12.640500000000001,11.25,0,0,112,112,"NLD10 levy and land dividend, market entry",sumsy,9,1.0913936421275139e-11
3,128,4,4,7788.035599999999,0.0,590.9172,445.466,145.4512,,145.4512,0.0,0.0,0.0,0.0,0.0,0.0025,54.052,414.89649999999995,0.0,1.0,134.39649999999997,150.6810333333333,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.289332961035498,0.0,261.0,0.0,113.90570000000004,1.0,0,0,0,0.2550075047875369,48,9.86133976149386,2.165797102133621,12.027136863627481,3.2533366544446682,1.789129058228844,5.042465712673512,743.1453999999997,630.4397999999994,743.1453999999997,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-1.5310000000000001,0.0,48,640.0,86.64139999999998,445.466,156.8200000000001,0.0,0.0,0.0,0.0,0.0,0,107.6502,640.0,86.64139999999998,42.91429999999999,82.0,0.0,0.0,0.015,4.808207194244616,5.452221052631576,1.8738481481481464,1.3429458015267184,3.53146185636858,9.782466166666666,266.0,278.0,133.0,509.33333333333337,369.0,51.0,35,0,0,1,20,12.0,512.0,4496.581200000001,594.0665,2086.8185,190,2,0,32,0.15547127400090144,0.289332961035498,0.3453517884919164,0,2099.958299999999,1336.6816000000033,20,0,81.0,0,0,0,0.0,0,0.0,6765.9931,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,151.78169999999986,50.0,448.8672,4,1.5755,1.5756,NaN,1280.0,100.0,0.1762230598958333,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,35,0.0,0,12,0.0,0,0.0,1200.0,0.0,2873.6651066747454,0.0,2873.6651066747454,0.0,1.5755,1345.5491,3129.7521999999994,0.32536260912348736,96,3545.957300000002,32,3220.035799999999,4,0.0,4,74.88240000000002,2,139.1729,-91.39920000000001,13.398930000000002,11.25,0,0,133,133,"NLD10 levy and land dividend, market entry",sumsy,9,1.0913936421275139e-11
4,128,4,4,8332.678600000001,0.0,630.2281,61.584199999999996,150.8868,,150.8868,0.0,0.0,0.0,0.0,0.0,0.0025,46.7546,412.3254,0.0,1.0,134.87070000000003,147.68598333333335,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.28762498561078,0.0,264.0,0.0,75.38310000000003,1.0,0,0,0,0.25857821044408386,48,10.172144199946608,2.597985765069827,12.770129965016435,3.2869127834643113,2.1833733685660826,5.470286152030393,768.3447999999995,743.1453999999991,768.3447999999995,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-5.985623455707304,0.0,48,640.0,95.35700000000007,61.584199999999996,122.75310000000002,0.0,0.0,0.0,0.0,0.0,2,76.293,640.0,95.35700000000007,47.37000000000001,82.0,0.0,0.0,0.015,5.47376007751938,5.437281159420286,1.8053153846153822,1.4429705882352932,3.402185017299129,9.488992181666665,276.0,258.0,138.0,510.66666666666663,393.0,51.0,29,0,0,1,12,3.0,512.0,4899.229300000003,686.107,2222.4066000000003,190,2,0,32,0.14223622998595853,0.28762498561078,0.3077028537555391,1,2148.3902999999987,1412.2301,12,0,104.0,0,0,0,0.0,0,0.0,7162.045699999999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,187.75279999999975,64.0,401.8881,4,0.0,0.0,NaN,1280.0,100.0,0.18577867187499997,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,29,0.0,0,12,0.0,0,0.0,1200.0,0.0,3104.888471117485,0.0,3104.888471117485,0.0,0.0,1609.6910999999998,3310.4017000000003,0.3228083917382687,96,3745.9474000000005,32,3416.098299999999,4,0.0,4,74.88229999999999,2,167.8238,-104.13219999999998,14.202865800000003,11.25,0,0,138,138,"NLD10 levy and land dividend, market entry",sumsy,9,1.0913936421275139e-11
5,128,4,4,8866.951899999996,0.0,646.1184,40.9709,191.8577,,191.8577,0.0,0.0,0.0,0.0,0.0,0.0025,51.8501,421.98390000000006,0.0,1.0,153.5393,151.08117333333337,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.2884562908909234,0.0,260.0,0.0,65.81380000000003,1.0,0,0,0,0.26715557137771445,48,9.3104899995241,2.543545477904334,11.854035477428434,3.360631822947701,1.926829062771003,5.287460885718704,769.0310999999992,768.3447999999995,769.0310999999992,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-10.778723455707308,0.0,48,640.0,105.72669999999998,40.9709,118.33930000000008,0.0,0.0,0.0,0.0,0.0,3,79.4701,640.0,105.72669999999998,52.52549999999999,82.0,0.0,0.0,0.015,5.596769811320751,5.604709701492531,1.7550861702127667,1.5669621212121216,3.305952130323165,9.204322416216666,268.0,265.0,134.0,510.6666666666667,384.99999999999994,51.0,31,0,0,3,11,4.0,512.0,5200.5836,759.0232,2437.1298,190,2,0,32,0.1430449735968098,0.2884562908909234,0.31429357071838027,1,2089.105699999999,1483.143999999999,11,0,94.0,0,0,0,0.0,0,0.0,7456.8045,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,164.97810000000007,64.0,338.8951,4,0.0,0.0,NaN,1280.0,100.0,0.20203694010416665,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,12,0.0,0,0.0,1200.0,0.0,2619.3893797874757,0.0,2619.3893797874757,0.0,0.0,1818.4014,3535.0481000000004,0.3238463450571041,96,3863.5569000000014,32,3593.2476,4,0.0,4,74.88229999999999,2,207.5883,-140.0076,15.055037748000004,11.25,0,0,134,134,"NLD10 levy and land dividend, market entry",sumsy,9,1.0913936421275139e-11
6,128,4,4,9388.479399999997,0.0,654.9918,33.9541,225.81169999999997,,225.81169999999997,0.0,0.0,0.0,0.0,0.0,0.0025,58.114,430.14795000000004,0.0,1.0,156.98940000000002,151.5876166666667,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.2950211724021514,0.0,256.0,0.0,71.18530000000003,1.0,0,0,0,0.26322659704832435,48,9.91836945963855,2.1634127336149542,12.081782193253504,4.367471852414147,1.3494549027658094,5.716926755179958,753.8975000000005,769.0310999999986,753.8975000000005,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-15.321046911414616,0.0,48,640.0,118.47250000000004,33.9541,130.0478000000001,0.0,0.0,0.0,0.0,0.0,4,90.99969999999999,640.0,118.47250000000004,58.86249999999999,82.0,0.0,0.0,0.015,5.567693065693435,5.574981060606064,1.7080544642857167,1.7065076923076925,3.229095607718838,8.928192743730165,264.0,274.0,132.0,508.0,381.0,51.0,32,0,0,2,14,10.0,512.0,5391.4611,826.8464,2712.1849,190,2,0,32,0.171799849482128,0.2950211724021514,0.3287709621181656,4,2055.621899999999,1525.5479000000012,14,0,112.0,0,0,0,0.0,0,0.0,7641.0864999999985,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,191.30210000000028,64.0,308.87330000000003,4,0.0,0.0,NaN,1280.0,100.0,0.22403805338541663,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,0.0,0,12,0.0,0,0.0,1200.0,0.0,2245.1343380290373,0.0,2245.1343380290373,0.0,0.0,1902.9348000000002,3847.9046,0.33071663979197385,96,3945.022699999999,32,3696.0638,4,0.0,4,74.88220000000001,2,248.6885,-167.69769999999997,15.958340012880004,11.25,0,0,132,132,"NLD10 levy and land dividend, market entry",sumsy,9,1.0913936421275139e-11
7,128,4,4,9897.487,0.0,947.7064,329.4686,214.13830000000002,,214.13830000000002,0.0,0.0,0.0,0.0,0.0,0.0025,435.6357,435.6297,479.0656000000012,1.0,156.17340000000002,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9791666666666666,0.6642849470367018,0.0,259.0,1.0,984.0691,1.0,0,0,0,0.2586233500259507,48,112.64681458934291,2.1691189365221084,114.81593352586502,6.009078347422685,1.3229895960657798,7.332067943488465,760.9296000000007,753.8974999999991,760.9296000000007,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-21.870646911414614,0.0,48,640.0,130.99239999999995,329.4686,1040.4351999999997,0.0,0.0,0.0,0.0,0.0,0,129.9927,640.0,130.99239999999995,56.36609999999998,82.0,0.0,0.0,0.015,5.523650187265918,5.585936842105268,1.6597198529411783,1.90576976744186,3.1949775208686946,8.660346961418261,266.0,267.0,133.0,509.33333333333337,383.0,51.0,31,0,0,1,16,6.0,512.0,5610.973200000001,763.6269,2634.4951,188,4,0,32,0.21185054013891902,0.6642849470367018,0.34347632385122573,5,2076.1866999999997,1474.8146000000002,16,0,136.0,0,0,0,0.0,0,0.0,44653.41710000001,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,225.72190000000026,64.0,322.7634,4,0.0,0.0,NaN,1280.0,100.0,0.24847177734375,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,12,0.0,0,0.0,1200.0,0.8108,2381.2332640542386,0.0,2381.2332640542386,0.0,0.0,1682.1684000000002,3720.8853999999997,0.681064261770068,96,4412.585400000002,32,40240.831699999995,4,0.0,4,397.40960000000007,2,279.28,221.49739999999997,16.915840413652806,207.0996,0,0,133,133,"NLD10 levy and land dividend, market entry",sumsy,9,1.0913936421275139e-11
8,128,4,4,10394.6196,0.0,1090.0012,195.5222,202.4649,,202.4649,0.0,0.0,0.0,0.0,0.0,0.0025,439.2798,439.27773750000006,555.4815999999993,1.0,154.938,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9739583333333334,0.6590179606468332,0.0,259.0,2.0,681.8474,1.0,0,0,0,0.26033127932613487,48,118.36920976633004,2.298807357783245,120.66801712411329,6.999240788534472,1.3996548630065615,8.398895651541034,782.8379999999997,760.9295999999999,782.8379999999997,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-31.34744691141462,0.0,48,640.0,142.8674,195.5222,743.3856999999997,0.0,0.0,0.0,0.0,0.0,0,156.7244,640.0,142.8674,61.53830000000003,82.0,0.0,0.0,0.015,5.466690225563909,5.6238088235294095,1.622191366906477,1.9720320610687025,3.1822331304699305,8.400536552575714,272.0,266.0,136.0,510.66666666666663,389.0,51.0,30,0,0,0,10,6.0,512.0,6078.3122,709.5147000000001,2672.3763,187,5,0,32,0.24099592564528072,0.6590179606468332,0.28565230612535064,4,2093.085700000001,1454.1395999999997,10,0,139.0,0,0,0,0.0,0,0.0,46733.841299999985,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,225.48460000000028,64.0,338.4122,4,0.0,0.0,NaN,1280.0,100.0,0.25506264322916666,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,0,12,0.0,0,0.0,1200.0,0.7703,2556.8504377308727,0.0,2556.8504377308727,0.0,0.0,1688.0525,3720.3032000000003,0.6738388604085301,96,4913.065199999999,32,41820.776099999995,4,0.0,4,568.1671999999999,2,297.61019999999996,236.81490000000002,17.930790838471975,216.845,0,0,136,136,"NLD10 levy and land dividend, market entry",sumsy,9,1.0913936421275139e-11
9,128,4,4,10881.196299999994,0.0,1039.2881,12.2905,190.79149999999998,,190.79149999999998,0.0,0.0,0.0,0.0,0.0,0.0025,441.5947,441.5825666666667,386.93119999999925,1.0,153.34040000000005,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9739583333333334,0.6561528533138443,0.0,256.0,0.0,500.00659999999993,1.0,0,0,0,0.25527850266578433,48,119.5832184676291,2.1282424698743876,121.71146093750349,7.222375300672116,1.2434854947901843,8.4658607954623,756.7810999999999,782.8380000000002,756.7810999999999,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-42.247146911414646,0.0,48,640.0,153.4233,12.2905,568.5576000000002,0.0,0.0,0.0,0.0,0.0,0,170.4572,640.0,153.4233,68.55099999999999,82.0,0.0,0.0,0.015,5.437244522968199,5.554745112781954,1.589165771812081,1.9962546875,3.175363866389184,8.148520455998439,266.0,283.0,133.0,512.0,383.0,51.0,32,0,0,1,19,15.0,512.0,6210.1789,727.044,2964.9393000000005,187,5,0,32,0.2561718784834448,0.6561528533138443,0.30481910087891073,5,2061.7883,1538.7402000000004,19,0,149.0,0,0,0,0.0,0,0.0,46858.778000000006,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,236.78570000000008,64.0,366.98220000000003,4,0.0,0.0,NaN,1280.0,100.0,0.27964998046875,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,0.0,0,12,0.0,0,0.0,1200.0,0.7298,2122.1858121198775,0.0,2122.1858121198775,0.0,0.0,1558.8626000000002,4058.9655000000002,0.6709642888806802,96,5167.4012,32,41691.376800000005,4,0.0,4,550.6419,2,302.9415,250.8032,19.006638288780294,216.845,0,0,133,133,"NLD10 levy and land dividend, market entry",sumsy,9,1.0913936421275139e-11
10,128,4,4,11357.332700000003,0.0,990.0031,14.3331,179.1181,,179.1181,0.0,0.0,0.0,0.0,0.0,0.0025,443.1884,443.1786,379.18720000000025,1.0,152.5143,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9739583333333334,0.6493204663739358,0.0,260.0,0.0,485.31770000000006,1.0,0,0,0,0.25255394857667585,48,119.61823697623645,2.296847791959442,121.9150847681959,6.837903590522647,1.4353593933530817,8.273262983875728,772.8412,756.7810999999997,772.8412,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-52.63974691141466,0.0,48,640.0,163.86360000000002,14.3331,559.1865000000001,0.0,0.0,0.0,0.0,0.0,0,176.9967,640.0,163.86360000000002,73.86880000000002,82.0,0.0,0.0,0.015,5.359399999999998,5.509789781021897,1.5562685534591176,1.974126515151516,3.145919971532627,7.904064842318487,274.0,264.0,137.0,510.66666666666663,391.0,51.0,30,0,0,0,14,9.0,512.0,6465.038799999999,717.1746,3147.386,187,5,0,32,0.2546913083684823,0.6493204663739358,0.18876651326209792,2,2074.635400000003,1414.8815999999995,16,2,159.0,0,0,0,0.0,0,0.0,47106.70789999997,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,247.4466999999997,64.0,407.54820000000007,4,0.0,0.0,NaN,1280.0,100.0,0.29597253255208333,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,0,12,0.0,0,0.0,1200.0,0.6893,2051.1710784345155,0.0,2051.1710784345155,0.0,0.0,1460.4289000000003,4272.108800000001,0.6644860842574216,96,5570.5381,32,41536.169799999996,4,0.0,4,534.5447,2,301.0795,264.0703,20.147036586107113,216.845,0,0,137,137,"NLD10 levy and land dividend, market entry",sumsy,9,1.0913936421275139e-11
11,128,4,4,11823.043499999998,0.0,932.8100999999999,7.1417,167.4447,,167.4447,0.0,0.0,0.0,0.0,0.0,0.0025,443.8915,443.88910909090913,295.2191999999996,1.0,150.33139999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9739583333333334,0.6451904560314785,0.0,258.0,0.0,390.5268,1.0,0,0,0,0.2535553243149497,48,121.68040122172117,1.961644673198206,123.64204589491938,6.890030026323268,1.3580796931918333,8.248109719515101,771.5331999999997,772.8411999999994,771.5331999999997,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-62.53964691141467,0.0,48,640.0,174.28920000000002,7.1417,470.4926,0.0,0.0,0.0,0.0,0.0,0,180.0523,640.0,174.28920000000002,79.96579999999999,82.0,0.0,0.0,0.015,5.316556989247311,5.5817274074074055,1.5349187499999979,1.9592038461538452,3.119054702842373,7.6669428970489335,270.0,279.0,135.0,512.0,387.0,51.0,31,0,0,0,22,10.0,512.0,6632.792899999999,732.5925,3388.3428,187,5,0,32,0.256368054271112,0.6451904560314785,0.19939054477945217,4,2039.7014999999985,1483.3193999999999,22,0,160.0,0,0,0,0.0,0,0.0,47267.531999999985,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,245.58699999999965,64.0,445.37149999999997,4,6.5117,6.511600000000001,NaN,1280.0,100.0,0.3180869270833334,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,12,0.0,0,0.0,1200.0,0.6488,1646.378216665363,0.0,1646.378216665363,0.0,6.5117,1396.5149,4566.3068,0.6607682521846407,96,5857.3909,32,41410.14110000001,4,0.0,4,510.5395,2,295.7336,276.4468,21.35585878127354,216.845,0,0,135,135,"NLD10 levy and land dividend, market entry",sumsy,9,1.0913936421275139e-11
12,128,4,4,12284.844200000005,0.0,1037.1137,168.99539999999996,155.7713,,155.7713,0.0,0.0,0.0,0.0,0.0,0.0025,444.1893,444.1806250000001,465.0751999999994,1.0,149.1291,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.96875,0.6409747004805284,0.0,262.0,1.0,562.1288999999999,1.0,0,0,0,0.2522432973407225,48,121.42059979177057,2.520970741495263,123.94157053326585,7.0968334030988975,1.9709234649924097,9.067756868091308,788.8425000000012,771.5331999999989,788.8425000000012,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-71.86784691141463,0.0,48,640.0,178.19929999999994,168.99539999999996,642.3191000000004,0.0,0.0,0.0,0.0,0.0,0,181.3406,640.0,178.19929999999994,80.1902,82.0,0.0,0.0,0.015,5.259647970479708,5.545629496402887,1.515535849056602,1.9622503759398502,3.125798034299712,7.436934610137463,278.0,271.0,139.0,512.0,395.0,51.0,29,0,0,2,14,13.0,512.0,7093.7859,691.142,3397.0634,186,6,0,32,0.23232339441358762,0.6409747004805284,0.3368894098123436,0,2073.1618000000003,1425.364600000001,14,0,159.0,0,0,0,0.0,0,0.0,47021.14999999999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,240.97019999999972,64.0,477.323,4,1.3203,1.3204,NaN,1280.0,100.0,0.3235849153645833,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,29,0.0,0,12,0.0,0,0.0,1200.0,0.6083,1781.2709321148814,0.0,1781.2709321148814,0.0,1.3203,1686.8960000000002,4565.5284,0.6562568365830086,96,6144.498699999997,32,40876.6513,4,0.0,4,648.0309,2,288.6204,288.418,22.637210308149953,214.245,0,0,139,139,"NLD10 levy and land dividend, market entry",sumsy,9,1.0913936421275139e-11
