round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,128,4,4,6672.820699999995,0.0,78.8236,78.8236,78.8236,,78.8236,0.0,0.0,0.0,0.0,0.0,0.0025,36.1065,420.75,0.0,1.0,140.25,170.50519999999992,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.21975200372372616,0.0,168.0,0.0,61.42640000000004,1.0,0,0,6,1.0,128,7.580366923076926,2.4908494891826924,10.071216412259618,3.888614615384616,0.8056438461538461,4.694258461538462,225.99999999999986,0.0,225.99999999999986,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,48,640.0,73.4992999999999,78.8236,97.9593000000001,0.0,0.0,0.0,0.0,0.0,0,54.4752,640.0,73.4992999999999,36.53290000000005,82.0,0.0,0.0,0.0,5.0,5.199999999999997,2.0,0.75,3.597459459459462,3.9200000000000013,80.0,18.0,40.0,512.0,185.0,51.0,81,0,0,0,16,2.0,512.0,3598.4218999999957,729.7216,1283.6425,192,0,0,32,0.25028708005480116,0.21975200372372616,0.6557437538639601,25,1325.1023999999998,90.0,16,0,118.0,0,0,0,0.0,0,0.0,7263.947399999996,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,236.0,52.0,970.4530000000001,4,89.9736,89.95600000000022,NaN,1280.0,100.0,0.19248588541666664,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,81,0.0,6,6,1505.5255,768,600.0,600.0,0.0,0.0,0.0,0.0,46.54560000000001,43.428000000000004,349.4821999999999,1478.2915999999998,0.28305782567763127,96,4277.172425000001,32,2986.7749749999994,4,0.0,4,78.8236,2,54.4752,-42.7171,11.925,11.25,0,0,40,40,"LB best SuMSy village, land levy",sumsy,5,-1.0913936421275139e-11
2,128,4,4,7231.284800000003,0.0,211.07199999999997,136.18959999999998,74.8824,,74.8824,0.0,0.0,0.0,0.0,0.0,0.0025,105.5063,420.75,0.0,1.0,140.25,105.08123333333333,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.6518448759352509,0.0,242.0,1.0,174.7734,1.0,0,0,6,0.2718373055183264,128,110.54358615384615,2.6525056971153846,113.19609185096154,4.394389230769231,0.8603469230769232,5.254736153846155,643.6701999999998,225.99999999999983,643.6701999999998,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-0.7882,0.0,48,640.0,81.53589999999996,136.18959999999998,214.6295000000001,0.0,0.0,0.0,0.0,0.0,0,110.7156,640.0,81.53589999999996,39.856100000000026,82.0,0.0,0.0,0.015,4.788549618320601,5.488335087719296,2.1145754385964906,1.1258256637168138,3.5377209003215295,10.739555357142857,228.0,262.0,114.0,512.0,311.0,51.0,50,0,0,2,7,3.0,512.0,4059.961000000003,340.8607,1862.7302999999997,191,1,0,32,0.22502922903692935,0.6518448759352509,0.4332154175436542,8,1850.9529000000023,1254.5999999999974,9,2,57.0,0,0,0,0.0,0,0.0,40278.59279999997,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,120.53079999999997,30.0,751.5109,4,50.1092,50.11080000000023,NaN,1280.0,100.0,0.21190069010416665,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,50,0.0,6,6,1327.7046,768,600.0,600.0,0.0,2291.971270270271,1304.7778918918923,987.1933783783788,20.3631,29.7461,504.90070000000003,1627.3972999999999,0.6788316509616277,96,4340.167000000001,32,35938.42579999999,4,0.0,4,74.88240000000002,2,110.7156,30.623899999999992,12.640500000000001,182.4329,0,0,114,114,"LB best SuMSy village, land levy",sumsy,5,-1.0913936421275139e-11
3,128,4,4,7781.023300000001,0.0,508.77500000000003,308.4439,70.9412,,70.9412,0.0,0.0,0.0,0.0,0.0,0.0025,387.7037,414.81870000000004,0.0,1.0,134.31870000000004,9.038333333333336,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.6467427250213136,0.0,259.0,0.0,386.0404,1.0,0,0,6,0.26204647792557323,128,114.87619698586148,3.373055500565618,118.24925248642711,4.043059767747008,1.1729639664496216,5.21602373419663,737.0399000000009,643.6702000000004,737.0399000000009,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-2.8969,0.0,48,640.0,90.2615,308.4439,427.35049999999984,0.0,0.0,0.0,0.0,0.0,0,75.2702,640.0,90.2615,41.310100000000034,82.0,0.0,0.0,0.015,4.814046762589915,5.447271969696977,1.9868842105263154,1.3442435114503812,3.539189802678968,10.417368696428571,264.0,278.0,132.0,509.3333333333333,371.0,51.0,34,0,0,1,15,11.0,512.0,4199.088000000002,601.6235,2045.5716000000002,191,1,0,32,0.20089478023263618,0.6467427250213136,0.32510000845037546,3,2112.3759999999993,1338.3049999999964,16,1,95.0,0,0,0,0.0,0,0.0,40477.79900000001,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,188.75399999999996,54.0,471.7663,4,0.3721,0.372,NaN,1280.0,100.0,0.1861781770833333,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,34,0.0,6,6,1566.4092,768,600.0,600.0,0.0,2875.231996475439,1441.300660938684,1433.9313355367547,0.0,0.3721,520.4989,1552.5522,0.6680783629871019,96,4590.4823,32,35887.316699999996,4,0.0,4,70.94119999999998,2,140.71679999999998,316.76250000000005,13.398930000000002,182.4329,0,0,132,132,"LB best SuMSy village, land levy",sumsy,5,-1.0913936421275139e-11
4,128,4,4,8319.7506,0.0,524.3740999999998,41.7721,67.0,,67.0,0.0,0.0,0.0,0.0,0.0,0.0025,583.3761,412.38952500000005,0.0,0.505178310407207,135.03400000000002,0.0,0.0,0.0,0.505178310407207,0.0,0.0,0.505178310407207,0.0,0,0,0.9947916666666666,0.6410150631447971,0.0,261.0,0.0,300.7224999999999,0.505178310407207,0,0,6,0.26318359375,128,114.22119960006846,3.486651425001439,117.7078510250699,4.168610236886911,1.2409182453235226,5.409528482210434,744.1334000000006,737.0399000000006,744.1334000000006,0.0,0,0,0.0,0.0,0.0,0.505178310407207,0.505178310407207,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-7.984799999999998,0.0,48,640.0,101.2727,41.7721,345.55190000000005,0.0,0.0,0.0,0.0,0.0,0,90.8733,640.0,101.2727,44.82939999999998,82.0,0.0,0.0,0.015,5.457685156250001,5.418905970149258,1.8295032608695625,1.4569533834586479,3.3598318494402237,10.104847635535714,268.0,256.0,134.0,510.6666666666667,374.0,51.0,34,0,0,1,10,2.0,512.0,4341.2166,680.1709000000001,2189.9039,191,1,0,32,0.20525442863470555,0.6410150631447971,0.3065024280702151,2,2070.696299999999,1397.1674000000003,11,1,92.0,0,0,0,0.0,0,0.0,40767.00920000001,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,168.31429999999975,53.0,434.2098,4,0.2427,0.2428,NaN,1280.0,100.0,0.18861118489583337,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,34,0.0,6,6,1723.9110999999998,768,600.0,600.0,0.0,2834.1444034010838,1392.2218716640764,1441.9225317370076,0.0,0.2427,485.1449,1580.3735000000001,0.6622933196423597,96,4881.636099999997,32,35885.373100000004,4,0.0,4,67.0,2,184.964,516.3761,14.202865800000003,182.4329,0,0,134,134,"LB best SuMSy village, land levy",sumsy,5,-1.0913936421275139e-11
5,128,4,4,8850.546499999997,0.0,808.1890000000002,312.07660000000004,63.0588,,63.0588,0.0,0.0,0.0,0.0,0.0,0.0025,855.5843,421.76442000000003,0.0,0.05,153.088,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0,0,0.984375,0.6397018680218254,0.0,259.0,0.0,422.67070000000007,0.05,0,0,6,0.2618147448015123,128,100.6866618846102,3.3377435439953493,104.02440542860556,3.8343228537308343,1.327184261968454,5.161507115699288,758.3266000000002,744.1334,758.3266000000002,0.0,0,0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-13.228300000000003,0.0,48,640.0,109.20410000000004,312.0766,445.88110000000006,0.0,0.0,0.0,0.0,0.0,0,23.4758,640.0,109.20410000000004,23.210400000000003,82.0,0.0,0.0,0.015,5.587861231884061,5.566365413533836,1.7524634146341436,1.5771976923076925,3.3145991302698508,9.801702206469642,266.0,276.0,133.0,510.6666666666667,381.0,51.0,32,0,0,2,15,9.0,512.0,4548.0484,704.4714,2359.2693,189,3,0,32,0.1898942072191887,0.6397018680218254,0.32429061536313286,2,2086.7172,1542.2497000000008,15,0,82.0,0,0,0,0.0,0,0.0,40720.23889999997,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,143.70199999999977,62.0,359.6973,4,0.0,0.0,NaN,1280.0,100.0,0.2061667317708333,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,0.0,6,6,1741.4778999999999,768,600.0,600.0,0.0,2626.1044219387345,1313.766091096421,1312.3383308423142,0.0,0.0,583.5311999999999,1681.9601,0.6567524076252027,96,4994.820975,32,35725.417925,4,0.0,4,218.57140000000004,2,219.41930000000002,792.5255,15.055037748000004,182.4329,0,0,133,133,"LB best SuMSy village, land levy",sumsy,5,-1.0913936421275139e-11
6,128,4,4,9370.848399999999,0.0,1086.8402000000003,322.44550000000004,59.1176,,59.1176,0.0,0.0,0.0,0.0,0.0,0.0025,1154.0757,429.8401,0.0,0.05,156.73950000000002,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0,0,0.9739583333333334,0.6389953781285751,0.0,258.0,0.0,479.67419999999987,0.05,0,0,6,0.2537653330572952,128,98.5601144074938,3.1203634950050545,101.68047790249886,4.665152192430814,1.041765725046389,5.706917917477203,767.1680999999999,758.3265999999996,767.1680999999999,0.0,0,0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-21.296400000000002,0.0,48,640.0,119.6980999999999,322.44550000000004,482.07819999999987,0.0,0.0,0.0,0.0,0.0,0,100.0975,640.0,119.6980999999999,2.404,82.0,0.0,0.0,0.015,5.559525179856111,5.59080671641791,1.6955619718309844,1.7545240310077526,3.1627372066873134,9.507651140275554,268.0,278.0,134.0,509.3333333333333,372.00000000000006,51.0,33,0,0,0,20,11.0,512.0,4719.066699999999,708.4545,2380.992,187,5,0,32,0.20671983604962652,0.6389953781285751,0.3386503102510863,5,2018.1287000000002,1545.5479999999989,20,0,71.0,0,0,0,0.0,0,0.0,40572.25180000001,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,120.3848999999999,51.0,308.16200000000003,4,0.0,0.0,NaN,1280.0,100.0,0.20760885416666666,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,33,0.0,6,6,1741.7939000000001,768,600.0,600.0,0.0,2646.175236216542,1326.3881509028192,1319.7870853137226,0.0,0.0,576.5468,1655.8146000000002,0.6526211654156695,96,5065.168375,32,35507.083425,4,0.0,4,526.3000999999999,2,285.908,1094.9581,15.958340012880004,182.4329,0,0,134,134,"LB best SuMSy village, land levy",sumsy,5,-1.0913936421275139e-11
7,128,4,4,9879.099199999999,0.0,1703.8010000000002,676.871,55.1764,,55.1764,0.0,0.0,0.0,0.0,0.0,0.0025,1579.4814,435.2680285714286,0.0,0.05,155.94519999999997,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0,0,0.953125,0.6344659751552375,0.0,261.0,0.0,614.4287999999998,0.05,0,0,6,0.25590943919964143,128,98.66620272699896,2.9518666418742012,101.61806936887315,4.650251168069642,1.1216646881136119,5.771915856183254,785.9992,767.1681000000004,785.9992,0.0,0,0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-32.150600000000004,0.0,48,640.0,131.7492000000001,676.871,616.9170000000003,0.0,0.0,0.0,0.0,0.0,0,34.750699999999995,640.0,131.7492000000001,2.4882000000000013,82.0,0.0,0.0,0.015,5.516521673003803,5.565211594202898,1.6598787499999994,1.943740310077518,3.2016541179556506,9.222421606067286,276.0,263.0,138.0,512.0,384.0,51.0,31,0,0,1,13,6.0,512.0,4906.0900999999985,689.2121,2406.7785000000003,183,9,0,32,0.22002320853346102,0.6344659751552375,0.23466875052611913,4,2089.9359999999992,1450.8452000000002,13,0,80.0,0,0,0,0.0,0,0.0,40422.730899999995,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,132.79029999999995,55.0,262.78639999999996,4,0.0,0.0,NaN,1280.0,100.0,0.21078904947916668,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,6,6,1730.8048000000001,768,600.0,600.0,0.0,2822.7879756747257,1405.7342091297949,1417.0537665449312,0.0,0.0,519.1474999999999,1627.9722000000002,0.6472039952910627,96,5344.1639,32,35078.566999999995,4,0.0,4,715.3318,2,320.3137,1524.3049999999998,16.915840413652806,182.4329,0,0,138,138,"LB best SuMSy village, land levy",sumsy,5,-1.0913936421275139e-11
8,128,4,4,10376.557200000001,0.0,2097.8561,487.87859999999995,51.2352,,51.2352,0.0,0.0,0.0,0.0,0.0,0.0025,1841.5175,438.8862375,0.0,0.05,154.73790000000002,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0,0,0.9375,0.6334688580470975,0.0,253.0,0.0,455.09969999999987,0.05,0,0,6,0.255561782376937,128,100.20476845549697,2.5323989756987193,102.7371674311957,5.297709771040834,0.7518394211764393,6.049549192217273,764.7444000000007,785.9991999999994,764.7444000000007,0.0,0,0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-49.187300000000036,0.0,48,640.0,142.542,487.87859999999995,457.72450000000003,0.0,0.0,0.0,0.0,0.0,0,114.1259,640.0,142.542,2.624800000000001,82.0,0.0,0.0,0.015,5.468926353790611,5.57271940298508,1.6042148437500003,1.9920065573770491,3.0754021690826927,8.945748957885266,268.0,277.0,134.0,510.6666666666667,384.0,51.0,31,0,0,1,15,13.0,512.0,5131.103399999999,686.7176000000001,2332.8663,180,12,0,32,0.2316571653477102,0.6334688580470975,0.26962735588583553,9,2028.5013000000001,1514.8925999999992,15,0,128.0,0,0,0,0.0,0,0.0,40246.33799999999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,205.33950000000004,63.0,270.2265,4,0.0,0.0,NaN,1280.0,100.0,0.21234763020833336,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,6,6,1712.1518,768,600.0,600.0,0.0,2908.0308046506884,1433.3080639228526,1474.7227407278356,0.0,0.0,653.1359000000001,1577.6586000000002,0.6448095007551071,96,5491.1106500000005,32,34755.22734999999,4,0.0,4,1066.995,2,383.9907,1790.2822999999999,17.930790838471975,182.4329,0,0,134,134,"LB best SuMSy village, land levy",sumsy,5,-1.0913936421275139e-11
9,128,4,4,10864.033999999996,0.0,2636.6483,657.0177000000001,47.294,,47.294,0.0,0.0,0.0,0.0,0.0,0.0025,2117.2828,441.2554,0.0,0.05,153.4029,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0,1,0.9166666666666666,0.6301323399626921,0.0,252.0,0.0,473.0503999999998,0.05,0,0,6,0.2530058141909832,128,100.88677636289209,2.4033265041022176,103.2901028669943,5.3025257977415,1.0191861227552477,6.321711920496747,768.7455999999997,764.7444000000004,768.7455999999997,0.0,0,0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-70.16520000000004,0.0,48,640.0,152.52319999999995,657.0177,475.7834999999998,0.0,0.0,0.0,0.0,0.0,0,79.8767,640.0,152.52319999999995,2.7331,82.0,0.0,0.0,0.015,5.423182656826568,5.520188235294116,1.5814645833333298,2.011859166666667,3.1154895909781164,8.677376489148708,272.0,271.0,136.0,510.6666666666667,389.0,51.0,30,0,0,1,16,13.0,512.0,5338.092499999998,639.7784999999999,2390.3695000000002,176,16,0,32,0.22935323470532776,0.6301323399626921,0.19568159819602693,4,2053.611200000001,1469.6825,16,0,144.0,0,0,0,0.0,0,0.0,40120.4747,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,227.7308999999995,64.0,298.63399999999996,4,0.0,0.0,NaN,1280.0,100.0,0.22909671874999996,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,6,6,1708.7126000000003,768,600.0,600.0,0.0,2857.6315782631036,1384.4941891315516,1473.1373891315516,0.0,0.0,765.1874,1620.0694,0.6410196111081599,96,5664.856774999997,32,34455.61792499999,4,0.0,4,1258.0799,2,417.34290000000004,2069.9888,19.006638288780294,182.4329,0,0,136,136,"LB best SuMSy village, land levy",sumsy,5,-1.0913936421275139e-11
10,128,4,4,11341.572999999999,0.0,2517.0444999999995,31.4726,43.3528,,43.3528,0.0,0.0,0.0,0.0,0.0,0.0025,2060.8047,442.76595,0.0,0.05,152.1203,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0,0,0.9166666666666666,0.6264475558908817,0.0,248.0,0.0,138.1311000000001,0.05,0,0,6,0.2572395148115485,128,102.04174382509878,2.2855911536901155,104.3273349787889,5.926141904799165,0.8390013724837744,6.765143277282941,765.4029999999988,768.7455999999992,765.4029999999988,0.0,0,0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-96.53100000000002,0.0,48,640.0,162.4610000000001,31.4726,141.14150000000024,0.0,0.0,0.0,0.0,0.0,0,142.947,640.0,162.4610000000001,3.0103999999999993,82.0,0.0,0.0,0.015,5.356459695817491,5.495610294117638,1.5490335483870934,1.9996199999999997,3.036972082752326,8.417055194474246,272.0,263.0,136.0,510.6666666666667,389.00000000000006,51.0,30,0,0,1,12,9.0,512.0,5560.4628,619.9977,2616.5008,176,16,0,32,0.24047237325955995,0.6264475558908817,0.2117248431863359,7,2016.8701000000024,1408.7489,12,0,155.0,0,0,0,0.0,0,0.0,40443.797299999984,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,240.1001999999995,64.0,340.86,4,0.0,0.0,NaN,1280.0,100.0,0.25800307291666663,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,30,0.0,6,6,1792.984,768,600.0,600.0,0.0,2636.130347705941,1313.7604238529702,1322.3699238529703,0.0,0.0,830.7056,1784.3745000000001,0.6376423323451543,96,5899.46325,32,34544.33404999999,4,0.0,4,1214.7363999999998,2,464.87539999999996,2017.4519,20.147036586107113,182.4329,0,0,136,136,"LB best SuMSy village, land levy",sumsy,5,-1.0913936421275139e-11
11,128,4,4,11808.910400000004,0.0,2376.7062000000005,11.9236,39.4116,,39.4116,0.0,0.0,0.0,0.0,0.0,0.0025,2041.3968,443.4913909090909,0.0,0.05,150.2486,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0,1,0.9166666666666666,0.6233807062252665,0.0,244.0,0.0,172.7048000000001,0.05,0,0,6,0.2585508768535537,128,103.61199029152745,2.390615882014585,106.00260617354203,6.509542837292338,0.8051615487712864,7.3147043860636245,748.7927000000016,765.4029999999997,748.7927000000016,0.0,0,0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-121.62759999999996,0.0,48,640.0,172.6626000000002,11.9236,175.9809,0.0,0.0,0.0,0.0,0.0,1,179.5347,640.0,172.6626000000002,3.276099999999999,82.0,0.0,0.0,0.015,5.214826022304831,5.536308333333345,1.5194731249999995,1.9943405172413802,3.0704448673692273,8.16454353864002,264.0,269.0,132.0,510.66666666666663,380.99999999999994,51.0,32,0,0,1,13,10.0,512.0,5710.422599999997,618.981,2871.0060999999996,176,16,0,32,0.25891039077825884,0.6233807062252665,0.27460810578779515,7,1992.9929999999988,1402.7881999999995,13,0,160.0,0,0,0,0.0,0,0.0,40853.217600000055,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,243.11569999999992,64.0,387.5692,4,0.0,0.0,NaN,1280.0,100.0,0.27569166666666667,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,32,0.0,6,6,2021.3854,768,600.0,600.0,0.0,2078.9354258988724,956.8604629494363,1122.0749629494362,0.0,0.0,914.7714000000002,1856.1708999999998,0.6350226123883718,96,6172.2258999999995,32,34680.9917,4,0.0,4,1153.685,2,482.89869999999996,2001.9852,21.35585878127354,182.4329,0,0,132,132,"LB best SuMSy village, land levy",sumsy,5,-1.0913936421275139e-11
12,128,4,4,12270.133100000008,0.0,2396.5399000000007,173.07999999999998,35.4704,,35.4704,0.0,0.0,0.0,0.0,0.0,0.0025,2017.9495,443.10269999999997,0.0,0.05,146.2757,0.0,0.0,0.0,0.05,0.0,0.0,0.05,0.0,0,0,0.9114583333333334,0.6169531570554141,0.0,244.0,1.0,164.08600000000007,0.05,0,0,6,0.2612130177514793,128,101.05712164475777,2.7226778468406856,103.77979949159845,8.092750253772067,1.1732215279431462,9.265971781715214,754.3615999999996,748.7927000000009,754.3615999999996,0.0,0,0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-145.3942999999998,0.0,48,640.0,178.77730000000017,173.07999999999998,167.52660000000017,0.0,0.0,0.0,0.0,0.0,0,198.4939,640.0,178.77730000000017,3.4406000000000008,82.0,0.0,0.0,0.015,5.188183846153845,5.49523582089552,1.5421881249999996,1.9649965811965804,3.127325203270091,7.919607232480818,268.0,260.0,134.0,510.66666666666663,385.0,51.0,31,1,1,1,12,5.0,511.0,6104.980299999996,597.7987,2919.4461,175,17,0,32,0.2699465729899657,0.6169531570554141,0.3446230955065557,3,2020.9783999999993,1348.9277999999997,13,1,160.0,0,0,1,0.0,0,0.0,39304.98240000005,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,246.75009999999995,64.0,431.4646,4,0.0,0.0,NaN,1280.0,100.0,0.28785118489583333,0,0,0.0,0,0.0,1280.0,0,0.0,0,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,6,6,2016.1978000000001,768,600.0,600.0,0.0,2136.77452583079,1067.5587786713345,1069.2157471594555,0.0,0.0,1021.5395000000001,1932.5115999999998,0.6286394788194369,96,6235.51545,32,33069.46695,4,0.0,4,1249.8929000000003,2,481.70619999999997,1982.4791,22.637210308149953,172.7454,0,0,134,134,"LB best SuMSy village, land levy",sumsy,5,-1.0913936421275139e-11
