round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,128,4,4,6924.266400000007,0.0,6954.798,0.0,949.074,,0.0,949.074,0.0,0.0,0.0,0.0,0.00375,0.0,0.0,0.0,1.0,975.0003,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.566356717265124,0.0,128.0,0.0,0.0,1.0,0,0,0,0.510204081632653,0,7.7301307692307715,3.2326307692307688,10.962761538461539,1.435292307692308,2.9383999999999997,4.373692307692307,301.55040000000065,0.0,301.55040000000065,0.0,0,0,0.0,0.0,11.434400000000002,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,30.531599999999997,30.531599999999997,0.0,0,950.25,132.30360000000002,950.25,25.926299999999998,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,810.0,6.664,0.005,5.0,5.199999999999997,NaN,0.75,3.73124324324325,3.920000000000001,80.0,35.0,40.0,512.0,185.0,51.0,81,0,0,0,20,15.0,512.0,5080.574000000003,356.198,1079.128,192,0,0,32,0.044582942301401696,0.24089515598141809,0.07735912251849775,0,1415.5739999999994,175.0,20,0,0.0,0,0,0,0.0,0,0.0,7240.57400000001,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,52.0,408.3664,2,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,81,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9526264963228837,96,3821.4259999999995,32,3419.148,4,-1705.2620000000002,4,-1507.432,2,29.355600000000255,-949.074,11.925,11.25,0,0,40,40,4 + theatres,debt,7,-7.275957614183426e-11
2,128,4,4,7368.818299999998,0.0,7420.2607,0.0,1399.4489,,0.0,1399.4489,0.0,0.0,0.0,0.0,0.00375,0.0001,0.0,0.0,1.0,565.0003,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.7061915805141532,0.0,228.0,1.0,0.0,1.0,0,0,0,0.262018530388672,0,54.72309615384616,3.269063846153846,57.99216,2.059952307692307,3.1865992307692315,5.246551538461539,899.9946000000062,301.550400000001,899.9946000000062,0.0,0,0,0.0,0.0,72.42989999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,51.4424,65.3026,0.0,1,628.6074,184.0555,733.07,119.37089999999942,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,400.0,118.3228,0.002900707929559288,4.900816793893132,5.543323076923074,1.850000000000001,1.1227439655172418,3.5189743589743463,3.8023999999999996,234.0,262.0,117.0,512.0,351.0,51.0,40,0,0,1,13,9.0,512.0,5271.632900000001,162.7528,1717.5711000000001,191,1,0,32,0.06397989976336382,0.5846859065732388,0.09153843445933751,0,1448.9234000000008,1284.0140000000006,13,0,34.0,0,0,0,0.0,0,0.0,22280.08740000002,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,62.900000000000034,64.0,216.8614,2,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,40,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9405470387996637,96,3822.7949000000017,32,18457.2925,4,-1891.6363,4,-825.1488999999998,2,50.32519999999991,-1399.4488000000001,12.640500000000001,89.0495,0,0,117,117,4 + theatres,debt,7,-7.275957614183426e-11
3,128,4,4,7942.544900000004,0.0,8009.541400000001,0.0,1597.3243,,0.0,1597.3243,0.0,0.0,0.0,0.0,0.00375,0.0,0.0,0.0,1.0,469.7437358778628,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.7071788964262207,0.0,256.0,0.0,0.0,1.0,0,0,0,0.25963332351414664,0,56.59319662941606,3.3374138503881623,59.930610479804216,2.691511313499935,3.3072257898937347,5.99873710339367,1014.5208000000056,899.9946000000066,1014.5208000000056,0.0,0,0,0.0,0.0,82.4289,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,66.9965,102.11819999999993,0.0,2,790.5638,216.8372,887.6251,278.8650999999999,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,308.0160000000001,0.0,0.007078657277377245,5.557614981273408,5.455511940298503,1.7723500000000005,1.3483699248120302,3.4909466342817614,3.6883279999999994,268.0,267.0,134.0,510.6666666666667,384.99999999999994,51.0,31,0,0,1,12,9.0,512.0,5438.050000000007,479.02590000000004,1991.6571,191,1,0,32,0.08325087261288533,0.5869046565036995,0.14279988837184154,0,1721.1942999999985,1483.8832,12,0,40.0,0,0,0,0.0,0,0.0,22446.504500000006,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,70.89400000000002,64.0,33.8119,2,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9383821138307615,96,3823.6456,32,18622.8589,4,-2033.6592999999998,4,-507.2229000000001,2,65.93809999999974,-1597.3243,13.398930000000002,89.0495,0,0,134,134,4 + theatres,debt,7,-7.275957614183426e-11
4,128,4,4,8241.346600000003,0.0,8312.555400000001,0.0,1885.3,,0.0,1885.3,0.0,0.0,0.0,0.0,0.00375,0.0,0.0,0.0,1.0,495.2348271006662,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.705115453464574,0.0,125.0,0.0,0.0,1.0,0,0,0,0.2544899332332695,0,50.714227406847115,2.532682989106918,53.246910395954025,3.210803150710348,2.4984942781314494,5.709297428841797,1047.9431999999956,914.314200000007,1148.149799999996,0.0,0,0,0.0,0.0,91.643,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,71.2088,136.12139999999994,0.0,7,528.2995000000001,229.4978,702.0064,215.24559999999965,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,311.83360000000005,103.29119999999999,0.008655438748832909,5.713528417266188,5.641773134328353,1.7027567567567579,1.446223308270677,3.522514271122126,3.5776781599999987,268.0,278.0,134.0,510.6666666666667,385.00000000000006,51.0,31,0,0,1,20,12.0,512.0,5311.472399999999,651.7792999999999,2278.0949,191,1,0,32,0.120302283670908,0.597473411017029,0.13686249436642028,0,1524.7852999999996,1588.3609000000004,20,0,37.0,0,0,0,0.0,0,0.0,22319.9269,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,63.00200000000004,64.0,0.0,2,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.912562652719046,96,3641.3226000000013,32,18678.604300000003,4,-1795.1662000000001,4,-176.9450999999999,2,70.20919999999943,-1885.3,14.202865800000003,89.0495,0,0,134,134,4 + theatres,debt,7,-7.275957614183426e-11
5,128,4,4,8415.529199999997,0.0,8489.2904,0.0,2171.6735,,0.0,2171.6735,0.0,0.0,0.0,0.0,0.00375,0.0,0.0,0.0,1.0,504.83895969993046,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.7006481273828509,0.0,97.0,0.0,0.0,1.0,0,0,0,0.2536199599019826,0,49.69182291098859,2.516644388661195,52.20846729964978,3.565736113925318,2.458308484503161,6.024044598428479,1069.9404999999972,950.7696999999973,1267.3206000000107,0.0,0,0,0.0,0.0,84.1981,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,73.7612,170.99109999999996,0.0,15,423.2385,249.0559,705.6062,227.89260000000044,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,316.29269999999997,117.30470000000005,0.009244365322903824,5.754214552238809,5.644776086956518,1.6708902439024393,1.5854868613138684,3.5168105286763147,3.4703478151999994,276.0,268.0,138.0,510.66666666666663,393.0,51.0,29,0,0,1,16,9.0,512.0,5362.550500000001,573.8011,2479.1776,191,1,0,32,0.1413475376304152,0.6012198224750078,0.16505310079739344,0,1661.7141000000006,1542.1295000000007,16,0,41.0,0,0,0,0.0,0,0.0,22371.005,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,68.50650000000002,64.0,0.0,2,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,29,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8958089172276751,96,3590.478200000001,32,18780.5268,4,-1807.4047,4,67.97760000000017,2,72.82039999999947,-2171.6735,15.055037748000004,89.0495,0,0,138,138,4 + theatres,debt,7,-7.275957614183426e-11
6,128,4,4,8640.0055,0.0,8715.6405,0.0,2507.6621,,0.0,2507.6621,0.0,0.0,0.0,0.0,0.00375,0.0,0.0,0.0,1.0,541.204926608951,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.6964289402386605,0.0,93.0,0.0,0.0,1.0,0,0,0,0.2546733879437093,0,50.0692735198059,2.102624066266807,52.1718975860727,4.127015173598483,2.0812003042645797,6.208215477863062,1057.7520000000006,961.5004999999986,1363.5720999999996,12.0217,0,0,0.0,0.0,87.9031,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,75.63499999999999,206.72039999999996,0.0,27,493.9379,269.46160000000003,1160.8959,216.0741000000006,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,0.0,0.0,0.0,351.3147999999999,302.08750000000003,0.009405007173047555,5.720710144927539,5.645207407407408,1.6606041666666664,1.7480164179104483,3.5514885793898774,3.366237380743999,270.0,276.0,135.0,510.66666666666663,387.0,51.0,31,0,0,2,18,13.0,512.0,5237.819599999999,700.4269,2701.759,191,1,0,32,0.17110339105846673,0.6114077726686042,0.18014185319654752,0,1533.8941000000007,1578.9160000000006,18,0,48.0,0,0,0,0.0,0,0.0,22246.274100000002,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,79.70899999999999,64.0,0.0,2,0.0,0.0,NaN,1280.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,31,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8780644932372483,96,3406.4394999999968,32,18839.8346,4,-1615.0392,4,334.399,2,74.75300000000021,-2507.6621,15.958340012880004,89.0495,0,0,135,135,4 + theatres,debt,7,-7.275957614183426e-11
7,128,3,4,11957.921500000002,0.0,10206.8185,0.0,5769.6496,,0.0,5769.6496,0.0,0.0,0.0,0.0,0.00375,0.0001,0.0,0.0,1.0,566.8141228055846,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.6372701326548156,0.0,90.0,0.0,0.0,1.0,1,0,0,0.2563720741950874,4,50.91199753014579,1.8941421933684972,52.806139723514285,4.213511986899677,1.8941421933684972,6.107654180268174,1036.0079000000003,985.0886000000008,982.0001000000002,1.6249,3,0,238.40030000000056,2939.1834,68.6432,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,79.668,240.4721,1835.4969999999998,37,3784.1308,466.2147999999999,4097.8823,256.54789999999974,0.0,0.0,0.0,0.0,0.0,0,2933.8779,0.0,0.0,0.0,0.0,378.0306999999998,72.124,0.008554041389235788,5.705960076045627,5.659468148148151,1.6350000000000011,1.930894029850747,3.5309748701852284,3.2652502593216792,270.0,263.0,135.0,509.3333333333333,374.0,51.0,33,0,0,0,12,8.0,512.0,5096.663299999997,511.262,2862.0859,191,0,1,32,0.17212482076876712,0.6162886529170755,0.1583115206676775,0,1686.3529999999996,1500.6674999999998,12,0,49.0,0,0,0,0.0,0,0.0,21797.812299999998,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,80.11500000000005,0.0,554.0323,1,0.0,0.0,NaN,1280.0,100.0,0.40313367187499993,0,0,0.0,0,0.0,1280.0,0,0.40313367187499993,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,33,0.0,0,1,0.0,0,0.0,554.0324,307.3055,0.0,0.0,0.0,0.0,0.0,140.21120000000002,554.0323,0.7281805629998461,96,3357.796100000001,32,18440.0162,3,-1256.237,4,538.5658999999999,2,1271.0011999999992,-5769.6494999999995,16.915840413652806,89.0495,0,3,101,135,4 + theatres,debt,7,-7.275957614183426e-11
8,128,1,4,13060.663399999998,0.0,10172.364540413653,0.0,7536.7004,,0.0,7536.7004,0.0,0.0,0.0,0.0,0.00375,0.0,0.0,0.0,1.0,634.5478327064618,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.5260552119169419,1.0,92.0,1.0,0.0,1.0,2,0,0,0.2513390200357072,8,32.40515727995495,1.7292647079741825,34.13442198792913,4.618905164125041,1.7292647079741825,6.348169872099224,1032.9438999999993,688.9016999999998,143.57459999999998,0.0,6,0,641.2848999999991,4195.4821,58.342200000000005,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,123.11810000000001,283.9222,3033.0588000000002,46,2084.6029,981.8610000000002,2582.0335999999998,152.64320000000006,0.0,0.0,0.0,0.0,0.0,0,4153.8915,0.0,0.0,0.0,0.0,446.2499999999999,110.8526,0.005452050169172107,5.629226760563381,5.774689629629628,1.5880315789473682,2.026468888888889,3.524128401435225,3.167292751542029,270.0,284.0,135.0,512.0,355.0,51.0,39,0,0,0,20,16.0,512.0,4897.311599999997,163.856,3325.4066999999995,192,0,0,33,0.18691971829758525,0.5633485671446132,0.1834139001822681,0,1631.3394000000003,1598.7004000000002,20,0,38.0,0,0,0,0.0,0,0.0,14750.884639297014,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,60.34519999999999,32.0,520.1976,1,0.0,0.0,NaN,1280.0,100.0,0.2530990234375,0,0,0.0,0,0.0,1280.0,0,0.2530990234375,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,39,0.0,0,2,0.0,0,0.0,717.8884,302.1838,6.700107928736543e-5,0.0,6.700107928736543e-5,0.0,0.0,320.2326,684.0536,0.5747060512803266,95,3179.971999999999,33,11570.912639297016,1,0.0,4,1045.7267000000002,2,1264.8282404136537,-7536.7004,17.930790838471975,52.9826702068264,0,6,10,135,4 + theatres,debt,7,-7.275957614183426e-11
9,128,1,4,14059.895799999995,0.0,11222.756999999998,0.0,8012.0064,,0.0,8012.0064,0.0,0.0,0.0,0.0,0.00375,0.0,0.0,0.0,1.0,617.7399458236056,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.572398792300101,0.0,229.0,1.0,0.0,1.0,2,0,0,0.2517918536215838,8,52.67799938769495,1.8688097484104542,54.54680913610541,6.040132068426424,1.8688097484104542,7.908941816836879,1086.7245000000007,143.57460000000003,1086.7245000000007,0.0,6,0,641.2848999999991,4195.4821,72.5877,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,175.12400000000002,335.9769,3033.0588000000002,47,1523.9423,524.7099000000001,934.6779,180.1177,0.0,0.0,0.0,0.0,0.0,0,4096.8718,0.0,0.0,0.0,0.0,431.97530000000006,37.589400000000005,0.010683664619111254,5.6255541984732815,5.963502919708036,1.566281081081081,2.0169066176470585,3.5753966103024846,3.0722739689957677,274.0,262.0,137.0,512.0,359.0,51.0,38,0,0,2,16,8.0,512.0,5276.8427999999985,0.0,4218.3696,191,1,0,33,0.22936807409015492,0.6240458438496315,0.1399933626226708,0,1756.162399999999,1473.8951999999997,16,0,37.0,0,0,0,0.0,0,0.0,21972.1652,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,57.9524,32.0,467.8116,1,0.0,0.0,NaN,1280.0,100.0,-0.040707734375,0,0,0.0,0,0.0,1280.0,0,0.169372109375,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,38,0.0,0,2,0.0,0,0.0,717.8884,297.0621,2281.295486323211,0.0,2281.295486323211,0.0,0.0,533.0938000000001,467.8116,0.6164822413062601,95,3192.8447000000015,33,18779.3205,1,0.0,4,1982.5295999999998,2,1259.0274,-8012.0064,19.006638288780294,89.0495,0,6,137,137,4 + theatres,debt,7,-7.275957614183426e-11
10,128,1,4,15027.174700000001,0.0,12252.513500000003,0.0,8499.155,,0.0,8499.155,0.0,0.0,0.0,0.0,0.00375,0.0,0.0,0.0,1.0,615.5002494843789,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.5694363001182139,0.0,222.0,0.0,0.0,1.0,2,0,0,0.25928543162417317,8,53.27512786422099,1.873424311307887,55.14855217552888,6.701002695233901,1.873424311307887,8.574427006541788,1092.5194000000008,944.9917000000028,1234.2521999999997,0.0,6,0,641.2848999999991,4195.4821,74.686,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,238.44740000000002,399.3467000000001,3033.0588000000002,48,1579.5032,612.2243,1095.518,168.41159999999988,0.0,0.0,0.0,0.0,0.0,0,4013.8784,0.0,0.0,0.0,0.0,429.8563000000001,0.0,0.013894211131302745,5.571685714285714,6.044725000000001,1.5569521739130427,2.0449000000000033,3.637043758775779,2.9801057499258943,272.0,266.0,136.0,509.3333333333333,357.00000000000006,51.0,38,0,0,0,13,5.0,512.0,5520.3235,738.8473,4324.317,191,1,0,33,0.2468098751651513,0.624077638769132,0.16278132319798888,0,1805.7616999999982,1482.0683999999999,13,0,46.0,0,0,0,0.0,0,0.0,22221.61340000001,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,71.61979999999997,32.0,429.8085,1,0.0,0.0,NaN,1280.0,100.0,0.0016242968749999864,0,0,0.0,0,0.0,1280.0,0,0.155269765625,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,38,0.0,0,2,0.0,0,0.0,717.8884,291.9404,1542.8124170034139,0.0,1542.8124170034139,0.0,0.0,557.2282999999999,1168.6558,0.6155884387728414,95,3207.9664000000007,33,19013.647000000008,1,0.0,4,2132.317,2,1238.5703999999998,-8499.155,20.147036586107113,89.0495,0,6,136,136,4 + theatres,debt,7,-7.275957614183426e-11
11,128,1,4,15205.1521,0.0,12504.049400000002,0.0,8865.0869,,0.0,8865.0869,0.0,0.0,0.0,0.0,0.00375,0.0,0.0,0.0,1.0,622.5520697368179,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.5680210560411327,0.0,93.0,0.0,0.0,1.0,2,0,0,0.2565522814059873,8,54.19646834840364,1.7816428196410656,55.97811116804471,7.405154278875493,1.7816428196410656,9.186797098516559,1085.7533000000008,1076.3123000000012,1243.693200000002,0.0,6,0,641.2848999999991,4195.4821,81.9867,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,312.85170000000005,473.7949000000002,3033.0588000000002,49,880.258,702.2806000000003,1038.1979000000001,299.11650000000003,0.0,0.0,0.0,0.0,0.0,0,3899.3257,0.0,0.0,0.0,0.0,438.6874000000001,0.0,0.015,5.532143682310469,6.056803731343288,1.5801000000000007,2.043196992481201,3.706900080938893,2.8907025774281183,268.0,277.0,134.0,512.0,353.0,51.0,39,0,0,2,16,12.0,512.0,5668.0741999999955,741.3087,4483.9259999999995,191,1,0,33,0.27136408798909173,0.6273169044202005,0.16271073508824352,0,1781.9261999999994,1532.4038,16,0,59.0,0,0,0,0.0,0,0.0,22375.33160000001,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,93.22590000000004,32.0,412.5175,1,0.0,0.0,NaN,1280.0,100.0,0.021038398437499994,0,0,0.0,0,0.0,1280.0,0,0.14925808593749998,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,39,0.0,0,2,0.0,0,0.0,717.8884,286.8187,1542.8326910278643,0.0,1542.8326910278643,0.0,0.0,594.0566,1153.8262,0.617537775774534,95,3231.9901,33,19143.3415,1,0.0,4,2335.766,2,1197.635,-8865.0869,21.35585878127354,89.0495,0,6,134,134,4 + theatres,debt,7,-7.275957614183426e-11
12,128,1,4,15487.090599999998,0.0,12729.577800000001,0.0,9205.0113,,0.0,9205.0113,0.0,0.0,0.0,0.0,0.00375,0.0,0.0,0.0,1.0,606.7114750284826,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.5644392407325198,0.0,88.0,0.0,0.0,1.0,2,0,0,0.2543497187711613,8,55.010946753169016,1.738092405991363,56.74903915916037,8.23228729569542,1.738092405991363,9.970379701686783,1109.6226000000001,1072.4760000000008,1280.8398000000004,0.0,6,0,641.2848999999991,4195.4821,77.68809999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,257.2874000000001,548.8605000000003,3033.0588000000002,50,1028.8517000000002,746.9132,1069.4805,311.11309999999946,0.0,130.5884,0.0,0.0,0.0,0,3747.7236000000003,0.0,0.0,0.0,0.0,424.1512,0.0,0.015,5.522108921933086,6.20842962962963,1.5977390624999996,2.039198507462689,3.81327617328519,2.8039815001052744,270.0,269.0,135.0,509.3333333333333,355.0,51.0,38,0,0,0,16,9.0,512.0,6009.532600000001,731.7682,4595.211499999999,191,1,0,33,0.29201346161055874,0.6263136372271823,0.1850412542106794,0,1937.6599999999985,1485.4473,16,0,64.0,0,0,0,0.0,0,0.0,22722.757499999996,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,102.25529999999998,32.0,402.8547,1,0.0,0.0,NaN,1280.0,100.0,0.0387440234375,0,0,0.0,0,0.0,1280.0,0,0.146226171875,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,38,0.0,0,2,0.0,0,0.0,717.8884,281.697,1597.0211147351379,0.0,1597.0211147351379,0.0,0.0,628.3724,1134.6228999999998,0.6175155936093106,95,3391.4925000000003,33,19331.265000000003,1,0.0,4,2490.8914999999997,2,989.681599999999,-9205.0113,22.637210308149953,89.0495,0,6,135,135,4 + theatres,debt,7,-7.275957614183426e-11
13,128,1,4,15769.803499999996,0.0,13086.958899999998,0.0,9676.7884,,0.0,9676.7884,0.0,0.0,0.0,0.0,0.00375,0.0001,0.0,0.0,1.0,603.3849809851307,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.6147457288100275,0.0,87.0,1.0,0.0,1.0,2,0,0,0.2560823961937716,8,78.68928833112061,1.5445750272299488,80.23386335835055,13.137982988485897,1.5445750272299488,14.682558015715847,1136.5825999999997,968.6515000000012,1448.7709,33.228,6,0,641.2848999999991,4195.4821,81.23379999999999,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,332.8014000000001,624.4135000000005,3033.0588000000002,52,1075.0292,792.3163,2017.1583999999998,177.63290000000015,0.0,0.0,0.0,0.0,0.0,0,3616.6502,0.0,0.0,0.0,0.0,421.15549999999985,629.9408000000006,0.015,5.54199669117647,6.27208613138686,1.7025189189189185,2.080691111111114,3.73370193432811,2.719862055102116,274.0,272.0,137.0,512.0,359.0,51.0,38,0,0,0,13,12.0,512.0,6268.753599999997,759.2248,4709.0948,190,2,0,33,0.38540217298937995,0.6690099095723712,0.33568378695883583,0,1169.3144000000004,1507.4230999999997,14,1,74.0,0,0,0,0.0,0,0.0,30005.514000000014,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,125.98639999999997,32.0,416.08,1,0.0,0.0,NaN,1280.0,100.0,0.14384855468749996,0,0,0.0,0,0.0,1280.0,0,0.152134921875,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,38,0.0,0,2,0.0,0,0.0,717.8884,276.57529999999997,1646.142293787378,0.0,1646.142293787378,0.0,0.0,1272.6883,1175.3048,0.658485064524809,95,3184.0945999999994,33,26821.41939999999,1,0.0,4,2648.6148,2,933.3351999999991,-9676.7883,23.99544292663895,126.45275,0,6,137,137,4 + theatres,debt,7,-7.275957614183426e-11
