rung,system,villagers,landowners,farms,bakeries,theatres,coops,ownership,founders,share_market,shows,seats_per_theatre,wage_tax,capital_tax,dividend_tax,consumption_tax,wealth_tax,public_jobs_share,benefit_loaves,bonds,reserve_rounds,tax_policy,levers,profit_tax,income_tax_period,profit_tax_period,deposit_interest,deposit_period,bank_rate_start,bank_rate_cap,government_rate,guaranteed_income,buffer,parking_fee,parking_tax,account_fee_person,account_fee_enterprise,charge_on_balances,price_bread,price_grain,price_wage,price_rent,price_ticket,unmet_share,unsold_share,ask_floor,bread_ceiling,planning_margin,greed
0 bare bones,debt,128,32,4,4,0,0,none,0,false,1,0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,false,0,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.0,
0 bare bones,sumsy,128,32,4,4,0,0,none,0,false,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,0,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,5.0,30.0,0.02,0.0,0.5,1.5,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.0,
1 + planning margin,debt,128,32,4,4,0,0,none,0,false,1,0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,false,0,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
1 + planning margin,sumsy,128,32,4,4,0,0,none,0,false,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,false,0,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,5.0,30.0,0.02,0.0,0.5,1.5,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
2 + government,debt,128,32,4,4,0,0,none,0,false,1,0,0.15,0.15,0.3,0.0,0.0,0.1,2.0,false,0,none,,0.1,1,1,0.0,1,0.005,0.015,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
2 + government,sumsy,128,32,4,4,0,0,none,0,false,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,false,0,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,5.0,30.0,0.02,0.01,0.5,1.5,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
3 + interest on deposits,debt,128,32,4,4,0,0,none,0,false,1,0,0.15,0.15,0.3,0.0,0.0,0.1,2.0,false,0,none,,0.1,1,1,0.01,12,0.005,0.015,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
3 + interest on deposits,sumsy,128,32,4,4,0,0,none,0,false,1,0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,false,0,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,5.0,30.0,0.02,0.01,0.5,1.5,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
4 + theatres,debt,128,32,4,4,2,0,none,0,false,1,80,0.15,0.15,0.3,0.0,0.0,0.1,2.0,false,0,none,,0.1,1,1,0.01,12,0.005,0.015,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
4 + theatres,sumsy,128,32,4,4,2,0,none,0,false,1,80,0.0,0.0,0.0,0.0,0.0,0.1,0.0,false,0,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,5.0,30.0,0.02,0.01,0.5,1.5,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
5 + government bonds,debt,128,32,4,4,2,0,none,0,false,1,80,0.15,0.15,0.3,0.0,0.0,0.1,2.0,true,0,none,,0.1,1,1,0.01,12,0.005,0.015,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
5 + government bonds,sumsy,128,32,4,4,2,0,none,0,false,1,80,0.0,0.0,0.0,0.0,0.0,0.1,0.0,false,0,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,5.0,30.0,0.02,0.01,0.5,1.5,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
6 + charge on balances,debt,128,32,4,4,2,0,none,0,false,1,80,0.15,0.15,0.3,0.0,0.0,0.1,2.0,true,0,none,,0.1,1,1,0.01,12,0.005,0.015,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.02,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
6 + charge on balances,sumsy,128,32,4,4,2,0,none,0,false,1,80,0.0,0.0,0.0,0.0,0.0,0.1,0.0,false,0,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,5.0,30.0,0.02,0.01,0.5,1.5,0.02,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
7 + two more theatres,debt,128,32,4,4,4,0,none,0,false,1,40,0.15,0.15,0.3,0.0,0.0,0.1,2.0,true,0,none,,0.1,1,1,0.01,12,0.005,0.015,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
7 + two more theatres,sumsy,128,32,4,4,4,0,none,0,false,1,40,0.0,0.0,0.0,0.0,0.0,0.1,0.0,false,0,none,,0.0,1,1,0.0,1,0.005,0.015,0.005,5.0,30.0,0.02,0.01,0.5,1.5,0.0,5.0,5.2,3.92,0.75,2.0,0.05,0.05,cost,2.0,0.1,
