round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,25689.488100000035,0.0,25799.384099999996,0.0,4153.6641,,0.0,4153.6641,0.0,0.0,0.0,0.0,0.00375,44.7321,0.0,0.0,1.0,4460.0012,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.5561385803152088,0.0,512.0,0.0,0.0,1.0,0,0,0,0.7109150813051333,0,7.843613725490198,3.266619607843137,11.110233333333335,1.184613725490197,3.204533333333333,4.38914705882353,0.0,0.0,0.0,0.0,0,0,0.0,0.0,44.732,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,109.89599999999999,109.896,0.0,3,4186.5041,476.21600000000007,5195.904400000001,351.0692,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3800.0,0.0,0.005,5.0,5.200000000000013,NaN,0.75,3.6544486692015257,3.920000000000001,320.0,97.0,160.0,2048.0,526.0,204.0,380,0,0,0,58,39.0,2048.0,20435.904000000013,2076.5528,3132.2992,768,0,0,128,0.03412448957329017,0.24210660239910298,0.059481764828969386,0,5535.904000000006,485.0,58,0,0.0,0,0,0,0.0,0,0.0,29050.90400000005,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,380,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8475010349991747,384,15183.375999999995,128,13867.527999999997,4,-7679.6872,4,-8724.340799999998,2,102.05600000000064,-4108.932,11.925,11.25,0,0,160,160,3 + interest on deposits,debt,7,5.820766091346741e-11
2,512,4,4,27516.35020000006,0.0,27704.372099999997,0.0,6414.2723,,0.0,6414.2723,0.0,0.0,0.0,0.0,0.00375,304.5363,0.0,0.0,1.0,2960.0011999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7355860528075433,0.0,929.0,1.0,0.0,1.0,0,0,0,0.2654205557851587,0,181.66410725490195,3.3137723529411764,184.97787960784314,2.28736843137255,3.330951372549019,5.618319803921569,0.0,0.0,0.0,0.0,0,0,0.0,0.0,304.53630000000004,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,188.0219,238.87330000000006,0.0,8,2531.4846000000002,704.6225000000002,7186.503699999999,979.9655000000168,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2300.0,0.0,0.005086477730209829,4.909157102539965,5.510649019607849,NaN,1.1301351528384278,3.545488967971504,3.8023999999999996,918.0,1063.0,459.0,2048.0,1124.0,204.0,230,0,0,1,45,34.0,2048.0,21655.740099999988,1822.4195,3733.6543,767,1,0,128,0.06615800870237587,0.6906113078398421,0.10158363060546227,0,6127.303499999975,5218.433999999983,45,0,0.0,0,0,0,0.0,0,0.0,251719.64849999797,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,230,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8053140358407616,384,15536.900399999948,128,236182.7480999998,4,-7468.460499999999,4,-7922.0257,2,180.57369999999793,-6109.736,12.640500000000001,300.0,0,0,459,459,3 + interest on deposits,debt,7,5.820766091346741e-11
3,512,4,4,30511.818200000227,0.0,30748.283499999998,0.0,7963.1478,,0.0,7963.1478,0.0,0.0,0.0,0.0,0.00375,256.9769,0.0,0.0,1.0,2584.195698306678,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.733403883608424,0.0,1037.0,0.0,0.0,1.0,0,0,0,0.2598340466416281,0,185.76704329306514,3.4350126334196665,189.20205592648483,3.1203403876696116,3.4646091842352607,6.584949571904872,0.0,0.0,0.0,0.0,0,0,0.0,0.0,256.9769,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,236.46529999999996,377.3704,0.0,10,3833.642,838.174,4943.9794,1019.8319000000341,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1936.184299999999,0.0,0.006821481090343,4.83234205607478,5.462212406015027,NaN,1.3352022598870048,3.446373914069842,3.6883279999999994,1064.0,1070.0,532.0,2046.6666666666667,1269.9999999999998,204.0,194,0,0,1,47,34.0,2048.0,22744.65030000007,3769.1652000000004,3741.0258000000003,767,1,0,128,0.08992225985080116,0.6900876587054701,0.11726391210159393,0,6259.219000000004,5170.606000000014,47,0,0.0,0,0,0,0.0,0,0.0,252808.08719999867,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,194,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8007491585030855,384,15906.111499999994,128,236901.97569999986,4,-7217.6311000000005,4,-7713.694199999998,2,229.40900000000167,-7706.1709,13.398930000000002,300.0,0,0,532,532,3 + interest on deposits,debt,7,5.820766091346741e-11
4,512,4,4,31616.88230000004,0.0,31895.266399999997,0.0,9546.3341,,0.0,9546.3341,0.0,0.0,0.0,0.0,0.00375,328.0923,0.0,0.0,1.0,2548.10037943134,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.7367581293736398,0.0,643.0,1.0,0.0,1.0,0,0,0,0.25748285322359393,0,262.5977754253518,3.357789060838485,265.9555644861903,5.200088605308002,3.367830268281283,8.567918873589285,0.0,0.0,0.0,0.0,0,0,0.0,0.0,328.09229999999997,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,278.3841,533.7282,0.0,12,2148.2782,1043.2141,3278.7754999999997,1075.8453999999726,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1910.2332,0.0,0.008779517960969214,5.459041574074075,5.4185495327102995,NaN,1.433062664165103,3.3081874227287216,3.5776781599999987,1070.0,1080.0,535.0,2046.6666666666667,1276.0,204.0,192,0,0,1,58,33.0,2048.0,23553.90619999999,3202.0688,4532.815,766,2,0,128,0.13798350611399823,0.707297906475975,0.11855779491915874,0,6147.547800000022,5895.764900000001,58,0,0.0,0,0,0,0.0,0,0.0,342946.7554000006,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7830465351641789,384,15579.18480000001,128,327367.57060000027,4,-6992.2228000000005,4,-6720.945000000001,2,271.7198000000011,-9218.2418,14.202865800000003,417.04045,0,0,535,535,3 + interest on deposits,debt,7,5.820766091346741e-11
5,512,4,4,37688.327899999946,0.0,37992.83089999999,0.0,11247.8582,,0.0,11247.8582,0.0,0.0,0.0,0.0,0.00375,332.5094,0.0,0.0,1.0,2779.3444742877646,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.735301123470042,0.0,629.0,0.0,0.0,1.0,0,0,0,0.25656943908214064,0,233.36773818580102,2.77476775794455,236.14250594374553,5.598641133460551,2.8198956249186296,8.41853675837918,0.0,0.0,0.0,0.0,0,0,0.0,0.0,332.5093,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,304.50299999999993,695.7661999999998,0.0,14,7222.031900000002,1150.5862999999997,7749.521700000001,1129.9720999999768,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2058.753100000007,0.0,0.010737959188979778,5.630387338262475,5.616894639556379,NaN,1.5690157699443412,3.4711565122497885,3.4703478152,1082.0,1082.0,541.0,2046.6666666666667,1288.0,204.0,190,0,0,2,57,36.0,2048.0,24048.996300000028,3148.4954,10158.3268,766,2,0,128,0.16715047639957326,0.7084782936965144,0.117185963769594,0,6577.840199999978,6092.079099999997,57,0,0.0,0,0,0,0.0,0,0.0,343432.1420999998,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,190,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7778110541544121,384,15431.78240000001,128,328000.35969999986,4,-6787.3724,4,-5740.586000000001,2,298.2306999999988,-10915.3488,15.055037748000004,417.04045,0,0,541,541,3 + interest on deposits,debt,7,5.820766091346741e-11
6,512,4,4,40546.67149999993,0.0,40918.431300000004,0.0,12999.7009,,0.0,12999.7009,0.0,0.0,0.0,0.0,0.00375,319.4677,0.0,0.0,1.0,2842.621614474154,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.99609375,0.7371738958174814,0.0,621.0,1.0,0.0,1.0,0,0,0,0.2567105951431018,0,289.49088539781917,2.534714688847715,292.02560008666694,7.480724319615641,2.6392909580431634,10.120015277658805,0.0,0.0,0.0,0.0,0,0,0.0,0.0,319.4676,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,371.75980000000004,912.3776999999999,0.0,20,4417.8089,1559.4653,5658.2351,1133.980600000002,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2099.412900000004,0.0,0.008381308467732516,5.643305004633924,5.609766111111102,NaN,1.7345700186219732,3.4979675183908987,3.3662373807439994,1080.0,1079.0,540.0,2045.3333333333333,1286.0,204.0,190,0,0,0,49,42.0,2048.0,25357.872199999994,2386.9354,12482.3962,765,3,0,128,0.21598143129776837,0.717945501140461,0.1245090579442607,0,6714.751899999973,6089.126100000004,49,0,0.0,0,0,0,0.0,0,0.0,433803.79410000046,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,190,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7686301368134083,384,15338.0755,128,418465.71859999996,4,-6522.3468,4,-4792.9624,2,365.8794999999998,-12680.2332,15.958340012880004,534.0809,0,0,540,540,3 + interest on deposits,debt,7,5.820766091346741e-11
7,512,4,4,43013.5392,0.0,43437.92619999999,0.0,14786.2153,,0.0,14786.2153,0.0,0.0,0.0,0.0,0.00375,299.3978,0.0,0.0,1.0,2874.958759239625,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.99609375,0.7359960558948038,0.0,445.0,0.0,0.0,1.0,0,0,0,0.257944555938719,0,289.60159690721645,2.5529124712664286,292.1545093784829,8.327062751946565,2.7154314414255745,11.04249419337214,0.0,0.0,0.0,0.0,0,0,0.0,0.0,299.3978,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,424.38700000000006,1147.6689000000006,0.0,22,4258.4353,1791.5676000000003,4779.305299999999,1133.3745000000008,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2130.0440000000003,0.0,0.010125390793291706,5.631467951127818,5.591406355140197,NaN,1.925590789473682,3.5544322575326595,3.2652502593216792,1070.0,1064.0,535.0,2048.0,1276.0,204.0,192,0,0,0,47,35.0,2048.0,26285.8416,2152.1689,14276.1309,765,3,0,128,0.23911545094215736,0.7183442351473082,0.13767560324848827,0,6855.937199999999,5991.8818999999985,47,0,0.0,0,0,0,0.0,0,0.0,434666.9191,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7652454709251595,384,15380.206100000007,128,419286.7130000001,4,-6498.6894999999995,4,-3926.1796,2,418.89870000000064,-14486.8175,16.915840413652806,534.0809,0,0,535,535,3 + interest on deposits,debt,7,5.820766091346741e-11
8,512,4,4,44045.37089999999,0.0,44514.7973,0.0,16601.1842,,0.0,16601.1842,0.0,0.0,0.0,0.0,0.00375,303.2856,0.0,0.0,1.0,2883.1410591261697,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.7362528072964603,0.0,408.0,1.0,0.0,1.0,0,0,0,0.2501076684576016,0,316.30840093696736,2.431902219921533,318.74030315688884,10.488150486855673,2.743030827865191,13.231181314720864,0.0,0.0,0.0,0.0,0,0,0.0,0.0,303.28560000000004,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,469.42640000000006,1401.6312000000007,0.0,29,3045.8588,2014.0270999999998,4280.284399999998,1145.9898000000017,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2139.7841999999982,0.0,0.011162936553521342,5.599559078341016,5.6922188432836105,NaN,1.996827631578948,3.5647409777377748,3.167292751542029,1072.0,1085.0,536.0,2048.0,1278.0,204.0,192,0,0,1,56,41.0,2048.0,28022.11989999998,1162.7960999999998,14557.1693,764,4,0,128,0.27907706118003395,0.7213450716200063,0.14188742980300662,0,6915.133099999985,6075.521600000002,56,0,0.0,0,0,0,0.0,0,0.0,471467.7901000003,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7616096321496755,384,15384.669799999998,128,456083.12030000007,4,-6508.5068,4,-3037.829900000001,2,464.33000000000027,-16297.8986,17.930790838471975,580.8436,0,0,536,536,3 + interest on deposits,debt,7,5.820766091346741e-11
9,512,4,4,45012.72499999997,0.0,45509.01019999996,0.0,18391.6861,,0.0,18391.6861,0.0,0.0,0.0,0.0,0.00375,293.282,0.0,0.0,1.0,2859.3160013451857,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.7355894205145732,0.0,418.0,0.0,0.0,1.0,0,0,0,0.25005296236141517,0,319.3773887983672,2.376678726839925,321.7540675252071,11.711329666401177,2.706849856250669,14.418179522651847,0.0,0.0,0.0,0.0,0,0,0.0,0.0,293.28200000000004,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,496.2852,1659.8117000000007,0.0,37,3127.4462,2160.0921,5073.6593,1141.8159999999991,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2120.172600000002,0.0,0.011610283706568521,5.587908029878615,5.935390740740752,NaN,2.0010345149253737,3.5648238971029262,3.072273968995767,1080.0,1071.0,540.0,2046.6666666666665,1286.0,204.0,190,0,0,1,55,34.0,2048.0,29019.882800000007,1059.6761,14639.8841,764,4,0,128,0.3023112556002683,0.7220208916486872,0.14479339918696255,1,6928.557899999983,5984.649499999997,55,0,0.0,0,0,0,0.0,0,0.0,472408.65960000025,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,190,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7590772570476856,384,15267.026700000011,128,457141.6328999998,4,-6353.203,4,-2360.7484999999997,2,491.58080000000024,-18098.4041,19.006638288780294,580.8436,0,0,540,540,3 + interest on deposits,debt,7,5.820766091346741e-11
10,512,4,4,46104.998300000014,0.0,46618.08120000002,0.0,20198.0617,,0.0,20198.0617,0.0,0.0,0.0,0.0,0.00375,298.1687,0.0,0.0,1.0,2859.87889525068,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.7348721366883539,0.0,443.0,0.0,0.0,1.0,0,0,0,0.25003110271173334,0,321.22995712614426,2.227747832182988,323.45770495832727,12.67348219808028,2.731455576471105,15.404937774551385,0.0,0.0,0.0,0.0,0,0,0.0,0.0,298.1687,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,513.0828999999999,1921.3201000000017,0.0,41,3400.4995000000013,2308.226200000001,4632.159600000001,1150.3461999999988,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2122.273899999998,0.0,0.01166806983541328,5.556985648574062,6.021492207792184,NaN,2.0304833644859825,3.5785876115867015,2.9801057499258943,1078.0,1087.0,539.0,2046.6666666666667,1283.9999999999998,204.0,190,0,0,2,54,45.0,2048.0,30054.298499999994,985.1666,14767.3645,764,4,0,128,0.3170525932434938,0.72270448625983,0.1464939049590026,0,6951.310399999984,6040.443400000006,54,0,0.0,0,0,0,0.0,0,0.0,473315.9391999997,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,190,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7564147314966063,384,15126.937699999993,128,458189.0015,4,-6169.288699999999,4,-1667.6432000000004,2,508.7705000000012,-19899.893,20.147036586107113,580.8436,0,0,539,539,3 + interest on deposits,debt,7,5.820766091346741e-11
11,512,4,4,47083.37090000005,0.0,47609.08159999999,0.0,22006.3841,,0.0,22006.3841,0.0,0.0,0.0,0.0,0.00375,279.8132,0.0,0.0,1.0,2855.5651680428655,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.7337354808722347,0.0,485.0,0.0,0.0,1.0,0,0,0,0.2504029097887913,0,323.54847485235257,2.26251506132941,325.81098991368196,13.362813482189322,2.7466010377291674,16.109414519918488,0.0,0.0,0.0,0.0,0,0,0.0,0.0,279.8132,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,525.7106999999999,2187.0494000000012,0.0,45,3448.6092,2470.2366000000015,5553.919199999999,1129.8783999999978,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2122.0432,0.0,0.012077788890048478,5.548412915479583,6.023042750929341,NaN,2.0369636704119833,3.5720666970450625,2.8907025774281183,1076.0,1053.0,538.0,2045.3333333333333,1282.0,204.0,190,0,0,1,47,28.0,2048.0,31197.791100000002,914.8497,14690.9169,764,4,0,128,0.330596616798867,0.7227308724033179,0.14869713725070466,0,6939.106699999989,5842.478800000001,47,0,0.0,0,0,0,0.0,0,0.0,474407.86289999954,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,190,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.753685712733857,384,15286.344,128,459121.51889999985,4,-5981.1818,4,-1134.0155999999997,2,521.7902000000033,-21726.5709,21.35585878127354,580.8436,0,0,538,538,3 + interest on deposits,debt,7,5.820766091346741e-11
12,512,4,4,48628.459599999966,0.0,48661.81430000001,0.0,23864.8696,,0.0,23864.8696,0.0,0.0,0.0,0.0,0.00375,290.0187,0.0,0.0,1.0,2874.488486379099,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.73165165947728,0.0,477.0,0.0,0.0,1.0,0,0,0,0.2500058409951325,0,324.5750186446849,2.333897575440471,326.90891622012543,13.924113004609497,2.9139374948583967,16.838050499467894,0.0,0.0,0.0,0.0,0,0,0.0,0.0,290.0186,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,33.35470000000013,2455.9673999999995,0.0,49,4178.289199999992,2633.2005,5565.810000000001,1136.2369000000008,0.0,501.7202999999999,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2142.094500000001,0.0,0.012084611844880116,5.506857209302322,6.161561682242995,NaN,2.0377681732580033,3.57319438728577,2.803981500105274,1070.0,1075.0,535.0,2046.6666666666665,1276.0,204.0,192,0,0,3,48,34.0,2048.0,32774.93170000003,918.8053,14644.7039,764,4,0,128,0.3369625818403592,0.7219834234053459,0.14815073016416713,0,7439.0476,5919.871499999997,48,0,0.0,0,0,0,0.0,0,0.0,475921.86549999984,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7502237660471269,384,15839.808900000004,128,460082.0566000001,4,-5718.8024,4,-570.1534000000006,2,29.826000000003507,-23574.8509,22.637210308149953,580.8436,0,0,535,535,3 + interest on deposits,debt,7,5.820766091346741e-11
13,512,4,4,49436.84840000009,0.0,49723.95890000001,0.0,25745.2785,,0.0,25745.2785,0.0,0.0,0.0,0.0,0.00375,285.8351,0.0,0.0,1.0,2856.806752316969,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.73103325293573,0.0,604.0,0.0,0.0,1.0,0,0,0,0.2500035068523896,0,328.0372275709491,2.233937620429902,330.271165191379,14.905343628840335,2.83158732216321,17.736930951003547,0.0,0.0,0.0,0.0,0,0,0.0,0.0,285.83509999999995,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,287.11050000000006,2728.4333000000006,0.0,54,3615.9878000000003,2807.5989999999993,4396.836499999998,1091.5369999999996,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2129.902099999998,0.0,0.011588541583290417,5.48517003745318,6.180399250936325,NaN,2.04183037735849,3.3666795015394295,2.719862055102116,1068.0,1068.0,534.0,2044.0,1274.0,204.0,192,0,0,2,45,35.0,2048.0,33653.745399999985,942.7783000000001,14554.4896,764,4,0,128,0.3525596317593498,0.7226201862152144,0.12482051075459766,0,6695.517799999996,5858.161599999997,45,0,0.0,0,0,0,0.0,0,0.0,476753.470899999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7481846533092065,384,15700.774699999989,128,461052.6961999997,4,-5436.4056,4,-50.29250000000002,2,280.5554000000025,-25459.4434,23.99544292663895,580.8436,0,0,534,534,3 + interest on deposits,debt,7,5.820766091346741e-11
