round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,25679.48810000005,0.0,25789.384099999996,0.0,4153.6641,,0.0,4153.6641,0.0,0.0,0.0,0.0,0.0025,44.7321,0.0,0.0,1.0,4460.0012,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.5503174141706015,0.0,512.0,0.0,0.0,1.0,0,0,0,0.8702001081665764,0,7.66498823529412,3.388156862745098,11.053145098039218,1.0994705882352946,3.276305882352941,4.375776470588236,0.0,0.0,0.0,0.0,0,0,0.0,0.0,44.732,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,109.89599999999999,109.896,0.0,2,4176.5041,476.21600000000007,4876.1043,351.0692,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3800.0,0.0,0.005,5.0,5.200000000000013,NaN,0.75,3.6544486692015257,3.920000000000001,320.0,86.0,160.0,2048.0,526.0,204.0,380,0,0,0,50,36.0,2048.0,20480.904000000013,2076.5528,3077.2992,768,0,0,128,0.031179082758322485,0.23911973658870922,0.05900686638645669,0,5535.904000000009,430.0,50,0,0.0,0,0,0,0.0,0,0.0,29105.904000000068,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,380,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8461444357506347,384,15263.343999999994,128,13842.559999999998,4,-7679.6872,4,-8779.340799999998,2,102.05600000000064,-4108.932,11.925,11.25,0,0,160,160,2 + government,debt,4,4.656612873077393e-10
2,512,4,4,27570.77620000005,0.0,27758.748099999997,0.0,6462.1097,,0.0,6462.1097,0.0,0.0,0.0,0.0,0.0025,307.421,0.0,0.0,1.0,3000.0011999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7413724140297302,0.0,915.0,1.0,0.0,1.0,0,0,0,0.26231150243872214,0,313.13681607843137,3.3002215686274505,316.43703764705884,2.716661764705883,3.3010413725490197,6.017703137254903,0.0,0.0,0.0,0.0,0,0,0.0,0.0,307.42100000000005,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,187.9719,238.82330000000002,0.0,4,2595.360600000001,704.0725,4598.435199999998,975.0128000000163,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2340.0,0.0,0.0033593543750245446,4.910322820037089,5.502881677704201,NaN,1.1242570796460176,3.545254676258967,3.8023999999999996,906.0,1078.0,453.0,2048.0,1112.0,204.0,234,0,0,1,46,45.0,2048.0,21857.16619999999,1599.1841,3807.0049,767,1,0,128,0.0753903150401598,0.7143273802626506,0.10028518071860537,0,6122.896799999979,5293.327999999981,46,0,0.0,0,0,0,0.0,0,0.0,419993.53539999755,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,234,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7839243705570711,384,15575.700399999952,128,404417.8350000002,4,-7472.557699999999,4,-7848.6751,2,180.52369999999866,-6154.6887,12.640500000000001,519.1382,0,0,453,453,2 + government,debt,4,4.656612873077393e-10
3,512,4,4,29918.975999999915,0.0,30155.636499999997,0.0,7975.8472,,0.0,7975.8472,0.0,0.0,0.0,0.0,0.0025,250.8866,0.0,0.0,1.0,2555.115075881259,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.740069908148987,0.0,1040.0,0.0,0.0,1.0,0,0,0,0.2579824869396832,0,319.56262919927195,3.4680508071930016,323.03068000646493,3.537493547926538,3.5014839750468387,7.038977522973377,0.0,0.0,0.0,0.0,0,0,0.0,0.0,250.8866,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,236.66050000000004,377.54069999999996,0.0,7,3189.2879000000003,841.0881000000004,6704.6725,1017.1529000000353,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1906.9502000000002,0.0,0.005922882477622467,4.830283050847414,5.460620747663525,NaN,1.340523595505619,3.4426109813832246,3.6883279999999994,1070.0,1062.0,535.0,2046.6666666666667,1275.9999999999998,204.0,191,0,0,1,48,36.0,2048.0,22980.726799999982,2933.199,3754.1636,767,1,0,128,0.0957146470871737,0.7138503008838462,0.11951236577469393,0,6249.296600000019,5129.760599999953,48,0,0.0,0,0,0,0.0,0,0.0,421112.91590000066,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,191,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7814775603634836,384,15963.959300000013,128,405148.95659999957,4,-7218.8656,4,-7700.5563999999995,2,229.60429999999997,-7724.9606,13.398930000000002,519.1382,0,0,535,535,2 + government,debt,4,4.656612873077393e-10
4,512,4,4,31052.9962,0.0,31326.5571,0.0,9557.5374,,0.0,9557.5374,0.0,0.0,0.0,0.0,0.0025,312.0066,0.0,0.0,1.0,2542.2067256469904,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.7434286229410605,0.0,774.0,1.0,0.0,1.0,0,0,0,0.25825591516425134,0,530.6790016798699,3.3848174731126566,534.0638191529825,6.87272170740523,3.4007126971739208,10.27343440457915,0.0,0.0,0.0,0.0,0,0,0.0,0.0,323.9882,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,273.5609,528.9788999999998,0.0,9,2142.7922,1008.7719999999999,4357.582,1061.5164999999988,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1904.6105999999995,11.9816,0.006412247345158333,5.454498137802605,5.432396641791015,NaN,1.4399026217228499,3.308051979169381,3.5776781599999987,1072.0,1074.0,536.0,2046.6666666666665,1278.0,204.0,192,0,0,0,50,36.0,2048.0,24469.6025,1773.8721,4497.514999999999,766,2,0,128,0.16593717524279583,0.7282876652633699,0.11908659990710202,0,6151.69870000002,5858.130999999998,50,0,0.0,0,0,0,0.0,0,0.0,674126.7613999995,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.768945480442315,384,15696.300399999995,128,658430.4610000001,4,-6973.283899999999,4,-6756.245000000001,2,266.8966999999986,-9245.530799999999,14.202865800000003,848.2013,0,0,536,536,2 + government,debt,4,4.656612873077393e-10
5,512,4,4,33601.450899999945,0.0,33898.78630000001,0.0,11279.4651,,0.0,11279.4651,0.0,0.0,0.0,0.0,0.0025,313.6044,0.0,0.0,1.0,2788.9316517772254,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.7443343901913926,0.0,763.0,1.0,0.0,1.0,0,0,0,0.2548114136646453,0,651.5965866768572,2.633676817039831,654.230263493897,7.12475605374519,2.7936383353827567,9.918394389127947,0.0,0.0,0.0,0.0,0,0,0.0,0.0,344.3362000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,297.33539999999994,686.2657999999996,0.0,14,3663.4351,1114.9804,5506.448100000001,1116.3902000000014,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,2068.939800000008,30.7319,0.008125394169678318,5.609465698729586,5.581481902985037,NaN,1.5714810861423216,3.4686497294130514,3.4703478152,1072.0,1102.0,536.0,2048.0,1278.0,204.0,192,0,0,1,62,53.0,2048.0,24929.911899999974,1755.243,6602.6916,766,2,0,128,0.1968865099857091,0.7349004105422918,0.11885010515254746,0,6550.239599999986,6181.631200000004,62,0,0.0,0,0,0,0.0,0,0.0,926557.4006999999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7619252154374965,384,15306.518000000007,128,911250.8827,4,-6107.1957999999995,4,-5636.3481999999985,2,291.0632000000036,-10965.8607,15.055037748000004,1177.2644,0,0,536,536,2 + government,debt,4,4.656612873077393e-10
6,512,3,4,37359.63219999995,0.0,34874.07,0.0,13005.1199,,0.0,13005.1199,0.0,0.0,0.0,0.0,0.0025,284.7008,0.0,0.0,1.0,2828.0732021414274,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.7423917248908563,0.0,764.0,1.0,0.0,1.0,0,0,0,0.2542932069290519,0,635.6919151756016,2.6175277899045755,638.3094429655062,7.734588838673147,2.791562050584227,10.526150889257375,0.0,0.0,0.0,0.0,0,0,0.0,0.0,284.70070000000004,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,325.62330000000003,857.1589999999998,2795.2272000000003,20,5021.990500000001,1263.8092000000001,6937.2922,1129.9094999999995,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,2087.6220000000067,0.0,0.007889262885955498,5.65343201133145,5.62780739371532,NaN,1.739085528756957,3.4876605374474985,3.3662373807439994,1082.0,1059.0,541.0,2046.6666666666667,1288.0,204.0,190,0,0,1,46,43.0,2048.0,25713.703000000016,1707.622,9653.6064,766,1,1,128,0.21799738756085163,0.7351242964138431,0.12650879687712124,0,6702.618100000009,5986.984500000006,46,0,0.0,0,0,0,0.0,0,0.0,929170.2011999999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,190,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7605440427727714,384,15272.915899999996,128,913897.2852999999,3,-4336.254,4,-4759.5882,2,-1311.699900000002,-12720.4191,15.958340012880004,1179.7425,0,1,406,541,2 + government,debt,4,4.656612873077393e-10
7,512,3,4,39291.21049999994,0.0,36847.490440012894,0.0,14821.8633,,0.0,14821.8633,0.0,0.0,0.0,0.0,0.0025,308.9743,0.0,0.0,1.0,2869.6274797209894,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.7409858175458628,1.0,801.0,2.0,0.0,1.0,0,0,0,0.2564758994208064,0,631.7787396790875,2.462134985827809,634.2408746649153,8.694990086657238,2.755639504819356,11.450629591476595,0.0,0.0,0.0,0.0,0,0,0.0,0.0,308.9741,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,351.5071,1042.6494999999993,2795.2272000000003,25,3423.4721,1491.8938000000003,4227.3774,1142.1852999999996,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2123.377300000007,0.0,0.007698700670496701,5.643301212686567,5.619721828358256,NaN,1.934068726591762,3.5382964988229664,3.2652502593216792,1072.0,1072.0,536.0,2046.6666666666667,1278.0,204.0,192,0,0,1,55,37.0,2048.0,26602.74089999997,1599.7311,10779.764200000001,766,2,0,128,0.24406377313273708,0.7354405296299935,0.1372183128070963,0,6844.901099999978,6049.6189,55,0,0.0,0,0,0,0.0,0,0.0,929963.873199999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7576660509904201,384,15241.364100000003,128,914722.5090999993,3,-3125.3678400128797,4,-3834.168099999999,2,-2449.2082599871205,-14512.889000000001,16.915840413652806,1179.7425,0,1,536,536,2 + government,debt,4,4.656612873077393e-10
8,512,3,4,42323.25779999996,0.0,39901.788000000015,0.0,16606.1922,,0.0,16606.1922,0.0,0.0,0.0,0.0,0.0025,297.7806,0.0,0.0,1.0,2861.586179056802,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.7404757322556121,0.0,419.0,0.0,0.0,1.0,0,0,0,0.25012936086930504,0,633.8254774090472,2.43265065513336,636.2581280641805,9.679707643382686,2.7425858822669467,12.422293525649632,0.0,0.0,0.0,0.0,0,0,0.0,0.0,297.7806,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,374.5553,1238.2569999999985,2795.2272000000003,28,4697.2017,1665.1543999999994,6445.938499999999,1140.173300000001,0.0,0.0,0.0,0.0,0.0,0,0.8476,0.0,0.0,0.0,0.0,2116.6704,0.0,0.009094427409939947,5.6113821763602285,5.717806679035247,NaN,1.9933623836126626,3.540126137129772,3.167292751542029,1078.0,1066.0,539.0,2046.6666666666667,1284.0,204.0,190,0,0,0,43,36.0,2048.0,27605.675399999993,1506.5288,12912.4254,766,2,0,128,0.2668288297883845,0.7356283119520866,0.14023457201793388,0,6890.2356999999965,5981.733400000004,43,0,0.0,0,0,0,0.0,0,0.0,930870.1807999989,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,190,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7561579205440399,384,15294.967100000007,128,915575.2136999998,3,-3062.7792999999992,4,-3031.0314999999996,2,-2425.7183999999997,-16308.411600000001,17.930790838471975,1179.7425,0,1,539,539,2 + government,debt,4,4.656612873077393e-10
9,512,3,4,44090.16179999999,0.0,41699.5065,0.0,18445.2691,,0.0,18445.2691,0.0,0.0,0.0,0.0,0.0025,313.8641,0.0,0.0,1.0,2889.777608097383,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.7401221818376722,0.0,427.0,0.0,0.0,1.0,0,0,0,0.2504462145026373,0,638.6528619227039,2.345409177501204,640.9982711002051,10.772748132788104,2.738928489767025,13.511676622555129,0.0,0.0,0.0,0.0,0,0,0.0,0.0,313.8641,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,406.1677000000001,1452.9943999999984,2795.2272000000003,31,3677.4256000000005,1910.5216000000007,4462.049799999999,1149.818600000001,0.0,0.0,0.0,0.0,0.0,0,0.8451,0.0,0.0,0.0,0.0,2149.0773000000036,0.0,0.008500933986856274,5.588774361313867,5.998532771535597,NaN,2.0057323308270654,3.536879785933718,3.072273968995767,1068.0,1096.0,534.0,2048.0,1274.0,204.0,193,0,0,2,60,50.0,2048.0,28465.450400000005,1540.9917,13769.0105,766,2,0,128,0.2903310444479208,0.7361023485357585,0.1415619166763029,0,6886.158399999959,6125.296699999998,60,0,0.0,0,0,0,0.0,0,0.0,931628.1209000002,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,193,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7546094988269592,384,15032.318399999998,128,916595.8025000002,3,-2872.5256000000004,4,-2187.435899999999,2,-2394.5144000000014,-18131.405000000002,19.006638288780294,1179.7425,0,1,534,534,2 + government,debt,4,4.656612873077393e-10
10,512,3,4,45267.141200000035,0.0,42900.83159999999,0.0,20248.5022,,0.0,20248.5022,0.0,0.0,0.0,0.0,0.0025,291.073,0.0,0.0,1.0,2873.2948348181853,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.7396940788187711,0.0,808.0,3.0,0.0,1.0,0,0,0,0.25019181942159474,0,648.9566803713475,2.3171969987040417,651.2738773700515,11.805275594113786,2.763175907326526,14.568451501440311,0.0,0.0,0.0,0.0,0,0,0.0,0.0,291.073,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,431.3113000000001,1677.045799999999,2795.2272000000003,32,3271.5350000000003,2094.5556000000006,4038.8166,1139.4922,0.0,0.0,0.0,0.0,0.0,0,0.8426,0.0,0.0,0.0,0.0,2135.5700000000015,0.0,0.009753484599285326,5.595813546566321,6.056585714285716,NaN,2.048097206703911,3.5485182365213572,2.9801057499258943,1078.0,1063.0,539.0,2045.3333333333333,1284.0,204.0,191,0,0,0,49,40.0,2048.0,29521.531199999976,1585.8563,13867.8381,766,2,0,128,0.3049778624901578,0.7363770095459088,0.14132254893264018,0,6943.278299999969,5948.349799999999,49,0,0.0,0,0,0,0.0,0,0.0,942170.306000001,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,191,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7531294683489524,384,15126.747999999994,128,927043.5580000003,3,-2646.9332,4,-1578.1163999999999,2,-2369.7792000000018,-19957.4292,20.147036586107113,1192.211,0,1,539,539,2 + government,debt,4,4.656612873077393e-10
11,512,3,4,46492.582199999975,0.0,44143.17369999998,0.0,22089.5789,,0.0,22089.5789,0.0,0.0,0.0,0.0,0.0025,300.1412,0.0,0.0,1.0,2880.3074802530673,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.7391420866812226,0.0,845.0,0.0,0.0,1.0,0,0,0,0.2500025625168699,0,648.7960619032099,2.186180915877794,650.9822428190876,12.251083747102896,2.7449880251810743,14.99607177228397,0.0,0.0,0.0,0.0,0,0,0.0,0.0,300.1412,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,449.01030000000014,1906.5716999999993,2795.2272000000003,34,3479.1072,2253.6662,4397.745399999999,1149.5400000000009,0.0,0.0,0.0,0.0,0.0,0,0.8401,0.0,0.0,0.0,0.0,2141.6575000000016,0.0,0.01037015361616387,5.573910720887239,6.001856215213345,NaN,2.0470344506517697,3.5540527945068154,2.8907025774281183,1078.0,1082.0,539.0,2048.0,1284.0,204.0,191,0,0,2,55,45.0,2048.0,30523.11469999999,1615.9922,14052.493999999999,766,2,0,128,0.31917353546578076,0.7365321490910495,0.1422034329577624,0,6954.920900000015,6030.971399999993,55,0,0.0,0,0,0,0.0,0,0.0,943090.0596000006,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,191,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75158615611326,384,15153.8588,128,927936.2007999999,3,-2461.0065,4,-869.0788000000002,2,-2352.488599999998,-21789.437700000002,21.35585878127354,1192.211,0,1,539,539,2 + government,debt,4,4.656612873077393e-10
12,512,3,4,48245.2402,0.0,45908.448800000006,0.0,23913.0409,,0.0,23913.0409,0.0,0.0,0.0,0.0,0.0025,293.8933,0.0,0.0,1.0,2861.073464764937,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.738657281136192,0.0,832.0,0.0,0.0,1.0,0,0,0,0.2500058409951325,0,652.1810944146242,2.1104468201798317,654.2915412348041,13.019964305402285,2.7201968371879532,15.740161142590237,0.0,0.0,0.0,0.0,0,0,0.0,0.0,293.8932,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,462.42530000000005,2141.896299999999,2795.2272000000003,36,4175.491399999999,2422.833399999999,4932.119499999999,1141.8098000000002,0.0,0.0,0.0,0.0,0.0,0,0.8377,0.0,0.0,0.0,0.0,2125.315199999999,0.0,0.010495892481873723,5.53508269767442,6.1192260223048365,NaN,2.0303328358208965,3.560463350356564,2.803981500105274,1076.0,1075.0,538.0,2045.3333333333335,1282.0,204.0,190,0,0,1,58,39.0,2048.0,31557.087099999975,1713.9135,14679.508600000001,766,2,0,128,0.3346734469738475,0.7367103715403338,0.14633334507073226,0,6930.171299999985,5950.213900000002,58,0,0.0,0,0,0,0.0,0,0.0,944064.9887000003,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,190,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7502663152513542,384,15042.786599999998,128,929022.2020999998,3,-2207.2943999999998,4,-281.01680000000033,2,-2339.481899999997,-23619.1476,22.637210308149953,1192.211,0,1,538,538,2 + government,debt,4,4.656612873077393e-10
13,512,3,4,49417.10400000017,0.0,47095.22769999999,0.0,25736.0237,,0.0,25736.0237,0.0,0.0,0.0,0.0,0.0025,293.4801,0.0,0.0,1.0,2845.921644052791,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.7382553444313038,0.0,834.0,1.0,0.0,1.0,0,0,0,0.2500006441965194,0,663.466704926471,2.0786056053692916,665.5453105318403,14.23026651324974,2.7749945843189283,17.005261097568667,0.0,0.0,0.0,0.0,0,0,0.0,0.0,293.4799,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,478.13829999999984,2388.147099999999,2795.2272000000003,38,3803.3070000000002,2631.4431999999956,4533.660999999997,1142.0908000000013,0.0,0.0,0.0,0.0,0.0,0,0.8352,0.0,0.0,0.0,0.0,2115.2906000000035,0.0,0.010407444864624641,5.516894717330867,6.180883333333344,NaN,2.0410628252788077,3.5453557149505173,2.719862055102116,1080.0,1079.0,540.0,2046.6666666666665,1286.0,204.0,190,0,0,2,56,40.0,2048.0,32595.303400000055,1848.8400000000001,14678.6453,766,2,0,128,0.3498945674002194,0.7369963696132604,0.14665461290482806,0,6924.099200000007,5952.729400000006,56,0,0.0,0,0,0,0.0,0,0.0,952980.1108000015,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,190,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7493124689177884,384,15149.755599999991,128,937830.3552000005,3,-1895.8213999999998,4,270.6682999999998,2,-2324.177299999997,-25442.5436,23.99544292663895,1202.58885,0,1,540,540,2 + government,debt,4,4.656612873077393e-10
