round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,26704.437799999945,0.0,1130.4003,1130.4003,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,1683.0096,1683.0,499.6608000000053,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7081504186268035,0.0,672.0,1.0,2668.5,1.0,0,0,0,1.0,355,199.03592639040778,2.8520765535690433,201.88800294397683,7.194245686274509,0.4865292156862745,7.680774901960784,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,48,2560.0,280.8422,1130.4003,2787.171100000004,0.0,0.0,0.0,0.0,0.0,0,258.1752,2560.0,280.8422,118.67109999999997,274.0,0.0,0.0,0.0,5.0,5.200000000000013,2.0,0.75,3.594822888283399,3.9200000000000013,320.0,71.0,160.0,2048.0,734.0,204.0,328,0,0,0,42,29.0,2048.0,15902.747999999987,2046.3409,4246.2723,767,1,0,128,0.26640487744830277,0.7081504186268035,0.6571601930058748,62,5268.522599999996,355.0,42,0,520.0,0,0,0,0.0,0,0.0,256266.29104356238,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1040.0,208.0,2567.8918000000003,4,28.729,28.7288,0.5001852072052015,5120.0,86.77734375,0.1360938264973958,326,0,0.0,0,3739.089265607058,4443.0,314,0.4853352864583333,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,0,12,0.0,0,0.0,1200.0,66.5,331.7607000000006,0.0,331.7607000000006,0.0,28.729,10721.980899999997,8860.505,0.7129096936954251,384,14344.37694213433,128,241921.91410142803,4,295.40020000000004,4,88.70000000000005,2,258.1752,1683.0096,11.925,300.0,0,0,160,160,"NLD10 levy and land dividend, market entry",sumsy,1,-4.3655745685100555e-11
2,512,4,4,28939.660399999997,0.0,3803.7422999999985,2726.5120000000006,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,1683.0173,1683.0,2249.0111999999854,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9934895833333334,0.7149269532743345,0.0,956.0,0.0,2766.888499999998,1.0,0,0,0,0.25295529212022366,404,242.22477243063275,2.938282760858451,245.16305519149122,8.778158627450981,0.935856862745098,9.71401549019608,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-10.634000000000018,0.0,48,2560.0,324.7773999999992,2726.512,2889.5245000000004,0.0,0.0,0.0,0.0,0.0,12,400.5253,2560.0,324.7773999999992,122.63600000000015,274.0,0.0,0.0,0.015,4.893999999999954,5.505243820224716,2.2077283333333333,1.1345168181818175,3.539260357142827,35.58676388888889,890.0,1094.0,445.0,2048.0,1120.0,204.0,232,0,0,2,59,42.0,2048.0,18594.764700000003,1636.5031,6342.1859,763,5,0,128,0.2664409901650808,0.7149269532743345,0.4777337375766251,31,6956.48269999998,5354.03599999995,59,0,60.0,0,0,0,0.0,0,0.0,282141.8815961674,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,132.4637,24.0,282.6641,4,3.6199000000000003,3.619700000000001,0.7683634482675203,5120.0,70.34016927083333,0.1215835205078125,289,0,0.0,0,8445.257150716898,3601.4166666666665,374,0.756713967314624,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,232,0.0,0,12,0.0,0,0.0,1200.0,794.3722999999998,9562.738111716693,0.0,9562.738111716693,0.0,3.6199000000000003,15124.50570000001,8261.3531,0.7173236295015704,384,19026.374564422058,128,263115.5070317451,4,280.98019999999997,4,84.2650000000001,2,400.5253,1683.0173,12.640500000000001,300.0,0,0,445,445,"NLD10 levy and land dividend, market entry",sumsy,1,-4.3655745685100555e-11
3,512,4,4,31131.677599999784,0.0,7473.241400000003,3861.8248,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,1671.1184,1671.1067999999996,3635.353600000019,1.0,549.1067999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9908854166666666,0.7206202539297768,0.0,1039.0,2.0,4150.3291999999965,1.0,0,1,0,0.2545823819336155,408,357.82023096597896,4.052698448317372,361.8729294142963,3.356932458312331,1.5372148368951322,4.894147295207463,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-46.79954281895507,0.0,90,2560.0,367.98279999999994,6555.693599999999,4280.400299999992,0.0,0.0,0.0,0.0,0.0,29,84.97540000000001,2560.0,367.98279999999994,130.07110000000006,274.0,0.0,14.971599999999999,0.015,4.8200606343283425,5.461017896678944,2.371528723404247,1.3462597014925375,3.5799186015831372,39.24893092307692,1084.0,1072.0,542.0,2045.3333333333333,1516.0,204.0,132,0,0,0,56,34.0,2048.0,17394.611899999978,2819.6808,7542.4659,761,6,1,128,0.12582815983639706,0.7206202539297768,0.3306803845563633,5,8697.390300000015,5167.104999999983,56,0,564.0,0,0,0,0.0,0,0.0,393472.67863279517,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1337.5421999999953,226.0,1618.8251999999998,5,0.0,0.0,0.9625541151171073,5120.0,70.74669471153847,0.13791736478365385,165,0,0.0,0,1246.0297095105534,3622.230769230769,378,0.8569675273248104,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,132,0.0,0,13,0.0,0,0.0,1635.3292000000001,1212.0552999999998,13159.9011255489,0.0,13159.9011255489,0.0,0.0,14378.919899999999,11980.9719,0.7240636675135346,384,24944.627053694814,128,368528.05157910037,4,266.78520000000003,4,79.82999999999993,2,899.3647,1671.1184,13.398930000000002,413.864,0,0,542,542,"NLD10 levy and land dividend, market entry",sumsy,1,-4.3655745685100555e-11
4,512,4,4,33266.54599999995,0.0,10689.79573,3567.6441999999997,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,1658.9789,1658.936925,3875.9424000000427,1.0,540.8091000000003,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9856770833333334,0.7138336275124142,1.0,1029.0,1.0,4360.616100000001,1.0,0,1,0,0.25513228805252863,414,353.8093952283452,4.877887453315869,358.68728268166103,3.147669906031322,1.1708747426760093,4.318544648707332,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-117.0304428189551,0.0,166,2560.0,425.13159999999993,6616.808799999999,4516.9918,0.0,0.0,0.0,0.0,0.0,60,271.3088,2560.0,425.13159999999993,156.37570000000005,275.5,0.0,64.2543,0.015,5.456578913443833,5.439168634686351,2.454091777188337,1.4434026365348407,3.410653582394335,38.293015696153844,1084.0,1086.0,542.0,2048.0,1592.0,204.0,113,0,0,2,55,43.0,2048.0,16646.224800000004,2734.7692,9416.178899999999,757,11,0,129,0.12875448416988822,0.7138336275124142,0.2867374288079425,23,8751.935099999966,5925.844700000002,55,0,754.0,0,0,0,0.0,0,0.0,368695.43731047143,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1850.385200000006,302.0,2539.0854000000004,5,0.0,0.0,1.153325196972229,5120.0,70.14122596153847,0.15474756565504807,269,0,0.0,0,584.2047600528515,3591.230769230769,385,1.2571272956274124,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,113,0.0,0,13,0.0,0,0.0,1635.3292000000001,1405.8197000000002,11263.901420009513,0.0,11263.901420009513,0.0,0.0,14353.923800000004,14690.033499999998,0.7170567231037015,383,28784.579974014025,129,339910.85733645747,4,252.61520000000007,4,75.51999999999998,2,750.1821299999999,1658.9789,14.202865800000003,356.932,0,0,542,542,"NLD10 levy and land dividend, market entry",sumsy,1,-4.3655745685100555e-11
5,512,4,4,35369.72000000003,0.0,13400.548399999983,3340.325800000003,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,1694.5209,1694.4872400000004,3660.2879999999586,1.0,612.2295000000003,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9713541666666666,0.7117249758141588,0.0,1008.0,0.0,4242.5318000000025,1.0,0,1,0,0.2534801889197494,417,316.9146866906885,5.009694141918254,321.92438083260674,2.4362302028087424,1.196427843294247,3.632658046102989,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-218.79637212983812,0.0,291,2560.0,456.82599999999957,4859.909799999991,4416.650200000006,0.0,0.0,0.0,0.0,0.0,63,156.1134,2560.0,456.82599999999957,174.1183999999996,275.5,0.0,91.0084,0.015,5.648181959706957,5.574494413407794,2.532161485557086,1.5778293103448273,3.4569028988468418,37.14422522526923,1074.0,1092.0,537.0,2045.3333333333333,1571.0,204.0,118,0,0,0,61,50.0,2048.0,17033.41160000001,1348.2371999999998,12100.2542,746,17,5,133,0.11337998737654398,0.7117249758141588,0.3089458675491046,20,8809.316899999998,6167.814699999996,61,0,727.0,0,0,0,0.0,0,0.0,370561.14600203186,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1840.8814000000013,291.0,3037.1827,5,32.304199999999994,32.308300000000116,1.2052142323021544,5120.0,69.89483173076923,0.18323241135817303,42,0,0.0,0,279.5857205387505,3578.6153846153848,389,1.6207728584609968,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,118,0.0,0,13,0.0,0,0.0,1635.3292000000001,2002.8635999999972,8779.2635837485,0.0,8779.2635837485,0.0,32.304199999999994,14752.4841,16485.6741,0.7137401896676321,379,30524.842419635323,133,340036.3035823963,4,230.12019999999995,4,71.08500000000004,2,2667.0238,1694.5209,15.055037748000004,356.932,0,0,537,537,"NLD10 levy and land dividend, market entry",sumsy,1,-4.3655745685100555e-11
6,512,4,4,37438.979099999946,0.0,14874.977688740004,2277.2207999999982,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,1728.9458,1728.9357,3073.996800000018,1.0,633.7260000000001,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,0.9518229166666666,0.6499763530735654,5.0,1008.0,5.0,3642.2884999999965,1.0,0,2,0,0.2553812243587489,421,157.74906516945168,5.121400981822181,162.87046615127383,3.794152156850438,1.1735216345321295,4.967673791382568,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-346.8832161824058,0.0,321,2560.0,490.74089999999984,4505.3012,3839.155199999998,0.0,0.0,0.0,0.0,0.0,73,180.8082,2560.0,490.74089999999984,196.86669999999998,275.5,0.0,75.4024,0.015,5.656042355175694,5.64920996309963,2.587679347826089,1.7267932432432456,3.331810519240111,39.715065684805666,1084.0,1053.0,542.0,2048.0,1475.0,204.0,143,0,0,0,51,28.0,2048.0,18818.366400000014,443.554,13662.689,731,24,13,138,0.1499933061031733,0.6499763530735654,0.30503627189633753,11,8323.44770000003,5955.812600000007,51,0,460.0,0,0,0,0.0,0,0.0,139683.2675703382,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1190.332500000001,185.0,2604.6157,6,44.846399999999996,44.85070000000042,1.55221587404673,5120.0,71.19698660714286,0.08643227842092636,292,0,0.0,0,1450.365874813203,3645.285714285714,395,1.6554470785610167,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,143,0.0,0,14,0.0,0,0.0,1998.304,2783.6896000000006,8776.17280625061,0.0,8776.17280625061,0.0,44.846399999999996,16582.23840000001,16710.8587,0.6533658058542515,374,35004.17536051737,138,104679.09220982101,4,215.92520000000005,4,66.77500000000009,2,1288.109779464,1728.9458,15.958340012880004,15.055037748000004,0,0,542,542,"NLD10 levy and land dividend, market entry",sumsy,1,-4.3655745685100555e-11
7,512,4,4,39464.68070000001,0.0,15833.642020167455,1665.3558999999996,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,1753.9314,1753.9198714285717,2669.363200000016,1.0,634.6083000000006,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9453125,0.65501997298545,13.0,886.0,13.0,3195.424099999994,1.0,0,2,0,0.25035444234404536,421,172.01046250847776,5.34125112218264,177.3517136306604,5.01921699641989,1.061247668913439,6.080464665333329,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-488.5687417896433,0.0,343,2560.0,534.2983999999996,1864.0233999999991,3418.034999999998,0.0,0.0,0.0,0.0,0.0,86,239.06529999999998,2560.0,534.2983999999996,222.61090000000007,277.0,0.0,64.1625,0.015,5.624639855072462,5.645398701298701,2.5528747884940777,1.89271235059761,3.33812797649612,38.71137565603999,1078.0,1104.0,539.0,2048.0,1521.0,204.0,131,0,0,2,62,48.0,2048.0,19020.164500000003,1284.3503,14397.706000000002,726,37,5,144,0.18595327748865875,0.65501997298545,0.24464162159625502,29,8527.587000000025,6209.602399999998,62,0,591.0,0,0,0,0.0,0,0.0,152872.4020128342,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1508.749,237.0,2769.4631999999997,6,108.3004,108.30130000000017,1.6156971618789568,5120.0,68.85463169642857,0.11046288588600893,407,0,0.0,0,4250.094493121456,3525.3571428571427,396,1.8666803329080486,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,131,0.0,0,14,0.0,0,0.0,1998.304,3261.632399999997,7167.315179283181,0.0,7167.315179283181,0.0,108.3004,16780.134899999994,18451.5195,0.6582176090984893,368,38711.26081099861,144,114161.14120183575,4,201.9552,4,62.465000000000146,2,1561.12022023184,1753.9314,16.915840413652806,15.958340012880004,0,0,539,539,"NLD10 levy and land dividend, market entry",sumsy,1,-4.3655745685100555e-11
8,512,4,4,41451.79380000002,0.0,15821.244561654603,1009.1239999999997,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,1771.3574,1771.3365000000001,2667.468799999988,1.0,631.0842999999993,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9453125,0.6661449049654742,5.0,478.0,5.0,3163.077999999996,1.0,0,2,0,0.25436727364689554,421,192.2746064776901,5.229343391444098,197.50394986913417,7.371448868970306,1.0901719341682057,8.461620803138512,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-638.4639659139439,0.0,369,2560.0,572.8869000000001,2570.4826999999996,3405.0063999999993,0.0,0.0,0.0,0.0,0.0,95,388.80150000000003,2560.0,572.8869000000001,241.9283999999999,277.0,0.0,109.4478,0.015,5.536361646398499,5.5748769372693445,2.5874905838041404,1.9537904761904776,3.3132918774045366,37.550034386358796,1084.0,1069.0,542.0,2045.3333333333333,1503.0,204.0,134,0,0,1,53,41.0,2048.0,20731.209699999992,686.8225,14972.068200000002,726,38,4,159,0.23363835501774566,0.6661449049654742,0.2742269437635112,25,8431.433900000002,5918.370599999995,53,0,531.0,0,0,0,0.0,0,0.0,167610.49543466282,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1373.9574999999986,213.0,2901.5344999999998,6,195.0872,195.08699999999996,1.8042181005436142,5120.0,64.99860491071429,0.11848703990638168,432,0,0.0,0,4973.529218067441,3327.9285714285716,398,1.9557111025183256,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,134,0.0,0,14,0.0,0,0.0,1998.304,3550.409061654612,7995.253276361307,0.0,7995.253276361307,0.0,195.0872,17699.415499999992,18560.4252,0.6690535274780451,353,40389.68433218433,159,127220.81110247821,4,187.76020000000005,4,58.1550000000002,2,1798.8878217061313,1771.3574,17.930790838471975,15.958340012880004,0,0,542,542,"NLD10 levy and land dividend, market entry",sumsy,1,-4.3655745685100555e-11
9,512,4,4,43401.947900000014,0.0,15630.214881676964,863.9781999999997,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,1781.6112,1781.5813333333335,2784.3071999999916,1.0,621.1799999999998,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.94140625,0.6663965507378693,4.0,474.0,4.0,3247.7938999999933,1.0,0,3,0,0.25520874566726676,425,205.1655341051777,4.924853227446348,210.09038733262403,8.162576503576785,1.161159517783626,9.323736021360412,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-787.2707901613231,0.0,398,2560.0,609.8459,2371.931,3507.057699999993,0.0,0.0,0.0,0.0,0.0,109,331.7704,2560.0,609.8459,259.2638,277.0,0.0,108.62249999999999,0.015,5.474435899814479,5.629091061452475,2.645053333333337,1.9537162324649293,3.3730372818232577,39.32666127699094,1074.0,1078.0,537.0,2046.6666666666665,1539.0,204.0,126,0,0,1,58,38.0,2048.0,21743.780100000004,889.8912,15061.1316,723,38,7,175,0.2482322670076611,0.6663965507378693,0.2947263619612983,27,8617.305599999987,5901.441900000008,58,0,645.0,0,0,0,0.0,0,0.0,175932.51356419848,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1706.0594000000021,259.0,3593.7634,7,226.70980000000003,226.71300000000056,1.9191613088248203,5120.0,63.165364583333336,0.13211223724595628,391,0,0.0,0,4774.006826350993,3234.0666666666666,405,1.9258347653180166,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,0,15,0.0,0,0.0,2296.5004,3939.592781676944,7614.836004106877,0.0,7614.836004106877,0.0,226.70980000000003,18097.7175,19544.7862,0.6680619223645003,337,41940.20373928187,175,133992.30982491645,4,173.59020000000004,4,350.0371,2,1942.609861767104,1781.6112,19.006638288780294,15.958340012880004,0,0,537,537,"NLD10 levy and land dividend, market entry",sumsy,1,-4.3655745685100555e-11
10,512,4,5,45315.65960000003,0.0,15463.105629732683,892.8374999999999,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,1787.7391,1787.69334,2520.3712000000073,1.0,614.2337999999999,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9453125,0.6647442073773653,7.0,477.0,8.0,2946.1496999999868,1.0,0,4,0,0.2560159123386254,426,211.03406647132294,4.658810479361897,215.69287695068482,9.012286956647705,1.2534823585681145,10.26576931521582,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-937.5748611070238,0.0,437,2560.0,646.2882999999999,2636.0838000000017,3226.440299999989,0.0,0.0,0.0,0.0,0.0,75,296.0286,2560.0,646.2882999999999,280.2906000000002,278.5,0.0,121.1078,0.015,5.416682132834422,5.744753789279137,2.6521662704309046,1.9519703777335984,3.327766115506587,36.098883805986716,1082.0,1069.0,541.0,2046.6666666666667,1557.9999999999998,204.0,122,0,0,2,45,40.0,2048.0,22377.212700000004,1173.7317,16129.600400000001,726,38,4,192,0.2675125575141031,0.6647442073773653,0.30294870162012755,20,8602.018899999977,5790.433199999998,45,0,673.0,0,0,0,0.0,0,0.0,180708.60120218084,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1784.9078999999988,270.0,3551.3471,7,220.84889999999996,220.84499999999986,1.8512724412968935,5120.0,58.074951171875,0.14819335981102058,479,0,0.0,0,6456.441235753149,2973.4375,408,1.9016829587884356,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,122,0.0,0,16,0.0,0,0.0,3255.8792,4380.688991443904,7656.0673690671665,0.0,7656.0673690671665,0.0,220.84889999999996,18843.40209999999,20854.679200000002,0.6665476928161724,320,41629.578966438115,192,139079.02223574245,4,159.3952,5,400.4548999999997,2,2135.0467913872935,1787.7391,20.147036586107113,16.915840413652806,0,0,541,581,"NLD10 levy and land dividend, market entry",sumsy,1,-4.3655745685100555e-11
11,512,4,5,47194.44589999999,0.0,16022.142346344433,1614.7690999999998,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,1790.9664,1790.9262272727274,2208.409600000003,1.0,607.7516999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,0.9361979166666666,0.6722986484528737,4.0,483.0,4.0,2596.8839999999846,1.0,0,4,0,0.20005565857928037,428,227.054441768216,4.099936015247976,231.15437778346399,12.78738882763099,1.189825380981046,13.977214208612036,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-1082.352167366474,0.0,467,2560.0,681.2136999999998,3127.8176000000008,2898.123299999983,0.0,0.0,0.0,0.0,0.0,111,446.3596,2560.0,681.2136999999998,301.2393000000002,280.0,0.0,88.86630000000001,0.015,5.37582446709917,5.793066168224286,2.6705011299435064,1.9532719758064516,3.2374786670946527,35.021504990088225,1070.0,1079.0,535.0,2045.3333333333333,1489.0,204.0,139,0,0,2,55,42.0,2048.0,24106.395899999992,1494.7386999999999,15588.0056,719,39,10,199,0.32379915253469904,0.6722986484528737,0.34512035578141864,28,8186.06490000001,5800.514600000004,55,0,531.0,0,0,0,0.0,0,0.0,190139.91959544466,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1418.0361000000019,213.0,3767.9797,7,454.90860000000004,454.9025999999996,1.8430030999485691,5120.0,52.27294921875,0.14498231615657167,378,0,0.0,0,8326.380573336048,2676.375,413,2.052359956311687,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,139,0.0,0,16,0.0,0,0.0,3255.8792,4450.4265097583175,7869.181161086717,0.0,7869.181161086717,0.0,454.90860000000004,19207.880600000008,20850.724000000002,0.6730531093796519,313,43620.99298504078,199,146518.92661040404,4,145.20019999999997,5,1976.4835999999991,2,2326.3286504809566,1790.9664,21.35585878127354,16.915840413652806,0,0,535,535,"NLD10 levy and land dividend, market entry",sumsy,1,-4.3655745685100555e-11
12,512,4,5,49035.95799999997,0.0,16342.611287812751,1458.3583,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,1792.4932,1792.474075,2298.060799999996,1.0,603.1668000000001,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,0.9205729166666666,0.6614447905460734,10.0,857.0,10.0,2663.7947000000104,1.0,0,5,0,0.20772540409523746,431,234.79599077891328,4.302816894477298,239.09880767339055,11.67925020689661,1.283578945010208,12.962829151906819,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-1234.5003662728693,0.0,513,2560.0,718.4878999999996,4303.287200000001,2982.9438000000055,0.0,0.0,0.0,0.0,0.0,101,514.2693,2560.0,718.4878999999996,319.1491,280.0,0.0,135.68690000000004,0.015,5.288324219489116,5.717187686567162,2.7105560000000026,1.9501885010266942,3.287844918374884,36.26591940917939,1072.0,1057.0,536.0,2045.3333333333333,1488.0,204.0,139,0,0,1,48,28.0,2048.0,25083.503300000004,1801.8145,15650.2556,707,49,12,206,0.31309476267197933,0.6614447905460734,0.3703297133251957,22,8220.661700000002,5589.758699999996,48,0,525.0,0,0,0,0.0,0,0.0,200751.94054570398,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1423.0419000000013,210.0,4193.6221000000005,8,423.21199999999993,423.22179999999946,1.9548385134631876,5120.0,53.361672794117645,0.1433617550927435,134,0,0.0,0,2080.270006127814,2732.1176470588234,416,1.8912995280913905,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,139,0.0,0,17,0.0,0,0.0,3508.4024,4522.447999999997,6799.059061955737,0.0,6799.059061955737,0.0,423.21199999999993,21305.195200000002,21645.692199999994,0.663074834820093,306,46419.732721080414,206,154332.20782462356,4,131.0052,5,2623.3630000000003,2,2513.048077874399,1792.4932,22.637210308149953,17.930790838471975,0,0,536,536,"NLD10 levy and land dividend, market entry",sumsy,1,-4.3655745685100555e-11
