round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,26303.658500000034,0.0,26425.7849,0.0,3512.26,,0.0,2216.0725,1296.1875,0.0,1296.1875,0.0,0.00375,46.932,0.0,0.0,1.0,3940.0011999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.41493430288462996,0.0,512.0,0.0,0.0,1.0,0,0,0,0.6898275686154474,280,25.95714176568298,3.3281899327247033,29.28533169840768,6.890092941176471,2.958042549019608,9.848135490196078,0.0,0.0,0.0,0.0,0,0,0.0,0.0,46.932,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,122.12639999999999,122.12639999999999,0.0,4,2407.5925000000007,529.2139999999999,3212.7927000000004,474.6732000000045,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3280.0,0.0,0.005,5.0,5.200000000000013,2.0,0.75,3.729700272479588,3.9200000000000013,320.0,99.0,160.0,2048.0,734.0,204.0,328,0,0,0,60,39.0,2048.0,20548.67250000001,136.1396,3497.446,760,8,0,128,0.20535043049351764,0.41493430288462996,0.07203417229461717,0,5703.860000000014,495.0,60,0,12.0,0,0,0,0.0,0,0.0,38457.968357615995,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,24.0,208.0,2074.4683999999997,4,0.0,0.0,0.31887142021937187,5120.0,79.68587239583333,-0.2995413151041667,294,0,0.0,0,4228.693799336352,4079.9166666666665,262,0.13032809837568846,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,0,12,0.0,0,0.0,1200.0,0.0,3357.226000000001,0.0,3357.226000000001,0.0,0.0,9786.265299999997,5708.054,0.4264154732399559,384,15336.116381746639,128,23121.851975869307,4,0.0,4,100.0,2,114.28640000000101,-2169.1405000000004,11.925,11.25,0,0,160,160,"N8 step 8, market entry",debt,9,1.4551915228366852e-11
2,512,4,4,25753.214100000027,0.0,25950.48289999999,0.0,5243.9035,,0.0,2105.2689,3138.6346,0.0,1842.4470999999999,4.8607,0.00375,358.4167,0.0,0.0,1.0,2530.0011999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.5267040115575792,0.0,856.0,0.0,0.0,1.0,0,0,0,0.2650237098924032,374,44.682850822809904,3.2127068091641844,47.895557631974086,6.224032941176469,2.805243529411765,9.029276470588234,0.0,0.0,0.0,0.0,0,0,0.0,0.0,354.4443,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,197.26879999999997,254.2356000000001,0.0,10,109.13199999999999,659.5764,3191.7780000000002,1125.7835000000273,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1870.0,0.0,0.006025172582216494,4.909328922495258,5.497996498905923,1.8719594594594813,1.1217830734966596,3.5531106317411116,3.802399999999999,914.0,1058.0,457.0,2048.0,1298.0,204.0,187,0,0,1,48,26.0,2048.0,18965.176899999995,240.1849,4152.9779,760,8,0,128,0.18242662758798556,0.5267040115575792,0.09902728390689641,0,6218.252599999968,5194.069999999983,48,0,444.0,0,0,0,0.0,0,0.0,48364.99464173656,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,831.1500000000096,178.0,2036.4577,4,13.240300000000001,9.268,0.4984193175707755,5120.0,73.52376302083333,-0.2810218147786458,296,0,0.0,0,2401.4721348236158,3764.4166666666665,367,0.41954765746353223,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,187,0.0,0,12,0.0,0,0.0,1200.0,40.8518,14065.490519891098,0.0,14065.490519891098,0.0,13.240300000000001,12743.585199999992,6429.6205,0.5354499577134806,384,15627.538477989487,128,32737.45616374711,4,0.0,4,100.0,2,189.820799999998,-1746.8522,12.640500000000001,11.25,0,0,457,457,"N8 step 8, market entry",debt,9,1.4551915228366852e-11
3,512,4,4,26641.228799999975,0.0,26873.74229999999,0.0,6387.2325,,0.0,1994.4653,4392.7672,0.0,1254.1326,11.769888374999999,0.00375,316.5627,0.0,0.0,1.0,2312.4098931947037,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.5595477425756512,0.0,1014.0,0.0,0.0,1.0,0,0,0,0.2572551272933207,375,54.091034099225375,3.172517368882477,57.26355146810785,5.921512173932004,2.7422828740935685,8.663795048025571,0.0,0.0,0.0,0.0,0,0,0.0,0.0,289.6795,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,232.5135,384.0071000000001,0.0,11,1547.8618,659.8471000000001,2658.0177000000003,1149.5244000000341,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1664.3797000000009,0.0,0.008886520541385454,4.848937852593223,5.458102234636865,1.8421320987654342,1.3433759924385635,3.5142596645641326,5.6237218258401365,1074.0,1099.0,537.0,2046.6666666666667,1378.0,204.0,167,0,0,1,57,45.0,2048.0,18555.704599999983,1596.641,4321.2001,760,8,0,128,0.17636206416189526,0.5595477425756512,0.1134066401887901,0,6384.713800000002,5328.982699999952,57,0,243.0,0,0,0,0.0,0,0.0,53979.64484715348,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,447.6381000000005,98.0,1851.1203999999998,4,89.61170000000001,62.72839999999997,0.63605136292281,5120.0,71.94498697916667,-0.2734106722005209,243,0,0.0,0,894.2070552720542,3683.5833333333335,368,0.5277390585166798,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,167,0.0,0,12,0.0,0,0.0,1200.0,204.78270000000003,16194.74624661042,0.0,16194.74624661042,0.0,89.61170000000001,13165.872800000005,7768.961499999999,0.567442952737365,384,16688.145926246845,128,37291.49892090666,4,0.0,4,100.0,2,225.45750000000092,-1677.9026000000001,13.398930000000002,11.25,0,0,537,537,"N8 step 8, market entry",debt,9,1.4551915228366852e-11
4,512,4,4,26162.114500000036,0.0,26422.124200000017,0.0,7503.6749,,0.0,1883.6617,5620.0132,0.0,1227.246,16.472939375,0.00375,360.0255,0.0,0.0,1.0,2236.010788355798,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9869791666666666,0.733066221545293,0.0,771.0,2.0,0.0,1.0,0,0,0,0.2573365471797245,375,410.00877736500524,2.99139545972758,413.00017282473283,6.795451005877712,2.6568504965034077,9.45230150238112,0.0,0.0,0.0,0.0,0,0,0.0,0.0,344.0267,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,260.0097,523.9512999999998,0.0,21,263.5722999999999,742.6866000000001,5035.8245,1189.4771999999841,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1595.9513000000002,0.0,0.01032923710934688,5.4908543046357625,5.4272903703703435,1.8225537414966004,1.4426981132075478,3.394022290984524,5.455010171064932,1080.0,1057.0,540.0,2046.6666666666667,1404.0,204.0,160,0,0,1,45,34.0,2048.0,18551.76750000001,580.6465,4945.6583,758,10,0,128,0.19275413627830562,0.733066221545293,0.12229664176767696,0,6296.337300000006,5803.8330000000005,45,0,294.0,0,0,0,0.0,0,0.0,473867.63562705327,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,535.8308000000005,118.0,1724.0167000000001,4,53.329800000000006,37.3308,1.0458839801526536,5120.0,70.70149739583333,-0.1880341292317708,67,0,0.0,0,1678.0104930841508,3619.9166666666665,368,0.7746789592244965,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,160,0.0,0,12,0.0,0,0.0,1200.0,317.42929999999996,16878.291241049985,0.0,16878.291241049985,0.0,53.329800000000006,13477.947999999995,7250.3215,0.7395340813030957,384,19338.362919555875,128,454529.27270749654,4,0.0,4,100.0,2,253.34569999999871,-1523.6362000000001,14.202865800000003,537.3504,0,0,540,540,"N8 step 8, market entry",debt,9,1.4551915228366852e-11
5,512,4,4,28621.61459999981,0.0,28893.151300000012,0.0,8845.8016,,0.0,1772.8581,7072.9435,0.0,1452.9303,21.075001124999996,0.00375,360.1079,0.0,0.0,1.0,2513.442560557388,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9869791666666666,0.7346244436256384,0.0,687.0,0.0,0.0,1.0,0,0,0,0.25902727500556916,375,375.5883342691163,2.56520798622842,378.1535422553447,4.261815474393573,2.2406856472198258,6.502501121613399,0.0,0.0,0.0,0.0,0,0,0.0,0.0,347.54470000000003,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,271.5367000000001,662.0929999999997,0.0,46,3207.940099999999,748.4400000000004,4495.304699999999,1201.8913000000334,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1788.6506000000038,0.0,0.009989568632963757,5.653954944029849,5.595191573033709,1.7831661764705844,1.5776986641221382,3.485284609040061,5.291359865932986,1068.0,1072.0,534.0,2046.6666666666667,1372.9999999999998,204.0,168,0,0,2,50,34.0,2048.0,18091.090099999972,598.4190000000001,8187.067799999999,758,10,0,128,0.14499727011639152,0.7346244436256384,0.12276651308853714,0,6558.8759000000355,6061.0396999999975,50,0,136.0,0,0,0,0.0,0,0.0,483448.710954353,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,242.51059999999947,99.0,1384.9298000000001,4,41.8784,29.315200000000004,1.2724191199793085,5120.0,70.6396484375,-0.1713035074869792,32,0,0.0,0,136.84022984036577,3616.75,368,1.025419410388715,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,168,0.0,0,12,0.0,0,0.0,1200.0,892.6876999999998,13094.682171006198,0.0,13094.682171006198,0.0,41.8784,13164.002000000008,10170.4166,0.7410182571381474,384,21034.839487226327,128,462413.8714671262,4,0.0,4,100.0,2,265.2645999999987,-1412.7502,15.055037748000004,537.3504,0,0,534,534,"N8 step 8, market entry",debt,9,1.4551915228366852e-11
6,512,4,4,31446.78850000003,0.0,31750.398900000007,0.0,10416.1889,,0.0,1662.0545,8754.134399999999,0.0,1681.1909,26.523456874999997,0.00375,344.0107,0.0,0.0,1.0,2734.79677124611,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9869791666666666,0.7364409763127346,0.0,720.0,0.0,0.0,1.0,0,0,0,0.2564310444340454,375,369.0796354019987,2.291042980963134,371.3706783829618,3.651686090857887,2.1653652305644826,5.81705132142237,0.0,0.0,0.0,0.0,0,0,0.0,0.0,344.0107,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,303.61040000000025,826.880499999999,0.0,78,3754.325499999999,929.1515999999996,5756.0214000000005,1183.6984999999797,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1988.4713000000033,0.0,0.009998391009788145,5.670752520623284,5.63966921641792,1.7368146551724108,1.7423258555133072,3.509298440238824,8.225106488411079,1072.0,1091.0,536.0,2045.3333333333333,1334.0,204.0,177,0,0,0,56,45.0,2048.0,18179.56150000001,563.7302,11925.9199,758,10,0,128,0.12794408799194223,0.7364409763127346,0.1228503829422607,0,6746.652699999989,6186.791000000003,56,0,116.0,0,0,0,0.0,0,0.0,485902.18862787745,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,201.47049999999965,56.0,433.5662,4,0.0,0.0,1.3231715680634122,5120.0,70.5224609375,-0.16457290690104165,37,0,0.0,0,348.2655075549913,3610.75,368,1.252323342436918,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,177,0.0,0,12,0.0,0,0.0,1200.0,1333.5977000000007,10404.99431833817,0.0,10404.99431833817,0.0,0.0,13213.077000000008,12923.2163,0.7417438749678384,384,20838.070673277303,128,465064.1179546,4,0.0,4,100.0,2,297.7302999999996,-1318.0438,15.958340012880004,537.3504,0,0,536,536,"N8 step 8, market entry",debt,9,1.4551915228366852e-11
7,512,4,4,31499.96070000001,0.0,31846.630999999998,0.0,11971.240199999993,,0.0,1551.2509,10419.989299999994,0.0,1665.8549000000005,32.827847,0.00375,311.2187,0.0,0.0,1.0,2728.3786516550063,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9869791666666666,0.7351241633840286,0.0,698.0,0.0,0.0,1.0,0,0,0,0.2564164169823054,375,363.4445591873259,2.2937139431346942,365.7382731304606,2.3104551927092505,2.150919358266826,4.4613745509760765,0.0,0.0,0.0,0.0,0,0,0.0,0.0,311.2187,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,346.67030000000034,1018.5175999999987,0.0,99,1190.2542000000005,1137.0819999999999,3228.1785000000004,1181.6723999999997,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1979.8402000000021,0.0,0.00977578892902754,5.6670320488721755,5.683899259259238,1.7214801587301594,1.937062264150943,3.5591656726693457,7.978353293758747,1080.0,1064.0,540.0,2048.0,1342.0,204.0,176,0,0,0,47,38.0,2048.0,17583.985200000017,457.618,12795.819199999998,758,10,0,128,0.0864548980208204,0.7351241633840286,0.1326767313726751,0,6912.427700000017,6029.7220999999945,47,0,126.0,0,0,0,0.0,0,0.0,483417.2500926412,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,216.90650000000008,56.0,351.31960000000004,4,0.0,0.0,1.245902013980495,5120.0,70.26041666666667,-0.15050440104166665,39,0,0.0,0,435.67406261337203,3597.3333333333335,368,1.3204827085934274,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,176,0.0,0,12,0.0,0,0.0,1200.0,1607.1256999999996,10313.764300862498,0.0,10313.764300862498,0.0,0.0,12889.15700000002,13604.756800000001,0.740437732956275,384,20751.194894300294,128,462666.0551983409,4,0.0,4,100.0,2,341.18220000000156,-1240.0322,16.915840413652806,537.3504,0,0,540,540,"N8 step 8, market entry",debt,9,1.4551915228366852e-11
8,512,4,4,31440.86379999997,0.0,31811.641200000005,0.0,13629.278700000023,,0.0,1440.4473,12188.831400000023,0.0,1768.842099999998,39.07443450000001,0.00375,326.8315,0.0,0.0,1.0,2791.054964834613,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9869791666666666,0.7378818162920942,0.0,445.0,1.0,0.0,1.0,0,0,0,0.25070092363281876,375,368.9810472905149,1.99161364531413,370.972660935829,1.925517712645889,2.063726102115804,3.9892438147616933,0.0,0.0,0.0,0.0,0,0,0.0,0.0,326.8315,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,370.7774000000004,1212.6827999999998,0.0,130,1132.5969999999998,1191.6939,1788.5004,1195.4617999999996,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2043.008700000003,0.0,0.012329745779899821,5.625594197642789,5.728319101123593,1.6933672413793128,2.018449045801528,3.583058009425547,7.7390026949459845,1068.0,1103.0,534.0,2048.0,1321.0,204.0,181,0,0,1,64,54.0,2048.0,16910.425100000004,328.3605,13665.943,758,10,0,128,0.08147851338471468,0.7378818162920942,0.13794733763514566,0,6965.264700000004,6205.030399999996,64,0,116.0,0,0,0,0.0,0,0.0,485743.55555354484,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,196.43060000000028,47.0,209.3037,4,0.0,0.0,1.2885130701548881,5120.0,70.18391927083333,-0.1336266341145833,39,0,0.0,0,309.7766310399289,3593.4166666666665,368,1.402483041842661,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,181,0.0,0,12,0.0,0,0.0,1200.0,1986.172500000002,9910.58233558207,0.0,9910.58233558207,0.0,0.0,12572.838500000007,14203.607199999999,0.7431546011825754,384,19989.136547303475,128,465754.4190062408,4,0.0,4,100.0,2,365.68129999999906,-1113.6158,17.930790838471975,537.3504,0,0,534,534,"N8 step 8, market entry",debt,9,1.4551915228366852e-11
9,512,4,4,30900.840999999968,0.0,31288.146999999946,0.0,15224.505100000031,,0.0,1329.6437,13894.86140000003,0.0,1706.029999999998,45.705329250000084,0.00375,273.7635,0.0,0.0,1.0,2750.2309933850033,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9869791666666666,0.7392658261149452,0.0,435.0,0.0,0.0,1.0,0,0,0,0.2518895067157615,375,391.528071523574,2.0763641230890433,393.6044356466631,1.831564779485128,2.181902847728193,4.013467627213321,0.0,0.0,0.0,0.0,0,0,0.0,0.0,278.27610000000004,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,387.30600000000027,1411.2201999999997,0.0,159,699.3482,1239.3710000000008,1396.5562999999995,1154.8479000000002,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,2007.651499999999,4.5126,0.014061198391247646,5.604379729729731,5.862542541436508,1.6710074468085123,2.0241624765478443,3.605273785029214,7.506832614097604,1086.0,1036.0,543.0,2046.6666666666667,1330.0,204.0,178,0,0,1,38,29.0,2048.0,16631.185600000015,255.37099999999998,13681.237,758,10,0,128,0.0819504943086784,0.7392658261149452,0.13949847514369984,0,7000.461899999991,5806.1374000000005,38,0,94.0,0,0,0,0.0,0,0.0,500158.1859279393,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,157.07470000000015,38.0,59.283899999999996,4,0.0,0.0,1.6146870343735213,5120.0,70.009765625,-0.12423814127604167,47,0,0.0,0,401.67979643561404,3584.5,368,1.3940518228052887,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,178,0.0,0,12,0.0,0,0.0,1200.0,2271.9976999999994,10705.665019123962,0.0,10705.665019123962,0.0,0.0,12348.908499999994,13995.8919,0.7444282051166193,384,22106.518137162755,128,478051.6677907766,4,0.0,4,100.0,2,382.60190000000046,-1055.8802,19.006638288780294,537.3504,0,0,543,543,"N8 step 8, market entry",debt,9,1.4551915228366852e-11
10,512,4,4,31802.741500000022,0.6291,30534.34420000002,0.0,16937.246500000012,,0.0,1383.5832,15553.663300000013,0.0,1658.8018999999986,52.099769875000156,0.00375,271.1531,0.0,0.0,1.0,2801.009626058467,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9869791666666666,0.7397773217334205,0.0,439.0,0.0,0.0,1.0,0,0,0,0.2500006612444621,375,394.96084717925396,2.0971146751501593,397.0579618544041,1.7986825458178097,2.2181405544024067,4.016823100220217,0.0,0.0,0.0,0.0,0,0,0.0,0.0,299.7038,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,393.35269999999986,1607.466700000001,1717.0569,170,2128.2772999999984,1225.7477,1971.5463,1144.4166,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.0,2061.2339000000065,28.5507,0.01436614770233904,5.596603286384976,6.117373496240607,1.7374754901960785,2.0273927203065125,3.6105113076463073,6.683973444174646,1064.0,1065.0,532.0,2046.6666666666667,1311.0,204.0,183,0,0,1,43,28.0,2048.0,16505.2615,327.23730000000006,14643.505000000001,758,10,0,128,0.0798725658562156,0.7397773217334205,0.1383430751062915,0,6984.164600000021,5960.3825,43,0,102.0,0,0,0,0.0,0,0.0,501731.0580219306,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,177.2225,30.0,55.5846,3,0.0,0.0,1.6319817290510423,5120.0,67.11115056818181,-0.0910335529119318,36,0,0.0,0,594.3745921419162,3436.090909090909,368,1.5546950098817185,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,183,0.0,0,11,0.0,0,0.0,1100.0,2747.8126999999977,9393.362871168909,0.0,9393.362871168909,0.0,0.0,12210.979399999998,15026.326900000002,0.7498469051750467,384,22210.268968440807,128,479520.7890534899,4,0.0,4,100.0,2,-1325.2344999999975,-1112.4301,20.147036586107113,537.3504,0,2,532,532,"N8 step 8, market entry",debt,9,1.4551915228366852e-11
11,512,4,4,31526.598100000017,1.2582,30272.93199999998,0.0,18628.068799999965,,0.0,1308.1753,17319.893499999966,0.0,1766.2301999999997,58.3164980000002,0.00375,283.0214,0.0,0.0,1.0,2796.303493331769,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9869791666666666,0.7389836696233916,0.0,750.0,1.0,0.0,1.0,0,0,0,0.250009607826011,375,371.8537444274929,2.0564741878947252,373.9102186153877,1.9765281817558036,2.126437912924114,4.102966094679918,0.0,0.0,0.0,0.0,0,0,0.0,0.0,300.3452,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,407.45479999999975,1814.7341000000054,1717.0569,179,1038.8107999999995,1314.325100000001,2312.3351999999995,1182.5941999999995,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,2057.5534999999977,17.323800000000002,0.013659855115368127,5.589262710280379,6.212923639774844,1.7123097826086968,2.054645889101341,3.6013979709305985,6.483454240849408,1066.0,1070.0,533.0,2046.6666666666665,1314.0,204.0,183,0,0,0,43,31.0,2048.0,16055.688799999994,391.69190000000003,14744.853500000001,758,10,0,128,0.0819633307566745,0.7389836696233916,0.1402681609844154,0,6993.3468999999905,5980.511100000006,43,0,92.0,0,0,0,0.0,0,0.0,467365.1961775485,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,157.5325000000001,42.0,51.3425,3,0.0,0.0,1.6403880121471843,5120.0,67.0010653409091,-0.08526745205965908,38,0,0.0,0,539.4071655223144,3430.4545454545455,368,1.5778293747199845,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,183,0.0,0,11,0.0,0,0.0,1100.0,3098.8151,9836.93286687517,0.0,9836.93286687517,0.0,0.0,11770.971599999993,15187.8879,0.7493187660595035,384,22360.909982181685,128,445004.28619536705,4,0.0,4,100.0,2,-1310.7403999999995,-1025.1539,21.35585878127354,490.41125,0,2,533,533,"N8 step 8, market entry",debt,9,1.4551915228366852e-11
12,512,4,4,32371.90170000004,2.5956,29106.40880000001,0.0,20332.925699999934,,0.0,1590.5155,18742.410199999933,0.0,1422.5166999999985,64.93530937499999,0.00375,287.9896,0.0,0.0,1.0,2802.353388446511,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9869791666666666,0.7392988781961662,0.0,756.0,0.0,0.0,1.0,0,0,0,0.2501940333056467,374,376.03151141099886,2.0729939395023536,378.1045053505012,2.018959859959321,2.1855239734197514,4.204483833379072,0.0,0.0,0.0,0.0,0,0,0.0,0.0,307.5273,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.00039999999970019573,2022.3021000000017,3361.6761,188,2195.588899999997,1348.9478999999978,2372.2413,1173.9566999999988,0.0,413.5912000000001,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,2064.5735000000027,19.5377,0.014239842086535767,5.5913838560885685,6.16567392120075,1.6830260416666667,2.067790822179731,3.592308907518691,5.288748920419549,1066.0,1084.0,533.0,2048.0,1311.0,204.0,184,0,0,1,56,36.0,2048.0,16604.28639999999,451.51370000000003,14974.6254,758,10,0,128,0.08578858233953546,0.7392988781961662,0.14232933665674552,0,7400.4916000000185,6061.060100000008,56,0,96.0,0,0,0,0.0,0,0.0,470511.9846457508,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,161.5705,26.0,53.4866,2,0.0,0.0,1.6880817027771131,5120.0,63.583984375,-0.04461316992187501,35,0,0.0,0,223.53877499354144,3255.5,368,1.7735214698759827,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,184,0.0,0,10,0.0,0,0.0,1000.0,3639.6628000000014,9538.397729441658,0.0,9538.397729441658,0.0,0.0,12233.957599999998,15479.6257,0.7569798425318386,384,22842.81537111464,128,447669.1692746361,4,0.0,4,100.0,2,-3360.0579999999995,-1302.5259,22.637210308149953,490.41125,0,4,533,533,"N8 step 8, market entry",debt,9,1.4551915228366852e-11
