round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,21705.616000000024,0.0,21815.512,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7521799812427836,0.0,512.0,1.0,0.0,1.0,0,0,0,0.8182047721247316,0,337.36245098039205,2.519607843137255,339.8820588235293,3.0428039215686273,2.666666666666667,5.709470588235294,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,109.896,109.896,0.0,2,170.84,444.42400000000004,721.6901,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,5.0,5.200000000000013,NaN,0.75,3.9199999999999995,3.920000000000001,320.0,89.0,160.0,2048.0,322.0,0.0,431,0,0,0,55,34.0,2048.0,17019.890000000018,1583.5739999999998,3102.152,767,1,0,128,0.10546052088725277,0.7245661276393782,0.8308714543491076,0,1381.49,445.0,55,0,0.0,0,0,0,0.0,0,0.0,446683.6900000004,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,431,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7949239586089472,384,12217.040000000012,128,434466.65000000084,4,-7644.058,4,-8754.488,2,102.05600000000064,0.0,11.925,560.4,0,0,160,160,0 bare bones,debt,6,0.0
2,512,4,4,22245.190500000015,0.0,22413.292900000026,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,1,0.9986979166666666,0.7544391220028999,0.0,512.0,0.0,0.0,1.0,0,0,0,0.2539773442821568,0,338.82325999999995,1.5701341176470587,340.393394117647,3.7649535294117653,1.7033498039215687,5.468303333333334,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,168.1024,218.95400000000015,0.0,5,1024.0361000000007,484.4615999999999,2847.3526,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005063505496912389,4.914732502396928,5.507629310344816,NaN,1.123983950617285,3.620400982800949,3.8023999999999996,812.0,1043.0,406.0,2048.0,814.0,0.0,308,13,13,2,48,33.0,2035.0,16260.263399999933,1701.3329999999999,4283.594099999999,767,1,0,128,0.16290617535156882,0.7294598294301631,0.5890998147107751,2,3402.2198999999882,5126.065999999996,48,0,0.0,0,0,13,0.0,0,0.0,444959.0289000028,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,308,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7932237478572632,384,10591.505799999994,128,434367.5231000005,4,-7360.3974,4,-7372.0859,2,160.65439999999793,0.0,12.640500000000001,560.4,0,0,406,406,0 bare bones,debt,6,0.0
3,512,4,4,23065.19319999989,0.0,23266.43609999992,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,0.9986979166666666,0.7552344534930424,0.0,1025.0,1.0,0.0,1.0,0,0,0,0.25000366994025336,0,368.5773633998526,1.0991590175833583,369.67652241743593,4.387636119080825,1.5600480033677635,5.947684122448589,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,201.2429000000001,331.0486999999994,0.0,11,1356.1578000000002,536.1551000000009,4137.8742999999995,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067872686185253325,5.61935316091954,5.466172605364013,NaN,1.3371385796545108,3.247754875717038,3.6883279999999994,1044.0,1044.0,522.0,2032.3333333333333,1046.0,0.0,248,27,27,3,58,52.0,2020.0,15702.166500000023,2023.3098,5339.716899999999,767,1,0,128,0.18416707207200966,0.7345270061892188,0.4737934118429743,7,4093.8008000000045,5866.6047,58,0,0.0,0,0,27,0.0,0,0.0,472291.9846499999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,248,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7879745200312831,384,8531.442199999996,128,463760.54244999995,4,-6834.566850000001,4,-6115.003099999999,2,194.1869000000011,0.0,13.398930000000002,598.3549499999999,0,0,522,522,0 bare bones,debt,6,0.0
4,512,4,4,26783.86780000003,0.0,27006.955899999975,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,9,4,0.9973958333333334,0.7570258920583792,0.0,639.0,3.0,0.0,1.0,0,0,0,0.25,0,346.3613945097428,0.2636482012279758,346.62504271097083,6.287816368268946,0.5455979995098859,6.833414367778833,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,223.08809999999966,449.01649999999916,0.0,185,4321.389000000002,602.7143999999993,5874.125500000002,0.0,0.0,0.0,0.0,0.0,0.0,8,0.0,0.0,0.0,0.0,0.0,0.0,13.929,0.007424195107897602,5.952967871093744,5.728225000000006,NaN,1.436791568627451,3.2735362573098796,3.5776781599999987,1024.0,1024.0,512.0,2016.0,1026.0,0.0,250,14,14,1,48,33.0,2031.0,14432.293499999983,2326.1677999999997,10025.406500000001,766,2,0,128,0.3368614470361866,0.7405899875411441,0.49009991041578016,65,4091.4119000000173,6095.839099999994,49,1,0.0,0,0,14,0.0,0,0.0,503333.8440999995,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,250,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7837633974271367,384,6442.930300000004,128,496890.9138,4,-6270.397199999999,4,-4657.5606,2,216.42409999999904,0.0,14.202865800000003,641.4353,0,0,512,512,0 bare bones,debt,6,0.0
5,512,4,4,28346.462300000007,0.0,28604.979400000044,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,63,16,0.99609375,0.759860713568677,0.0,642.0,1.0,0.0,1.0,0,0,0,0.25163238688494916,0,329.17244386083183,-0.26282639058424223,328.9096174702476,8.244952157804907,0.16147605455314992,8.406428212358056,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,258.51709999999935,592.0100999999979,0.0,376,2393.4015999999997,830.8071000000004,4218.387099999999,0.0,0.0,0.0,0.0,0.0,0.0,65,0.0,0.0,0.0,0.0,0.0,0.0,89.70250000000003,0.0068789023785201095,6.013135801217038,5.694002707930365,NaN,1.5658169260700383,3.311352992277955,3.4703478152,1034.0,986.0,517.0,2029.6666666666665,1036.0,0.0,247,14,14,53,51,25.0,2034.0,13683.678199999993,1781.7616,12881.022500000001,765,3,0,128,0.5008455732570318,0.7455579294733223,0.5633934258176088,149,4235.391599999985,5928.951899999999,55,4,0.0,0,0,14,0.0,0,0.0,503038.55739999976,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,247,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7835508729985492,384,4362.194399999998,128,498676.36299999984,4,-5973.327299999999,4,-3495.3184000000006,2,252.24509999999913,0.0,15.055037748000004,642.9975999999999,0,0,517,517,0 bare bones,debt,6,0.0
6,512,4,4,28287.63200000004,0.0,28572.85809999995,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,88,26,0.9934895833333334,0.7621356128730135,0.0,479.0,0.0,0.0,1.0,0,0,0,0.28887894139226133,0,327.16255553251045,-0.48966392637907347,326.67289160613143,11.507713187328553,0.03325774436906238,11.540970931697617,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,285.2260999999995,744.1821999999993,0.0,539,950.5880999999999,1009.4183999999997,2587.697899999999,0.0,0.0,0.0,0.0,0.0,0.0,84,0.0,0.0,0.0,0.0,0.0,0.0,176.92470000000003,0.008340519886892623,5.941344392523358,5.718104489795966,NaN,1.7301917525773172,3.3346414460285785,3.3662373807439994,980.0,856.0,490.0,1963.3333333333353,981.9999999999993,0.0,255,93,93,44,50,37.0,1949.0,14389.113499999992,363.5573,13534.9612,763,5,0,128,0.6404242777637716,0.7486495794962849,0.5972196314459324,221,4113.760900000016,5085.790799999994,58,8,0.0,0,0,93,0.0,0,0.0,502433.3985000003,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,255,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7846356778271237,384,2843.010699999999,128,499590.3877999999,4,-5910.182500000001,4,-2980.4053,2,279.3461000000017,0.0,15.958340012880004,642.9975999999999,0,0,490,490,0 bare bones,debt,6,0.0
7,512,4,4,27631.03549999995,0.0,27930.245700000003,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,110,31,0.9934895833333334,0.7633995244987508,0.0,405.0,1.0,0.0,1.0,0,0,0,0.3989595838335334,0,332.7933285535114,-0.6832658366290563,332.11006271688234,12.385714780551533,0.008721205648289827,12.394435986199824,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,299.2101999999997,896.9073999999981,0.0,691,373.5302,1030.1267,2751.1741000000006,0.0,0.0,0.0,0.0,0.0,0.0,108,0.0,0.0,0.0,0.0,0.0,0.0,243.225,0.01002398135170417,5.7606613445378185,5.709385680190941,NaN,1.9257330917874405,3.2535134523809504,3.2652502593216792,838.0,714.0,419.0,1890.333333333335,839.9999999999999,0.0,275,137,126,76,29,26.0,1858.0,13921.377199999999,453.8192,13255.839100000001,763,5,0,128,0.7064077935883022,0.7506991615745282,0.6584693608816965,302,3530.204800000006,4113.112200000002,45,16,0.0,0,0,137,0.0,0,0.0,503098.1167999998,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,275,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7847844674819897,384,1915.0684000000003,128,501183.04839999974,4,-5616.7552,4,-2753.0806000000002,2,293.72219999999953,0.0,16.915840413652806,644.5599,0,0,419,419,0 bare bones,debt,6,0.0
8,509,4,4,26999.31099999995,0.0,27300.12140000001,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,145,43,0.9934895833333334,0.7630150903200115,0.0,91.0,0.0,0.0,1.0,0,0,0,0.5134162932819964,0,344.1736537116588,-0.8026115844833988,343.3710421271754,13.5081714279518,0.0008587657783806621,13.509030193730181,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,300.81039999999985,1044.1886999999995,0.0,848,354.58650000000006,986.3109999999999,2023.4236999999969,0.0,0.0,0.0,0.0,0.0,0.0,176,0.0,0.0,0.0,0.0,0.0,0.0,338.14609999999993,0.010471479975282603,5.5096923556942246,5.701466852367671,NaN,2.036804802259886,3.1442553703703644,3.167292751542029,718.0,641.0,359.0,1755.6666666666683,714.0000000000001,0.0,286,188,162,88,35,26.0,1772.0,13532.123200000004,526.7438999999999,12940.4439,763,5,0,128,0.7631825099350646,0.7510067470946309,0.7108313961548784,363,2968.2876999999985,3531.712799999998,60,25,0.0,0,0,188,0.0,0,0.0,502636.7943999989,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,286,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7835100513885667,381,1113.5438000000004,128,501523.25059999997,4,-5348.4766,4,-2562.029,2,295.7143999999985,0.0,17.930790838471975,644.5599,3,0,359,359,0 bare bones,debt,6,0.0
9,503,4,4,26207.108299999996,0.0,26501.42989999999,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,137,43,0.9934895833333334,0.7589370577551853,0.0,89.0,2.0,0.0,1.0,0,0,0,0.5698398122640547,0,372.1501326441381,-0.7240959644283651,371.4260366797098,14.066745291123341,0.0016274955879764636,14.068372786711317,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,299.4626999999999,1189.412299999998,5.1411,980,264.613,1056.8156999999994,2213.1726999999983,0.0,0.0,0.0,0.0,0.0,0.0,158,0.0,0.0,0.0,0.0,0.0,0.0,336.4505,0.011238685303296404,5.182310707070711,5.573134276729568,NaN,2.0148543130990406,3.0029735632183607,3.072273968995767,636.0,495.0,318.0,1657.000000000001,626.6666666666667,0.0,278,260,213,102,27,16.0,1617.0,13408.849000000004,576.5425,12221.716799999998,763,5,0,128,0.751988578305465,0.7475878921473453,0.6358955324664755,346,2515.877699999999,2565.2438000000016,50,23,0.0,0,0,260,0.0,0,0.0,519422.57139999926,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,278,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7788070302933598,375,1354.0841999999993,128,518068.4871999998,4,-4993.150100000001,4,-2774.3093000000003,2,289.6175999999975,0.0,19.006638288780294,666.5947,6,0,318,318,0 bare bones,debt,6,0.0
10,479,4,4,25394.891299999992,0.0,25655.36269999999,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,105,42,0.9934895833333334,0.744868901746752,0.0,91.0,2.0,0.0,1.0,0,0,0,0.5045263455556603,0,382.07897267527716,-0.6321188835443238,381.4468537917328,14.318532718508074,0.0016281347215418654,14.320160853229616,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,296.2648999999999,1332.2305999999974,35.7935,1123,311.0393,1123.2562999999989,1834.0986999999996,0.0,0.0,0.0,0.0,0.0,0.0,117,0.0,0.0,0.0,0.0,0.0,0.0,355.72919999999993,0.011355557560504178,5.125578446601951,5.56237224489796,NaN,1.929618333333334,2.9026684959349383,6.763419949599852,490.0,515.0,245.0,1468.0000000000002,480.0,0.0,293,258,178,111,23,17.0,1471.0,12553.177899999986,604.5912999999999,12237.1221,763,5,0,128,0.7411599065682763,0.7342837137992428,0.6274597178772578,321,1858.5020999999992,2639.6729000000046,41,18,0.0,0,0,258,0.0,0,0.0,501898.22239999974,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,293,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7646900653094968,351,1469.8232999999996,128,500428.3990999998,4,-4879.921399999999,4,-2252.4572000000003,2,256.15940000000035,0.0,20.147036586107113,644.5599,24,0,245,245,0 bare bones,debt,6,0.0
11,407,4,4,24540.88559999999,0.0,24745.30640000001,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,52,31,0.9934895833333334,0.6956861195603863,0.0,95.0,1.0,0.0,1.0,0,0,0,0.41117867555185333,0,385.39448573297784,-0.578990688765946,384.8154950442119,14.989430367697718,0.0062120293805175905,14.995642397078235,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,290.21749999999975,1470.511999999997,85.7967,1252,362.77970000000005,1216.7853999999993,1431.5450999999994,0.0,0.0,0.0,0.0,0.0,0.0,103,0.0,0.0,0.0,0.0,0.0,0.0,344.69930000000005,0.01188317856862054,5.026765714285711,5.3901612244898,NaN,1.8962854166666672,2.820838956639554,14.282052373336176,490.0,490.0,245.0,1260.6666666666667,392.0,0.0,235,205,116,115,26,14.0,1266.0,11761.0896,627.6814999999999,12152.1145,763,5,0,128,0.7128517306488067,0.6866439787427223,0.5782867244460586,261,1451.1272999999976,2463.1151999999984,34,8,0.0,0,0,205,0.0,0,0.0,500121.9627999999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,235,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7171390172784757,279,1668.8534000000006,128,498453.1094000001,4,-4669.288800000001,4,-1831.0179999999996,2,200.50079999999988,0.0,21.35585878127354,642.9975999999999,72,0,245,245,0 bare bones,debt,6,0.0
12,362,4,4,23758.290400000027,0.0,23915.191500000034,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,52,35,0.9934895833333334,0.6554001106828014,0.0,100.0,0.0,0.0,1.0,0,0,0,0.5005464107642921,0,392.6605624702863,-0.5748303510124094,392.0857321192739,14.939388430643541,0.0004337889767487217,14.93982221962029,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,283.3664999999996,1605.2244999999966,126.46539999999997,1381,299.26980000000003,1081.8649999999996,1602.2895999999998,0.0,0.0,0.0,0.0,0.0,0.0,89,0.0,0.0,0.0,0.0,0.0,0.0,317.18139999999994,0.012402885134962285,5.08002148760331,5.471224999999994,NaN,1.8379296803652965,2.8310910370370146,16.316655002694564,448.0,484.0,224.0,1099.0000000000014,377.3333333333331,0.0,189,182,81,119,31,24.0,1125.0,10854.503099999987,672.9767,12230.8106,763,5,0,128,0.6947384860021839,0.6479521732834961,0.5719762592669129,215,1358.8203000000012,2458.730400000002,42,11,0.0,0,0,182,0.0,0,0.0,499343.2984999995,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,189,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6768875692226213,234,1530.5771999999995,128,497812.7212999996,4,-4428.6397,4,-1245.8750999999997,2,153.37309999999914,0.0,22.637210308149953,642.9975999999999,45,0,224,224,0 bare bones,debt,6,0.0
13,283,4,4,23040.23870000001,0.0,23170.164099999987,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,26,21,0.9934895833333334,0.5552480235052413,0.0,103.0,1.0,0.0,1.0,0,0,0,0.5015589167461156,0,388.5945504145435,-0.4381066255053534,388.1564437890382,15.673664017819913,0.007871170305734088,15.681535188125649,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,275.64239999999955,1737.5550999999978,145.717,1472,431.09410000000014,1149.1458,1622.1696000000002,0.0,0.0,0.0,0.0,0.0,0.0,49,0.0,0.0,0.0,0.0,0.0,0.0,251.04430000000005,0.012489853734621479,5.0622,5.432674999999997,NaN,1.8573278074866308,2.82957435233161,22.30491950501014,384.0,394.0,192.0,919.6666666666672,273.33333333333337,0.0,167,119,63,63,22,19.0,927.0,10201.227999999996,677.5102,12161.500499999998,763,5,0,128,0.6364404573777074,0.5496396969047916,0.6593549991832339,118,1159.2158000000027,1994.5067999999999,42,20,0.0,0,0,119,0.0,0,0.0,498732.8580999999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,167,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5821445349487966,155,1572.0720000000008,128,497160.7861,4,-4228.7523,4,-808.7384000000006,2,126.78940000000009,0.0,23.99544292663895,642.9975999999999,79,0,192,192,0 bare bones,debt,6,0.0
