round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,26750.130000000107,0.0,1025.1001999999999,1025.1001999999999,561.0,,561.0,0.0,0.0,0.0,0.0,0.0,0.0025,115.8734,0.0,0.0,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7089833657475224,0.0,672.0,1.0,0.0,1.0,0,0,0,1.0,0,338.1274782352941,2.786401960784313,340.9138801960784,1.9345505882352927,2.8681274509803925,4.802678039215685,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0,2560.0,235.15,1025.1001999999999,117.00779999999999,0.0,0.0,0.0,0.0,0.0,0,258.1752,2560.0,235.15,117.00779999999999,274.0,0.0,0.0,0.0,5.0,5.200000000000013,2.0,0.75,3.594822888283399,3.9200000000000013,320.0,71.0,160.0,2048.0,734.0,204.0,328,0,0,0,42,29.0,2048.0,18547.72530000002,1707.9275000000002,3535.6502,767,1,0,128,0.09632985212216671,0.7216243858984246,0.6571601930058748,0,5250.5669999999955,355.0,42,0,520.0,0,0,0,0.0,0,0.0,449313.12549999787,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1040.0,208.0,2584.7784,4,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7231074162856308,384,14050.82239999999,128,435262.3031000006,4,2268.3275000000003,4,3158.05,2,258.1752,-445.1266,11.925,560.4,0,0,160,160,7 + two more theatres,sumsy,1,2.0372681319713593e-10
2,512,4,4,29025.980400000102,0.0,4682.642099999996,3680.7468999999996,1006.1265999999997,,1006.1265999999997,0.0,0.0,0.0,0.0,0.0,0.0025,139.0398,0.0,0.0,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7054458789230578,0.0,960.0,0.0,0.0,1.0,0,0,0,0.25317320322762243,0,338.63891823529406,2.5663370588235295,341.2052552941176,1.2886923529411771,2.693571764705882,3.982264117647059,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-4.641000000000001,0.0,8,2560.0,284.1496,4721.8544,141.06290000000004,0.0,0.0,0.0,0.0,0.0,94,147.18869999999998,2560.0,284.1496,141.06290000000004,274.0,0.0,0.0,0.015,4.893999999999955,5.507833853006677,2.2023163987138186,1.1234292410714286,3.5307893569844584,3.802399999999999,898.0,1095.0,449.0,2048.0,1353.0,204.0,173,0,0,1,59,42.0,2048.0,16106.233399999977,3029.1418000000003,6635.8019,767,1,0,128,0.05280547654786383,0.720710447926123,0.372853969752482,0,7821.847599999969,5358.92999999995,59,0,622.0,0,0,0,0.0,0,0.0,450134.8027999996,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1369.8407999999952,249.0,2968.5748,4,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,173,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7212870497786141,384,14311.616000000013,128,435823.1868000001,4,2536.6908999999996,4,4234.834800000001,2,405.36390000000006,-867.0867999999997,12.640500000000001,560.4,0,0,449,449,7 + two more theatres,sumsy,1,2.0372681319713593e-10
3,512,4,4,31250.923400000018,0.0,6572.796200000008,2075.132699999999,1416.1935999999996,,1416.1935999999996,0.0,0.0,0.0,0.0,0.0,0.0025,164.3143,0.0,0.0,1.0,549.1067999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.7269700337272891,0.0,1051.0,2.0,0.0,1.0,0,0,0,0.2554717086210737,0,706.890380978716,2.7328184972395424,709.6231994759556,3.046593067141065,2.4082848546038993,5.454877921744964,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-41.406899999999965,0.0,9,2560.0,335.05700000000024,3195.3881,166.45700000000025,0.0,0.0,0.0,0.0,0.0,135,361.33389999999997,2560.0,335.05700000000024,166.45700000000025,274.0,0.0,0.0,0.015,4.8191574626865465,5.483604259259233,2.365248587570623,1.3359130111524171,3.4558468680914163,14.00750621282196,1080.0,1072.0,540.0,2046.6666666666667,1357.0,204.0,172,0,0,2,56,36.0,2048.0,18588.5292,3393.5386,6637.0348,766,2,0,128,0.12397391762929977,0.7349088558189236,0.3741309824867931,0,7893.083400000007,5166.1367999999775,56,0,177.0,0,0,0,0.0,0,0.0,902374.7016999993,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,418.6490000000003,71.0,2106.1726,4,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,172,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7379592350241129,384,15327.934700000013,128,887046.7670000003,4,3391.0874,4,4357.0557,2,606.6004,-1251.8792999999996,13.398930000000002,1147.459,0,0,540,540,7 + two more theatres,sumsy,1,2.0372681319713593e-10
4,512,4,4,33433.4986,0.0,7518.620199999998,1214.0618999999995,1792.5864,,1792.5864,0.0,0.0,0.0,0.0,0.0,0.0025,185.5088,0.0,0.0,1.0,540.7071000000002,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.99609375,0.7265090114053581,0.0,1051.0,1.0,0.0,1.0,0,0,0,0.25592652605492844,0,722.3073546326625,2.732775306010066,725.0401299386725,5.233117988592165,2.539392710880864,7.772510699473028,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-92.97212499999972,0.0,10,2560.0,377.4248,2409.6775000000002,187.64399999999983,0.0,0.0,0.0,0.0,0.0,136,479.4714,2560.0,377.4248,187.64399999999983,274.0,0.0,0.0,0.015,5.448851291512916,5.424724399260638,2.476153437499998,1.4306812267658013,3.495146157586489,13.587281026437301,1082.0,1084.0,541.0,2045.3333333333333,1544.0,204.0,125,0,0,1,54,43.0,2048.0,20330.916300000023,2469.754,7406.5118999999995,765,3,0,128,0.17462810239391136,0.7352621534202155,0.3210685999779397,1,8617.251599999987,5906.554800000002,54,0,640.0,0,0,0,0.0,0,0.0,906465.1447999994,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1584.7381999999989,256.0,2561.3361999999997,4,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,125,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7380331023519691,384,15338.8212,128,891126.3235999997,4,3112.4364999999984,4,5247.520800000001,2,711.8291,-1607.0775999999998,14.202865800000003,1150.9474,0,0,541,541,7 + two more theatres,sumsy,1,2.0372681319713593e-10
5,512,4,4,35573.70840000005,0.0,10574.315099999987,3365.8210000000017,2218.4401,,2218.4401,0.0,0.0,0.0,0.0,0.0,0.0025,205.9442,0.0,0.0,1.0,611.3625,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.7229477618435947,0.0,1047.0,2.0,0.0,1.0,0,0,0,0.25419432820853655,0,580.0385744086932,2.392643716342219,582.4312181250355,3.3291793023295555,2.349835089228359,5.6790143915579145,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-150.23752499999995,0.0,12,2560.0,419.79019999999997,4198.4346000000005,208.57800000000003,0.0,0.0,0.0,0.0,0.0,136,74.2056,2560.0,419.79019999999997,208.57800000000003,274.0,0.0,0.0,0.015,5.641374382433673,5.590089776951656,2.591773749999992,1.5720249063670393,3.515241557157208,13.179662595644183,1076.0,1093.0,538.0,2046.6666666666665,1537.9999999999998,204.0,127,0,0,1,62,51.0,2048.0,19774.48779999999,3088.5578000000005,9611.063299999998,764,4,0,128,0.1295393684056001,0.7339513613136532,0.33580179888375916,0,8710.258600000001,6166.022200000005,62,0,640.0,0,0,0,0.0,0,0.0,823939.0626000002,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1658.735199999995,256.0,2819.4497,4,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,127,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7358323258941886,384,15310.985999999995,128,808628.0766000006,4,3333.082300000001,4,6388.201799999999,2,773.126,-2012.4959,15.055037748000004,1042.5693,0,0,538,538,7 + two more theatres,sumsy,1,2.0372681319713593e-10
6,512,4,4,37667.9753,0.0,14035.692499999986,3918.497200000001,2645.4568999999997,,2645.4568999999997,0.0,0.0,0.0,0.0,0.0,0.0025,228.1152,0.0,0.0,1.0,632.9609999999996,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9934895833333334,0.7251308642058445,0.0,1048.0,1.0,0.0,1.0,0,0,0,0.25617666469612105,0,617.2939172447157,2.109933970708305,619.403851215424,3.2930195060620684,2.0558663507282735,5.348885856790342,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-233.79452500000025,0.0,13,2560.0,465.73310000000026,4570.399000000002,231.28240000000025,0.0,0.0,0.0,0.0,0.0,140,283.6018,2560.0,465.73310000000026,231.28240000000025,274.0,0.0,0.0,0.015,5.661095337773554,5.623186321626584,2.670659051724138,1.7315945895522389,3.3191055669668574,12.784272717774856,1082.0,1051.0,541.0,2046.6666666666665,1474.0,204.0,143,0,0,1,51,28.0,2048.0,19780.76790000001,2435.0766,12642.082699999999,763,5,0,128,0.13149685353002916,0.7358336457391852,0.3602037055782954,2,8282.03410000004,5949.811200000005,51,0,464.0,0,0,0,0.0,0,0.0,905113.3441000006,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1239.1858,186.0,2298.3311000000003,4,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,143,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.737597782794569,384,15264.205999999998,128,889849.1381,4,3806.5158000000006,4,7254.438800000001,2,1033.9706999999999,-2417.3416999999995,15.958340012880004,1147.459,0,0,541,541,7 + two more theatres,sumsy,1,2.0372681319713593e-10
7,512,4,4,39714.51310000002,0.0,15728.051599999995,2323.9588000000003,3052.5160999999994,,3052.5160999999994,0.0,0.0,0.0,0.0,0.0,0.0025,251.6,0.0,0.0,1.0,635.1744,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9921875,0.7230987566681837,0.0,1044.0,1.0,0.0,1.0,0,0,0,0.2504397710565007,0,561.6920258534467,1.5012957606743123,563.193321614121,4.176732586497701,1.6550206016225688,5.83175318812027,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-347.67945000000236,0.0,16,2560.0,513.4622000000002,3669.5890000000013,255.02100000000013,0.0,0.0,0.0,0.0,0.0,141,199.5958,2560.0,513.4622000000002,255.02100000000013,274.0,0.0,0.0,0.015,5.63329048913044,5.699047026022305,2.7127425720620844,1.930456390977443,3.36439883588387,12.40074453624161,1076.0,1104.0,538.0,2046.6666666666665,1462.9999999999998,204.0,145,0,0,3,63,48.0,2048.0,20708.894300000018,1760.9203000000002,14631.367999999999,762,6,0,128,0.16848673722896756,0.7357323033127894,0.38483507857511623,6,8385.75730000003,6219.152700000005,63,0,451.0,0,0,0,0.0,0,0.0,825356.8637999997,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1223.4469000000001,181.0,2162.1347,4,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,145,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7365522084806932,384,14988.333100000002,128,810368.5307000002,4,3895.3461000000007,4,8362.658000000001,2,1207.0992,-2800.9160999999995,16.915840413652806,1042.5693,0,0,538,538,7 + two more theatres,sumsy,1,2.0372681319713593e-10
8,512,4,4,41716.68410000002,0.0,15980.906500000001,980.3927000000001,3432.9693999999995,,3432.9693999999995,0.0,0.0,0.0,0.0,0.0,0.0025,273.5962,0.0,0.0,1.0,632.0532999999995,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,0.9921875,0.722913486173655,0.0,509.0,0.0,0.0,1.0,0,0,0,0.25482893574043686,0,566.0200069073336,0.9996482223657999,567.0196551296993,4.950361701390038,1.5437296315111129,6.49409133290115,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-474.4316500000017,0.0,18,2560.0,557.8289999999998,1666.2464,277.14219999999995,0.0,0.0,0.0,0.0,0.0,142,256.59069999999997,2560.0,557.8289999999998,277.14219999999995,274.0,0.0,0.0,0.015,5.5533544943820194,5.636396678966793,2.762640073529415,2.0102367537313417,3.338767170345082,12.028722200154363,1084.0,1068.0,542.0,2044.0,1508.0,204.0,134,0,0,2,53,41.0,2048.0,21625.369199999986,1845.9699,15095.6893,762,6,0,128,0.20283474601398455,0.7369412991936073,0.3781105954510149,7,8526.675600000026,5930.982599999997,53,0,544.0,0,0,0,0.0,0,0.0,825997.8130999999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1502.876200000002,218.0,2619.4688,4,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,134,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7372319625223767,384,14600.792299999985,128,811397.0207999998,4,4225.260700000001,4,9202.682799999997,2,1423.0426000000002,-3159.3731999999995,17.930790838471975,1042.5693,0,0,542,542,7 + two more theatres,sumsy,1,2.0372681319713593e-10
9,512,4,4,43676.29409999999,0.0,16298.077000000023,1073.6021999999998,3782.4605999999994,,3782.4605999999994,0.0,0.0,0.0,0.0,0.0,0.0025,294.9263,0.0,0.0,1.0,623.0874,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,9,1,0.9908854166666666,0.7203762255848609,0.0,511.0,1.0,0.0,1.0,0,0,0,0.25570616822236536,0,519.4283160651008,0.5205267574341682,519.948842822535,6.7215998021286145,1.3484361794700026,8.070035981598618,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-599.7188500000044,0.0,21,2560.0,600.3899999999999,3056.3849999999993,298.43920000000014,0.0,0.0,0.0,0.0,0.0,150,477.86,2560.0,600.3899999999999,298.43920000000014,274.0,0.0,0.0,0.015,5.493371494893222,5.665243097014939,2.8087627383015636,1.9956568998109638,3.348725209368066,11.667860534149732,1072.0,1077.0,536.0,2045.3333333333335,1509.0,204.0,134,0,0,1,58,37.0,2048.0,23248.247600000006,1203.7845,15355.9135,761,7,0,128,0.2498202492878434,0.7368140166324291,0.38913047126280564,10,8487.168699999973,5916.3611,58,0,577.0,0,0,0,0.0,0,0.0,746410.9897999994,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1620.6561000000022,231.0,3095.5622,4,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,134,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7360303329034772,384,14229.611599999998,128,732181.3782000002,4,4136.276800000001,4,10078.0055,2,1603.4533000000001,-3487.5342999999993,19.006638288780294,937.6796,0,0,536,536,7 + two more theatres,sumsy,1,2.0372681319713593e-10
10,512,4,4,45594.65819999995,0.0,16447.12289999999,937.3867,4103.889699999999,,4103.889699999999,0.0,0.0,0.0,0.0,0.0,0.0025,315.6094,0.0,0.0,1.0,616.3554000000001,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,21,1,0.9895833333333334,0.719634721252264,0.0,509.0,1.0,0.0,1.0,0,0,0,0.2565560605422997,0,518.0328641988481,0.04198982109419376,518.0748540199422,8.487600946228287,1.228797681558209,9.716398627786496,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-723.9015567462511,0.0,23,2560.0,641.6358999999995,2258.1328000000008,319.0816000000001,0.0,0.0,0.0,0.0,0.0,160,503.6539,2560.0,641.6358999999995,319.0816000000001,274.0,0.0,0.0,0.015,5.421863389513115,5.77704121996304,2.872257118927977,1.9820041275797353,3.408356242126386,11.31782471812524,1082.0,1068.0,541.0,2046.6666666666667,1527.0,204.0,130,0,0,2,44,39.0,2048.0,24862.545100000014,695.9066,15640.3825,760,8,0,128,0.2890865217560097,0.7379505995245625,0.39866102679358506,18,8603.762599999962,5790.550100000007,44,0,597.0,0,0,0,0.0,0,0.0,734769.1623,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1714.7375000000022,239.0,3576.5607,4,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,130,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7364885654781901,384,13681.56279999999,128,721087.5994999999,4,4683.6084,4,10733.8567,2,1679.4541,-3788.280299999999,20.147036586107113,921.7633000000001,0,0,541,541,7 + two more theatres,sumsy,1,2.0372681319713593e-10
11,512,4,4,47473.620200000005,0.0,16673.378399999987,1044.0381000000002,4396.613399999999,,4396.613399999999,0.0,0.0,0.0,0.0,0.0,0.0025,335.2646,0.0,0.0,1.0,608.3330999999993,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,33,1,0.98828125,0.7194142213883505,0.0,503.0,0.0,0.0,1.0,0,0,0,0.2572946533985495,0,526.0417037468152,-0.40708184590776775,525.6346219009074,10.016705859715639,1.1659877825058844,11.182693642221524,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-846.1318567462532,0.0,28,2560.0,681.0379999999999,1062.4262000000003,338.7666999999998,0.0,0.0,0.0,0.0,0.0,165,450.5807,2560.0,681.0379999999999,338.7666999999998,274.0,0.0,0.0092,0.015,5.36762022263451,5.834826217228464,2.976294193548387,1.986777904761905,3.419682570501546,10.97828997658148,1068.0,1078.0,534.0,2045.3333333333335,1522.0,204.0,131,0,0,3,55,41.0,2048.0,26586.764200000012,698.4779,15835.962500000001,759,9,0,128,0.31962692485921806,0.739404867860225,0.40681413460062843,20,8554.023599999991,5786.294600000002,55,0,620.0,0,0,0,0.0,0,0.0,734587.5415999999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1845.3023999999998,248.0,3566.5703,4,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,131,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7371126121549327,384,13195.522799999988,128,721392.0188000003,4,5852.803400000001,4,11429.576399999998,2,1742.6132000000002,-4061.3487999999993,21.35585878127354,921.7633000000001,0,0,534,534,7 + two more theatres,sumsy,1,2.0372681319713593e-10
12,512,4,4,49315.09389999997,0.0,16775.215199999988,957.8695000000004,4663.5975,,4663.5975,0.0,0.0,0.0,0.0,0.0,0.0025,353.9574,0.0,0.0,1.0,602.2487000000003,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,45,2,0.98828125,0.7194163925753363,0.0,502.0,0.0,0.0,1.0,0,0,0,0.25884550167888676,0,532.6168471734272,-0.7708376438486956,531.8460095295785,11.000998927741437,1.293772313117207,12.294771240858644,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-967.83438174626,0.0,35,2560.0,718.5263000000003,1635.8209000000008,357.49420000000015,0.0,0.0,0.0,0.0,0.0,165,424.5011,2560.0,718.5263000000003,357.49420000000015,274.0,0.0,8.5803,0.015,5.342932921027594,5.930667723880598,3.082477760252368,1.9835290322580645,3.4962609588639553,10.648941277284036,1072.0,1051.0,536.0,2044.0,1532.0,204.0,128,0,0,7,48,27.0,2048.0,28047.174199999987,1026.3599,15702.6419,759,9,0,128,0.3397332695629913,0.7403585709570901,0.3946276222785725,16,8677.81939999999,5615.4225000000015,48,0,634.0,0,0,0,0.0,0,0.0,735212.2028999989,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1954.2909000000013,254.0,3760.4593999999997,4,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,128,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7375630987575421,384,12880.37030000001,128,722331.8325999998,4,6425.5457,4,11820.746199999998,2,1825.0997000000002,-4309.6401,22.637210308149953,921.7633000000001,0,0,536,536,7 + two more theatres,sumsy,1,2.0372681319713593e-10
13,512,4,4,51126.52400000001,0.0,16649.898000000012,768.0734999999999,4909.119599999999,,4909.119599999999,0.0,0.0,0.0,0.0,0.0,0.0025,368.8279,0.0,0.0,1.0,599.4795000000003,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,40,1,0.98828125,0.7184133283004726,0.0,502.0,0.0,0.0,1.0,0,0,0,0.25003727862564973,0,535.0242787257664,-0.4903950841126709,534.5338836416538,11.571175535924917,1.614465594093591,13.185641130018507,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-1088.3519067462564,0.0,43,2560.0,748.5698999999995,1475.4433000000004,372.4652000000002,0.0,0.0,0.0,0.0,0.0,161,480.8999,2560.0,748.5698999999995,372.4652000000002,274.0,0.0,3.469,0.015,5.309707541899446,5.930206003752318,3.1348390624999976,1.986366221374045,3.488307072691503,10.329473038965515,1066.0,1074.0,533.0,2038.666666666667,1528.0000000000002,204.0,127,1,1,7,48,38.0,2047.0,29319.54030000001,1348.9947,15811.052099999999,759,9,0,128,0.34471452174523654,0.7403582351056859,0.3597561985458331,8,8628.082899999996,5702.625900000005,48,0,640.0,0,0,1,0.0,0,0.0,735638.1637000002,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,2006.2969999999984,256.0,3797.2091,4,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,127,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7370449335447968,384,12824.602400000014,128,722813.5613,4,6993.040800000001,4,12350.2204,2,1917.3944000000001,-4540.291699999999,23.99544292663895,921.7633000000001,0,0,533,533,7 + two more theatres,sumsy,1,2.0372681319713593e-10
