round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,107981.11140000085,0.0,1293.6001999999999,1293.6001999999999,561.0,,561.0,0.0,0.0,0.0,0.0,0.0,0.0025,943.937,0.0,0.0,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.6183863303892358,0.0,672.0,2.0,0.0,1.0,0,0,0,1.0,0,389.2731130392157,19.24499274509804,408.5181057843137,3.2545596078431345,17.895246862745097,21.14980647058823,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0,2560.0,1891.4389999999933,1293.6001999999999,945.1421999999932,0.0,0.0,0.0,0.0,0.0,0,252.3552,2560.0,1891.4389999999933,945.1421999999932,268.0,0.0,0.0,0.0,5.0,5.200000000000013,NaN,0.75,3.4662357414448666,3.920000000000001,320.0,72.0,160.0,2048.0,526.0,204.0,380,0,0,0,43,29.0,2048.0,101192.04150000066,1707.9275000000002,3884.8502,767,1,0,128,0.021362781750589477,0.6240790637070326,0.7499829571999077,0,2732.7744000000057,360.0,43,0,0.0,0,0,0,0.0,0,0.0,598146.6211500122,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,380,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6254908227483953,384,76344.48280000019,128,521802.13835000084,4,2354.16085,4,3152.25,2,252.3552,382.937,11.925,646.23335,0,0,160,160,"E2 + government, full money stock",sumsy,2,3.2014213502407074e-10
2,512,4,4,108635.05609999997,0.0,5882.5639,4653.6436,532.9501,,532.9501,0.0,0.0,0.0,0.0,0.0,0.0025,1299.0459,0.0,0.0,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.6195305275416692,0.0,961.0,0.0,0.0,1.0,0,0,0,0.25413906505522604,0,390.51333284313716,18.2815731372549,408.7949059803921,11.202054117647055,9.542561764705884,20.74461588235294,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-12.9361,0.0,0,2560.0,1906.055299999987,4653.6436,948.1951999999947,0.0,0.0,0.0,0.0,0.0,0,392.99890000000005,2560.0,1906.055299999987,948.1951999999947,268.0,0.0,0.0,0.015,4.893999999999954,5.474584666666677,NaN,1.1305273942093523,3.520026763110278,3.8023999999999996,900.0,1081.0,450.0,2048.0,1106.0,204.0,235,0,0,0,46,40.0,2048.0,95518.89019999998,3533.798,7890.3231,767,1,0,128,0.06628703122255675,0.6265041768057988,0.4839695459973934,0,5307.999699999991,5290.413999999951,46,0,0.0,0,0,0,0.0,0,0.0,597062.4335500001,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,235,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6272756578993115,384,75177.26189999987,128,521885.1716500005,4,2589.58435,4,4131.156300000001,2,392.99890000000005,766.0958,12.640500000000001,646.23335,0,0,450,450,"E2 + government, full money stock",sumsy,2,3.2014213502407074e-10
3,512,4,4,109275.33350000015,0.0,8025.954700000001,2440.7534000000005,504.90020000000004,,504.90020000000004,0.0,0.0,0.0,0.0,0.0,0.0025,1660.8462,0.0,0.0,1.0,549.1067999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.6206402111422418,0.0,1046.0,0.0,0.0,1.0,0,0,0,0.2554445026270721,0,399.5979012917015,18.53392769858267,418.13182899028413,14.393944766300608,7.058772847103763,21.45271761340437,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-71.76149999999998,0.0,2,2560.0,1919.7226000000041,4698.0372,951.1144000000027,0.0,0.0,0.0,0.0,0.0,0,131.0248,2560.0,1919.7226000000041,951.1144000000027,268.0,0.0,0.0,0.015,4.809766115702468,5.493960934579462,NaN,1.3338522471910121,3.362996708464011,3.6883279999999994,1070.0,1089.0,535.0,2048.0,1276.0,204.0,192,0,0,1,59,47.0,2048.0,93343.88730000005,5054.3135999999995,9085.2616,767,1,0,128,0.08476101262563329,0.6282344596186211,0.4214908396190695,0,5955.464400000008,5237.835299999988,59,0,0.0,0,0,0,0.0,0,0.0,596631.8295500042,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6288276167137097,384,74373.33609999996,128,522258.4934500001,4,2998.10875,4,4302.3695,2,494.2925,1155.946,13.398930000000002,646.23335,0,0,535,535,"E2 + government, full money stock",sumsy,2,3.2014213502407074e-10
4,512,4,4,109902.33669999981,0.0,9121.951899999996,1515.3978,476.8503,,476.8503,0.0,0.0,0.0,0.0,0.0,0.0025,2026.5075,0.0,0.0,1.0,539.6565000000002,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.6211403211868167,0.0,1052.0,0.0,0.0,1.0,0,0,0,0.2545086441591465,0,407.32768770150125,18.573487001732367,425.9011747032336,15.879763627228435,6.024402428232151,21.904166055460585,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-152.02129999999997,0.0,4,2560.0,1932.9967999999992,2958.0867,953.7712000000002,0.0,0.0,0.0,0.0,0.0,0,372.3918,2560.0,1932.9967999999992,953.7712000000002,268.0,0.0,0.0,0.015,5.441560315985136,5.402196857670961,NaN,1.436999444444446,3.0708835855449226,3.5776781599999987,1082.0,1076.0,541.0,2046.6666666666667,1288.0,204.0,189,0,0,0,52,47.0,2048.0,90955.51059999989,6750.580400000001,9797.3464,767,1,0,128,0.08913593716161072,0.6300949880836997,0.40472388233533296,0,5732.606799999997,5855.118900000006,52,0,0.0,0,0,0,0.0,0,0.0,595359.3998500011,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,189,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6303772741440974,384,72781.83379999996,128,522577.56605000026,4,3318.0759499999995,4,5264.9204,2,717.4961,1549.6571999999999,14.202865800000003,646.23335,0,0,541,541,"E2 + government, full money stock",sumsy,2,3.2014213502407074e-10
5,512,4,4,110516.08859999992,0.0,11424.5698,2797.7884,448.80039999999997,,448.80039999999997,0.0,0.0,0.0,0.0,0.0,0.0025,2317.7252,0.0,0.0,1.0,610.5414000000004,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.6228398682857132,0.0,1048.0,0.0,0.0,1.0,0,0,0,0.25656520262046345,0,361.28790094203845,15.86620486971178,377.1541058117502,14.9774248656029,4.635129233066566,19.612554098669467,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-243.24129999999994,0.0,4,2560.0,1946.2480999999996,2797.7884,957.0957000000002,0.0,0.0,0.0,0.0,0.0,0,308.3373,2560.0,1946.2480999999996,957.0957000000002,268.0,0.0,0.0,0.015,5.598311142587343,5.580863128491625,NaN,1.5822942164179115,3.229622162073107,3.4703478152,1074.0,1059.0,537.0,2048.0,1280.0,204.0,192,0,0,2,56,28.0,2048.0,87820.39749999998,7240.1225,12829.506099999999,767,1,0,128,0.1080175719058647,0.6330877996196551,0.4187061742536833,0,6047.9960000000165,5928.611499999995,56,0,0.0,0,0,0,0.0,0,0.0,594344.4565500004,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6330457278528112,384,71427.39589999997,128,522917.0606499998,4,3615.41885,4,6163.661599999999,2,830.8396,1868.9247999999998,15.055037748000004,646.23335,0,0,537,537,"E2 + government, full money stock",sumsy,2,3.2014213502407074e-10
6,512,4,4,111117.27240000003,0.0,11643.536499999997,854.0268000000001,420.7505,,420.7505,0.0,0.0,0.0,0.0,0.0,0.0025,2588.7172,0.0,0.0,1.0,628.1312999999999,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.6245342527940578,0.0,1051.0,0.0,0.0,1.0,0,0,0,0.26102826544054875,0,352.5565956190984,14.870445963612234,367.4270415827107,14.090523428333153,5.2767685475962915,19.367291975929444,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-357.4865000000002,0.0,4,2560.0,1958.8162000000004,854.0268,960.4998000000002,0.0,0.0,0.0,0.0,0.0,0,428.98220000000003,2560.0,1958.8162000000004,960.4998000000002,268.0,0.0,0.0,0.015,5.590488784165881,5.572528703703724,NaN,1.7510532467532478,3.1970010965771745,3.3662373807439994,1080.0,1061.0,540.0,2045.3333333333333,1286.0,204.0,189,0,0,1,44,22.0,2048.0,86733.24729999994,7365.0359,14001.2898,767,1,0,128,0.10833770878639704,0.6359787641202168,0.42385778929472706,0,6143.5479000000105,5931.5086,44,0,0.0,0,0,0,0.0,0,0.0,593401.5484500005,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,189,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6356333364237201,384,69867.23619999997,128,523534.3122500001,4,3825.03315,4,7048.975300000002,2,980.9616000000001,2167.9667,15.958340012880004,646.23335,0,0,540,540,"E2 + government, full money stock",sumsy,2,3.2014213502407074e-10
7,512,4,4,111706.67209999992,0.0,11034.4996,68.7246,392.7006,,392.7006,0.0,0.0,0.0,0.0,0.0,0.0025,2858.4094,0.0,0.0,1.0,627.2540999999998,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.6398659894480734,0.0,912.0,1.0,0.0,1.0,0,0,0,0.26170268870448643,0,402.1945589009376,14.270236317151374,416.46479521808897,16.524927274676404,6.483724696620893,23.008651971297297,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-473.9217000000001,0.0,5,2560.0,1970.6003000000017,732.3832,963.7954000000002,0.0,0.0,0.0,0.0,0.0,0,546.7625,2560.0,1970.6003000000017,963.7954000000002,268.0,0.0,0.0,0.015,5.5083824837812765,5.594712546816473,NaN,1.9249381578947378,3.202278682561601,3.2652502593216792,1068.0,1079.0,534.0,2046.6666666666665,1274.0,204.0,193,0,0,1,47,31.0,2048.0,88215.14169999988,5537.212799999999,14549.1457,766,2,0,128,0.12344677681983907,0.6505381927511011,0.40621160743504303,0,6161.6030000000255,5943.544699999998,47,0,0.0,0,0,0,0.0,0,0.0,659402.2150999987,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,193,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6510391301104206,384,68577.42570000004,128,590824.7894000001,4,2998.7461,4,7999.2982,2,1067.9295,2465.7088,16.915840413652806,732.0667,0,0,534,534,"E2 + government, full money stock",sumsy,2,3.2014213502407074e-10
8,512,4,4,112284.14740000002,0.0,10530.799399999998,177.4976,364.65070000000003,,364.65070000000003,0.0,0.0,0.0,0.0,0.0,0.0025,3134.4384,0.0,0.0,1.0,618.0383999999998,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.7023216880131591,0.0,911.0,3.0,0.0,1.0,0,0,0,0.25968121453374376,0,1042.5453667521203,14.287473297067407,1056.8328400491876,17.11655172876953,7.276659463541228,24.39321119231076,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-584.2670999999996,0.0,5,2560.0,1982.5246999999993,177.4976,966.904999999999,0.0,0.0,0.0,0.0,0.0,0,604.4519,2560.0,1982.5246999999993,966.904999999999,268.0,0.0,0.0,0.015,5.460705975723629,5.527379026217241,NaN,1.9675879699248118,3.196568091062493,3.167292751542029,1068.0,1071.0,534.0,2046.6666666666667,1274.0,204.0,193,0,0,2,47,33.0,2048.0,87858.77989999996,5595.8895999999995,15090.5876,766,2,0,128,0.12394636986635676,0.7088419601716993,0.42415275157635546,0,6184.360899999993,5848.416100000007,47,0,0.0,0,0,0,0.0,0,0.0,1.5509426270000008e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,193,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7106141879004506,384,67037.74529999991,128,1.4839048816999996e6,4,5502.4864,4,8896.283,2,1094.8065000000001,2769.7877,17.930790838471975,1897.0336499999999,0,0,534,534,"E2 + government, full money stock",sumsy,2,3.2014213502407074e-10
9,512,4,4,112849.98929999996,0.0,9856.7562,16.0295,336.6008,,336.6008,0.0,0.0,0.0,0.0,0.0,0.0025,3412.7875,0.0,0.0,1.0,612.6933999999999,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.7056850024909866,0.0,512.0,2.0,0.0,1.0,0,0,0,0.2596777273000703,0,1132.5694898914583,14.011987006191283,1146.5814768976497,17.352866710355965,8.165361660911907,25.51822837126787,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-689.5754999999997,0.0,7,2560.0,1994.1580999999985,288.6492,969.8676999999996,0.0,0.0,0.0,0.0,0.0,0,630.4875999999999,2560.0,1994.1580999999985,969.8676999999996,268.0,0.0,0.0,0.015,5.388275910364162,5.550514392523386,NaN,1.9544255159474682,3.1618462987012355,3.072273968995767,1070.0,1071.0,535.0,2045.3333333333335,1276.0,204.0,192,0,0,0,50,30.0,2048.0,87734.3021,5573.4136,15498.9985,766,2,0,128,0.1239778195357808,0.712364725443658,0.40885579504458325,0,6143.972799999993,5770.843500000017,50,0,0.0,0,0,0,0.0,0,0.0,1.662283554800001e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7141415876556294,384,65991.0659,128,1.5962924889e6,4,6024.982899999999,4,9709.507099999999,2,1090.0297999999998,3076.1866999999997,19.006638288780294,2043.404,0,0,535,535,"E2 + government, full money stock",sumsy,2,3.2014213502407074e-10
10,512,4,4,113404.44600000008,0.0,9165.882000000001,0.0,308.55089999999996,,308.55089999999996,0.0,0.0,0.0,0.0,0.0,0.0025,3695.991,0.0,0.0,1.0,604.5641999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.7080071796952696,0.0,645.0,1.0,0.0,1.0,0,0,0,0.25986652919805303,0,1205.482513206255,13.826794063987311,1219.3093072702422,17.11484260489817,9.217349916004453,26.332192520902623,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-788.1437000000001,0.0,8,2560.0,2005.5432999999987,99.82,972.6651000000004,0.0,0.0,0.0,0.0,0.0,0,640.3052,2560.0,2005.5432999999987,972.6651000000004,268.0,0.0,0.0,0.015,5.3053227528089915,5.541407262569829,NaN,1.9445745794392522,3.1142562165178256,2.9801057499258943,1074.0,1068.0,537.0,2048.0,1280.0,204.0,192,0,0,3,41,36.0,2048.0,87676.49740000008,5581.069799999999,15810.5826,766,2,0,128,0.1240052401592211,0.7148899964448032,0.4386849273713125,0,6095.532499999988,5666.084700000003,41,0,0.0,0,0,0,0.0,0,0.0,1.7400455632000018e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7166399616840242,384,64849.91589999999,128,1.6751956473000005e6,4,6489.764100000001,4,10425.9044,2,1069.035,3387.4401,20.147036586107113,2145.8506,0,0,537,537,"E2 + government, full money stock",sumsy,2,3.2014213502407074e-10
11,512,4,4,113947.7530000001,0.0,8475.007800000001,0.0,280.501,,280.501,0.0,0.0,0.0,0.0,0.0,0.0025,3984.9369,0.0,0.0,1.0,595.2566999999995,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.7082817069238734,0.0,777.0,0.0,0.0,1.0,0,0,0,0.26106979334021374,0,1224.6524007683404,13.64676135699343,1238.2991621253339,17.269463650041416,10.01947025772695,27.288933907768364,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-879.8020999999998,0.0,9,2560.0,2016.692999999999,55.4141,975.2867999999993,0.0,0.0,0.0,0.0,0.0,0,642.1345,2560.0,2016.692999999999,975.2867999999993,268.0,0.0,0.0,0.015,5.218772787193972,5.598631826742006,NaN,1.9303425330812842,3.0620399155088074,2.8907025774281183,1062.0,1062.0,531.0,2044.0000000000002,1268.0,204.0,194,0,0,2,39,37.0,2048.0,87630.91640000005,5650.857,16038.908200000002,766,2,0,128,0.12545754022870548,0.7155589143002365,0.42900131951955345,0,5973.6958000000295,5542.336699999998,39,0,0.0,0,0,0,0.0,0,0.0,1.7393456997e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,194,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7171937395380386,384,63831.67460000004,128,1.6755140250999995e6,4,6811.7831000000015,4,11059.0432,2,1040.0519,3704.4359000000004,21.35585878127354,2145.8506,0,0,531,531,"E2 + government, full money stock",sumsy,2,3.2014213502407074e-10
12,512,4,4,114480.1527999999,0.0,7784.133600000003,0.0,252.4511,,252.4511,0.0,0.0,0.0,0.0,0.0,0.0025,4279.7527,0.0,0.0,1.0,585.5462999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.7086262306923621,0.0,909.0,0.0,0.0,1.0,0,0,0,0.26276764157353727,0,1246.1039979114187,13.685809351007878,1259.7898072624264,17.424511354357737,10.951956500055081,28.37646785441282,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-964.5521000000006,0.0,10,2560.0,2027.6001999999992,619.374,977.7359999999996,0.0,0.0,0.0,0.0,0.0,0,640.066,2560.0,2027.6001999999992,977.7359999999996,268.0,0.0,0.0,0.015,5.121759885931553,5.588873446327669,NaN,1.9218527410207966,3.001892355459923,2.803981500105274,1062.0,1052.0,531.0,2045.3333333333333,1268.0,204.0,194,0,0,2,42,25.0,2048.0,87667.53480000005,5748.4501,16144.3492,766,2,0,128,0.12677325475172574,0.7162600932742567,0.43104202270795144,0,5892.183299999997,5388.091399999994,42,0,0.0,0,0,0,0.0,0,0.0,1.7387280355999996e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,194,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7177944225484734,384,62646.674399999945,128,1.676081361200001e6,4,7161.608,4,11569.2974,2,1007.171,4027.3016,22.637210308149953,2145.8506,0,0,531,531,"E2 + government, full money stock",sumsy,2,3.2014213502407074e-10
13,512,4,4,115001.82380000009,0.0,7093.259400000003,0.0,224.40120000000002,,224.40120000000002,0.0,0.0,0.0,0.0,0.0,0.0025,4581.2536,0.0,0.0,1.0,574.6629000000003,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.7089535537295726,0.0,909.0,0.0,0.0,1.0,0,0,0,0.25883955262258584,0,1270.4333593458928,13.510430960147922,1283.9437903060407,18.038880151113116,11.364432232978123,29.403312384091237,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-1042.3935999999997,0.0,10,2560.0,2038.3290000000013,0.0,980.0057999999999,0.0,0.0,0.0,0.0,0.0,0,636.1014,2560.0,2038.3290000000013,980.0057999999999,268.0,0.0,0.0,0.015,5.0199427140255,5.532057815442543,NaN,1.8969183364839326,2.939413795374473,2.719862055102116,1062.0,1098.0,531.0,2045.3333333333335,1268.0000000000002,204.0,194,0,0,1,57,43.0,2048.0,87502.87010000001,5857.0093,16424.589399999997,766,2,0,128,0.13218523751019506,0.7170211777183721,0.44346163793144244,0,5803.165599999982,5511.897099999999,57,0,0.0,0,0,0,0.0,0,0.0,1.7379090884000016e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,194,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7184259599016822,384,61597.01969999996,128,1.6763120687000002e6,4,7522.399000000001,4,12254.3508,2,972.3940000000001,4356.8524,23.99544292663895,2145.8506,0,0,531,531,"E2 + government, full money stock",sumsy,2,3.2014213502407074e-10
