round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,23990.656000000025,0.0,24112.782399999996,0.0,561.0,,0.0,0.0,561.0,0.0,561.0,0.0,0.00375,42.932,1683.0,0.0,1.0,561.0,1064.7573333333335,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.6742198940432671,0.0,512.0,1.0,0.0,1.0,0,0,0,1.0,120,103.62871497983504,2.6098039215686275,106.23851890140365,5.411483333333333,2.756862745098039,8.168346078431373,0.0,0.0,0.0,0.0,0,0,0.0,0.0,42.932,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,122.12639999999999,122.12639999999999,0.0,6,94.59,529.2139999999999,930.0100000000001,42.932,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,5.0,5.200000000000013,2.0,0.75,3.594822888283399,3.9200000000000013,320.0,72.0,160.0,2048.0,734.0,204.0,328,0,0,0,43,29.0,2048.0,18450.108400000012,136.1396,3462.6876,760,8,0,128,0.16664482368722133,0.6742198940432671,0.6607911610840667,0,2752.5999999999967,360.0,43,0,16.0,0,0,0,0.0,0,0.0,138934.2782458981,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,32.0,208.0,1898.7884,4,3.7582,3.7584,0.2934531174755133,5120.0,88.68977864583333,-0.2819104296875001,104,0,0.0,0,2625.824822985417,4540.916666666667,92,0.09391897654659788,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,0,12,0.0,0,0.0,1200.0,1.75,3601.487900000001,0.0,3601.487900000001,0.0,3.7582,4110.4983,5497.615600000001,0.682036414049245,384,13017.470588877877,128,125916.80765702054,4,0.0,4,0.0,2,114.28640000000101,42.932,11.925,150.0,0,0,160,160,"X2 debt money, SuMSy fiscal package (comparison)",debt,2,3.637978807091713e-12
2,512,4,4,25218.31130000001,0.0,25404.01500000002,0.0,1081.1717,,0.0,0.0,1081.1717,0.0,520.1717,2.1037,0.00375,327.0067,1683.0,0.0,1.0,561.0,828.0284166666667,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.7086007305319926,0.0,954.0,0.0,0.0,1.0,0,0,0,0.25413906505522604,306,138.30851955944152,1.8856827450980393,140.19420230453954,6.773054313725491,1.9213133333333334,8.694367647058824,0.0,0.0,0.0,0.0,0,0,0.0,0.0,327.0067,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,185.70369999999997,242.67050000000015,0.0,7,1760.0165000000004,532.3611999999999,2714.5664999999976,327.0067,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007343122053786039,4.884475485661381,5.485074666666651,1.8714948453608224,1.1310597285067856,3.4829030405405113,7.063538793859647,900.0,1081.0,450.0,2048.0,1184.0,204.0,216,0,0,0,46,40.0,2048.0,17653.086199999987,1279.5282000000002,4268.040599999999,760,8,0,128,0.20542248931680485,0.7086007305319926,0.437809220649106,1,4623.685599999979,5280.117999999952,46,0,194.0,0,0,0,0.0,0,0.0,156231.33304305014,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,363.06999999999954,78.0,1690.6496,4,94.3845,94.3848,0.6760720491922687,5120.0,78.26822916666667,-0.2640788004557291,255,0,0.0,0,4194.0698554094615,4007.3333333333335,298,0.4190472074980148,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,216,0.0,0,12,0.0,0,0.0,1200.0,388.1865999999999,12190.952998365192,0.0,12190.952998365192,0.0,94.3845,10036.934500000003,7238.2184,0.7154929977807616,384,12913.900809239045,128,143317.43223381185,4,0.0,4,0.0,2,178.25570000000002,327.0067,12.640500000000001,150.0,0,0,450,450,"X2 debt money, SuMSy fiscal package (comparison)",debt,2,3.637978807091713e-12
3,512,4,4,26164.891399999975,0.0,26392.804999999986,0.0,1306.2552,,0.0,0.0,1306.2552,0.0,225.0835,4.054399999999999,0.00375,272.348,1670.0357999999997,0.0,1.0,548.0357999999995,808.4789666666665,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.7265965110660313,0.0,1034.0,0.0,0.0,1.0,0,0,0,0.2554445026270721,367,166.83063092418163,1.8217487759232611,168.6523797001049,9.490905669302235,1.7267037538874528,11.217609423189687,0.0,0.0,0.0,0.0,0,0,0.0,0.0,272.34799999999996,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,227.91359999999997,373.4531999999998,0.0,9,1574.3329,627.7528,2126.2399000000005,272.34799999999996,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008759109871746839,4.814031680440779,5.478653084112175,1.909352419354838,1.3352129032258058,3.385446341999452,11.341496570204228,1070.0,1089.0,535.0,2048.0,1326.0,204.0,180,0,0,1,59,47.0,2048.0,18068.802799999976,1986.3809999999999,4364.6346,760,8,0,128,0.2754110912148393,0.7265965110660313,0.3877834033357108,1,5192.756700000007,5242.480500000009,59,0,124.0,0,0,0,0.0,0,0.0,170125.38632309315,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,236.7596999999999,50.0,1472.7250000000001,4,105.5877,105.58759999999998,0.9352155596458331,5120.0,72.65625,-0.25725760742187503,264,0,0.0,0,2940.638837866928,3720.0,363,0.5348823893128827,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,180,0.0,0,12,0.0,0,0.0,1200.0,1131.3902000000005,15447.99886438841,0.0,15447.99886438841,0.0,105.5877,11740.825799999979,7823.7406,0.7329686913943425,384,13753.091853196021,128,156372.29446989723,4,0.0,4,0.0,2,220.85759999999985,272.348,13.398930000000002,150.0,0,0,535,535,"X2 debt money, SuMSy fiscal package (comparison)",debt,2,3.637978807091713e-12
4,512,4,4,27256.586000000025,0.0,27515.06440000001,0.0,1578.9416,,0.0,0.0,1578.9416,0.0,272.6864,4.898463124999999,0.00375,332.6319,1657.6287749999992,0.0,1.0,540.1358999999995,750.4788999999996,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.7379575742062661,0.0,969.0,0.0,0.0,1.0,0,0,0,0.2544190373174689,375,180.84736256080734,1.6328122131914014,182.48017477399875,10.441241966077142,1.547006282729754,11.988248248806896,0.0,0.0,0.0,0.0,0,0,0.0,0.0,332.63190000000003,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,258.47839999999997,513.8609,0.0,21,1811.8316000000002,720.1370000000006,6585.391699999999,332.63190000000003,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010627706057197085,5.446263906976746,5.387218703703695,1.9482405405405399,1.4355804511278196,3.1993696209818814,16.472445615353944,1080.0,1075.0,540.0,2046.6666666666667,1316.0,204.0,182,0,0,0,52,46.0,2048.0,17874.925700000047,2692.1924999999997,5117.4922,760,8,0,128,0.3076680443492872,0.7379575742062661,0.3752615943920956,3,4974.100799999995,5854.7337000000025,52,0,74.0,0,0,0,0.0,0,0.0,175843.54814733937,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,144.16979999999995,30.0,1239.3437,4,103.85050000000001,103.85039999999998,1.097475137874491,5120.0,71.6552734375,-0.23920037760416665,141,0,0.0,0,867.9428457428874,3668.75,371,0.8529832848685278,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,182,0.0,0,12,0.0,0,0.0,1200.0,2003.1249000000005,14197.624347565754,0.0,14197.624347565754,0.0,103.85050000000001,12142.556900000032,9049.028400000001,0.7440247920941894,384,13221.65268009774,128,162621.8954672414,4,0.0,4,0.0,2,251.81439999999998,332.6319,14.202865800000003,150.0,0,0,540,540,"X2 debt money, SuMSy fiscal package (comparison)",debt,2,3.637978807091713e-12
5,512,4,4,30325.31019999997,0.0,30612.335500000012,0.0,1863.3026,,0.0,0.0,1863.3026,0.0,284.361,5.921037124999999,0.00375,335.1876,1692.7460999999996,0.0,1.0,611.0718000000005,754.7469599999997,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,0.98828125,0.76988802278137,0.0,656.0,0.0,0.0,1.0,0,0,0,0.25659373631831484,364,217.09389844851873,1.0978678042103704,218.19176625272908,10.164928343267217,1.1897393193570698,11.354667662624287,0.0,0.0,0.0,0.0,0,0,0.0,0.0,335.1876000000001,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,287.0253000000001,668.0078999999992,0.0,205,3883.2102,814.4860000000001,6503.9144000000015,335.1876000000001,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,5.0893,0.0089058731424053,5.598267327667616,5.577958472998146,1.9110207547169815,1.5786363636363652,3.210249132035656,15.978272246893328,1074.0,1059.0,537.0,2048.0,1313.0,204.0,183,0,0,3,56,28.0,2048.0,17347.7812,2199.8563,9463.749,759,9,0,128,0.3760699130773424,0.76988802278137,0.40347734420292647,10,5048.578100000014,5928.565100000005,56,0,53.0,0,0,0,0.0,0,0.0,209074.9497555518,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,101.28410000000002,33.0,978.7361,4,73.5554,73.5556,1.9208666004773383,5120.0,70.8251953125,-0.2270327490234375,64,0,0.0,0,1542.1935222465984,3626.25,360,1.1397549368711695,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,183,0.0,0,12,0.0,0,0.0,1200.0,2078.1540000000005,9636.293057237192,0.0,9636.293057237192,0.0,73.5554,11527.221700000013,12642.3414,0.7751464302560991,384,14043.519552094216,128,195031.43020345745,4,0.0,4,0.0,2,280.75329999999934,335.1876,15.055037748000004,150.0,0,0,537,537,"X2 debt money, SuMSy fiscal package (comparison)",debt,2,3.637978807091713e-12
6,512,4,4,30525.02919999999,0.0,30853.45709999998,0.0,2163.2285,,0.0,0.0,2163.2285,0.0,299.9259,6.987290874999999,0.00375,323.7375,1724.6847999999995,0.0,1.0,628.1260999999996,769.570083333333,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3,1,0.9869791666666666,0.7787936131857565,0.0,654.0,0.0,0.0,1.0,0,0,0,0.2610638428107976,345,220.64621362703488,0.5749850199835954,221.22119864701847,10.769608964907874,0.7773287452959285,11.546937710203803,0.0,0.0,0.0,0.0,0,0,0.0,0.0,323.73750000000007,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,328.42790000000025,849.7310999999992,0.0,376,1218.6087000000002,1018.8896999999993,3330.829599999999,323.73750000000007,0.0,0.0,0.0,0.0,0.0,20,0.0,0.0,0.0,0.0,0.0,0.0,58.9315,0.009129776971168086,5.588507305502847,5.564539219330863,1.8772200000000026,1.7514337121212105,3.2207311369344587,15.498924079486528,1076.0,1054.0,538.0,2044.0000000000002,1323.0,204.0,180,0,0,7,43,22.0,2048.0,16874.649999999994,1562.5926,10968.7074,758,10,0,128,0.4252754971723487,0.7787936131857565,0.44000118595537896,29,5185.784800000038,5890.286700000001,43,0,95.0,0,0,0,0.0,0,0.0,214284.56857788964,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,178.33590000000024,41.0,795.3417000000001,4,44.4978,44.49759999999999,2.0558125336398914,5120.0,70.8056640625,-0.21747304850260415,93,0,0.0,0,1306.5598908944191,3625.25,341,1.2775184173709198,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,180,0.0,0,12,0.0,0,0.0,1200.0,2018.4221999999993,9382.128264539197,0.0,9382.128264539197,0.0,44.4978,10614.54669999999,13326.6417,0.7837990511314419,384,13303.223864454161,128,200981.34471343577,4,0.0,4,0.0,2,322.5478999999988,323.7375,15.958340012880004,150.0,0,0,538,538,"X2 debt money, SuMSy fiscal package (comparison)",debt,2,3.637978807091713e-12
7,512,4,4,30855.09480000001,0.0,31207.841800000017,0.0,2474.6329,,0.0,0.0,2474.6329,0.0,311.4044,8.112090875,0.00375,314.9504,1747.0282714285713,0.0,1.0,627.0297,781.3028904761902,0.0,0.0,1.0,0.0,0.0,1.0,0.0,12,4,0.9869791666666666,0.770355993125543,0.0,115.0,1.0,0.0,1.0,0,0,0,0.26694411414982167,316,376.0223277651006,0.1289493604994335,376.1512771256,10.3494599167813,0.5054299592355439,10.854889876016843,0.0,0.0,0.0,0.0,0,0,0.0,0.0,314.95040000000006,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,352.74700000000024,1035.0495999999994,0.0,577,1421.9303,1091.8647,3842.0564999999992,314.95040000000006,0.0,0.0,0.0,0.0,0.0,26,0.0,0.0,0.0,0.0,0.0,0.0,35.5779,0.011811849728712534,5.499794923371652,5.572474999999971,1.850982786885246,1.9204613899613898,3.220295590905681,15.03395635710193,1056.0,1044.0,528.0,2038.666666666667,1311.0,204.0,182,5,5,22,44,30.0,2043.0,15746.687399999995,1495.9993,12643.9049,758,10,0,128,0.4434641150352763,0.770355993125543,0.46642333281995274,49,5216.605700000031,5741.785900000004,49,5,122.0,0,0,5,0.0,0,0.0,428196.71694131836,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,225.81990000000002,49.0,653.5527999999999,4,23.4017,23.402199999999947,2.2025165928056114,5120.0,70.73079427083333,-0.15541975585937498,125,0,0.0,0,1217.9772056865115,3621.4166666666665,312,1.4025372011061605,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,182,0.0,0,12,0.0,0,0.0,1200.0,1845.4025000000006,7682.382904147383,0.0,7682.382904147383,0.0,23.4017,9345.263500000001,14793.457,0.7760455511745885,384,11982.52047999974,128,416214.1964613182,4,0.0,4,0.0,2,347.2589999999994,314.9504,16.915840413652806,425.28675,0,0,528,528,"X2 debt money, SuMSy fiscal package (comparison)",debt,2,3.637978807091713e-12
8,512,4,4,30245.064699999977,0.0,30617.816300000035,0.0,2786.0371,,0.0,0.0,2786.0371,0.0,311.4042,9.279757374999999,0.00375,310.9438,1760.0527499999998,0.0,1.0,617.0746999999999,787.2533291666664,0.0,0.0,1.0,0.0,0.0,1.0,0.0,20,5,0.9869791666666666,0.7683395109094626,0.0,105.0,2.0,0.0,1.0,0,0,0,0.2738545015489651,290,511.3643746596436,-0.013323847960430079,511.35105081168314,10.059536049064244,0.3781943155064859,10.43773036457073,0.0,0.0,0.0,0.0,0,0,0.0,0.0,310.9438,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,372.7516000000005,1227.8893999999987,0.0,759,573.5170999999999,1183.5471999999988,4152.382799999999,310.9438,0.0,0.0,0.0,0.0,0.0,30,0.0,0.0,0.0,0.0,0.0,0.0,37.5906,0.011864459948138024,5.4439278381046385,5.47644466019414,1.9646991452991462,1.961099207920792,3.1830128530025865,14.582937666388872,1030.0,1013.0,515.0,2013.6666666666672,1283.0000000000002,204.0,186,19,19,20,46,31.0,2027.0,14720.784099999993,1390.8812,13291.4621,758,10,0,128,0.4625923091140951,0.7683395109094626,0.4766324941748832,76,5074.158300000013,5514.6988999999985,48,2,117.0,0,0,19,0.0,0,0.0,602100.8955909486,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,229.8698000000001,47.0,530.9934999999999,4,26.541700000000002,26.54159999999999,2.298139823997788,5120.0,70.70149739583333,-0.1033434293619792,108,0,0.0,0,1105.6776553894401,3619.9166666666665,286,1.4554134177660922,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,186,0.0,0,12,0.0,0,0.0,1200.0,1694.064399999999,7006.901591481087,0.0,7006.901591481087,0.0,26.541700000000002,8068.4894,15213.336800000001,0.7742176759165293,384,10450.040855204774,128,591650.8547357444,4,0.0,4,0.0,2,367.6556000000014,310.9438,17.930790838471975,650.4065499999999,0,0,515,515,"X2 debt money, SuMSy fiscal package (comparison)",debt,2,3.637978807091713e-12
9,512,4,4,29646.916599999997,0.0,30024.238100000046,0.0,3090.3595,,0.0,0.0,3090.3595,0.0,304.3224,10.447457374999999,0.00375,313.7667,1766.097533333333,0.0,1.0,604.8186000000001,786.8644999999997,0.0,0.0,1.0,0.0,0.0,1.0,0.0,40,11,0.9869791666666666,0.7729149322004605,0.0,105.0,1.0,0.0,1.0,0,0,0,0.28853340835796826,257,527.9769388539303,-0.25946825758807657,527.7174705963422,9.87553357716447,0.19666884136453125,10.072202418529002,0.0,0.0,0.0,0.0,0,0,0.0,0.0,313.7667,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,377.3215000000006,1415.2744999999989,0.0,943,595.3508,1193.4989000000012,3317.5595,313.7667,0.0,0.0,0.0,0.0,0.0,75,0.0,0.0,0.0,0.0,0.0,0.0,64.1839,0.01247329757486653,5.379415368852461,5.531542063492061,1.9912860655737703,1.9387803643724708,3.139696497076494,14.145449536397203,1008.0,976.0,504.0,2000.3333333333337,1261.0,202.0,192,29,24,41,46,26.0,2019.0,13904.165399999998,1345.0819999999999,13661.9185,758,10,0,128,0.4926372272753874,0.7729149322004605,0.4927454254897845,110,4916.912999999995,5250.309400000002,49,3,122.0,0,0,29,0.0,0,0.0,605508.3077696643,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,242.93689999999998,49.0,421.98400000000004,4,80.1504,80.15130000000008,2.4575369084390513,5120.0,70.4345703125,-0.09131580566406251,107,0,0.0,0,1481.1453253159311,3606.25,253,1.4837621430628918,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,12,0.0,0,0.0,1200.0,1544.1954000000003,6631.2680654958895,0.0,6631.2680654958895,0.0,80.1504,7701.473999999998,15428.984500000002,0.7786912928473579,384,9067.940997266767,128,596440.366772397,4,0.0,4,0.0,2,372.6175,313.7667,19.006638288780294,646.9182,0,0,504,504,"X2 debt money, SuMSy fiscal package (comparison)",debt,2,3.637978807091713e-12
10,512,4,4,29376.369900000016,0.0,29753.198400000056,0.0,3382.8752,,0.0,0.0,3382.8752,0.0,292.5157,11.588623125,0.00375,320.3183,1767.8958599999994,0.0,1.0,594.6936,782.4421833333329,0.0,0.0,1.0,0.0,0.0,1.0,0.0,42,13,0.9869791666666666,0.7710283139187517,0.0,102.0,1.0,0.0,1.0,0,0,0,0.3324183868103109,231,514.7993866723683,-0.2945922190055668,514.5047944533628,9.923064975494023,0.1476040563830166,10.07066903187704,0.0,0.0,0.0,0.0,0,0,0.0,0.0,320.3183,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,376.82850000000053,1599.6235999999992,0.0,1130,1013.8564000000002,1284.4030999999993,3819.9890999999975,320.3183,0.0,0.0,0.0,0.0,0.0,72,0.0,0.0,0.0,0.0,0.0,0.0,95.3811,0.013389481357631083,5.287843907793628,5.520766053169707,2.014930534351144,1.934277870563674,3.0927460040734727,13.721086050305288,978.0,911.0,489.0,1966.0000000000011,1234.0,201.0,196,59,55,47,38,32.0,1979.0,13553.653599999998,1318.3825000000002,13863.336400000002,758,10,0,128,0.5129306236186657,0.7710283139187517,0.49073573263255055,118,4742.966899999993,4817.225799999996,41,3,131.0,0,0,59,0.0,0,0.0,591293.4670903104,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,263.9558999999999,53.0,320.6791,4,141.6254,141.6270000000001,2.243179201423611,5120.0,70.39225260416667,-0.08975271972656251,87,0,0.0,0,927.7870069583511,3604.0833333333335,227,1.4799075255091567,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,196,0.0,0,12,0.0,0,0.0,1200.0,1414.0547999999994,6442.273427630592,0.0,6442.273427630592,0.0,141.6254,7614.889399999996,15502.398000000003,0.7766692008122593,384,8468.124531681844,128,582825.342558629,4,0.0,4,292.5157,2,372.51650000000143,320.3183,20.147036586107113,639.97515,0,0,489,489,"X2 debt money, SuMSy fiscal package (comparison)",debt,2,3.637978807091713e-12
11,511,4,4,28353.26240000001,0.0,28731.674099999967,0.0,3648.182,,0.0,0.0,3648.182,0.0,265.3068,12.685723124999999,0.00375,323.8422,1763.4341999999995,0.0,1.0,572.9392000000001,775.1603909090904,0.0,0.0,1.0,0.0,0.0,1.0,0.0,42,9,0.9869791666666666,0.7731323920588948,0.0,102.0,0.0,0.0,1.0,0,0,0,0.37997643296018846,219,533.1192157660462,-0.2470260397773385,532.8721897262689,10.539871276363362,0.13044532361995012,10.670316599983312,0.0,0.0,0.0,0.0,0,0,0.0,0.0,323.8422,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,378.41170000000056,1786.021699999997,0.0,1282,290.4719999999999,1313.5795,2677.526300000001,323.8422,0.0,0.0,0.0,0.0,0.0,79,0.0,0.0,0.0,0.0,0.0,0.0,107.69479999999999,0.013154079844939832,5.21947844036697,5.505489333333331,2.0416791666666683,1.9208381818181837,3.0520623054532723,13.30945346879613,900.0,872.0,450.0,1915.666666666668,1154.9999999999998,197.0,208,84,65,53,34,31.0,1950.0,13174.150799999994,1299.0752000000002,13326.2209,758,10,0,128,0.545158751838003,0.7731323920588948,0.4862520963170185,151,4371.0216,4551.385199999998,41,7,144.0,0,0,84,0.0,0,0.0,596035.9899134305,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,294.00180000000023,58.0,229.9733,4,238.69029999999998,238.69200000000012,2.364425378745876,5120.0,70.09602864583333,-0.0862009375,82,0,0.0,0,1272.5066735709597,3588.9166666666665,215,1.4909963291808446,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,208,0.0,0,12,0.0,0,0.0,1200.0,1362.8028,6245.802186702642,0.0,6245.802186702642,0.0,238.69029999999998,7294.225799999995,14855.2694,0.7785638322651263,383,7830.388633919856,128,588205.6012795112,4,0.0,4,557.8225,2,374.49169999999873,323.8422,21.35585878127354,639.97515,1,0,450,450,"X2 debt money, SuMSy fiscal package (comparison)",debt,2,3.637978807091713e-12
12,508,4,4,27656.36180000003,0.0,27780.869899999998,0.0,3897.8107999999997,,0.0,0.0,3897.8107999999997,0.0,249.6288,13.680523124999999,0.00375,304.8428,1756.4289249999993,0.0,1.0,559.7902999999995,775.7960249999995,0.0,0.0,1.0,0.0,0.0,1.0,0.0,40,0,0.9869791666666666,0.7724132999083952,0.0,105.0,1.0,0.0,1.0,0,0,0,0.39794055103550297,199,536.254008062194,-0.20905758709307612,536.0449504751009,10.763613204018446,0.12911927921868457,10.89273248323713,0.0,0.0,0.0,0.0,0,0,0.0,0.0,304.8428,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,124.50810000000088,1964.3541999999968,0.0,1473,624.799,1321.6996000000004,4143.648800000001,304.8428,0.0,245.25739999999996,0.0,0.0,0.0,85,0.0,0.0,0.0,0.0,0.0,0.0,122.85549999999996,0.014271616325581011,5.0926551682692285,5.600019036697236,2.028234306569344,1.9024690140845057,2.989718353555162,12.910169864732245,872.0,832.0,436.0,1880.3333333333342,1118.0,194.99999999999997,208,104,77,58,35,24.0,1913.0,13202.545300000002,1353.7337000000002,12657.5743,758,10,0,128,0.5512966025049033,0.7724132999083952,0.4727625293323725,158,4395.526499999985,4237.089099999998,41,6,137.0,0,0,104,0.0,0,0.0,590051.1850825464,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,277.86810000000014,55.0,137.66570000000002,4,201.10520000000002,201.10630000000012,2.3440291499645047,5120.0,69.89583333333333,-0.08474221516927083,65,0,0.0,0,1005.4915604485332,3578.6666666666665,195,1.4798411862665775,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,208,0.0,0,12,0.0,0,0.0,1200.0,1359.8007,5862.393203634074,0.0,5862.393203634074,0.0,201.10520000000002,7672.221400000002,14148.973700000002,0.7778655449994158,380,7449.817432628795,128,582601.3676499171,4,0.0,4,807.4513,2,120.98010000000093,304.8428,22.637210308149953,633.0321,3,0,436,436,"X2 debt money, SuMSy fiscal package (comparison)",debt,2,3.637978807091713e-12
