round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,deaths,closures,production_target_farms,production_target_bakeries,variant,system,seed,identity,seconds
1,64,3,3,2239.871,0.0,2249.471,0.0,353.631,353.631,0.0,0.0,0.0,0.0,0.00375,0.0,9.6,9.6,0.0,28,361.471,41.6,2074.1922000000004,24.98850000000002,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,297.737,507.08299999999946,0.05,5.0,5.199999999999999,NaN,0.75,3.768516397709526,3.920000000000001,60.0,9.0,30.0,256.0,113.0,25.0,34,0,0,0,6,3.0,256.0,2239.871,0.0,0.0,96,0,0,16,0.08465754696364214,0.29534890716358064,0.37478992197475325,0,406.47099999999995,45.0,6,0,0.0,0,0,0,0.0,0,0.0,1431.871,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,26.0,0.0,2,0.0,0.0,NaN,640.0,100.0,0.0,0,0,0.0,0,0.0,640.0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,34,0.0,0,8,0.0,0,0.0,0.0,1888.0,1546.8600000000001,0.0,1546.8600000000001,0.0,0.0,98.4,0.0,0.38658747828170603,48,1732.1390000000004,16,-300.2679999999999,3,0.0,3,0.0,2,11.35999999999991,-353.631,11.25,0,0,30,30,no greed,debt,1,4.547473508864641e-13,31.404989176
2,64,3,3,2200.9486,0.0,2214.2304,0.0,652.5969999999999,337.5859,272.7480999999999,42.263,272.7480999999999,0.0,0.00375,0.0,13.2818,21.004199999999994,0.0,44,20.9189,59.84129999999999,1418.2393000000002,128.21070000000006,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,302.26300000000003,133.8663,0.0025880187570029318,4.766558646616545,5.508797872340429,1.8499999999999976,1.1389382978723406,3.512248694974687,3.8023999999999996,94.0,133.0,47.0,256.0,151.0,25.0,26,0,0,0,6,2.0,256.0,2159.2259,21.5293,20.1934,96,0,0,16,0.14897635232955486,0.2780589551553181,0.2503855956919856,0,980.0987999999998,633.9523000000005,6,0,68.0,0,0,0,0.0,0,0.0,3162.3804922810664,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,125.79999999999984,30.0,0.0,2,0.0,0.0,0.7914598918130559,640.0,97.34375,0.00814896484375,33,0,0.0,0,351.11195144870635,623.0,19,0.40744824218750003,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,26,0.0,0,8,0.0,0,0.0,0.0,1856.0,2199.1153999479434,0.0,2199.1153999479434,0.0,0.0,854.2212999999999,41.7227,0.36886946253241404,48,1796.4181878505328,16,1365.9623044305342,3,0.0,3,0.0,2,19.11560000000009,-337.5859,11.25,0,0,47,47,no greed,debt,1,4.547473508864641e-13,31.404989176
3,64,3,3,2662.426299999999,0.0,2679.8239999999996,0.0,785.4133999999999,319.8176,465.5957999999999,0.0,192.84769999999997,1.0226762499999997,0.00375,0.0,17.3977,32.19049999999999,0.0,74,523.4841,62.00639999999999,4601.240999999998,102.86989999999999,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,198.13239999999996,0.0,0.00318232492264836,4.67624452554744,5.4568223880597095,1.8094444444444444,1.3488029850746275,3.3985255567098323,3.6883279999999994,134.0,137.0,67.0,256.0,172.0,25.0,20,0,0,1,8,4.0,256.0,2117.4838,307.6995,237.243,96,0,0,16,0.11676196767125191,0.3298248098258598,0.15775916921883604,0,862.6321,640.6454999999993,8,0,27.0,0,0,0,0.0,0,0.0,3696.7044040161645,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,48.855,11.0,0.0,2,0.0,0.0,0.9513041953541643,640.0,95.5859375,0.10643408203125,43,0,0.0,0,185.9511657277942,611.75,34,0.8858769531249999,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,0.0,0,8,0.0,0,0.0,497.4905,2336.4758,2319.080652526756,0.0,2319.080652526756,0.0,0.0,1222.5573000000006,544.9425,0.41229210670958083,48,1792.5681288726582,16,1904.1362751435079,3,0.0,3,0.0,2,27.739399999999982,-319.8176,17.08407446808511,0,0,67,67,no greed,debt,1,4.547473508864641e-13,31.404989176
4,64,3,3,2755.2989000000007,0.0,2778.2154,0.0,942.6849999999998,302.0499,640.6350999999999,0.0,175.0393,1.7458381249999997,0.00375,0.0,22.9165,44.60610000000001,0.0,109,181.9284,89.05580000000002,5687.1091000000015,100.60410000000027,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,178.8856,0.0,0.0013175630370320128,4.5612134328358245,5.378840298507464,1.8265540540540535,1.437240298507463,3.245297544430776,3.5776781599999987,134.0,134.0,67.0,254.66666666666666,177.0,25.0,18,0,0,0,5,5.0,256.0,1955.7433,457.7454,274.2277,96,0,0,16,0.10464719555091895,0.46785192373707374,0.13031899145547454,0,748.9942,611.2026000000005,5,0,37.0,0,0,0,0.0,0,0.0,4906.475142332225,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,67.58249999999998,16.0,67.5825,2,0.0,0.0,1.1083288843065473,640.0,94.55078125,0.156163203125,38,0,0.0,0,90.38470132611344,605.125,37,0.9951528320312499,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,18,0.0,0,8,0.0,0,0.0,662.0578,2462.1033999999995,2097.7116005194266,0.0,2097.7116005194266,0.0,0.0,1209.7744,799.5556,0.5304399893118672,48,1712.5538810916419,16,3193.921261240584,3,0.0,3,0.0,2,39.168999999999926,-302.0499,20.232044776119412,0,0,67,67,no greed,debt,1,4.547473508864641e-13,31.404989176
5,64,3,3,2882.1367999999993,0.0,2910.6330999999996,0.0,1114.0166999999997,354.0393,759.9773999999996,0.0,119.3423,2.402168125,0.00375,0.0,28.4963,56.8979,0.0,122,224.5215,97.6836,1492.6568000000004,95.54110000000003,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,189.17579999999998,0.0,0.0010511368931657157,4.430913385826776,5.2828164179104515,1.7707033333333324,1.5700507462686564,3.0736817048724414,3.4703478152,134.0,127.0,67.0,256.0,173.0,25.0,20,0,0,1,5,0.0,256.0,1879.658,641.0835,277.6121,96,0,0,16,0.08649545555627669,0.5485504693348693,0.1318923804855927,0,730.5750999999998,562.7260000000006,5,0,30.0,0,0,0,0.0,0,0.0,5955.548474225663,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,53.12109999999997,12.0,83.7832,2,0.0,0.0,1.186440263867161,640.0,93.41796875,0.19579664062500002,33,0,0.0,0,98.66531350376088,597.875,37,1.0356859375,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,0.0,0,8,0.0,0,0.0,806.1364999999998,2540.8535999999995,1788.9937268267565,0.0,1788.9937268267565,0.0,0.0,1177.3594999999993,1002.4787999999999,0.5991936956419044,48,1694.313894941824,16,4261.234579283838,3,0.0,3,0.0,2,50.72060000000013,-354.0393,21.558604477611947,0,0,67,67,no greed,debt,1,4.547473508864641e-13,31.404989176
6,64,3,3,3278.435700000001,0.0,3312.8488,0.0,1286.2768999999996,430.2625,856.0143999999997,0.0,96.03699999999998,2.8495541249999996,0.00375,0.5237,34.4131,69.3359,0.0,141,505.01919999999996,108.72030000000002,3294.4743999999987,92.4227999999996,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,187.8628,0.0,0.002525253566402764,4.3015106060606065,5.213836363636363,1.8163000000000002,1.6602787878787884,2.976984260738726,3.3662373807439994,132.0,132.0,66.0,254.66666666666669,169.0,25.0,21,0,0,1,4,1.0,256.0,1815.5047000000002,698.4961,666.9942,96,0,0,16,0.08905996377343417,0.554317101609022,0.13697125949090383,0,708.6521999999999,567.7994000000001,4,0,24.0,0,0,0,0.0,0,0.0,5956.955874368173,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,43.59120000000001,10.0,96.917,2,1.7458,1.2218999999999998,1.2199471874191585,640.0,92.32421875,0.28562642578125,33,0,0.0,0,88.17357814425492,590.875,37,1.0125214843750001,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,21,0.0,0,8,0.0,0,0.0,1194.0207999999998,2865.9654000000005,1219.5612956594118,0.0,1219.5612956594118,0.0,1.7458,1121.5272,1462.4073000000003,0.6017903990708504,48,1724.1958300217784,16,4232.760044346395,3,2.5611999999999853,3,0.0,2,62.945999999999756,-429.73879999999997,23.550761194029846,0,0,66,66,no greed,debt,1,4.547473508864641e-13,31.404989176
7,64,3,3,3275.0954,0.0,3309.3218,0.0,1449.3717999999997,508.4766,940.8951999999997,0.0,84.8808,3.209637249999999,0.00375,1.3027,34.2264,82.69419999999998,0.0,145,131.2251,134.5654,145.17079999999999,90.84289999999983,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,178.2142,0.0,0.003008020285062597,4.195239130434786,5.12537878787879,1.815844444444444,1.5822545454545458,2.897044469434831,3.2652502593216792,132.0,138.0,66.0,254.66666666666666,170.0,25.0,20,0,0,1,7,5.0,256.0,1714.1062000000006,727.0416,720.8845,96,0,0,16,0.09608098706194523,0.589989846359662,0.131659260929329,0,685.6002,578.9430000000004,7,0,27.0,0,0,0,0.0,0,0.0,6694.597879995133,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,49.027799999999985,11.0,111.7604,2,4.3426,3.0395999999999996,1.1611289128775202,640.0,91.0546875,0.30462626953125005,42,0,0.0,0,105.59317497319012,582.75,37,1.100677176339286,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,0.0,0,8,0.0,0,0.0,1194.0207999999998,2785.2179,1117.5973448350235,0.0,1117.5973448350235,0.0,4.3426,1035.2128,1559.6865,0.631016037945489,48,1711.4090739795852,16,4983.188806015547,3,13.776800000000037,3,0.0,2,62.96460000000002,-507.1739,24.904181818181826,0,0,66,66,no greed,debt,1,4.547473508864641e-13,31.404989176
8,64,3,3,3368.5999999999995,0.0,3403.1360999999997,0.0,1617.3132999999993,564.3303,1052.9829999999995,0.0,112.0878,3.5276626249999987,0.00375,1.5278,34.536100000000005,96.1623,0.0,187,234.0638,140.5592,6413.0377,87.88650000000013,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,181.6678,0.0,0.00784321581553283,4.09387014925373,5.100309090909091,1.8435000000000001,1.533830303030303,2.7911362494358274,3.167292751542029,132.0,134.0,66.0,254.66666666666669,170.0,25.0,21,0,0,2,9,4.0,256.0,1653.0654999999997,726.8962,874.6014,96,0,0,16,0.1159590063506255,0.5925833615097618,0.13294205843194806,1,671.0353000000001,548.5785999999998,9,0,27.0,0,0,0,0.0,0,0.0,6595.416759624299,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,49.7745,11.0,112.50909999999999,2,5.0943,3.5661000000000005,1.0093273245914625,640.0,86.5625,0.33476693359375004,40,0,0.0,0,49.44300522568205,554.0,37,1.194940185546875,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,21,0.0,0,8,0.0,0,0.0,1312.8318,2824.1721000000002,902.7859049480969,0.0,902.7859049480969,0.0,5.0943,987.7245,1714.0067000000001,0.6203932859779706,48,1702.0676965136183,16,4893.34906311068,3,60.19100000000003,3,0.0,2,63.97600000000004,-562.8025,23.733818181818187,0,0,66,66,no greed,debt,1,4.547473508864641e-13,31.404989176
9,64,3,3,3322.267100000001,0.0,3358.2593000000006,0.0,1765.8216999999995,617.6563,1148.1653999999996,0.0,95.18239999999999,3.947741124999999,0.00375,2.5,35.99220000000001,110.4025,0.0,224,104.3669,150.69980000000007,5899.140700000004,88.39689999999987,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,162.93850000000003,0.0,0.0017758307443274312,4.016392142857139,5.009127941176471,1.8672000000000002,1.482385294117647,2.711905000353204,3.072273968995767,136.0,140.0,68.0,253.33333333333334,174.0,25.0,19,0,0,0,10,6.0,256.0,1552.0196,740.5384,916.7996,96,0,0,16,0.09184326062956938,0.644495572025914,0.13909857157412975,1,649.7151999999999,562.2948999999995,10,0,27.0,0,0,0,0.0,0,0.0,7736.068479453471,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,50.41440000000001,11.0,110.40950000000001,2,8.3332,5.832300000000004,1.1126880357597337,640.0,85.17578125,0.34526318359375,44,0,0.0,0,74.16454820908857,545.125,37,1.3193841145833334,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,19,0.0,0,8,0.0,0,0.0,1312.8318,2725.8876999999998,891.5073130667269,0.0,891.5073130667269,0.0,8.3332,930.5559999999998,1767.7475,0.6599369815102349,48,1739.4751491904549,16,5996.593330263018,3,96.53039999999999,3,0.0,2,67.28019999999992,-615.1563,23.007454545454546,0,0,68,68,no greed,debt,1,4.547473508864641e-13,31.404989176
10,64,3,3,3443.0737000000004,0.0,3480.805600000001,0.0,1916.3354999999995,653.7263,1262.6091999999994,0.0,114.4438,4.304631249999998,0.00375,1.7035,37.7319,124.57520000000007,0.0,237,277.80519999999996,156.99859999999998,1322.847,85.69230000000015,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,164.6375,0.0,0.001838594057056025,3.9081338461538464,4.9849594202898535,1.7878277777777773,1.500420588235294,2.646744794044783,2.9801057499258943,138.0,130.0,69.0,256.0,173.0,25.0,20,0,0,1,7,2.0,256.0,1567.6764000000003,755.9879000000001,1042.7647000000002,95,1,0,16,0.09919254939986333,0.6484582030888757,0.13964453148965705,1,640.5642999999999,508.05740000000003,7,0,18.0,0,0,0,0.0,0,0.0,7656.7559100169965,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,32.180899999999994,8.0,74.94120000000001,2,5.6813,3.9778999999999995,1.1273015167772167,640.0,84.08203125,0.3702987459788603,33,0,0.0,0,57.20336663009048,538.125,37,1.2991982421875001,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,0.0,0,8,0.0,0,0.0,1485.5779,2807.566800000001,708.9948762495837,0.0,708.9948762495837,0.0,5.6813,945.1002,1873.6938,0.649389271366213,48,1741.9822687755775,16,5914.773641241419,3,117.3691,3,34.88689999999997,2,71.1516,-652.0228000000001,22.235779411764703,0,0,69,69,no greed,debt,1,4.547473508864641e-13,31.404989176
11,64,3,3,3433.0731,0.0,3467.1173000000003,0.0,2080.1059999999993,679.1331,1400.9728999999993,0.0,138.36370000000002,4.7336909999999985,0.00375,1.6323,34.0442,138.74420000000015,0.0,283,160.26319999999996,170.26380000000003,6546.037199999999,82.22040000000017,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,174.83880000000002,0.0,0.006984469319646483,3.9761846715328475,4.963659701492538,1.7996176470588239,1.4792181818181813,2.6168897552610786,2.8907025774281183,134.0,137.0,67.0,254.66666666666669,168.00000000000003,25.0,21,1,1,1,8,6.0,255.0,1493.5759,746.8788,1123.9383,95,1,0,16,0.1397715699868347,0.666783791490257,0.14626120694651346,0,631.5168,544.7373000000001,8,0,17.0,0,0,1,0.0,0,0.0,7902.785298754243,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,30.593500000000006,7.0,67.0478,2,5.4407,3.8085,1.1690933516638573,640.0,83.26171875,0.38288500172334555,21,0,0.0,0,37.358644826401814,532.875,36,1.3917453835227271,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,21,0.0,0,8,0.0,0,0.0,1532.2785000000001,2677.3748,534.2352021664153,0.0,534.2352021664153,0.0,5.4407,861.2446000000003,1937.8649000000003,0.6650107378759234,48,1694.2402171620192,16,6208.545081592225,3,183.8494,3,45.65840000000003,2,64.16819999999981,-677.5008,22.50630882352941,0,0,67,67,no greed,debt,1,4.547473508864641e-13,31.404989176
12,64,3,3,3423.2766999999994,0.0,3423.2767999999996,0.0,2231.312699999999,739.6021,1491.710599999999,0.0,90.73769999999999,5.252582874999999,0.00375,2.8562,0.00010000000000320863,153.16530000000012,0.0,324,167.8397,177.63609999999997,6014.982599999996,83.59210000000003,0.0,31.030200000000008,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,160.6049,0.0,0.0024874252910579387,3.931726399999999,4.9272560606060605,1.7769250000000003,1.4825353846153848,2.6146875802314145,2.803981500105274,132.0,125.0,66.0,253.66666666666669,169.0,25.0,20,0,0,0,2,1.0,256.0,1471.8444,758.5677000000001,1113.0224,95,1,0,16,0.1281964953292618,0.6546677587417542,0.15664168170160297,1,649.1460999999999,491.4657999999999,2,0,20.0,0,0,0,0.0,0,0.0,8036.762846257967,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,35.538500000000006,10.0,76.98599999999999,2,9.522499999999999,6.666499999999999,1.1773550463216909,640.0,82.8515625,0.3849149165482954,22,0,0.0,0,25.847898638113683,530.25,36,1.3897364908854166,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,0.0,0,8,0.0,0,0.0,1532.2785000000001,2581.7655999999997,527.610534321886,0.0,527.610534321886,0.0,9.522499999999999,851.5303000000001,1948.5760999999998,0.6638523737117525,48,1789.854852705375,16,6246.90799355259,3,227.97039999999998,3,52.52890000000002,2,-3.5280999999997946,-736.7459,22.188272727272718,0,0,66,66,no greed,debt,1,4.547473508864641e-13,31.404989176
13,64,3,3,3371.5267,0.0,3385.6173000000003,0.0,2391.8018999999986,786.7808,1605.0210999999988,0.0,113.31049999999998,5.592606999999998,0.00375,2.038,14.090600000000002,167.49940000000007,0.0,329,131.57180000000005,183.32179999999994,401.26849999999996,78.20010000000026,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,166.61430000000001,0.0,0.0025911417457687796,3.8723945736434104,4.897675384615384,1.7645909090909093,1.4511734375000005,2.4992503401842687,2.719862055102116,130.0,129.0,65.0,256.0,166.0,25.0,21,1,1,0,3,1.0,255.0,1422.8532000000002,769.0790999999999,1092.0584000000001,95,1,0,16,0.13637338869533377,0.6675816640834473,0.14169145498256674,2,598.2026999999999,499.53889999999996,3,0,22.0,0,0,1,0.0,0,0.0,8832.520855661967,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,38.821000000000005,9.0,85.498,2,6.797000000000001,4.7583,1.3204916079267672,640.0,82.51953125,0.38454561147836536,13,0,0.0,0,10.27701445434475,528.125,36,1.5510940755208336,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,21,0.0,0,8,0.0,0,0.0,1532.2785000000001,2500.5044000000003,454.771845347923,0.0,454.771845347923,0.0,6.797000000000001,827.4761999999998,1946.6355,0.6715660231078664,48,1920.2014624106653,16,6912.319393251307,3,276.0679,3,93.75909999999999,2,19.921499999999995,-784.7428,22.23803076923077,0,0,65,65,no greed,debt,1,4.547473508864641e-13,31.404989176
14,64,3,3,3380.4675999999995,0.0,3398.792900000001,0.0,2561.789399999999,843.9426,1717.8467999999991,0.0,112.8257,6.017268124999999,0.00375,3.1408,18.325300000000002,181.85049999999987,0.0,376,199.06659999999994,190.12569999999985,5917.4630999999945,77.74389999999983,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,174.0339,0.0,0.00954306200981195,3.7803207692307685,4.834949230769226,1.7235714285714285,1.4334937500000002,2.488454459672298,3.6404568575434006,130.0,130.0,65.0,255.0,163.0,25.0,22,1,1,2,6,1.0,254.0,1409.5438000000004,772.6557,1144.7042000000001,95,1,0,16,0.14806277658771583,0.6701575209315422,0.1466986385096538,2,596.7927000000002,491.4416999999999,6,0,14.0,0,0,1,0.0,0,0.0,9184.71894485886,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,24.13,6.0,50.423100000000005,2,10.470200000000002,7.3298,1.3890354289885465,640.0,82.01171875,0.38858410186767584,19,0,0.0,0,21.645757229531412,524.875,36,1.629955078125,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,22,0.0,0,8,0.0,0,0.0,1568.8229000000001,2456.416400000001,384.16776716393883,0.0,384.16776716393883,0.0,10.470200000000002,815.0188000000003,1967.7830000000001,0.67110605766843,48,2018.330881843968,16,7166.388063014891,3,332.45160000000004,3,93.75909999999999,2,29.053799999999967,-840.8018,21.76760156250001,0,0,65,65,no greed,debt,1,4.547473508864641e-13,31.404989176
15,63,3,3,3518.969100000002,0.0,3473.172400000001,0.0,2728.587199999999,1067.3288,1661.258399999999,0.0,136.25930000000002,6.4401108749999985,0.00375,3.6968,20.928600000000003,196.5819999999998,66.747,381,331.11600000000004,192.61449999999996,341.66569999999996,77.2404999999996,0.0,0.0,0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,171.66829999999996,0.0,0.00248095093797137,3.706020289855072,4.770255384615384,1.7312785714285714,1.4262718750000003,2.4479959983899238,3.5312431518170992,130.0,138.0,65.0,249.33333333333331,161.0,25.0,22,0,0,2,10,5.0,252.0,1547.3320999999996,790.3234,1127.1572,95,1,0,16,0.21630637868535363,0.6742731837966007,0.13155123339412644,2,585.0747000000002,511.4307999999999,10,0,14.0,0,0,0,0.0,0,0.0,9503.1280585867,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,24.2379,6.0,50.4596,2,12.3203,8.622700000000002,1.4323248954759182,640.0,81.7578125,0.3885630090332032,21,0,0.0,0,77.60768163248933,523.25,36,1.8125288085937499,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,22,0.0,0,8,0.0,0,0.0,1568.8229000000001,2369.7238000000007,380.5780254075122,0.0,380.5780254075122,0.0,12.3203,942.1589,1967.9402000000002,0.6717581099254666,47,2097.027362533042,16,7406.100696053658,3,375.6963,3,152.4667,2,-31.80210000000033,-1063.632,21.502406250000003,1,0,65,65,no greed,debt,1,4.547473508864641e-13,31.404989176
16,63,3,3,3399.308600000001,0.0,3355.6506999999992,0.0,2875.5168999999987,989.396,1886.120899999999,0.0,224.8625,6.227962749999999,0.00375,2.265,23.06740000000001,212.09629999999984,66.747,423,90.01719999999997,209.67769999999993,5642.366799999999,75.8217999999999,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,152.6662,0.0,0.009513737154041345,3.674472131147541,4.64284696969697,1.786305882352941,1.4077412698412697,2.419749768382997,3.4253058572625856,132.0,122.0,66.0,249.33333333333331,166.00000000000003,25.0,20,1,1,2,3,2.0,251.0,1402.3696,815.9553000000001,1120.3466,93,3,0,16,0.13047561421798837,0.6849575392120097,0.12749970556325074,1,569.4758,448.2856,3,0,17.0,0,0,1,0.0,0,0.0,9647.841841287727,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,30.367199999999997,7.0,58.3721,2,7.5505,5.284999999999999,1.4602759522778765,640.0,81.40625,0.40212035827636716,22,0,0.0,0,56.092400517405004,521.0,36,1.7650607096354163,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,0.0,0,8,0.0,0,0.0,1638.0379,2332.7043,321.00804325902936,0.0,321.00804325902936,0.0,7.5505,805.9888,1994.674,0.6813635773398314,47,2044.876300411367,16,7602.965540876362,3,375.6963,3,216.60900000000004,2,-26.86160000000014,-987.131,21.394078125000004,0,0,66,66,no greed,debt,1,4.547473508864641e-13,31.404989176
17,63,3,3,3257.463300000001,0.0,3215.560299999999,0.0,3039.573899999999,932.4505,2107.123399999999,0.0,221.00250000000003,7.070962749999999,0.00375,4.185,24.822300000000013,227.24619999999982,66.747,428,70.0515,211.89680000000004,96.63080000000002,74.36950000000017,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,165.0466,0.0,0.0024479473566116723,3.5740106382978727,4.580551612903226,1.7734761904761907,1.434489830508475,2.3954105647299846,3.322546681544708,124.0,141.0,62.0,248.33333333333331,160.0,25.0,22,1,1,0,11,8.0,250.0,1315.3902000000003,765.1185,1099.1669,93,3,0,16,0.14973508989292283,0.6857119301386716,0.14458873346038414,3,562.7627,503.93550000000005,11,0,21.0,0,0,1,0.0,0,0.0,10279.096037990703,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,37.243,9.0,73.6027,2,13.950600000000001,9.765099999999999,1.5854421614379168,640.0,81.171875,0.3908664955357143,12,0,0.0,0,16.53203610773447,519.5,36,1.9059267578124999,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,22,0.0,0,8,0.0,0,0.0,1647.2602,2252.1286999999993,278.55789449903784,0.0,278.55789449903784,0.0,13.950600000000001,762.3518000000003,1937.8881000000001,0.6775752657108891,47,2207.2981222281796,16,8071.797915762527,3,479.73830000000004,3,310.58119999999997,2,-22.688999999999783,-928.2655000000001,21.116119047619044,0,0,62,62,no greed,debt,1,4.547473508864641e-13,31.404989176
