round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,26726.976500000095,0.0,658.32,658.32,561.0,,561.0,0.0,0.0,0.0,0.0,0.0,0.0025,115.7743,0.0,0.0,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.709000942247102,0.0,672.0,3.0,0.0,1.0,0,0,0,0.7874652819707764,0,340.9498750980392,2.7818823529411767,343.73175745098035,2.105627450980392,2.8514901960784313,4.957117647058824,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0,2560.0,234.7835000000002,658.32,116.85260000000011,0.0,0.0,0.0,0.0,0.0,0,255.2652,2560.0,234.7835000000002,116.85260000000011,271.0,0.0,0.0,0.0,5.0,5.200000000000013,2.0,0.75,3.5939344262295285,3.920000000000001,320.0,91.0,160.0,2048.0,732.0,204.0,329,0,0,0,51,40.0,2048.0,18820.792700000045,1707.9275000000002,3266.378,767,1,0,128,0.10404026815172007,0.721678074500945,0.6601986291072577,0,5236.931799999997,455.0,51,0,514.0,0,0,0,0.0,0,0.0,453043.5926999974,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1028.0,206.0,2560.8388,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,329,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7224300250754532,384,14119.79139999999,128,438923.80130000063,4,2273.3275000000003,4,3266.378,2,255.2652,-445.2257,11.925,565.4,0,0,160,160,4 + theatres,sumsy,3,4.3655745685100555e-11
2,512,4,4,29004.176199999965,0.0,3801.4668000000006,3148.0128000000004,1006.2257,,1006.2257,0.0,0.0,0.0,0.0,0.0,0.0025,138.818,0.0,0.0,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.7055932997219339,0.0,964.0,2.0,0.0,1.0,0,0,0,0.2640641783029001,0,341.4913901960784,2.6391380392156862,344.13052823529404,1.6146458823529397,2.7510507843137257,4.365696666666666,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-0.9732000000000004,0.0,0,2560.0,282.80030000000056,3148.0128,140.5419000000002,0.0,0.0,0.0,0.0,0.0,8,143.9111,2560.0,282.80030000000056,140.5419000000002,271.0,0.0,0.0,0.015,4.909640977443591,5.493769536423876,2.1410083860759324,1.1265864745011085,3.5300435164834996,3.8023999999999996,906.0,1064.0,453.0,2048.0,1365.0,204.0,170,0,0,1,51,30.0,2048.0,17586.099,1974.5277999999998,6242.6195,766,2,0,128,0.07465349325321458,0.7206344071617812,0.3779228436972175,0,7838.08559999997,5223.857999999981,51,0,632.0,0,0,0,0.0,0,0.0,454021.2526000001,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1353.1172999999892,253.0,2918.2007999999996,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,170,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7205611420638807,384,14462.649,128,439558.60360000015,4,2573.608,4,4186.546199999999,2,399.1763,-867.4077,12.640500000000001,565.4,0,0,453,453,4 + theatres,sumsy,3,4.3655745685100555e-11
3,512,4,4,31231.422000000013,0.0,6821.174000000001,3159.709099999999,1418.2689,,1418.2689,0.0,0.0,0.0,0.0,0.0,0.0025,163.2706,0.0,0.0,1.0,550.8611999999998,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.99609375,0.7061740512984063,0.0,1048.0,1.0,0.0,1.0,0,0,0,0.26014357053682896,0,350.85311678179164,2.615333801186795,353.46845058297845,2.3882761459022115,2.4296956515025316,4.817971797404743,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-28.930399999999896,0.0,1,2560.0,332.7542000000002,4366.298000000002,165.34180000000003,0.0,0.0,0.0,0.0,0.0,9,212.8675,2560.0,332.7542000000002,165.34180000000003,271.0,0.0,0.0,0.015,4.818463014981258,5.464855762081797,2.2130953571428615,1.3348056074766355,3.4186555894217783,3.6883279999999994,1076.0,1068.0,538.0,2046.6666666666665,1505.9999999999998,204.0,134,0,0,0,43,31.0,2048.0,18272.354599999977,2381.2983,7450.995400000001,765,3,0,128,0.10520171946839585,0.7205682127263986,0.3117925491552762,0,8355.763599999995,5146.118499999984,43,0,560.0,0,0,0,0.0,0,0.0,457132.5047,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1239.3334000000025,224.0,2750.6356,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,134,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7203147613553893,384,15074.30750000001,128,442058.19720000017,4,2279.0359999999996,4,4288.199900000001,2,599.2805000000001,-1254.9983,13.398930000000002,566.5485,0,0,538,538,4 + theatres,sumsy,3,4.3655745685100555e-11
4,512,4,4,33412.34920000004,0.0,8454.319999999996,1910.5313999999992,1795.6289,,1795.6289,0.0,0.0,0.0,0.0,0.0,0.0025,185.7314,0.0,0.0,1.0,540.6305999999995,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.99609375,0.7046165565118745,0.0,1042.0,0.0,0.0,1.0,0,0,0,0.2570930547736703,0,358.52658693206286,2.5621262933698667,361.08871322543274,2.5537941677333587,2.4074784931137416,4.9612726608471,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-82.9607999999999,0.0,3,2560.0,379.07279999999986,3971.4439,188.2674000000001,0.0,0.0,0.0,0.0,0.0,10,197.1857,2560.0,379.07279999999986,188.2674000000001,271.0,0.0,0.0,0.015,5.426229041095894,5.410266228893068,2.3318964062500043,1.4291509433962266,3.3063904124875103,3.5776781599999987,1066.0,1095.0,533.0,2048.0,1528.0,204.0,130,0,0,3,59,46.0,2048.0,17721.228500000012,3828.5281999999997,8274.0893,765,3,0,128,0.10811473452015163,0.7216246182473944,0.31670164984971927,1,8312.775499999978,5941.720800000004,59,0,640.0,0,0,0,0.0,0,0.0,457664.0555000002,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1492.4137000000028,256.0,3205.5861,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,130,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7203814213266422,384,14881.946199999998,128,442782.1093000001,4,2566.9568,4,5274.569800000001,2,776.5073000000001,-1609.8975,14.202865800000003,566.5485,0,0,533,533,4 + theatres,sumsy,3,4.3655745685100555e-11
5,512,4,4,35550.41730000003,0.0,12934.225099999985,4833.955899999997,2218.7202,,2218.7202,0.0,0.0,0.0,0.0,0.0,0.0025,206.1726,0.0,0.0,1.0,608.8226999999998,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.7051440656871144,0.0,1047.0,1.0,0.0,1.0,0,0,0,0.2551966320297182,0,321.12512306991226,2.3512772002108906,323.4764002701231,1.6832471030159144,2.1784050065488243,3.861652109564739,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-149.54879999999991,0.0,3,2560.0,421.9319000000007,4833.955899999997,209.36899999999972,0.0,0.0,0.0,0.0,0.0,14,211.3426,2560.0,421.9319000000007,209.36899999999972,271.0,0.0,0.0,0.015,5.59232698412698,5.582018888888854,2.4464720930232637,1.5587124999999982,3.231064679160173,3.4703478151999994,1080.0,1071.0,540.0,2044.0,1527.0,204.0,129,0,0,2,56,39.0,2048.0,16808.545000000013,3029.2234,12261.9729,764,4,0,128,0.07128305745121,0.722341563144862,0.31657646268875284,3,8292.749299999996,5989.3821999999955,56,0,602.0,0,0,0,0.0,0,0.0,459939.9624999996,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1472.7762000000048,241.0,3033.1607999999997,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,129,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7206679507802713,384,14789.674499999992,128,445150.28799999977,4,2068.277,4,6115.867600000002,2,967.2834,-2012.5476000000003,15.055037748000004,567.697,0,0,540,540,4 + theatres,sumsy,3,4.3655745685100555e-11
6,512,4,4,37639.221699999995,0.0,14272.474599999996,1912.5526999999995,2640.0057,,2640.0057,0.0,0.0,0.0,0.0,0.0,0.0025,230.847,0.0,0.0,1.0,627.4580999999991,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9934895833333334,0.7074541050488725,0.0,1046.0,1.0,0.0,1.0,0,0,0,0.2575935109876788,0,315.7289194451477,1.9488795271739394,317.6777989723216,4.510560362970328,1.8206865476041936,6.331246910574522,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-256.6482999999995,0.0,3,2560.0,471.19560000000035,1912.5526999999995,234.01310000000026,0.0,0.0,0.0,0.0,0.0,43,436.58680000000004,2560.0,471.19560000000035,234.01310000000026,271.0,0.0,0.0,0.015,5.594264037558687,5.5654853432282145,2.4883734693877564,1.7238127340823954,3.2271078587385023,11.655360302818586,1078.0,1065.0,539.0,2045.3333333333335,1343.0000000000002,204.0,175,0,0,1,50,31.0,2048.0,19699.00429999999,2042.3562,12876.4849,763,5,0,128,0.17440932319696967,0.7236340716182346,0.4224071219955481,3,7711.633000000026,5957.891200000001,50,0,147.0,0,0,0,0.0,0,0.0,463201.29419999995,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,365.7909000000002,59.0,2353.9425,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,175,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7229593840324791,384,14796.978500000005,128,448404.3156999999,4,1180.6369999999997,4,7059.155700000001,2,1162.1018,-2409.1587,15.958340012880004,569.0485,0,0,539,539,4 + theatres,sumsy,3,4.3655745685100555e-11
7,512,4,4,39684.1,0.0,15453.578400000008,1829.9379000000001,3036.8361,,3036.8361,0.0,0.0,0.0,0.0,0.0,0.0025,252.807,0.0,0.0,1.0,627.6773999999996,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9921875,0.7085258637899612,0.0,1041.0,1.0,0.0,1.0,0,0,0,0.26206226681060485,0,319.3317807427646,1.5611026811752766,320.8928834239399,5.948906715615791,1.5867101428537032,7.535616858469494,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-372.910899999999,0.0,7,2560.0,515.1217,3815.8884000000007,255.97589999999997,0.0,0.0,0.0,0.0,0.0,44,556.4427000000001,2560.0,515.1217,255.97589999999997,271.0,0.0,0.0,0.015,5.5494203228869905,5.556716417910441,2.5672191441441425,1.9084716981132077,3.36882206388323,11.305699493734028,1072.0,1053.0,536.0,2046.6666666666667,1456.0,204.0,147,0,0,1,36,25.0,2048.0,21388.497899999995,1249.2193,13563.2794,762,6,0,128,0.21927260754738143,0.7254048729706606,0.3972592780870621,4,8336.559600000017,5843.539600000001,36,0,444.0,0,0,0,0.0,0,0.0,466151.0938999999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1139.8452999999993,178.0,2673.8537,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,147,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7242217929173989,384,14803.141500000005,128,451347.9524,4,509.02049999999974,4,7922.110099999998,2,1251.5320000000002,-2784.0291,16.915840413652806,570.4,0,0,536,536,4 + theatres,sumsy,3,4.3655745685100555e-11
8,512,4,4,41686.50500000003,0.0,16071.285200000013,1338.1964,3406.6728000000003,,3406.6728000000003,0.0,0.0,0.0,0.0,0.0,0.0025,274.1423,0.0,0.0,1.0,622.6437000000005,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,4,0,0.9908854166666666,0.7225578866308289,0.0,510.0,3.0,0.0,1.0,0,0,0,0.2501610012336962,0,551.754907257651,0.9991176027061726,552.7540248603573,7.853899095577577,1.454457689127524,9.3083567847051,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-497.0164249999999,0.0,11,2560.0,557.5949999999997,3322.3958999999995,277.2466000000001,0.0,0.0,0.0,0.0,0.0,45,383.2283,2560.0,557.5949999999997,277.2466000000001,271.0,0.0,0.0,0.015,5.505233054781801,5.568786037735847,2.601508118081183,1.9770824091778223,3.401347511954065,10.966528508922007,1060.0,1077.0,530.0,2046.6666666666667,1483.0,204.0,141,0,0,3,50,31.0,2048.0,23339.26149999998,377.1612,14295.606,761,7,0,128,0.2659541113817614,0.7365287313569748,0.41507285032416275,10,8456.361800000017,5929.1359999999995,50,0,542.0,0,0,0,0.0,0,0.0,792692.69795,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1410.017400000001,217.0,3017.1057,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,141,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7360578135203166,384,14418.853799999992,128,778273.8441499998,4,3442.1281500000005,4,8918.134999999998,2,1290.7579,-3132.5305000000003,17.930790838471975,998.0989500000001,0,0,530,530,4 + theatres,sumsy,3,4.3655745685100555e-11
9,512,4,4,43645.672800000066,0.0,16648.726399999996,1346.0647000000001,3750.217,,3750.217,0.0,0.0,0.0,0.0,0.0,0.0025,295.5296,0.0,0.0,1.0,617.6864999999995,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,9,0,0.9908854166666666,0.7227371531981974,0.0,509.0,0.0,0.0,1.0,0,0,0,0.2617093057208958,0,557.5433988854562,0.5387542393836731,558.0821531248398,8.67330665834935,1.3600925512289699,10.033399209578318,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-623.5593250000022,0.0,14,2560.0,600.8321999999996,3304.9405999999994,298.7871000000002,0.0,0.0,0.0,0.0,0.0,47,308.0488,2560.0,600.8321999999996,298.7871000000002,271.0,0.0,0.0,0.015,5.4411056872037875,5.679858614232188,2.6591631578947394,1.9689299810246674,3.3294240670749877,10.637532653654347,1068.0,1055.0,534.0,2044.0,1502.0,204.0,135,0,0,0,39,23.0,2048.0,24613.401899999997,575.9131,14915.1338,761,7,0,128,0.2921782704197853,0.7375847116778949,0.4010983270248125,12,8387.170199999977,5740.3664999999955,39,0,570.0,0,0,0,0.0,0,0.0,793345.4142500004,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1515.7230000000015,228.0,2937.6456,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,135,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7365977832869719,384,14122.657699999998,128,779222.75655,4,3881.7531500000014,4,9635.217299999998,2,1410.4951,-3454.6874000000003,19.006638288780294,998.0989500000001,0,0,534,534,4 + theatres,sumsy,3,4.3655745685100555e-11
10,512,4,4,45565.1121,0.0,16875.543899999993,1042.3375000000003,4065.1778,,4065.1778,0.0,0.0,0.0,0.0,0.0,0.0025,315.3168,0.0,0.0,1.0,610.4904000000001,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,19,2,0.9908854166666666,0.722943292248166,0.0,510.0,0.0,0.0,1.0,0,0,0,0.2500006612444621,0,565.4100135255937,0.0771154175964064,565.4871289431902,9.743488373085594,1.3020171179102304,11.045505490995824,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-751.8892311500872,0.0,16,2560.0,640.5607000000006,1692.3982999999998,318.6259000000006,0.0,0.0,0.0,0.0,0.0,57,385.8192,2560.0,640.5607000000006,318.6259000000006,271.0,0.0,0.0,0.015,5.397204413145539,5.808419924812008,2.7285857377049187,1.9734742857142857,3.3107784399631526,10.318406674044715,1064.0,1065.0,532.0,2048.0,1514.0,204.0,133,0,0,3,41,26.0,2048.0,26010.031499999994,854.1445,14808.939900000001,761,7,0,128,0.3135640356427838,0.7387209176404221,0.38413954167950215,13,8368.035399999977,5748.022699999999,41,0,610.0,0,0,0,0.0,0,0.0,793815.1112499981,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1664.4373000000005,244.0,3190.8602,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,133,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7371843825228768,384,13658.105700000002,128,780157.0055500001,4,4400.85755,4,10335.078200000002,2,1565.9955,-3749.861,20.147036586107113,998.0989500000001,0,0,532,532,4 + theatres,sumsy,3,4.3655745685100555e-11
11,512,4,4,47446.36959999992,0.0,17042.503800000002,1018.8304,4355.4249,,4355.4249,0.0,0.0,0.0,0.0,0.0,0.0025,334.2888,0.0,0.0,1.0,605.5639,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,32,0,0.9895833333333334,0.7224250117807014,0.0,766.0,0.0,0.0,1.0,0,0,0,0.2501610012336962,0,570.9928722532709,-0.3236148851469138,570.6692573681239,10.803837350578888,1.3111230329487664,12.114960383527654,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-879.3177311500866,0.0,22,2560.0,678.7424999999997,2313.5152000000003,337.67689999999965,0.0,0.0,0.0,0.0,0.0,59,419.9362,2560.0,678.7424999999997,337.67689999999965,271.0,0.0,0.0,0.015,5.348532869080777,5.782964406779686,2.8116411111111113,1.9836615678776297,3.3411046283913874,10.008854473823373,1062.0,1077.0,531.0,2044.0000000000002,1520.0000000000005,204.0,130,0,0,4,49,34.0,2048.0,27510.01810000004,839.0741,15173.41,760,8,0,128,0.33209097694208434,0.739952237266706,0.391842784310549,16,8404.74349999999,5760.369899999997,49,0,630.0,0,0,0,0.0,0,0.0,793499.6810000008,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1771.3339,252.0,3169.6423999999997,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,130,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7376233117122508,384,13321.9242,128,780177.7568000003,4,5624.759100000001,4,11075.166399999998,2,1681.3227000000002,-4021.1361,21.35585878127354,998.0989500000001,0,0,531,531,4 + theatres,sumsy,3,4.3655745685100555e-11
12,512,4,4,49284.63029999998,0.0,17044.353599999988,885.9204000000004,4621.2429,,4621.2429,0.0,0.0,0.0,0.0,0.0,0.0025,355.6487,0.0,0.0,1.0,600.1067999999996,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,47,0,0.9895833333333334,0.7223803737928374,0.0,637.0,0.0,0.0,1.0,0,0,0,0.25831950388680236,0,577.1397761411941,-0.7375460359401782,576.4022301052539,12.040162870647682,1.0048014767858822,13.044964347433565,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-1004.7853613146995,0.0,29,2560.0,721.7393000000003,2192.9108,359.12939999999986,0.0,0.0,0.0,0.0,0.0,69,392.6854,2560.0,721.7393000000003,359.12939999999986,271.0,0.0,6.8632,0.015,5.294028224299059,5.863288951310836,2.897123906249999,1.9713961977186296,3.4114253515757245,9.708588839608671,1068.0,1070.0,534.0,2042.6666666666667,1530.0,204.0,128,0,0,7,51,36.0,2048.0,28770.999699999993,1168.8034,15320.01,760,8,0,128,0.35826511793352633,0.7409587349110565,0.39622301528786785,20,8513.806400000001,5664.610199999994,51,0,640.0,0,0,0,0.0,0,0.0,794005.4017999999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1854.1592999999993,256.0,3276.4831,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,128,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7381196681492896,384,13085.44820000001,128,780919.9536000001,4,6195.3617,4,11591.060399999998,2,1778.7459,-4265.5942000000005,22.637210308149953,998.0989500000001,0,0,534,534,4 + theatres,sumsy,3,4.3655745685100555e-11
13,512,4,4,51099.48899999999,0.0,16936.183899999985,813.6288999999999,4859.5861,,4859.5861,0.0,0.0,0.0,0.0,0.0,0.0025,367.3093,0.0,0.0,1.0,593.9919,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,33,0,0.98828125,0.7208866092130102,0.0,630.0,0.0,0.0,1.0,0,0,0,0.25001684630143883,0,583.0350010797802,-0.3802051257354542,582.6547959540446,12.508411464334605,1.785000150376374,14.29341161471098,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-1128.8029613146973,0.0,39,2560.0,745.1412999999995,2145.3421999999996,370.8172999999997,0.0,0.0,0.0,0.0,0.0,55,539.733,2560.0,745.1412999999995,370.8172999999997,271.0,0.0,0.0,0.015,5.264742090395483,5.8651292134831605,2.991535781250007,1.9675070476190484,3.4345846405880467,9.417331174420411,1068.0,1062.0,534.0,2038.666666666667,1530.0000000000002,204.0,127,1,1,7,59,24.0,2047.0,30352.578499999996,1118.0874000000001,15356.1209,759,9,0,128,0.35263890760369243,0.7409163454961025,0.3518244535946129,6,8526.422299999995,5591.156100000003,60,1,640.0,0,0,1,0.0,0,0.0,793891.6769500007,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1914.5829000000047,256.0,3365.6598999999997,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,127,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7374285656823625,384,12899.741100000007,128,780991.93585,4,7383.6178500000005,4,12060.7106,2,1882.2157000000002,-4492.276800000001,23.99544292663895,998.0989500000001,0,0,534,534,4 + theatres,sumsy,3,4.3655745685100555e-11
