round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,107981.04570000092,0.0,927.3000999999999,927.3000999999999,561.0,,561.0,0.0,0.0,0.0,0.0,0.0,0.0025,943.8713,0.0,0.0,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.06612890007545746,0.0,672.0,0.0,0.0,1.0,0,0,0,0.6898275686154474,0,8.483862745098042,19.09915039215686,27.583013137254902,3.809779803921569,17.382820784313722,21.19260058823529,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0,2560.0,1891.5046999999922,927.3000999999999,945.1421999999931,0.0,0.0,0.0,0.0,0.0,0,252.3552,2560.0,1891.5046999999922,945.1421999999931,268.0,0.0,0.0,0.0,5.0,5.200000000000013,NaN,0.75,3.4662357414448666,3.920000000000001,320.0,99.0,160.0,2048.0,526.0,204.0,380,0,0,0,60,39.0,2048.0,100873.5421000007,2250.788,3660.4891000000002,768,0,0,128,0.023683279506677923,0.06944907785253229,0.7557730179365383,0,2740.0914000000075,495.0,60,0,0.0,0,0,0,0.0,0,0.0,110440.84220000096,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,380,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0987000850919657,384,76147.52460000018,128,34293.317599999995,4,2250.788,4,3294.1890000000003,2,252.3552,382.8713,11.925,11.25,0,0,160,160,"E2 + government, full money stock",sumsy,9,8.731149137020111e-11
2,512,4,4,108635.79240000006,0.0,1912.5694,1031.6341,532.9501,,532.9501,0.0,0.0,0.0,0.0,0.0,0.0025,1299.7837,0.0,0.0,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.62034327886625,0.0,969.0,2.0,0.0,1.0,0,0,0,0.2650237098924032,0,392.92857107843133,18.31196960784313,411.24054068627447,4.953929215686273,16.121591764705883,21.075520980392156,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-9.2732,0.0,0,2560.0,1905.253299999991,1031.6341,948.1965999999962,0.0,0.0,0.0,0.0,0.0,0,391.22220000000004,2560.0,1905.253299999991,948.1965999999962,268.0,0.0,0.0,0.015,4.909328922495258,5.474695842450767,NaN,1.1223846491228076,3.5206164285713992,3.8023999999999996,914.0,1058.0,457.0,2048.0,1120.0,204.0,231,0,0,1,48,26.0,2048.0,99402.64439999993,1980.7489,5561.3931999999995,767,1,0,128,0.03362809294088742,0.6273852151812687,0.4813884971797222,0,5282.0634999999875,5194.069999999983,48,0,0.0,0,0,0,0.0,0,0.0,600168.447249999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,231,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6281563742669298,384,74983.38439999992,128,525185.0628499999,4,2631.1442500000003,4,4181.773899999999,2,391.22220000000004,766.8335999999999,12.640500000000001,650.39535,0,0,457,457,"E2 + government, full money stock",sumsy,9,8.731149137020111e-11
3,512,4,4,109276.9942000003,0.0,4218.2977,2403.6748,504.90020000000004,,504.90020000000004,0.0,0.0,0.0,0.0,0.0,0.0025,1660.7241,0.0,0.0,1.0,550.8255000000001,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.6183653058246719,0.0,1048.0,1.0,0.0,1.0,0,0,0,0.2572551272933207,0,390.1916828078125,18.568933033247593,408.76061584106014,7.526354335375771,14.37079765133373,21.8971519867095,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-28.3988,0.0,0,2560.0,1918.7982000000006,2403.6748000000002,951.0923000000008,0.0,0.0,0.0,0.0,0.0,0,161.9829,2560.0,1918.7982000000006,951.0923000000008,268.0,0.0,0.0,0.015,4.810313102820726,5.455400558659206,NaN,1.3414917757009348,3.3725813321125266,3.6883279999999994,1074.0,1099.0,537.0,2046.6666666666667,1280.0,204.0,190,0,0,1,57,45.0,2048.0,97522.65020000009,2975.5699,6956.0671,766,2,0,128,0.04900123843790838,0.6262599618926117,0.41406162728933316,0,5900.524500000007,5286.534099999978,57,0,0.0,0,0,0,0.0,0,0.0,586195.5020000016,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,190,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6267806552775759,384,74204.62029999997,128,511990.8817,4,3037.5043000000005,4,4446.4406,2,472.59700000000004,1155.8238999999999,13.398930000000002,632.8527,0,0,537,537,"E2 + government, full money stock",sumsy,9,8.731149137020111e-11
4,512,4,4,109904.59459999987,0.0,7852.5438,3852.3762,476.8503,,476.8503,0.0,0.0,0.0,0.0,0.0,0.0025,2026.9765,0.0,0.0,1.0,539.7176999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.99609375,0.6353169041416376,0.0,1050.0,2.0,0.0,1.0,0,0,0,0.2573365471797245,0,465.9570400079828,18.5366632099856,484.49370321796835,10.88355390631117,11.170589765189364,22.054143671500533,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-70.5815,0.0,0,2560.0,1932.399599999999,3852.3762,953.7904,0.0,0.0,0.0,0.0,0.0,0,367.14509999999996,2560.0,1932.399599999999,953.7904,268.0,0.0,0.0,0.015,5.4458216650898805,5.404091666666666,NaN,1.441488454376164,3.087351552724098,3.5776781599999987,1080.0,1057.0,540.0,2046.6666666666667,1286.0,204.0,190,0,0,1,45,34.0,2048.0,94010.16439999992,3799.1684,9701.1402,765,3,0,128,0.062409071575947106,0.6432794605635741,0.40359653240039295,0,5682.7606000000005,5756.233500000004,45,0,0.0,0,0,0,0.0,0,0.0,666198.5985000017,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,190,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6439265229924849,384,72716.86819999997,128,593481.7303000004,4,3056.6809,4,5292.9221,2,662.2284999999999,1550.1262,14.202865800000003,738.0937,0,0,540,540,"E2 + government, full money stock",sumsy,9,8.731149137020111e-11
5,512,4,4,110518.98830000007,0.0,9719.27,2277.475,448.80039999999997,,448.80039999999997,0.0,0.0,0.0,0.0,0.0,0.0025,2318.4263,0.0,0.0,1.0,611.0208,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.99609375,0.6366073260990579,0.0,1043.0,0.0,0.0,1.0,0,0,0,0.25902727500556916,0,412.6575716798757,15.882859900369514,428.5404315802452,11.858135853258627,7.948227300362426,19.806363153621053,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-149.1072,0.0,0,2560.0,1945.6062999999983,2277.4750000000004,957.1190999999999,0.0,0.0,0.0,0.0,0.0,0,296.1528,2560.0,1945.6062999999983,957.1190999999999,268.0,0.0,0.0,0.015,5.571181063432832,5.5625674157303235,NaN,1.5755892655367234,3.230848265952173,3.4703478152,1068.0,1072.0,534.0,2046.6666666666667,1273.9999999999998,204.0,192,0,0,2,50,34.0,2048.0,91158.86500000002,4631.150299999999,12114.3939,765,3,0,128,0.08045948408480319,0.6458993894451097,0.4140212530092193,0,5949.874399999998,5972.306099999995,50,0,0.0,0,0,0,0.0,0,0.0,665025.4802999996,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6462005133517092,384,71342.88260000003,128,593682.5977000002,4,3417.2057999999993,4,6289.6553,2,772.9826,1869.6259,15.055037748000004,738.0937,0,0,534,534,"E2 + government, full money stock",sumsy,9,8.731149137020111e-11
6,512,4,4,111120.69610000007,0.0,10320.424700000001,1125.7773,420.7505,,420.7505,0.0,0.0,0.0,0.0,0.0,0.0025,2592.9618,0.0,0.0,1.0,625.0866000000002,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.99609375,0.637784485786588,0.0,1045.0,0.0,0.0,1.0,0,0,0,0.2564310444340454,0,404.4136149725366,14.90854857950591,419.3221635520425,11.88431727123521,7.762672479885385,19.646989751120593,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-246.29969999999992,0.0,1,2560.0,1958.2921999999994,1613.5092000000002,960.4910999999993,0.0,0.0,0.0,0.0,0.0,0,238.1516,2560.0,1958.2921999999994,960.4910999999993,268.0,0.0,0.0,0.015,5.574779835013749,5.570194589552249,NaN,1.736782176360227,3.1848403093248008,3.3662373807439994,1072.0,1091.0,536.0,2045.3333333333333,1278.0000000000002,204.0,192,0,0,0,56,45.0,2048.0,89557.16739999996,5097.9917,13634.4236,765,3,0,128,0.08567976147720557,0.6484176388198044,0.39305585816380306,0,6026.091300000035,6082.0848000000005,56,0,0.0,0,0,0,0.0,0,0.0,663810.1069000006,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6483609369556036,384,69884.0479,128,593926.0590000005,4,3699.0552,4,7367.9974,2,927.2869000000001,2172.2113,15.958340012880004,738.0937,0,0,536,536,"E2 + government, full money stock",sumsy,9,8.731149137020111e-11
7,512,4,4,111710.26060000002,0.0,10554.7715,815.2582999999998,392.7006,,392.7006,0.0,0.0,0.0,0.0,0.0,0.0025,2864.7616,0.0,0.0,1.0,625.4895,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.6671110633431234,0.0,915.0,1.0,0.0,1.0,0,0,0,0.25641641698230544,0,564.2013244921105,14.417669876270445,578.6189943683809,13.549591630804223,8.58541211840039,22.13500374920461,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-349.5039,0.0,2,2560.0,1970.4355,1392.9938000000002,963.8573000000008,0.0,0.0,0.0,0.0,0.0,0,452.0823,2560.0,1970.4355,963.8573000000008,268.0,0.0,0.0,0.015,5.5205912593985005,5.556232592592608,NaN,1.9263470149253714,3.120160651235258,3.2652502593216792,1080.0,1064.0,540.0,2048.0,1286.0,204.0,190,0,0,0,47,38.0,2048.0,90158.64250000002,3956.1046,14278.669600000001,764,4,0,128,0.09872649430011982,0.6762919521928021,0.3956144653934197,0,6062.633800000001,5873.909100000004,47,0,0.0,0,0,0,0.0,0,0.0,888328.6530000013,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,190,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6768312317312217,384,68440.93179999993,128,819887.7211999997,4,4002.9257999999995,4,8222.394800000002,2,1103.938,2472.0609999999997,16.915840413652806,1031.7965,0,0,540,540,"E2 + government, full money stock",sumsy,9,8.731149137020111e-11
8,512,4,4,112288.21360000008,0.0,10600.5755,667.4785,364.65070000000003,,364.65070000000003,0.0,0.0,0.0,0.0,0.0,0.0025,3139.8513,0.0,0.0,1.0,619.4103000000005,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9934895833333334,0.6839264461977255,0.0,910.0,1.0,0.0,1.0,0,0,0,0.25453554925435834,0,729.8152004656201,13.896945326526454,743.7121457921465,15.306960892267012,9.427250918279057,24.734211810546068,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-455.05190000000005,0.0,3,2560.0,1982.047000000002,1330.2431000000001,966.889700000001,0.0,0.0,0.0,0.0,0.0,0,557.4728,2560.0,1982.047000000002,966.889700000001,268.0,0.0,0.0,0.015,5.466825815217395,5.516262734082377,NaN,1.9670725897920585,3.159191867585976,3.167292751542029,1068.0,1104.0,534.0,2048.0,1274.0,204.0,193,0,0,0,64,54.0,2048.0,90512.97200000007,3067.6505,15010.267,763,5,0,128,0.11305960232452872,0.6928456085492769,0.41165889042753845,0,6075.846700000015,6035.375700000004,64,0,0.0,0,0,0,0.0,0,0.0,1.1118249906999997e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,193,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6936262130701198,384,67042.24500000001,128,1.0447827457000001e6,4,5186.8999,4,9312.535899999999,2,1172.0489,2775.2005999999997,17.930790838471975,1325.4993,0,0,534,534,"E2 + government, full money stock",sumsy,9,8.731149137020111e-11
9,512,4,4,112854.55079999997,0.0,9945.5271,0.0,336.6008,,336.6008,0.0,0.0,0.0,0.0,0.0,0.0025,3417.9924,0.0,0.0,1.0,613.377,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9934895833333334,0.6844098967860075,0.0,647.0,0.0,0.0,1.0,0,0,0,0.2571935246119369,0,737.5709526515176,13.858489657511628,751.4294423090292,15.362849735513647,10.43226910220255,25.7951188377162,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-561.0574999999998,0.0,6,2560.0,1993.6627999999996,1625.8227000000002,969.8612999999999,0.0,0.0,0.0,0.0,0.0,0,612.3425,2560.0,1993.6627999999996,969.8612999999999,268.0,0.0,0.0,0.015,5.368324951644101,5.568156250000012,NaN,1.9592213358070496,3.1420461023704456,3.072273968995767,1088.0,1034.0,544.0,2048.0,1294.0,204.0,188,0,0,2,38,28.0,2048.0,90529.69979999993,3129.7637999999997,15164.7523,763,5,0,128,0.11431678129322753,0.6938587113137009,0.41625221545238533,0,6131.936100000008,5550.848,38,0,0.0,0,0,0,0.0,0,0.0,1.111225642499998e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,188,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6944875972763782,384,66014.3014,128,1.0452113411000001e6,4,5515.7752,4,9825.5649,2,1189.6390000000001,3081.3916,19.006638288780294,1325.4993,0,0,544,544,"E2 + government, full money stock",sumsy,9,8.731149137020111e-11
10,512,4,4,113409.80709999999,0.0,9290.4788,0.0,308.55089999999996,,308.55089999999996,0.0,0.0,0.0,0.0,0.0,0.0025,3704.1471,0.0,0.0,1.0,602.3252999999996,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9921875,0.6883680947230364,0.0,644.0,1.0,0.0,1.0,0,0,0,0.2622945182834094,0,800.3704393274686,13.758399222930247,814.1288385503988,18.421638601921014,11.299197107307908,29.720835709228925,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-660.5126999999994,0.0,7,2560.0,2004.7437000000014,635.7823,972.6369000000005,0.0,0.0,0.0,0.0,0.0,0,636.4209000000001,2560.0,2004.7437000000014,972.6369000000005,268.0,0.0,0.0,0.015,5.261411549295776,5.475602259887007,NaN,1.9416266666666666,3.1095908198536746,2.9801057499258943,1062.0,1065.0,531.0,2045.3333333333333,1268.0,204.0,194,0,0,2,43,28.0,2048.0,91987.11889999999,1534.6007,15547.519499999999,762,6,0,128,0.12959719478528364,0.6980775648591324,0.4284767123513231,0,5942.374600000016,5603.403300000001,43,0,0.0,0,0,0,0.0,0,0.0,1.1769710212000012e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,194,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6986799799996293,384,64896.11140000001,128,1.1120749098000003e6,4,6034.365799999998,4,10566.8757,2,1176.4378000000002,3395.5962,20.147036586107113,1412.4146999999998,0,0,531,531,"E2 + government, full money stock",sumsy,9,8.731149137020111e-11
11,512,4,4,113953.86370000003,0.0,8635.4305,0.0,280.501,,280.501,0.0,0.0,0.0,0.0,0.0,0.0025,3998.5376,0.0,0.0,1.0,590.3302000000004,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9921875,0.688588355891673,0.0,644.0,0.0,0.0,1.0,0,0,0,0.2616705124072345,0,816.6675276219028,13.755984381743815,830.4235120036465,18.858014724939835,11.800020048425168,30.658034773365003,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-753.4173999999996,0.0,11,2560.0,2015.9434000000017,2494.8881,975.2091000000001,0.0,0.0,0.0,0.0,0.0,0,645.4788000000001,2560.0,2015.9434000000017,975.2091000000001,268.0,0.0,0.0,0.015,5.168100281162138,5.480993421052642,NaN,1.9125302281368797,3.0533847841189194,2.8907025774281183,1064.0,1067.0,532.0,2045.3333333333333,1270.0,204.0,194,0,0,3,43,31.0,2048.0,91782.0616,1676.7290000000003,15851.0567,762,6,0,128,0.13390477451730365,0.6989347241083077,0.4197978919651768,0,5868.076600000013,5514.363000000001,43,0,0.0,0,0,0,0.0,0,0.0,1.1761498879999993e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,194,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6993568131453598,384,63977.94629999998,128,1.1121719416999996e6,4,6443.256099999999,4,11228.9565,2,1148.2161,3718.0366000000004,21.35585878127354,1412.4146999999998,0,0,532,532,"E2 + government, full money stock",sumsy,9,8.731149137020111e-11
12,512,4,4,114486.93740000007,0.0,7980.3822,0.0,252.4511,,252.4511,0.0,0.0,0.0,0.0,0.0,0.0025,4299.3196,0.0,0.0,1.0,579.8598000000003,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9921875,0.6891139430939943,0.0,644.0,0.0,0.0,1.0,0,0,0,0.25855217330881264,0,832.2291916984004,13.616576406121291,845.8457681045218,19.574023939934712,12.397150817871472,31.971174757806185,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-839.7720999999997,0.0,14,2560.0,2026.9263000000026,1832.8859,977.6046000000001,0.0,0.0,0.0,0.0,0.0,0,647.2259,2560.0,2026.9263000000026,977.6046000000001,268.0,0.0,0.0,0.015,5.076445521698976,5.561072556390986,NaN,1.8899475285171075,2.9904877833698373,2.803981500105274,1064.0,1083.0,532.0,2044.0000000000002,1270.0,204.0,194,0,0,2,56,36.0,2048.0,91519.19710000002,1901.0268,16120.168000000001,762,6,0,128,0.1391539247006135,0.7001319045543191,0.45737367683120356,0,5781.738300000004,5497.790499999991,56,0,0.0,0,0,0,0.0,0,0.0,1.1752709476000012e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,194,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7003658868192217,384,62639.80229999997,128,1.1126311452999995e6,4,6934.315899999998,4,11856.6114,2,1112.6835999999998,4046.8684999999996,22.637210308149953,1412.4146999999998,0,0,532,532,"E2 + government, full money stock",sumsy,9,8.731149137020111e-11
13,512,4,4,115009.15760000005,0.0,7939.295000000002,613.9611,224.40120000000002,,224.40120000000002,0.0,0.0,0.0,0.0,0.0,0.0025,4605.9176,0.0,0.0,1.0,569.5782000000002,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9921875,0.6893045839089713,0.0,912.0,0.0,0.0,1.0,0,0,0,0.25804114049411103,0,847.6797640717466,13.660132340758496,861.3398964125051,19.087144460712985,12.740975233596135,31.82811969430912,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-919.5758999999996,0.0,16,2560.0,2037.7798,1833.7626,979.8262999999996,0.0,0.0,0.0,0.0,0.0,0,645.3751,2560.0,2037.7798,979.8262999999996,268.0,0.0,0.0,0.015,5.005334395501413,5.492904259259264,NaN,1.8876835205992502,2.9244665532928513,2.719862055102116,1080.0,1067.0,540.0,2045.3333333333333,1286.0,204.0,190,0,0,1,45,35.0,2048.0,90807.58600000005,2718.6220000000003,16231.656900000002,762,6,0,128,0.137353409273538,0.7008841934991494,0.41535983213290617,0,5773.267000000029,5340.691800000008,45,0,0.0,0,0,0,0.0,0,0.0,1.1745572216999964e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,190,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7009582789910382,384,61861.32539999999,128,1.1126958962999997e6,4,7404.711999999998,4,12326.643900000001,2,1073.5531999999998,4381.5163999999995,23.99544292663895,1412.4146999999998,0,0,540,540,"E2 + government, full money stock",sumsy,9,8.731149137020111e-11
