round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,24352.610400000227,0.0,626.0,626.0,561.0,,561.0,0.0,0.0,0.0,0.0,0.0,0.0025,91.5014,0.0,0.0,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.23217368854890164,0.0,672.0,0.0,0.0,1.0,0,0,0,0.7109150813051333,0,8.490981176470587,2.840303137254902,11.33128431372549,1.7841894117647055,2.854616078431373,4.638805490196079,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0,2560.0,186.58960000000073,626.0,92.69700000000037,0.0,0.0,0.0,0.0,0.0,0,252.3552,2560.0,186.58960000000073,92.69700000000037,268.0,0.0,0.0,0.0,5.0,5.200000000000013,NaN,0.75,3.4662357414448666,3.920000000000001,320.0,97.0,160.0,2048.0,526.0,204.0,380,0,0,0,58,39.0,2048.0,18462.4878,2250.788,3295.478,768,0,0,128,0.06598984766407656,0.2787223032500943,0.7505747086695409,0,4437.405200000001,485.0,58,0,0.0,0,0,0,0.0,0,0.0,27663.487800000355,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,380,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38097066533130897,384,14048.848199999931,128,13614.63959999998,4,2250.788,4,3295.478,2,252.3552,-469.4986,11.925,11.25,0,0,160,160,3 + interest on deposits,sumsy,7,1.6007106751203537e-10
2,512,4,4,26676.622500000165,0.0,4919.176799999999,4296.4268,1030.4986,,1030.4986,0.0,0.0,0.0,0.0,0.0,0.0025,114.9167,0.0,0.0,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7098604232794119,0.0,970.0,1.0,0.0,1.0,0,0,0,0.26442108047345103,0,340.2499896078431,2.634743529411764,342.88473313725484,1.4944215686274513,2.742359215686274,4.2367807843137255,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-0.6500000000000001,0.0,0,2560.0,235.98789999999957,4296.426799999997,116.96879999999986,0.0,0.0,0.0,0.0,0.0,112,142.2557,2560.0,235.98789999999957,116.96879999999986,268.0,0.0,0.0,0.015,4.909526760563365,5.491029694323144,NaN,1.1302881838074395,3.5206994652406123,3.8023999999999996,916.0,1065.0,458.0,2048.0,1122.0,204.0,231,0,0,1,46,35.0,2048.0,16609.08679999993,3556.8500999999997,6253.513199999999,767,1,0,128,0.0629408163036389,0.7203284615719119,0.48032791445549883,0,6998.03939999998,5228.645999999983,46,0,0.0,0,0,0,0.0,0,0.0,452673.48789999884,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,231,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7209096978012739,384,14806.012999999955,128,437867.47490000055,4,2499.3544999999995,4,4176.047099999998,2,394.6109,-915.5818999999999,12.640500000000001,562.697,0,0,458,458,3 + interest on deposits,sumsy,7,1.6007106751203537e-10
3,512,4,4,28941.86510000014,0.0,7314.322599999998,2589.7331000000017,1030.4986,,1030.4986,0.0,0.0,0.0,0.0,0.0,0.0025,143.4032,0.0,0.0,1.0,550.8509999999998,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.707866155918284,0.0,1044.0,0.0,0.0,1.0,0,0,0,0.25946020208950077,0,347.07926093722136,3.085172162780832,350.1644331000022,2.2007074978651047,2.1291545369377105,4.329862034802815,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-39.54669999999968,0.0,45,2560.0,294.75740000000104,5975.070099999996,146.0543000000005,0.0,0.0,0.0,0.0,0.0,126,208.94330000000002,2560.0,294.75740000000104,146.0543000000005,268.0,0.0,435.93429999999967,0.015,4.81152778297473,5.4601739212007585,NaN,1.3335577067669173,3.285149373062323,3.6883279999999994,1066.0,1069.0,533.0,2046.6666666666667,1272.0,204.0,193,0,0,2,48,34.0,2048.0,15940.601099999974,3999.0511000000006,8649.8664,767,1,0,128,0.09348873709848271,0.7190703906728466,0.46995263205536886,0,6985.2350000000115,5143.523199999987,48,0,0.0,0,0,0,0.0,0,0.0,454189.9845999997,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,193,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7192890125392974,384,15483.969500000005,128,438706.0151,4,2903.3920000000007,4,4285.610000000001,2,601.2699,-887.0953999999999,13.398930000000002,562.697,0,0,533,533,3 + interest on deposits,sumsy,7,1.6007106751203537e-10
4,512,4,4,31165.936900000022,0.0,10594.154599999969,3603.908799999999,2298.8193999999976,,1862.8850999999981,0.0,0.0,435.93429999999967,0.0,0.0,0.0025,163.2823,0.0,0.0,1.0,539.8553999999998,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.7207356647775984,0.0,1046.0,1.0,0.0,1.0,0,0,0,0.2571376248223242,0,561.9199216250441,3.223017701479148,565.1429393265232,2.035748565969606,2.3387457588619167,4.374494324831523,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-102.38932499999923,0.0,65,2560.0,335.9281999999998,6551.749399999999,166.40240000000014,0.0,0.0,0.0,0.0,0.0,126,193.1235,2560.0,335.9281999999998,166.40240000000014,268.0,0.0,0.0,0.015,5.4311630897317285,5.405667850467278,NaN,1.429146153846152,3.122844579871829,3.5776781599999987,1070.0,1081.0,535.0,2045.3333333333333,1276.0,204.0,192,0,0,0,58,33.0,2048.0,15870.205300000005,4717.2372,10222.0886,766,2,0,128,0.0742501449275319,0.7294148945810977,0.3526649889011704,0,7721.622200000003,5871.087299999998,58,0,0.0,0,0,0,0.0,0,0.0,709719.5459999987,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7306361018207617,384,15999.835300000006,128,693719.7107,4,3260.357499999999,4,5286.2141999999985,2,784.9964,-1699.602799999998,14.202865800000003,893.4708,0,0,535,535,3 + interest on deposits,sumsy,7,1.6007106751203537e-10
5,512,4,4,33341.36349999998,0.0,12760.521100000016,2629.0384999999997,2308.9813999999997,,2308.9813999999997,0.0,0.0,0.0,0.0,0.0,0.0025,186.9067,0.0,0.0,1.0,609.3786000000005,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.7195509487629153,0.0,1052.0,0.0,0.0,1.0,0,0,0,0.2566251665111988,0,498.9246374525726,2.7144750800464945,501.63911253261904,2.11911782423982,1.8684068921084174,3.9875247163482377,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-189.70175000000177,0.0,105,2560.0,384.57340000000073,3655.618300000001,190.49340000000004,0.0,0.0,0.0,0.0,0.0,237,219.665,2560.0,384.57340000000073,190.49340000000004,268.0,0.0,0.0,0.015,5.571795825602966,5.594596494464918,NaN,1.5663029629629628,3.1597215493549577,3.4703478152,1084.0,1078.0,542.0,2048.0,1290.0,204.0,189,0,0,3,56,34.0,2048.0,15758.968700000012,6221.8253,10953.997800000001,766,2,0,128,0.08719236711090628,0.7295511248723443,0.38397585193477335,2,7459.529599999999,6006.395899999998,56,0,0.0,0,0,0,0.0,0,0.0,710785.8350000002,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,189,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7302582930204224,384,16282.608299999994,128,694503.2266999999,4,3604.4311999999986,4,6273.929100000001,2,984.8173000000002,-2122.0746999999997,15.055037748000004,893.4708,0,0,542,542,3 + interest on deposits,sumsy,7,1.6007106751203537e-10
6,512,4,4,35470.22980000002,0.0,14826.936599999986,2638.2346999999995,2747.2326999999996,,2747.2326999999996,0.0,0.0,0.0,0.0,0.0,0.0025,210.1262,0.0,0.0,1.0,625.158,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.99609375,0.7271686823036312,0.0,1045.0,1.0,0.0,1.0,0,0,0,0.2572496570644719,0,666.5997773636668,2.2688187962578823,668.8685961599247,2.9169940189400902,1.7042324577803518,4.621226476720442,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-294.2184499999992,0.0,105,2560.0,431.13370000000003,2638.2346999999995,213.75319999999962,0.0,0.0,0.0,0.0,0.0,280,226.81439999999998,2560.0,431.13370000000003,213.75319999999962,268.0,0.0,0.0,0.015,5.552024722222217,5.5987137546468535,NaN,1.731652336448599,3.1755733944092346,3.3662373807439994,1076.0,1080.0,538.0,2044.0,1282.0000000000002,204.0,190,0,0,1,49,42.0,2048.0,17669.043000000005,4535.3757000000005,12828.8705,765,3,0,128,0.1311804689855367,0.7356546252261922,0.41706832539628214,4,7492.717399999973,5996.186699999995,49,0,0.0,0,0,0,0.0,0,0.0,965774.6214000016,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,190,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7369580136817535,384,16242.418599999995,128,949532.2028000001,4,4040.9277000000043,4,7229.508600000002,2,1182.1313999999998,-2537.1064999999994,15.958340012880004,1224.2446,0,0,538,538,3 + interest on deposits,sumsy,7,1.6007106751203537e-10
7,512,4,4,37554.62129999999,0.0,15983.11449999998,1837.8116999999993,3160.0459999999994,,3160.0459999999994,0.0,0.0,0.0,0.0,0.0,0.0025,232.034,0.0,0.0,1.0,622.9395000000001,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.99609375,0.7271300595190131,0.0,1043.0,0.0,0.0,1.0,0,0,0,0.25738139718877245,0,671.0020795481279,1.7427787995366353,672.7448583476645,3.6495903206577087,1.4126031917232067,5.062193512380915,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-414.9858750000041,0.0,105,2560.0,475.60849999999925,1837.8116999999993,235.88089999999974,0.0,0.0,0.0,0.0,0.0,281,240.3538,2560.0,475.60849999999925,235.88089999999974,268.0,0.0,0.0,0.015,5.490690874882408,5.572425794392539,NaN,1.9223148496240599,3.1262129105277414,3.2652502593216792,1070.0,1063.0,535.0,2046.6666666666665,1276.0,204.0,192,0,0,1,47,35.0,2048.0,18665.344200000003,5054.465399999999,13362.4239,765,3,0,128,0.16168710416565135,0.7364124253416395,0.472699075814381,10,7484.645300000006,5836.6044,47,0,0.0,0,0,0,0.0,0,0.0,966976.2996999997,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7373851653213119,384,16114.28230000001,128,950862.0174000005,4,4258.458200000004,4,8085.726499999997,2,1382.0017000000003,-2928.0119999999993,16.915840413652806,1224.2446,0,0,535,535,3 + interest on deposits,sumsy,7,1.6007106751203537e-10
8,512,4,4,39596.457,0.0,16831.7804,1600.8405000000007,3544.0665,,3544.0665,0.0,0.0,0.0,0.0,0.0,0.0025,253.5627,0.0,0.0,1.0,616.0545000000003,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,0.9947916666666666,0.730968474136412,0.0,777.0,1.0,0.0,1.0,0,0,0,0.2566722589139714,0,828.5324894582038,1.3147443675957058,829.8472338257995,6.033741038727594,1.410574123926455,7.444315162654049,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-543.0500935064975,0.0,108,2560.0,518.1643000000007,3578.901799999998,257.24160000000006,0.0,0.0,0.0,0.0,0.0,293,475.0987,2560.0,518.1643000000007,257.24160000000006,268.0,0.0,0.0,0.015,5.447104239631341,5.466537570093437,NaN,1.9642416195856862,3.0818688998133554,3.167292751542029,1070.0,1085.0,535.0,2046.6666666666667,1276.0000000000002,204.0,192,0,0,1,56,41.0,2048.0,21500.165300000004,3132.3856,14235.2447,764,4,0,128,0.22968770819425655,0.7396583667128958,0.48059798551497823,7,7388.881899999994,5910.108100000005,56,0,0.0,0,0,0,0.0,0,0.0,1.1759400413999974e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7408772908012431,384,15909.902299999996,128,1.1600301390999993e6,4,4910.030600000005,4,9069.7688,2,1570.3712,-3290.5038,17.930790838471975,1495.57715,0,0,535,535,3 + interest on deposits,sumsy,7,1.6007106751203537e-10
9,512,4,4,41596.76260000001,0.0,17059.288400000005,1041.021,3901.6674,,3901.6674,0.0,0.0,0.0,0.0,0.0,0.0025,274.2982,0.0,0.0,1.0,611.1636000000007,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,0.9947916666666666,0.730795384445448,0.0,777.0,0.0,0.0,1.0,0,0,0,0.2558128952598137,0,836.6436238239851,0.990439906127047,837.6340637301122,7.235166097029921,1.2022588743790832,8.437424971409005,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-675.8750185065085,0.0,111,2560.0,559.6944000000001,1844.738,277.9977000000002,0.0,0.0,0.0,0.0,0.0,294,236.9602,2560.0,559.6944000000001,277.9977000000002,268.0,0.0,0.0,0.015,5.351209167446211,5.505109276437831,NaN,1.9372999999999982,3.119505448354079,3.072273968995767,1078.0,1069.0,539.0,2046.6666666666667,1284.0,204.0,191,0,0,2,54,34.0,2048.0,23379.965499999988,3163.9683,14541.5704,764,4,0,128,0.25952620802794013,0.7400549862430648,0.4803965453728345,18,7415.85249999999,5720.442599999999,54,0,0.0,0,0,0,0.0,0,0.0,1.177138041900002e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,191,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7410265502544224,384,16042.662000000004,128,1.1610953799000005e6,4,5205.690999999998,4,9831.9751,2,1651.6749999999997,-3627.3691999999996,19.006638288780294,1495.57715,0,0,539,539,3 + interest on deposits,sumsy,7,1.6007106751203537e-10
10,512,4,4,43555.8254,0.0,17194.942099999997,980.9051,4227.7769,,4227.7769,0.0,0.0,0.0,0.0,0.0,0.0025,294.834,0.0,0.0,1.0,600.4076999999995,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,8,0,0.9947916666666666,0.7308157755559721,0.0,777.0,0.0,0.0,1.0,0,0,0,0.2553305444420415,0,853.097529317187,0.4658415711797286,853.5633708883666,8.4459285701452,1.1539526794109034,9.599881249556104,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-806.9727902600122,0.0,112,2560.0,600.9371999999987,1622.096799999999,298.58999999999975,0.0,0.0,0.0,0.0,0.0,302,360.9696,2560.0,600.9371999999987,298.58999999999975,268.0,0.0,0.0,0.015,5.280431158088233,5.418460037174743,NaN,1.9368584269662932,2.9711765485600927,2.9801057499258943,1076.0,1088.0,538.0,2045.3333333333335,1282.0,204.0,191,0,0,1,54,45.0,2048.0,25044.169500000007,3178.8552,14676.997099999999,764,4,0,128,0.27729343066101375,0.7405321039571482,0.4440492823260578,23,7181.756100000002,5745.109099999998,54,0,0.0,0,0,0,0.0,0,0.0,1.1780711879999996e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,191,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7412201303477757,384,15915.699000000002,128,1.1621554890000003e6,4,5484.666899999998,4,10698.032800000003,2,1838.1317999999999,-3932.9429,20.147036586107113,1495.57715,0,0,538,538,3 + interest on deposits,sumsy,7,1.6007106751203537e-10
11,512,4,4,45474.25320000005,0.0,17075.017100000012,753.7067,4525.404799999999,,4525.404799999999,0.0,0.0,0.0,0.0,0.0,0.0025,315.1999,0.0,0.0,1.0,592.4618999999996,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,17,0,0.9947916666666666,0.7306193221561827,0.0,772.0,0.0,0.0,1.0,0,0,0,0.25782479167880656,0,865.2985338549393,0.0782766219937118,865.376810476933,9.72806628395157,1.0556030461922246,10.783669330143795,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-935.4145820765922,0.0,117,2560.0,641.5721999999998,2658.3104999999996,318.92359999999985,0.0,0.0,0.0,0.0,0.0,311,404.42719999999997,2560.0,641.5721999999998,318.92359999999985,268.0,0.0,0.0,0.015,5.1866197519084,5.364795910780654,NaN,1.905144756554309,2.9617200280323828,2.8907025774281183,1076.0,1048.0,538.0,2046.6666666666665,1281.9999999999998,204.0,190,0,0,4,46,27.0,2048.0,27099.089300000003,3212.7374,14442.7994,764,4,0,128,0.29387052869723873,0.7405694626860675,0.42713717701871823,20,7108.791899999993,5435.577500000003,46,0,0.0,0,0,0,0.0,0,0.0,1.1792312599000004e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,190,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.741034454564294,384,16293.384899999994,128,1.162937875e6,4,5782.637899999999,4,11314.805500000002,2,1959.0059999999999,-4210.2049,21.35585878127354,1495.57715,0,0,538,538,3 + interest on deposits,sumsy,7,1.6007106751203537e-10
12,512,4,4,47356.17189999994,0.0,16960.951200000007,782.3386000000002,4792.145399999999,,4792.145399999999,0.0,0.0,0.0,0.0,0.0,0.0025,333.7671,0.0,0.0,1.0,581.9404999999998,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,30,0,0.9934895833333334,0.7303227386973061,0.0,761.0,0.0,0.0,1.0,0,0,0,0.2603325490086879,0,882.0495673796079,-0.2692045747506615,881.7803628048573,12.54564160503139,1.1956058546406405,13.741247459672032,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-1059.6990081935032,0.0,125,2560.0,678.0813000000007,2645.1886999999997,337.28310000000033,0.0,0.0,0.0,0.0,0.0,314,566.8793000000001,2560.0,678.0813000000007,337.28310000000033,268.0,0.0,0.8821,0.015,5.0988499067164135,5.403242026266435,NaN,1.8827255681818178,2.916702046250655,2.803981500105274,1066.0,1072.0,533.0,2042.6666666666667,1272.0,204.0,192,0,0,7,48,34.0,2048.0,29969.68960000001,1660.6764,14825.159500000002,763,5,0,128,0.33100026017880824,0.7408303601330029,0.44559032596556647,17,6941.162999999981,5465.967099999995,48,0,0.0,0,0,0,0.0,0,0.0,1.1803792753500019e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,192,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74108771819941,384,16351.165999999996,128,1.1640281093500003e6,4,5990.231850000001,4,11998.1979,2,2050.0963,-4458.378299999999,22.637210308149953,1495.57715,0,0,533,533,3 + interest on deposits,sumsy,7,1.6007106751203537e-10
13,512,4,4,49200.56960000003,0.0,16652.695000000003,614.3072999999998,5030.470799999999,,5030.470799999999,0.0,0.0,0.0,0.0,0.0,0.0025,352.6916,0.0,0.0,1.0,572.0924999999993,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,40,0,0.9921875,0.7297941896003168,0.0,756.0,0.0,0.0,1.0,0,0,0,0.2598310219129905,0,898.3696584176338,-0.5155310970836756,897.8541273205501,14.98306027591902,1.1970438766561236,16.18010415257514,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-1180.2029171264678,0.0,138,2560.0,715.6022999999999,2499.472600000001,356.0987999999998,0.0,0.0,0.0,0.0,0.0,315,650.6053999999999,2560.0,715.6022999999999,356.0987999999998,268.0,0.0,10.968,0.015,5.028436406396988,5.406060225140704,NaN,1.8649590132827327,2.9119528769918537,2.719862055102116,1066.0,1063.0,533.0,2038.666666666667,1272.0,204.0,193,0,0,6,45,34.0,2048.0,32322.810299999994,773.3423,15101.119999999999,762,6,0,128,0.3565815400762713,0.741204376027969,0.4712380095925266,19,6875.366900000006,5345.227899999998,45,0,0.0,0,0,0,0.0,0,0.0,1.1809812868999997e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,193,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.741148433952062,384,16358.786800000005,128,1.1646225000999998e6,4,6862.564000000002,4,12575.197900000001,2,2062.5511999999994,-4677.779199999999,23.99544292663895,1495.57715,0,0,533,533,3 + interest on deposits,sumsy,7,1.6007106751203537e-10
