round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,110375.67990000044,0.0,569.1402,569.1402,561.0,,561.0,0.0,0.0,0.0,0.0,0.0,0.0025,968.389,0.0,0.0,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.2780340434009634,0.0,672.0,0.0,0.0,1.0,0,0,0,0.6898275686154474,124,73.23774507620044,16.57225778789854,89.81000286409898,42.22680039215686,2.8430950980392162,45.069895490196075,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,16,2560.0,1942.9505000000004,569.1402,970.458999999997,0.0,0.0,0.0,0.0,0.0,0,258.1752,2560.0,1942.9505000000004,970.458999999997,274.0,0.0,0.0,0.0,5.0,5.200000000000013,2.0,0.75,3.594822888283399,3.9200000000000013,320.0,99.0,160.0,2048.0,734.0,204.0,328,0,0,0,60,39.0,2048.0,94670.42820000031,4200.0612,5581.0599,768,0,0,128,0.29845531100911327,0.2780340434009634,0.6575038912401223,0,3681.5722999999966,495.0,60,0,520.0,0,0,0,0.0,0,0.0,140751.76305161096,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1040.0,208.0,4697.5664,4,651.2447999999999,651.2452000000002,0.8127056217797425,5120.0,63.26171875,0.23565572102864582,111,0,0.0,0,18004.187797919036,3239.0,92,0.53896484375,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,0,12,0.0,0,0.0,7754.3472,8.1402,0.0,0.0,0.0,0.0,651.2447999999999,10718.71019999999,14478.6875,0.29457207436377875,384,76657.36538320406,128,64094.39766840653,4,0.0,4,567.5,2,258.1752,407.389,11.925,11.25,0,0,160,160,"E8 + shareholders & share market, full money stock",sumsy,9,1.4551915228366852e-10
2,512,4,4,110978.66360000017,0.0,2365.042699999999,1824.3595,532.95,,532.95,0.0,0.0,0.0,0.0,0.0,0.0025,1347.9254,0.0,0.0,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.7072792565743253,0.0,969.0,2.0,0.0,1.0,0,0,0,0.2650237098924032,154,1185.876412730545,18.300966511955775,1204.1773792425008,48.09378019607843,2.7226354901960788,50.81641568627451,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-5.6914,0.0,16,2560.0,1957.0163000000011,1824.3595,973.3311000000008,0.0,0.0,0.0,0.0,0.0,0,398.1281,2560.0,1957.0163000000011,973.3311000000008,274.0,0.0,0.0,0.015,4.830935727788248,5.48607111597374,2.195210624999987,1.1222652078774622,3.5313979651162657,3.802399999999999,914.0,1058.0,457.0,2048.0,1376.0,204.0,168,0,0,1,48,26.0,2048.0,91957.59590000015,5106.771,7375.374100000001,768,0,0,128,0.35790803616244915,0.7072792565743253,0.3747361618420413,0,6349.811999999966,5111.1299999999665,48,0,640.0,0,0,0,0.0,0,0.0,1.5523708888487304e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1404.9347999999918,256.0,4792.8691,4,242.2532,242.25309999999996,0.8146089330847847,5120.0,51.015625,0.2528261865234374,152,0,0.0,0,6118.4787003687725,2612.0,127,1.079808617761778,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,168,0.0,0,12,0.0,0,0.0,7754.3472,88.52229999999997,5532.3092596730985,0.0,5532.3092596730985,0.0,242.2532,15746.620599999995,17275.014199999998,0.7143938039940341,384,75726.14317157389,128,1.4766447456771554e6,4,0.0,4,539.1249999999999,2,398.1281,814.9754,12.640500000000001,1834.15375,0,0,457,457,"E8 + shareholders & share market, full money stock",sumsy,9,1.4551915228366852e-10
3,512,4,4,111569.71100000013,0.0,5182.957499999998,2937.5897,504.9,,504.9,0.0,0.0,0.0,0.0,0.0,0.0025,1739.6459,0.0,0.0,1.0,542.0331000000003,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7013757899500888,0.0,1049.0,1.0,0.0,1.0,0,0,0,0.2572551272933207,154,1055.7156546417598,18.360205506781273,1074.075860148541,46.42090324448832,2.915024109437774,49.335927353926095,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-29.341700000000003,0.0,16,2560.0,1968.9525999999971,2937.5897,975.1416999999985,0.0,0.0,0.0,0.0,0.0,0,474.8915,2560.0,1968.9525999999971,975.1416999999985,274.0,0.0,0.0,0.015,4.810337852593289,5.447861638733704,2.3640193749999923,1.3378268656716428,3.4885399665741423,3.688327999999999,1074.0,1099.0,537.0,2046.6666666666665,1536.0,204.0,126,0,0,1,57,45.0,2048.0,90261.23120000008,4179.7244,9915.3469,767,1,0,128,0.34197734134892155,0.7013757899500888,0.31268193681870926,0,7088.670699999996,5286.561300000025,57,0,640.0,0,0,0,0.0,0,0.0,1.33845814464873e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1512.972399999995,256.0,4998.8711,4,271.26250000000005,271.263,0.8146089330847847,5120.0,51.015625,0.26455852213541664,0,0,0.0,0,0.0,2612.0,127,1.359902900597448,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,0,12,0.0,0,0.0,7754.3472,280.1047,7929.122761328895,0.0,7929.122761328895,0.0,271.26250000000005,14010.01589999999,19093.9424,0.7085362622170968,384,75023.64587157381,128,1.2634344987771555e6,4,0.0,4,510.75,2,474.8915,1234.7459,13.398930000000002,1556.4,0,0,537,537,"E8 + shareholders & share market, full money stock",sumsy,9,1.4551915228366852e-10
4,512,4,4,112149.7528,0.0,5282.276400000002,365.8732,476.85,,476.85,0.0,0.0,0.0,0.0,0.0,0.0025,2127.301,0.0,0.0,1.0,539.7177999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.708563814121804,0.0,1051.0,2.0,0.0,1.0,0,0,0,0.2573365471797245,154,1213.732974791321,17.823720348549863,1231.556695139871,49.67734044868447,3.0424150165995507,52.71975546528402,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-81.17150000000001,0.0,16,2560.0,1979.958199999998,365.8732,976.777199999999,0.0,0.0,0.0,0.0,0.0,0,525.7473,2560.0,1979.958199999998,976.777199999999,274.0,0.0,0.0,0.015,5.451775118259223,5.425184074074071,2.4855634375000024,1.439330855018587,3.3898050413279366,3.5776781599999983,1080.0,1057.0,540.0,2046.6666666666667,1542.0,204.0,126,0,0,1,45,34.0,2048.0,90822.81129999999,2619.6404,10748.7471,766,2,0,128,0.3510204731819635,0.708563814121804,0.3386707881770148,0,7003.751399999976,5762.526299999999,45,0,640.0,0,0,0,0.0,0,0.0,1.5249362764487301e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1590.7606000000017,256.0,5305.5057,4,310.0439,310.04370000000006,0.8146089330847847,5120.0,51.015625,0.2894303662109375,0,0,0.0,0,0.0,2612.0,127,1.7805146342348275,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,0,12,0.0,0,0.0,7754.3472,310.13000000000005,8927.297368836882,0.0,8927.297368836882,0.0,310.0439,16201.158999999996,18673.893200000002,0.7156304429431468,384,73867.67677157384,128,1.451068599677156e6,4,0.0,4,482.375,2,525.7473,1650.451,14.202865800000003,1801.015,0,0,540,540,"E8 + shareholders & share market, full money stock",sumsy,9,1.4551915228366852e-10
5,512,4,4,112718.40600000003,0.0,6581.369599999998,1583.9412000000002,448.8,,448.8,0.0,0.0,0.0,0.0,0.0,0.0025,2438.1401,0.0,0.0,1.0,611.6889000000003,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.7097075625692497,0.0,1043.0,0.0,0.0,1.0,0,0,0,0.25902727500556916,154,1071.5469023366695,15.240616302535335,1086.7875186392048,40.84481283315061,2.8938559677461293,43.73866880089674,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-133.99330000000003,0.0,16,2560.0,1991.3468000000007,1583.9412000000002,979.0510000000013,0.0,0.0,0.0,0.0,0.0,0,550.5114000000001,2560.0,1991.3468000000007,979.0510000000013,274.0,0.0,0.0,0.015,5.607725652985068,5.58462359550562,2.5860390625000007,1.5768663533834575,3.3447235740317893,3.4703478152,1068.0,1072.0,534.0,2046.6666666666667,1530.0,204.0,129,0,0,2,50,34.0,2048.0,88188.75040000003,4116.9486,11797.8644,766,2,0,128,0.3377188275776384,0.7097075625692497,0.32601335645886453,0,7013.709600000006,6011.481899999993,50,0,640.0,0,0,0,0.0,0,0.0,1.523583628748728e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1655.0650000000005,256.0,5626.1911,4,376.3506,376.35060000000016,0.8146089330847847,5120.0,51.015625,0.31524587239583335,0,0,0.0,0,0.0,2612.0,127,2.1338808607719915,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,129,0.0,0,12,0.0,0,0.0,7754.3472,356.3781,6022.178211775748,0.0,6022.178211775748,0.0,376.3506,15543.4754,21541.0041,0.7167523421381341,384,72603.46137157378,128,1.4509801673771553e6,4,0.0,4,454.0000000000002,2,550.5114000000001,1989.3401000000001,15.055037748000004,1801.015,0,0,534,534,"E8 + shareholders & share market, full money stock",sumsy,9,1.4551915228366852e-10
6,512,4,4,113274.36699999995,0.0,8167.1718,1949.8474000000003,420.75,,420.75,0.0,0.0,0.0,0.0,0.0,0.0025,2727.8742,0.0,0.0,1.0,629.1869999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.7107980239405407,0.0,1046.0,0.0,0.0,1.0,0,0,0,0.2564310444340454,154,1042.4150878905436,14.414208446085597,1056.8292963366293,37.08789936882388,2.8740285675193515,39.96192793634323,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-199.8067,0.0,16,2560.0,2004.039000000001,1949.8474000000003,982.1741999999999,0.0,0.0,0.0,0.0,0.0,0,568.5545999999999,2560.0,2004.039000000001,982.1741999999999,274.0,0.0,0.0,0.015,5.628661319890013,5.605402052238774,2.669141875000002,1.7433228464419452,3.544822436939332,7.3100578877357085,1072.0,1091.0,536.0,2045.3333333333333,1533.9999999999998,204.0,127,0,0,0,56,45.0,2048.0,85642.96810000007,4929.1057,13821.3342,766,2,0,128,0.3228522931489122,0.7107980239405407,0.34579408215522167,0,7477.819100000055,6140.869500000004,56,0,640.0,0,0,0,0.0,0,0.0,1.52253331144873e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1708.2508000000014,256.0,5584.5302,4,390.72970000000004,390.7300000000003,0.8146089330847847,5120.0,51.015625,0.33638695312499994,0,0,0.0,0,0.0,2612.0,127,2.2831298874091606,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,127,0.0,0,12,0.0,0,0.0,7754.3472,475.2834000000003,3665.624289745833,0.0,3665.624289745833,0.0,390.72970000000004,15701.980099999995,24334.9701,0.71782305860286,384,71380.1610715739,128,1.4511531503771557e6,4,0.0,4,425.6250000000002,2,568.5545999999999,2307.1242,15.958340012880004,1801.015,0,0,536,536,"E8 + shareholders & share market, full money stock",sumsy,9,1.4551915228366852e-10
7,512,4,4,113817.91469999998,0.0,8056.9833,351.3491,392.7,,392.7,0.0,0.0,0.0,0.0,0.0,0.0025,3012.8561,0.0,0.0,1.0,631.5380000000005,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.99609375,0.712723075277393,0.0,916.0,1.0,0.0,1.0,0,0,0,0.25641641698230544,154,1064.9774674271637,13.796405870792166,1078.7738732979558,40.48594376801612,2.6115299556424647,43.09747372365859,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-281.4791000000001,0.0,19,2560.0,2016.4523000000008,2362.9592999999995,985.6041000000009,0.0,0.0,0.0,0.0,0.0,0,584.8975,2560.0,2016.4523000000008,985.6041000000009,274.0,0.0,0.0,0.015,5.634900939849632,5.699286296296284,2.7800026562499958,1.9259666666666653,3.548527172562672,7.218541488109927,1080.0,1064.0,540.0,2048.0,1542.0,204.0,126,0,0,0,47,38.0,2048.0,86835.13080000007,3206.7893,14598.5033,765,3,0,128,0.33823374484972857,0.712723075277393,0.3540485258445445,0,7589.089900000047,5995.534600000008,47,0,640.0,0,0,0,0.0,0,0.0,1.5584466130487304e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1779.2016999999973,256.0,5579.737700000001,4,370.4406,370.4413999999998,0.8146089330847847,5120.0,51.015625,0.35610836425781245,0,0,0.0,0,0.0,2612.0,127,2.401917208167213,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,126,0.0,0,12,0.0,0,0.0,7754.3472,609.7926,5735.076913429067,0.0,5735.076913429067,0.0,370.4406,16316.962300000003,23385.030300000002,0.7197211929161407,384,70314.33897157386,128,1.4881322740771554e6,4,0.0,4,397.25,2,584.8975,2620.1561,16.915840413652806,1849.0389,0,0,540,540,"E8 + shareholders & share market, full money stock",sumsy,9,1.4551915228366852e-10
8,512,4,4,114350.73709999991,0.0,7731.7894000000015,153.8225,364.65,,364.65,0.0,0.0,0.0,0.0,0.0,0.0025,3293.9938,0.0,0.0,1.0,632.2367999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.715125644451752,0.0,512.0,1.0,0.0,1.0,0,0,0,0.2507009236328188,154,1117.6988528658192,13.184104796665048,1130.8829576624842,44.25672699681468,2.559442665683809,46.81616966249849,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-362.0341000000001,0.0,21,2560.0,2027.1776000000002,1490.962,988.2257999999996,0.0,0.0,0.0,0.0,0.0,0,592.6695,2560.0,2027.1776000000002,988.2257999999996,274.0,0.0,0.0,0.015,5.604213236627379,5.688208052434446,2.8747984374999977,2.0161490566037745,3.558359140817741,7.015825760485714,1068.0,1103.0,534.0,2048.0,1530.0,204.0,129,0,0,1,64,54.0,2048.0,88023.14870000002,1514.2824000000003,15345.0962,764,4,0,128,0.3558302840454084,0.715125644451752,0.3729774061982576,0,7571.319500000005,6181.447199999999,64,0,640.0,0,0,0,0.0,0,0.0,1.6190949123588318e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1839.8709999999985,256.0,5581.5465,4,448.1771,448.17750000000007,1.3173835784314927,5120.0,51.015625,0.38024157063802083,6,0,0.0,0,125.30640193946749,2612.0,127,2.544702646057232,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,129,0.0,0,12,0.0,0,0.0,7754.3472,729.1314999999995,7255.856730445399,0.0,7255.856730445399,0.0,448.1771,16974.5517,22440.9251,0.7220698453166716,384,81392.65239331426,128,1.5377022599655169e6,4,0.0,4,368.875,2,592.6695,2929.3438,17.930790838471975,1889.3986,0,0,534,534,"E8 + shareholders & share market, full money stock",sumsy,9,1.4551915228366852e-10
9,512,4,4,114872.91070000001,0.0,7400.876399999998,155.88340000000005,336.6,,336.6,0.0,0.0,0.0,0.0,0.0,0.0025,3574.9341,0.0,0.0,1.0,628.7942999999996,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.7160619202669345,0.0,512.0,0.0,0.0,1.0,0,0,0,0.2569516208079535,154,1124.6659981015064,12.780461650678525,1137.4464597521849,44.827136785487184,2.5949945741051788,47.42213135959236,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-439.3516999999997,0.0,24,2560.0,2037.8264000000004,2167.1619,990.6554,0.0,0.0,0.0,0.0,0.0,0,594.8749,2560.0,2037.8264000000004,990.6554,274.0,0.0,0.0,0.015,5.574930241545893,5.977244383057104,2.9892781249999993,1.9974697588126176,3.5543584141792786,6.95013653616373,1086.0,1035.0,543.0,2046.6666666666667,1548.0,204.0,124,0,0,2,38,29.0,2048.0,87748.74579999999,1897.9201,15459.011400000001,764,4,0,128,0.35682253546416187,0.7160619202669345,0.35795715832146247,0,7643.026599999986,5770.0527999999995,38,0,640.0,0,0,0,0.0,0,0.0,1.618404544758832e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1913.1379999999995,256.0,5597.4244,4,456.79690000000005,456.79750000000047,1.3173835784314927,5120.0,51.015625,0.3953750748697917,0,0,0.0,0,0.0,2612.0,127,2.6013365801487383,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,124,0.0,0,12,0.0,0,0.0,7754.3472,842.7513000000004,7489.14556844654,0.0,7489.14556844654,0.0,456.79690000000005,17839.142300000007,22954.3559,0.7229921158582686,384,80364.69329331431,128,1.5380398514655172e6,4,0.0,4,340.5,2,594.8749,3238.3341,19.006638288780294,1889.3986,0,0,543,543,"E8 + shareholders & share market, full money stock",sumsy,9,1.4551915228366852e-10
10,512,4,4,115384.67750000003,0.0,7253.453199999998,346.89560000000006,308.55,,308.55,0.0,0.0,0.0,0.0,0.0,0.0025,3855.3303,0.0,0.0,1.0,625.5047999999998,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.7167328535419251,0.0,1040.0,1.0,0.0,1.0,0,0,0,0.2500006612444621,154,1140.5772934402614,12.43624652844445,1153.0135399687058,45.15041846757452,2.6654124072364493,47.81583087481097,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-513.3111999999999,0.0,27,2560.0,2048.2331999999988,2310.3547999999996,992.9387999999994,0.0,0.0,0.0,0.0,0.0,1,594.3502,2560.0,2048.2331999999988,992.9387999999994,274.0,0.0,0.0,0.015,5.529353990610325,6.006757894736845,3.1137606250000003,2.0314708333333327,3.56620400159552,6.902810760238769,1064.0,1065.0,532.0,2045.3333333333333,1526.0,204.0,130,0,0,1,43,28.0,2048.0,87185.44169999998,2280.5781,15840.6479,764,4,0,128,0.3579134422813175,0.7167328535419251,0.37058078175062237,0,7590.698399999987,5888.761999999996,43,0,640.0,0,0,0,0.0,0,0.0,1.6287063819076503e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1992.8068000000003,256.0,5628.329299999999,4,471.3586,471.35789999999946,1.4522960222599386,5120.0,51.015625,0.4142965999348959,2,0,0.0,0,20.690094847557198,2612.0,127,2.687991456113822,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,130,0.0,0,12,0.0,0,0.0,7754.3472,1075.4999000000003,6744.136080192381,0.0,6744.136080192381,0.0,471.3586,20451.65700000002,23749.555300000004,0.7236572683926319,384,83391.40252923587,128,1.5453149793784139e6,4,0.0,4,312.125,2,594.3502,3546.7803,20.147036586107113,1893.2307,0,0,532,532,"E8 + shareholders & share market, full money stock",sumsy,9,1.4551915228366852e-10
11,512,4,4,115886.71279999989,0.0,6903.078000000003,160.38970000000003,280.5,,280.5,0.0,0.0,0.0,0.0,0.0,0.0025,4136.6517,0.0,0.0,1.0,620.3944999999999,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.717574966810703,0.0,906.0,0.0,0.0,1.0,0,0,0,0.2500235828456634,154,1151.0335964029573,12.037664782712653,1163.07126118567,45.01483345835381,2.734422542263305,47.749256000617116,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-585.6411999999996,0.0,31,2560.0,2057.964699999999,2102.8632000000002,994.8815999999996,0.0,0.0,0.0,0.0,0.0,2,593.3106,2560.0,2057.964699999999,994.8815999999996,274.0,0.0,0.0,0.015,5.491665607476631,6.068585526315795,3.2261156249999994,2.0310261363636375,3.5701022178328765,6.886116551540893,1064.0,1070.0,532.0,2046.6666666666665,1526.0,204.0,130,0,0,0,43,31.0,2048.0,86677.50740000003,2709.4121999999998,16105.7535,764,4,0,128,0.35639977102334663,0.717574966810703,0.4000424986677875,0,7607.555300000005,5876.082199999995,43,0,640.0,0,0,0,0.0,0,0.0,1.6286428103155913e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,2064.7139999999995,256.0,5664.0774,4,491.75930000000005,491.76060000000007,1.4663511233006832,5120.0,51.015625,0.4330022884114583,1,0,0.0,0,22.375585664190325,2612.0,127,2.7719824682819922,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,130,0.0,0,12,0.0,0,0.0,7754.3472,1172.8754999999996,6293.513033183062,0.0,6293.513033183062,0.0,491.75930000000005,20814.54739999999,24479.243099999996,0.724490053539717,384,82629.29735236897,128,1.5460135129632251e6,4,0.0,4,283.75,2,593.3106,3856.1517000000003,21.35585878127354,1893.2307,0,0,532,532,"E8 + shareholders & share market, full money stock",sumsy,9,1.4551915228366852e-10
12,512,4,4,116378.6729999999,0.0,6603.5634,220.4402,252.45,,252.45,0.0,0.0,0.0,0.0,0.0,0.0025,4418.1812,0.0,0.0,1.0,616.1665999999999,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.718446824702772,0.0,1041.0,0.0,0.0,1.0,0,0,0,0.2501940333056467,154,1159.3358045711439,11.636681883775175,1170.9724864549191,45.4894342846728,2.7754199765225613,48.26485426119536,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-654.6722,0.0,33,2560.0,2068.039799999999,1505.025,996.9937000000006,0.0,0.0,0.0,0.0,0.0,0,591.2528,2560.0,2068.039799999999,996.9937000000006,274.0,0.0,0.0,0.015,5.455223985239856,6.107298127340812,3.351879374999995,2.0348096226415118,3.586705085724764,6.866952446923169,1068.0,1084.0,534.0,2048.0,1530.0,204.0,129,0,0,1,56,36.0,2048.0,86135.18709999992,3171.7101,16354.0935,764,4,0,128,0.3589221194673453,0.718446824702772,0.3810006354566666,0,7664.602799999997,5913.462800000004,56,0,640.0,0,0,0,0.0,0,0.0,1.6276813073155943e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,2145.202799999997,256.0,5708.2483,4,506.8515,506.85049999999984,1.4663511233006832,5120.0,51.015625,0.4521168473307291,0,0,0.0,0,0.0,2612.0,127,2.8553126682815813,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,129,0.0,0,12,0.0,0,0.0,7754.3472,1321.111700000001,5801.297523422816,0.0,5801.297523422816,0.0,506.8515,21180.895700000023,25234.0519,0.725352824372939,384,81551.00125236907,128,1.5461303060632248e6,4,0.0,4,255.375,2,591.2528,4165.7312,22.637210308149953,1893.2307,0,0,534,534,"E8 + shareholders & share market, full money stock",sumsy,9,1.4551915228366852e-10
