round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,26431.846000000045,0.0,26553.9724,0.0,3512.26,,0.0,2320.26,1192.0,0.0,1192.0,0.0,0.00375,36.7592,11820.0036,0.0,1.0,3940.0011999999997,7403.248933333329,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.36703233915641276,0.0,512.0,0.0,0.0,1.0,0,0,0,1.0,274,20.591170857461314,3.9707968643364873,24.561967721797803,6.613807843137255,3.002692156862745,9.6165,0.0,0.0,0.0,0.0,0,0,0.0,0.0,36.7592,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,122.12639999999999,122.12639999999999,0.0,4,2535.7800000000007,529.214,3356.480100000001,464.5004000000045,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,3280.0,0.0,0.005,5.0,5.200000000000013,2.0,0.75,3.729700272479588,3.9200000000000013,320.0,7.0,160.0,2048.0,734.0,204.0,328,0,0,0,6,0.0,2048.0,21022.860000000022,136.1396,3147.6188,760,8,0,128,0.19834776918138153,0.36703233915641276,0.0716521989193506,0,5703.860000000013,35.0,0,0,7.0,512,0,0,21022.860000000022,760,36549.8818444913,36549.8818444913,0.0,7,7,0,1.5,0,0.0,512,512,36549.8818444913,760,61440.0,0,0,14.0,208.0,2088.4683999999997,4,0.0,0.0,0.28247176975054805,5120.0,83.671875,-0.3053978776041667,268,0,0.0,0,2846.2039854448994,4284.0,248,0.09391897654659788,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,0,12,0.0,0,0.0,1200.0,0.0,3693.0532000000007,0.0,3693.0532000000007,0.0,0.0,9818.793500000002,5372.2268,0.38101230474402925,384,15711.169169934563,128,20838.712674556642,4,0.0,4,0.0,2,114.28640000000101,-2283.5008000000003,11.925,11.25,0,0,160,160,S3 step 10 + everyone greedy,debt,10,2.9103830456733704e-11
2,512,4,4,25877.000899999988,0.0,26074.9106,0.0,5498.2381,,0.0,2204.247,3293.9910999999997,0.0,2101.9911,4.47,0.00375,374.9147,10005.0036,0.0,1.0,2730.0011999999997,5763.65568333332,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.4933741665733846,0.0,867.0,0.0,0.0,1.0,0,0,0,0.2505139396151555,386,38.90086078234675,3.115852290285382,42.01671307263213,6.4467278431372534,2.9096303921568625,9.356358235294117,0.0,0.0,0.0,0.0,0,0,0.0,0.0,367.9891,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,197.90969999999996,254.8765000000001,0.0,7,111.78159999999998,666.6266999999999,2564.5947,1098.2499000000225,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2070.0,0.0,0.006009441414472173,4.893999999999996,5.530265603644638,1.8499999999999979,1.133170301624129,3.552209836065546,3.802399999999999,878.0,1161.0,439.0,2048.0,1220.0,204.0,207,0,0,1,93,0.0,2048.0,19186.4709,238.62190000000004,4388.3308,760,8,0,128,0.18688094091187457,0.4933741665733846,0.09587492225846406,0,6168.75839999997,5681.933999999995,0,0,149.0,512,0,0,19186.4709,760,45304.26414043016,45304.26414043016,0.0,138,149,0,1.5,0,0.0,512,512,45304.26414043016,760,61440.0,0,0,275.6499999999997,136.0,1688.6626,4,23.0856,16.160000000000004,0.39920758204325113,5120.0,73.81184895833333,-0.28359053873697915,346,0,0.0,0,4404.780859241268,3779.1666666666665,372,0.40357256660637936,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,207,0.0,0,12,0.0,0,0.0,1200.0,2.1886,13074.05304550417,0.0,13074.05304550417,0.0,23.0856,12823.687499999987,6315.6152999999995,0.5042916509488968,384,15439.114621925299,128,29865.149518504837,4,0.0,4,0.0,2,190.46170000000015,-1829.3322999999998,12.640500000000001,11.25,0,0,439,439,S3 step 10 + everyone greedy,debt,10,2.9103830456733704e-11
3,512,4,4,26067.752900000054,0.0,26301.201399999994,0.0,6548.097400000001,,0.0,2088.234,4459.8634,0.0,1165.8723,12.352462374999998,0.00375,337.9859,8919.6492,0.0,1.0,2249.6467999999995,4917.443266666645,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.60782895126717,0.0,1053.0,0.0,0.0,1.0,0,0,0,0.2541331434674261,386,71.76402662891735,3.0380293832085212,74.80205601212587,5.726327355625541,2.9327493850012445,8.659076740626785,0.0,0.0,0.0,0.0,0,0,0.0,0.0,314.81829999999997,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,233.4485,385.26250000000005,0.0,8,857.7554,667.0033999999999,2037.3923,1186.2324000000374,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1603.6400000000003,0.0,0.009284347975101689,5.59965650943396,5.46994780316346,1.7585978260869575,1.3451260249554373,3.4954330242511222,9.67723332628345,1138.0,1060.0,569.0,2046.6666666666665,1402.0,204.0,161,0,0,0,28,0.0,2048.0,18561.26649999998,1023.196,4832.1963,760,8,0,128,0.16983901143385371,0.60782895126717,0.11849663145853984,0,6410.605100000007,5935.6358999999975,0,0,46.0,512,0,0,18561.26649999998,760,63819.71341252986,63819.71341252986,0.0,36,46,0,1.5,0,0.0,512,512,63819.71341252986,760,61440.0,0,0,80.89550000000004,58.0,1313.1082000000001,4,77.2248,54.05719999999998,0.9029786052603209,5120.0,73.05013020833333,-0.27397853515625,113,0,0.0,0,998.8359437388713,3740.1666666666665,373,0.7513185645605626,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,161,0.0,0,12,0.0,0,0.0,1200.0,20.090199999999996,17646.33717062156,0.0,17646.33717062156,0.0,77.2248,12973.70059999998,7168.5005,0.6158397008440932,384,17549.8183196148,128,46269.89509291511,4,0.0,4,0.0,2,226.3925000000004,-1750.2480999999998,13.398930000000002,11.25,0,0,569,569,S3 step 10 + everyone greedy,debt,10,2.9103830456733704e-11
4,512,4,4,29833.6544000002,0.0,30088.250100000016,0.0,7898.177300000001,,0.0,1972.221,5925.956300000001,0.0,1466.0928999999999,16.724545125,0.00375,366.7071,8560.249708584906,0.0,1.0,2494.0170781132083,4597.39573905659,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.98828125,0.7343039205894739,0.0,901.0,1.0,0.0,1.0,0,0,0,0.2716197449816942,438,356.2820176456796,2.4934963515154185,358.77551399719505,4.179088443102932,2.5362129881897073,6.715301431292639,0.0,0.0,0.0,0.0,0,0,0.0,0.0,358.02990000000005,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,254.59569999999994,519.7330000000002,0.0,46,4475.134600000002,709.2330999999998,6420.854399999999,1199.824099999991,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1754.8638,0.0,0.010967982275652429,5.754034550561801,5.676279143389181,1.7114521739130428,1.455275378787878,3.5501672546330028,9.386916326494946,1074.0,1068.0,537.0,2048.0,1348.0,204.0,175,0,0,0,29,0.0,2048.0,18593.93090000005,590.5285,9333.9891,759,9,0,128,0.14197952868093244,0.7343039205894739,0.12018361425593027,0,6475.756199999981,6145.308900000004,0,0,46.0,512,0,0,18593.93090000005,759,474692.59810451034,474692.59810451034,0.0,44,46,0,1.5,0,0.0,512,512,474692.59810451034,759,61440.0,0,0,78.72679999999997,68.0,948.4988000000001,4,28.9244,20.2472,1.0395397364382521,5120.0,70.06673177083333,-0.18891283854166666,139,0,0.0,0,2472.29801506973,3587.4166666666665,435,1.0414028351799558,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,175,0.0,0,12,0.0,0,0.0,1200.0,588.2199000000002,12341.740725473464,0.0,12341.740725473464,0.0,28.9244,16179.191599999993,10873.016399999999,0.74096121619066,384,18341.122027712732,128,456351.47607679805,4,0.0,4,0.0,2,247.93170000000168,-1605.5139,14.202865800000003,538.0504,0,0,537,537,S3 step 10 + everyone greedy,debt,10,2.9103830456733704e-11
5,512,4,4,30369.290800000075,0.0,30677.508500000007,0.0,9837.054300000002,,0.0,1856.208,7980.846300000001,0.0,2054.89,22.222282375,0.00375,356.7182,8680.561078108536,0.0,1.0,3053.935518734352,4650.9415920723495,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.98828125,0.7405801027434191,0.0,830.0,1.0,0.0,1.0,0,0,0,0.2738430438235506,439,389.8682315762993,2.42274672507442,392.2909783013737,1.8238546287482698,2.5309341167441013,4.354788745492371,0.0,0.0,0.0,0.0,0,0,0.0,0.0,336.18260000000004,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,308.21769999999987,697.4552999999996,0.0,78,1506.2117999999996,970.5753999999998,2704.7754999999993,1137.1584999999843,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2294.408100000002,0.0,0.008491916325043513,5.767625730994153,5.695525636007801,1.71,1.5926862549800804,3.5714416550479027,72.6340973606326,1022.0,1026.0,511.0,2048.0,1233.0,204.0,203,0,0,0,1,0.0,2048.0,17923.977399999978,633.6265000000001,10785.6331,759,9,0,128,0.06929612600852608,0.7405801027434191,0.11067028520395294,0,6717.084099999984,5917.584000000001,0,0,3.0,512,0,0,17923.977399999978,759,513476.4103001778,513476.4103001778,0.0,2,3,0,1.5,0,0.0,512,512,513476.4103001778,759,61440.0,0,0,5.13,5.0,669.3356,4,68.4537,47.91759999999999,1.5572806738324578,5120.0,69.65169270833333,-0.1691842887369792,86,0,0.0,0,822.116853630756,3566.1666666666665,436,1.2504399784044855,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,203,0.0,0,12,0.0,0,0.0,1200.0,1035.5251,10398.226285202218,0.0,10398.226285202218,0.0,68.4537,15438.288899999972,12088.595200000002,0.7469604102261356,384,20544.909401525005,128,492931.5008986524,4,0.0,4,0.0,2,301.94570000000107,-1499.4898,15.055037748000004,560.0803,0,0,511,511,S3 step 10 + everyone greedy,debt,10,2.9103830456733704e-11
6,512,4,4,31012.820200000035,0.0,31352.34449999999,0.0,11796.51139999999,,0.0,1740.195,10056.31639999999,0.0,2075.4701000000005,29.928119875,0.00375,325.2676,8775.60350663779,0.0,1.0,3083.6052164280195,4705.666404425187,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.98828125,0.7396940800032246,0.0,827.0,1.0,0.0,1.0,0,0,0,0.2729918797426748,438,395.6167759912126,2.4421644022245994,398.0589403934372,1.287639301683215,2.556167534906535,3.8438068365897498,0.0,0.0,0.0,0.0,0,0,0.0,0.0,325.26759999999996,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,339.52429999999976,879.5707000000001,0.0,94,1607.5335,964.0041000000001,4110.589000000001,1131.9151000000002,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,2322.285500000002,0.0,0.01175054292756365,5.744910038986349,5.7504502923976615,1.7143000000000008,1.746164880952382,3.6270905616864697,70.4550744398136,1026.0,1026.0,513.0,2048.0,1240.0,204.0,202,0,0,0,2,0.0,2048.0,17616.616099999992,634.0012,12436.8432,759,9,0,128,0.05440952627238338,0.7396940800032246,0.11730527147747782,0,6893.298799999964,5894.277699999994,0,0,20.0,512,0,0,17616.616099999992,759,527857.1276894793,527857.1276894793,0.0,2,20,0,1.5,0,0.0,512,512,527857.1276894793,759,61440.0,0,0,34.286000000000016,8.0,0.0921,4,0.0,0.0,1.4761600558954886,5120.0,69.2626953125,-0.1595629801432292,77,0,0.0,0,652.8617278953639,3546.25,437,1.3589508375807287,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,202,0.0,0,12,0.0,0,0.0,1200.0,1202.7145999999998,9224.233614188943,0.0,9224.233614188943,0.0,0.0,14942.202299999999,13070.936500000002,0.7453095416641198,384,20698.77595875839,128,507158.35173072084,4,0.0,4,0.0,2,333.64429999999913,-1414.9274,15.958340012880004,582.1102,0,0,513,513,S3 step 10 + everyone greedy,debt,10,2.9103830456733704e-11
7,512,4,4,31861.023499999956,2.2805999999999997,25135.113699999994,0.0,13750.098299999972,,0.0,1624.182,12125.916299999972,0.0,2069.5999000000006,35.567922499999995,0.00375,293.3472,8833.67306696493,0.0,1.0,3060.6968096425917,4743.140949405186,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.98828125,0.7400363321398242,0.0,460.0,0.0,0.0,1.0,0,0,0,0.2500349791790601,438,400.3684343145723,2.4758712464598682,402.8443055610322,1.4618548337243824,2.559363273737213,4.021218107461595,0.0,0.0,0.0,0.0,0,0,0.0,0.0,293.34720000000004,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,333.9264999999998,1040.3916999999994,7281.7697,127,1808.5636999999988,958.0798000000004,3148.549000000002,1119.4637999999984,0.0,0.0,0.0,0.0,0.0,7,0.0,0.0,0.0,0.0,0.0,2302.3724,19.586299999999998,0.01149252620298394,5.703764682926827,5.679522093023267,1.75,1.949001577909269,3.6355871893714435,3.2652502593216792,1032.0,1025.0,516.0,2048.0,1247.0,204.0,200,0,0,0,1,0.0,2048.0,17284.81069999999,519.6146,13763.251,759,9,0,128,0.06723297460626476,0.7400363321398242,0.12880868834446124,0,6978.391599999984,5846.358799999997,0,0,8.0,512,0,0,17284.81069999999,759,530379.0300841616,530379.0300841616,0.0,1,8,0,1.5,0,0.0,512,512,530379.0300841616,759,40960.0,0,0,14.0,0.0,0.0,0,0.0,0.0,1.509972423929712,5120.0,53.2763671875,-0.046141306152343735,75,0,0.0,0,483.94929126945016,2727.75,437,2.108358260834459,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,200,0.0,0,8,0.0,0,0.0,800.0,1689.8183999999997,8551.367067327179,0.0,8551.367067327179,0.0,0.0,14873.845300000006,14282.8656,0.7680275706221991,384,20887.652024387164,128,509491.37805977376,4,0.0,4,0.0,2,-6917.6869,-1330.8348,16.915840413652806,582.1102,0,7,516,516,S3 step 10 + everyone greedy,debt,10,2.9103830456733704e-11
8,512,4,4,33053.02900000005,1.9992,26312.744199999997,0.0,15804.841899999958,,0.0,2189.9128,13614.929099999958,0.0,1489.0128000000022,44.39426237500002,0.00375,295.32,8898.045633909103,0.0,1.0,3116.217867506105,4776.926097606064,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.98828125,0.7399621053878003,0.0,456.0,1.0,0.0,1.0,1,0,0,0.25016742177942225,439,393.65210965522857,2.5182008768835518,396.17031053211207,1.6351518842536896,2.478116802460055,4.113268686713744,0.0,0.0,0.0,0.0,0,0,0.0,0.0,292.9653,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,337.6973999999996,1211.2839000000006,7281.7697,147,2241.7564000000016,1050.0323000000005,1372.684200000002,1115.970400000001,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,2363.3218,6.466900000000001,0.01392657828053118,5.655597582205032,5.810350884086469,NaN,2.0169906000000006,3.640013920054197,10.101918800255609,1018.0,1034.0,509.0,2048.0,1224.0,204.0,206,0,0,0,3,0.0,2048.0,16880.5428,431.78959999999995,14057.023799999999,759,9,0,128,0.07428065519888727,0.7399621053878003,0.12999234177676722,1,7008.543700000006,5847.887900000003,0,0,0.0,512,0,0,16880.5428,759,514898.01137984806,514898.01137984806,0.0,10,0,0,1.5,0,0.0,512,512,514898.01137984806,759,46080.0,0,0,0.0,0.0,1388.3528,1,7.8289,5.478699999999965,1.5449734638634758,5120.0,57.96440972222222,0.003743576388888898,74,0,0.0,0,609.6234849758788,2967.777777777778,436,1.923043787676424,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,206,0.0,0,9,0.0,0,0.0,2187.79,2902.2024999999994,9181.014542285855,0.0,9181.014542285855,0.0,7.8289,14600.063200000002,15877.1662,0.7689507070775246,384,21239.20304426313,128,493658.8083355846,4,0.0,4,0.0,2,-6913.523999999999,-1894.5928000000001,17.930790838471975,560.0803,0,7,509,509,S3 step 10 + everyone greedy,debt,10,2.9103830456733704e-11
9,512,4,4,32510.47920000005,3.9984,25786.508900000023,0.0,17769.592599999956,,0.0,2039.8126,15729.779999999955,0.0,2114.850900000001,51.042850125000115,0.00375,287.4352,8919.700753888137,0.0,1.0,3030.9805712401344,4786.914602592087,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.98828125,0.7398747789690105,0.0,474.0,0.0,0.0,1.0,1,0,0,0.25000280595161045,439,398.57917167310046,2.561611274057892,401.14078294715836,1.9203698738855095,2.517273042574339,4.437642916459848,0.0,0.0,0.0,0.0,0,0,0.0,0.0,287.3664,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,352.0126999999993,1394.2431999999983,7281.7697,155,662.7282999999996,1203.2788999999989,2614.7167999999992,1120.3529000000005,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,2284.444800000004,0.0,0.013805184118603736,5.6333496131528085,6.144167311411994,1.7635000000000003,2.034294291338581,3.6300179765872094,32.775286374802576,1034.0,1034.0,517.0,2048.0,1245.0,204.0,200,0,0,0,3,0.0,2048.0,17537.66759999999,487.4846,14141.228500000001,759,9,0,128,0.07345443081645864,0.7398747789690105,0.13390998743783267,1,7004.320099999998,5824.883500000004,0,0,12.0,512,0,0,17537.66759999999,759,516543.1586703116,516543.1586703116,0.0,10,12,0,1.5,0,0.0,512,512,516543.1586703116,759,46080.0,0,0,21.162000000000003,5.0,56.6633,1,0.2292,0.1604,1.3837207024807143,5120.0,51.83159722222222,-0.008045353732638894,179,0,0.0,0,962.5720734014411,2653.777777777778,436,1.9473501569273877,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,200,0.0,0,9,0.0,0,0.0,2187.79,3120.265599999998,8802.816721826233,0.0,8802.816721826233,0.0,0.2292,15181.094099999984,14685.376400000001,0.768042280595125,384,21529.66949245143,128,495013.48917785997,4,0.0,4,0.0,2,-6898.8168,-1752.3773999999999,19.006638288780294,560.0803,0,7,517,517,S3 step 10 + everyone greedy,debt,10,2.9103830456733704e-11
10,512,4,4,32216.050599999995,5.9976,25505.146099999976,0.0,19734.67579999998,,0.0,1889.7124,17844.96339999998,0.0,2115.183399999998,58.97278987500012,0.00375,283.2541,8933.019004453512,0.0,1.0,3017.6277531806304,4791.806299635671,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.98828125,0.7396891122509199,0.0,880.0,0.0,0.0,1.0,1,0,0,0.2500443241818514,439,400.9821429386511,2.602093085049067,403.58423602370016,1.6318772888964463,2.5896508871858814,4.2215281760823276,0.0,0.0,0.0,0.0,0,0,0.0,0.0,283.2541,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,363.07929999999885,1577.7667000000022,7281.7697,159,869.1869000000005,1161.6163000000004,2110.4109999999996,1117.5492,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2274.0273999999986,0.0,0.013644038172723118,5.646897468354436,6.176499999999996,1.7635000000000003,2.0657460629921247,3.6187423808630017,31.792027783558506,1034.0,1027.0,517.0,2048.0,1247.0,204.0,200,0,0,0,2,0.0,2048.0,16957.47670000001,552.1546,14350.6378,759,9,0,128,0.07170342633850169,0.7396891122509199,0.13489272229071503,0,7001.7013000000015,5799.363700000006,0,0,6.0,512,0,0,16957.47670000001,759,517700.5882608662,517700.5882608662,0.0,3,6,0,1.5,0,0.0,512,512,517700.5882608662,759,46080.0,0,0,10.581000000000001,7.0,72.5274,1,0.0,0.0,1.3827617786646356,5120.0,51.306423611111114,0.00832161024305555,73,0,0.0,0,556.55758060256,2626.8888888888887,436,1.9598391599783496,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,200,0.0,0,9,0.0,0,0.0,2187.79,3393.336300000001,9046.020286748,0.0,9046.020286748,0.0,0.0,14645.964000000013,14975.319800000001,0.7677660108482078,384,21784.400699370166,128,495916.18756149634,4,0.0,4,0.0,2,-6887.3582000000015,-1606.4582999999998,20.147036586107113,560.0803,0,7,517,517,S3 step 10 + everyone greedy,debt,10,2.9103830456733704e-11
11,512,4,4,32305.864900000022,7.9968,25603.120600000013,0.0,21721.653299999954,,0.0,2185.7889,19535.864399999955,0.0,1690.901,66.89923562500022,0.00375,291.8331,8945.400437033264,0.0,1.0,3023.071587610257,4792.481027719143,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.98828125,0.7400853334626782,0.0,882.0,1.0,0.0,1.0,1,0,0,0.2500249714112348,439,406.2554048466773,2.62017551476765,408.875580361445,1.5977157909210469,2.5291437937930854,4.126859584714132,0.0,0.0,0.0,0.0,0,0,0.0,0.0,291.7278,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,369.24029999999846,1761.9318000000058,7281.7697,170,1292.2524999999994,1200.4389999999992,2644.744700000004,1121.0404999999994,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2277.6812999999997,0.0,0.014496646960375621,5.643034782608693,6.287728404669271,1.7623,2.0679279207920787,3.6130163302359373,30.838266950051743,1028.0,1035.0,514.0,2048.0,1241.0,204.0,201,0,0,0,6,0.0,2048.0,16846.384199999997,671.6251,14416.8471,759,9,0,128,0.07266594333099463,0.7400853334626782,0.1376255869872134,0,6976.5308000000305,5840.5409999999965,0,0,17.0,512,0,0,16846.384199999997,759,525055.7782194288,525055.7782194288,0.0,11,17,0,1.5,0,0.0,512,512,525055.7782194288,759,46080.0,0,0,29.9591,7.0,79.1754,1,0.3535,0.24819999999999995,1.415505835925101,5120.0,51.02430555555556,0.02798623046875001,37,0,0.0,0,338.9970613839177,2612.4444444444443,436,1.9856767412049452,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,201,0.0,0,9,0.0,0,0.0,2187.79,3788.1197999999995,8781.272731715351,0.0,8781.272731715351,0.0,0.3535,14568.456899999994,15167.6476,0.7678142387390368,384,22006.27959505387,128,503049.4986243747,4,0.0,4,0.0,2,-6880.805200000001,-1893.9558,21.35585878127354,566.3077,0,7,514,514,S3 step 10 + everyone greedy,debt,10,2.9103830456733704e-11
12,512,4,4,32610.76769999998,9.996,25540.7829,0.0,23647.76559999992,,0.0,2302.5675,21345.198099999918,0.0,1809.3337000000045,73.23511237500021,0.00375,294.4157,8942.572702600686,0.0,1.0,2970.4892079474416,4784.959243400454,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.98828125,0.740380837921027,0.0,879.0,1.0,0.0,1.0,1,0,0,0.2500623889843073,439,405.86171583099383,2.692850102845973,408.5545659338398,1.446001413930259,2.578177810220382,4.024179224150641,0.0,0.0,0.0,0.0,0,0,0.0,0.0,294.4157,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0005999999984845905,1949.288700000012,7281.7697,181,1566.246700000002,1259.3447000000003,1743.232300000001,1131.1506999999986,0.0,374.49089999999984,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,2225.6114999999995,0.0,0.014514376034376292,5.612731034482757,6.252365570599631,1.7623000000000015,2.0793088582677193,3.606040024963603,29.913118941550195,1034.0,1044.0,517.0,2048.0,1254.0,204.0,197,0,0,0,11,0.0,2048.0,16899.201899999996,772.531,14503.6639,759,9,0,128,0.06737361894337734,0.740380837921027,0.1406238906909445,0,7341.630400000024,5859.691199999998,0,0,35.0,512,0,0,16899.201899999996,759,520032.2961182532,520032.2961182532,0.0,20,35,0,1.5,0,0.0,512,512,520032.2961182532,759,46080.0,0,0,61.68050000000005,14.0,140.9552,1,0.0,0.0,1.5081081785645383,5120.0,51.015625,0.04383199978298609,3,0,0.0,0,17.78799835601533,2612.0,436,2.0120635866478023,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,197,0.0,0,9,0.0,0,0.0,2187.79,4150.348700000002,8901.796203052343,0.0,8901.796203052343,0.0,0.0,14448.9215,15417.1501,0.7695845957954837,384,22723.58799180708,128,497308.7081264469,4,0.0,4,0.0,2,-7249.652899999999,-2008.1518,22.637210308149953,552.17905,0,7,517,517,S3 step 10 + everyone greedy,debt,10,2.9103830456733704e-11
