round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,21616.824000000026,0.0,21726.719999999998,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.8542504586730721,0.0,512.0,0.0,0.0,1.0,0,0,0,0.9303237044563797,0,7.848588235294119,2.6778039215686276,10.526392156862746,1.859803921568627,2.7170196078431372,4.576823529411764,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,109.89599999999999,109.896,0.0,1,113.84,476.21600000000007,478.6401,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,5.0,5.200000000000013,NaN,0.75,3.9199999999999995,3.920000000000001,320.0,83.0,160.0,2048.0,322.0,0.0,431,0,0,0,47,36.0,2048.0,16433.240000000016,2111.432,3072.152,768,0,0,128,0.07104815643476248,0.292124503073828,0.8284187374298231,0,1382.2399999999998,415.0,47,0,0.0,0,0,0,0.0,0,0.0,24967.240000000023,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,431,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.752217780615865,384,12177.28000000001,128,12789.960000000005,4,-7644.808,4,-8784.488,2,102.05600000000064,0.0,11.925,11.25,0,0,160,160,1 + planning margin,debt,10,-1.8189894035458565e-12
2,512,4,4,22246.71180000003,0.0,22414.370200000023,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.9835547231850323,0.0,512.0,0.0,0.0,1.0,0,0,0,0.25943382507526536,0,9.34619411764706,1.5240694117647058,10.870263529411766,2.4698423529411766,1.7493466666666666,4.219189019607843,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,167.6584,218.51000000000005,0.0,3,1110.5138000000009,480.626,2612.923200000001,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005191765327256353,4.911586144029153,5.515950663716797,NaN,1.1337426991150432,3.614998675496654,3.8023999999999996,904.0,1097.0,452.0,2048.0,906.0,0.0,285,0,0,1,60,50.0,2048.0,15886.702699999942,2265.6744,4094.3347000000003,768,0,0,128,0.11940056947210609,0.3569380970330067,0.532733245565824,2,3787.6404999999845,5388.009999999981,60,0,0.0,0,0,0,0.0,0,0.0,23366.340500000035,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,285,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6955314979335094,384,10595.618399999985,128,12770.722099999983,4,-7325.205599999999,4,-7561.3453,2,160.21040000000025,0.0,12.640500000000001,11.25,0,0,452,452,1 + planning margin,debt,10,-1.8189894035458565e-12
3,512,4,4,22915.727900000085,0.0,23116.741499999927,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,1.0,1.014779563817516,0.0,1051.0,0.0,0.0,1.0,0,0,0,0.254565464232684,0,9.760770810249706,1.3673235598533628,11.128094370103069,2.8229844628510947,1.745762666896086,4.568747129747181,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,201.01359999999985,330.7649999999991,0.0,7,1206.2665999999997,537.2505000000009,4717.393000000002,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006883228995595106,5.632060280373829,5.4930988909426715,NaN,1.344819593345657,3.2869940959409987,3.6883279999999994,1082.0,1070.0,541.0,2046.6666666666667,1084.0,0.0,241,0,0,1,59,38.0,2048.0,15214.126900000048,2613.6794,5087.921600000001,768,0,0,128,0.13920933182429795,0.3963467051429592,0.46959035291048035,1,4290.6490000000085,6026.3044999999975,59,0,0.0,0,0,0,0.0,0,0.0,21624.681400000023,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,241,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.527622505410104,384,8815.259699999999,128,12809.421700000003,4,-6811.8406,4,-6366.7984,2,193.9575999999984,0.0,13.398930000000002,11.25,0,0,541,541,1 + planning margin,debt,10,-1.8189894035458565e-12
4,512,4,4,25604.902800000025,0.0,25826.884900000012,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3,0,0.9986979166666666,0.7563703522932483,0.0,666.0,1.0,0.0,1.0,0,0,0,0.2575639893460443,0,354.52413741078897,0.48008221257973566,355.00421962336867,5.016533943552203,0.7212618462614897,5.737795789813693,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,221.98209999999972,448.23589999999865,0.0,189,3287.1433999999995,597.9684999999995,4736.012199999997,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007180807731274703,5.772362617702454,5.641065555555591,NaN,1.4513307977736558,3.279825754775069,3.5776781599999987,1080.0,1062.0,540.0,2046.6666666666667,1082.0,0.0,241,0,0,3,48,31.0,2048.0,14065.833699999988,4162.1451,7376.923999999999,767,1,0,128,0.2932497703387773,0.739708920083054,0.48405882395855526,42,4331.038800000014,6130.249100000006,48,0,0.0,0,0,0,0.0,0,0.0,516963.16459999984,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,241,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7834523078000235,384,6793.202500000002,128,510169.9620999997,4,-6321.3861,4,-5066.351000000001,2,215.3181000000011,0.0,14.202865800000003,658.5817,0,0,540,540,1 + planning margin,debt,10,-1.8189894035458565e-12
5,512,4,4,27553.209400000032,0.0,27803.147500000043,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,35,6,0.9947916666666666,0.7574432541878493,0.0,645.0,1.0,0.0,1.0,0,0,0,0.2628328402366864,0,525.7714322168307,-0.23201122830871757,525.5394209885221,13.05680646906865,0.07341371571766665,13.130220184786317,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,249.93809999999962,583.9036999999989,0.0,379,2712.488599999999,764.1820000000015,4593.434400000004,0.0,0.0,0.0,0.0,0.0,0.0,31,0.0,0.0,0.0,0.0,0.0,0.0,63.705600000000004,0.007478300287835624,5.733128749999998,5.682160377358496,NaN,1.5865197718631185,3.2955349026993446,3.4703478152,1060.0,1040.0,530.0,2044.0,1062.0,0.0,246,3,3,35,57,31.0,2045.0,16710.456100000014,256.8351,10585.9182,764,4,0,128,0.5715825360138396,0.7471330391671127,0.5601917885888914,131,4334.367500000028,5962.453899999998,58,1,0.0,0,0,3,0.0,0,0.0,777170.7115999993,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,246,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7758504500929602,384,4447.3818999999985,128,772723.3296999999,4,-6631.884599999999,4,-3946.8578999999995,2,243.6660999999994,0.0,15.055037748000004,998.4839,0,0,530,530,1 + planning margin,debt,10,-1.8189894035458565e-12
6,512,4,4,27077.776300000005,0.0,27354.903599999954,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,68,17,0.9947916666666666,0.7557125130276048,0.0,224.0,1.0,0.0,1.0,0,0,0,0.31672081127385154,0,701.0707592237829,-0.5613042288235212,700.5094549949594,14.21316568610629,0.021732820638910206,14.234898506745198,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,277.1272999999998,732.7960999999962,0.0,564,472.70449999999994,948.1376000000005,3541.456,0.0,0.0,0.0,0.0,0.0,0.0,51,0.0,0.0,0.0,0.0,0.0,0.0,139.64679999999998,0.008061060486700926,5.613196566998888,5.654266279069756,NaN,1.7519427734374975,3.280255512572574,3.3662373807439994,1032.0,903.0,516.0,1998.3333333333348,1033.9999999999995,0.0,249,51,50,56,40,26.0,1997.0,15957.871100000002,340.0211,10779.8841,764,4,0,128,0.6696481636776912,0.7494001335013087,0.5783857987107499,214,4288.778899999998,5068.716499999996,50,10,0.0,0,0,51,0.0,0,0.0,1.0270347257999999e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,249,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.768784705756977,384,2821.7540999999987,128,1.0242129716999999e6,4,-4977.305400000001,4,-3601.3973,2,271.2472999999983,0.0,15.958340012880004,1326.4678,0,0,516,516,1 + planning margin,debt,10,-1.8189894035458565e-12
7,512,4,4,27808.315700000017,0.0,28095.96619999998,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,103,33,0.9947916666666666,0.7565403573388343,0.0,201.0,3.0,0.0,1.0,0,0,0,0.442169189453125,0,711.1317138038563,-0.6618629193406265,710.4698508845157,15.37092519030271,0.011687094866764662,15.382612285169477,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,287.6504999999999,877.9560999999983,0.0,726,1663.1024000000002,932.562999999999,3058.0977000000007,0.0,0.0,0.0,0.0,0.0,0.0,104,0.0,0.0,0.0,0.0,0.0,0.0,236.29940000000002,0.009493068334344755,5.538855078124997,5.617839198218279,NaN,1.9432476404494363,3.2173210370370624,3.2652502593216792,898.0,768.0,449.0,1922.666666666669,899.9999999999998,0.0,275,117,110,79,46,23.0,1903.0,15531.20199999999,327.30129999999997,11949.8124,764,4,0,128,0.7300462223108608,0.750427620498052,0.6366337696045077,285,3760.3342000000034,4253.840699999998,59,13,0.0,0,0,117,0.0,0,0.0,1.0182057464999983e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,275,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7693247250192965,384,1779.8807000000008,128,1.0164258657999996e6,4,-4774.6630000000005,4,-3452.2923999999994,2,282.1624999999979,0.0,16.915840413652806,1315.4439499999999,0,0,449,449,1 + planning margin,debt,10,-1.8189894035458565e-12
8,511,4,4,27452.063199999982,0.0,27752.253200000025,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,124,42,0.9947916666666666,0.7565254797634406,0.0,91.0,1.0,0.0,1.0,0,0,0,0.5007821130063317,0,727.6618426205928,-0.7076366872827354,726.95420593331,16.37072787367122,0.005320523362224031,16.376048397033443,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,300.1899999999999,1030.3762999999979,0.0,880,668.8507000000001,1025.103200000001,3152.480600000001,0.0,0.0,0.0,0.0,0.0,0.0,150,0.0,0.0,0.0,0.0,0.0,0.0,313.3362999999998,0.009815394081504999,5.361422961730447,5.595887500000011,NaN,1.9882228947368414,3.1148901298700826,3.167292751542029,768.0,601.0,384.0,1798.000000000002,767.9999999999999,0.0,285,209,171,97,23,18.0,1758.0,15508.55970000001,313.97819999999996,11629.525300000001,764,4,0,128,0.7629660811626948,0.7504854840530901,0.6888843764267776,346,3148.2468999999937,3222.2151999999987,42,19,0.0,0,0,209,0.0,0,0.0,1.0266286386999988e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,285,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7692139925714097,383,1257.5004000000006,128,1.0253711383000001e6,4,-4484.4331,4,-3712.0292000000004,2,295.0940000000005,0.0,17.930790838471975,1326.4678,1,0,384,384,1 + planning margin,debt,10,-1.8189894035458565e-12
9,506,4,4,26677.66140000001,0.0,26982.833199999972,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,117,45,0.9947916666666666,0.7537748690856796,0.0,88.0,0.0,0.0,1.0,0,0,0,0.49776326187302655,0,751.9689527540426,-0.7189437938807551,751.2500089601617,16.787986823961557,0.0007636251935880489,16.788750449155145,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,305.5062999999999,1181.938699999997,0.3345,1031,298.26460000000003,1072.6664,1985.2114999999994,0.0,0.0,0.0,0.0,0.0,0.0,150,0.0,0.0,0.0,0.0,0.0,0.0,350.2187999999998,0.010401235960004737,5.203350644567218,5.509438461538468,NaN,1.9516759322033908,2.964540500000017,3.072273968995767,598.0,543.0,299.0,1638.3333333333342,589.9999999999999,0.0,286,266,197,111,37,17.0,1599.0,15033.328800000014,290.19230000000005,11354.1403,764,4,0,128,0.7649171984195948,0.7480750082422751,0.6460385696060729,349,2327.3603000000016,2825.4193999999993,69,32,0.0,0,0,266,0.0,0,0.0,1.0261865739999987e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,286,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7661411155608466,378,1293.0132,128,1.0248935607999992e6,4,-4252.076000000001,4,-3507.6953999999996,2,300.46780000000007,0.0,19.006638288780294,1326.4678,5,0,299,299,1 + planning margin,debt,10,-1.8189894035458565e-12
10,472,2,4,25858.656700000003,0.0,21088.539899999996,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,85,45,0.9947916666666666,0.7330226426601554,0.0,90.0,0.0,0.0,1.0,0,0,0,0.48670196533203125,0,774.0918878126594,-0.691374476856239,773.4005133358032,16.857537929458427,0.00015844945717183298,16.8576963789156,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,305.43449999999984,1330.9050999999974,5035.2573,1180,300.208,1119.2127,2010.4665000000007,0.0,0.0,0.0,0.0,0.0,0.0,105,0.0,0.0,0.0,0.0,0.0,0.0,336.15570000000014,0.011745090387105708,5.149617187499995,5.400946992481198,NaN,1.9046999999999996,2.858634144818991,8.539298170032051,532.0,512.0,266.0,1435.999999999999,490.6666666666663,0.0,262,266,169,122,25,20.0,1440.0,14270.315900000012,287.3271,11301.0137,764,2,2,128,0.7493078928914059,0.7296501705426512,0.5971806840751541,316,1910.9349000000036,2636.6039999999975,45,20,0.0,0,0,266,0.0,0,0.0,1.0255671671999994e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,262,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7458361040098742,344,1445.7707999999998,128,1.0241213963999997e6,2,-1637.3004,4,-3081.1032,2,-2121.4932000000017,0.0,20.147036586107113,1326.4678,34,2,133,266,1 + planning margin,debt,10,-1.8189894035458565e-12
11,409,2,4,25206.038599999967,0.0,20395.863873172188,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,57,33,0.9947916666666666,0.6891515000009658,2.0,250.0,3.0,0.0,1.0,0,0,0,0.40596133772807713,0,760.3282168551563,-0.6224857689257409,759.7057310862305,18.21447564237383,0.004845730785029425,18.21932137315886,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,274.2016999999999,1448.6166999999987,5084.376500000001,1320,319.66099999999994,972.2790999999992,1189.2025999999998,0.0,0.0,0.0,0.0,0.0,0.0,98,0.0,0.0,0.0,0.0,0.0,0.0,319.3798,0.014370403792131385,5.150348162475819,5.49266261980828,NaN,1.875919741100324,2.7780226114649773,8.28311922493109,626.0,517.0,313.0,1242.3333333333323,531.9999999999995,0.0,185,195,101,127,25,23.0,1285.0,13820.5152,512.8279,10872.6955,764,4,0,128,0.7304473159410756,0.6878604556996233,0.5026233227819619,248,1936.560900000003,2662.729999999998,39,14,0.0,0,0,195,0.0,0,0.0,996250.4496000004,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,185,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7084614385740391,281,1582.1004000000003,128,994668.3492000006,2,1163.3445268277865,4,-3029.7026,2,-4814.094726827785,0.0,21.35585878127354,1288.5026,63,2,313,313,1 + planning margin,debt,10,-1.8189894035458565e-12
12,350,2,4,24622.543399999973,0.0,19734.065900000016,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,39,26,0.9947916666666666,0.6362603891669554,0.0,359.0,1.0,0.0,1.0,0,0,0,0.3521204625100729,0,750.9200678133242,-0.486353250772167,750.433714562552,18.999323884563168,0.011115753380928604,19.010439637944096,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,232.57829999999993,1546.4361999999999,5119.041200000001,1435,285.67249999999996,869.1677000000001,2264.1751000000013,0.0,0.0,0.0,0.0,0.0,0.0,74,2.317,0.0,0.0,0.0,0.0,0.0,434.30900000000025,0.014753311084526278,5.139096753246747,5.344075000000006,NaN,1.8722615384615373,2.818803710691801,13.403237860537942,528.0,462.0,264.0,1081.3333333333342,435.9999999999995,0.0,172,154,70,106,20,11.0,1141.0,13203.316500000014,466.305,10950.6049,764,4,0,128,0.7127757267220385,0.6353416450287774,0.6308851618373819,200,1742.9735999999925,2374.262699999997,33,13,0.0,0,0,154,0.0,0,0.0,983655.4191999995,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,172,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6579239466707061,222,1467.1507,128,982188.2684999999,2,1168.1954000000003,4,-2588.5693,2,-4889.6885,0.0,22.637210308149953,1272.5851,59,2,264,264,1 + planning margin,debt,10,-1.8189894035458565e-12
13,301,2,3,24034.225899999998,0.0,15779.514399999998,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,32,28,0.9947916666666666,0.5747200941890183,0.0,217.0,1.0,0.0,1.0,0,0,0,0.3337513810504942,0,707.1181823350894,-0.4163857520905337,706.7017965829989,20.308532156108953,0.00041576696630916255,20.308947923075262,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,211.0158,1641.5612999999994,9379.6143,1516,233.40470000000002,821.7221999999996,1684.5517,0.0,0.0,0.0,0.0,0.0,0.0,59,2.3018,0.0,0.0,0.0,0.0,0.0,674.4995000000013,0.01391158543478398,5.094754567901235,5.32482194092828,NaN,1.8455416309012875,2.791050140056016,24.789763503701415,474.0,405.0,237.0,982.3333333333338,405.3333333333332,0.0,151,119,71,73,19,10.0,1000.0,12584.813500000002,473.3431,10973.7675,764,4,0,128,0.6910667630925247,0.576035033865149,0.6078269014604185,148,1444.0307999999964,2063.3756000000003,34,15,0.0,0,0,119,0.0,0,0.0,923228.0446999999,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,151,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6016727737807894,173,1443.0520999999997,128,921784.9925999996,2,977.8649999999998,3,1134.4488000000001,2,-9130.4173,0.0,23.99544292663895,1194.12085,49,5,237,178,1 + planning margin,debt,10,-1.8189894035458565e-12
