round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,26739.531800000022,0.0,1136.0907,1136.0907,561.0,,561.0,0.0,0.0,0.0,0.0,0.0,0.0025,120.9569,1683.0,0.0,1.0,561.0,959.4463333333335,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7358738116516199,0.0,672.0,2.0,0.0,1.0,0,0,0,0.5918367346938775,354,443.9016880084149,2.8095748229302044,446.71126283134515,6.824242156862747,1.8315523529411766,8.655794509803922,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,48,2560.0,245.74819999999994,1136.0907,122.23469999999992,0.0,0.0,0.0,0.0,0.0,0,258.1752,2560.0,245.74819999999994,122.23469999999992,274.0,0.0,0.0,0.0,5.0,5.200000000000013,2.0,0.75,3.594822888283399,3.9200000000000013,320.0,112.0,160.0,2048.0,734.0,204.0,328,0,0,0,63,18.0,2048.0,17777.84290000001,1959.1525,3980.1817,767,1,0,128,0.19397890126575446,0.7358738116516199,0.6582019918709328,2,5255.662799999996,560.0,33,0,520.0,128,0,0,5711.519199999999,767,536114.3003049921,549903.2114028969,0.0,61,0,0,1.5,0,0.0,128,128,536114.3003049921,767,57385.0,0,0,1040.0,208.0,2643.2226,4,56.413000000000004,56.41320000000003,0.6476989035406334,5120.0,77.70833333333333,0.14309255696614584,330,0,0.0,0,8478.225314570627,3978.6666666666665,319,0.5328552484687872,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,0,12,0.0,0,0.0,1200.0,13.9206,818.5579000000005,0.0,818.5579000000005,0.0,56.413000000000004,11463.718600000004,8582.556799999998,0.7416986574511446,384,13788.911097904434,128,536114.3003049921,4,214.04999999999995,4,24.5,2,258.1752,-440.0431,11.925,662.9,0,0,160,160,S1 step 10 + greedy quarter,sumsy,8,-8.731149137020111e-11
2,512,4,4,29003.58090000001,0.0,6740.837600000007,5633.501399999999,1001.0431000000001,,1001.0431000000001,0.0,0.0,0.0,0.0,0.0,0.0025,144.3037,1683.0,0.0,1.0,561.0,939.4058666666666,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7408124076569966,0.0,990.0,2.0,0.0,1.0,0,0,0,0.25307379762216486,439,621.3206141024009,2.4424141426425847,623.7630282450435,4.403121764705882,2.0418137254901962,6.4449354901960785,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-5.750899999999998,0.0,48,2560.0,295.9508999999996,5633.5014,146.75110000000018,0.0,0.0,0.0,0.0,0.0,1,147.727,2560.0,295.9508999999996,146.75110000000018,274.0,0.0,0.0,0.015,4.915818181818163,5.5064780793319335,2.2298291666666668,1.1247267782426789,3.556208910891057,18.277312499999997,958.0,1166.0,479.0,2048.0,1212.0,204.0,208,0,0,1,73,43.0,2048.0,16430.15089999997,3367.9709,8354.365699999998,767,1,0,128,0.1457949431377974,0.7408124076569966,0.43370031099101225,1,7370.511599999976,5731.843999999978,44,0,120.0,128,0,0,5284.958700000002,767,742633.1828663237,758952.5895847417,0.0,74,0,0,1.5,0,0.0,128,128,742633.1828663237,767,55957.0,0,462,267.5795,48.0,559.0627,4,6.5218,6.519300000000017,0.759349625678519,5120.0,70.3759765625,0.13628461507161457,787,0,0.0,0,4381.963670625134,3603.25,418,0.8618555109516932,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,208,0.0,0,12,0.0,0,0.0,1200.0,849.1534000000003,7159.334380926508,0.0,7159.334380926508,0.0,6.5218,14334.622399999998,12281.3993,0.7459881438255598,384,16319.406718416552,128,742633.1828663237,4,203.34749999999997,4,23.27500000000009,2,405.9022,-856.7394000000002,12.640500000000001,913.5915500000001,0,0,479,479,S1 step 10 + greedy quarter,sumsy,8,-8.731149137020111e-11
3,512,4,4,31222.57009999994,0.0,8140.1064999999935,1687.4900999999998,1408.2942,,1408.2942,0.0,0.0,0.0,0.0,0.0,0.0025,166.7669,1673.5548,0.0,1.0,551.5547999999998,914.0324999999998,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.7428975649316929,0.0,1083.0,0.0,0.0,1.0,0,0,0,0.25,440,673.1908646306348,2.946071179236263,676.136935809871,7.079069713471834,2.106595246746115,9.185664960217949,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-63.10989999999994,0.0,49,2560.0,341.0107999999995,2979.2547,169.25940000000006,0.0,0.0,0.0,0.0,0.0,4,371.5829,2560.0,341.0107999999995,169.25940000000006,274.0,0.0,0.0,0.015,5.031273951048932,5.4800933566433585,2.3725500000000004,1.3376149122807015,3.3847403072422004,17.728993125,1144.0,1144.0,572.0,2046.6666666666667,1367.0,204.0,170,0,0,2,76,27.0,2048.0,18379.019600000014,3160.3661,8556.6362,766,2,0,128,0.21765653711576305,0.7428975649316929,0.3542698228850816,0,7872.23910000001,5755.777399999978,40,0,42.0,128,0,0,6206.481700000003,766,765196.145842635,784954.046438701,0.0,98,0,0,1.5,0,0.0,128,128,765196.145842635,766,55586.0,0,612,99.64710000000002,17.0,588.1984,4,47.224500000000006,47.22260000000015,1.116545197775225,5120.0,62.867838541666664,0.1445521875,877,0,0.0,0,4342.681433375626,3218.8333333333335,433,1.0693440630814093,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,170,0.0,0,12,0.0,0,0.0,1200.0,1363.9842999999998,11867.054217776142,0.0,11867.054217776142,0.0,47.224500000000006,15838.549200000018,12305.200700000001,0.7479124151704002,384,19757.900596065727,128,765196.145842635,4,192.6450000000001,4,22.049999999999955,2,616.8493000000001,-1241.5273,13.398930000000002,913.5915500000001,0,0,572,572,S1 step 10 + greedy quarter,sumsy,8,-8.731149137020111e-11
4,512,4,4,33398.31630000001,0.0,13273.027399999983,5483.186800000003,1806.0361000000003,,1806.0361000000003,0.0,0.0,0.0,0.0,0.0,0.0025,187.2157,1678.5477000000003,0.0,1.0,564.5088000000003,899.4425666666666,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.99609375,0.7478786367679557,0.0,1100.0,1.0,0.0,1.0,0,0,0,0.2500021472682453,428,856.9945583576236,3.1164558783204686,860.1110142359441,3.5642836047842854,1.9652682476403494,5.5295518524246345,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-130.01712499999974,0.0,52,2560.0,384.25380000000126,5677.749000000003,190.49080000000046,0.0,0.0,0.0,0.0,0.0,6,131.4264,2560.0,384.25380000000126,190.49080000000046,274.0,0.0,0.0,0.015,5.565684940778332,5.464988155668382,2.503437000000001,1.4372523809523827,3.398700621556898,17.197123331249998,1182.0,1182.0,591.0,2045.3333333333335,1508.0,204.0,135,0,0,0,51,18.0,2048.0,16455.353700000014,3984.9060000000004,11767.86,765,3,0,128,0.12361017129935248,0.7478786367679557,0.3303368195569911,0,8494.845399999984,6578.639599999989,29,0,300.0,128,0,0,4724.972899999999,765,983642.6359112463,1.004892921807527e6,0.0,138,0,0,1.5,0,0.0,128,128,983642.6359112463,765,55413.0,0,516,751.0311000000003,120.0,871.5545,4,0.0,0.0,1.4891874024662501,5120.0,61.588541666666664,0.17430600911458335,724,0,0.0,0,2482.247378143517,3153.3333333333335,424,1.491731052066723,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,135,0.0,0,12,0.0,0,0.0,1200.0,1890.6325999999992,8684.271900890393,0.0,8684.271900890393,0.0,0.0,13562.58010000001,16624.3205,0.753102197028789,384,21250.285896280384,128,983642.6359112463,4,181.9425,4,20.825000000000045,2,735.3669,-1618.8204000000003,14.202865800000003,1161.7831,0,0,591,591,S1 step 10 + greedy quarter,sumsy,8,-8.731149137020111e-11
5,512,4,4,35527.2774,0.0,16741.328300000012,4074.9619,2243.2899,,2243.2899,0.0,0.0,0.0,0.0,0.0,0.0025,209.8797,1717.5198600000003,0.0,1.0,624.4695000000004,906.5784000000001,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.7492575233121073,0.0,944.0,0.0,0.0,1.0,0,0,0,0.25,416,788.8801322067335,2.6380387151698486,791.5181709219033,2.766271932931693,1.8088938631020341,4.575165796033727,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-244.6766899678974,0.0,55,2560.0,431.0389000000005,5437.8665,213.63869999999957,0.0,0.0,0.0,0.0,0.0,10,276.7075,2560.0,431.0389000000005,213.63869999999957,274.0,0.0,0.0,0.015,5.723391551724138,5.683790689655159,2.660832116788321,1.5711763888888888,3.227818543529449,16.6812096313125,1160.0,1160.0,580.0,2048.0,1421.0,204.0,156,0,0,1,63,36.0,2048.0,16381.887999999992,4092.5359,13861.7864,764,4,0,128,0.11907934333484671,0.7492575233121073,0.3506681853219127,1,8014.870399999998,6639.1341999999995,48,0,137.0,128,0,0,5023.494700000001,764,993187.5656256027,1.0150326958526359e6,0.0,71,0,0,1.5,0,0.0,128,128,993187.5656256027,764,55476.0,0,284,364.53399999999993,55.0,704.4799,4,57.60170000000001,57.600399999999894,1.6368600024842823,5120.0,61.175130208333336,0.19110914225260414,342,0,0.0,0,1430.2590118554897,3132.1666666666665,413,1.7502452260143764,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,156,0.0,0,12,0.0,0,0.0,1200.0,2612.319600000001,5994.058060552143,0.0,5994.058060552143,0.0,57.60170000000001,13445.185000000001,18658.8022,0.7543368926047052,384,21845.13022703213,128,993187.5656256027,4,171.24,4,19.59999999999991,2,980.5863999999999,-2033.4102000000003,15.055037748000004,1161.7831,0,0,580,580,S1 step 10 + greedy quarter,sumsy,8,-8.731149137020111e-11
6,512,4,4,37612.622900000024,0.0,19762.959699999996,3809.8614999999986,2675.5767,,2675.5767,0.0,0.0,0.0,0.0,0.0,0.0025,231.2967,1752.3498000000002,0.0,1.0,642.1664999999999,911.5191,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9934895833333334,0.7504886798515158,0.0,1081.0,0.0,0.0,1.0,0,0,0,0.2500030351224368,412,781.5927739576308,2.263793490396941,783.8565674480277,3.5158741679558974,1.6997715000307143,5.215645667986612,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-389.5925899678975,0.0,56,2560.0,474.65449999999953,4507.480500000001,235.31649999999993,0.0,0.0,0.0,0.0,0.0,16,225.7625,2560.0,474.65449999999953,235.31649999999993,274.0,0.0,0.0,0.015,5.71143127177701,5.642720383275279,2.7095277777777773,1.7303748681898077,3.257324514610057,16.180773342373122,1148.0,1148.0,574.0,2046.6666666666667,1376.0,204.0,167,0,0,1,63,41.0,2048.0,17570.010099999992,3975.1534,15295.066799999999,763,5,0,128,0.14327147661747408,0.7504886798515158,0.40974106540251753,1,7964.509899999999,6556.723100000007,48,0,54.0,128,0,0,5421.2350000000015,763,1.0027755570756849e6,1.0257678334243178e6,0.0,72,0,0,1.5,0,0.0,128,128,1.0027755570756849e6,763,55467.0,0,419,146.31449999999998,22.0,315.3334,4,86.062,86.06220000000026,1.7890063415416295,5120.0,60.5029296875,0.20020282389322921,549,0,0.0,0,2180.236576870694,3097.75,410,1.9109363095245901,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,167,0.0,0,12,0.0,0,0.0,1200.0,3361.1066999999985,4751.886423396324,0.0,4751.886423396324,0.0,86.062,14063.609599999996,19585.553599999996,0.7553920231090541,384,22992.276348633,128,1.0027755570756849e6,4,160.53750000000002,4,18.375,2,1168.2895,-2444.28,15.958340012880004,1161.7831,0,0,574,574,S1 step 10 + greedy quarter,sumsy,8,-8.731149137020111e-11
7,512,4,4,39654.27280000003,0.0,20178.950099999995,1373.3874,3085.1001,,3085.1001,0.0,0.0,0.0,0.0,0.0,0.0025,253.3894,1776.6513,0.0,1.0,640.8200999999998,909.2657952380952,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9921875,0.7534578091027662,0.0,651.0,1.0,0.0,1.0,0,0,0,0.2500022842941074,402,812.8719077194098,2.0613409666752434,814.9332486860851,7.43996933647612,1.5200496006018238,8.960018937077944,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-560.4549899678977,0.0,60,2560.0,518.3501000000008,2108.6521999999995,257.2457,0.0,0.0,0.0,0.0,0.0,15,491.9889,2560.0,518.3501000000008,257.2457,274.0,0.0,0.0,0.015,5.667965445026186,5.646454799301942,2.7741000000000002,1.9314768959435624,3.2173175964599277,15.69535014210193,1146.0,1146.0,573.0,2046.6666666666667,1386.0,204.0,165,0,0,2,67,23.0,2048.0,20242.965199999984,2375.5265,15835.7491,762,6,0,128,0.24865465460178005,0.7534578091027662,0.42464554351744876,4,7994.862099999981,6495.488400000009,47,0,84.0,128,0,0,7277.906800000001,762,1.0214843009826909e6,1.0447760437342556e6,0.0,95,0,0,1.5,0,0.0,128,128,1.0214843009826909e6,762,55388.0,0,405,233.0244,34.0,454.65369999999996,4,129.2007,129.20220000000006,2.0562280653361733,5120.0,59.401041666666664,0.21631171223958334,589,0,0.0,0,3099.327194661134,3041.3333333333335,400,2.0266825278668414,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,165,0.0,0,12,0.0,0,0.0,1200.0,3960.130600000003,6303.958600225776,0.0,6303.958600225776,0.0,129.2007,15598.388400000003,18665.9293,0.7582841429838783,384,23291.742751563706,128,1.0214843009826909e6,4,149.83500000000004,4,17.15000000000009,2,1382.6211,-2831.7107,16.915840413652806,1163.3631,0,0,573,573,S1 step 10 + greedy quarter,sumsy,8,-8.731149137020111e-11
8,512,4,4,41659.95379999996,0.0,21222.093100000046,2026.0329,3467.6552,,3467.6552,0.0,0.0,0.0,0.0,0.0,0.0025,271.3603,1793.0490750000001,0.0,1.0,635.9445000000001,903.6420041666667,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9908854166666666,0.7549334517121591,0.0,658.0,1.0,0.0,1.0,0,0,0,0.25000209029517756,392,831.9470483722167,1.8956060661360281,833.8426544383528,9.241210496558327,1.7901227556834107,11.031333252241739,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-727.1330454122419,0.0,63,2560.0,554.3190000000003,2237.597599999999,275.2280000000003,0.0,0.0,0.0,0.0,0.0,24,622.9214999999999,2560.0,554.3190000000003,275.2280000000003,274.0,0.0,0.0,0.015,5.623118864774627,5.571831385642715,2.869543197278912,2.0108991554054043,3.3555354946990428,15.224489637838866,1198.0,1198.0,599.0,2045.3333333333333,1522.0,204.0,131,0,0,2,67,25.0,2048.0,21836.217600000018,1701.0828999999999,16434.3305,761,7,0,128,0.2749970157198547,0.7549334517121591,0.38348993657729546,0,8710.266400000015,6736.496400000003,35,0,294.0,128,0,0,8117.371000000001,761,1.0305948019698465e6,1.0541769507556995e6,0.0,139,0,0,1.5,0,0.0,128,128,1.0305948019698465e6,761,55345.0,0,376,843.6457000000001,118.0,794.0409999999999,4,112.7123,112.71349999999971,2.172794441010753,5120.0,58.709309895833336,0.2391980126953125,520,0,0.0,0,2288.7010833323884,3005.9166666666665,389,2.1646353248266093,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,131,0.0,0,12,0.0,0,0.0,1200.0,4422.425699999998,7966.991610088727,0.0,7966.991610088727,0.0,112.7123,16241.816999999997,18929.454400000002,0.7597493979083578,384,23582.148785854082,128,1.0305948019698465e6,4,139.13250000000005,4,15.925000000000182,2,1466.3291,-3196.2949000000003,17.930790838471975,1164.9431,0,0,599,599,S1 step 10 + greedy quarter,sumsy,8,-8.731149137020111e-11
9,512,4,4,43627.08770000005,0.0,21312.356800000027,1175.8986999999997,3827.2108,,3827.2108,0.0,0.0,0.0,0.0,0.0,0.0025,290.4399,1804.1267000000003,0.0,1.0,630.9159000000002,894.3156333333334,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9908854166666666,0.7566924787534819,0.0,509.0,0.0,0.0,1.0,0,0,0,0.25000204904036616,388,854.6030532313072,1.8318839167799594,856.4349371480871,10.484424239154528,1.857562215639478,12.341986454794005,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-904.2866704122438,0.0,69,2560.0,592.8660999999998,3529.6552000000015,294.4349,0.0,0.0,0.0,0.0,0.0,21,695.3779999999999,2560.0,592.8660999999998,294.4349,274.0,0.0,0.0,0.015,5.569260082644626,5.661164958677726,2.9431760233918136,1.998485117056857,3.380637048697839,14.767754948703702,1210.0,1210.0,605.0,2045.3333333333333,1553.0,204.0,123,0,0,1,77,38.0,2048.0,22776.592400000005,1762.5616,16917.616500000004,761,7,0,128,0.29191790729292233,0.7566924787534819,0.37917935847858386,1,8840.272899999989,6738.804699999998,44,0,342.0,128,0,0,8574.879500000005,761,1.0401306630693607e6,1.0636968473946135e6,0.0,130,0,0,1.5,0,0.0,128,128,1.0401306630693607e6,761,55287.0,0,352,1006.5662000000002,137.0,1184.4993000000002,4,137.5191,137.51959999999974,2.3158936522560505,5120.0,58.121744791666664,0.2670433235677083,493,0,0.0,0,2211.1391794979672,2975.8333333333335,385,2.2956304416212654,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,123,0.0,0,12,0.0,0,0.0,1200.0,4838.1921,8172.143078260879,0.0,8172.143078260879,0.0,137.5191,16284.964299999996,19864.677400000004,0.7615128733638143,384,23566.184325251146,128,1.0401306630693607e6,4,128.42999999999995,4,14.699999999999818,2,1486.8908999999999,-3536.7709,19.006638288780294,1164.9431,0,0,605,605,S1 step 10 + greedy quarter,sumsy,8,-8.731149137020111e-11
10,512,4,4,45556.98859999999,0.0,21434.136400000003,1250.4398999999994,4161.6433,,4161.6433,0.0,0.0,0.0,0.0,0.0,0.0025,309.1483,1811.1757500000003,0.0,1.0,624.8724000000001,882.6329066666667,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.7571352311064934,0.0,509.0,2.0,0.0,1.0,0,0,0,0.2500019448139591,385,869.5809915351156,1.7215935242593843,871.3025850593749,12.776457667691748,1.958755113746904,14.735212781438651,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-1079.1389954122435,0.0,74,2560.0,630.0991000000004,2856.398199999999,313.08180000000027,0.0,0.0,0.0,0.0,0.0,18,730.4442,2560.0,630.0991000000004,313.08180000000027,274.0,0.0,0.0,0.015,5.516675442834132,5.71843993558774,3.0174935643564376,1.9949709624796075,3.393846820666279,14.32472230024259,1242.0,1242.0,621.0,2046.6666666666667,1610.0,204.0,109,0,0,0,84,41.0,2048.0,24551.831000000017,973.3816999999999,17373.520800000002,760,8,0,128,0.32532885363964814,0.7571352311064934,0.3633119530582194,0,9047.568200000043,6851.710899999992,44,0,404.0,128,0,0,9762.939000000002,760,1.0431650076100455e6,1.067466210174494e6,0.0,171,0,0,1.5,0,0.0,128,128,1.0431650076100455e6,760,55241.0,0,384,1219.0674000000008,162.0,1618.6625999999999,4,125.9494,125.95019999999967,2.4102667769286077,5120.0,57.451171875,0.299858173828125,520,0,0.0,0,2429.9631512881983,2941.5,382,2.4243779065364985,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,109,0.0,0,12,0.0,0,0.0,1200.0,5333.324100000006,9100.677140644739,0.0,9100.677140644739,0.0,125.9494,17179.770300000004,19965.5651,0.7619840237606552,384,24301.20256444812,128,1.0431650076100455e6,4,117.72750000000008,4,13.474999999999909,2,1470.0624,-3852.495,20.147036586107113,1161.7831,0,0,621,621,S1 step 10 + greedy quarter,sumsy,8,-8.731149137020111e-11
11,512,4,4,47448.43779999999,0.0,21266.375099999987,1006.6999999999997,4471.4667,,4471.4667,0.0,0.0,0.0,0.0,0.0,0.0025,328.2201,1815.3338727272728,0.0,1.0,618.9717000000004,869.0033272727272,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,0.9895833333333334,0.7583484651341721,0.0,512.0,2.0,0.0,1.0,0,0,0,0.25000183679017246,384,826.3854730736875,1.7516183023078697,828.1370913759955,14.52551732220722,1.980770618225315,16.506287940432532,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-1251.8658204122387,0.0,76,2560.0,668.5508000000008,2576.5018,332.25650000000024,0.0,0.0,0.0,0.0,0.0,19,674.0672,2560.0,668.5508000000008,332.25650000000024,274.0,0.0,0.0,0.015,5.467097104851318,5.781202034428791,3.0555673960612726,1.9979370839936628,3.459183674076771,13.894980631235313,1278.0,1278.0,639.0,2048.0,1667.0,204.0,95,0,0,0,102,25.0,2048.0,25474.86809999999,1178.0560999999998,17724.3807,760,8,0,128,0.3470708856544942,0.7583484651341721,0.34742216260737147,0,9368.939699999995,6986.950099999985,50,0,457.0,128,0,0,10581.688800000002,760,962477.1093299491,987679.5308581647,0.0,220,15,0,1.5,0,0.0,128,128,962477.1093299491,760,55189.0,0,440,1396.3943000000015,183.0,2068.8456,4,119.3234,119.32110000000011,2.537168576793061,5120.0,56.739908854166664,0.31374517415364583,582,0,0.0,0,2964.248656982818,2905.0833333333335,381,2.5348504070964806,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,95,0.0,0,12,0.0,0,0.0,1200.0,5623.913200000005,9199.962854082543,0.0,9199.962854082543,0.0,119.3234,17565.167400000006,20971.282400000004,0.763070461541095,384,25202.421528216408,128,962477.1093299491,4,107.02500000000009,4,12.25,2,1437.2350000000001,-4143.2466,21.35585878127354,1045.7714,0,0,639,639,S1 step 10 + greedy quarter,sumsy,8,-8.731149137020111e-11
12,512,4,4,49302.41279999997,0.0,20888.195000000018,828.4760999999999,4756.654200000001,,4756.654200000001,0.0,0.0,0.0,0.0,0.0,0.0025,346.7999,1817.4079500000003,0.0,1.0,613.4076000000002,854.2653083333335,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9895833333333334,0.7590833451445724,0.0,512.0,0.0,0.0,1.0,0,0,0,0.2505255123115371,383,845.9241933533418,1.7995980154156366,847.7237913687574,16.039789773896644,1.993895549900197,18.033685323796842,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-1419.4729645414272,0.0,77,2560.0,706.0250000000001,1649.4750999999999,350.94219999999996,0.0,0.0,0.0,0.0,0.0,24,713.9966,2560.0,706.0250000000001,350.94219999999996,274.0,0.0,0.0,0.015,5.423154580446484,5.874155472263865,3.024688779527553,1.9917959028831573,3.440159916952021,13.478131212298253,1334.0,1299.0,667.0,2048.0,1744.0,204.0,76,0,0,1,106,17.0,2048.0,26351.60669999999,1450.2514,17926.0554,760,8,0,128,0.36505021207142585,0.7590833451445724,0.3219484676902318,1,9636.410800000012,7044.677799999983,39,0,508.0,128,0,0,11121.278800000004,760,970095.1438014716,995831.1109854346,0.0,245,64,0,1.5,0,0.0,128,128,970095.1438014716,760,55117.0,0,401,1536.541899999997,204.0,2513.7028,4,56.742000000000004,56.74820000000006,2.6602150664947133,5120.0,56.23046875,0.34132199869791663,540,0,0.0,0,2399.1594912856012,2879.0,380,2.618999387995984,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,76,0.0,0,12,0.0,0,0.0,1200.0,5784.504799999999,10033.40363961857,0.0,10033.40363961857,0.0,56.742000000000004,17842.4108,21890.0096,0.7638405853432937,384,25735.96718396337,128,970095.1438014716,4,96.3225000000001,4,11.025000000000091,2,1421.777,-4409.854300000001,22.637210308149953,1045.7714,0,0,667,667,S1 step 10 + greedy quarter,sumsy,8,-8.731149137020111e-11
