round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,21616.824000000026,0.0,21726.719999999998,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.8542504586730721,0.0,512.0,0.0,0.0,1.0,0,0,0,0.9303237044563797,0,7.848588235294119,2.6778039215686276,10.526392156862746,1.859803921568627,2.7170196078431372,4.576823529411764,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,109.89599999999999,109.896,0.0,1,113.84,476.21600000000007,478.6401,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,5.0,5.200000000000013,NaN,0.75,3.9199999999999995,3.920000000000001,320.0,83.0,160.0,2048.0,322.0,0.0,431,0,0,0,47,36.0,2048.0,16433.240000000016,2111.432,3072.152,768,0,0,128,0.07104815643476248,0.292124503073828,0.8284187374298231,0,1382.2399999999998,415.0,47,0,0.0,0,0,0,0.0,0,0.0,24967.240000000023,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,431,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.752217780615865,384,12177.28000000001,128,12789.960000000005,4,-7644.808,4,-8784.488,2,102.05600000000064,0.0,11.925,11.25,0,0,160,160,0 bare bones,debt,10,9.094947017729282e-13
2,512,4,4,22341.58280000003,0.0,22509.241200000022,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.9829829424567178,0.0,512.0,0.0,0.0,1.0,0,0,0,0.2541753523407718,0,9.21202176470588,1.587271764705882,10.799293529411763,2.5107039215686267,1.850004509803922,4.360708431372549,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,167.6584,218.51000000000008,0.0,4,1205.3848000000007,480.62600000000003,3014.2101000000002,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005191765327256353,4.914568683957727,5.5101868159204015,NaN,1.132726865671641,3.6209290322580308,3.8023999999999996,804.0,1041.0,402.0,2048.0,806.0,0.0,310,26,26,1,59,47.0,2022.0,15839.702199999952,2223.0153,4278.8652999999995,768,0,0,128,0.12270869417272645,0.35890975730906294,0.5828802267039259,1,3373.8249999999894,5116.065999999993,59,0,0.0,0,0,26,0.0,0,0.0,23224.469000000034,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,310,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.678278491290616,384,10561.56119999999,128,12662.907799999986,4,-7367.864699999999,4,-7376.814700000001,2,160.21039999999843,0.0,12.640500000000001,11.25,0,0,402,402,0 bare bones,debt,10,9.094947017729282e-13
3,512,4,4,23127.55519999992,0.0,23329.228699999887,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,1.0816288791676616,0.0,1013.0,0.0,0.0,1.0,0,0,0,0.2500028277877275,0,11.006694853957308,1.2950987909805072,12.301793644937815,3.9386202233835,1.8216201719193224,5.760240395302822,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,201.67349999999993,331.25739999999894,0.0,11,1328.4589000000005,542.486500000001,4632.974999999999,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006667881490078676,5.618226601941749,5.478171844660222,NaN,1.3433830739299617,3.2390192183462587,3.6883279999999994,1030.0,1030.0,515.0,2020.6666666666667,1032.0,0.0,250,22,22,5,61,41.0,2025.0,15824.403999999946,1988.6293,5314.5219,767,1,0,128,0.16400557701790186,0.41500512321036864,0.4879882778698241,4,4033.166800000004,5786.773400000001,61,0,0.0,0,0,22,0.0,0,0.0,22011.221299999997,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,250,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.637469909447285,384,8711.222700000002,128,13299.998599999994,4,-7425.6407,4,-6140.1981,2,194.61749999999896,0.0,13.398930000000002,11.25,0,0,515,515,0 bare bones,debt,10,9.094947017729282e-13
4,512,4,4,25709.010800000007,0.0,25932.45739999997,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,5,3,0.9973958333333334,0.7560085096016633,0.0,643.0,1.0,0.0,1.0,0,0,0,0.25000280595161045,0,370.56753175216056,0.3433888326688405,370.91092058482946,6.0575057945004,0.6956216046128944,6.7531273991132945,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,223.44659999999982,449.60579999999794,0.0,188,3190.0517999999993,608.5961999999996,4565.198099999998,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,6.9237,0.00719936395750415,5.74397872340426,5.626166731141183,NaN,1.4511081553398053,3.2774192084942833,3.5776781599999987,1034.0,1034.0,517.0,2018.3333333333335,1036.0,0.0,250,6,6,2,43,22.0,2042.0,14749.844099999978,2250.5994,8708.567299999999,766,2,0,128,0.31583960485565843,0.7404825278595735,0.4923422455939057,42,4142.727,5939.274000000005,43,0,0.0,0,0,6,0.0,0,0.0,538409.5691999994,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,250,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7815418647616976,384,6790.834899999995,128,531618.7343,4,-6233.4676,4,-4823.7322,2,216.78260000000114,0.0,14.202865800000003,686.939,0,0,517,517,0 bare bones,debt,10,9.094947017729282e-13
5,512,4,4,28284.493699999966,0.0,28535.181300000033,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,47,14,0.99609375,0.7559942607298595,0.0,646.0,1.0,0.0,1.0,0,0,0,0.25000366994025336,0,526.3515114574275,-0.39975092090049896,525.9517605365271,9.487920371821764,0.14134118934071596,9.629261561162478,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,250.68759999999995,584.7127999999985,0.0,378,3346.7825000000003,771.2996000000016,5186.4462,0.0,0.0,0.0,0.0,0.0,0.0,47,0.0,0.0,0.0,0.0,0.0,0.0,94.41560000000001,0.007591195336472404,5.745566283524908,5.63682222222222,NaN,1.5769649325626207,3.2873996813257067,3.4703478152,1044.0,1044.0,522.0,2039.3333333333333,1046.0,0.0,247,8,8,40,61,37.0,2040.0,14503.422599999994,3027.4969,10753.574200000001,765,3,0,128,0.5062756193676401,0.7471119243344959,0.5581597288849609,124,4257.064900000019,5998.371200000003,61,0,0.0,0,0,8,0.0,0,0.0,774574.4570499982,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,247,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7724992771639301,384,4575.627099999994,128,769998.8299499996,4,-5497.728550000001,4,-3602.9105000000004,2,244.41560000000112,0.0,15.055037748000004,997.0289499999999,0,0,522,522,0 bare bones,debt,10,9.094947017729282e-13
6,512,4,4,28507.195500000038,0.0,28789.272099999926,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,97,22,0.9947916666666666,0.7551699918237387,0.0,110.0,1.0,0.0,1.0,0,0,0,0.2709799183673469,0,688.8854058012984,-0.65190505872857,688.2335007425697,12.663862051712412,0.018895388291604295,12.682757440004018,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,282.0766000000002,737.5600999999946,0.0,558,1188.4713999999994,965.7696000000002,4142.966500000003,0.0,0.0,0.0,0.0,0.0,0.0,74,0.0,0.0,0.0,0.0,0.0,0.0,166.93470000000002,0.007707830997988776,5.770394857142862,5.634076516634045,NaN,1.7386990138067036,3.2695948242187844,3.3662373807439994,1022.0,875.0,511.0,1986.666666666668,1023.9999999999994,0.0,247,64,63,50,39,25.0,1981.0,15174.717499999995,1700.8671,11631.6109,764,4,0,128,0.6457846704842898,0.7495585936491196,0.5783607338432615,212,4229.585500000031,5049.095500000004,51,12,0.0,0,0,64,0.0,0,0.0,1.0111042728999997e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,247,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7673028485381252,384,3168.6041999999993,128,1.0079356687e6,4,-4299.0396,4,-3214.1147,2,276.1965999999985,0.0,15.958340012880004,1307.1189,0,0,511,511,0 bare bones,debt,10,9.094947017729282e-13
7,512,4,4,28289.445600000032,0.0,28588.271299999975,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,121,35,0.9947916666666666,0.7559388082600607,0.0,95.0,3.0,0.0,1.0,0,0,0,0.3598178039352796,0,681.9974210106088,-0.7225833378298672,681.274837672779,13.215179856879073,0.0032202914014063306,13.21840014828048,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,298.8257000000006,891.4411999999953,0.0,719,791.2592000000001,1009.0091000000002,2780.868400000003,0.0,0.0,0.0,0.0,0.0,0.0,123,0.0,0.0,0.0,0.0,0.0,0.0,319.41890000000006,0.009005447865662628,5.628864376590334,5.581373059360751,NaN,1.9351428571428584,3.20721856492031,3.2652502593216792,876.0,786.0,438.0,1914.6666666666683,877.9999999999999,0.0,271,120,109,78,50,33.0,1895.0,14570.038899999983,1646.9838,12072.4229,764,4,0,128,0.7170027333696112,0.750708606500593,0.6451490749154689,281,3655.7899000000093,4424.287400000003,63,13,0.0,0,0,120,0.0,0,0.0,1.0032529386999995e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,271,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7675472806265569,384,2072.1437000000014,128,1.0011807949999993e6,4,-4102.817700000001,4,-2838.5051000000003,2,293.33770000000123,0.0,16.915840413652806,1297.6626999999999,0,0,438,438,0 bare bones,debt,10,9.094947017729282e-13
8,512,4,4,28113.021100000016,0.0,28419.885600000005,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,152,42,0.9947916666666666,0.7566218041252355,0.0,89.0,1.0,0.0,1.0,0,0,0,0.5444583825265643,0,695.1539194311831,-0.7700172288828727,694.3839022023002,14.02828883611323,0.0015773041911390125,14.02986614030437,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,306.8645000000005,1045.0217999999954,0.0,865,843.811,1020.2354999999998,2469.2554999999998,0.0,0.0,0.0,0.0,0.0,0.0,152,0.0,0.0,0.0,0.0,0.0,0.0,348.8922000000002,0.01023495208796007,5.390586363636357,5.6059552971576405,NaN,2.00256945169713,3.1103853092783327,3.167292751542029,774.0,616.0,387.0,1794.6666666666683,776.0,0.0,278,201,173,77,28,20.0,1770.0,14470.391000000001,1621.5574000000001,12021.0727,764,4,0,128,0.7491239235248981,0.7514050216139296,0.6859780451735735,347,3180.6430999999957,3320.601199999996,44,16,0.0,0,0,201,0.0,0,0.0,995907.4409999992,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,278,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7681923619056872,384,1457.3697000000004,128,994450.0712999996,4,-3889.5172000000002,4,-2977.1003000000005,2,301.7685000000015,0.0,17.930790838471975,1288.2065,0,0,387,387,0 bare bones,debt,10,9.094947017729282e-13
9,503,3,4,27320.99960000002,0.0,24983.09259999999,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,124,48,0.9947916666666666,0.7506967829863447,0.0,89.0,0.0,0.0,1.0,0,0,0,0.5630879086477542,0,726.1039894293849,-0.7389652500276164,725.3650241793573,14.681047600657392,4.823222975405784e-5,14.681095832887145,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,312.6438000000001,1200.440099999996,2631.5442,1012,357.80850000000004,1149.8299999999992,1671.4516000000008,0.0,0.0,0.0,0.0,0.0,0.0,134,0.0,0.0,0.0,0.0,0.0,0.0,344.7955999999999,0.010772212786028738,5.1746121621621635,5.501566453674123,NaN,1.9607252427184478,2.953726114649667,3.072273968995767,626.0,518.0,313.0,1664.0000000000007,610.0000000000001,0.0,281,259,205,102,29,15.0,1596.0,14180.676699999993,1586.142,11554.180900000001,764,3,1,128,0.7374340769648868,0.746707830816707,0.6252478526735397,333,2412.4126999999917,2680.4491000000007,63,34,0.0,0,0,259,0.0,0,0.0,995687.7489000001,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,281,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7637312184856293,375,1688.0618000000009,128,993999.6871000003,3,-2311.9671,4,-2978.7853,2,-1054.4045000000012,0.0,19.006638288780294,1288.2065,9,1,235,313,0 bare bones,debt,10,9.094947017729282e-13
10,478,3,4,26566.447799999987,0.0,24200.810738288787,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,93,45,0.99609375,0.7368594243158109,1.0,95.0,1.0,0.0,1.0,0,0,0,0.5042203049107867,0,743.4687538483381,-0.7132026052089554,742.7555512431292,14.453010508730296,0.0001809716948800358,14.453191480425176,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,298.02549999999997,1338.4492999999964,2663.6626000000006,1171,345.1069,1099.6587000000004,1738.7032000000002,0.0,0.0,0.0,0.0,0.0,0.0,110,0.0,0.0,0.0,0.0,0.0,0.0,350.4949000000001,0.013224555948965443,5.105292402826846,5.457283333333346,NaN,1.9054461847389539,2.8858883399209274,8.490271594875567,504.0,566.0,252.0,1451.6666666666672,479.99999999999994,0.0,282,251,155,125,31,29.0,1477.0,13134.48820000001,1586.5824000000002,11845.3772,765,3,0,128,0.7268147710779955,0.7335466462513627,0.615240439395689,312,1865.8300000000006,2889.595499999995,44,13,0.0,0,0,251,0.0,0,0.0,977046.3886617105,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,282,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.750517381071236,350,1646.2280000000012,128,975400.160661711,3,-2170.2302,4,-2222.3822,2,-2369.94906171122,0.0,20.147036586107113,1263.3904,25,1,252,252,0 bare bones,debt,10,9.094947017729282e-13
11,413,3,4,25728.00920000002,0.0,23288.907599999984,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,59,32,0.99609375,0.6941959859688358,0.0,99.0,1.0,0.0,1.0,0,0,0,0.38095849429486206,0,739.6189695240125,-0.619331956374636,738.9996375676378,15.816496661227797,0.007991945669870569,15.824488606897665,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,284.5597999999999,1472.9695999999967,2722.711100000001,1319,310.8465,1149.2851000000003,1568.115999999999,0.0,0.0,0.0,0.0,0.0,0.0,97,1.0768,0.0,0.0,0.0,0.0,0.0,304.6374,0.0130682096720133,4.995341814595654,5.396647843137267,NaN,1.8719960317460318,2.8063270182291684,12.082918655207894,510.0,507.0,255.0,1271.9999999999998,411.99999999999966,0.0,224,199,100,131,24,17.0,1295.0,12291.000499999993,1607.4705,11828.4614,765,3,0,128,0.7123490710047118,0.6914537576203135,0.5671588588339396,256,1515.8758000000005,2532.6382999999964,45,21,0.0,0,0,199,0.0,0,0.0,957449.1439999993,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,224,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7095434149388435,285,1587.931300000001,128,955861.2126999997,3,-2008.0456000000001,4,-1774.0912,2,-2441.9447999999984,0.0,21.35585878127354,1238.5743,65,1,255,255,0 bare bones,debt,10,9.094947017729282e-13
12,368,3,4,24977.265600000057,0.0,22494.038400000005,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,55,42,0.9947916666666666,0.6560491461446838,0.0,96.0,1.0,0.0,1.0,0,0,0,0.5014180175764154,0,733.3780325748473,-0.6679301062922887,732.710102468555,18.359200869061503,0.0,18.359200869061503,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,272.28189999999984,1603.3771999999985,2753.6085000000007,1455,308.67209999999994,1059.4156999999998,2059.1790999999994,0.0,0.0,0.0,0.0,0.0,0.0,97,1.0705,0.0,0.0,0.0,0.0,0.0,395.59479999999985,0.013226741653202288,5.044191913214988,5.36163018018018,NaN,1.8426766055045884,2.8394281763826648,18.406836386524848,444.0,507.0,222.0,1115.6666666666672,376.66666666666646,0.0,195,164,77,106,29,19.0,1189.0,12246.885800000004,772.2459,11957.0634,764,4,0,128,0.7320742036775756,0.654118931016243,0.6464702789041845,214,1492.1562000000026,2557.405299999999,37,8,0.0,0,0,164,0.0,0,0.0,927526.3788999998,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,195,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.671892121183882,240,1343.4149999999993,128,926182.9638999995,3,-1548.6677999999997,4,-1180.2824,2,-2485.6847000000007,0.0,22.637210308149953,1200.92675,45,1,222,222,0 bare bones,debt,10,9.094947017729282e-13
13,302,3,4,24238.46500000002,0.0,21739.16460000002,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,42,34,0.9934895833333334,0.5799510829125367,0.0,96.0,1.0,0.0,1.0,0,0,0,0.5007396449704142,0,704.6637980514863,-0.6269312748354752,704.0368667766508,22.476547010362427,0.0,22.476547010362427,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,261.1487999999997,1728.966199999999,2757.5983000000006,1571,368.61550000000005,1107.4160999999995,2027.2912000000001,0.0,0.0,0.0,0.0,0.0,0.0,101,1.0642,0.0,0.0,0.0,0.0,0.0,364.1651999999998,0.012685879950157467,5.057067307692313,5.425012560386474,NaN,1.825627227722772,2.804906330128209,19.852025108425956,414.0,416.0,207.0,1007.6666666666671,319.3333333333333,0.0,178,119,72,64,22,17.0,1007.0,12319.3578,32.3686,11885.674400000002,763,5,0,128,0.7263337996616106,0.5787586335233701,0.6844620200601819,151,1294.6062000000006,2103.7400000000025,32,10,0.0,0,0,119,0.0,0,0.0,897745.6711999997,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,178,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5994736794712974,174,1360.8377000000003,128,896384.8335,3,-1059.4088000000006,4,-786.4645999999996,2,-2501.372200000001,0.0,23.99544292663895,1163.2792,66,1,207,207,0 bare bones,debt,10,9.094947017729282e-13
