round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,26750.37830000011,0.0,1063.3001,1063.3001,561.0,,561.0,0.0,0.0,0.0,0.0,0.0,0.0025,115.5667,0.0,0.0,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.22286417146543114,0.0,672.0,0.0,0.0,1.0,0,0,0,0.9303237044563797,0,8.661159607843135,2.743323529411765,11.404483137254902,1.6232149019607838,2.888235294117647,4.511450196078431,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0,2560.0,234.9016999999994,1063.3001,116.82279999999972,0.0,0.0,0.0,0.0,0.0,0,258.1752,2560.0,234.9016999999994,116.82279999999972,274.0,0.0,0.0,0.0,5.0,5.200000000000013,2.0,0.75,3.594822888283399,3.9200000000000013,320.0,83.0,160.0,2048.0,734.0,204.0,328,0,0,0,47,36.0,2048.0,17958.180900000043,2250.788,3582.8891,768,0,0,128,0.08375303890790065,0.28805965130943156,0.6570960756815056,0,5263.853999999997,415.0,47,0,520.0,0,0,0,0.0,0,0.0,27525.481000000134,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1040.0,208.0,2584.7784,4,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,328,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4218179216452227,384,14053.290399999998,128,13472.1906,4,2250.788,4,3216.5890000000004,2,258.1752,-445.43330000000003,11.925,11.25,0,0,160,160,7 + two more theatres,sumsy,10,-1.0186340659856796e-10
2,512,4,4,29024.706100000043,0.0,4292.502599999997,3254.3175000000015,1006.4333000000001,,1006.4333000000001,0.0,0.0,0.0,0.0,0.0,0.0025,139.7704,0.0,0.0,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.21591331969647065,0.0,964.0,0.0,0.0,1.0,0,0,0,0.25943382507526536,0,9.4230468627451,2.466738823529411,11.88978568627451,1.5392349019607843,2.5470196078431373,4.086254509803921,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-5.022999999999992,0.0,0,2560.0,285.6721999999997,3254.3174999999997,141.81609999999992,0.0,0.0,0.0,0.0,0.0,112,147.3739,2560.0,285.6721999999997,141.81609999999992,274.0,0.0,0.0,0.015,4.911586144029153,5.489642256637165,2.202339963503644,1.1337426991150432,3.530159699248092,3.802399999999999,904.0,1097.0,452.0,2048.0,1330.0,204.0,179,0,0,1,60,50.0,2048.0,16258.319999999982,4073.5455999999995,5700.6750999999995,768,0,0,128,0.06270493101282204,0.28823077618593085,0.38634362098364483,1,7744.28009999997,5388.009999999981,60,0,548.0,0,0,0,0.0,0,0.0,28401.049599999966,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1206.8822999999968,220.0,2705.0211,4,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,179,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44458310443859306,384,14320.295299999994,128,14080.754299999995,4,2475.2941999999994,4,4332.259800000001,2,405.5491,-866.6629000000001,12.640500000000001,11.25,0,0,452,452,7 + two more theatres,sumsy,10,-1.0186340659856796e-10
3,512,4,4,31248.970500000043,0.0,7946.367800000003,3819.4162999999976,1417.7433999999998,,1417.7433999999998,0.0,0.0,0.0,0.0,0.0,0.0025,163.786,0.0,0.0,1.0,551.0805,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,1.0,0.2345774380993093,0.0,1053.0,0.0,0.0,1.0,0,0,0,0.254565464232684,0,10.563232917016837,2.6273464125192225,13.190579329536058,2.102857085800283,2.349849697682055,4.452706783482338,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-37.883224999999946,0.0,1,2560.0,335.73560000000055,4921.443000000001,166.5064999999996,0.0,0.0,0.0,0.0,0.0,119,208.825,2560.0,335.73560000000055,166.5064999999996,274.0,0.0,0.0,0.015,4.817445046728956,5.4779332717190865,2.3231599156118157,1.3407421441774505,3.458806410238724,9.556938431965657,1082.0,1070.0,541.0,2046.6666666666667,1383.0,204.0,165,0,0,1,59,38.0,2048.0,16758.9778,4869.4663,8116.3507,768,0,0,128,0.08744804794363015,0.2979331240151972,0.3572363576134805,0,8031.241700000013,5154.666199999983,59,0,237.0,0,0,0,0.0,0,0.0,30406.588399999997,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,550.5889000000003,95.0,1131.5647000000001,4,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,165,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44991951496064764,384,15334.55259999999,128,15072.0358,4,2699.771999999999,4,4381.005800000003,2,612.8762000000002,-1253.9573999999998,13.398930000000002,11.25,0,0,541,541,7 + two more theatres,sumsy,10,-1.0186340659856796e-10
4,512,4,4,33423.50860000001,0.0,11676.244000000008,4065.8407000000007,1794.4758,,1794.4758,0.0,0.0,0.0,0.0,0.0,0.0025,187.7788,0.0,0.0,1.0,540.5184000000006,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7301482890647859,0.0,1052.0,1.0,0.0,1.0,0,0,0,0.2575639893460443,0,837.6090967259718,2.8507129418116093,840.4598096677832,2.233602002220449,2.0733321560714337,4.306934158291883,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-103.16924999999985,0.0,39,2560.0,385.4618999999999,4859.872700000002,191.07930000000016,0.0,0.0,0.0,0.0,0.0,166,199.8314,2560.0,385.4618999999999,191.07930000000016,274.0,0.0,0.0,0.015,5.450005932203389,5.428621481481482,2.385631410256418,1.445564378478665,3.390679466922008,9.270230279006686,1080.0,1062.0,540.0,2046.6666666666667,1474.0,204.0,142,0,0,3,48,31.0,2048.0,15737.913199999997,5961.3511,9846.3172,767,1,0,128,0.08505122077291238,0.7367901468977396,0.33545526000957726,1,8315.640099999973,5787.9063,48,0,468.0,0,0,0,0.0,0,0.0,1.050131519300002e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1116.4755000000034,188.0,1490.3169,4,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,142,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7401255556336694,384,15538.290899999995,128,1.0345932284000003e6,4,2963.603,4,5098.693399999999,2,803.841,-1606.697,14.202865800000003,1337.6093,0,0,540,540,7 + two more theatres,sumsy,10,-1.0186340659856796e-10
5,512,4,4,35553.17030000002,0.0,14962.547099999992,3806.539700000001,2218.187,,2218.187,0.0,0.0,0.0,0.0,0.0,0.0025,209.7226,0.0,0.0,1.0,611.4900000000004,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.7323847923990179,0.0,1043.0,1.0,0.0,1.0,0,0,0,0.2579429481244085,0,876.9210780507868,2.684138110935373,879.6052161617223,2.1390928326453635,1.8184371284249554,3.957529961070319,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-201.95207500000055,0.0,42,2560.0,430.3383,5075.211999999999,213.35360000000003,0.0,0.0,0.0,0.0,0.0,193,227.3884,2560.0,430.3383,213.35360000000003,274.0,0.0,0.0,0.015,5.61115406654344,5.586115887850463,2.4471066929133856,1.5775120075046876,3.261116738456626,8.992123370636486,1070.0,1082.0,535.0,2044.0,1378.0,204.0,167,0,0,1,58,32.0,2048.0,16479.5318,4492.3703000000005,12890.5954,766,2,0,128,0.09708831560220643,0.7387196224305923,0.38021800037619946,3,7856.871599999987,6071.268700000002,58,0,254.0,0,0,0,0.0,0,0.0,1.2404476232999975e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,621.5650999999999,102.0,1253.5618,4,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,167,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7422033354954216,384,15454.89989999999,128,1.2249927234000002e6,4,3337.5525000000002,4,6138.252199999999,2,1011.9216,-2008.4643999999998,15.055037748000004,1584.4027,0,0,535,535,7 + two more theatres,sumsy,10,-1.0186340659856796e-10
6,512,4,4,37636.88500000005,0.0,17962.357199999988,3689.367000000001,2638.0338999999994,,2638.0338999999994,0.0,0.0,0.0,0.0,0.0,0.0025,232.3581,0.0,0.0,1.0,629.5695000000001,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.99609375,0.7345066997401279,0.0,1049.0,1.0,0.0,1.0,0,0,0,0.25759495433281354,0,985.1277022857174,2.190167566478756,987.3178698521962,3.0497121802435725,1.582242226228855,4.631954406472428,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-329.39270000000084,0.0,44,2560.0,476.28529999999967,3694.9079,236.21399999999966,0.0,0.0,0.0,0.0,0.0,197,247.5793,2560.0,476.28529999999967,236.21399999999966,274.0,0.0,0.0,0.015,5.620451679104488,5.5935526802217925,2.5545811688311693,1.7366836431226782,3.2263060639009393,8.72235966951739,1082.0,1072.0,541.0,2046.6666666666667,1350.0,204.0,174,0,0,2,49,33.0,2048.0,17930.292600000004,4074.6436999999996,14378.664299999999,765,3,0,128,0.13876525574832232,0.7406689284853012,0.42700926002680273,5,7778.9482000000335,6025.124200000011,49,0,154.0,0,0,0,0.0,0,0.0,1.4304271742999991e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,393.4055000000001,62.0,773.347,4,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,174,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.744184518779158,384,15405.349300000002,128,1.4150218249999995e6,4,4150.5211,4,7076.865799999998,2,1224.9550999999997,-2405.6757999999995,15.958340012880004,1831.1961,0,0,541,541,7 + two more theatres,sumsy,10,-1.0186340659856796e-10
7,512,4,4,39676.23329999998,0.0,18400.215300000014,1290.2956000000001,3036.2908,,3036.2908,0.0,0.0,0.0,0.0,0.0,0.0025,254.8474,0.0,0.0,1.0,630.6150000000004,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9947916666666666,0.734470085091018,0.0,777.0,4.0,0.0,1.0,0,0,0,0.25748511177698585,0,998.3132566494808,1.6142596975224897,999.9275163470031,5.768847466817581,1.353524773910589,7.12237224072817,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-482.5399250000031,0.0,47,2560.0,520.6517000000001,2634.0600999999997,258.49940000000015,0.0,0.0,0.0,0.0,0.0,200,488.2162,2560.0,520.6517000000001,258.49940000000015,274.0,0.0,0.0,0.015,5.575104436229202,5.6205782771535775,2.60055759162304,1.9250060377358478,3.2730759951381234,8.460688879431869,1068.0,1082.0,534.0,2045.3333333333333,1427.0000000000002,204.0,154,0,0,2,58,35.0,2048.0,20557.86840000002,2248.8319,14975.2971,764,4,0,128,0.22063673365890546,0.7414572848969614,0.4125535049981046,10,8122.872000000023,6032.262999999996,58,0,382.0,0,0,0,0.0,0,0.0,1.4497568045999985e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,993.4130000000013,153.0,1151.1723,4,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,154,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.744678974484225,384,15068.475399999988,128,1.4346883291999996e6,4,4557.428199999999,4,8083.3029,2,1430.6647,-2781.4434,16.915840413652806,1855.6575,0,0,534,534,7 + two more theatres,sumsy,10,-1.0186340659856796e-10
8,512,4,4,41674.32809999996,0.0,18610.81840000001,1107.2445999999998,3406.9686,,3406.9686,0.0,0.0,0.0,0.0,0.0,0.0025,275.7189,0.0,0.0,1.0,625.5252000000003,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9934895833333334,0.7340021127741951,0.0,510.0,1.0,0.0,1.0,0,0,0,0.25845569195209117,0,1004.020106533817,1.3590463778505946,1005.3791529116677,8.03093370353616,1.4010264232348568,9.431960126771015,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-635.9948559949353,0.0,49,2560.0,561.9051999999997,1877.2143000000005,279.2078000000001,0.0,0.0,0.0,0.0,0.0,201,605.7891,2560.0,561.9051999999997,279.2078000000001,274.0,0.0,0.0,0.015,5.51174344957587,5.585401663585948,2.745005222437136,1.9914007462686598,3.3689511601414712,8.206868213048912,1082.0,1061.0,541.0,2045.3333333333335,1495.0,204.0,137,0,0,1,42,31.0,2048.0,22798.932599999996,930.5723999999999,15384.597,763,5,0,128,0.27569843960932294,0.7420898098255133,0.3998349399491148,11,8489.053400000023,5847.959799999998,42,0,517.0,0,0,0,0.0,0,0.0,1.4441578286999976e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1419.1676999999995,207.0,1678.7181,4,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,137,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.744931183198813,384,14694.882900000006,128,1.4294629457999999e6,4,5360.294000000002,4,8873.627400000001,2,1512.9415,-3131.2497000000003,17.930790838471975,1848.0157,0,0,541,541,7 + two more theatres,sumsy,10,-1.0186340659856796e-10
9,512,4,4,43633.0512,0.0,18960.240400000006,1280.9981000000002,3749.6655,,3749.6655,0.0,0.0,0.0,0.0,0.0,0.0025,295.3524,0.0,0.0,1.0,618.4158000000008,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,6,0,0.9934895833333334,0.7341189818904565,0.0,509.0,0.0,0.0,1.0,0,0,0,0.2507191416086874,0,1017.5701969725458,0.7323969902909979,1018.3025939628368,8.872757626128879,1.3413269444841263,10.214084570613005,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-787.5354890594566,0.0,55,2560.0,601.2768999999995,3280.198099999999,298.87629999999973,0.0,0.0,0.0,0.0,0.0,208,499.9094,2560.0,601.2768999999995,298.87629999999973,274.0,0.0,0.0,0.015,5.4567005464480856,5.640798120300772,2.827220996441281,1.970643643263757,3.4076475017006618,7.960662166657445,1064.0,1098.0,532.0,2046.6666666666667,1495.0,204.0,138,0,0,2,69,38.0,2048.0,23998.535799999954,1032.2283,15558.8079,763,5,0,128,0.29652900074988686,0.7429986088598826,0.41732011105670574,13,8493.95299999996,5991.457199999998,69,0,562.0,0,0,0,0.0,0,0.0,1.4445653905000007e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1588.8981999999999,225.0,2248.2174,4,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,138,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7455065246747974,384,14038.513099999993,128,1.4305268774e6,4,5765.6267,4,9871.518699999999,2,1539.4812000000002,-3454.3131000000003,19.006638288780294,1848.0157,0,0,532,532,7 + two more theatres,sumsy,10,-1.0186340659856796e-10
10,512,4,4,45550.53099999999,0.0,18996.41919999997,1014.1874,4066.5529,,4066.5529,0.0,0.0,0.0,0.0,0.0,0.0025,315.941,0.0,0.0,1.0,612.2398000000002,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,13,0,0.9934895833333334,0.7339186750261866,0.0,508.0,0.0,0.0,1.0,0,0,0,0.2561178557295494,0,1029.1152316786292,0.2901516355457489,1029.405383314175,9.760641003602107,1.1940383659430769,10.954679369545184,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-939.0356140594574,0.0,59,2560.0,642.5201999999996,1715.7473,319.48700000000025,0.0,0.0,0.0,0.0,0.0,209,260.0801,2560.0,642.5201999999996,319.48700000000025,274.0,0.0,11.7559,0.015,5.404847086466169,5.861510642201844,2.895645229681978,1.971375185185186,3.3538290663020893,7.721842301657721,1090.0,1064.0,545.0,2045.3333333333335,1523.0,204.0,129,0,0,3,47,34.0,2048.0,25225.590100000023,1279.0301,15658.9694,763,5,0,128,0.31658302376201175,0.7436170849576964,0.3993433324101874,16,8506.004799999972,5750.757300000004,47,0,566.0,0,0,0,0.0,0,0.0,1.4451868011000007e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1638.9351999999994,227.0,2810.9202999999998,4,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,129,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7458345775204374,384,13765.108499999993,128,1.4314216926000002e6,4,6316.1081,4,10396.673899999998,2,1618.0896,-3750.6119000000003,20.147036586107113,1848.0157,0,0,545,545,7 + two more theatres,sumsy,10,-1.0186340659856796e-10
11,512,4,4,47430.70280000003,0.0,19153.096900000004,1168.6490999999994,4357.0376,,4357.0376,0.0,0.0,0.0,0.0,0.0,0.0025,334.5473,0.0,0.0,1.0,606.4257,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,27,0,0.9934895833333334,0.733834177606103,0.0,769.0,0.0,0.0,1.0,0,0,0,0.250009607826011,0,1039.8640916143027,-0.1503686588799527,1039.7137229554228,9.854945329053765,1.3262665034517425,11.181211832505506,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-1087.535639059461,0.0,68,2560.0,679.8281999999999,2507.3902999999996,338.1251999999999,0.0,0.0,0.0,0.0,0.0,213,306.7378,2560.0,679.8281999999999,338.1251999999999,274.0,0.0,7.4467,0.015,5.371828504672903,5.868927340823957,2.9399710659898486,1.9896298676748563,3.259948848291314,7.490187032607991,1068.0,1070.0,534.0,2044.0000000000002,1511.0,204.0,132,0,0,6,50,36.0,2048.0,26386.501299999985,1523.9747,15522.0227,763,5,0,128,0.3225252209364886,0.7442244850832245,0.3988859600158381,14,8289.051499999985,5747.856500000006,50,0,591.0,0,0,0,0.0,0,0.0,1.4454775305999971e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1737.5229000000006,237.0,3356.919,4,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,132,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7461048422679317,384,13405.94609999999,128,1.4320715844999999e6,4,6864.732399999999,4,11051.878100000002,2,1810.7392,-4022.4902999999995,21.35585878127354,1848.0157,0,0,534,534,7 + two more theatres,sumsy,10,-1.0186340659856796e-10
12,512,4,4,49272.4477,0.0,19103.490499999993,1004.0572999999999,4625.208299999999,,4625.208299999999,0.0,0.0,0.0,0.0,0.0,0.0025,353.6447,0.0,0.0,1.0,602.7179999999996,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,40,0,0.9934895833333334,0.7339342891231733,0.0,767.0,0.0,0.0,1.0,0,0,0,0.25831950388680236,0,1047.095011048474,-0.5717159066507791,1046.5232951418232,10.846393483260005,1.220298873801996,12.066692357062001,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-1234.2912470185763,0.0,77,2560.0,718.2551000000009,2348.658600000001,357.30000000000035,0.0,0.0,0.0,0.0,0.0,218,433.5652,2560.0,718.2551000000009,357.30000000000035,274.0,0.0,13.9211,0.015,5.29371943925234,5.85361441947567,2.9695153846153803,1.9876287334593572,3.3205016622060333,7.26548142162975,1068.0,1070.0,534.0,2040.0000000000005,1519.0000000000002,204.0,130,0,0,5,49,38.0,2048.0,27820.411199999995,1729.4829,15564.953699999998,763,5,0,128,0.3432928209985451,0.7448190562655856,0.40052822366931706,14,8375.715100000012,5664.279800000003,49,0,611.0,0,0,0,0.0,0,0.0,1.4458673814999976e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1814.3738999999973,245.0,3370.39,4,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,130,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7463914309047104,384,12981.424999999992,128,1.4328859565000008e6,4,7373.9176,4,11585.4203,2,1976.0233000000003,-4271.5635999999995,22.637210308149953,1848.0157,0,0,534,534,7 + two more theatres,sumsy,10,-1.0186340659856796e-10
13,512,4,4,51087.1474,0.0,18757.984799999973,750.7920999999998,4865.5198,,4865.5198,0.0,0.0,0.0,0.0,0.0,0.0025,367.1155,0.0,0.0,1.0,593.9562000000005,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,32,0,0.9934895833333334,0.7332977975555397,0.0,767.0,0.0,0.0,1.0,0,0,0,0.25023062626233367,0,1063.103150498722,-0.34667181636519195,1062.7564786823568,11.466738234735846,1.8007480395121076,13.267486274247954,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-1378.9555720185772,0.0,83,2560.0,745.3002999999984,2067.4832,370.8050999999994,0.0,0.0,0.0,0.0,0.0,209,511.1147,2560.0,745.3002999999984,370.8050999999994,274.0,0.0,0.0,0.015,5.241398287345382,5.868312172284644,2.980199837133548,1.9636285444234411,3.3550735007132295,7.047516978980859,1068.0,1051.0,534.0,2041.3333333333337,1520.0000000000002,204.0,130,2,2,6,50,25.0,2046.0,29093.89289999997,1953.3982999999998,15429.8871,763,5,0,128,0.3407107323622047,0.7447597363656187,0.35580910304816005,4,8402.761100000005,5508.7095999999965,50,0,614.0,0,0,2,0.0,0,0.0,1.446409509700001e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1829.8426999999986,246.0,3731.7389,4,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,130,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7460703919495957,384,13098.948999999993,128,1.4333105607e6,4,7901.5127999999995,4,11981.992200000002,2,2075.0691000000006,-4498.4043,23.99544292663895,1848.0157,0,0,534,534,7 + two more theatres,sumsy,10,-1.0186340659856796e-10
