round,persons_alive,farms_open,bakeries_open,money_in_circulation,money_in_dead_balances,outstanding_debt,peer_lent,government_debt,termination,government_peer_debt,government_bank_debt,bonds_outstanding,government_arrears,bonds_issued,coupons,bond_rate,government_cash,government_reserve_target,surplus_redistributed,tax_scale,government_outlay,tax_shortfall,tax_policy_step,consumption_tax,consumption_tax_scale,wealth_tax,wealth_tax_base,wealth_tax_scale,clearing_residue,negative_wealth_persons,zero_cash_persons,land_households_share,gini_wealth_attributed,land_supply,land_demand,land_sold,land_levy,land_levy_scale,new_firms,entries,coops_open,hhi_bread,owners,wealth_gap_meals,wealth_bottom10_meals,wealth_top10_meals,cash_gap_meals,cash_bottom10_meals,cash_top10_meals,invoices_issued,invoices_paid,invoices_open,invoices_overdue,liquidations,refoundings,bad_debt,bank_bailouts,profit_tax,profit_tax_scale,parking_tax_scale,income_tax_accrued,income_tax_charged,wealth_tax_arrears,consumption_tax_rate_now,bracket_top_rate,bracket_bottom_rate,bank_retained_interest,cumulative_interest_paid,cumulative_write_offs,cumulative_credit_refusals,money_created,money_destroyed,credit_demand,tax,enterprise_tax,deposit_interest,buffer_pool,insurance_premiums,insurance_payouts,missed_payments,cash_banks,gi_created,demurrage_destroyed,demurrage_tax,account_fees,fees,trade_arrears,interest_rate,price_bread,price_grain,price_ticket,price_rent,price_wage,wage_bid_producers,bread_baked,bread_sold,grain_harvested,labour_offered,labour_sold,government_labour,unemployed,hungry,without_bread,half_meals,gluttons,bread_stocked,total_capacity,cash_persons,cash_farms,cash_bakeries,land_persons,land_farms,land_banks,landholders,gini_cash_persons,gini_net_wealth_persons,gini_income_persons,persons_below_meal,persons_income,bread_bill,gluttony_attempted,gluttony_refused,tickets_sold,n_greedy,hungry_greedy,hungry_others,cash_greedy,land_greedy,wealth_greedy,wealth_persons,bread_greedy,greedy_loaves,greedy_tickets,ration,tier_multiplier,tier_sold,tier_revenue,n_consumers,n_hoarders,wealth_hoarders,land_hoarders,shares_hoarders,greedy_land,greedy_shares,ticket_revenue,theatre_labour,cash_theatres,theatres_open,dividends,dividend_income_persons,share_price_mean,share_units_per_firm,founders_stake_pct,book_per_unit_mean,share_trades,share_trades_deferred,share_contracts_outstanding,share_seizures,share_volume,founders_stake_mean,outside_holders,forward_value_mean,coop_worker_open,coop_consumer_open,coop_member_open,coop_retained_reserve,coop_buffer_pledged,buffer_pledged_persons,patronage_wages,rebates,membership_capital,reserved_labour,coop_worker_hours,coop_members_worker,coop_members_consumer,worker_members,unemployed_members,unemployed_nonmembers,rebate_income_persons,coop_open,forprofit_open,cash_coops,coop_members,coop_capital,founder_capital,founder_debt,reserve_shortfall_owned,reserve_shortfall_coops,reserve_shortfall_forprofit,dividends_coops,dividends_forprofit,founders_cash,cash_forprofit,gini_net_wealth_all,n_workers,wealth_workers,n_landowners,wealth_landowners,n_farms,wealth_farms,n_bakeries,wealth_bakeries,n_banks,wealth_banks,wealth_government,land_price,land_price_traded,deaths,closures,production_target_farms,production_target_bakeries,rung,system,seed,identity
1,512,4,4,26727.241800000094,0.0,1557.1502,1557.1502,561.0,,561.0,0.0,0.0,0.0,0.0,0.0,0.0025,120.7604,0.0,0.0,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7090360863795568,0.0,672.0,2.0,0.0,1.0,0,0,0,1.0,0,339.5947298039215,2.866676470588235,342.4614062745097,1.6349207843137257,2.88128431372549,4.516205098039216,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0,2560.0,234.51819999999984,1557.1502,122.11409999999994,5.531599999999999,0.0,0.0,0.0,0.0,0,255.2652,2560.0,234.51819999999984,116.58249999999991,271.0,0.0,0.0,0.0,5.0,5.200000000000013,2.0,0.75,3.5939344262295285,3.920000000000001,320.0,72.0,160.0,2048.0,732.0,204.0,329,0,0,0,43,29.0,2048.0,18021.04200000002,1888.7044,3884.8502,767,1,0,128,0.08201164069671285,0.7215638088719818,0.661141452383355,0,5253.864799999997,360.0,43,0,514.0,0,0,0,0.0,0,0.0,451246.4921999989,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1028.0,206.0,2556.6196,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,329,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.722363998238402,384,14087.828499999992,128,437158.6637000005,4,2264.0544,4,3152.25,2,255.2652,-440.2396,11.925,562.9,0,0,160,160,6 + charge on balances,sumsy,2,-7.275957614183426e-11
2,512,4,4,28995.32100000009,0.0,4802.816999999998,3295.4743,561.0,,561.0,0.0,0.0,0.0,0.0,0.0,0.0025,150.9074,0.0,0.0,1.0,561.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7057980269589981,0.0,961.0,0.0,0.0,1.0,0,0,0,0.25413906505522604,0,339.90364,2.5942521568627455,342.49789215686275,1.880281568627451,2.0609864705882357,3.9412680392156867,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-9.961500000000017,0.0,11,2560.0,291.9207999999998,5275.4875999999995,153.1917,8.3703,0.0,0.0,0.0,0.0,113,148.27050000000003,2560.0,291.9207999999998,144.82139999999998,271.0,0.0,440.2396,0.015,4.893999999999954,5.485012000000021,2.148085641891882,1.1305273942093523,3.5294348473566406,3.8023999999999996,900.0,1081.0,450.0,2048.0,1343.0,204.0,176,0,0,0,46,40.0,2048.0,15701.242599999981,2676.2409,7442.1900000000005,767,1,0,128,0.07587080714355388,0.7207174867956745,0.4369363965093951,0,7348.754799999974,5290.413999999951,46,0,592.0,0,0,0,0.0,0,0.0,451753.65929999953,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1271.666699999994,237.0,2876.4696,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,176,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7206800053398699,384,14331.506600000006,128,437422.1527,4,2532.5681999999993,4,4140.3238,2,403.5357,-410.0926,12.640500000000001,562.9,0,0,450,450,6 + charge on balances,sumsy,2,-7.275957614183426e-11
3,512,4,4,31220.130100000082,0.0,8981.920700000008,4393.676300000001,1839.6786000000002,,1399.439,0.0,0.0,440.2396,0.0,0.0,0.0025,165.5398,0.0,0.0,1.0,549.1067999999997,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7073358481310521,0.0,1046.0,0.0,0.0,1.0,0,0,0,0.2554445026270721,0,348.66989390770937,2.633002996866937,351.3028969045763,2.0703642715770596,2.348520397124953,4.418884668702013,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-52.378999999999806,0.0,16,2560.0,335.19090000000057,7435.526300000006,168.4069999999998,2.2468000000000004,0.0,0.0,0.0,0.0,113,217.7662,2560.0,335.19090000000057,166.1601999999998,271.0,0.0,0.0,0.015,4.816523966942141,5.474953831775705,2.2221802197802214,1.3438408239700366,3.43276212008903,9.395054425303984,1070.0,1089.0,535.0,2048.0,1349.0,204.0,174,0,0,1,59,47.0,2048.0,16510.168799999992,4791.6584,8678.4473,767,1,0,128,0.08555615284748863,0.7197238355248354,0.3411976160337382,2,8316.208000000004,5245.194599999992,59,0,182.0,0,0,0,0.0,0,0.0,454090.6573999995,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,404.4368000000003,73.0,856.5496,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,174,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.719298937550578,384,15372.470800000005,128,438718.1865999999,4,2759.1353,4,4337.070999999998,2,608.5385000000001,-1233.8992,13.398930000000002,562.9,0,0,535,535,6 + charge on balances,sumsy,2,-7.275957614183426e-11
4,512,4,4,33398.85709999999,0.0,10539.305900000012,1949.7261000000003,1774.3155999999997,,1774.3155999999997,0.0,0.0,0.0,0.0,0.0,0.0025,185.8346,0.0,0.0,1.0,540.4164000000003,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7049823522836973,0.0,1052.0,0.0,0.0,1.0,0,0,0,0.2545086441591465,0,354.99078001796215,2.8380470360881023,357.82882705405024,2.1122180828816077,2.318656114191032,4.430874197072639,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-128.2035249999991,0.0,19,2560.0,381.2729999999998,3392.218199999999,189.0367000000002,0.0,0.0,0.0,0.0,0.0,187,204.7982,2560.0,381.2729999999998,189.0367000000002,271.0,0.0,0.0,0.015,5.4489617100371746,5.429390018484329,2.3083080097087443,1.446845925925926,3.3590478933867294,9.113202792544863,1082.0,1076.0,541.0,2046.6666666666667,1453.0,204.0,147,0,0,0,52,47.0,2048.0,16496.47910000002,6066.6263,9258.9948,767,1,0,128,0.08768585213728564,0.7195028608857981,0.34752231702952696,0,8188.59599999999,5863.0828,52,0,412.0,0,0,0,0.0,0,0.0,455122.33009999985,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,951.0229000000027,165.0,1186.1241,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,147,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7183561899612081,384,15543.676599999984,128,439578.6535,4,3043.1625,4,5144.859700000001,2,794.2631,-1588.4809999999998,14.202865800000003,562.9,0,0,541,541,6 + charge on balances,sumsy,2,-7.275957614183426e-11
5,512,4,4,35531.998200000024,0.0,12805.969499999997,2737.7506000000008,2199.8537,,2199.8537,0.0,0.0,0.0,0.0,0.0,0.0025,207.8723,0.0,0.0,1.0,611.3727000000005,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7020239829128674,0.0,1048.0,0.0,0.0,1.0,0,0,0,0.25656520262046345,0,314.2757466343507,2.594619328395421,316.8703659627461,1.8641054491126128,1.9353266088858874,3.7994320579985,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-215.85694999999984,0.0,49,2560.0,426.8589000000002,3622.439400000001,211.57750000000033,0.0,0.0,0.0,0.0,0.0,233,224.2125,2560.0,426.8589000000002,211.57750000000033,271.0,0.0,0.0,0.015,5.613126345609063,5.619528491620114,2.4006465909090924,1.57805037313433,3.30441785979822,8.839806708768517,1074.0,1059.0,537.0,2048.0,1456.0,204.0,148,0,0,2,56,28.0,2048.0,15811.151100000006,6777.8339000000005,10968.068800000001,767,1,0,128,0.07772237695574558,0.7189214771093984,0.3331910933944764,3,8196.24209999999,5944.300799999998,56,0,440.0,0,0,0,0.0,0,0.0,455969.30979999964,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1056.2845000000007,176.0,1542.8596,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,148,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7169881847541173,384,15723.594600000002,128,440245.7151999999,4,3357.0282000000007,4,6075.148599999997,2,988.5138000000001,-1991.9814000000001,15.055037748000004,562.9,0,0,537,537,6 + charge on balances,sumsy,2,-7.275957614183426e-11
6,512,4,4,37618.100299999955,0.0,15251.589099999992,3032.311299999999,2621.7753000000007,,2621.7753000000007,0.0,0.0,0.0,0.0,0.0,0.0025,233.7092,0.0,0.0,1.0,629.7939,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9986979166666666,0.7027289185168963,0.0,1049.0,0.0,0.0,1.0,0,0,0,0.26102826544054875,0,306.43514843514936,2.263644843794304,308.69879327894364,2.1919112010419055,1.7548799258373375,3.946791126879243,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-321.91235000000063,0.0,50,2560.0,473.89790000000073,3041.1109999999985,237.94380000000012,3.1128,0.0,0.0,0.0,0.0,290,236.76839999999999,2560.0,473.89790000000073,234.83100000000013,271.0,0.0,0.0,0.015,5.607405089538167,5.59658759259259,2.4885682692307687,1.742556215213358,3.2213247058061887,8.696321223430983,1080.0,1061.0,540.0,2045.3333333333333,1328.0,204.0,179,0,0,1,44,22.0,2048.0,16596.561999999998,7458.7028,12540.5403,767,1,0,128,0.10483294849239644,0.7197842481536607,0.4139227219212145,3,7736.109900000003,5949.456799999995,44,0,104.0,0,0,0,0.0,0,0.0,457118.4360000005,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,258.81109999999995,42.0,551.8176,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,179,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.717182485791714,384,15830.0193,128,441288.4166999999,4,3566.2815000000014,4,6976.229600000003,2,1185.0805,-2388.066100000001,15.958340012880004,562.9,0,0,540,540,6 + charge on balances,sumsy,2,-7.275957614183426e-11
7,512,4,4,39656.28009999994,0.0,15877.885100000005,1342.7616999999998,3017.217400000001,,3017.217400000001,0.0,0.0,0.0,0.0,0.0,0.0025,274.7937,0.0,0.0,1.0,629.1513000000003,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0.9973958333333334,0.704953758930446,0.0,910.0,1.0,0.0,1.0,0,0,0,0.26175481430328923,0,311.96028174106834,1.8858555273779751,313.84613726844634,5.072099870315138,1.3815031936374174,6.4536030639525555,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-448.0828750000057,0.0,52,2560.0,521.8201999999997,2010.2305000000015,279.16089999999986,20.435299999999998,0.0,0.0,0.0,0.0,362,478.92240000000004,2560.0,521.8201999999997,258.72560000000016,271.0,0.0,0.0,0.015,5.553653667595172,5.60282026266417,2.5245932835820875,1.9232370998116766,3.1974944326643344,8.435431586728054,1066.0,1077.0,533.0,2046.6666666666665,1326.0,204.0,180,0,0,3,47,31.0,2048.0,19438.16699999999,5522.5099,13197.4743,766,2,0,128,0.20893913995658608,0.7219952270049903,0.4616885144708818,7,7714.86640000001,5981.285,47,0,134.0,0,0,0,0.0,0,0.0,461343.6185000003,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,338.2954999999997,54.0,744.4128000000001,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,180,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7205512189615819,384,15703.676600000008,128,445639.94190000003,4,2449.8994,4,7958.1533999999965,2,1375.9116,-2742.4237000000007,16.915840413652806,565.4,0,0,533,533,6 + charge on balances,sumsy,2,-7.275957614183426e-11
8,512,4,4,41653.4284,0.0,16971.47700000001,1857.5129999999997,3365.5417000000007,,3365.5417000000007,0.0,0.0,0.0,0.0,0.0,0.0025,294.8543,0.0,0.0,1.0,623.1179999999999,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1,0,0.99609375,0.7338716609849139,0.0,907.0,3.0,0.0,1.0,0,0,0,0.25968121453374376,0,1011.2154884001171,1.5474080923688984,1012.762896492486,6.9030567206958136,1.3496096722084459,8.252666392904258,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-576.5722750000044,0.0,55,2560.0,562.8516999999993,3315.4940000000006,299.1039000000001,19.802799999999998,0.0,0.0,0.0,0.0,363,598.1451999999999,2560.0,562.8516999999993,279.3011,271.0,0.0,0.0,0.015,5.504614005602244,5.56471482176357,2.590895909090911,1.97884886792453,3.333775350946777,8.182368639126214,1066.0,1071.0,533.0,2044.0000000000002,1448.0000000000002,204.0,149,0,0,2,47,33.0,2048.0,21462.895300000004,3670.5389,14421.115,765,3,0,128,0.25898511866350193,0.7416105233163666,0.4250707380758878,8,8287.712899999971,5895.441600000004,47,0,440.0,0,0,0,0.0,0,0.0,1.4503069112000011e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1139.994200000001,176.0,1205.8797,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,149,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.743701028839652,384,15321.949999999995,128,1.4349849611999998e6,4,5285.3108999999995,4,8855.552199999995,2,1443.7221,-3070.6874000000007,17.930790838471975,1855.4239,0,0,533,533,6 + charge on balances,sumsy,2,-7.275957614183426e-11
9,512,4,4,43611.80150000003,0.0,17335.371199999983,1201.9591999999998,3688.3076000000005,,3688.3076000000005,0.0,0.0,0.0,0.0,0.0,0.0025,317.2225,0.0,0.0,1.0,617.6202000000001,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2,0,0.9947916666666666,0.7334770954834162,0.0,511.0,2.0,0.0,1.0,0,0,0,0.2589526593924714,0,1008.6594688682857,1.1751483807421648,1009.8346172490278,9.719833455732978,1.2999271250520053,11.019760580784984,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-712.2894000000152,0.0,60,2560.0,601.6269000000007,2497.8888,321.28170000000006,22.4987,0.0,0.0,0.0,0.0,366,660.1171999999999,2560.0,601.6269000000007,298.7830000000002,271.0,0.0,7.765599999999999,0.015,5.458563236669789,5.617597191011224,2.709583037475349,1.9655160377358505,3.3721785317728914,7.936897579952425,1068.0,1069.0,534.0,2045.3333333333335,1477.0,204.0,142,0,0,2,50,30.0,2048.0,24053.70580000001,1973.1627999999998,14871.594799999999,764,4,0,128,0.31271384070175645,0.7421552069208985,0.42004451534710263,12,8381.585099999998,5835.2041000000045,51,1,507.0,0,0,0,0.0,0,0.0,1.4323984922000016e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1373.758600000002,203.0,1735.9984,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,142,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7439315330138765,384,14968.781299999999,128,1.4174297109000003e6,4,5598.0409,4,9663.584000000006,2,1454.3710999999998,-3371.0851000000007,19.006638288780294,1831.1183,0,0,534,534,6 + charge on balances,sumsy,2,-7.275957614183426e-11
10,512,4,4,45532.06,0.0,17812.367499999982,1358.5337,3983.5339000000004,,3983.5339000000004,0.0,0.0,0.0,0.0,0.0,0.0025,349.1434,0.0,0.0,1.0,612.4487999999999,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10,0,0.9934895833333334,0.7329680027783367,0.0,509.0,1.0,0.0,1.0,0,0,0,0.260173748367589,0,1012.1401068207869,0.7430086687785528,1012.8831154895653,11.613150731900845,1.3648281896496488,12.977978921550495,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-848.335300000015,0.0,66,2560.0,639.7415000000007,2689.6185,353.2905999999998,35.4944,0.0,0.0,0.0,0.0,369,690.9440999999999,2560.0,639.7415000000007,317.7961999999997,271.0,0.0,7.4140999999999995,0.015,5.422632270168862,5.770221601489752,2.8054085185185245,1.960078007518795,3.3733099343723363,7.698790652553852,1074.0,1066.0,537.0,2045.3333333333335,1496.0,204.0,137,0,0,5,41,36.0,2048.0,26199.665500000003,495.96220000000005,15484.134,763,5,0,128,0.3428870664890389,0.7426044351622563,0.40719793051531195,11,8405.044099999974,5780.526000000006,41,0,540.0,0,0,0,0.0,0,0.0,1.424199977800002e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1514.920600000003,216.0,2312.2108,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,137,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7440682163045349,384,14884.092100000003,128,1.4093158856999995e6,4,6146.635800000002,4,10312.909500000005,2,1433.7856000000002,-3634.3905000000004,20.147036586107113,1819.6728,0,0,537,537,6 + charge on balances,sumsy,2,-7.275957614183426e-11
11,512,4,4,47411.91609999996,0.0,18000.840400000016,1120.0815000000005,4242.8102,,4242.8102,0.0,0.0,0.0,0.0,0.0,0.0025,380.0055,0.0,0.0,1.0,608.4197,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,14,0,0.9934895833333334,0.7327801915030574,0.0,504.0,0.0,0.0,1.0,0,0,0,0.25000268009333876,0,1019.9100370196302,0.32796730256171164,1020.2380043221918,11.569476147407782,1.2022751596667562,12.771751307074538,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-985.6349384009542,0.0,76,2560.0,680.1438999999998,3706.2885,384.4454000000002,46.5943,0.0,0.0,0.0,0.0,377,611.7854,2560.0,680.1438999999998,337.8511,271.0,0.0,0.6773,0.015,5.370202173913045,5.751344990548251,2.890262911611787,1.9814082061068703,3.3923439291279225,7.467826932977237,1058.0,1058.0,529.0,2041.3333333333335,1495.0,204.0,137,0,0,5,38,37.0,2048.0,27113.556600000036,748.908,15652.9629,763,5,0,128,0.34691668099437045,0.7432551575634618,0.42476112423534906,14,8404.796300000004,5681.673900000002,38,0,577.0,0,0,0,0.0,0,0.0,1.4247504088000008e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1667.681700000001,231.0,2904.6976999999997,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,137,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7444351316489985,384,14589.807799999991,128,1.4101606009999998e6,4,6651.486400000001,4,10966.043599999995,2,1402.7665000000002,-3862.8046999999997,21.35585878127354,1819.6728,0,0,529,529,6 + charge on balances,sumsy,2,-7.275957614183426e-11
12,512,4,4,49263.94049999997,0.0,17777.5304,755.1316999999999,4465.3391,,4465.3391,0.0,0.0,0.0,0.0,0.0,0.0025,396.0306,0.0,0.0,1.0,602.5343999999996,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,11,0,0.9934895833333334,0.732206748666995,0.0,503.0,0.0,0.0,1.0,0,0,0,0.2501504675503883,0,1030.5406244935157,0.5118858290867345,1031.0525103226023,12.167180581254064,1.7364022937248933,13.903582874978955,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-1122.9396384009522,0.0,84,2560.0,707.9755999999999,2065.1879000000004,400.48839999999973,48.7296,0.0,0.0,0.0,0.0,370,555.3798,2560.0,707.9755999999999,351.75879999999984,271.0,0.0,6.825,0.015,5.334734770114943,5.922762570888458,2.9408309836065616,1.9647293893129776,3.427228923903431,7.24379212498792,1058.0,1044.0,529.0,2041.3333333333335,1508.0000000000002,204.0,134,2,2,4,41,24.0,2046.0,28461.276500000007,1085.5047,15252.919,763,5,0,128,0.3426722713944004,0.7432714641662082,0.36729467873874366,6,8475.014500000001,5569.4631,42,1,610.0,0,0,2,0.0,0,0.0,1.4253671997000023e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1793.9069000000027,244.0,3512.8298999999997,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,134,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7442068072565635,384,14449.1269,128,1.4109180728000002e6,4,7239.9877,4,11370.425299999999,2,1405.1015000000002,-4069.3085,22.637210308149953,1819.6728,0,0,529,529,6 + charge on balances,sumsy,2,-7.275957614183426e-11
13,512,4,4,51075.44049999995,0.0,17426.21999999999,652.7584999999999,4667.865000000001,,4667.865000000001,0.0,0.0,0.0,0.0,0.0,0.0025,417.6644,0.0,0.0,1.0,598.5565,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,17,0,0.9921875,0.7314624484794572,0.0,897.0,0.0,0.0,1.0,0,0,0,0.2509646616965438,0,1038.1597642308168,0.23352576892756072,1038.3932899997444,13.64148161257918,1.5700231077401128,15.211504720319292,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,0.0,-1255.607063400945,0.0,87,2560.0,748.5000000000009,1916.5982000000001,422.2394000000009,50.2772,0.0,0.0,0.0,0.0,372,642.3158000000001,2560.0,748.5000000000009,371.9622000000008,271.0,0.0,0.0,0.015,5.297625045537344,5.846167485822335,3.0111754295532647,1.9820636711281054,3.3838631983123313,7.026478361238281,1058.0,1098.0,529.0,2040.6666666666667,1497.0,204.0,136,0,0,2,57,43.0,2048.0,29855.456200000015,1053.2766,15616.1415,762,6,0,128,0.36847562973158454,0.7439411226197528,0.36878469920551127,9,8347.250399999992,5816.792300000004,57,0,582.0,0,0,0,0.0,0,0.0,1.4241557605e6,0.0,0,0,0,1.5,0,0.0,0,0,0.0,0,0.0,0,0,1752.5041,233.0,3490.5860000000002,2,0.0,0.0,NaN,5120.0,NaN,NaN,0,0,0.0,0,0.0,NaN,0,NaN,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,136,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7442867998601086,384,14226.207999999999,128,1.4099295525000002e6,4,9279.3369,4,12091.0299,2,1429.8956,-4250.200600000001,23.99544292663895,1819.6728,0,0,529,529,6 + charge on balances,sumsy,2,-7.275957614183426e-11
